0100000008	1 Mózes
01011900bb	Teremté tehát Isten a szárazföldi vadakat nemök szerint, a barmokat nemök szerint, és a földön csúszó-mászó mindenféle állatokat nemök szerint. És látá Isten, hogy jó.
01011a00db	És monda Isten: Teremtsünk embert a mi képünkre és hasonlatosságunkra; és uralkodjék a tenger halain, az ég madarain, a barmokon, mind az egész földön, és a földön csúszó-mászó mindenféle állatokon.
01011b007b	Teremté tehát az Isten az embert az ő képére, Isten képére teremté őt: férfiúvá és asszonynyá teremté őket.
01011c00fc	És megáldá Isten őket, és monda nékik Isten: Szaporodjatok és sokasodjatok, és töltsétek be a földet és hajtsátok birodalmatok alá; és uralkodjatok a tenger halain, az ég madarain, és a földön csúszó-mászó mindenféle állatokon.
01011d00a4	És monda Isten: Ímé néktek adok minden maghozó fűvet az egész föld színén, és minden fát, a melyen maghozó gyümölcs van; az legyen néktek eledelül.
01011e00c3	A föld minden vadainak pedig, és az ég minden madarainak, és a földön csúszó-mászó mindenféle állatoknak, a melyekben élő lélek van, a zöld fűveket adom eledelűl. És úgy lőn.
01011f006f	És látá Isten, hogy minden a mit teremtett vala, ímé igen jó. És lőn este és lőn reggel, hatodik nap.
0102010041	És elvégezteték az ég és a föld, és azoknak minden serege.
010202009b	Mikor pedig elvégezé Isten hetednapon az ő munkáját, a melyet alkotott vala, megszűnék a hetedik napon minden munkájától, a melyet alkotott vala.
0102030094	És megáldá Isten a hetedik napot, és megszentelé azt; mivelhogy azon szűnt vala meg minden munkájától, melyet teremtve szerzett vala Isten.
010204006c	Ez az égnek és a földnek eredete, a mikor teremtettek. Mikor az Úr Isten a földet és az eget teremté,
01020500c6	Még semmiféle mezei növény sem vala a földön, s még semmiféle mezei fű sem hajtott ki, mert az Úr Isten még nem bocsátott vala esőt a földre; és ember sem vala, ki a földet mívelje;
0102060059	Azonban pára szállott vala fel a földről, és megnedvesíté a föld egész színét.
010207009a	És formálta vala az Úr Isten az embert a földnek porából, és lehellett vala az ő orrába életnek lehelletét. Így lőn az ember élő lélekké.
0102080073	És ültete az Úr Isten egy kertet Édenben, napkelet felől, és abba helyezteté az embert, a kit formált vala.
01020900b0	És nevele az Úr Isten a földből mindenféle fát, tekintetre kedvest és eledelre jót, az élet fáját is, a kertnek közepette, és a jó és gonosz tudásának fáját.
01020a0075	Folyóvíz jő vala pedig ki Édenből a kert megöntözésére; és onnét elágazik és négy főágra szakad vala.
01020b005f	Az elsőnek neve Pison, ez az, a mely megkerüli Havilah egész földét, a hol az arany terem.
01020c0049	És annak a földnek aranya igen jó; ott van a Bdelliom és az Onix-kő.
01020d005a	A második folyóvíz neve pedig Gihon; ez az, a mely megkerüli az egész Khús földét.
01020e0079	És a harmadik folyóvíz neve Hiddekel; ez az, a mely Assiria hosszában foly. A negyedik folyóvíz pedig az Eufrátes.
01020f0068	És vevé az Úr Isten az embert, és helyezteté őt az Éden kertjébe, hogy mívelje és őrizze azt.
010210005b	És parancsola az Úr Isten az embernek, mondván: A kert minden fájáról bátran egyél.
0102110071	De a jó és gonosz tudásának fájáról, arról ne egyél; mert a mely napon ejéndel arról, bizony meghalsz.
010212006a	És monda az Úr Isten: Nem jó az embernek egyedül lenni; szerzek néki segítő társat, hozzá illőt.
01021300e1	És formált vala az Úr Isten a földből mindenféle mezei vadat, és mindenféle égi madarat, és elvivé az emberhez, hogy lássa, minek nevezze azokat; mert a mely nevet adott az ember az élő állatnak, az annak neve.
0102140092	És nevet ada az ember minden baromnak, az ég madarainak, és minden mezei vadnak; de az embernek hozzá illő segítő társat nem talált vala.
010215009c	Bocsáta tehát az Úr Isten mély álmot az emberre, és ez elaluvék. Akkor kivőn egyet annak oldalbordái közűl, és hússal tölté be annak helyét.
0102160074	És alkotá az Úr Isten azt az oldalbordát, a melyet kivett vala az emberből, asszonynyá, és vivé az emberhez.
010217008a	És monda az ember: Ez már csontomból való csont, és testemből való test: ez asszonyembernek neveztessék, mert emberből vétetett.
010218007a	Annakokáért elhagyja a férfiú az ő atyját és az ő anyját, és ragaszkodik feleségéhez: és lesznek egy testté.
010219005f	Valának pedig mindketten mezítelenek, az ember és az ő felesége, és nem szégyenlik vala.
01030100ba	A kígyó pedig ravaszabb vala minden mezei vadnál, melyet az Úr Isten teremtett vala, és monda az asszonynak: Csakugyan azt mondta az Isten, hogy a kertnek egy fájáról se egyetek?
010302004c	És monda az asszony a kígyónak: A kert fáinak gyümölcséből ehetünk;
0103030095	De annak a fának gyümölcséből, mely a kertnek közepette van, azt mondá Isten: abból ne egyetek, azt meg se illessétek, hogy meg ne haljatok.
0103040039	És monda a kígyó az asszonynak: Bizony nem haltok meg;
010305009b	Hanem tudja az Isten, hogy a mely napon ejéndetek abból, megnyilatkoznak a ti szemeitek, és olyanok lésztek mint az Isten: jónak és gonosznak tudói.
01030600da	És látá az asszony, hogy jó az a fa eledelre s hogy kedves a szemnek, és kivánatos az a fa a bölcseségért: szakaszta azért annak gyümölcséből, és evék, és ada vele levő férjének is, és az is evék.
01030700a6	És megnyilatkozának mindkettőjöknek szemei s észrevevék, hogy mezítelenek; figefa levelet aggatának azért össze, és körülkötőket csinálának magoknak.
01030800a9	És meghallák az Úr Isten szavát, a ki hűvös alkonyatkor a kertben jár vala; és elrejtőzék az ember és az ő felesége az Úr Isten elől a kert fái között.
0103090044	Szólítá ugyanis az Úr Isten az embert és monda néki: Hol vagy?
01030a0067	És monda: Szavadat hallám a kertben, és megfélemlém, mivelhogy mezítelen vagyok, és elrejtezém.
01030b0081	És monda Ő: Ki mondá néked, hogy mezítelen vagy? Avagy talán ettél a fáról, melytől tiltottalak, hogy arról ne egyél?
01030c0066	És monda az ember: Az asszony, a kit mellém adtál vala, ő ada nékem arról a fáról, úgy evém.
01030d0079	És monda az Úr Isten az asszonynak: Mit cselekedtél? Az asszony pedig monda: A kígyó ámított el engem, úgy evém.
01030e00b4	És monda az Úr Isten a kígyónak: Mivelhogy ezt cselekedted, átkozott légy minden barom és minden mezei vad között; hasadon járj, és port egyél életed minden napjaiban.
01030f00aa	És ellenségeskedést szerzek közötted és az asszony között, a te magod között, és az ő magva között: az neked fejedre tapos, te pedig annak sarkát mardosod.
01031000ab	Az asszonynak monda: Felette igen megsokasítom viselősséged fájdalmait, fájdalommal szűlsz magzatokat; és epekedel a te férjed után, ő pedig uralkodik te rajtad.
01031100ff	Az embernek pedig monda: Mivelhogy hallgattál a te feleséged szavára, és ettél arról a fáról, a melyről azt parancsoltam, hogy ne egyél arról: Átkozott legyen a föld te miattad, fáradságos munkával élj belőle életednek minden napjaiban.
010312004a	Töviset és bogácskórót teremjen tenéked; s egyed a mezőnek fűvét.
010313008f	Orczád verítékével egyed a te kenyeredet, míglen visszatérsz a földbe, mert abból vétettél: mert por vagy te s ismét porrá leszesz.
010314005e	Nevezte vala pedig Ádám az ő feleségét Évának, mivelhogy ő lett anyja minden élőnek.
0103150065	És csinála az Úr Isten Ádámnak és az ő feleségének bőr ruhákat, és felöltözteté őket.
01031600db	És monda az Úr Isten: Ímé az ember olyanná lett, mint mi közűlünk egy, jót és gonoszt tudván. Most tehát, hogy ki ne nyújtsa kezét, hogy szakaszszon az élet fájáról is, hogy egyék, s örökké éljen:
0103170064	Kiküldé őt az Úr Isten az Éden kertjéből, hogy mívelje a földet, a melyből vétetett vala.
01031800ac	És kiűzé az embert, és oda helyezteté az Éden kertjének keleti oldala felől a Kerúbokat és a villogó pallos lángját, hogy őrizzék az élet fájának útját.
0104010089	Azután ismeré Ádám az ő feleségét Évát, a ki fogad vala méhében és szűli vala Kaint, és monda: Nyertem férfiat az Úrtól.
0104020066	És ismét szűlé annak atyjafiát, Ábelt. És Ábel juhok pásztora lőn, Kain pedig földmívelő.
0104030059	Lőn pedig idő multával, hogy Kain ajándékot vive az Úrnak a föld gyümölcséből.
0104040087	És Ábel is vive az ő juhainak első fajzásából és azoknak kövérségéből. És tekinte az Úr Ábelre és az ő ajándékára.
010405006b	Kainra pedig és az ő ajándékára nem tekinte, miért is Kain haragra gerjede és fejét lecsüggeszté.
0104060059	És monda az Úr Kainnak: Miért gerjedtél haragra? és miért csüggesztéd le fejedet?
01040700a9	Hiszen, ha jól cselekszel, emelt fővel járhatsz; ha pedig nem jól cselekszel, a bűn az ajtó előtt leselkedik, és reád van vágyódása; de te uralkodjál rajta.
0104080098	És szól s beszél vala Kain Ábellel, az ő atyjafiával. És lőn, mikor a mezőn valának, támada Kain Ábelre az ő atyjafiára, és megölé őt.
0104090086	És monda az Úr Kainnak: Hol van Ábel a te atyádfia? Ő pedig monda: Nem tudom, avagy őrizője vagyok-é én az én atyámfiának?
01040a005e	Monda pedig az Úr: Mit cselekedtél? A te atyádfiának vére kiált én hozzám a földről.
01040b0085	Mostan azért átkozott légy e földön, mely megnyitotta az ő száját, hogy befogadja a te atyádfiának vérét, a te kezedből.
01040c0073	Mikor a földet míveled, ne adja az többé néked az ő termő erejét, bujdosó és vándorló légy a földön.
01040d0051	Akkor monda Kain az Úrnak: Nagyobb az én büntetésem, hogysem elhordozhatnám.
01040e00b6	Ímé elűzöl engem ma e földnek színéről, és a te színed elől el kell rejtőznöm; bujdosó és vándorló leszek a földön, és akkor akárki talál reám, megöl engemet.
01040f00a1	És monda néki az Úr: Sőt inkább, aki megöléndi Kaint, hétszerte megbüntettetik. És megbélyegzé az Úr Kaint, hogy senki meg ne ölje, a ki rátalál.
0104100058	És elméne Kain az Úr színe elől, és letelepedék Nód földén, Édentől keletre.
01041100a0	És ismeré Kain az ő feleségét, az pedig fogada méhében, és szűlé Hánókhot. És építe várost, és nevezé azt az ő fiának nevéről Hánókhnak.
0104120084	És lett Hánókhnak fia, Irád: És Irád nemzé Mekhujáelt: Mekhujáel pedig nemzé Methusáelt, és Methusáel nemzé Lámekhet.
010413005d	Lámekh pedig vett magának két feleséget: az egyiknek neve Háda, a másiknak neve Czilla.
010414005b	És szűlé Háda Jábált. Ez volt atyjok a sátorban-lakóknak, és a barompásztoroknak.
0104150058	Az ő atyjafiának pedig Jubál vala neve: ez volt atyja minden lantosnak és síposnak.
0104160078	Czilla pedig szűlé Tubálkaint, mindenféle réz- és vasszerszámok kovácsolóját: és Tubálkain hugát, Nahamát.
01041700bc	Akkor monda Lámekh az ő feleségeinek: Oh Háda és Czilla, hallgassatok szómra, Lámekh feleségei, halljátok beszédem: embert öltem, mert megsebzett; ifjat öltem, mert megütött.
0104180042	Ha hétszeres a bosszú Kainért, hetvenhétszeres az Lámekhért.
01041900bf	Ádám pedig ismét ismeré az ő feleségét, és az szűle néki fiat, és nevezé annak nevét Séthnek: mert adott úgymond, énnékem az Isten más magot Ábel helyett, kit megöle Kain.
01041a0075	Séthnek is született fia, és nevezé annak nevét Énósnak. Akkor kezdték segítségül hívni az Úrnak nevét.
0105010073	Ez az Ádám nemzetségének könyve. A mely napon teremté Isten az embert, Isten hasonlatosságára teremté azt.
0105020081	Férfiúvá és asszonynyá teremté őket, és megáldá őket és nevezé az ő nevöket Ádámnak, a mely napon teremtetének.
0105030089	Élt vala pedig Ádám száz harmincz esztendőt, és nemze fiat az ő képére és hasonlatosságára és nevezé annak nevét Séthnek.
0105040074	És telének Ádám napjai, minekutánna Séthet nemzette, nyolczszáz esztendőre, és nemze fiakat és leányokat.
0105050055	És lőn Ádám egész életének ideje kilenczszáz harmincz esztendő; és meghala.
010506003a	Éle pedig Séth száz öt esztendőt, és nemzé Énóst.
010507006c	És éle Séth, minekutánna Énóst nemzette, nyolczszáz hét esztendeig; és nemze fiakat és leányokat.
0105080055	És lőn Séth egész életének ideje kilenczszáz tizenkét esztendő; és meghala.
010509003d	Éle pedig Énós kilenczven esztendőt, és nemzé Kénánt.
01050a0072	És éle Énós, minekutánna Kénánt nemzette, nyolczszáz tizenöt esztendeig, és nemze fiakat és leányokat.
01050b0050	És lőn Énós egész életének ideje kilenczszáz öt esztendő; és meghala.
01050c003e	Éle pedig Kénán hetven esztendőt, és nemzé Mahalálélt.
01050d0076	És éle Kénán, minekutánna Mahalálélt nemzette, nyolczszáz negyven esztendeig; és nemze fiakat és leányokat.
01050e0052	És lőn Kénán egész életének ideje kilenczszáz tíz esztendő; és meghala.
01050f0041	Éle pedig Mahalálél hatvanöt esztendőt, és nemzé Járedet.
0105100077	És éle Mahalálél, minekutánna Járedet nemzette, nyolczszáz harmincz esztendeig, és nemze fiakat és leányokat.
010511005e	És lőn Mahalálél egész életének ideje nyolczszáz kilenczvenöt esztendő; és meghala.
0105120044	Éle pedig Járed száz hatvankét esztendőt, és nemzé Énókhot.
010513006a	És éle Járed, minekutánna Énókhot nemzette, nyolczszáz esztendőt; és nemze fiakat és leányokat.
0105140057	És lőn Járed egész életének ideje kilenczszáz hatvankét esztendő; és meghala.
0105150042	Éle pedig Énókh hatvanöt esztendőt, és nemzé Methuséláht.
010516007c	És járt Énókh az Istennel, minekutánna Methuséláht nemzette, háromszáz esztendeig; és nemze fiakat és leányokat.
0105170049	És lőn Énókh egész életének ideje háromszáz hatvanöt esztendő.
010518004c	És mivel Énókh Istennel járt vala; eltűnék, mert Isten magához vevé.
010519004b	Éle pedig Methusélah száz nyolczvanhét esztendőt és nemzé Lámekhet.
01051a007b	És éle Methusélah, minekutánna Lámekhet nemzette, hétszáz nyolczvankét esztendőt; és nemze fiakat és leányokat.
01051b005f	És lőn Methusélah egész életének ideje kilenczszáz hatvankilencz esztendő; és meghala.
01051c0042	Éle pedig Lámekh száz nyolczvankét esztendőt, és nemze fiat.
01051d0099	És nevezé azt Noénak, mondván: Ez vígasztal meg minket munkálkodásunkban s kezünk terhes fáradozásában e földön, melyet megátkozott az Úr.
01051e0072	És éle Lámekh, minekutánna Noét nemzette, ötszáz kilenczvenöt esztendőt; és nemze fiakat és leányokat.
01051f0054	És lőn Lámekh egész életének ideje hétszázhetvenhét esztendő; és meghala.
0105200052	És mikor Noé ötszáz esztendős volt, nemzé Noé Sémet, Khámot és Jáfetet.
010601005d	Lőn pedig, hogy az emberek sokasodni kezdének a föld színén, és leányaik születének.
0106020094	És láták az Istennek fiai az emberek leányait, hogy szépek azok, és vevének magoknak feleségeket mind azok közűl, kiket megkedvelnek vala.
0106030084	És monda az Úr: Ne maradjon az én lelkem örökké az emberben, mivelhogy ő test; legyen életének ideje száz húsz esztendő.
01060400ed	Az óriások valának a földön abban az időben, sőt még azután is, mikor az Isten fiai bémenének az emberek leányaihoz, és azok gyermekeket szűlének nékik. Ezek ama hatalmasok, kik eleitől fogva híres-neves emberek voltak.
010605008b	És látá az Úr, hogy megsokasult az ember gonoszsága a földön, és hogy szíve gondolatának minden alkotása szüntelen csak gonosz.
0106060060	Megbáná azért az Úr, hogy teremtette az embert a földön, és bánkódék az ő szívében.
01060700c1	És monda az Úr: Eltörlöm az embert, a kit teremtettem, a földnek színéről; az embert, a barmot, a csúszó-mászó állatokat, és az ég madarait; mert bánom, hogy azokat teremtettem.
0106080028	De Noé kegyelmet talála az Úr előtt.
0106090079	Noénak pedig ez a története: Noé igaz, tökéletes férfiú vala a vele egykorúak között. Istennel jár vala Noé.
01060a0039	És nemze Noé három fiat: Sémet, Khámot és Jáfetet.
01060b0052	A föld pedig romlott vala Isten előtt és megtelék a föld erőszakoskodással.
01060c0076	Tekinte azért Isten a földre, és ímé meg vala romolva, mert minden test megrontotta vala az ő útát a földön.
01060d00ab	Monda azért Isten Noénak: Minden testnek vége elérkezett előttem, mivelhogy a föld erőszakoskodással telt meg általok: és ímé elvesztem őket a földdel egybe.
01060e007e	Csinálj magadnak bárkát gófer fából, rekesztékeket csinálj a bárkában, és szurkozd meg belől és kivűl szurokkal.
01060f0082	Ekképen csináld pedig azt: A bárka hoszsza háromszáz sing legyen, a szélessége ötven sing, és a magassága harmincz sing.
01061000a3	Ablakot csinálj a bárkán, és egy singnyire hagyd azt felülről; a bárka ajtaját pedig oldalt csináld; alsó, közép, és harmad padlásúvá csináld azt.
0106110095	Én pedig ímé özönvizet hozok a földre, hogy elveszessek minden testet, a melyben élő lélek van az ég alatt; valami a földön van, elvész.
010612007f	De te veled szövetséget kötök, és bemégy a bárkába, te és a te fiaid, feleséged és a te fiaidnak feleségei teveled.
01061300a2	És minden élőből, s minden testből, mindenből kettőt-kettőt vígy be a bárkába, hogy veled együtt életben maradjanak: hímek és nőstények legyenek.
01061400e2	A madarak közűl az ő nemök szerint, a barmok közűl az ő nemök szerint és a földnek minden csúszó-mászó állatjai közűl az ő nemök szerint; mindenből kettő-kettő menjen be hozzád, hogy életben maradjanak.
0106150086	Te pedig szerezz magadnak mindenféle eledelt, mely megehető, és takarítsd be magadhoz, hogy neked is, azoknak is legyen eledelűl.
010616005d	És úgy cselekedék Noé; a mint parancsolta vala néki Isten, mindent akképen cselekedék.
0107010082	Monda az Úr Noénak: Menj be te, és egész házadnépe a bárkába: mert téged láttalak igaznak előttem ebben a nemzedékben.
01070200a4	Minden tiszta baromból hetet-hetet vígy be, hímet és nőstényét; azokból a barmokból pedig, a melyek nem tiszták, kettőt-kettőt, hímet és nőstényét.
010703006b	Az égi madarakból is hetet-hetet, hímet és nőstényét, hogy magvok maradjon az egész föld színén.
0107040096	Mert hét nap múlva esőt bocsátok a földre negyven nap és negyven éjjel; és eltörlök a föld színéről minden állatot, melyet teremtettem.
0107050050	Cselekedék azért Noé mind a szerint, a mint az Úr néki megparancsolta vala.
0107060049	Noé pedig hatszáz esztendős vala, mikor az özönvíz volt a földön.
0107070075	Beméne azért Noé és az ő fiai, az ő felesége, és fiainak feleségei ő vele a bárkába, az özönvíz elől.
0107080083	A tiszta barmok közűl, és a tisztátalan barmok közűl, a madarak közűl, és minden földön csúszó-mászó állat közűl,
0107090069	Kettő-kettő méne be Noéhoz a bárkába, hím és nőstény: a mint Isten megparancsolta vala Noénak.
01070a003d	Lőn pedig hetednapra, hogy megjöve az özönvíz a földre.
01070b00c8	Noé életének hatszázadik esztendejében, a második hónapban, e hónap tizenhetedik napján, felfakadának ezen a napon a nagy mélység minden forrásai, és az ég csatornái megnyilatkozának.
01070c003b	És esék az eső a földre negyven nap és negyven éjjel.
01070d00a2	Ugyanezen a napon ment vala be Noé és Sém és Khám és Jáfet, Noénak fiai, és Noé felesége és az ő fiainak három felesége velök együtt a bárkába.
01070e00f6	Ők, és minden vad az ő neme szerint és minden barom az ő neme szerint és minden csúszó-mászó állat, mely csúsz-mász a földön, az ő neme szerint és minden repdeső állat az ő neme szerint, minden madár, minden szárnyas állat.
01070f0056	Kettő-kettő méne be Noéhoz a bárkába minden testből, melyben élő lélek vala.
0107100093	A melyek pedig bemenének, hím és nőstény méne be minden testből, a mint parancsolta vala Isten őnéki: és az Úr bezára utána az ajtót.
010711008f	Mikor az özönvíz negyven napig volt a földön, annyira nevekedének a vizek, hogy felveheték a bárkát, és az felemelkedék a földről.
0107120063	A vizek pedig áradának és egyre nevekedének a földön, és a bárka jár vala a víz színén.
0107130094	Azután a vizek felette igen nagy erőt vevének a földön, és a legmagasabb hegyek is mind elboríttatának, melyek az egész ég alatt valának.
0107140059	Tizenöt singgel nevekedének a vizek feljebb, minekutánna a hegyek elboríttattak vala.
0107150089	És oda vesze minden földön járó test, madár, barom, vad, és a földön nyüzsgő minden csúszó-mászó állat; és minden ember.
010716005e	Mindaz, a minek orrában élő lélek lehellete vala, a szárazon valók közűl mind meghala.
01071700fc	És eltörle az Isten minden állatot, a mely a föld színén vala, az embertől a baromig, a csúszó-mászó állatig, és az égi madárig; mindenek eltöröltetének a földről; és csak Noé marada meg, és azok a kik vele valának a bárkában.
010718003a	És erőt vevének a vizek a földön, száz ötven napig.
01080100af	Megemlékezék pedig az Isten Noéról, és minden vadról, minden baromról, mely ő vele a bárkában vala: és szelet bocsáta az Isten a földre, és a vizek megapadának.
010802005e	És bezárulának a mélység forrásai s az ég csatornái; és megszűnt az eső az égből.
010803006a	És elmenének a vizek a földről folyton fogyván, és száz ötven nap mulva megfogyatkozának a vizek.
0108040063	A bárka pedig a hetedik hónapban, a hónak tizenhetedik napján, megfeneklett az Ararát hegyén.
0108050077	A vizek pedig folyton fogyának a tizedik hónapig; a tizedikben, a hó első napján meglátszának a hegyek csúcsai.
0108060053	És lőn negyven nap múlva, kinyitá Noé a bárka ablakát, melyet csinált vala.
0108070069	És kibocsátá a hollót, és az elrepűlt, meg visszaszállt, míg a vizek a földről felszáradának.
010808005b	Kibocsátá a galambot is, hogy meglássa, vajjon elfogytak-é a vizek a föld színéről.
01080900cb	De a galamb nem talála lábainak nyugvóhelyet és visszatére ő hozzá a bárkába, mert víz vala az egész föld színén; ő pedig kezét kinyujtá, megfogá, és bévevé azt magához a bárkába.
01080a0058	És várakozék még másik hét napig, és ismét kibocsátá a galambot a bárkából.
01080b0099	És megjöve ő hozzá a galamb estennen, és ímé leszakasztott olajfalevél vala annak szájában. És megtudá Noé, hogy elapadt a víz a földről.
01080c0075	És ismét várakozék még másik hét napig, és kibocsátá a galambot, és az nem tére többé ő hozzá vissza.
01080d00cb	És lőn a hatszáz egyedik esztendőben, az első hónak első napján, felszáradának a vizek a földről, és elfordítá Noé a bárka fedelét, és látá, hogy ímé megszikkadt a földnek színe.
01080e004f	A második hónapban pedig, a hónak huszonhetedik napján megszárada a föld.
01080f0026	És szóla az Isten Noénak, mondván:
010810005d	Menj ki a bárkából te és a te feleséged, a te fiaid, és a te fiaid feleségei te veled.
01081100cb	Minden vadat, mely veled van, minden testből, madarat, barmot, és minden földön csúszó-mászó állatot vígy ki magaddal, hogy nyüzsögjenek a földön, szaporodjanak és sokasodjanak a földön.
010812005a	Kiméne azért Noé és az ő fiai, az ő felesége, és az ő fiainak feleségei ő vele.
010813007e	Minden állat, minden csúszó-mászó, minden madár, minden a mi mozog a földön, kijöve a bárkából az ő neme szerint.
010814008f	És oltárt építe Noé az Úrnak, és vőn minden tiszta állatból és minden tiszta madárból, és áldozék égőáldozattal az oltáron.
0108150108	És megérezé az Úr a kedves illatot, és monda az Úr az ő szívében: Nem átkozom meg többé a földet az emberért, mert az ember szívének gondolatja gonosz az ő ifjúságától fogva; és többé nem vesztem el mind az élő állatot, mint cselekedtem.
010816007a	Ennekutánna míg a föld lészen, vetés és aratás, hideg és meleg, nyár és tél, nap és éjszaka meg nem szünnek.
0109010083	Azután megáldá Isten Noét és az ő fiait, és azt mondá nékik: Szaporodjatok és sokasodjatok, és töltsétek be a földet.
01090200a7	És féljen és rettegjen tőletek a földnek minden állatja az égnek minden madara: minden a mi nyüzsög a földön, és a tengernek minden hala kezetekbe adatott;
0109030069	Minden mozgó állat, a mely él legyen nektek eledelűl; a mint a zöld fűvet, nektek adtam mindazokat.
0109040038	Csak a húst az őt elevenítő vérrel meg ne egyétek.
01090500b7	De a ti véreteket, a melyben van a ti éltetek, számon kérem; számon kérem minden állattól, azonképen az embertől, kinek-kinek atyjafiától számon kérem az ember életét.
010906006b	A ki ember-vért ont, annak vére ember által ontassék ki; mert Isten a maga képére teremté az embert.
0109070059	Ti pedig szaporodjatok és sokasodjatok, nyüzsögjetek a földön és sokasodjatok azon.
010908003d	És szóla az Isten Noénak és vele az ő fiainak, mondván:
0109090054	Én pedig ímé szövetséget szerzek ti veletek és a ti magvatokkal ti utánnatok.
01090a00b3	És minden élő állattal, mely veletek van: madárral, barommal, minden mezei vaddal, mely veletek van; mindattól kezdve a mi a bárkából kijött, a földnek minden vadjáig.
01090b009e	Szövetséget kötök ti veletek, hogy soha ezután el nem vész özönvíz miatt minden test; és soha sem lesz többé özönvíz a földnek elvesztésére.
01090c00a5	És monda az Isten: Ez a jele a szövetségnek, melyet én örök időkre szerzek közöttem és ti köztetek, és minden élő állat között, mely ti veletek van:
01090d0068	Az én ívemet helyeztetem a felhőkbe, s ez lesz jele a szövetségnek közöttem és a föld között.
01090e0058	És lészen, hogy mikor felhővel borítom be a földet, meglátszik az ív a felhőben.
01090f00ce	És megemlékezem az én szövetségemről, mely van én közöttem és ti közöttetek, és minden testből való élő állat között; és nem lesz többé a víz özönné minden testnek elvesztésére.
01091000c3	Azért legyen tehát az ív a felhőben, hogy lássam azt és megemlékezzem az örökkévaló szövetségről Isten között és minden testből való élő állat között, mely a földön van.
0109110084	És monda Isten Noénak: Ez ama szövetségnek jele, melyet szerzettem én közöttem és minden test között, mely a földön van.
0109120074	Valának pedig Noé fiai, kik a bárkából kijöttek vala: Sém és Khám és Jáfet. Khám pedig Kanaánnak atyja.
0109130044	Ezek hárman a Noé fiai s ezektől népesedék meg az egész föld.
010914003b	Noé pedig földmívelő kezde lenni, és szőlőt ültete.
010915004d	És ivék a borból, s megrészegedék, és meztelenen vala sátra közepén.
010916007b	Khám pedig, Kanaánnak atyja, meglátá az ő atyjának mezítelenségét, és hírűl adá künnlevő két testvérének.
01091700bc	Akkor Sém és Jáfet ruhát ragadván, azt mindketten vállokra veték, és háttal menve takarák be atyjok mezítelenségét; s arczczal hátra meg sem láták atyjok mezítelenségét.
