0100000007	Ts'etta
01011800af	Qiyğa Allahee uvhuyn: «Hasre ç'iyeyne aq'vayn gırgıne curaylin nafas helen karbı: çavra-vəq'ə, hadağvan həyvanar, çolun həyvanar ixhnecen». Həməxüdud ıxhayn.
01011900a2	Allahee curayn-curayn çolun həyvanar, çavra-vəq'ə, ç'iyeyl hadağvan, gırgın nafas helen həyvanar itxhıniynbı. Allahık'le g'acuyn, inəxüd yugda vod.
01011a00f1	Qiyğa Allahee uvhuyn: «Yişde k'op'yelyna, Şak akarana insan ixhanas. Hasre mang'vee deryahbışeene baluğaaşis, xəəne şit'yaaşis, çavra-vəq'əys, gırgıne ç'iyeyne aq'vays, ç'iyeyl hadağvane gırgınçis xəbvalla hee'ecen».
01011b005a	Allahee insan Cune k'op'yeyl irxhın, Allahne k'op'yeyl irxhın, Adamiyiy zəiyfa ipxhın.
01011c00e5	Allahee manbışis xayir-düə huvu, uvhuyn: «Vuxooxe geeb qeepxhe, ç'iyeyn aq'va gyatsts'e'e, man vuşun vod. Deryahbışeene baluğaaşis, xəəne şit'yaaşis, ç'iyeyl hadağvane gırgıne nafas helençis eysivalla hee'e».
01011d0080	Allahee uvhuyn: «Haane, ç'iyeyne aq'val toxum hoolen ok'bıd-alafbıd, gırgıne yivaaşin meyvabı şos helenbı, oxhnecenva.
01011e00d0	Gırgıne ç'iyelyne həyvanaaşis, gırgıne xəəne şit'yaaşis, gırgıne hadağvançis – nençeeyiy ı'mren nafas vod, gırgınçiscad Zı oxhnecenva xhınakın ok'bı helenbı». Həməxüdud ıxhayn.
01011f0077	Allahık'le g'ecen, itxhınin gırgın kar geed yugda vod. Xəm quvxha, miç'eediy qıxha; in yixhıd'esın yiğ ıxha.
010201004f	İnəxüd, xəybışiniy ç'iyeyn, maane gırgıne karan itxhıniy ç'əvexhen.
010202007b	Allahee yighıd'esde yiğılqameen işbı ç'əvə'ənbı, yighıd'esde yiğıl, hı'iyne işbışiker curxha manzil haa'a.
0102030092	Allahee yighıd'esde yiğıs xayir-düə huvu, man yiğ mansa yiğbışike curuiyn, mane yiğıl gırgın ha'an işbı ç'əvü'ı', manzil haa'a.
0102040060	Xəybıyiy ç'iye itxhıniyle qiyğiyna gaf: Rəbb Allahee xəybıyiy ç'iye itxhıniyle qiyğa,
0102050093	ç'iyeyne aq'val ok'bıyiy yivar ələə deşdiy. Rəbb Allahee gyoğiy g'ıxdevuva, sayid ç'iyee ezasda insan deşva, mançil-alla məxüd ıxha.
010206004d	Xhyanıd ç'iyençeniy əlqəən. Mane xhyanıked ç'iyesın xhyanniy eyxhen.
0102070088	Manke Rəbb Allahee ç'iyeyne nyuq'vneke insan hı'ı, mang'une quşeeqa ı'mrene nafasna uf üvxü. Həməxürur insan üç'ür qıxha.
0102080057	Qiyğa Rəbb Allahee şargılyne Edenıl sa bağ ezu, irxhınna insanır maqa gixhxhı.
0102090115	Maa'ad Rəbb Allahee ç'iyeyl uftanda g'ecen, ittun oxhanas eyxhen meyvabınan xətta curayn-curayn yivar aleyli'ı. Mang'vee q'öble menne yivaaşik idyakarana yiv oozu: sa yivene meyvabışe ı'mı'r hoole, mansançined meyvabışe yuguniy pisın ats'axhya'asın ats'al hele.
01020a0062	Bağıs xhyan helena sa damaniy Edeneençe gyobatstse, mançeb mana yoq'ne cigeeqaniy bit'alooxhe.
01020b007d	Mançine sançin do Pişon vod. Mana bıkırne Xavila ölkayne hiqiy-allançeniy gyobatstse. Maa'ad k'ınəəğə qı'ğəə.
01020c0065	İne ölkayn k'ınəəğə yugun vod. İnyaa'ad yugun evanan gatraniy gıranna eke oniksıb vooxhena.
01020d005b	Q'öb'esde damayn do Gixonodun. Manab bıkırne Kuş ölkayne hiqiy-allançeniy gyobatstse.
01020e0081	Xhebıd'esde damayn do Dəclə (Tigır) vodun. Mana Aşşur ölkayne şargıle gyobatstse. Yoq'ub'esda damab Fəratobna (Yefrat).
01020f004a	Rəbb Allahee insan Edenne bağeeqa giyxhena, man ezu, çikar ilekkecenva.
010210006c	Rəbb Allahee insanıs əmr hav'u uvhuyn: «Bağeene gırgıne yivaaşin meyvabı ıkkanang'a oxhanas əxə.
010211005a	Saccu yuguniy pisın ats'axha'ane yivena meyva umooxhan, mana opxhunne yiğıl qik'asda».
0102120074	Rəbb Allahee meed eyhen: «İnsan sayrena ıxhay yugda deşod, Zı mang'usda cus sik'ına sa kumagçiy ixhanasda».
01021300f0	Rəbb Allahee gırgın çolun həyvanarıd, xəən şit'yarıd nyuq'vneke ha'a. Qiyğa Allahee manbı insanne k'anyaqa adaylenbı g'aces, mang'vee nəxdun dobıyiy mançis heles. İnsanee nene həyvanıs nen doyiy gixhxhı, məxüdud axvan.
0102140087	İnsanee gırgıne çavra-vəq'əys, çolane həyvanaaşis, xəəne şit'yaaşis do hele, saccu cus sik'ına kumag ha'asda iveeke deş.
01021500a8	Mane gahıl Rəbb Allahee insan k'orane nik'eeqa g'ıxele. Mana nik'eenang'a, Rəbb Allahee mang'une mıglene t'eleyna sa alyapt'ı, çin cigad çurunuka gyatsts'ı'ı.
0102160068	Rəbb Allahee insanıke alyapt'ıyne mıglene t'eleyke xhunaşşe irxhın. Yicir insanne k'anyaqa qarı.
01021700a4	İnsanee uvhuyn: «İlekke, ine yəqqees ıxhavud! İna bark'v yizde bark'una vob, Çurud yizde çurunun vod. Do „xhunaşşe“ ixhes, Mana adamiyke alyart'uva».
0102180061	Mançil-alla adamee dekkiy yed g'alyabaççe, xhunaşşeyka eyxhe. Adamiyiy xhunaşşe sa vooxhe.
0102190060	Adamiyiy cuna xhunaşşe – q'öyursana ts'elebniy vob, manbışis mançile naş qexhe deşdiy.
01030100c9	Rəbb Allahee itxhınne çolune həyvanaaşina, gırgınçile hiyləgarna xoçeniy vob. Xoçeyn zəiyfayk'le uvhuyn: – Hək'edane, Allahee şok'le bağeene yivaaşina nençinacab meyva umooxhan uvhu?
0103020049	Zəiyfee xoçeyk'le eyhen: – Bağeene yivaaşin meyvabı oxhanas əxə.
0103030084	Saccu bağne yı'q'neene yivene meyvabışde hək'ee Allahee uvhu: «Mançike umoyxhan, mançik sumoot'a, deşxhee, hapt'asınbı!»
0103040041	Xoçeyn zəiyfayk'le uvhuyn: – De'eş, nəxübcab hapt'as deş.
0103050080	Allahık'le ats'an, mane yivena meyva opxhuniyng'a, vuşun ats'al geed qixhes, yuguniy pisın ats'axhxha, Allah xhinne qeepxhes.
01030600f8	Zəiyfayk'le g'ecen, mane yiven meyvabı oxhanasıd kara'ə vod, ulesqadıd yugda vod qöö, ats'al ıkkanang'usud ıkkanəxdıd. Mançil-allab məng'ee mana meyva qopxu opxhanna. Qiyğab k'ane ulyorzulyne adamiys meyva hoole, mang'veeyib ooxhanna.
0103070084	Mane gahıl q'öng'ussana ats'al qadayle, ts'eleb vuxhay ats'axhen. Məxüd ıxha manbışe inciliyne t'eleyke cos tanalqanbı ha'a.
010308008f	Manbışik'le yiğıne serınne gahıl bağee iykaran Rəbb Allahın nıq' g'iyxhe. Manbı heepxı bağeene yivaaşine yı'q'nee dyuguleebaxhe.
010309003a	Rəbb Allahee Aadamılqa onu'u, qiyghanan: – Ğu nyaane?
01030a0062	Mang'vee eyhen: – Bağeead yiğın nıq' g'ayxhı, ts'eler ıxhal-alla qərq'ı'n, dyugulyxhana.
01030b0080	Rəbb Allahee eyhen: – Şavaane vak'le ğu ts'eler ıxhay uvhu? Deşxhee, vas oxhanas q'adağa hav'uyne yivena meyvane opxhun?
01030c0074	Aadamee eyhen: – Zaka sacigee yixhecenva, Ğu hiyvuyne xhunaşşee mane yivene meyvayke zas huvu, zınab opxhunna.
01030d0081	Rəbb Allahee zəiyfayk'le eyhen: – Ğu hı'iyn hucoon? Zəiyfee eyhen: – Xoçeyn zı yəqqı'le qığeyhı, zınab opxhunna.
01030e00ba	Rəbb Allahee xoçeyk'le uvhuyn: – Ğu in hı'il-alla, gırgıne çavra-vəq'əyne, çolane həyvanaaşine yı'q'nee bed-düə alyapt'ı: ı'mı'rvolle vuxhnel habğı nyaq'v ooxhanas.
01030f00a7	Zı, yiğneyiy zəiyfayne əreeqa, vuşde kulyfatbışde əreeqa duşmaniyvalla abçes. Şeng'une kulyfatın yiğne vuk'les ı'xəs, ğunab mang'une mı'q'les üvxəs.
01031000c6	Qiyğa Rəbb Allahee zəiyfayk'le eyhen: – Vas vuxhnenang'a geeb xəppa əziyyat hevles, uşaxar k'ovaka vuxas. Adamee valqa k'ırı gyaqqı vas ıkkiykanas, Meeb mang'veecab xəbvalla vas haa'as.
01031100d5	Qiyğa Rəbb Allahee Aadamık'leme uvhuyn: – Ğu xhunaşşel k'ırı alixhxhı, umooxhan uvhuna meyva opxhun. Həşdeb val-alla nyaq'v bed-düə hav'u. I'mı'rvolle zəhmətıka ğu vasın g'ık nyuq'vnel ha'as.
0103120064	Mançin vas zazaayiy ğı'ç'iy aleylya'as, ğunad, ğu ezuyne ç'iyel hucooyiy alyadı man oxhanas.
0103130084	Nyuq'vnelqa sak'alasmee, ligayne şinıka hı'iyn g'ık oxhanas. Ğu nyaq'v vorna, mançike alyart'uva, ğu nyuq'vnelqar sak'alasda.
010314006f	Aadamee xhunaşşeyn do Həva (ı'mı'r) giyxhe. Mana ç'iyeyne aq'val vuxhaynbışda gırgıng'una yed yeexhe.
0103150058	Manke Rəbb Allahee Aadamılqayiy xhunaşşelqa g'ekvayke tanalinbı hı'ı, alya'anbı.
01031600c6	Qiyğa Rəbb Allahee uvhuyn: – Haane, insanık'le yuguniy pisın hucoo ıxhay ats'axhxha, yişda sa xhinne qexhe. Hasre ı'mrene yivena meyva qopxu umooxhancen, gırgıne gahbışisır ımaxvacen!
0103170060	Vuc alyart'uyne nyuq'vnel işlemişxhecenva, Rəbb Allahee insan Edenne bağeençe g'e'eşşena.
010318009a	Mang'vee Eden bağne şargılqa g'oramişa'an malaaikariy gırgıne suralqa iliyk'aran ts'ayıkan g'ılınc giyxhe ı'mrene yivelqa əəna yəq avqecenva.
0104010089	Aadam xhunaşşe Həvayka g'alirxhu, mana vuxhne ayxu Gaabil (alyaart'una) uxu. Həvee eyhen: «Rəbbike zı insan pay xhinne alyart'u».
0104020068	Qiyğa məng'ee Gaabilna çoc Haabil uxooxa. Haabil vəq'əbı uxhiyxhanna eyxhe, Gaabilir ç'iye ezana.
0104030057	Sabara vaxt ılğevç'uyle qiyğa, Gaabilee Rəbbis ç'iyeyl alyadıynçike pay abayle.
010404007b	Haabileyid ts'etta syurunee ıxhayne nekke yugne vəq'əbışike adayle. Rəbbee Haabilir, Haabile adıynbıd alyaat'anbı.
0104050071	Gaabilir, Gaabilee adıynbıd Rəbbee alyaat'a deş. Mançil-alla Gaabilis it'umba qəl vuxha, aq'va gyavaxana'a.
010406004c	Rəbbee Gaabilik'le uvhuyn: – Nya'a qəl haa'a? Nya'a aq'va gyavaxanı'ı?
01040700b9	Nya'a, yugna iş haa'axhee, Zı ilydyabat'aye? Yugna iş hidyaa'axhee, bınahın akkayne ögee gugu hav'u, ğu gozet ha'a. Mançin xuruş valqa vod, ğu mançis xəbvalla haa'as vukkan.
0104080073	Qiyğa Gaabilee Haabilik'le eyhen: – Qora çoleeqa vüqqəs. Maa'ad Gaabilee çoculqa xıl g'ot'ul, mana gek'ana.
0104090086	Qiyğa Rəbbee Gaabilike qidghın hı'iyn: – Çoc Haabil nyaane? Mang'vee eyhen: – Ats'a deş. Nya'a, zı çocuna g'aravulyne vor?
01040a004d	Rəbbee eyhen: – Ğu hı'iyn hucoon?! Çocune eban ç'iyeençe Zalqa ona'a.
01040b0081	Mane nyuq'vnen yiğne xıleke k'yapk'ınna çocuna eb hööğəs ghal aaqı. Mançil-allab ğu ine nyuq'vnel bed-düə alyabat'a.
01040c0087	G'iyniyke şaqa ğu nimee yugda ç'iye ezveeyid, mançin vas ıkkanəxüdın kar heles deş. Ğu ciga deşda g'e'eşşuna xhinne ixhes.
01040d004e	Gaabilee Rəbbik'le eyhen: – Yizda cazaa ts'ıts'aa'asınçileb hexxaba vob.
01040e0098	Haane, Ğu zı g'iyna ç'iyeyne aq'valer g'e'eşşena. Valer dyugulyxha, zı ciga deşda ixhes. Şavneyiy ögiylqa qığeç'u, mang'veeyir zı gik'asda.
01040f00ad	Rəbbee mang'uk'le eyhen: – De'eş, şavaayiy Gaabil gik'u, mang'uke yighne yəqqees qəl qığaahas. Rəbbee Gaabililqa işaara giyxhe, mana qızaxxıng'vee gimek'acenva.
0104100047	Gaabil Rəbbike ark'ın Eden bağne şargıl – Nod eyhene cigee axva.
010411008b	Gaabil xhunaşşeyka g'alirxhu. Mana vuxhne ayxu, Xanok uxu. Mane gahıl mang'vee şaharniy alyaa'a. Şaharılqa, Xanokun, dixen do giyxhe.
0104120075	Xanokike İrad g'arayle. İradıker Mehuyael g'arayle. Mehuyaeliker Metuşael g'arayle. Metuşaeliker Lemek g'arayle.
0104130053	Lemekee q'öyre xhunaşşe hee'e. Sang'ı'n do Ada, mansəng'ı'nıd Tsillaniy vod.
010414005b	Adee Yaval uxu. Yaval çadıree aaxvanbışda, syuru havacenbışda ts'erriyna insan ıxha.
0104150056	Mang'une çocun do Yuvalniy. Mana lirayiy dyuttyak' əlivxüna ts'erriyna insan ıxha.
0104160081	Tsillee Tuval-Gaabil uxu. Tuval-Gaabilee tuncıkeyiy yivayke curayn-curayn əhtacbıniy ha'a. Mang'uqa Naama eyhena yuçuniy vor.
01041700d2	Lemekee xhunaşşeeşik'le in uvhu: «Adayiy Tsilla, zı eyhen g'ayxhe! Lemekın xhunaşşer, yizde cuvabıl k'ırı alixhxhe: Zak ciga hı'iynçil-alla zı sa adamiy gik'u, zas ı'xiynçil-alla zı gade gik'u.
010418006f	Gaabilil-alla yighne yəqqees qəl qığaahasxhee, Lemekıl-allab yights'ale yighne yəqqees qəl qığaahas».
01041900b2	Aadam meer xhunaşşe Həvayka g'alirxhu. Mana vuxhne ayxu, sa dix uxu. Mang'us Şet doyud gixhxhı, eyhen: «Gaabilee gik'uyne Haabilyne cigeeqana Allahee zas meerna dix huvu».
01041a0065	Şetiqar sa dix eyxhe, doyud Enoş giyxhe. Mane gahıl insanaaşe Rəbbis ı'bəədat ha'a giviyğal.
010501005b	Aadamne nasılın taarix inəxüd vod. Allahee insan iyxhanang'a, mana Cuk akarara irxhın.
0105020074	Mang'vee adamiyiy zəiyfa ipxhın. Manbışis xayir-düə huvu. İpxhınne yiğıl manbışis «insan» do gixhxhı.
010503006b	Aadamın vəşşe xhebts'al sen g'adıyng'a, cuk akarana, cune k'op'yeylna sa dix ıxha. Doyud Şet giyxhe.
010504005f	Aadam, Şet ıxhayle qiyğa molyud vəşşe senna axu. Mang'uqa mebın dixbıyiy yişbı vuxha.
0105050034	Aadam yüç'üd vəşşe xhebts'al senna axu, qik'u.
010506003b	Şetıqa vəşşe xholle sennang'a mang'us dix Enoş eyxhe.
010507006f	Enoş ıxhayle qiyğa, Şetee molyud vəşşe yighılle sen ha'a. Mang'us mebın dixbıyiy yişbıb vooxhenbı.
010508003a	Şetee yüç'üd vəşşe yits'ıq'vəd sen hı'ı, qek'a.
0105090036	Enoşuqa yüç'əl sennang'a, mang'us dix Qenan eyxhe.
01050a0073	Qenan ıxhayle qiyğa, Enoşee molyud vəşşe yits'ıxhvad sen ha'a. Mang'us mebın dixbıyiy yişbıb vooxhenbı.
01050b0034	Enoşee yüç'üd vəşşe xholle sen hı'ı, qek'a.
01050c003b	Qenanıqa yights'al sennang'a, mang'us dix Mahalalel eyxhe.
01050d0074	Mahalalel ıxhayle qiyğa, Qenanee molyud vəşşe yoq'ts'al sen ha'a. Mang'us mebın dixbıyiy yişbıb vooxhenbı.
01050e0038	Qenanee yüç'üd vəşşe yits'ılle sen hı'ı, qek'a.
01050f0042	Mahalaleliqa yixhts'ale xholle sennang'a, mang'us dix Yered eyxhe.
0105100074	Yered ıxhayle qiyğa, Mahalalelee molyud vəşşe xhebts'al sen ha'a. Mang'us mebın dixbıyiy yişbıb vooxhenbı.
0105110040	Mahalalelee molyud vəşşe yüç'əle xholle sen hı'ı, qek'a.
0105120049	Yeredıqa vəşşe yixhts'ale q'ölle sennang'a, mang'us dix Xanok ıxha.
0105130063	Xanok ıxhayle qiyğa, Yeredee molyud vəş sen ha'a. Mang'us mebın dixbıyiy yişbıb vooxhenbı.
0105140040	Yeredee yüç'üd vəşşe yixhts'ale q'ölle sen hı'ı, qek'a.
0105150043	Xanokuqa yixhts'ale xholle sennang'a, mang'us dix Metuşelax eyxhe.
010516007e	Metuşelax ıxhayle qiyğa, Xanok xhebıd vəş senna Allahne yəqqı'n ark'ın. Mang'us mebın dixbıyiy yişbıb vooxhenbı.
010517002b	Xanokee xhebıd vəşşe xholle sen hı'ı.
010518006a	Mana Allahne yəqqı'n ark'ın. Qiyğa mana Allahee insanaaşine yı'q'neençe Cusqa üç'ürra alyarat'a.
0105190050	Metuşelaxıqa vəşşe molyts'ale yighılle sennang'a, mang'us dix Lamek ıxha.
01051a007e	Lamek ıxhayle qiyğa Metuşelaxee yighıd vəşşe molyts'ale q'ölle sen ha'a. Mang'us mebın dixbıyiy yişbıb vooxhenbı.
01051b0047	Metuşelaxee yüç'üd vəşşe yixhts'ale yüç'üd sen hı'ı, qek'a.
01051c0043	Lamekıqa vəşşe molyts'ale q'ölle sennang'a, mang'us dix eyxhe.
01051d00b1	Mang'vee dixın do Nüh (yik'bı huviy) gixhxhı, eyhen: «İne dixee, Rəbbee bed-düə hav'uyne ç'iyel, ts'ıts'a'ane əq'übabışee, yişde işbışee şas yik'bı heles».
01051e0075	Nüh ıxhayle qiyğa, Lamekee xhod vəşşe yüç'əle xholle sen ha'a. Mang'us mebın dixbıyiy yişbıb vooxhenbı.
01051f0040	Lamekee yighıd vəşşe yights'ale yighılle sen hı'ı, qek'a.
010520004d	Nühüs xhod vəş sen qalesse, mang'us Sam, Ham, Yafəs donan dixbı vooxhe.
0106010048	İnsanar ç'iyeyne aq'val geeb qeebaxheng'a, manbışis yişbı vuxooxa,
0106020079	manbışde yişbışda micagiyvalla malaaikaaşik'le g'oocena. Cone yik'es yikkanna nenayiy məng'ı'ke xhunaşşe hee'e.
01060300ba	Rəbbee eyhen: – Yizın Rı'h insanee gırgıne gahbışis deş vod. Manbıb gırgıne gahbışisınbı deş vob. Manbışis huvuna ı'mı'r vəşşe g'ane senıle hexxaba vuxhes deş.
01060400d4	Malaaikaaşe insanaaşin yişbı haa'ane gahılib, mançile qiyğiyne dövurbışilib məxbın ç'ak'ın insanar ç'iyeyne aq'valqa vuxooxa vuxha. Manbı avaalıyne dövrun kuşdukurar, qıvaats'an insanar vuxha.
0106050059	Rəbbik'le g'ecen, ç'iyeyne aq'valyne insanaaşine ək'lee, fıkree pisvalla hav'uy vob.
010606005a	Mang'vee aq'va gyavaxan ha'a. Ç'iyeyne aq'valqa insanar ipxhınva, mang'un yik' gyoyxhan.
01060700df	Rəbbee eyhen: – İpxhınin insanar ç'iyeyne aq'vayle havaakal haa'asınbı. Man insanaaşika sacigee həyvanaşined, ç'iyeyl hadağvançined, şit'yaaşined vuk'lelqa qalya'asın. Manbı ipxhınva Yizın yik' gyotxhan.
0106080024	Saccu sa Nüh Rəbbine ulen aqqaqqa.
0106090077	Nühün taarix inəxüd vod: Nüh qorkuna, məttın yik'nana cune nasılee insan ıxha. Mana Allahne yəqqı'lyniy vor.
01060a002e	Nühüqa xhebiyre dix eyxhe: Sam, Ham, Yafəs.
01060b0034	Allahne ulele dyunye g'e'exhxhan, pisvalin gyayts'e.
01060c005f	Gırgın insanar qopkune yəqqı'le qığeepç'iynbı. Allahık'le g'ecen, dyunye badalxha vod.
01060d00b9	Allahee Nühük'le uvhuyn: – Yizde ək'elee gırgınçin q'omıd hitxhır. Dyunye manbışde pisvalika gyatsts'ı. Mançil-allab Zı manbı ç'iyeyne aq'vayka sacigee havaakal haa'as.
01060e0064	Vas goferne yiveke sa gamı he'e. Ad gozeer hı'ı, adğançed, g'adğançed yivena mızla qabğvee.
01060f008a	Gamı inəxüd he'e: mançina xıliyvalla xhebıd vəş xılekkum, əq'valla xhots'al xılekkum, axtıvallab xhebts'al xılekkum vuxhecen.
010610007e	Gamıyne ooğançe sa xılekkum avud g'uly he'e. Mıgleked akka gixhxhe. Gamıyka avubna, yı'q'nekna, oona mərtaba vuxhecen.
01061100a6	Zı ç'iyeyn aq'va q'ıfrımıka qadıyne xhineka alyaat'asın. Xəək avudun nafas alyaat'an gırgın kar hakkal ha'asın. Ç'iyeyne aq'valin gırgın kar qik'asın.
0106120065	Zı mugaavile saccu vaka ha'a: ğu dixbışika, xhunaşşeyka, sossaaşika sacigee gameeqa ılqeç'e.
0106130082	Vaka üç'üdda axvecenva, gırgıne həyvanaaşike nafas helenemeene karbışike q'öblena, vughulyna-xhuvulyna, gameeqa aleet'e.
010614006d	Q'öblena gırgıne şit'yaaşike, həyvanaaşike, ç'iyeyl hadağvançike vasqa qales, üç'üdda axvecenva.
0106150035	Vasqa oxhanas eyxhençike vasınıd, çisınıd se'e.
010616002f	Nühee gırgın kar Allahee uvhuyn xhinne ha'a.
0107010072	Rəbbee Nühük'le uvhuyn: – Xizanıka sacigee gameeqa ılqeç'e. Yizde ögee, vale qorkuna ine nasılee deşor.
01070200cd	Dyunyeyne aq'vayle cins g'ıts'maaq'vancenva məttıne həyvanaaşina yighıble q'öblena, xhalyne həyvanaaşina vughulyna, xhuvulyna alept'e. Gırgıne xəəne şit'yaaşinab yighıble q'öblena alept'e.
01070400a1	Yighne yiğılee, ç'iyeyne aq'valqa yoq'ts'al yiğnayiy yoq'ts'al xəmna gyoğiy gyoğa'as. İtxhınin nafasnan gırgın kar ç'iyeyne aq'vayle hakkal ha'asın.
0107050053	Rəbbee Nühülqa nəxübiy əmr hav'u, mang'vee gırgın kar həməxüdud hı'iyn.
010706005d	Ç'iyeyn aq'va q'ıfrımıka qadıyne xhinen alyaat'uyng'a, Nühüqa yixhıd vəş sen ıxha.
0107070064	Nüh, cuna xhunaşşe, dixbı, sossar sacigee xhyanıke g'attivxhanasdemee gameeqa ılqeebaç'enbı.
01070800b4	Allahee Nühük'le uvhuyn xhinne, məttın, xhalin həyvanar, şit'yar, gırgın ç'iyeyl hadağvanbı q'öble-q'öblena, vughulynayiy xhuvulyna, Nühüka gameeqa ılqeedaç'enbı.
01070a003f	Ç'iye yighne yiğıle q'ıfrımıka qadıyne xhinen alyaat'an.
01070b00e4	Nühüne ı'mrene yixhıd vəş'esde senne, q'öb'esde vuzanee yits'ıyighad'esde yiğıl məxdun q'ıfrımıkan gyoğiy gyooğa giyğal, ittehesu, xəən g'uleppı aaqı. Gırgıned k'oralybışeençe xhyan ı'xı'yxə giyğal.
01070c0032	Yoq'ts'al yiğna, yoq'ts'al xəmna gyoğiy gyoğu.
01070d0071	Mane yiğıl Nühüka sacigee cuna xhunaşşe, dixbı Sam, Ham, Yafəs, con xhunaşşer gameeqa ılqeebaç'enbı.
01070e009c	Manbışika sacigee gırgın həyvanar: çavra-vəq'ə, çolun həyvanar, şit'yar, gırgın ileedaxvanbı, ç'iyeyl hadağvanbı, gameeqa ılqeedaç'enbı.
01070f0042	Gırgın nafas ileşşenbı q'öblena Nühüka gameeqa ılqeeç'u.
0107100087	Allahee Nühük'le uvhuyn xhinne, gırgıne həyvanaaşina vughulynayiy xhuvulyna qabı. Manbışiqad qihna Rəbbee gamıyn akka qa'an.
010711005f	Q'ıfrım gibğılıyn yoq'ts'al yiğ ıxhamee, xhyan geed qıxha gamı ç'iyeyle haly'etçuyn.
0107120044	Xhyan geed ooqa ılqeç'e, gamıd xhinene aq'val ı'ğiykar giyğal.
0107130042	Geed qıxhayne xhyanın, nekke axtın suvabıd çik avud g'alya'a.
010714003a	Xhyan yits'ıxhvalle xılekkumna suvabışile axtı qexhe.
0107150085	Ç'iyeyne aq'valin gırgın kar: şit'yar, çavra-vəq'ə, çolun həyvanar, hadağvanbı, insanar, nafas ileşşen gırgın qeek'an.
01071700e2	Rəbbee ç'iyeyne aq'valin nafas ileşşen gırgın kar hakkal ha'an: insanaaşile otçu, çavra-vəq'ə, hadağvanbı, xəəne şit'yaaşılqamee nafas ileşşen gırgın kar gek'an. Saccu Nühiy gameebınbı üç'übba axva.
