2800000007	Matouš
28020f0086	Tam byli až do smrti krále Heroda. Splnila se tím Boží předpověď vyslovená prorokem: „Z Egypta jsem povolal svého syna.“
28021000c3	Když Herodes poznal, že ho východní učenci zklamali, velmi se rozhněval a dal pobít v Betlémě a okolí všechny chlapce do stáří dvou let. Tento věk odhadl podle výpovědi učenců.
280211002b	Tehdy se vyplnilo Jeremjášovo proroctví:
2802120076	„Slyším nářek, pláč a bědování. To matka oplakává své syny a nedá se utěšit, protože jsou mrtví.“
280213003e	Když Herodes zemřel, znovu se ukázal Josefovi ve snu anděl
280214008c	a vybídl ho: „Vezmi dítě i jeho matku a vrať se do izraelské země, protože už zemřeli ti, kteří usilovali o život dítěte.“
280215001d	Josef poslechl a vrátili se.
280216009f	Velmi se však zalekl, když se dověděl, že Herodovým nástupcem v Judsku je jeho syn Archelaos. Ve snu dostal od Boha další pokyn, aby šel do Galileje.
280217006f	Usídlil se v Nazaretu a tím se splnila další proroctví o Mesiáši, že totiž bude nazýván Nazaretský.
2803010063	V té době vystoupil Jan Křtitel a kázal lidem, kteří za ním přicházeli na Judskou poušť:
2803020058	„Obraťte se od svých hříchů k Bohu, protože přichází jeho vyvolený král.“
2803030084	O Janovi prorok Izajáš předpověděl: „Z pouště zazní hlas: Připravte cestu pro Pána a odstraňte všechny překážky.“
280304008b	Jan měl oděv z velbloudí srsti přepásaný koženým pásem. Živil se tím, co poskytovala poušť: kobylkami a medem divokých včel.
280305004c	Scházeli se k němu lidé z Jeruzaléma, z celého Judska a ze Zajordání.
280306005d	Dávali se od něho křtít v řece Jordánu, aby tím veřejně vyznávali svá provinění.
28030700c2	Když Jan uviděl, že ke křtu přicházejí mnozí horliví a nejvznešenější Židé – farizejové a saducejové, řekl jim: „Myslíte si, že se z Božího soudu vykroutíte jako hadi?
2803080045	Dokažte změnou svého života, že jste se obrátili od svých vin.
28030900ac	Nemyslete si, že vám pomůže, budete-li říkat: ‚Jsme potomci Abrahamovi, Boží vyvolený národ.‘ Vždyť Bůh si může proměnit i ty, se kterými vy pohrdáte.
28030a00b1	Sekera Božího soudu je už přiložena ke kořeni stromu. Každý člověk, který nežije novým životem, je jako strom, který nenese dobré ovoce; bude poražen a spálen.
28030b00ee	Já křtím vodou ty, kteří cítí svá provinění jako břemeno a vyznávají je. Avšak po mně přijde někdo daleko mocnější než já; nejsem hoden ani toho, abych mu vyčistil obuv. On vás bude křtít Duchem svatým a ohněm.
28030c0093	Jako se prohazováním odděluje zrno od plev – zrno do sýpky, plevy na oheň, tak i on rozsoudí lidi – jedny k životu a druhé ke smrti.“
28030d004c	Tehdy přišel Ježíš z Galileje k Jordánu, aby se dal od Jana pokřtít.
28030e0055	Ten se velmi zdráhal: „Já bych měl být pokřtěn od tebe a ty jdeš ke mně.“
28030f006c	Ježíš mu odpověděl: „Jen to, prosím, udělej. Musíme splnit Boží vůli.“ A tak ho Jan pokřtil.
2803100068	Když Ježíš vystoupil z vody, uviděl, jak se na něj z nebe snáší Boží Duch v podobě holubice.
280311004c	Současně se ozval hlas: „Toto je ten můj milovaný Syn, moje radost.“
2804010070	Potom Duch Boží vedl Ježíše na poušť, kde se po dobu čtyřiceti dnů a nocí postil a velmi vyhladověl.
280403006a	Tu se k němu přiblížil pokušitel a řekl mu: „Jsi-li Boží Syn, proměň toto kamení v chleby!“
2804040091	Ježíš mu odpověděl: „V Písmu je napsáno: Člověk se nenasytí jen chlebem, ale hlad ve své duši utiší přijetím Božího slova.“
2804050033	Pak ho ďábel vzal do Jeruzaléma na věž chrámu
28040600ad	a řekl: „Jsi-li Boží Syn, seskoč dolů! Vždyť je psáno, že Bůh přikáže svým andělům, aby tě zachytili na svých rukou dříve, než dopadneš na kámen.“
2804070065	Ježíš mu zase pohotově odpověděl: „Je však také psáno: Nepokoušej Boha, je tvůj Pán.“
280408007a	Nakonec ho ďábel postavil na vysokou horu a ukázal mu všechna království světa s jejich okázalostí a bohatstvím.
280409005d	Tam mu řekl: „Toto všechno ti dám, jestliže přede mnou klekneš a pokloníš se mi!“
28040a0076	Ježíš odpověděl: „Odejdi, satane! Vždyť je psáno: Nikomu kromě Boha se nebudeš klanět ani ho uctívat.“
28040b0051	V tu chvíli ho ďábel opustil; Ježíše obklopili andělé a pečovali o něj.
28040c0044	Když Ježíš uslyšel, že Jana uvěznili, vrátil se do Galileje.
28040d00ae	Nezůstal však v Nazaretu, ale usadil se v Kafarnaum. To město leželo u jezera Genezaretského, v oblasti, kterou kdysi obývaly izraelské kmeny Zabulónovy a Neftalího.
28040e002f	Tím se splnila předpověď proroka Izajáše:
28040f005d	„V Galileji, zemi Zabulónově a Neftalího, mezi mořem a Jordánem, se usídlili pohané.
2804100078	Tento lid pohroužený do temnoty uvidí veliké světlo. Těm, nad kterými se rozprostírá noc smrti, se rozední.“
2804110069	V té době začal Ježíš kázat: „Změňte se! Bůh je tu a zakládá na zemi svoje království!“
28041200ab	Ježíš šel po břehu Galilejského jezera a uviděl dva muže, jak spouštějí sítě do vody. Byli to rybáři Šimon, později nazývaný Petr, a jeho bratr Ondřej.
2804130073	Ježíš na ně volal: „Přátelé, pojďte se mnou! Udělám z vás jiné rybáře, budete zachraňovat lidi!“
2804140024	Ti dva všeho nechali a šli s ním.
2804150089	O kus dál jiní dva bratři, Jakub a Jan, seděli spolu se svým otcem Zebedeem ve člunu a spravovali sítě. Také je Ježíš vyzval;
280416003d	oba se okamžitě zvedli, opustili otce a vykročili za ním.
28041700a5	Ježíš chodil po celé Galileji, vyučoval v synagogách, šířil radostnou zvěst o Božím království a uzdravoval lidi postižené všemi možnými nemocemi.
2804180092	Zprávy o něm se rychle roznesly, takže až ze Sýrie k němu vodili nemocné, posedlé démony, duševně choré, ochrnuté a on je uzdravoval.
2804190071	Všude se za ním táhly davy lidí; nejen z Galileje, ale i z Desítiměstí, Jeruzaléma, Judska a Zajordání.
280501006f	Když Ježíš uviděl zástupy lidí, vystoupil se svými učedníky na návrší, posadil se v jejich středu
280502000b	a učil je:
280503007d	„Kteří lidé jsou skutečně šťastni? Šťastni jsou pokorní, nenamyšlení, vždyť těm patří Boží království.
280504004b	Šťastni jsou ti, kteří pláčou v zármutku, vždyť Bůh je potěší.
2805050056	Šťastni jsou ti, kteří pro sebe nic nevymáhají, vždyť jim Bůh dá celou zemi.
280506007c	Šťastni jsou ti, kteří touží po tom, co je správné, jako žízniví po vodě, vždyť jejich žízeň bude utišena.
2805070044	Šťastni jsou milosrdní, vždyť Bůh k nim bude také milosrdný.
2805080059	Šťastni jsou ti, kteří si zachovali čistý pohled naživot, vždyť oni uvidí Boha.
2805090064	Šťastni jsou ti, kteří působí pokoj, vždyť k těm se Bůh bude hlásit jako ke svým dětem.
28050a0068	Šťastni jsou ti, kteří mají těžkosti proto, že poslouchají Boha; jim se otevírá Boží svět.
28050b0069	Šťastni jste, když vámi kvůli mně pohrdají, pronásledují vás a vymýšlejí si na vás pomluvy.
28050c00ac	Máte důvod k radosti a dokonce i k veselí, neboť co vás čeká v nebi, mnohonásobně převýší vaše utrpení. Ostatně takhle zacházeli s Božími lidmi vždycky.
28050d00a3	Vy jste sůl země. Když už sůl by měla ztratit svoji chuť, čím se bude solit? Sůl bez chuti se nehodí k ničemu a může být jen vyhozena a zašlapána.
28050e0046	Vy jste světlo světa. Město postavené na hoře je odevšad vidět.
28050f0075	Také svíčku nerozsvěcujete proto, abyste ji schovali, ale stavíte ji na svícen, aby svítila každému v domě.
2805100064	Tak ať svítí vaše světlo všem lidem; ať za vašimi dobrými činy vidí Boha a jeho chválí.
28051100b2	Nemyslete si, že jsem přišel proto, abych zrušil, co bylo přikázáno a předpověděno ve Starém zákoně. Naopak, přišel jsem, abych to všechno uskutečnil a dovršil.
2805120092	Ujišťuji vás, že dokud trvá nebe a země, ani písmenko nebo čárka z toho, co Bůh přikázal, neztratí svou platnost, dokud se nenaplní.
28051300e5	A proto každý, kdo by nebral vážně i to nejmenší přikázání a vedl by tak lidi, bude poslední v Božím království. Ale ten, kdo se Božími příkazy řídí a učí tak druhé, bude velký v nebeském království.
28051400b7	Pamatujte si: chcete-li vejít do nebeského království, musí vám jít o víc než jen o formální plnění příkazů a zákazů, jako to činí učitelé zákona a farizejové.
2805150048	V Desateru stojí psáno: Nezabiješ. Proto kdo zabil, musí před soud.
28051600b2	Ale já vám říkám, že bude souzen každý, kdo se hněvá na svého bližního. Pohrdání člověkem je zločin, a kdo svolává na druhého Boží trest, sám mu propadne.
280517005f	Dáváš-li do pořádku svůj vztah k Bohu a uvědomíš si, že máš s někým nesrovnalost,
280518013e	odstraň ji a smiř se s ním. Teprve potom předstup před Boha. Nejsi-li ochoten ke smíru s druhým člověkem, bude na tebe žalovat tvůj hněv před Bohem a neunikneš odsouzení. Je to tak, jako když tě věřitel vede k soudci. Nedomluvíš-li se s ním cestou, půjdeš do vězení a celý dluh si odpykáš.
28051b003b	Znáte další přikázání Desatera: Nebudeš cizoložit.
28051c007a	Já vám však říkám, kdo by se podíval žádostivě na jinou ženu, porušil manželství, byť jenom v myšlenkách.
28051d00fb	Učiň všechno pro to, aby k tobě pokušení nepronikalo. Neboj se zříci se něčeho, co se ti dnes zdá pro tvůj život tak nepostradatelné jako oko nebo pravá ruka. Lépe je žít s jedním okem nebo jednou rukou než ztratit věčný život.
28051f0063	Mojžíšův zákon připouští, aby se muž se ženou rozvedl, musí jí to však dát písemně.
280520009c	Já však říkám, že kdo se rozvádí se svojí ženou, aniž mu byla nevěrná, sám ji uvádí do nevěry. Kdo se ožení s takovou ženou, cizoloží.
280521005e	A další přikázání: Nepřísahej křivě, ale splň své přísahy jako dané Pánu Bohu!
2805220068	Já vám však říkám: Nepřísahejte vůbec; neberte si za svědka nebe, protože je Božím trůnem;
2805230095	nedovolávejte se ničeho na zemi, protože je jeho podnoží. Nepřísahejte ani při posvátném Jeruzalému, protože je městem velikého Krále.
280524006e	Nepřísahejte ani při své hlavě, protože není ve vaší moci, aby vám rostly bílé nebo černé vlasy.
28052500a7	Říkejte prostě ano, nebo ne. To stačí. Když zdůrazňujete svoje slova přísahou, dokazujete, že nemluvíte vždycky pravdu a každá lež pochází od zlého.
2805260028	Je také psáno: Oko za oko, zub za zub.
280527007a	Já vám říkám, abyste neodpláceli zlým za zlé. Naopak, uhodí-li tě někdo přes pravou tvář, nastav mu i levou.
280528004d	A když by se s tebou chtěl někdo soudit a vzít ti šaty, dej mu i kabát;
2805290057	jestliže tě někdo nutí, abys s ním šel kus cesty, jdi s ním dvakrát tak daleko.
28052a004c	Dej tomu, kdo tě prosí, a neodmítej toho, kdo si chce od tebe vypůjčit.
28052b004e	A dále bylo řečeno: Miluj přítele a měj v nenávisti svého nepřítele!
28052c0102	Ale já vám říkám: milujte své nepřátele, modlete se za ty, kteří vás pronásledují. Tak budete dělat čest svému Otci v nebi. On dovoluje, aby slunce svítilo na zlé i dobré, a déšť sesílá na ty, kdo ho ctí, i na ty, kdo jím pohrdají.
28052e006e	Jakou máte zásluhu, když projevujete lásku těm, kteří vám ji oplácejí? Copak to nedokážou i sobci?
28052f0077	A chováte-li se přátelsky jen ke svým blízkým, co děláte zvláštního? Na to ještě nemusíte věřit v Boha.
280530006e	Nevymlouvejte se na hranice svých možností, ale buďte tak dokonalí v lásce, jako je váš nebeský Otec.
28060100a8	Dejte si pozor, abyste nedělali dobré skutky okázale před lidmi a nestavěli tím na odiv svoji dobročinnost. Tak rozhodně nezískáte odměnu od nebeského Otce.
28060200f4	Proto když pomáháš bližnímu, nechtěj, aby o tom všichni věděli. Okatě – v synagogách a na ulicích – prokazují dobro pyšní pokrytci, protože chtějí, aby je lidé chválili. Tak si vlastně vybírají svoji odměnu předem.
2806030070	Když ty někomu pomůžeš, udělej to nenápadně. Tvůj nebeský Otec, který vidí všechno, ti to odplatí.
28060500c7	A podobně je to s modlitbami. Když se modlíš, nebuď jako pokrytci, kteří chtějí okázalou modlitbou dokázat svoji zbožnost. Modlí se pro lidi, a tak nemohou čekat, že je Bůh vyslyší.
28060600a1	Když se chceš modlit, jdi domů, zavři za sebou dveře a modli se ke svému Otci, který je tam s tebou. A on, který vidí i to, co je skryto, tě vyslyší.
2806070073	Neopakujte bezmyšlenkovitě modlitbu jako nerozumní lidé, kteří si myslí, že Boha umluví a on je vyslyší.
2806080055	Nenapodobujte je, vždyť váš Otec zná vaše potřeby dříve, než je vyslovíte.
280609005f	Dám vám vzor prosté modlitby: Náš nebeský Otče, vzdáváme čest tvému svatému jménu.
28060a004f	Ujmi se vlády, ať se děje všechno podle tvé vůle jak v nebi, tak na zemi.
28060b0016	Dej nám chléb i dnes
28060c0059	a odpusť nám naše provinění, tak jako my odpouštíme těm, kteří nám ublížili.
28060d0077	Chraň nás před pokušením a vysvoboď nás z moci zlého. Vždyť tobě navždy patří vláda, moc i sláva. Amen.
28060e004e	Odpustíte-li druhým jejich provinění, i váš nebeský Otec vám odpustí.
28060f0056	Jestliže jim však neodpustíte, nemůžete ani vy počítat s Božím odpuštěním.
28061000ed	Jestliže svou modlitbu podepřete postem, nenasazujte si ztrápenou, zbožnou masku jako ti, kteří úmyslně zanedbávají svůj vzhled, aby upozornili okolí na to, že se postí. Tím už dosáhli, co chtěli, a víc nemohou čekat.
2806110026	Když se ty postíš, dobře se uprav,
2806120090	aby na tobě nikdo nic nepoznal. Ví o tom jen tvůj Otec, který vidí to, co je lidem skryto. Jedině tak ti půst přinese duchovní užitek.
2806130065	Nehromaďte si bohatství zde na zemi, kde může zrezivět, padnout napospas molům nebo zlodějům.
280614006d	Ukládejte si poklady v nebi, kde nepodlehnou žádné zkáze a ani je žádný zloděj nevykope a neukradne.
280615002e	Kde je vaše bohatství, tam je i vaše srdce.
2806160042	Světlem těla je oko. Je-li tvé oko čisté, jsi naplněn jasem.
280617008b	Je-li však tvé oko zakaleno nečistými myšlenkami, žiješ v duchovní tmě. Nemáš-li jasno v sobě, tápeš v beznadějné temnotě.
28061800b9	Nikdo nemůže sloužit dvěma pánům. Jednoho bude nenávidět a druhého mít v lásce, nebo jednomu dávat přednost a druhého zanedbávat. Nelze sloužit zároveň Bohu a majetku.
2806190094	Radím vám: nezatěžujte se starostmi o jídlo, pití a oděv. Cožpak nemají pokrmy sloužit jen k udržení života a šaty k oblečení těla?
28061a0096	Podívejte se na ptáky: nesejí ani nesklízejí, neshromažďují obilí do sýpek, ale nebeský Otec je živí. Což vy nejste o mnoho cennější?
28061b005e	I když se budete starat sebevíc, přece svůj život neprodloužíte ani o jediný okamžik.
28061c006e	A proč si děláte starosti se svým oblečením? Podívejte se na polní květiny: nepracují ani nepředou,
28061d0062	a vidíte, ani Šalomoun ve svém královském majestátu nebyl tak oděn jako kterákoliv z nich.
28061e00ac	Jestliže tedy Bůh dává takovou krásu nepatrným polním kvítkům, které nemají dlouhého trvání, nepostará se tím spíše o vás? To mu tak málo důvěřujete?
28061f0054	A tak se netrapte otázkami: Co budeme jíst? Co budeme pít? Co si vezmeme na sebe?
2806200074	Pro lidi bez Boha je to první a poslední. Ale vy máte nebeského Otce a ten dobře ví, co všechno potřebujete.
2806210054	Dejte jeho na první místo a žijte tak, jak on si přeje, a on se o vás postará.
2806220069	Nezatěžujte se zítřejšími starostmi. Ty patří k zítřku. Každý den má dost svých problémů.
2807010027	Nesuďte druhé, abyste nebyli souzeni.
280702007e	Podle toho, jak soudíte, budete souzeni i vy a na váš život budou přiložena stejná měřítka, jaká sami používáte.
2807030059	Jak to, že vidíš pilinu v oku druhého člověka a poleno ve svém oku přehlížíš?
2807040076	Jak můžeš říkat druhému: ‚Dovol, abych ti vyndal smítko z oka,‘ a poleno ti ve vlastním oku nepřekáží?
2807050081	Pokrytče! Vyčisti si nejprve svoje oko, a teprve potom jasně uvidíš na to, abys mohl vyjmout pilinu z oka svého bližního.
28070600da	Je zbytečné vysvětlovat Boží pravdy těm, kteří jimi pohrdají. To je stejné, jako byste očekávali, že pes ocení vzácný pokrm a vepř krásu perly. Co se stane? Všechno zašlapou a nakonec vás napadnou.
280707004a	Proste, a dostanete, hledejte, a najdete. Klepejte, a bude vám otevřeno.
280708005e	Protože každý, kdo prosí, dostane, kdo hledá, nalezne a tomu, kdo tluče, bude otevřeno.
2807090059	Kdyby kohokoliv z vás poprosilo vlastní dítě o kus chleba, dali byste mu snad kámen?
28070a002e	A místo ryby byste mu dali hada? Určitě ne!
28070b009d	Jestliže tedy vy, lidé tvrdého a hříšného srdce, dovedete dávat svým dětem dobré věci, tím spíše je nebeský Otec dá těm, kteří ho prosí.
28070c0069	Jednejte s druhými tak, jak byste si přáli, aby jednali oni s vámi. Tak se dá shrnout Starý zákon.
28070d008c	Do Božího království lze vstoupit jen úzkou brankou. Prostorná brána a široká cesta vedou do záhuby a mnoho lidí se tudy ubírá.
28070e0049	Brána a cesta k životu jsou úzké a je málo těch, kteří je najdou.
28070f009a	Mějte se na pozoru před falešnými náboženskými učiteli, kteří přicházejí v masce neškodné ovce, ale ve skutečnosti jsou jako lační vlci.
28071000b4	Poznáte je podle toho, jak žijí a jednají – právě tak jako posuzujete strom podle ovoce, které se na něm rodí. Cožpak se sklízejí hrozny z trnek a fíky z bodláčí?
2807110048	Dobrý strom nemůže nést špatné ovoce a zase špatný strom dobré.
2807130044	Každý strom, který nedává dobrou úrodu, je poražen a spálen.
2807140041	Ovoce – činy člověka, to je spolehlivý rozpoznávací znak.
2807150079	Ne každý, kdo mne oslovuje Pane, Pane, přijde do nebeského království. Rozhodující je, zda poslouchá mého Otce.
2807160093	V den posledního soudu mi mnozí řeknou: ‚Pane, Pane, cožpak jsme v tvém jménu nemluvili, nebojovali proti zlu a nedokázali mnoho divů?‘
2807170068	Já jim však odpovím: ‚Nikdy jste mi nepatřili a neřídili se podle Boží vůle. Jděte pryč!‘
280718008c	Kdo slyší tato má slova a jedná podle nich, ten může být přirovnán k prozíravému člověku, který založil svůj dům na skále.
280719007e	Přesto, že přišly deště s povodní a vichřice se opírala do jeho zdí, dům vydržel, protože byl postaven na skále.
28071a0083	Kdo však slyší tato má slova, ale neuvede je do života, jedná jako pošetilý člověk, který založil svůj dům na písku.
28071b0077	Přišly deště, zaplavily krajinu a prudká vichřice se opřela do zdí domu. Ten se zřítil s velkým rachotem.“
28071c0038	Když Ježíš domluvil, lidé žasli nad jeho učením.
28071d0051	Na rozdíl od učitelů, které znali, z Ježíše vyzařovala zvláštní síla.
2808010041	Velké zástupy se hrnuly za Ježíšem, když sestupoval s hory.
2808020075	Tu se k němu přiblížil malomocný, klekl před ním a řekl: „Pane, budeš-li chtít, můžeš mne uzdravit!“
280803007b	Ježíš zvedl ruku, dotkl se toho muže a řekl: „Ano, chci. Ať tvá nemoc zmizí!“ A hned byl ten malomocný zdráv.
28080400d8	Ježíš mu pak řekl: „Nikomu nic neříkej, ale jdi, ukaž se knězi a vezmi s sebou obětní dar, který ustanovil Mojžíš pro uzdravené od malomocenství. To bude veřejné svědectví o tvém uzdravení.“
2808050059	Když Ježíš přicházel do Kafarnaum, přistoupil k němu římský setník s prosbou:
2808060048	„Pane, můj služebník leží doma ochrnutý a má velké bolesti.“
280807003e	Ježíš mu odpověděl: „Přijdu za ním a uzdravím ho.“
2808080085	Setník mu však na to řekl: „Pane, nezasloužím si, aby ses namáhal ke mně domů. Vždyť stačí tvé slovo, a bude uzdraven.
28080900da	Já vím, jak to je: sám poslouchám i poroučím. Když vojákovi rozkážu, tak jde, když ho zavolám, přijde. A když uložím svému služebníkovi práci, tak ji vykoná. Takovou moc máš ty i nad nemocemi.“
28080a0095	Když to Ježíš uslyšel, podivil se a řekl těm, kteří šli s ním: „Řeknu vám, že s tak velikou vírou jsem se nesetkal v celém Izraeli.
28080b005f	Je to opravdu tak, že mnozí lidé z celého světa budou přijati do Boží věčné říše,
28080c0077	zatímco mnozí Izraelci, pro které byla připravena, budou z ní vyloučeni; zbyde jim beznaděj, bolest a pláč.“
28080d0087	Potom se Ježíš obrátil opět k setníkovi: „Jdi domů. Čemu jsi uvěřil, ať se stane.“ V tu chvíli se služebník uzdravil.
28080e004a	Pak Ježíš navštívil Petra a našel jeho tchyni schvácenou horečkou.
28080f005d	Dotkl se její ruky, teplota klesla a jí se ulevilo natolik, že vstala a obsloužila hosta.
280810006b	Večer k němu přivedli mnoho posedlých, on je pouhým slovem zbavil zlého a všechny nemocné uzdravil.
280811006e	Tím se naplnilo, co předpověděl prorok Izajáš: „On na sebe vzal naše slabosti a nesl naše nemoci.“
2808120078	Když Ježíš viděl, jak se kolem něj kupí množství lidí, chtěl se na loďce přeplavit na druhou stranu jezera;
2808130059	zadržel ho však ještě jeden učitel zákona: „Mistře, chci být stále s tebou.“
280814006c	Ježíš mu odpověděl: „Každá liška má svou noru, pták hnízdo, ale já často nemám kde spát.“
280815006b	Jeden z jeho žáků mu zase řekl: „Pane, než půjdu s tebou, dovol mi ještě pohřbít mého otce.“
2808160095	Ale Ježíš mu odpověděl: „Ty pojď se mnou! Poslední službu mrtvému může poskytnout za tebe i ten, kdo se ještě duchovně neprobudil.“
2808170026	Pak vyplul spolu se svými učedníky.
280818006e	Nad jezerem se strhla prudká bouře, takže člunu hrozilo potopení ve vlnách. Ježíš však klidně spal.
2808190036	Probudili ho: „Pane, zachraň nás. Jde o život!“
28081a0069	Ale on jim řekl: „Proč se bojíte? Kde je vaše víra?“ Vstal, okřikl vítr i vlny, a nastal klid.
28081b0076	Kteří to viděli, byli naplněni údivem a říkali si: „Kdo to vlastně je, že ho poslouchají vítr i moře?“
28081c00bf	Když přistáli na druhém břehu jezera poblíž Gadary, narazili na dva muže posedlé démony. Ti žili ve skalních hrobech a byli tak nebezpeční, že se nikdo neodvážil tudy chodit.
28081d0063	Na Ježíše začali křičet: „Co je ti do nás, Boží Synu? Ještě na nás nemáš právo!“
28081e0028	Opodál se páslo velké stádo vepřů.
28081f005d	„Když nám bereš moc nad lidmi, nech nám ji aspoň nad těmi vepři,“ prosili démoni.
280820009f	On jim řekl: „Zmizte!“ Démoni opustili muže a zmocnili se zvířat. V tom okamžiku se celé stádo splašilo a hnalo se dolů k jezeru, kde se utopilo.
2808210040	Pasáci vepřů utekli do města a všude roznesli, co se stalo.
2808220058	Celé město se šlo na Ježíše podívat, ale žádali ho, aby z jejich kraje odešel.
280901005b	Ježíš tedy vstoupil opět do člunu, vrátil se na druhý břeh a přišel do Kafarnaum.
28090200af	Na nosítkách k němu přinesli ochrnutého člověka. Ježíš viděl jejich víru, a tak řekl nemocnému: „Už se netrap, chlapče! Tvé hříchy jsou ti odpuštěny!“
2809030077	Ale někteří z učitelů zákona se nad tím pozastavovali: „To jsou prázdná slova. Na to má právo jen Bůh.“
2809040102	Ježíš však prohlédl jejich myšlenky a obrátil se k nim: „Myslíte si, že zůstalo jen při slovech, když jsem mu odpustil hříchy? Dokážu vám, že moje slovo má moc.“ Nato se obrátil k ochrnutému: „Vstaň a odnes svá nosítka domů!“
2809080046	Lidé nad tím žasli a děkovali Bohu, že dal člověku takovou moc.
28090900ac	Cestou odtud uviděl Ježíš muže jménem Matouš, jak vybírá poplatky. „Pojď se mnou a staň se mým učedníkem!“ vyzval ho. Matouš hned vstal a následoval ho.
28090a008e	Později při hostině v Matoušově domě přišlo také mnoho celníků a lidí pochybné pověsti, aby poznali Ježíše a jeho učedníky.
28090b0069	Zbožné farizeje to popudilo: „Jak si váš mistr může sednout k jednomu stolu s takovými lidmi?“
28090c0055	Když to Ježíš uslyšel, řekl jim: „Lékaře potřebují nemocní a ne zdraví.
