0100000012	يارىتىلىش
0101170066	شۇ تەرىقىدە كەچ بىلەن سەھەر ئۆتتى، بۇ بەشىنچى كۈن بولدى.
0101180159	خۇدا يەنە: «يەر جانىۋارلارنى ئۆز تۈرلىرى بويىچە چىقارسۇن ــ مال-چارۋىلارنى، ئۆمىلىگۈچى جانىۋارلارنى ۋە ياۋايى ھايۋانلارنى ئۆز تۈرلىرى بويىچە ئاپىرىدە قىلسۇن» ــ دېۋىدى، دەل شۇنداق بولدى.
0101190182	شۇنداق قىلىپ خۇدا يەردىكى ياۋايى ھايۋانلارنى ئۆز تۈرلىرى بويىچە، مال-چارۋىلارنى ئۆز تۈرلىرى بويىچە ۋە يەر يۈزىدە ئۆمىلىگۈچى بارلىق جانىۋارلارنى ئۆز تۈرلىرى بويىچە ياراتتى. خۇدا بۇنىڭ ياخشى بولغانلىقىنى كۆردى.
01011a01d9	ئاندىن خۇدا: «ئۆز سۈرەت-ئوبرازىمىزدا، بىزگە ئوخشايدىغان قىلىپ ئىنساننى يارىتايلى. ئۇلار دېڭىزدىكى بېلىقلارغا، ئاسماندىكى ئۇچار-قاناتلارغا، بارلىق مال-چارۋىلارغا، پۈتكۈل يەر يۈزىگە ۋە يەر يۈزىدىكى بارلىق ئۆمىلىگۈچى جانىۋارلارغا ئىگىدارچىلىق قىلسۇن» دېدى.
01011b00e3	شۇنداق قىلىپ، خۇدا ئىنساننى ئۆز سۈرەت-ئوبرازىدا ياراتتى؛ ئۇنى ئۆزىنىڭ سۈرىتىدە ياراتتى؛ ئۇلارنى ئەركەك-چىشى قىلىپ ياراتتى.
01011c01ac	خۇدا ئۇلارغا بەخت-بەرىكەت ئاتا قىلىپ: «سىلەر نەسىللىنىپ، كۆپىيىپ، يەر يۈزىنى تولدۇرۇپ بويسۇندۇرۇڭلار؛ دېڭىزدىكى بېلىقلار، ئاسماندىكى ئۇچار-قاناتلارغا، شۇنىڭدەك يەر يۈزىدە يۈرىدىغان ھەربىر ھايۋانلارغا ئىگىدارچىلىق قىلىڭلار» دېدى.
01011d0119	ئاندىن خۇدا يەنە: «مانا، مەن پۈتكۈل يەر يۈزىدىكى ئۇرۇقلۇق ئوتياشلار بىلەن ئۇرۇقلۇق مېۋە بېرىدىغان ھەربىر دەرەخلەرنى سىلەرگە ئوزۇقلۇق بولسۇن دەپ بەردىم؛
01011e0193	شۇنداقلا يەردىكى بارلىق جانىۋارلار بىلەن ئاسماندىكى بارلىق ئۇچار-قاناتلار ۋە يەر يۈزىدە بارلىق ئۆمىلىگۈچىلەرگە، يەنى بارلىق جان-جانىۋارلارغا ئوزۇقلۇق بولسۇن دەپ بارلىق گۈل-گىياھلارنى بەردىم» دېۋىدى، دەل شۇنداق بولدى.
01011f0121	خۇدا ياراتقانلىرىنىڭ ھەممىسىگە سەپسېلىپ قارىدى، ۋە مانا بۇلارنىڭ ھەممىسى ناھايىتى ياخشى بولغانىدى. شۇ تەرىقىدە كەچ بىلەن سەھەر ئۆتتى، بۇ ئالتىنچى كۈن بولدى.
010201009b	شۇنداق قىلىپ ئاسمان بىلەن زېمىن، پۈتكۈل مەۋجۇداتلىرى بىلەن قوشۇلۇپ يارىتىلىپ بولدى.
01020200ce	خۇدا يەتتىنچى كۈنىگىچە قىلىدىغان ئىشىنى تاماملىدى. ئۇ يەتتىنچى كۈنى بارلىق يارىتىش ئىشىنى توختىتىپ ئارام ئالدى.
0102030103	يەتتىنچى كۈنى خۇدا بارلىق يارىتىش ئىشلىرىدىن ئارام ئالغان كۈن بولغانلىقى ئۈچۈن، شۇ كۈننى بەختلىك كۈن قىلىپ، ئۇنى «مۇقەددەس كۈن» دەپ بېكىتتى.
01020400d2	پەرۋەردىگار خۇدا زېمىن بىلەن ئاسماننى ياراتقان كۈنىدە، ئاسمان-زېمىننىڭ يارىتىلىش جەريانىنىڭ تارىخلىرى مۇنداق: ــ
0102050127	زېمىندا تېخى ھېچ گۈل-گىياھ، يەردە ھېچ ئوتياش ئۈنمىگەنىدى؛ چۈنكى پەرۋەردىگار خۇدا يەر يۈزىگە ھۆل-يېغىن ياغدۇرمىغانىدى، شۇنداقلا يەر تېرىيدىغان ئادەممۇ يوق ئىدى.
0102060067	لېكىن يەردىن بۇلاق سۈيى چىقىپ، تامام يەر يۈزىنى سۇغاردى.
01020700fb	ئاندىن پەرۋەردىگار خۇدا ئادەمنى يەرنىڭ توپىسىدىن ياساپ، ئۇنىڭ بۇرنىغا ھاياتلىق نەپەسىنى پۈۋلىدى؛ شۇنىڭ بىلەن ئادەم تىرىك بىر جان بولدى.
01020800e2	ئاندىن كېيىن پەرۋەردىگار خۇدا مەشرىق تەرەپتە ئېرەم دېگەن جايدا بىر باغ بىنا قىلىپ، ياسىغان ئادەمنى شۇ يەرگە ئورۇنلاشتۇردى.
0102090174	پەرۋەردىگار خۇدا يەردىن كۆزنى قاملاشتۇرىدىغان چىرايلىق، [مېۋىلىرى] يېيىشلىك ھەرخىل دەرەخنى ئۈندۈردى؛ ئۇ يەنە باغنىڭ ئوتتۇرىسىدا «ھاياتلىق دەرىخى» ۋە «ياخشى بىلەن ياماننى بىلگۈزگۈچى دەرەخ»نى ئۈندۈردى.
01020a0094	باغنى سۇغىرىشقا ئېرەمدىن بىر دەريا ئېقىپ چىقتى؛ ئاندىن بۆلۈنۈپ، تۆت ئېقىن بولدى.
01020b00ac	بىرىنچى ئېقىننىڭ نامى پىشون بولۇپ، ئالتۇن چىقىدىغان پۈتكۈل ھاۋىلاھ زېمىنىنى ئايلىنىپ ئۆتىدۇ.
01020c00aa	بۇ يۇرتنىڭ ئالتۇنى ناھايىتى ئېسىل ئىدى؛ شۇ يەردە پۇراقلىق دېۋىرقاي بىلەن ئاق ھېقىقمۇ چىقىدۇ.
01020d0086	ئىككىنچى دەريانىڭ نامى گىھون بولۇپ، پۈتكۈل كۇش زېمىنىنى ئايلىنىپ ئۆتىدۇ.
01020e00bc	ئۈچىنچى دەريانىڭ نامى دىجلە بولۇپ، ئاشۇرنىڭ شەرقىدىن ئېقىپ ئۆتىدۇ، تۆتىنچى دەريانىڭ نامى ئەفرات ئىدى.
01020f00b1	پەرۋەردىگار خۇدا ئادەمنى ئېلىپ ئېرەم بېغىغا ئىشلەپ، پەرۋىش قىلسۇن دەپ ئۇنى شۇ يەرگە قويۇپ قويدى.
010210009f	پەرۋەردىگار خۇدا ئادەمگە ئەمر قىلىپ: باغدىكى ھەربىر دەرەخ مېۋىلىرىدىن خالىغىنىڭچە يە؛
01021100e0	ئەمما «ياخشى بىلەن ياماننى بىلگۈزگۈچى دەرەخ»نىڭ مېۋىسىدىن يېمىگىن؛ چۈنكى ئۇنىڭدىن يېگەن كۈنۈڭدە جەزمەن ئۆلىسەن، ــ دېدى.
0102120110	ئاندىن پەرۋەردىگار خۇدا يەنە سۆز قىلىپ: ــ ئادەمنىڭ يالغۇز تۇرۇشى ياخشى ئەمەس؛ مەن ئۇنىڭغا ماس كېلىدىغان بىر ياردەمچى ھەمراھنى ياساپ بېرەي، ــ دېدى.
0102130207	پەرۋەردىگار خۇدا تۇپراقتىن دالادىكى بارلىق جانىۋارلار بىلەن ئاسماندىكى ھەممە ئۇچار-قاناتلارنى ياسىغانىدى؛ ئۇلارغا ئادەمنىڭ نېمە دەپ ئات قويىدىغانلىقىنى بىلىش ئۈچۈن، ئۇ ئۇلارنى ئادەمنىڭ ئالدىغا كەلتۈردى. ئادەم ھەربىر جانىۋارغا نېمە دەپ ئات قويغان بولسا، ئۇنىڭ ئېتى شۇ بولۇپ قالدى.
0102140156	بۇ تەرىقىدە ئادەم ھەممە مال-چارۋىلارغا، ئاسماندىكى ئۇچار-قاناتلارغا ۋە دالادىكى ھەربىر جانىۋارلارغا ئات قويدى؛ ۋەھالەنكى، ئادەم ئۆزىگە ماس كېلىدىغان ھېچبىر ياردەمچى ھەمراھ ئۇچراتمىدى.
0102150145	شۇنىڭ بىلەن پەرۋەردىگار خۇدا ئادەمگە بىر قاتتىق ئۇيقۇ سالدى؛ ئۇ ئۇخلاپ قالدى. ئۇ ئۇخلاۋاتقاندا، ئۇ ئۇنىڭ بىقىنىدىن بىر ئاز ئېلىپ، ئاندىن ئۇنىڭ ئورنىنى ئەت-گۆش بىلەن ئېتىپ قويدى.
01021600d6	شۇنىڭ بىلەن پەرۋەردىگار خۇدا ئادەمنىڭ بىقىنىدىن ئالغان شۇ قىسىمدىن بىر ئايالنى ياساپ، ئۇنى ئادەمنىڭ قېشىغا ئەكەلدى.
01021700fd	ئادەمئاتا خۇشال بولۇپ: ــ مانا بۇ سۆڭەكلىرىمدىكى سۆڭەك، ئېتىمدىكى ئەت بولغاچ، «ئايال» دەپ ئاتالسۇن؛ چۈنكى ئۇ ئەردىن ئېلىنغاندۇر، ــ دېدى.
01021800bc	شۇنىڭ ئۈچۈن ئەر كىشى ئاتا-ئانىسىدىن ئايرىلىپ، ئۆز ئايالىغا باغلىنىپ بىر بولۇپ، ئىككىسى بىر تەن بولىدۇ.
010219007f	ئادەمئاتا بىلەن ئايالى ھەر ئىككىسى يالىڭاچ بولسىمۇ، ھېچ ئۇيالمايتتى.
010301016f	يەر يۈزىدە يىلان رەب پەرۋەردىگار ياراتقان دالادىكى ھايۋانلارنىڭ ھەممىسىدىن ھىيلىگەر ئىدى. ئۇ ئايالدىن: ــ خۇدا راستتىنلا باغدىكى دەرەخلەرنىڭ ھېچقايسىسىنىڭ مېۋىسىدىن يېمەڭلار، دېدىمۇ؟ ــ دەپ سورىدى.
0103020089	ئايال يىلانغا جاۋاب بېرىپ: ــ باغدىكى دەرەخلەرنىڭ مېۋىلىرىنى يېسەك بولىدۇ.
01030300f4	ئەمما باغنىڭ ئوتتۇرىسىدىكى دەرەخنىڭ مېۋىسى توغرىسىدا خۇدا: «بۇنىڭدىن يېمەڭلار، قولمۇ تەگكۈزمەڭلار، بولمىسا ئۆلىسىلەر» دېگەن، دېدى.
010304005d	يىلان ئايالغا: ــ ئۇنداق ئەمەس! ھەرگىز ئۆلمەيسىلەر!
0103050113	بەلكى سىلەر ئۇنى يېگەن كۈنۈڭلاردا، خۇدا كۆزۈڭلارنىڭ ئېچىلىپ، خۇداغا ئوخشاش ياخشى بىلەن ياماننى بىلىدىغان بولۇپ قالىدىغانلىقىڭلارنى بىلىدۇ، ــ دېدى.
01030601a3	ئايال دەرەخنىڭ [مېۋىسىنىڭ] يېمەكلىك ئۈچۈن ياخشىلىقىنى، ئۇنىڭ كۆزنى قاملاشتۇرىدىغانلىقىنى كۆرۈپ، ھەمدە دەرەخنىڭ ئادەمنى ئەقىللىق قىلىدىغان جەلپكارلىقىنى كۆرۈپ، مېۋىدىن يېدى ۋە ئۇنىڭدىن يېنىدا تۇرغان ئېرىگىمۇ بەردى؛ ئۇمۇ يېدى.
0103070139	يېيىشى بىلەنلا ھەر ئىككىسىنىڭ كۆزلىرى ئېچىلىپ، ئۆزلىرىنىڭ يالىڭاچ ئىكەنلىكىنى بىلىپ، ئەنجۈر يوپۇرماقلىرىنى ئېلىپ بىر-بىرىگە ئۇلاپ تىكىپ، ئۆزلىرىگە ياپقۇچ قىلىپ تارتتى.
010308015e	كۈن سالقىنلىغاندا، ئۇلار پەرۋەردىگار خۇدانىڭ باغدا ماڭغان شەپىسىنى ئاڭلاپ قېلىپ، ئادەم ئايالى بىلەن پەرۋەردىگار خۇدانىڭ ھازىر بولغىنىدىن قېچىپ باغدىكى دەرەخلەرنىڭ ئارىسىغا يوشۇرۇنۇۋالدى.
0103090086	لېكىن پەرۋەردىگار خۇدا توۋلاپ ئادەمنى چاقىرىپ ئۇنىڭغا: سەن نەدە؟ ــ دېدى.
01030a00d1	ئادەمئاتا جاۋاب بېرىپ: ــ مەن باغدا شەپەڭنى ئاڭلاپ، يالىڭاچ تۇرغىنىم ئۈچۈن قورقۇپ كېتىپ، يوشۇرۇنۇۋالدىم، ــ دېدى.
01030b00e7	[خۇدا] ئۇنىڭغا: ــ يالىڭاچ ئىكەنلىكىڭنى ساڭا كىم ئېيتتى؟ مەن ساڭا يېمە، دەپ ئەمر قىلغان دەرەخنىڭ مېۋىسىدىن يېدىڭمۇ-يا؟ ــ دېدى.
01030c00cf	ئادەم جاۋاب بېرىپ: ــ سەن ماڭا ھەمراھ بولۇشقا بەرگەن ئايال دەرەخنىڭ مېۋىسىدىن ماڭا بەرگەنىدى، مەن يېدىم، ــ دېدى.
01030d00ef	پەرۋەردىگار خۇدا ئايالغا: ــ بۇ نېمە قىلغىنىڭ؟ ــ دېدى. ئايال جاۋاب بېرىپ: ــ يىلان مېنى ئالداپ ئازدۇرسا، مەن يەپ ساپتىمەن، ــ دېدى.
01030e018d	پەرۋەردىگار خۇدا يىلانغا مۇنداق دېدى: ــ «بۇ قىلغىنىڭ ئۈچۈن، سەن ھەممە مال-چارۋىلاردىن، دالادىكى بارلىق ھايۋاناتلاردىن بەكرەك لەنەتكە قالىسەن؛ قورسىقىڭ بىلەن بېغىرلاپ مېڭىپ، ئۆمرۈڭنىڭ بارلىق كۈنلىرىدە توپا يەيسەن.
01030f0163	ۋە مەن سەن بىلەن ئايالنىڭ ئارىسىغا، سېنىڭ نەسلىڭ بىلەن ئايالنىڭ نەسلىنىڭ ئارىسىغا ئۆچمەنلىك سالىمەن؛ ئۇ سېنىڭ بېشىڭنى دەسسەپ زەخىملەندۈرىدۇ، سەن قوپۇپ ئۇنىڭ تاپىنىنى [چېقىپ] زەخىملەندۈرىسەن».
0103100171	ئاندىن خۇدا ئايالغا: ــ «سېنىڭ ھامىلىدارلىقىڭنىڭ جاپا-مۇشەققەتلىرىنى كۆپەيتىمەن؛ سەن قاتتىق تولغاق ئىچىدە بوشىنىسەن؛ سەن ئېرىڭدىن ئۈستۈن تۇرۇشقا ھەۋەس قىلساڭمۇ، ئۇ ئۈستۈڭدىن خوجىلىق قىلىدۇ» ــ دېدى.
01031101d4	ئاندىن ئۇ ئادەمئاتىغا: ــ «سەن ئايالىڭنىڭ سۆزىگە قۇلاق سېلىپ، مەن ساڭا يېمە، دەپ ئەمر قىلغان دەرەختىن يېگىنىڭ تۈپەيلىدىن، سېنىڭ تۈپەيلىڭدىن يەر-تۇپراق لەنىتىمگە ئۇچرايدۇ؛ ئۆمرۈڭنىڭ بارلىق كۈنلىرىدە پەقەت جاپالىق ئىشلەپلا، ئاندىن ئۇنىڭدىن ئوزۇقلىنىسەن.
01031200a6	يەر ساڭا تىكەن بىلەن قامغاق ئۈندۈرىدۇ؛ شۇنداقتىمۇ سەن يەردىكى زىرائەت-ئوتياشلارنى يەيسەن.
010313013b	تاكى سەن تۇپراققا قايتقۇچە يۈز-كۆزۈڭ تەرگە چۈمگەندە، ئاندىن نان يېيەلەيسەن؛ چۈنكى سەن ئەسلى تۇپراقتىن ئېلىنغانسەن؛ سەن ئەسلىدە توپا بولغاچ، يەنە توپىغا قايتىسەن» ــ دېدى.
01031400b0	ئۇنىڭ ئايالى بارلىق جان ئىگىلىرىنىڭ ئانىسى بولىدىغىنى ئۈچۈن ئادەم ئۇنىڭغا «ھاۋا» دەپ ئات قويدى.
01031500b0	پەرۋەردىگار خۇدا ئادەمئاتا بىلەن ئۇنىڭ ئايالىغا ھايۋان تېرىلىرىدىن كىيىم قىلىپ كىيدۈرۈپ قويدى.
0103160194	پەرۋەردىگار خۇدا سۆز قىلىپ: ــ مانا، ئادەم بىزلەردىن بىرىگە ئوخشاپ قالدى، ياخشى بىلەن ياماننى بىلدى. ئەمدى قولىنى ئۇزىتىپ ھاياتلىق دەرىخىدىن ئېلىپ يەۋېلىپ، تا ئەبەدگىچە ياشاۋەرمەسلىكى ئۈچۈن [ئۇنى توسۇشىمىز كېرەك]، دېدى.
010317013f	شۇنىڭ بىلەن پەرۋەردىگار خۇدا ئۇنى ئېرەم باغدىن قوغلاپ چىقىرىۋەتتى؛ شۇنداق قىلىپ ئۇنى يەرگە ئىشلەيدىغان، يەنى ئۆزى ئەسلى ئاپىرىدە قىلىنغان تۇپراققا ئىشلەيدىغان قىلىپ قويدى.
010318015a	ئادەمنى قوغلىۋېتىپ، ھاياتلىق دەرىخىگە بارىدىغان يولنى مۇھاپىزەت قىلىش ئۈچۈن، ئۇ ئېرەم بېغىنىڭ مەشرىق تەرىپىگە كېرۇبلارنى ۋە تۆت تەرەپكە پىرقىرايدىغان يالقۇنلۇق بىر شەمشەرنى قويۇپ قويدى.
01040100fb	ئادەمئاتا ئايالى ھاۋا بىلەن بىللە بولدى؛ ھاۋا ھامىلىدار بولۇپ قابىلنى تۇغۇپ: «مەن بىر ئادەمگە ئىگە بولدۇم ــ ئۇ پەرۋەردىگاردۇر!» ــ دېدى.
01040200a9	ئاندىن ئۇ يەنە قابىلنىڭ ئىنىسى ھابىلنى تۇغدى. ھابىل پادىچى بولدى، قابىل بولسا تېرىقچى بولدى.
01040300d9	بېكىتىلگەن شۇنداق بىر ۋاقىت-سائەتتە شۇنداق بىر ئىش بولدىكى، قابىل تۇپراقنىڭ ھوسۇلىدىن پەرۋەردىگارغا ھەدىيە كەلتۈردى.
0104040102	ھابىلمۇ پادىسىدىن قويلىرىنىڭ تۇنجىلىرىدىن، يەنى ئۇلارنىڭ يېغىدىن ھەدىيە سۇندى. پەرۋەردىگار ھابىلنى ۋە ئۇنىڭ سۇنغان ھەدىيەسىنى قوبۇل قىلدى.
01040500b5	لېكىن قابىل ۋە ئۇنىڭ سۇنغىنىغا قارىمىدى. شۇ ۋەجىدىن قابىلنىڭ تولىمۇ ئاچچىقى كېلىپ، چىرايى تۇتۇلدى.
01040600a9	شۇنىڭ بىلەن پەرۋەردىگار قابىلغا: نېمىشقا ئاچچىقلىنىسەن؟ نېمە ئۈچۈن چىرايىڭ تۇتۇلۇپ كېتىدۇ؟
010407017d	ئەگەر دۇرۇس ئىش قىلساڭ، سەن كۆتۈرۈلمەمسەن؟ لېكىن دۇرۇس ئىش قىلمىساڭ، مانا گۇناھ ئىشىك ئالدىدا [سېنى پايلاپ] بېغىرلاپ ياتىدۇ، ئۇ سېنى ئۆز ئىلكىگە ئالماقچى بولىدۇ؛ لېكىن سەن ئۇنىڭدىن غالىپ كېلىشىڭ كېرەك، دېدى.
01040800df	قابىل ئىنىسى ھابىلغا: «دالىغا چىقىپ كېلەيلى!» دېدى. دالادا شۇ ۋەقە بولدىكى، قابىل ئىنىسى ھابىلغا قول سېلىپ، ئۇنى ئۆلتۈردى.
01040900d2	پەرۋەردىگار قابىلغا: ئىنىڭ ھابىل نەدە؟ ــ دەپ سورىدى. ئۇ جاۋاب بېرىپ: بىلمەيمەن، مەن ئىنىمنىڭ باققۇچىسىمۇ؟ ــ دېدى.
01040a009e	خۇدا ئۇنىڭغا: ــ سەن نېمە قىلدىڭ؟ مانا، ئىنىڭنىڭ قېنى يەردىن ماڭا پەرياد كۆتۈرۈۋاتىدۇ!
01040b00c1	ئەمدى ئىنىڭنىڭ قولۇڭدا تۆكۈلگەن قېنىنى قوبۇل قىلىشقا ئاغزىنى ئاچقان يەردىن قوغلىنىپ، لەنەتكە ئۇچرايسەن.
01040c00de	سەن يەرگە ئىشلىسەڭمۇ ئۇ بۇنىڭدىن كېيىن ساڭا قۇۋۋىتىنى بەرمەيدۇ؛ سەن يەر يۈزىدە سەرسان بولۇپ، سەرگەردان بولىسەن، ــ دېدى.
01040d00a3	بۇنى ئاڭلاپ قابىل پەرۋەردىگارغا جاۋاب قىلىپ: ــ مېنىڭ بۇ جازايىمنى ئادەم كۆتۈرەلمىگۈدەك!
01040e0170	مانا، سەن بۈگۈن مېنى يەر يۈزىدىن قوغلىدىڭ، مەن ئەمدى سېنىڭ يۈزۈڭدىن يوشۇرۇنۇپ يۈرىمەن؛ يەر يۈزىدە سەرسەن بولۇپ سەرگەردانلىقتا يۈرىمەن؛ شۇنداق بولىدۇكى، كىملا مېنى تېپىۋالسا، ئۆلتۈرۈۋېتىدۇ!، ــ دېدى.
01040f01b2	لېكىن پەرۋەردىگار ئۇنىڭغا جاۋاب بېرىپ: ــ شۇنداق بولىدۇكى، كىمكى قابىلنى ئۆلتۈرسە، ئۇنىڭدىن يەتتە ھەسسە ئىنتىقام ئېلىنىدۇ، ــ دېدى. شۇلارنى دەپ پەرۋەردىگار قابىلغا ئۇچرىغان بىرسى ئۇنى ئۆلتۈرۈۋەتمىسۇن دەپ ئۇنىڭغا بىر بەلگە قويۇپ قويدى.
01041000d6	شۇنىڭ بىلەن قابىل پەرۋەردىگارنىڭ ھۇزۇرىدىن چىقىپ، ئېرەمنىڭ مەشرىق تەرىپىدىكى نود دېگەن يۇرتتا ئولتۇراقلىشىپ قالدى.
010411013d	قابىل ئايالى بىلەن بىللە بولۇپ، ئايالى ھامىلىدار بولۇپ ھانوخنى تۇغدى. ئۇ ۋاقىتتا قابىل بىر شەھەر بىنا قىلىۋاتاتتى؛ ئۇ شەھەرنىڭ نامىنى ئوغلىنىڭ ئىسمى بىلەن ھانوخ دەپ ئاتىدى.
01041200d2	ھانوختىن ئىراد تۆرەلدى، ئىرادتىن مەھۇيائىل تۆرەلدى، مەھۇيائىلدىن مەتۇشائىل تۆرەلدى، مەتۇشائىلدىن لەمەخ تۆرەلدى.
010413009a	لەمەخ ئۆزىگە ئىككى خوتۇن ئالدى. بىرىنىڭ ئىسمى ئاداھ، يەنە بىرىنىڭ ئىسمى زىللاھ ئىدى.
010414008d	ئاداھ يابالنى تۇغدى. ئۇ چېدىردا ئولتۇرىدىغان كۆچمەن مالچىلارنىڭ بوۋىسى ئىدى.
0104150093	ئۇنىڭ ئىنىسىنىڭ ئىسمى يۇبال ئىدى. بۇ چىلتار بىلەن نەي چالغۇچىلارنىڭ بوۋىسى ئىدى.
0104160102	زىللاھ يەنە تۇبال-قايىن دېگەن بىر ئوغۇلنى تۇغدى. ئۇ مىس-تۆمۈر ئەسۋابلارنى سوققۇچى ئىدى. تۇبال-قايىننىڭ نائاماھ ئىسىملىك بىر سىڭلىسى بار ئىدى.
01041701aa	لەمەخ بولسا ئاياللىرىغا سۆز قىلىپ: ــ «ئەي ئاداھ بىلەن زىللاھ، سۆزۈمنى ئاڭلاڭلار! ئەي لەمەخنىڭ ئاياللىرى، گېپىمگە قۇلاق سېلىڭلار! مېنى زەخىملەندۈرگىنى ئۈچۈن مەن ئادەم ئۆلتۈردۈم، تېنىمنى زېدە قىلغانلىقى ئۈچۈن بىر يىگىتنى ئۆلتۈردۈم.
