0100000012	پەیدابوون
01011e014a	بۆ هەموو گیانلەبەرانی زەوی و هەموو باڵندەکانی ئاسمان و هەموو بوونەوەرێکی خشۆکی سەر زەوی، هەموو بوونەوەرێک کە هەناسەی ژیانی تێدایە، هەموو ڕووەکی سەوزم بۆ خۆراک پێداون.» جا ئاوا بوو.
01011f00b4	خودا بینی هەموو ئەوەی کە دروستی کردبوو زۆر باش بوو. جا ئێوارە بوو، بووە بەیانی، ئەمە ڕۆژی شەشەم بوو.
0102010071	بەم شێوەیە ئاسمان و زەوی و هەرچی تێیاندا ڕێکخرابوو تەواو کران.
01020200bd	ئیتر خودا لە ڕۆژی حەوتەم لەو کارەی کە کردبووی تەواو ببوو. خودا لە ڕۆژی حەوتەم لە هەموو کارەکانی پشووی دا.
01020300a9	خودا ڕۆژی حەوتەمی بەرەکەتدار و پیرۆز کرد، چونکە تێیدا کۆتایی بە هەموو کارێکی بەدیهێنان هێنا.
01020400c8	ئەمانەش ڕێکخستنەکانی ئاسمان و زەوین کاتێک بەدی هێنران، لەو ڕۆژەی یەزدانی پەروەردگار زەوی و ئاسمانی دروستکرد.
0102050155	هیچ دەوەنێکی کێڵگە لەسەر زەوی نەبوو، هەروەها هیچ ڕووەکێکی کێڵگەش سەری دەرنەکردبوو، چونکە هێشتا یەزدانی پەروەردگار بارانی بەسەر زەویدا نەباراندبوو. هیچ مرۆڤێکیش نەبوو ئیشی جوتیاری بکات.
010206006b	بەڵام تەم لە زەوییەوە سەردەکەوت و هەموو ڕووی زەوی ئاو دەدا.
01020700dc	جا یەزدانی پەروەردگار پیاوی لە خۆڵی زەوی دروستکرد و هەناسەی ژیانی فووکردە کونە لووتی. بەمەش پیاوەکە بووە گیانێکی زیندوو.
01020800bc	ئینجا یەزدانی پەروەردگار باخچەیەکی لە عەدەن، لە ڕۆژهەڵاتدا چاند. لەوێش پیاوەکەی دانا کە دروستی کردبوو.
0102090156	یەزدانی پەروەردگار هەموو ئەو جۆرە درەختانەی کە لەبەرچاو جوان بوون و بۆ خواردن خۆش بوون لە زەویدا گەشەی پێکرد. درەختی ژیانیش لە ناوەڕاستی باخچەکەدا بوو، هەروەها درەختی زانینی چاکە و خراپە.
01020a00b6	ڕووبارێک لە عەدەنەوە سەرچاوە دەگرێت و لەبەری دەڕوات بۆ ئاودانی باخچەکە، لەوێوە دەبێت بە چوار لقەوە:
01020b008a	ناوی یەکەمیان پیشۆنە کە بە هەر چوار لای هەموو زەوی حەڤیلادایە، کە زێڕی لێیە.
01020c0087	زێڕی ئەو زەوییە چاکە، هەروەها سرێشی داری بۆن خۆش و بەردی عاشقبەندیشی لێیە.
01020d008f	ناوی ڕووباری دووەمیان گیحۆنە، کە بە شێوەی پێچاوپێچ بە هەموو خاکی کوشدا دەڕوات.
01020e00aa	ناوی ڕووباری سێیەم دجلەیە، ئەمیش بە ڕۆژهەڵاتی شاری ئەشووردا دەڕوات. ڕووباری چوارەمیش فوراتە.
01020f00a3	یەزدانی پەروەردگار پیاوەکەی هێنا و لە باخچەی عەدەن داینا، بۆ ئیشی جوتیاری و بایەخ پێدانی.
01021000b5	یەزدانی پەروەردگار فەرمانی بە پیاوەکە دا و فەرمووی: «تۆ ئازادیت لە هەموو درەختەکانی باخچەکە بخۆیت،
01021100ab	بەڵام بۆت نییە لە درەختی زانینی چاکە و خراپە بخۆیت، چونکە ئەو ڕۆژەی لێی بخۆیت بێگومان دەمریت.»
01021200ac	یەزدانی پەروەردگار فەرمووی: «باش نییە بۆ پیاو بە تەنها بێت. یاریدەرێکی هاوشانی بۆ دروستدەکەم.»
01021301a1	یەزدانی پەروەردگار هەر لە خۆڵی زەوی هەموو ئاژەڵی کێوی و هەموو باڵندەکانی ئاسمانی دروستکرد. ئینجا بۆ پیاوەکەی هێنا بۆ ئەوەی ببینێت چ ناوێکیان لێ دەنێت، هەر ناوێک کە پیاوەکە لە هەریەک لەم بوونەوەرە زیندووانەی نا، ئەوە ناوەکەی بوو.
01021400db	پیاوەکە ناوی لە هەموو ئاژەڵی ماڵی و باڵندەی ئاسمان و ئاژەڵی کێوی نا. بەڵام بۆ پیاوەکە هیچ یاریدەرێکی هاوشان نەدۆزرایەوە.
01021500fd	لە ئەنجامدا یەزدانی پەروەردگار پیاوەکەی خستە خەوێکی قووڵەوە. کاتێک خەوتبوو، یەکێک لە پەراسووەکانی دەرهێنا و شوێنەکەی بە گۆشت بۆ پڕکردەوە.
01021600c6	ئینجا یەزدانی پەروەردگار ئافرەتێکی لەو پەراسووە دروستکرد کە لە پیاوەکەی وەرگرتبوو، جا هێنای بۆ لای پیاوەکە.
01021700e3	پیاوەکە گوتی: «ئێستا ئەمە ئێسکێکە لە ئێسقانەکانم و گۆشتە لە گۆشتم. ئەمە ناودەبردرێت بە”ئافرەت“چونکە لە پیاوەوە وەرگیراوە.»
01021800a6	لەبەر ئەوە پیاو دایک و باوکی خۆی بەجێدەهێڵێت و بە ژنەکەیەوە دەنووسێت، ئیتر دەبنە یەک جەستە.
010219006a	پیاوەکە و ژنەکەی هەردووکیان ڕووت بوون، شەرمیشیان نەدەکرد.
0103010169	مار لە هەموو ئاژەڵی کێوی سەر زەوی، ئەوانەی یەزدانی پەروەردگار دروستی کردبوون زۆرزانتر و تەڵەکەبازتر بوو. بە ئافرەتەکەی گوت: «ئایا ڕاستە خودا فەرموویەتی:”بۆتان نییە لە هیچ درەختێکی باخچەکە بخۆن؟“»
0103020085	ئافرەتەکەش بە مارەکەی گوت: «بۆمان هەیە لە بەری درەختەکانی باخچەکە بخۆین،
01030300f4	بەڵام خودا فەرمووی:”بۆتان نییە لە بەری ئەو درەختە بخۆن، کە لە ناوەڕاستی باخچەکەیە، هەروەها بۆتان نییە دەستی لێ بدەن، ئەگینا دەمرن.“»
0103040051	مارەکە بە ئافرەتەکەی گوت: «نا بەڕاستی نامرن،
01030500bd	چونکە خودا دەزانێت ئەو ڕۆژەی کە دەیخۆن چاوتان دەکرێتەوە و ئیتر وەک خوداتان لێدێت و چاکە و خراپە دەزانن.»
010306012f	کاتێک ئافرەتەکە بینی بەری درەختەکە بۆ خواردن باشە، چاو ئارەزووی دەکات و وای لێ دەکات دانا بێت، لە بەرەکەی کردەوە و خواردی، دایە مێردەکەشی کە لەگەڵی بوو، ئەویش خواردی.
01030700ce	پاشان هەردووکیان چاویان کرایەوە و زانییان کە ڕووتن، ئیتر گەڵای هەنجیریان لێک دووری و پۆشاکیان بۆ خۆیان دروستکرد.
0103080169	ئینجا پیاوەکە و ژنەکەی گوێیان لە دەنگی یەزدانی پەروەردگار بوو کە لە کاتی هەڵکردنی شنەبای ڕۆژدا لە باخچەکەدا هاتوچۆی دەکرد، ئەوانیش لەنێو درەختەکانی باخچەکە خۆیان لە یەزدانی پەروەردگاریان شاردەوە.
010309007b	بەڵام یەزدانی پەروەردگاریش پیاوەکەی بانگ کرد و فەرمووی: «لەکوێیت؟»
01030a00c8	ئەویش وەڵامی دایەوە: «لە باخچەکە گوێم لە دەنگت بوو، بەڵام لەبەر ئەوەی کە ڕووت بووم، ترسام؛ ئیتر خۆمم شاردەوە.»
01030b00b5	ئەویش فەرمووی: «کێ بە تۆی گوت کە ڕووتیت؟ لەو درەختەت نەخواردبێت کە فەرمانم پێ کردبوویت لێی نەخۆیت؟»
01030c00a9	پیاوەکەش گوتی: «ئەو ئافرەتەی پێت دام لەگەڵم بێت، ئەو لە بەری ئەو درەختەی پێدام، منیش خواردم.»
01030d00de	ئینجا یەزدانی پەروەردگار بە ئافرەتەکەی فەرموو: «ئەمە چییە تۆ کردووتە؟» ئافرەتەکەش گوتی: «مارەکە فریوی دام و منیش خواردم.»
01030e012c	یەزدانی پەروەردگار بە مارەکەی فەرموو: «لەبەر ئەوەی ئەمەت کرد، «تۆ لە هەموو ئاژەڵێکی ماڵی و کێوی نەفرەتلێکراوتر دەبیت. هەموو تەمەنیشت لەسەر سکت دەخشێیت و خۆڵ دەخۆیت.
01030f00e5	دوژمنایەتیش دەخەمە نێوان تۆ و ئافرەتەکە، نێوان نەوەی تۆ و نەوەی ئەوەوە. نەوەی ئەو سەرت پان دەکاتەوە و تۆش پاژنەی پێی دەکوتیت.»
01031000f5	بە ئافرەتەکەشی فەرموو: «ئازاری سکپڕیت زۆر زیاتر دەکەم، بە ژانەوە منداڵت دەبێت. ئارەزووت بۆ پیاوەکەت دەبێت و ئەویش بەسەرتدا زاڵ دەبێت.»
010311017f	ئینجا بە پیاوەکەشی فەرموو: «لەبەر ئەوەی تۆش گوێت لە ژنەکەت گرت و لەو درەختەت خوارد کە فەرمانم پێ کردبوویت،”نابێت لێی بخۆیت،“«ئەوا زەویش بەهۆی تۆوە نەفرەت لێکراوە. بە ڕەنجکێشانیش هەموو ڕۆژانی ژیانت لێی دەخۆیت.
0103120056	دڕکوداڵت بۆ بەرهەم دێنێت و ڕووەکی کێڵگە دەخۆیت.
01031300e8	بە ئارەقەی ناوچەوانت نان دەخۆیت، هەتا دەگەڕێیتەوە بۆ زەوی، کە لێیەوە وەرگیراویت، لەبەر ئەوەی تۆ خۆڵیت و بۆ خۆڵیش دەگەڕێیتەوە.»
0103140070	ئادەم ناوی ژنەکەی نا حەوا، چونکە دەبێتە دایکی هەموو زیندووان.
0103150083	یەزدانی پەروەردگار بۆ ئادەم و ژنەکەی جلی لە پێست دروستکرد و لەبەری کردن.
010316015e	ئینجا یەزدانی پەروەردگار فەرمووی: «ئێستا مرۆڤ بووە بە یەکێکی وەک خۆمان، چاکە و خراپە دەزانێت، ئێستاش ڕێگەی پێ نادرێت دەستی درێژ بکات و لە درەختی ژیانیش بکاتەوە و بیخوات و بۆ هەتاهەتایە بژیێت.»
01031700b2	ئیتر یەزدانی پەروەردگار لە باخچەی عەدەن دەریکرد، بۆ ئەوەی لەو زەوییە ئیش بکات کە لێوەی وەرگیراوە.
010318011c	دوای ئەوەی مرۆڤی دەرکرد، بۆ پاسەوانی ڕێگای درەختی ژیان لە دیوی ڕۆژهەڵاتی باخچەی عەدەن کەڕوبەکانی دانا، لەگەڵ شمشێری گڕدار کە بە هەموو لایەکدا دەسووڕایەوە.
01040100c4	ئادەم لەگەڵ حەوای ژنی جووت بوو، ئەویش سکی پڕ بوو، قایینی بوو. گوتی: «لەلایەن یەزدانەوە پیاوێک بووە بەرهەمم.»
0104020082	پاشان هابیلی برای بوو. ئیتر هابیل بووە شوانی مێگەل و قایینیش جوتیار بوو.
0104030072	دوای ماوەیەک قایین هەندێک بەروبوومی زەوی پێشکەش بە یەزدان کرد.
01040400cd	هەروەها هابیل لە چەوری باشترین نۆبەرەی مێگەلەکەی پێشکەش کرد. جا هابیل و قوربانییەکەی جێی ڕەزامەندی یەزدان بوون،
01040500ba	بەڵام قایین و پێشکەشکراوەکەی جێی ڕەزامەندی یەزدان نەبوون، بۆیە قایین زۆر تووڕە بوو و ڕووی خۆی گرژ کرد.
0104060074	یەزدان بە قایینی فەرموو: «بۆ تووڕە بوویت و ڕووی خۆتت گرژ کردووە؟
0104070142	ئایا ئەگەر ئەوەی چاکە ئەنجامی بدەیت، قبوڵ ناکرێیت؟ خۆ ئەگەر ئەوەی چاکە ئەنجامی نەدەیت ئەوا گوناه لە بەردەرگا خۆی مات کردووە و ئارەزووت دەکات، بەڵام تۆ دەبێت بەسەریدا زاڵ ببیت.»
01040800d7	جا قایین بە هابیلی برای گوت: «با بچینە کێڵگەکە.» کاتێک هەردووکیان لە کێڵگە بوون، قایین پەلاماری هابیلی برای دا و کوشتی.
01040900a7	یەزدان بە قایینی فەرموو: «کوا هابیلی برات؟» ئەویش گوتی: «نازانم، ئایا من پاسەوانی براکەمم؟»
01040a00a1	جا یەزدان فەرمووی: «چیت کردووە؟ گوێ بگرە! دەنگی خوێنی براکەت لە زەوییەوە هاوارم بۆ دەکات.
01040b00a3	ئێستاش تۆ نەفرەتلێکراویت لەو زەوییەی کە دەمی بۆ وەرگرتنی خوێنی براکەت کردەوە لە دەستی تۆ.
01040c00a9	کاتێک ئیش لە زەوییەکەدا دەکەیت، چیتر بەری خۆیت ناداتێ. لەسەر زەوی دەربەدەر و بێ ئۆقرە دەبیت.»
01040d0078	قایین بە یەزدانی گوت: «سزاکەم لەوە گەورەترە کە بتوانم بەرگەی بگرم.
01040e00e6	ئەمڕۆ لەسەر زەوی دەرتکردم، لەبەر ئامادەبوونی تۆ ون دەبم و دەربەدەر و بێ ئۆقرە دەبم لەسەر زەوی. هەرکەسێکیش تووشم بێت دەمکوژێت.»
01040f0146	بەڵام یەزدان پێی فەرموو: «ناکرێت وابێت، هەرکەسێک قایین بکوژێت ئەوا حەوت ئەوەندە تۆڵەی لێ دەستێنرێتەوە.» ئینجا یەزدان نیشانەیەکی بە قایینەوە کرد تاکو هەرکەسێک تووشی بێت نەیکوژێت.
010410009b	ئیتر قایین لەبەردەمی یەزدان چووە دەرەوە و لە خاکی نۆد لە ڕۆژهەڵاتی عەدەن نیشتەجێ بوو.
01041100e7	قایین لەگەڵ ژنەکەی جووت بوو، ئەویش سکی پڕ بوو و حەنۆخی بوو. ئەو کاتە شارێکی بنیاد دەنا، شارەکەی بە ناوی کوڕەکەیەوە ناو نا حەنۆخ.
01041200ae	حەنۆخ عیرادی بوو، عیرادیش مەحویائێلی بوو، مەحویائێلیش مەتوشائێلی بوو، مەتوشائێلیش لامەخی بوو.
0104130083	لامەخ دوو ژنی هێنا، یەکێکیان ناوی عادا بوو، ئەوی دیکەشیان ناوی چیلا بوو.
010414007b	لە عاداوە یابال بوو کە باوکی چادرنشینان و خاوەن مەڕوماڵاتەکان بوون.
010415009f	براکەشی ناوی یوبال بوو کە باوکی هەموو ئەوانە بوو کە قیسارەیان دەژەند و شمشاڵیان لێدەدا.
01041600f5	چیلاش کوڕێکی بوو بە ناوی توبەل قەین، کە وەستای هەموو ئەو جۆرە ئامێرانە بوو کە لە بڕۆنز و ئاسن دروست دەکران. نەعماش خوشکی توبەل قەین بوو.
010417014d	لامەخ بە هەردوو ژنەکەی گوت: «عادا و چیلا، گوێتان لێم بێت، ئەی هەردوو ژنەکەی لامەخ، گوێ بۆ قسەکانم شل بکەن. پیاوێکم کوشتووە لەسەر ئەوەی برینداری کردم، لاوێکیش لەسەر ئەوەی زامداری کردم.
0104180086	ئەو بۆ قایین حەوت جار تۆڵە دەستێنێتەوە، بەڵام بۆ لامەخ، حەفتا و حەوت جار.»
0104190100	جارێکی دیکە ئادەم لەگەڵ ژنەکەی جووت بوو، کوڕێکی بوو و ناوی لێنا شیت. ئینجا گوتی: «لە جیاتی هابیل کە قایین کوشتی، خودا کوڕێکی دیکەی پێ بەخشیم.»
01041a00be	هەروەها شیت کوڕێکی بوو ناوی لێنا ئەنۆش. لەو کاتەدا بوو کە خەڵکی دەستیان کرد بە نزاکردن بە ناوی یەزدانەوە.
01050100a1	ئەمە تۆماری نەوەکانی ئادەمە. ئەو ڕۆژەی خودا مرۆڤی بەدیهێنا، لەسەر شێوەی خودا دروستی کرد.
0105020091	بە نێر و مێ بەدیهێنان و بەرەکەتداری کردن. ئەو ڕۆژەی بەدیهێنان ناوی لێنان «مرۆڤ».
01050300a2	کاتێک ئادەم تەمەنی سەد و سی ساڵ بوو، کوڕێکی بوو لە وێنەی خۆی و لە خۆی دەچوو، ناوی لێنا شیت.
0105040079	دوای لەدایکبوونی شیت، ئادەم هەشت سەد ساڵ ژیا، کوڕ و کچی دیکەشی بوو.
0105050057	هەموو تەمەنی ئادەم نۆ سەد و سی ساڵ بوو، ئیتر مرد.
0105060077	کاتێک شیت تەمەنی سەد و پێنج ساڵ بوو، ئەنۆش لە نەوەی ئەو لەدایکبوو.
0105070085	دوای لەدایکبوونی ئەنۆش، شیت هەشت سەد و حەوت ساڵ ژیا، کوڕ و کچی دیکەشی بوو.
010508005b	هەموو تەمەنی شیت نۆ سەد و دوازدە ساڵ بوو، ئیتر مرد.
010509005c	کاتێک ئەنۆش تەمەنی نەوەد ساڵ بوو، قێنان لەدایکبوو.
01050a008b	دوای لەدایکبوونی قێنان، ئەنۆش هەشت سەد و پازدە ساڵ ژیا، کوڕ و کچی دیکەشی بوو.
01050b005b	هەموو تەمەنی ئەنۆش نۆ سەد و پێنج ساڵ بوو، ئیتر مرد.
01050c007b	کاتێک قێنان تەمەنی حەفتا ساڵ بوو، مەهلەلئێل لە نەوەی ئەو لەدایکبوو.
01050d008d	دوای لەدایکبوونی مەهلەلئێل، قێنان هەشت سەد و چل ساڵ ژیا، کوڕ و کچی دیکەشی بوو.
01050e0057	هەموو تەمەنی قێنان نۆ سەد و دە ساڵ بوو، ئیتر مرد.
01050f0085	کاتێک مەهلەلئێل تەمەنی شەست و پێنج ساڵ بوو، یارەد لە نەوەی ئەو لەدایکبوو.
010510008d	دوای لەدایکبوونی یارەد، مەهلەلئێل هەشت سەد و سی ساڵ ژیا، کوڕ و کچی دیکەشی بوو.
0105110075	هەموو تەمەنی مەهلەلئێل هەشت سەد و نەوەد و پێنج ساڵ بوو، ئیتر مرد.
0105120085	کاتێک یارەد تەمەنی سەد و شەست و دوو ساڵ بوو، حەنۆخ لە نەوەی ئەو لەدایکبوو.
010513007d	دوای لەدایکبوونی حەنۆخ، یارەد هەشت سەد ساڵ ژیا، کوڕ و کچی دیکەشی بوو.
0105140065	هەموو تەمەنی یارەد نۆ سەد و شەست و دوو ساڵ بوو، ئیتر مرد.
0105150083	کاتێک حەنۆخ تەمەنی شەست و پێنج ساڵ بوو، مەتوشالح لە نەوەی ئەو لەدایکبوو.
01051600a9	دوای ئەوەی حەنۆخ مەتوشالحی بوو، سێ سەد ساڵ دۆستایەتی خودای کرد، هەروەها کوڕ و کچی دیکەشی بوو.
0105170067	ئیتر هەموو ماوەی ژیانی حەنۆخ سێ سەد و شەست و پێنج ساڵ بوو.
0105180081	حەنۆخ دۆستی خودا بوو، ئیتر کەس نەیبینییەوە، چونکە خودا بردی بۆ لای خۆی.
010519008f	کاتێک مەتوشالح تەمەنی سەد و هەشتا و حەوت ساڵ بوو، لامەخ لە نەوەی ئەو لەدایکبوو.
01051a009b	دوای لەدایکبوونی لامەخ، مەتوشالح حەوت سەد و هەشتا و دوو ساڵ ژیا، کوڕ و کچی دیکەشی بوو.
01051b0069	هەموو تەمەنی مەتوشالح نۆ سەد و شەست و نۆ ساڵ بوو، ئیتر مرد.
01051c0066	کاتێک لامەخ تەمەنی سەد و هەشتا و دوو ساڵ بوو، کوڕێکی بوو.
01051d00e4	ناوی لێنا نوح و گوتی: «ئەمە لە کار و ماندووبوونی دەستمان دڵنەواییمان دەکات، کە لەو زەوییە دەیچێژین یەزدان نەفرەتی لێ کردووە.»
01051e0093	دوای لەدایکبوونی نوح، لامەخ پێنج سەد و نەوەد و پێنج ساڵ ژیا، کوڕ و کچی دیکەشی بوو.
01051f006d	هەموو تەمەنی لامەخ حەوت سەد و حەفتا و حەوت ساڵ بوو، ئیتر مرد.
0105200070	دوای ئەوەی نوح تەمەنی پێنج سەد ساڵ بوو، سام و حام و یافەتی بوو.
0106010070	کاتێک مرۆڤەکان لەسەر زەوی دەستیان بە زۆربوون کرد و کچیان بوو،
0106020096	کوڕانی خودا بینییان کچانی مرۆڤ جوانن. جا لە هەموو ئەوانەی هەڵیانبژاردن ژنیان هێنا.
01060300da	ئینجا یەزدان فەرمووی: «ڕۆحی من هەتاسەر ململانێ لەگەڵ مرۆڤ ناکات، چونکە مەرگدارن؛ ڕۆژانی ژیانیان دەبێتە سەد و بیست ساڵ.»
0106040133	لەو ڕۆژانەدا لەسەر زەوی نەفیلیم هەبوون. لەدوای ئەوەی کوڕانی خودا چوونە لای کچانی مرۆڤ منداڵیان لێیان بوو، منداڵەکان بوونە ئەو پاڵەوانانەی کە لە کۆنەوە ناوبانگیان هەیە.
01060500e1	یەزدان بینی کە خراپەکاری مرۆڤ لەسەر زەوی زۆر بووە، هەروەها هەموو بیروبۆچوونەکانی دڵیشی بە درێژایی ڕۆژ تەنها لەلای خراپەیە.
0106060089	یەزدان خەفەتبار بوو کە مرۆڤی لەسەر زەوی دروستکردبوو، هەروەها دڵگرانیش بوو.
010607012a	ئیتر یەزدان فەرمووی: «مرۆڤ دەسڕمەوە، ئەوەی لەسەر ڕووی زەوی دروستم کرد، مرۆڤ و ئاژەڵ و بوونەوەری خشۆک و باڵندەی ئاسمان، چونکە خەفەت دەخۆم لەوانەی کە دروستم کردوون.»
0106080060	بەڵام نوح لەبەرچاوی یەزدان ڕەزامەندی بەدەستهێنابوو.
01060900a9	ئەمانەش نەوەکانی نوحن. نوح پیاوچاک و بێ کەموکوڕی نێو خەڵکانی سەردەمی خۆی بوو، دۆستی خودا بوو.
01060a003c	نوح سێ کوڕی بوو: سام و حام و یافەت.
01060b0064	زەویش لەبەردەم خودا گەندەڵ بوو و پڕیش بوو لە توندوتیژی.
01060c009f	خودا بینی زەوی چەند گەندەڵ بووە، چونکە هەموو مرۆڤێک ژیانی خۆی لەسەر زەوی گەندەڵ کردبوو.
01060d010b	ئیتر خودا بە نوحی فەرموو: «من کۆتایی بە بوونی هەموو ئادەمیزاد دەهێنم، چونکە بەهۆی ئەوانەوە زەوی پڕ بووە لە توندوتیژی. وا لەگەڵ زەوی لەناویان دەبەم.
01060e00b3	کەشتییەک بۆ خۆت لە تەختەی دار سەروو دروستبکە و بیکە بە لانە و بە قیر دیوی ناوەوە و دەرەوەی سواخ بدە.
01060f00a6	بەم شێوەیەش دروستی بکە: درێژییەکەی سێ سەد باڵ و پانییەکەی پەنجا باڵ و بەرزییەکەی سی باڵ بێت.
010610013e	لە بەشی سەرەوەی کەشتییەکە بە ئەندازەی باڵێک بۆشایی بەجێ بهێڵە، ئینجا سەربانێکی بۆ دروست بکە. دەرگای کەشتییەکەش لەتەنیشتەوە دابنێ. با سێ نهۆم بێت، خوارەوە و ناوەڕاست و سەرەوە.
010611012b	من وا ئاوی لافاو بەسەر زەویدا دەهێنم، بۆ لەناوبردنی هەموو ژیانێک لەژێر ئاسمان، هەروەها هەموو زیندەوەرێک کە هەناسەی ژیانی تێدایە. هەرچییەک لەسەر زەوییە لەناودەچێت.
