2800000007	Matiewo
280207007e	Lanyapo, Herodi ń wuoni, ki yini a ŋmaabila banda yeni, ki buali ki bandi ya yogu ke ki ŋmaabiga yeni den pudi ki ñigdi.
28020800a5	Ki waani ba ke ban gedi Betelema, ki maadi ba: “Gedi mani ki ban ga ki bigi yeni laabaali bonŋanla, I ya la o, yin guani ki maadi nni, mini mo ń gedi ki pugi o.
28020900ab	Ban cengi o badciamo ki gbeni, ban ña ki paani u sani. Ban den la ya ŋmaabiga puoli yeni ń go legdi bi liiga, ki ya cuoni, ki ban pundi ki biga ń ye naani, ki sedi.
28020a0031	Ban la ki ŋmaabiga, bi pala ń mangi boncianla.
28020b00aa	Ban kua li dieli nni, ki la ki biga yeni o naá Maari, ki gbaani ki pugi o, ki fiidi bi ligbɔga, ki ñani wula, li ŋubli yeni ya tolade n yi miiri ki teni o bi paabu.
28020c0071	Bi den la ti dangdi nni, ke li ki buali ke ban guani ki tɔgni Herodi po, ke bi kogni santianu, ki lebdi ki kuni.
28020d00f3	Puoli banda yeni ń kuni, ke maleki legdi ti dangdi nni, ki maadi Jesefi: “Fii, ki taa ki biga yeni o naá, ki sani ki gedi Ejipti, ki ya ye lanpo hali min ba waani a ya yogu; kelima Herodi ba kpaani ya sani ke o ba biani ki biga ne miali.
28020e004d	Josefi ń fii ku ñiagu ki taa ki biga yeni o naá, ki sani ki gedi Ejipti
28020f00b1	Bi den ye Ejipti hali ke Herodi ti kpe. Li tieni yeni ke O Diedo ń bo cedi ke sawalualo waani yaali yeni ń tieni ki dudi: “N yini n bijua, ki ñani o Ejipti tinga nni.”
280210012b	Herodi ń diidi ki sua ke puoli ŋmaabanda yeni bɔndi o, ke o pali beni boncianla, ke sɔni ke ban kpa Betelema dogu nni yeni li tinkundogi kuli, ya bonjabila pia bina lie yeni yaaba n nagi bina lie nani wan den buali ki bi waani o ya yogu yeni, ke o jia ki dagni ki biga yeni ń baa pia ya bina.
280211003d	Mɔla, o sawalpualo Jeremi ń den waani yaali tieni ki dudi:
28021200a6	Bi gbadi i yigni Roma dogu nni, li bubuuli i kuumoe yeni i fanfabinciami, Raciheli ń buudi o bila kuumoe, kaa bua ban baagi o, ki sɔngi opali, kelima, bi ji ki ye.
2802130046	Herodi ń kpe, ke maleki legdi ti dangdi nni Ejipti, ki maadi Josefi:
2802140088	ki yedi: “Fii, ki taa ki biga yeni o naá ki gedi Israyeli dogu nni, kelima yaaba n den kpaani ke ban gbindi ki biga miali nan kpe o.
280215003e	Josefi ń fii, ki taa ki biga yeni o naá, ki gedi Israyeli.
28021600a1	O den gbadi ke Arkelawus n ga o báa Herodi, ki kaa Jude badkpagli po, ke o jie yen wan gedi li dogu nni. O den la ti dangdi nni ke li buali ke wan gedi Galile,
2802170080	ke o gedi ki kua ya dogu ke bi yi Nasareti, ke bi sawalpuaba n den waani yaali ń tieni ki dudi: “Bi baa yi o Nasaeti yua.”
280301004e	Lanyogu, ke Jan bo legdi Jude tinkuonga nni, ki kpaandi ki wangi U Tienu maama
280302003c	O den maadi: “Lebdi mani i pala kelima tanpoli diema nagi.
28030300b5	Jan tie o sawalpualo Esayi ń bo tuodi ki waani yua ya maama, ki tua: “Ne tie yua ya nialu n kpaandi ki tinkuonga nni ki tua: «Bobni mani O Diedo sanu, sondi mani o sanbulmu.”
2803040081	Jan bo la ti yodyuokobdi liadgaalgu, ki ñaagi o ciaga nni ku gbanñagdigu. O bo ŋmani ti naasuudi, ki mua li fuali nni siadi.
2803050052	Jerusalema niba, yeni Jude yaaba kuli yeni Jurden tinkundogi yaaba den caa o kani.
2803060057	Bi den tuodi ki dɔgdi ki wangi bi tuobiidi, ki cedi ke Jan batise ba Jurden kpenu nni.
28030700ac	Ama wan den la ke farisienba yeni saduseyenba boncianla kpendi o kani ki bua wan batise ba, ke o maadi ba: “Waalaba buoli, ŋma waani yi ke yin sani ya pabienli n kpendi.
280308002c	Yin nan loni ya luana n dagdi yeni i tuubma.
28030900b4	Yin da daani i ala nni ki tua: “Ti pia Abalahama ke o tie ti báa! Kelima n kadi ki maadi yi ke a tana ne siiga nni, U Tienu ba fidi fiini ya bila n tie Abalahama puolŋuani.”
28030a0063	Ku yalgu ji caa i tiidi jiina po i; ya tiiga n ki luoni luanŋana, bi ba pedi bu ki lu bu u mu nni.
28030b00ee	Mini, n batise yi yeni mi ñima ki bua yin legdi ki waani i biidi ki lebdi i pala. Ama yua n ŋua n puoli ki ba cua pia u paaciamu ki cie nni, hali ke n kan fidi ki pili o taacaakpaga. Wani ba batise yi yeni U Tienu Foŋanma yeni u mu i.
28030c00b2	O ji muubi li bonlendkaali o nuu nni i. O ba ŋanbi ki tigni u jalu, ki tini ki taani mi dibima, ki wodi ki kuodi li bunbuali nni, ki nan juu ku fengu ya mu n ki pia gbindma nni.
28030d0051	Lanyognu ke Jesu ñani Galile ki cua Jurden kpenu nni, Jan kani ke wan batise o.
28030e004f	Ama ke Jan yie, ki yedi: Mini n bua ŋan batise nni, ke a mo nan cua n ya kani!
28030f008e	Ke Jesu jiini o: «Ji cedi lan tieni yeni kelima li buali ke tin tieni yeni i yaali n tiegi kuli ń tieni ki dudi. Jan ji den ki yie o maama.
2803100084	Ban batise Jesu, ke o ñani mi ñima nni, ke tanpoli luodi, ke o la ke U Tienu Foŋanma jiidi nani ki kpaajiega yeni ki sedi o po.
280311006b	Ke u nialu ñani tanpoli, ki yedi ya maama ne: «O ne tie n bijabuadga i, n pali mani o po hali boncianla.
280401003d	Ki fuoŋanbi gedi yeni Jesu i tinkuongi n, ki sitaani bign o.
280402004a	Ki Jesu loli bu ñɔbu yentuna piina yeni ñiadi piina, ki mi komi cuo gu.
2804030051	Ki sitaani nagni ki maad o, ya tie U Tienu bijua cedi k a tana ne n kpandi jiedi.
2804040081	Ki jesu ŋmian o: li diani ki maadi, k ti jiedi po baba k a cedi k o nul pia li miali, ama ya maataana kuli ña U Tienu ñɔbi n.
280405004d	Ki sitaani tug o ki gedi yen o dingbanli ni, ki duon o jaandieciangu yuli po.
2804060091	Ki maadi o: a ya tie U Tienu b ijua, ŋan yugi ki jiidi, klima li diani ki maadi: U Tienu tondikaaba ba tebni ki gaba, ba k a taali n da si tanli
280407003a	Ki Jesu yedi o: li mɔ diani ka kan bigni a diedo U Tienu.
2804080076	Ki sitaani guani ki tugi o ki gedi yeni o ya juali n kpedi paaa yuli po, ki waani o duliña munli kuli yeni li ŋanmu,
2804090046	ki maadi o: n ba teni a lan kuli ne, li ya tie k a gbaani ki pugi nni.
28040a006e	Ki Jesu yedi o: sudi n kan ne, fin sitaani! klima a baa pugi a Diedo U Tienu baba i, ki gɔ dondi wani baba i.
28040b0050	Ki li yogu sitaani siedi ki ŋagu. Li yogu, ki maleki nba nagni ki tieni o buama
28040c003e	Ki Jesu gbadi ki bi cuo San, k o ñani li kani ki gedi Galile.
28040d0065	O ñani Nasareti ki gedi kafarnahom ki li ki fagi yeni li mɔgli, babilɔni yeni Nepitaali tingn nni.
28040e004e	Ki lan fidi U Tienu tondu Esayi n bo maadi yaali n fidi ki tieni yeni i mɔni.
28040f0083	Yabulɔn yeni Nepitaali dogi n yaabi, yeni yaabi n kua ki kpia li mɔgli bɔnpuoli po Juuridan dogu yeni Galiile yaabi bi nimɔnbi.
2804100092	Li dogu n yaabi den ye bɔnbɔnli nni, k te la ya yinyienbi n yabi; ki yaabi n den kali mi kuuma bɔnbɔnli po mɔ la ya yinyienbi n cua ki fandi.
280411006b	Ki li yogu ki Jesu ji cili ki muandi ki maadi, ŋa mani i tuonbiidi ki lebdi i ba klima U Tienu diema nago.
28041200a9	Li bo tie yeni k o cuoni Galiile li mɔgli kung, ki la o ninjabi bonbilie, Siimɔn, yua ki bi yiigu Piar yeni Andre ki bi lu bi janbaandi li mɔgli nni ki kpaani i jami.
2804130058	Jesu maadi ba: ya ŋua man n ni, n bi cedi yin ya kpaani bi niba ki ji cedi li jancuoli.
280414002f	Li yogunu, ki bi ŋa bi janbaandi, ki ji ŋuagu
2804150094	Ki wan cuoni ki gedi liigi waami, k o la o ninjanbi bonbilie mɔ Jaak Sebede bidi yeni San o kpelo ki bi ye o ñunbiagu nni ki ŋanbdi bi janbaandi.
280416003f	K o yinbi, ki bi ŋa bi janbaandi yeni bi baà, ki ji ŋɔd o.
2804170060	O bo cuoni Galiile jandieciandi nni, ki muandi U Tienu diema maama, ki paagdi i yian buoli kuli.
28041800b2	Bi ji den taagi o yeli kaana kuli Siri dogun ni, ki bi cuoni o kani yeni yaabi n yia i yian buali kuli: yaabi ka sanpola ŋuabi, yaabi n baali i ting yeni ti gbannankpiendi danb.
280419004f	O nuwuligu ji den ŋua o: Galiile, Dekapol, Jerusalem, Jude yeni Jourdin puoli.
280501004a	Wan la o niwulgu, k jesu don li juali po, k oyegntieb nagni ki kal o kani.
2805020030	yeni wan yaadi o nɔbu, ki tundiba, ki maadi ba:
2805030056	pamanli tie yaabi n jiindi bi ba, ki duu U Tienu po i. Ban n tie U Tienu diemani niba.
280504002e	Pamanli ye, yeni yaabi n kaa yeni ti ninsiidi.
280505004a	Pamanli ye, yaabi n pia li pañiili, klma U Tienu bo ti cabi bani i tinga.
2805060061	Pamanli tie yaabi n buudi mi koma yeni o ñuñuunu, i mɔmɔni sanu nni, klma bi ti ba di ki guo.
2805070048	Pamanli bi ninbadama po, klma bi bo ti di li danbi mɔ ya po m ninñuma.
2805080043	Pamanli tie yaabi n pia li papienli, ki dugni ban ba ti la U Tienu.
2805090063	Pamanli tie yaabi n kpaani laafia yen m buama bi lieba po, ki dugni U Tienu ba ti yini bani o bidi.
28050a006f	Pamanli tie yaabi n tuagi i mɔmɔni sanu, ki bi nan wangi bi fala li po, kilima bani n tie U Tienu diema yabi.
28050b0089	Pamanli yen ŋanbi ki loli ki cuo, yayognu ki bi sugdi, ki maadi ti maa biidi, ki pua mi faama, ki tiendi li bonbiili ki dugni min ya po.
28050c00a0	Ya ye mani li pamanli nni yeni i lalayien nni, ki dugni i ñuadi ti ba yabi tapoli po, ki dugni yaabi cindi ki tie U Tienu tondikaaba, bi den cagni bi mɔ yeni.
28050d00b7	I tie yaami i tinga ne po. Ama, li ya tie ki mi yaama manu gbeni, bi ba tugi be ki guani ki mang o? li ji ki pia buama. Li tie ki ban tugi ki wuli niin po, bi niba n ya ŋmaadi li po.
28050e0052	Yinbi n tie ŋanduna yinyiem, ya dogu n ye li juali po, bonli kan fidi ki legni o.
28050f0083	Yeni, bi ki congi li fidli ki cubdili bobl nni. Ama bi yi cuon li fidli ki sien o naani ki li baa co ki yieni deni yaabi kuli po i.
2805100065	I mɔ ya yinyienm n ya fandi bi niba ki ban fidi ki la i tuonŋanma, ki dondi i baa yua ye tapoli po.
2805110078	Yin da maali, k n cua k min piini bi tondikaaba yikodi kaa, n cua k min piin ka, ama n cua ki min waani lan buali yaali.
280512008a	Klima n maadi yeni i mɔni: tapoli yeni i tinga ya bua lan waagi nandi, ba lanbonli kan fidi ki piini yeni ya yognu k li kuli ne bo pundi.
28051300c7	Yua daani U Tienu maama nni, k ki cɔlni, wan n bo te juodi U Tienu diema nni. Ama yua cɔlni U Tienu diema maama kuli, ki wangi o lieba, k ban ya tie yeni, wani n baa tie nigbengl U Tienu diema nni.
2805140078	Ki dugni, n maadi, i bontitiedi ya ki ŋani cie U Tienu kadaagu gbanbanda yen farisien nba, i kan kua U Tienu diema nni.
2805150075	I gbadi ki bi bo maadi ti yaja nba: a kan kpaa nulo, ki nulo ya kpaa o lielo, bi bo yi gedi yen o ti buudi danb kani.
28051600f3	Ama min maadi: yua beni o pali o ninja po, li buali ki ban gedi yen o ti buudi danbi kani. Nulo ya sugdi o ninja k o tie fanbi, bi bo gedi yen o suif nba buudi danbi kani. Nul ya maadi k o ninja tie yukpienli, bi ba lugu ya mu n kan jundi nni.
280517004d	A ya cua sala yid kanu, ki ba yid sala ki tiadi k a ninjua pia m maama yen a;
280518006e	ŋan daani a sala yid kaanu, ki gedi k fin yeni a ninjua n mang yen lieb o, ŋan fidi ki guani ki yidi a sala.
28051900ce	ŋanbi k cuo a ba fin yeni a lielo ya pia maam; ki yegi ki ca buud daan o kani, ŋan tuodi yin gbadi i lieba maama ki sua ki da paa o san po, wan da ti gedi yen a bi buudi danbi kani, ki ti cedi ban luon a.
28051a006d	N maad a yeni i mɔni: a kan ñan lan kani, ka ki pani, hali ya yognu ka bi pa li kuli ki kan sieni ba kuuga.
28051b0034	I gbadi ki bi bo maadi: a kan dua yeni nuli den pua.
28051c0053	Ama min nan maadi: yua nuali o pua k o yanma kua li pua ni, o dua yen o o pali nni.
28051d00c1	A nujienu ninbinli ya ye a po ki cedi ka tie biidi, ŋan ñan o ki lu fagm ki dugni bonyenli ya ki ye a gbanandi po, lan n pia ti ñuadi, yen ban ti taa ŋa ki lu a ya mu n kan bangi jundi nni.
28051e0089	Li ya sua ka nujienu n kuand a ti biidi nni, jiagu ki lu fagma, ki dugni lan n su yeni a gbanandi kuli n ya ye ya mu kan bangi jundi nni.
28051f0048	L den maadi ki yua ñani o denpua, wan ten o ya til n wang i k o ñan o.
28052000c2	Ama min n maadi, yua ñani o denpua k li tie mi cuncuma po, li pua ya gedi ki dua yeni ja tian o, o kuani o denpua mi cuncuma nni. Yua kuani ya pua ki o calo ñan o, o mɔ gɔ tieni mi cuncunmi.
280521009a	I gɔ den kpeli ki gbadi ki bi maadi ti yaja nba: a kan maadi maama ki poli ki kandi U Tienu, ki bani ka fa faogu, a ya poli ka bo tieni yaali ŋan tieni.
280522007f	Ama min, n maadi, da l polgi mani can yi i i. Da polgi mani tapoli po, ki dugni tapoli tie naani k U Tienu kaa ki buu ti buudi.
280523008c	Ba yin da polgi tingi klima li mɔ tie naani k o ŋmaadi o taali, daa polgi mani ba serusalem, ki dugni serusalem tie o bado U Tienu dogu i.
2805240055	Da puoni a yuli ki poli, klima a kan fidi ki cedi baa a yuyengu n pendi bi ki bɔndi.
2805250092	I maama ni i bani ki yaali n tie mɔni, yin maadi ki li tie mɔni; yaali n tie faogu, ki li tie faogu i. Yaali n sieni kuli ña ti tuonbiidi kani.
28052600c0	I kpeli ki gbadi ki bi maadi: ki nulo ya pua ki pudi o lielo ninbinli, li ŋan ki ban pua ki pudi o mɔ ya ninbinli; a pua ki fendi a lielo ñinli, li buali ki ban pua ki fend a mɔ ya ñinli.
280527006e	Ama min, n maadi: daa gaani man bi niba biadima. Nil ya pab a u jienu kpianu, cab o u ganu kpianu ki wan pabi.
2805280046	Nulo ya bua bu yen a ki fie a liadi bigi, ŋan cab o a liadi jali mɔ.
2805290053	Nul ya niina ki ŋan cuoni ki gedi ya banli fagi, ŋan taa li banli fagnu bonbilie.
28052a0031	Teni yua miad a, da beli yua bua ki ŋan kpend o.
28052b004a	Igbadi k bi bo maadi: ya bua mani i lieba, ki da bua mani i nandanba beba.
28052c007a	Ama min, n maadi: ya bua mani i nandanba, ya jaandi mani yaabi n sɔlgi po, k nan ni; ya jaandi mani yaabi wangdi fala po.
28052d00b9	yeni, ki ba fidi ki waani ki tie baá yua tagi poli po bidi. Kilima, wani n cedi k o yienu pudi bi nibiadma po yeni bi nimɔnbi po, ki cedi ki taagi ba, bi nimɔnba yeni ti nibiidi po.
28052e005b	I ya bua yaabi n bua yinbi beba, i laa ñuadi ki bo laa i? Bi dogdanbi mɔ ki kubi yen kaa?
28052f0071	I ya fuondi i naataani beba, i ji tie bee k li cie i liebi? Yaabi n ki ŋua U Tienu maama, bi mɔ ki tie yen kaa?
2805300061	Yin ji ya tie nimɔnbi, ki da pia biidi k tie nani i baá yua ye tapoli n tie nimɔn maami yeni.
280601007e	Yin fangi mani i yula ki da wangi bi niba siigi ke ban la ke i tiegi. Yeni i ji kan baa ñuadi i Báa yua n ye tanpoli kani.
28060200dc	A ya ba tieni salga a luoda po, ŋan da piebi a naatuna nani bi muyidanba ń tiendi maama yiko bangma diena nni yeni a sanjala po, ke bi niba ń kpiagi ba. N kadi ki maadi yi i mɔmɔni ke bani wani ba bi paabu n yeni.
2806030052	Ama a ya bua tieni a luoda salga, a nuuganu ń da bani a nuujienu ń tieni yaali
2806040070	Lan fidi ke a salga ń tieni ŋasiili nni, ke a Báa yua n nua bonli kuli ŋasiili nni ń ŋmiani a a ŋanma.
28060500c1	I ya jaandi, yin da tie nani bi muyidanba yeni, bani yaaba n maani ki se ti jaandiedi nni, yeni a sanjala po ki jaandi, ke bi niba ń la ba. N maadi yi i mɔmɔni ke bani wani la bi ñuadi o.
2806060098	A ya ba jaani, ŋan kua a dieli nni, ki luoni li ganli, ki jaandi a Báa yua n ye ŋasiili kaanu; a Báa yua n nua ŋasiili nni ba ŋmiani a a ŋanma.
2806070075	I ya jaandi, yin ŋa mi maacianma nani bi nilanba ń maali maama ke mi maacianma n ba cedi U Tienu ń ga bi jaandi.
2806080062	Da togdi mani bi tuada kelima i Báa bani yin bua yaali bá ke i dá ki cili i jaandi ki mia o.
2806090056	Yin baa jaandi maama n ne o: Ti Báa yua n ye tanpoli! a yeli ń gagdi ti gandi nni;
28060a0041	A diema ń pundi; a buama ń tieni tinga nni nani tanpoli yeni.
28060b001d	Puni ti dinne ti yentunjiema;
28060c0056	ŋan tieni ti tuonbiadi po sugli nani ti mo ń́ tiendi sugli yaaba biidi ti po yeni;
28060d0099	Da ŋa tin baa mi biigma nni, ama ŋan fie ti o biado nui nni. Kelima mi diedma, u paaciamu yeni ti kpiagdi ti a yaali hali ya bina n ki pia gbenma. Ami!
28060e0051	I ya dini sugli yaaba n biidi i po, i Báa yua n ye tanpoli mo ba di sugli i po;
28060f0054	Ama i ya ki dini sugli ya niba n biidi i po, i Báa mo kan di sugli i tuonbiadi po.
28061000be	I ya loli bu ñɔbu, yin da biidi i pala nani bi muyidanba yeni, bani yaaba yen ŋmidi ki nunga, ke ban waani bi niba ke bi loli bu ñɔbu. N maadi i mɔni, bani wani la bi ñuadi n yeni.
280611004f	Ama a ya loli bu ñɔbu, ŋan jɔgi a yuli tolade, ki faadi ki ŋanbi a nunga.
2806120087	Ki da waani bi niba ka ke a loli bu ñɔbu ama a Báa yua n ye ŋasiili nni. Ke a Báa yua n nua ŋasiili nni ba ŋmiani a a ŋanma.
280613007b	Da dogindi mani ki tinga ne ŋalmani, naani ke ti bonlulugdi yeni i tontontanmɔni ba biani, naani ke a suuda ba kua ki su.
280614007e	Ama yin ya lingi ki dogindi ŋalmani tanpoli naani ke ti lulugdi yeni i tontontanmɔni kan biidi, ke a suuda mo kan kua ki su.
2806150037	Kelima a ŋalmani ń ye naani, a pali mo ye lankani i.
280616004a	Bu nunbu n tie u gbanu fidsanga. A nunbu ya ŋani, a gbanu kuli baa yieni;
2806170096	Ama a nunbu ya ki ŋani, a gbanu kuli baa ye li bɔnbɔnli nni i. Lanwani i, ya yenyenma n ye a niinni ya tua bɔnbɔnli, li ba tua a po biigcianli i!
28061800cd	Nilobá kuli kan fidi ki ya tuuni canbáanba bilie po. Kelima o baa nani yendo, ki nan bua o lielo; lani yaa ka wan ya taabi yendo ki nan fali o lielo. I kan fidi ki ya tuuni U Tienu po yeni ŋalmani po.
28061900b6	Lani n cedi ke n maadi yi: «Da yagni mani i yama i miali o, yin ba di yaali lani yaa ka i gbanu po ti tialakaadi po. Li miali ki cie mi jiema aa, bii u gbanu n ki cie ti tialakaadi?
28061a00b9	Diidi mani tanpoli bonyugda: ŋaa buu, ŋaa go yendi mo; ŋaa nan go begindi bonjekaali bá kuli bunbuana nni; Ama i Báa yua n ye tanpoli nan dindi ŋa. I ki pia fuoma ki cie ŋa aa?
28061b0057	I siiga nni, ŋma ba fidi o yanyagdi po, ki pugni bá nuukpandunyenli o miali dana po?
28061c0080	Ke be n cedike i yagni i yama ti tialakaadi po? Diidi mani u kuanu nni ku muapuugu ń tie maama: kuu tuuni kuu go pua gaali mo;
28061d006d	ama, n maadi yi ke bá Salomoɔn yeni o kpiagdi kuli, o nan ki fidi ki nandi yeni bá yengu ń bobi maama.
28061e00a4	U Tienu ya bobindi u kuanu nni muagu yaagu ye dinne ke bi ba fandi ki kuuni gu u fanu nni, li ba ga ledi i, ke o kan bobni yinba ya niba n ki pia dudugdi boncianla.
28061f0059	Lanwani i yin da yagni mani i yama, ki tua: “Ti ba di be? Ti ba ñu be? Ti ba bobi be?
2806200063	Keli ma lani ya bona kuli, bi nilanba n lingi lani. I Báa yua n ye tanpoli bani ke i bua lankuli.
280621005c	Yin dá cindi ki lingi mi teginma yeni U Tienu diema; I ba yuandi ki lani ya bona ki pugni.
2806220057	Da yagni mani i yama saala po; kelima saala ba kubi li yuli. Daali kuli yeni li fala i.
280701002f	Daa jaligi mani uba, k U Tiernu mɔ kan jaligi.
280702006f	Ki dugni bu te bo jaligi i mɔ, ti buud daali. yin bigdi maami ki tieni yeni, bi te ba bigni yeni ki ten i mɔ.
2807030060	Be cedi ka nɔ o muanu a ninjua ninbinli nni, k ji ki nɔ o kpadijengu yaali n paani a yali nni.
280704006d	A ba tieni ledi ki maadi a ninjua ki wan ŋa k a ñani o muani o ninbinli nni, ki nan ki nua a ya kpadijengu.
280705006b	Monafigi, ñan ya kpadijengu ye a ninbinli no, ki fidi nuali ki ñani o muanu a ninjua mɔ ya ninbinli nni.
28070600c2	Da tugdi mani yali n tie U Tienu yaali ki tieni sangbanli, aya tieni yeni bu juni ni; gɔ da tugdi mani ya laani ki bi tagi yeni wula ki luni i duoli nintuanl ni, i tieni yeni, b bu ŋmaa li po.
2807070050	Mia mani, bi ba teni, kpaan maani, i ba la, pua mani li ganli, bi ba luodi i po.
2807080047	Klima: b tieni yua miadi, ki yua kpaani mɔ laadi, ki luodi yua pua po.
2807090048	I siign nni, ŋmaa n bu teni o bigi li tanli, li ya tie k o miagu kpanu?
28070a0026	bii waa li ya tie k o miagu o jam mii?
28070b008a	Yeni yin bia maami kuli, i bani ya bo ŋana ki ba teni i bidi, taalm ŋaa po i, ki i Diedo ba teni yaali kuli ki bua li ya tie ki miagu i.
28070c0091	Yin bua ki bi nibi n ya tiendi yaali kuli i po, i mɔ n ya tiendi yeni li nibi mɔ ya po, ti yikodi yeni U Tieu tondi kadaagu n maadi yaali yeni.
28070d0081	Kua mani ya diñɔbu ñidi, klima ya diñɔbu n yabi sanu caa mi tudmi nni, ki bi niba boncianli nan ŋanbi ki togi lan ya sɔnu.
28070e005d	Ama ya diñɔbu ñidi ya sɔnu tie makpangbendgu sɔnu, ki yaabi n togi lan kani nan ki yabi.
28070f008f	Fangi mani i yula yeni mi tofaama sawalpuaba, bi yi nagni i kani ki tie nani pañoe yeni, ama bi pala nni, ke bi bia nani i fuasangbanli yeni.
2807100048	Bi luana n wangi ban tie yaaba. Bi ba fidi ki lali duudi konkonbu po oo?
280711004f	Li go tie yeni i, tiiŋanbu kuli ba loni luanŋana i tiibiibu mo ń luanbiidi.
280712004e	Tiiŋanbu kan fidi ki loni luanbiigu, tiibiibu mo kan fidi ki loni luanŋanli.
2807130040	Ya tibu n ki luoni luanŋana kuli, bi yi cua bu, ki lu u mu nni.
280714002b	Lanwani ii, bi yi bandi ba bi luana kani i.
2807150086	Li ki tie yua n yi nni “O Diedo, O Diedo” ka ba kua U Tienu Diema nni, kase yaaba n tie n Báa yua n ye ŋaljanli nni buama baba.
28071600b3	Li daali ya pundi, bi niba boncianla ba maadi nni, “O Diedo, O Diedo”, ti den ki jaani ki miadi a yeli po ki bieli mu cicibiadmu uu? A yeli po ti ki tieni yaalidgu bona aa?”
2807170053	N mo ba kadi ki maadi ba, N ki bani hali bada! Fuadi n kani, ti tuonbiidi daano ne!
2807180070	Lanwani ii, yua n cengi n maama ki go cɔlni li maama baa tie nani ya yanfodaano n maa o diegu ku tangu po yeni.
2807190073	Ki taaga ba nii, ki tieni ku ñinkuagu, ku faagu ń figi li diegu, ama ku kan baa, kelima bi maa gu ku tangu po i
