0100000014	Medheteththa Maxaafa
01030100cc	Shooshshay GODAA Xoossay medhdhida do7a ubbaafe aadhdhida genanchcha; issi gallas shooshshay he maccassayo, «Xoossi tumu inttena, ‹Edenen diza miththa ayfe ubbaafekka moopite› gidee?» gi oychchides.
01030200fb	Maccassaya shooshshas zaarada, «Gidenna! Xoossi hessaththo gibeena; nuni Edenen diza miththata ayfe maanaas dandayoos; gido attiin Xoossi nuna, ‹Edene giddon diza miththaa ayfe moopite; bochchofte; histtontta aggiko intte hayqqana› gides» gadus.
0103040038	Shooshshay maccassayo, «Gidenna! Intte tuma hayqqeketa;
0103050096	Xoossi hessa giday he miththay ayfe intte miikko intte ayfey doyettiin, Xoossa mala intte lo7onne iita shaakki eranayssa izi eriza gishshassa» gides.
01030600e4	Maccassaya he miththaa ayfey maanaas mal7izayssa, xeellanaas lo7izayssa, qasse asi aadho erateth demmanaas amosizaaz gididayssa beyada he miththaa ayfeppe ekkada madus; qasse banara diza ba azinaaska hessafe immiin izikka mides.
010307008a	Mida wode istta nam7aa ayfeykka doyettiin istti baas paxa kallo dizayssa eridi balase geetettiza miththa hayth sikkidi ba xeessan gixxida.
0103080093	Omarsa wode, Edene giddon GODAA Xoossay hemettishin, iza cenggurssaa addezinne iza machcheya siyidi GODAA Xoossaafe Edene miththa giddon qotettida.
0103090046	Gido attiin GODAA Xoossay addeza xeygidi, «Addaame awan day?» gides.
01030a0064	Addezikka, «Edene giddon ne cenggurssaa siyada tani kallo diza gishshas babbada qotettadis» gides.
01030b008f	GODAA Xoossay iza, «Neni kallo daasa giidi nees yootiday oonee? Tani nena, ‹Mooppa› gaada azazida miththaa ayfeppe madii?» gi oychchides.
01030c005f	Izikka, «Tanara daana mala ne immida maccassaya he miththaa ayfeppe taas immiin madis» gides.
01030d0090	GODAA Xoossay hessafe guye maccassayo, «Neni hessa ays ooththadii?» gi oychchides. Maccassayakka, «Tana shooshshay baleththiin madis» gadus.
01030e00d4	GODAA Xoossay hessafe guye shooshshaa, «Neni hayssa ooththida gishshas, mehe ubbaanne do7a ubbaa garsan ne xallay qanggettidaaza! Neni ne ulon biittara gooshettana; ne de7o layth ubbaankka biitta gudulla laacca.
01030f0092	Tani neessinne maccassays, ne zereththassinne izi zereththas giddon morkketeth medhdhana; izi ne hu7e qoxxana; nenikka iza qirphe dukkana» gides.
01031000b8	Maccassayokka GODAA Xoossay, «Ne shaaraza aginan neni daro tuggatana; qasse neni wolqqama miixan nayta yelana. Gidikkoka neni ne azinara aqanaas amottana; izikka nena haarana» gides.
0103110106	Addaamekka GODAA Xoossay, «Neni ne machchey qaala siyida gishshas tani nena, ‹He miththaa ayfe mooppa› gaada azazida miththaa ayfeppe neni mida gishshas, «Ne geedon biittay qanggettidaaz gido! Neni ne de7o layth ubbaan gita daaburan biitta ooththada maana.
010312004f	Biittay nees agunththinne kindichcho mokisana; neni biittafe mokkidayssa maana.
0103130084	Neni biittan simmana gakkanaas daaburan ne cawa gussa ooththada maana; neni biittafe medhettida gishshas biittan simmandasa» gides.
010314004d	Addaamey ba machchiyo Hewaano gi sunththides; ays giikko iza asa ubbaas aayo.
0103150046	GODAA Xoossay Addaamessinne iza machcheys ite giigsidi istta mayzides.
01031600df	Hessafe guye GODAA Xoossay, «Histtiin asi nuuppe issaade mala lo7onne iita erizaade gidides; izi ba kushe yeddidi de7o immiza miththaafe ekkidi qasse montta malanne mernaas paxa de7ontta mala teqettanaas koshshees» gides.
010317005d	Hessa gishshas izi ba medhettida biittaa ooththana mala, GODAA Xoossay Edeneppe iza kessides.
01031800cb	Iza kessidi, de7o miththaako efiza oge naagana mala, kirube geetettiza kiitanchchatanne popol7u gi aadhdhi aadhdhi wodhdhiza tama laco misatiza giththa mashsha Edeneppe arshey mokkiza baggara woththides.
0104010092	Addaamey ba machcho Hewaanira aqiin iza shaarada attuma naa yeladus; «GODAY tana maaddiin attuma naa demmadis» gashe iza Qayeele ga sunththadus.
0104020060	Qasse iza isha Aabeelekka yeladus. Aabeeli dorsa heenththanchcha; Qayeeley biitta goshshanchcha.
0104030055	Undenna wodeppe guye Qayeeley ba gaden mokkida kaththaafe Godaas yarsho shiishshides.
0104040099	Gido attiin Aabeeli ba dorsata giddon koyro yelettida laaqqatappe issaa ekki shukkidi ashozappe handaza yarshides; GODAY Aabeelenne iza yarshoza ekkides.
0104050063	Qayeelenne iza yarsho ekkibeenna; hessa gishshas Qayeeley keehi yiillotides; ba ayfesokka iissides.
0104060041	Histtiin GODAY Qayeele, «Ays yiillotay? Ne ayfesoy ays dhumidee?
01040700b7	Ne lo7o ooththidaa gididaakko Xoossi ne yarsho ekkenneeshin? Neni lo7o ooththontta ixxiko nagaray ne karen nena naagees; nagaray nena haarana koyees; neni iza xoonana bessees» gides.
0104080092	Hessafe guye Qayeeley ba isha Aabeele, «Ane gede dembaso boos» gides. Biidi istti demban dishin Qayeeley ba isha Aabeele bolla dendidi wodhides.
0104090081	GODAY Qayeele, «Ne ishay Aabeeli awan dizee?» gi oychchides. Qayeeley zaaridi, «Ta erikke; ta ishaa naagizay taneyee?» gides.
01040a005d	GODAY Qayeele, «Hessa ays ooththadii? Beya; ne ishaa suuththi biittafe pude taakko waassees.
01040b0062	Ne kusheppe ne ishaa suuththaa ekkidi mittanaas doona doyda biittaa bolla ha7i neni qanggettadasa.
01040c0061	Neni ooththiinkka biittay nees kath immenna; bete asa mala neni biitta bollan toylattana» gides.
01040d0043	Qayeeley GODAA, «Ne tana qaxxayiza qixaate tani mulekka dandaykke.
01040e009f	Hekko neni tana hach ha biittafe yedeththaasa; tani ne sinththafe qotettana; bete asa mala tani biitta bolla toylattana; tana demmiday oonikka wodhana» gides.
01040f00ae	GODAY iza, «Nena oonikka wodhenna; wodhikko ne halo tani laappun kushe kessana» gides; hessa gishshas demmiday oonikka iza wodhontta mala GODAY iza bolla malata woththides.
010410006c	Qayeeley GODAA sinththafe kezidi Edene baggafe arshey mokkiza baggara diza Noode geetettiza biittan de7ides.
0104110098	Qayeeley ba machcheyra aqiin iza shaarada Heenooke yeladus; he wode Qayeeley katama giigsidi he katamaa ba naaza sunththan, «Heenooke» gi sunththides.
0104120079	Heenookey Iraade yelides; Iraadey Mahuyaa7eele yelides; Mahuyaa7eeley Matusa7eele yelides; Matusa7eeley Laameeke yelides.
0104130042	Laameekey Aadonne Xiilo geetettiza nam7u machcheta dawuth ekkides.
0104140056	Aaday Yaabaale yeladus; Yaabaaley mehe haarishe yuuyi yuuyi dunkaanen diza asata aawa.
0104150061	Iza ishaa sunththi Yuubaale; Yuubaaley qasse diith diixxizanne susul7e punniza asata ubbata aawa;
01041600a9	Xiilay qasse Tubaaliqayne geetettiza naa yeladus; Tubaaliqayney xarqimalappenne biratappe dumma dumma miishshata qoxxizaadde. Tubaaliqayne michcheya Naa7imo geetettawus.
01041700d6	Issi gallas Laameekey ba machcheta, «Ta machcheto Aadee, Xiilee siyite! Ane tani yootizayssa ezgite. Issi asi tana wadhdhi madunththida gishshas tani iza wodhadis; ee, tani he tana madunxissida wodallaza wodhadis.
0104180078	Qayeele halo kessanaas laappun kushe koshshiko Laameeke halo kessanaas laappun tammanne laappun kushe koshshees» gides.
010419009b	Addaamey ba machcheyra aqiin hara naa yeladus. Yelada «Qayeeley wodhida Aabeele gishshas Xoossi taas hara naa immides» gashe iza Seete gaada sunththadus.
01041a006e	Seeteykka attuma naa yelidi iza, «Heenoose» gi sunththides. Asay he wode GODAA sunth xeygidi goyno oykkides.
0105010068	Addaame zereththi hayssafe kaallidi xaafettides; Xoossi as medhdhida gallas bana misatissidi medhdhides.
0105020053	Addenne maccas ooththi medhdhidi istta anjjides. Istta medhdhidi as gi sunththides.
0105030058	Addaamey 130 layth de7idi bana misatiza attuma naa yelidi iza, «Seete» gi sunththides.
010504005b	Addaamey Seete yelidaappe guye 800 layth de7ides; hara attuma naytanne macca nayta yelides.
010505002b	Addaamey mulera 930 layth de7idi hayqqides.
0105060029	Seetey 105 layth de7idi Heenoose yelides;
010507005c	Seetey Heenoose yelidaappe guye 807 layth de7ides; hara attuma naytanne macca nayta yelides.
0105080029	Seetey mulera 912 layth de7idi hayqqides.
010509002b	Heenoosey 90 layth de7idi Qaynaane yelides;
01050a005f	Heenoosey Qaynaane yelidaappe guye 815 layth de7ides; hara attuma naytanne macca nayta yelides.
01050b002c	Heenoosey mulera 905 layth de7idi hayqqides.
01050c002d	Qaynaaney 70 layth de7idi Malal7eele yelides;
01050d0061	Qaynaaney Malal7eele yelidaappe guye 840 layth de7ides; hara attuma naytanne macca nayta yelides.
01050e002c	Qaynaaney mulera 910 layth de7idi hayqqides.
01050f002d	Malal7eeley 65 layth de7idi Yaareede yelides;
0105100061	Malal7eeley Yaareede yelidaappe guye 830 layth de7ides; hara attuma naytanne macca nayta yelides.
010511002e	Malal7eeley mulera 895 layth de7idi hayqqides.
010512002c	Yaareedey 162 layth de7idi Heenooke yelides;
010513005f	Yaareedey Heenooke yelidaappe guye 800 layth de7ides; hara attuma naytanne macca nayta yelides.
010514002c	Yaareedey mulera 962 layth de7idi hayqqides.
010515002d	Heenookey 65 layth de7idi Maatusaala yelides;
0105160073	Maatusaala yelidaappe guye Heenookey 300 layth Xoossa ufayssishe de7ides; hara attuma naytanne macca nayta yelides.
0105170023	Heenookey mulera 365 layth de7ides;
0105180049	Izi Xoossa ufayssishe diin Xoossi iza ekkida gishshas beettontta dhaydes.
010519002e	Maatusaalay 187 layth de7idi Laameeke yelides;
01051a0062	Maatusaalay Laameeke yelidaappe guye, 782 layth de7ides; hara attuma naytanne macca nayta yelides.
01051b002e	Maatusaalay mulera 969 layth de7idi hayqqides.
01051c002d	Laameekey 182 layth de7idi attuma naa yelidi,
01051d0062	«Ha naazi GODAY qanggida biitta bollan nuna nu daaburappe shempisana» giidi Nohe gi sunththides.
01051e005b	Laameekey Nohe yelidaappe guye 595 layth de7ides; hara attuma naytanne macca nayta yelides.
01051f002c	Laameekey mulera 777 layth de7idi hayqqides.
0105200038	Nohey 500 layth de7idi Seeme, Kaamenne Yaafeete yelides.
0106010038	Asi biitta bolla darida wode asas macca nayti yelettida;
010602007d	«Xoossa nayta» geetettiza medheteththati asa macca nayti medho lo7o gididayssa be7idi isttafe ba dooridayta machcho ekkida.
0106030080	GODAY, «Asi hayqqizaaza; iza layththayka 120 layththafe darenna; hessa gishshas ta Ayanay asa naa bolla mernaas deenna» gides.
01060400b1	He wodenne hessafe guye Xoossa nayti asa macca nayta machcho ekkiin nayti yelettida wode wogga wolqqama asati biitta bollan deettes. Isttika beni wode olas minonne erettida asa.
010605008e	GODAY he wode biitta bollan diza asaa iitateththi daridayssanne istti ba wozinan qoppizayssi wuri ubba wodekka iita xalala gididayssa be7ides;
0106060057	GODAY as ha biitta bollan medhdhida gishshas modhettides; ba wozinan keehi seelettides.
01060700d6	Hessa gishshas GODAY, «Tani medhdhida asaa ha biitta bollafe ubbaa dhayssana; asa, mehe, do7a, biittara gooshettiza medheteththatanne kafota dhayssana; ays giikko tani istta medhdhida gishshas mishettadis» gides.
010608002d	Gido attiin Nohey GODAA sinththan sabettides.
010609008c	Nohey hanidayssi hayssafe kaallidi xaafettides. Nohey xillo asa; izi ba woden diza asaa giddon suure asa; Nohey Xoossara giiga duus de7ides.
01060a0048	Nohey Seeme, Kaamenne Yaafeete geetettiza heedzdzu attuma nayta yelides.
01060b005c	He wode biitta bolla diza asi wuri Xoossa sinththan tunides; biittay wuri makkallan kumides.
01060c004d	Xoossi duge biitta xeellishin biitta bolla diza asay wuri tunidayssa be7ides.
01060d00a2	Hessa gishshas Xoossi Nohe, «Tani asa ubbaa dhayssana gays; asa gaason biittay makkallan kumida gishshas tani tumappe asanne biitta bolla dizaaz ubbaa dhayssana.
01060e008a	Hessa gishshas mino miththafe nees markabe keexxa; he markabeza giddon kifile ooththa; histtada soo baggaranne kare baggara shidan meesha.
01060f006f	Markabeza keexxashe iza adussateththi 300 wadha, gomppay 50 wadha, pude dhoqqateththi 133 wadha histta ooththa.
010610009e	Markabezas kaara medhdha; kaaraappenne godaappe giddon issi wadha gidizaso doya agga; pengeza markabezas millera kessa; markabeza heedzdzu pooqe kessa keexxa.
0106110089	«Tani saloppe garsan shemppora diza medheteththa ubbaa dhayssanaas ha biitta bollan dhayssa haath yeddiko biittan dizayssi wuri dhayana.
0106120073	Gido attiin tani nenara caaqettana. Neni, ne machchiya, ne naytinne ne nayta machcheti nenara markabezan gelandeta.
010613008b	Istti nenara paxa daana mala shemppora diza medheteththa ubbaafe qommon qommon addenne macca nam7u nam7u histtada markabeza giddo gelththa.
01061400b8	Dumma dumma qommo kafotappe, dumma dumma qommo mehetappenne biittara gooshettiza dumma dumma qommo medheteththatappe ubbaafe nam7u nam7u gididi shemppora paxa attana mala neekko yaana.
010615006c	Qasse neninne nenara dizayti maana mala dumma dumma qommo kath efada markabeza giddo gelththa» gi azazides.
010616002d	Nohey ubbaaka Xoossi azazida mala ooththides.
010701008e	Hessafe guye GODAY Nohe, «Neni hayssa ha wode yeletaa giddon xillo gididayssa ta be7ida gishshas neni neso asaa ubbaara markabeza giddo gela.
0107020139	Neni geesh gidida mehenne do7a ubbaafe iza qommofe qommofe addenne macca laappun laappun, geesh gidontta mehenne do7a ubbaafe iza qommofe qommofe issi addenne issi macca qasse kafotappe iza qommofe qommofe addenne macca laappun laappun, biitta ubbaa bollan dumma dumma zereththay paxa daana mala nenara ekka gela.
01070400b5	Ays giikko laappun gallassafe guye tani oyddu tammu gallassinne oyddu tammu qamma biitta bollan ira bukisana; histtada tani medhdhida medheta ubbaa biitta bollafe dhayssana» gides.
010705002d	Nohey GODAY iza azazidayssa ubbaa ooththides.
0107060045	Dhaysa haaththi biitta bolla yiza wode Nohes layththay usuppun xeeta.
0107070071	Nohe, iza attuma nayti, iza machcheyanne iza nayta machcheti dhayssa haaththaafe attanaas markabeza giddo gelida.
0107080068	Geeshsha meheppenne do7appe, geesh gidontta meheppenne do7appe, kafoppenne biittara gooshettiza ubbaafe,
010709005c	Xoossi Nohe azazida malakka addenne macca nam7u nam7u gididi Nohekko markabeza giddo geliin,
01070a003c	laappun gallassafe guye dhayssa haaththi biitta bolla yides.
01070b00d2	Nohes usuppun xeetu layth gidishin nam7anththo aginan tammanne laappunththa gallassan he gallassankka biitta giddon diza gita ciimma pulttoy wuri dhuuqqides; salon diza haaththa maskootetikka doyetti wodhdhida.
01070c0046	Iray biitta bollan oyddu tammu gallassinne oyddu tammu omars bukkides.
01070d0094	He gallassan Noheynne iza attuma nayti, Seemey, Kaameynne Yaafeetey, Nohe machcheyanne iza nayta heedzdzata machcheti issife markabeza giddo gelida.
01070e00b1	Isttanne do7a ubbaafe ba qommon qommon, mehe ubbaafekka ba qommon qommon, biittara gooshettizayata ubbaafe ba qommon qommon, kafo ubbaafe ba qommon qommon isttara issife gelida.
01070f0049	Shemppora paxa dizayti wuri nam7u nam7u gididi Nohekko markabezan gelida;
0107100089	Xoossay Nohe azazida mala medheta ubbaafe addenne macca gididi markabeza giddo geliin Nohey giddon dishin GODAY markabeza penge gordides.
0107110079	Dhayssa haaththi oyddu tammu gallas biitta bolla bukkishe gam7ides; haaththi daridi, markabeza biittafe pude denththides.
010712004c	Haaththay biitta bollan keehi dariin markabezi haaththaa bollan tookettides.
010713006b	Saloppe garsara diza dhoqqa zumati wuri mitettana gakkanaas haaththay biitta bollan keehi wolqqafe darides.
0107140044	Haaththay zumata xeerappe aadhdhidi 15 wadha gakkanaas dhoqqu gides.
010715008c	Histtiin biitta bollan shemppora paxa qaaxxiza medheteththati wuri, kafoy, mehey, do7ay, biitta bollan woxxi qaxxizaynne asi wuri hayqqides.
0107160038	Biitta bollan diza siidhera shempizay wurikka hayqqides.
01071700b5	Ha biittan paxa dizay wuri asi, meheynne do7ay, biittara gooshettiza medheteththinne salo kafoti wurikka biittafe pitetti dhayiin Noheynne izara markabe giddon dizayti xalla attida.
0107180038	Haaththayka 150 gallas gakkanaas biitta bollan gam7ides.
010801008f	Gido attiin Xoossi Nohe, izara markabeza giddon diza do7anne mehe ubbaa qoppidi biitta bollan carko carkissiin haaththay wodhdhi wodhdhi bides.
010802006f	Qasse biitta giddon diza ciimma pulttoynne salon diza haaththa maskooteti gordettida; iraykka salon teqettides.
0108030056	Histtiin haaththay wodhdhi wodhdhi bides; he 150 gallassafe guye haaththay wodhdhides.
010804007b	Haaththay wodhdhiin markabezi laappunththa aginan tammanne laappunththa gallassan Araraate geetettiza zuma bolla shempides.
0108050077	Haaththay tammanththo agina gakkanaaska wodhdhi wodhdhi bides; tammanththo aginan koyro gallas zumatas hu7ey beettides.
0108060049	Oyddu tammu gallassafe guye Nohey ba keexxida markabeza maskooteza doydi,
0108070070	issi quuro kare kessi yeddiin quurozi haaththi biitta bollafe melana gakkanaas yaanne haa piradhdhishe gam7ides.
010808005d	Qasse Nohey haaththi biitta bollafe wodhdhi wuridaakko beyanaas issi haraphphe kare yeddides.
01080900d4	Gido attiin he haraphpheya haaththi biitta ubbaa bollan ha7ikka diza gishshas shempizaso demmabeekku; hessa gishshas simmada markabeza giddon diza Nohekko yiin izi ba kushe yeddidi baakko markabeza giddo ekkides.
01080a0059	Qasseka hara laappun gallas gam7idi ha7ikka haraphpheyo markabeza giddofe kessi yeddides.
01080b00ad	He haraphpheya gadey qammishin izakko simma yashe wogara xeerappe cilila hayth duuththada doonan saxxa ekka yida gishshas haaththi biitta bollafe wodhdhidayssa Nohey erides.
01080c0078	Qasse Nohey hara laappun gallas gam7idi he haraphpheyo zaari yeddides; gido attiin he haraphpheya izakko simma yabeekku.
01080d0093	Nohey 601 layth de7iin koyro aginan koyro gallas haaththi biitta bollafe xoskides; Nohey markabeza kaaraa qaari xeellidi gadey xoskidayssa be7ides.
01080e0050	Nam7anththo aginan nam7u tammanne laappunththa gallassan biittay mulera melides.
01080f0023	He wode Xoossi Nohe hizgi azazides,
010810004b	«Neni ne machcho, ne naytanne ne nayta machcheta ekkada markabezappe keza.
01081100a5	Istti yeletti daridi corattana mala shemppora diza medheteththa ubbaafe nenara dizayta, kafota, meheta, do7atanne biittara gooshettizayta ubbaa nenara kessa» gides.
0108120052	Nohey ba naytara, ba machcheyranne ba nayta machchetara markabeza giddofe kezides.
0108130090	Mehey, do7ay, biittara gooshettiza medheteththi, kafoynne biitta bollan woxxi qaaxxiza miishshi wuri ba qommon qommon markabeza giddofe kezides.
0108140082	Hessafe guye Nohey GODAAS yarshizaso keelidi geeshsha mehe ubbaafenne geeshsha kafo ubbaafe ekkidi yarshizason xuuggidi yarshides.
010815011b	Histtiin GODAY yarshoza peeno sawizayssa singidi ba wozinan, «Yelagateththafe doommiin asi wozinan qoppizayssi wuri iita gidikkoka tani asa gishshas gaada nam7anththo mulekka ha biitta qanggike. Qasse tani ha7i ooththida mala paxa diza medheteth ubbaa nam7anththo mulekka dhayssike.
010816008e	Ha biittay diza wode ubbaan zereththa wodeynne maxa wodey mooceynne hombey, boneynne balgoy, gallassinne qammay ubba wodekka paccenna» gides.
0109010046	Xoossi Nohenne iza nayta, «Yelettite; corattite; biitta ubbaa kumite.
0109020090	Biitta do7ati, kafoti, biittan woxxi qaaxxiza miishshatinne abba giddon diza moleti wuri inttes yayettonne dagammetto; istti intte shenen detto.
010903007b	Ta inttes biittafe mokkiza dumma dumma kaththata immida malakka shemppora paxa diza medheteththati wuri inttes quma gidana.
010904004e	Shemppoy suuththa giddon diza gishshas suuththi izappe gukkontta asho moopite.
0109050087	Tani intte shemppoy izan diza intte suuth meheppenne do7a ubbaafe tumu ta oychchana; qasse asa ubbaafekka iza mala asa suuth oychchana.
0109060072	Xoossi as bana misatissidi medhdhida gishshas asa suuth gussiza oonakka gidikko iza suuththika asa kushen gukkana.
0109070047	Intte yelettite; corattitenne; biitta bolla keehi darite» gi anjjides.
010908003a	Hessafe guye Xoossi Nohenne izara diza iza nayta hizgides;
01090900fc	«Histtiin ha7i tani ta caaqo inttenara, inttefe guye intte zereththaranne nenara shemppora diza medheteththatara caaqettadis; ee! Tani ta caaqo kafora, mehera, biitta do7a ubbaaranne markabeppe inttenara kezida paxa diza medheteth ubbaara caaqettadis.
