2800000006	IMatta
28020f0084	kiya ci ki ta kọ ukpo iHiridus. Aju kindọ ka ahura imumani Ate tẹri ka anyu atina nga, “I yọrọ anọ mi wu ka aMasar.”
28021000d2	IHiridus ya kpẹlẹ si akyeng ra tee ni nga abo ni, ava sang anang. Ava sa si aya pili anọ aniraghẹmẹ aBaitalami kina irihoo anyi apai ki ta ka ataa ka akyua mani akpili kukushi akyeng ẹyẹrẹ kunu.
280211004e	Ọwe wu sa ni imumani aghọ pii kọ ọtọ Ọnọng Irimiya tẹri hwura,
280212009b	“A kọng ice ẹrẹwyuẹ ka aRama, ẹrẹwyuẹ ukukas kina ayiri. IRahila nga su nira ayiri kaya anọ nga. Ara kọng udoru ba, ka aku kpuru bu.”
2802130042	Utumu ukpo iHiridus, atuma Ate kunu iYusufu kidẹ amọ ka aMasar
2802140095	ki tẹri si, “Sisang, kpaa anọ kina ayuru nga ku kya nu ẹrẹbọng Israila, ka aghọmani awang pii anọ sọ shi bọ nọ ọkyuọ ba.”
2802150050	IYusufu va sisang ki kpa anọ kina ayuru nga ki vuu bọ ẹrẹbọng Israila.
28021600c9	Ni iYusufu ya kọng si Akilayus tee agọm ka utumu ukpo ate nga iHiridus ka aYahudiya, ava kọng ẹrẹbata ọkyaa. Akọ waa iYusufu nga atọng ka amọ ava gẹni ki kyaa ẹrẹbọng aGalili,
280217008c	kiya vra ọna nga ki ice ifọng si aNazaret, ka ahwura upii aghọ pii kọ ọtọ Ọnọng si, “Aki yọrọ nga si agha aNazaret.”
2803010063	Ka akyua ra ni iYahaya aghila iminimini ba ọkọ taa ashi ka aYahudiya na atẹri upii Ọnọng.
2803020047	“Inu lọkpaa,” atẹri si, “Ka ẹrẹgọm ayaya ishi ayayo!”
28030300b7	IYahaya nga shi ajiya mani Ishaya aghọ pii kọ ọtọ Ọnọng pii si, “Ace aghọ sọ taa akpa kidẹ ọkọ taa ashi, ‘Kyeri utra Ate ayaya; nawa nga itra ka kyeng!’”
2803040070	Uma iYahaya ni aju kina idang ọrahimi; aloru abugu nga kina edang, imila nga ni agiya yọ kina ẹrẹtọng.
280305005a	Ajiya Urushelima, kina anga aYahudiya, kina anga ahwo ẹrẹyẹma Urdun, aba ukushi nga.
280306004c	A tẹri avulu bọ, ava ju bọ iminimini bu na amusum ẹrẹyẹma Urdun.
28030700b4	IYahaya ya nu ikir aFarisiyawa kina aSadukiyawa, aba si ama ju bọ iminimini, aba tẹri bọ si, “Inu iyọọ na kang! inga tẹri nu si ọki ti anang mani Ọnọng ki tuma?
2803080026	Uju uma mani uki nyeni ọlọkpaa nu.
2803090078	Uma kpaa ka inu tẹri si Ibrahim nga shi ate nu ba. Isọ tẹri nọ Ọnọng ki bra ukpa atighi ri ka tee anọ nga!
28030a0072	Akperi nga sha ka a kẹri ashẹ ka akang; ọshẹ mani ura ma wu ikọlọ ba ni aki kpa wu ka taa kidẹ ugha.
28030b00b0	Iju nu iminimini kina amusum ki nyeni si inu lọkpaa, aghọmani aki ba ko utumu mi ni aki sumu nu kina aghing Ọnọng kina ugha. Aceri mi; ira maa mi ni ikpa akpọ nga ba.
28030c00ad	Ọfọọ upẹr nga shi ka avọ nga, aki pẹr ikir imila. Aki curu alkama nga ka sa ka afọ, ni ẹrẹwọọ ni aki ta ugha wọ ọnga mani ọki kpẹri wọ ba.”
28030d0059	Akyua ra ni iYesu ba ka aGalili ki ba ukushi iYahaya ka vọng Urdun ka ju nga iminimini.
28030e0091	Ni iYahaya sheri ka tee ikwyi nga. “Imẹ shi mani uju mi iminimini,” IYahaya tẹri, “Uwe ni ingọ ba ukushimi ki iba ju nu iminimini!”
28030f0093	Ni iYesu ba yira nga si, “Tara ni ushi kindi ka akyua ri. Kindi wọ ni iyi ki ju uma ọdọdọma mani Ọnọng wang kọ.” IYahaya va yira.
280310009d	Aya ju iYesu iminimini ni, aba kunu kidẹ amusum. Ayẹrẹmọọ va yemi nga, ava nu aghing Ọnọng na asọ shulu kina ikhimi ni na uta uyeri kaya nga.
280311005e	Ni ẹrẹyuẹ va tẹri ka ayaya, “Anọ mi wẹ, aghọmani ikwyi mi ka tọmọ wọ.”
280401004c	Aghing kyeng ni iYesu ki kyaa ni nga kọ ka ọta shi ki Ishẹẹ mra nga.
2804020057	IYesu la awii ishi nari ating na atinọng na asọ kpẹnẹ anyu, na ba kọng idafo.
2804030078	Ni Ishẹẹ va ba ukushi nga ki tẹri nga si, “Insi ingọ shi Anọ Ọnọng ni, tẹri atii ri ka tee ubiredi.”
2804040094	Ni iYesu va yira nga si, “Upii Ọnọng si, ‘Ba ọla imila yọ kiyuyu na ajiya ki lang kọ ba, si nu upii mani ukunu ukushi Ọnọng.’”
2804050066	Ni Ishẹẹ va kpaa iYesu ki kyaa ni nga Urshalima, ifọng upipar, akyo nga ka yaya ọna Ọnọng,
28040600e1	ki tẹri nga si, Insi ingọ shi Anọ Ọnọng ni, funu ẹrẹbọng, ka upii Ọnọng si, ‘Ọnọng ki tẹri atuma nga kaya ngọ; aki go ngọ ni ivọ bọ, ki ifra ngọ ki kọng yọ ọlọ kaya atii ba.’”
280407005a	IYesu va yira nga si, “Upii Ọnọng tẹri si, ‘Ma mra Ate Ọnọng ngọ ba.’”
2804080071	Ni Ishẹẹ va kpaa nga ki kyaa ayaya ọpang utitugu ki nyeni nga nadidu ẹrẹgọm asing kina ujọọ bọ.
280409005e	“Nadidu ni iki ma ngọ,” Ishẹẹ tẹri nga si, “Insi uta aghong ki jọọ mi ni.”
28040a007b	IYesu va tẹri nga si, “Sang ngọ, Ishẹẹ! Upii Ọnọng si, jọọ Ate Ọnọng ngọ ni yii nga kayu nga!’”
28040b0042	Ni Ishẹẹ ba ya iYesu; atuma Ọnọng ba ki ma shẹ nga wọ.
28040c0058	IYesu kọng si iYahaya na asa nga kọ ubọọ iting ni, ava sang nga ki kyaa aGalili.
28040d0072	Aya aNazaret, aya ci ka aKafarnahum, ifọng uhwo ẹrẹyẹma aGalili, ka ẹrẹbọng aZabaluna kina aNaftali.
28040e004a	Aju kindi ka a hwura upii Ishaya aghọ pii kọ ọtọ Ọnọng tẹri,
28040f009b	“Ẹrẹbọng aZabaluna kina ẹrẹbọng aNaftali, kọ utra ẹrẹyẹma ka uda ugha Urdun, aGalili ẹrẹbọng aghọmani ashi bọ aYahudawa ba!
280410007b	Ajiya mani ashi kidẹ iting ki nu uyeri ọghọghẹ. Aghọmani ashi ki ẹrẹbọng aghọ kpuru uyeri ki taa bọ.”
2804110072	Ko kpaa ka kyua ra ni iYesu lite nọ tẹri upii Ọnọng, “Inu lọkpaa, ka ẹrẹgọm ayaya tọ ayayo!”
28041200b3	IYesu sọ kyeng ka anyu ẹrẹyẹma aGalili, ava nu anayuru apai na asọ sa isha bọ, iSaminu mani ayọrọ nga si iBitrus kina anayuru nga Andarawus asọ fẹri isha bọ.
2804130046	IYesu va tẹri bọ si, “Inu yii mi, iki mẹẹ nu uhuri ajiya.”
280414002d	Kidẹ akyua, aba ya isha bọ ya ki yii nga.
28041500a8	Ava kyeng ki ya nu ace anayuru apai, iYakubu kina iYahaya, anọ iZabadi. Ashi kidẹ ọgbọlọ kina ate bọ iZabadi, asọ kyeri isha bọ. IYesu va yọrọ bọ,
2804160042	kidẹ akyua ra, aya ọgbọlọ bọ kina ate bọ ki yii iYesu.
28041700a4	IYesu ghila idẹ ọfọng aGalili, na mẹẹ kidẹ ọkọ takwyuẹ aYahudawa, na tẹri ila ididuma uka ẹrẹgọm Ọnọng, na lẹni ni idumu kina adumu.
28041800c2	Ila nga kpa kwabi ki ẹrẹgọm aSuriya, ava ba nga kina adumu, asọ kọng ẹrẹnọma ni idumu ighi-ghọ, kina aghọ shi nọ Ushẹẹ, ni itehu, ni ushumu avọ, iYesu lẹni ni bọ.
280419007e	Ikir yii nga kọ kpaa ka aGalili kina ufọng ọshọ, ko kpaa ka Urushelima, aYahudiya, kina ushi bulu ẹrẹyẹma Urdun.
280501005f	IYesu ya nu ikir bajiya ni, ava kila nga aya ọpang, ki cica, atina nga curu ki ghẹmẹ nga,
280502001f	nava tee aghọmẹẹ bọ si.
280503006a	“Anyu adaduma ka aghọmani aye utaa bọ ọnga aghing upipar; Ka ẹrẹgọm ayaya ni inga bọ wọ!
2805040059	“Anyu adaduma ka aghọmani ashi kidẹ ikwyi ibibi; Ọnọng ki sa bọ amusum ashuu!
2805050037	“Anyu adaduma ka aghọ ọtọọng; Aki peni asing!
2805060072	“Anyu adaduma ka aghọmani ikwyi bọ shi Ko ju uma mani Ọnọng wang, Ọnọng ki ma bọ uwang ikwyi bọ!
2805070052	“Anyu adaduma ka aghọmani ashi na ahwoo ajiya; Ọnọng ki kọng ahwoo bọ!
2805080045	“Anyu adaduma ka aghọmani ashi na ikwyi upipar; Aki nu Ọnọng!
280509005b	“Anyu adaduma ka aghọmani awang uci ọkyuọ; Ọnọng ki yọrọ bọ si anọ nga!
28050a0068	“Anyu adaduma ka aghọmani asọ kọng Ọlọ kaya ju aipang; Ẹrẹgọm ayaya ni inga bọ wọ!
28050b0070	“Anyu adaduma ka inu aghọmani acira nọ ki ma nọ ọlọ kiva tẹri atẹri kaya akwyi nu ka inu yii mi.
28050c009a	Inu kọng ikwyifu kina utọmọ ikwyi, ka akyo nu ọka nọ ka ayaya. Kini kọ ni aghọ pii kọ ọtọ Ọnọng mani aba kite kọng ọlọ kọ.
28050d009e	“Inu bọ shi atọ asing. Insi atọ taa ididugọ wọ ni, ba utra mani aki vuu na ididugọ wọ ba. Ba ice ima ra aki bra uju ba sa nawu ka ajiya tinga.
28050e0051	“Inu bọ shi uyeri asing. Ifọng mani avra kaya ọpang kara shọru wọ ba.
28050f0081	Ba aghọmani aki ta ugha agbilimọ ka fuga ya ni ikọọ ba; sa na kyo ka ya ima uting, ka ma uyeri ki ko nga nu kidẹ ọna.
280510005e	Kindi wọ ni uyeri ngọ ta ka ajiya nu, ka nu uma udọdọma mani uju ka jọọ Ate ayaya.
28051100b3	“Inu baa kpaa si imẹ ba ki ba cira umẹẹ iMusa wọ kina umẹẹ aghọ pii kọ ọtọ Ọnọng ba. Ita bami ki ma ucira wọ ba, sa ni isa ka umẹẹ bọ tee aipang.
28051200a0	Aipang ni imẹ sọ tẹri nu, kọ ni ayaya kina asing ki sang wọ ni, ba ighang iyeng ko ẹzẹzẹ inga umẹẹ iMusa na ki cira wu ba sa akwikẹ hwura.
2805130119	Ni nadidu aghọmani ara yii umẹẹ ko ni ima ẹzẹzẹ umẹẹ iMusa ka va mẹẹ ace aghọ ka ju ba ni, aki tee aghọ ji kidẹ ẹrẹgọm ayaya. Ka da vọ ni, aghọmani ayii umẹẹ kiva mẹẹ ace aghọ ka ju ni, aki shi ni ẹrẹgọrọ ka ẹrẹgọm ayaya.
280514009b	Isọ tẹri nu, si, uta ko ghila ẹrẹgọm ayaya ni si aipang nu cẹri anga aghọmẹẹ umẹẹ iMusa kina aFarisiyawa uju uma mani Ọnọng wang.
280515006d	“Inu kọ kọng si atẹri ajiya ada kyua, ‘Inu ba pii ọkyuọ ba; aghọmani aju ni aki ju nga ashuwa
280516010d	Ni aikyuari ni imẹ tẹri nu, insi ushi kidẹ anang kina anayuru ngọ ni aki ju ashuwa, insi ingọ yọrọ anayuru ngọ si ‘Imu taa imumani aki ju wọ!’ aki kyaa ni ngọ ọka ashuwa, insi ingọ yọrọ anayuru abo uta ice ima, ọki ya ghila ngọ ugha.
280517005b	Insi uwang ma Ọnọng ighima kaya agoo ni usa shuni si anayuru ngọ go ngọ ki kwyi ni,
280518006d	Sheri uma ya kọ ya agoo, kya ko ya wang uci ọkyuọ na anayuru ngọ, ni ingọ tọ vuu kọ uba ma uma.
28051900e5	“Insi ace aghọ yọrọ ngọ kọ ọka ashuwa ni, inu kpẹlẹ ace na akyua sọ shi wọ, kini uta fuma uka ashuwa. Insi uku fuma uka ni aki ma agha ashuwa, aghọmani aki ma agha la tẹng, ka ta ngọ ko ubọọ iting.
28051a005b	Ukadu wu ni uki ci wu, aipang ni imẹ sọ tẹri nu, so ma imumani atẹri si uma nadidu.
28051b004f	“Inu ko kọng na tẹri si, ‘ma nyẹri na ayiri kọ aghimi aghọ ba.’
28051c0074	Na aikuari ni tẹri nu, nadidu aghọmani akyọgọ ayiri na wang pẹni nga ni akọ nyẹri ni nga kidẹ ikwyi.
28051d0091	Insi ica isighi avọ ilang sa ukpaa ni, woyu ko nawu! Uceri nu ta uka ẹrẹnọma uyeng ngọ kini mani nadidu ẹrẹnọma ngọ ghila ugha.
28051e0076	Insi avọ ila ngọ sa ukpaa ni, kyua kọ naa wọ! Uceri nu taa avọ ayeng ni mani ẹrẹnọma ngọ ghila ugha.
28051f004d	“Asa va tẹri si, ‘Aghọmani akla ayiri nga ni asọ wọ ka ma nga.’
28052000b7	Ni aikuari ni tẹri nu, insi aghimi kla ayiri nga ni basi ko nyẹri na ace aghimi ba ni, ashi na avulu usa nga uvulu insi akya uce ubọgha ni; aghimi mani aya bọgha ni aju avulu.
280521007b	“Inu ko kọng na tẹri agha ada akyua si, ‘Uma wura usuu nu ba, ni hura uta anyu imumani utẹri uki ju Ate ayaya.’
280522005e	Ni aikuari ni tẹri nu, ma suu kina ayaya ba insi uta anyu, ka uka ẹrẹgọm Ọnọng wu;
2805230055	ko asing, ka uka wuru ifra nga wu; ko Urushelima, ka ukushi ifọng agọm aghaghẹ.
2805240061	Ma suu kina ẹrẹkwẹ ngọ ba, ka uki bra ngọ tee ifilikwyi iyeng ki tee ififu ko isisu ba.
2805250046	Tẹri si ‘A’ ko ‘Kayi’; ushe uma ka hala ukushi Ishẹẹ wu.
2805260078	“Inu ko kọng na tẹri si, ‘Insi agyo ngọ ki ica ni, ica yu nu ki to gyo, insi ayir yu ni, ayir nu ki to gyo.’
2805270088	Na aikuari ni tẹri nu, ma ju ajiya imumani aju ngọ ba. Insi ace aghọ gyo ngọ ka utuma ila ni, ma nga ọnga ipuruma ka kimi gyo.
2805280053	Insi ace aghọ kya ashuwa ngọ ka yira ngọ igbang ko ni, ma nga ima fuga ngọ.
2805290055	Insi aghọ shi ni ẹrẹkyuọ tẹri ngọ ukyeng imil iyeng ni, usọ kyeng upai.
28052a0062	Insi ace aghọ wang ice ma ukushi ngọ ni, ma nga; insi ace aghọ wang ọta ice ma ni, ma nga.
28052b005a	“Inu ko kọng na tẹri si, ‘Yoo aghọ yoo ngọ, tọrọ aghọ tọrọ ngọ.’
28052c0067	Ni aikuari ni tẹri nu si, yoo aghọ tọrọ ngọ nu shọr Ọnọng kaya aghọ ma ngọ ọlọ,
28052d00a3	ki ingọ tee anọ Ate ayaya. Aka sa ọnọng uta kaya agha ababi na adaduma ima ayeng, ki ma avuga ka aghọmani aka ju ima ididuma kina aghọ ka ju ima ibibi.
28052e0074	Aki ju na nyi Ọnọng ki ma ngọ ọka ngọ insi yoo aghọ yoo ngọ wu ni? Ko aghọ yira agonu ka ju kindọ!
28052f008b	Insi ingọ ka pii kina aghikyo ngọ ko ni, ikẹmbọ inu ju ki cẹri ace aghọ ko? Ko aghọmani ashi bọ aYahudawa ba ka ju kindọ!
280530004c	Kindọ ni inu tee aghọ kyeng na ki kya, kini mani Ate ayaya shi na kikya.
2806010087	“Ma ju uma ọdọdọma ngọ kayaye ka ajiya nu ima nọ so ju ba. Insi uju uma ri kayaye ni, ba ngọ nu ọka kushi Ate ayaya ba.
28060200de	“Insi uma aghọ taa ice ma, ma yẹmi kayaye, kini aghọ ju ọngọ unu ica kidẹ ọkọ takwyuẹ aYahudawa kina aya itra. Aka ju ka ajiya jọọ bọ. Imẹ sọ tẹri nu aipang, akọ peni ọka bu nadidu wudu.
2806030050	Insi uma aghọ taa ice ma ni, ju ko tra mani aghọ avọ ila ngọ ki nọ ba.
280604004f	Ni uki shi ko uyuyi. Ni Ate ngọ, mani aka nu kuyuyi, ki ma ngọ ọka ngọ.
28060500d8	“Insi upii nọ Ọnọng, ma ju kini aghọ ju unu ica ba! Aka sisang upii nu Ọnọng kidẹ ọkọ takwyuẹ aYahudawa kina itra, ka ajiya nu bọ. Imẹ sọ tẹri nu aipang, akọ ma bọ ọka bọ nadidu.
28060600b7	Insi uki pii nọ Ọnọng ni, kya nu idẹ bọọ, fuga anyu bọọ ya, nu pii na Ate nu mani aka nu bọ nga ba, Ate aghọmani aka nu ima ju nu kuyuyi, aki ma ngọ ọka ngọ.
28060700ae	“Insi uki pii nọ Ọnọng ni, ma tẹri ighang ta ẹrẹkwẹ nagigang ba, kini mani aghọ ju ipaa ka ju, A kpa si ọnọng bọ ki kọng bọ ka upii bọ nagigang.
2806080045	Ma ju kini bọ. Ate nu ye imumani inu wang nu so nu to yemi anyu ba.
2806090055	Ni, mani, ubu ka pii nọ Ọnọng we, ‘Ate yi ka ayaya, Ta ni ajọọ uca ngọ;
28060a005b	ta ni ẹrẹgọm ngọ ba; ta ni imuwang ngọ na ju ka asing ri kini mani ishi ka ayaya.
28060b001e	Mayi aidi imila mani iyi wang.
28060c003d	Cira uvulu yi kọ, kini mani iyi kpa aghọmani avulu ni yi.
28060d007b	Ma kyaa ni yi ọka mani aki mra yi ọnga shi umọọ, ni kyo yi ọka mani aghọ shi na aghing ababi shi bọ ya ba.’
28060e0069	“Insi ingọ yira ọlọkpaa ajiya umani a vulu ngọ ni, Ate ngọ ka ayaya ki kọ yira ọlọkpaa.
28060f005b	Insi uta yira ọlọkpaa ajiya ba ni, ni Ate ngọ ki cira ngọ uvulu mani uju nga ko ba.
28061000d3	“Insi inu sọ kpẹnẹ anyu, ma shigi ibate kini aghọ ju ọnga aghọ ju unu ica ka ba. Aka shigi ibate ka ajiya nu ni abọ sọ kpẹnẹ anyu. Imẹ sọ tẹri nu aipang, akọ yira ọka bọ nadidu.
2806110051	Insi inu sọ kpẹnẹ anyu ni, hwuru ubate nu ni coo anyẹ ka ẹrẹkwẹ nu,
28061200a7	ka ajiya ma ye si inu sọ kpẹnẹ anyu ba sa Ate kayu nga, aghọmani aka nu bu nga ba, ki ye. Ate ngọ, aghọ ka nu uma mani uju kuyuyi, ki ma ngọ ọka ngọ.
2806130062	“Ma kyọ upeni ngọ ka asing ri ba, ọka mani iriyi kina iriler ka bra wu, ayi ka giya ki yi.
2806140070	Ni, ucuru ace nu upeni ka ayaya, uka mani iriyi kina iriler ki bra wu ba, uka mani ba ayi mani aki giya kayi ba.
2806150035	Ka ikwyi ngọ ki sa shi uka mani upeni ngọ shi wu.
280616006b	“Ica yọ shi uyeri ẹrẹnọma. Insi ica ngọ shi ikyuọ ni, ẹrẹnọma ngọ nadidu ki shi yeri;
28061700a9	insi ica ngọ ishi yu ikyọ ba ni, ẹrẹnọma ngọ ki shi kidẹ iting. Insi uyeri mani ushi kidẹ ngọ ni iting yu ni, ikwyi ngọ ki shi kidẹ iting nagigang!
280618009e	“Ingọ ki shi ngọ agira ate ọna apai ba; ingọ ki tọrọ ngọ ace nu yoo ace; ingọ ki yii ace nu tili ace. Ingọ ki yii Ọnọng kina ọfe ba.
28061900f9	“Ọko sa ni tẹri ngọ si, ma sa ikwyi kini imumani ingọ ki la ko nu sa ko ci akyuọ ba, ko imumani ingọ ki sọmọ ki ẹrẹnọma ngọ ba. Ka udu mani, ọkyuọ ra cẹri wu imila ba? Ẹrẹnọma ra cẹri wu imumani ọki sumu ba?
28061a009b	Nu unung ka ayaya, aka ra pila bu ighọ ba, acuru bọ imila aka sa ka afọ ba; Ate nu ka ayaya ka ma bọ! Inu ra cẹri nu unung ni ẹrẹgọrọ ba?
28061b0051	Inga kidẹ nu ki bra ukhimi awii ayeng kidẹ awii nga ka sọ duma wu nu umari?
28061c008c	“Ni ikẹmbọ sa ni inu sọ duma wu nu uma ọsọmọ? Nu mani ufuru aghumu ka fonu, aka ju bu utina ba ko na akeri uma ọsọmọ ba.
28061d0065	Ni tẹri nu ko agọm iSulemanu ma nu upeni nga ashi ni ima ọsọmọ ididuma kina ufuru iyeng ba.
28061e00b4	Ọnọng nga ka fuga ọbọng idẹ aghumu ima sumu ọbọng mani ushi kaidi ni ikyua nu huga bu, na ta ugha ko. Aki bra ọsọmọ nu uma ba? Inu aghọ uma aipang na zẹẹ!
28061f0050	“Uma dama wu ba, ‘Abi wu ni imila mi ki ba wu? ko imu sa mi? Ko imu sumu mi?
2806200055	(Uma mani aghọ ju ipaa ba ka dama wu nu bu.) Ate nu ka ayaya ye si inu wang uma ri.
280621006e	Ni, inu wang uma mani ushi ọnga ẹrẹgọm Ọnọng ni imumani awang ni nu, aki ma nu ushe nu uma nadidu.
2806220090	Inu ma sa ikwyi ni kyua ba; ishi kini ọnga nga usa ikwyi. Ushi wu mani akhimi ace awii ọnga nga usa ikwyi ba ka shi ni ọnga nga usa ikwyi.
280701002f	Ba ju ace aghọ ashuwa ba, ka aba ju ngọ ba,
280702006f	ka ashuwa mani ọka ju ajiya ni, akọ ni aki ju nu. Ima umara mani inu mara wu ni, iyọ na aki mara nu kọ.
2807030089	Ikẹmbọ sa ni, ọka nu anibọng mani shi kidẹ ica anayuru ngọ ni ọka ra nu ngọ ukumu ọshẹ mani ushi kidẹ ica ngọ ba?
28070400a1	Ya ni ingọ ki tẹri anayuru ngọ si ‘Tara, ni wo ngọ anibọng mani shi kidẹ ica ngọ,’ ingọ shi kina ukumu ọshẹ ughọghẹ kidẹ ica ngọ?
2807050089	Inu aghọ ju unu ica! Kpaa ukumu ọshẹ mani ushi kidẹ ica ngọ, ọsọ ta nu nabibọrọ anibọng shi kidẹ ica anayuru ngọ.
280706007b	“Ba ma ava imumani shi na pipar ba aki tee ni ngọ. Ba fẹni ikyọng ididuma nu ka alade ba ka aki tinga ka giya kọ.
