2800000006	Umatta
280202009c	Na arhusa agɛ, “Ungwɛ̃ hã umbɔ aka amar awe rinɛɛ uyɛrhe abi Uyahuda? Umɛn inyãmɛn idzɛrnga ri igɔ̃kpee nu umɛn ĩba idzowe unga igɔng.”
2802030051	Ivangyɛ Uyɛrhe Uhiridu aka agũ rimi, amɛnnga adake nu kishoo abi Urusharhima.
2802040089	Ivangyɛ unga aka akɔng kishoo ateiya abika adzowe idɛm-Num nu abika amesuwe Ikpem, unga arhusa umbɔ anangkɛ umbɔ aka imar Ukiristo.
2802050068	Umbɔ agɔr unga agɛ, “Ru uteu Ubaitarhami ru Uyahudiya. Ubinkpi uwuku usɔm Arherhu-Num aka atsɛng,
28020600b3	“‘Bɔr ungo, Ubaitarhami ra abĩ Uyahuda, ungo usi iweɔ uwuku uci ri iteu Uyahuda. Ubinkutsu awu ru ungo uyɛrhu uwɔɔ aka idzeka, uwuruwi aka idarh anermum Uisrairha.’”
2802070075	Mɔcɛ Uhiridu aghɔ̃rhã ayisa abika ahwɛng ídzɛɛr ha arhusa abee ihwɛng ivangyɛ umbɔ aka anyã idzɛɛr ha.
28020800dc	Mɔcɛ unga adene umbɔ azĩmbɔ Ubaitarhami agɔr umbɔ agɛ, “Àka azĩ angwɛ̃dzɛn na arhisuwa irheng ungwɛ̃ hã. Ivangyɛ umbi aka anyãmbi unga, umbi aba asɔma umum nu umum igamum izĩ indzowe unga igɔng.”
28020900d5	Umbɔ aka agũ arherhe uyɛrhe amaa, umbɔ azĩmbɔ udĩmbɔ. Idzɛɛr ha umbɔ aka anyã ri igɔ̃kpee ha izɛ̃rhã ra asumbɔ, umbɔ adɔsa ngge utsɛku ngge iki iba idɛ̃ɛ̃ ra anangkɛ ungwɛ̃ hã aka awe.
28020a0046	Ivangyɛ umbɔ aka anyã idzɛɛr ha, umbɔ agɔm anggɔm akarhãrhã.
28020b00e5	Umbɔ aka atsĩ ri iya ha, umbɔ anyã irheng ungwɛ̃ hã nggu uyanga Umaryamu, umbɔ atararhu ra anangnga adzowe unga igɔng. Mɔcɛ umbɔ agarha akpokambɔ adzowe ízũwã uzinarhi nu atsei umbɔ iki iyisa ufirankisen nu umur.
28020c007d	Umbɔ aka awu ri irheyirhɔ, Unum adɛyika umbɔ niba ibvui azĩmbɔ ru Uhiridu. Umbɔ adɔsu udĩ ukpɔɔ azĩmbɔ abĩmbɔ.
28020d0113	Umbɔ aka azĩmbɔ, Uyusuf arheyirhɔ anyã ipfu itser Uteijee iki igɔr unga igɛ, “Usisok, ushupu irheng ungwɛ̃ hã nu uyanga na atĩ azĩmbi abĩ Umasar. Àka asei nggɔɔ ha utsɛku umum iki indɛyiwa umbi. Uhiridu awuri ibeenga irheng ungwɛ̃ hã na afɛre unga.”
28020e0054	Nggee unga asok ashupu irheng ungwɛ̃ hã nu uyanga ru untsuuka akũ azĩã Umasar.
28020f00cc	Umbɔ asei nggɔɔ ha utsɛku Uhiridu aka akpe. Akɛrɛ ha akorhe rimi ngge itsuifɛr ubinkpi Uteijee aka arherhe ra angwĩ uner uwuku usɔm Arherhu-Num agɛ, “Umum iyisu ungwɛ̃mum adzek ru Umasar.”
280210016f	Ivangyɛ Uhiridu aka ahwɛng ugɛ abika ahwɛng ídzɛɛr ha arhɛm unga, unga agũ avɔm akarhãrhã. Unga atsu umbɔ afɛyiwe irheng awɛkatsa kishoo ru Ubaitarhami nu ikãwãngge, udzur ra awɛkatsa abi imɛka ivaa uba ra andzing. Unga akorha akɛrɛ ha ubinkutsu udzur ri ivang hã abika ahwɛng ídzɛɛr ha aka asɔme unga imar ungwɛ̃ hã iki iwe imɛka ivaa.
2802110062	Ivang hã niyɔ ngge iki itsuifɛr ubinkpi uner uwuku usɔm Arherhu-Num Uirimiya aka arherhe agɛ,
28021200b1	“Agũmbɔ urhɛm ru Urama, ididɔng nu ifakpe irhɛirhɛ, Urahirha unga adɛ̃ɛ̃ iciu akpe angwɛ̃nga, na akpɛ̃ɛ̃ iyɛi idɔngamɛn ru unera, ubinkutsu aka ashembɔ.”
280213005b	Uhiridu aka akpe, Uyusuf arheyirhɔ ru Umasar anyã ipfu itser Uteijee iki igɔr unga igɛ,
2802140075	“Usok ushupu irheng ungwɛ̃ hã nu uyanga ukũ uzĩ abĩ Uisrairha. Abika abee ifɛr ungwɛ̃ hã aka akpembɔ.”
2802150046	Nggee unga asok, ashupu ungwɛ̃ nu uyanga akũ azĩã abĩ Uisrairha.
28021600cf	Bɔr unga aka agũ ugɛ Uarkirhayu ungwɛ̃ Uhiridu aka anyangu ukam utɛnga awu uyɛrhe Uyahudiya, unga agũã iwei izĩ nggɔɔ ha. Bɔr unga aka arheyirhɔ umbɔ agbiite atonga, unga atsĩã ru Ugarhirhi.
280217009c	Azĩ aseisa ru uteu ukpɔɔ umbɔ iki iyisa Unazarat. Ngge itsuifɛr ubinkpi abika asɔm Arherhu-Num aka arherhe agɛ, “Awuri iyisa unga uner Unazarat.”
2803010051	Ivang hã niyɔ Uyohana Uner Ubɔtisima aka aba adzowe isarhe ra arhum Uyahudiya,
280302003c	anu igɔr agɛ, “Àka adzipa, Iyɛrhe afã iki iyongge!”
28030300c6	Uner ha nuwɔ uwuku usɔm Arherhu-Num Uishaya aka arherhe ra arherhanga agɛ, “Urhɛm uwɔɔ uyisa ra arhum ugɛ, ‘Àka agbishuwe udĩ Uteijee, àka avii atsĩndĩã uku urhirhiki ru unga!’”
2803040069	Atorho Uyohana awu igwar urhakumi, abow ikpɔm ubvur nu upfurhsĩnga. Ubinghanga uwu asusu nu utoo arhum.
2803050069	Mɔcɛ aner Urusharhima nu abi Uyahudiya kishoo nu abĩ akɔɔ ru ugbɛr Azɛ̃ Urdun adzeyi aba ru unga.
280306004d	Adɛ̃ɛ̃ asɔm arhimmbɔ nu unga asorhuwe umbɔ ubɔtisima ra Azɛ̃ Urdun.
28030700d6	Bɔr unga aka anyã abi Ufarisi nu abi Usaduki arhɛrhɛ aka aba ra anangkɛ unga aka adɛ̃ɛ̃ isorhu ubɔtisima, unga agɔr umbɔ agɛ, “Umbi angwɛ̃ íbvui! Ungaa adɛyiwa umbi itĩ avɔm Unum aka iba unuma?
280308002f	Àka atɔ̃ itseryɛ iki idɛyiwe idzidzipambi.
28030900aa	Àka aneke ikaifɛrhkɔ ra amɛnmbi agɛ, ‘Uibrahim unga awu utɛmɛn.’ Umum idɛyiwa umbi Unum awea ri ijee unga aka itsu atarh akɛrɛ ake awe awɛkaci ru Uibrahim.
28030a007e	Aka atsumbɔ anggãi ru unang acucii. Ubɛn ucucii uku usi ighwɛrmgbɔ ikpũrhã iyiki ize, awuri igbɛr umgbɔ atsu ru urha.
28030b00f1	“Umum ikorhuwa umbi ubɔtisima nggu amɛ̃ utsar idzidzipambi. Bɔr uwuruwi aka ananga umum ijee nggawɔ awuri iba ru undzingmum, abadaknga umum isi ímɛ̃ɛ̃mum ishipa. Unga awuri isorhuwa umbi ubɔtisima nggu Ipfu Isarsatangge nu urha.
28030c0088	Akpɔm nggu utaknga, awuri itsɛki ishaa itsemnga na akarha ngge atsuku ungbanga na akpĩĩwe uhweenga ru urhakpi uku usi írhimkpɔ.”
28030d005a	Mɔcɛ Uyesu aka adzeku Ugarhirhi aba ru Uyohana asorhuwe unga ubɔtisima ra Azɛ̃ Urdun.
28030e006a	Uyohana abee ikɛn unga, agɔr agɛ, “Umum ibee ungo usorhuwa umum ubɔtisima, ungo usok uba ru umum?”
28030f00a4	Bɔr Uyesu agɔr unga agɛ, “Uneke ngge iwe rimi icɛrɛ. Azea umɛn ikorhe ri iminɛ ngge itsuifɛr kishoo ubinkpi Unum aka abee.” Mɔcɛ Uyohana abemuwe unga.
2803100095	Umbɔ aka asorhuwe Uyesu ubɔtisima, unga adzeka ra amɛ̃. Kanying afã ayanga, unga anyã Ipfu-Num iki icipuwa ru nyaku unurhɛu, iba isei nu unga.
2803110081	Mɔcɛ urhɛm udzeka afã ugɔr ugɛ, “Uwɛrɛ unga awu Ungwɛ̃mum ukpekũ iki ibema. Nggu unga umum igũibɛn akarhãrhã.”
2804010046	Mɔcɛ Ipfu-Num idarh Uyesu izĩngge ra arhum ru Undenggũ adeya unga.
280402005c	Uyesu akpem igha ubin inuma isɔka inaa nu utsuu nu atenum. Unga aka amaa, imerh ifɛr unga.
2804030067	Mɔcɛ Undenggũ aba agɔr unga agɛ, “Ungo uba uwu Ungwɛ̃ Unum, utsu atarh akɛrɛ awu uborodi.”
28040400a2	Uyesu agɔr unga agɛ, “Itsɛng Arherhu-Num igɔr igɛ, ‘Asi iwea ubingha ukpekũ itsu unera abɛk, bɔr ubɛn urhɛm arherhe uku udzeka ra angwĩ Unum.”’
280405005a	Mɔcɛ Undenggũ ashupa unga azĩ adɛ̃ɛ̃ afafã nu usarkasar uteu ni itsi uvi Iya-Num.
2804060117	Agɔr unga agɛ, “Ungo uba uwu Ungwɛ̃ Unum, utersha ugba nu abĩ. Ubinkutsu itsɛng Arherhu-Num igɔrngge ugɛ, “‘Unga awuri itsu ípfu itsernga ngge ingwɛ̃dzɛn ni ikaa ungo, ngge iwuri ikpɔm ungo ra afafã ra abokngge, utsur ungo ukwɛrɔ undaidakngo nu utarh.’”
2804070070	Uyesu agɔr unga agɛ, “Itsɛng Arherhu-Num igɔrngge ikɛi ugɛ, ‘Ungo niba ivirungo Uteijee Unumngo!”’
280408006e	Undenggũ ashupa unga ikɛi aden ni itsi igũ iyɔɔ iderdetangge, adɛyiwe unga iyɛrhe upfung nu igɔngngge.
2804090075	Unga agɔr unga agɛ, “Kishoo abina akɛrɛ umum iwuri idzaamum ungo, ungo uba utararhu nu udzaango umum igɔng.”
28040a00a9	Uyesu agɔr unga agɛ, “Usɔkɔ ru umum, Ushaitan! Ubinkutsu itsɛng Arherhu-Num igɔrngge ugɛ, ‘Udzowe igɔng ru Uteijee Unumngo, nu uwu ugãrhãnga ukpekũ.”’
28040b004b	Mɔcɛ Undenggũ abɔruka unga, nu ípfu itser-Num iba itɔ̃we unga itser.
28040c0056	Uyesu aka agũ ugɛ umbɔ aka atsuke Uyohana ru ugborzĩ, unga abvui azĩã Ugarhirhi.
28040d007e	Abɔruka Unazarat, azĩ asesa ru Ukafanahum, ukpurukpi uku uwe nggɔɔ ra angwĩ ukau ukugɔng ra abĩ Uzeburhun nu Unaftarhi.
28040e004d	Ngge itsuifɛr ubinkpi uner uwuku usɔm Arherhu-Num Uishaya aka arherhe agɛ,
28040f007d	“Abĩ Uzeburhun nu abĩ Unaftarhi, aka awu utsĩndĩ ukau ukugɔng, ugar Azɛ̃ Urdun, Ugarhirhi aka awu atsen abi Uyahuda,
280410008c	umɔ abika asei ru uzĩ aka anyãmbɔ nggaa irhirhang. Nu abirabɛ aka asei ra abĩ aki uzirhzĩ akpe, irhirhang iki irhangngge ru umbɔ.”
280411006b	Udzur ri ivang hã Uyesu aka atirhi idzowe isarhe, agɔr agɛ, “Àka adzipa, Iyɛrhe afã iki iyongge!”
28041200d3	Uyesu azɛ̃rhã nu ubang Ukau Ugarhirhi nukpi, unga anyã inera ivaa angwɛ̃yi, Usiman uwuruwi umbɔ aki iyisa Ubitru nu Uandarawu ungwɛ̃mbɔ. Anu itang igber ru ukau, ubinkutsu umbɔ awu abika adzui abɛrh.
2804130062	Uyesu agɔr umbɔ agɛ, “Àka aba adɔsa umum, nu umum iwuri itsu umbi awu abika adzui anera.”
2804140033	Ivanga unying umbɔ aneke igbermbɔ na adɔsa unga.
28041500d6	Unga aka abɔre anang hã na azĩ anyã inera ivaa angwɛ̃yi ikɛi, Uyaku ungwɛ̃ Uzabadi nu Uyohana ungwɛ̃mbɔ. Awu ru ukhukhɔɔ amɛ̃ nggu utɛmbɔ Uzabadi, adɛ̃ɛ̃ igbishi ígbermbɔ. Uyesu ayisa umbɔ.
2804160043	Kanying umbɔ anekukumbɔ ukhukhɔɔ ha ru utɛmbɔ na adɔsa unga.
280417009f	Uyesu azɛ̃rhã amaa Ugarhirhi, amesuwe ra abã ifɛn-Nummbɔ, adzowe Isarhe Iyiki Ize iyi Iyɛrhe Unum, na akerhuwe ubɛn irhãrhã nu ikpũ ighighong anera.
28041800f0	Isarhe ri itsinga itɛ̃rhã imaangge abĩ Usuriya, anera akũ abika agũ ighighong akarhãrhã na ahwa ayetnum nggu ikpũ írhãrhã, nu abi ípfu iyiki ibewe, nu abi irhãrhĩ izurh, nu abika afɔr uzɛ̃rhã adambɔ, unga akerhuwe umbɔ.
280419008f	Anera arhɛrhɛ aka adzeku Ugarhirhi, nu iteu usɔka umbɔ iki iyisa Udikaforhi, nu Urusharhima, nu Uyahudiya nu ugar Azɛ̃ Urdun adɔsa unga.
280501006f	Ivangyɛ Uyesu aka anyã ikikɔng anera arhɛrhɛ, unga afũ asei ni itsi igũa. Angwɛ̃ imesanga aba ru unga.
280502001f	Unga atirha amesuwe umbɔ agɛ,
280503005a	“Idorh iwu iyi abirabɛ aka awe atsũwã ri ipfumbɔ, ubinkutsu Iyɛrhe afã iwu iyimbɔ
2805040047	Idorh iwu iyi abi ighongamɛn, ubinkutsu awuri idɔngukumbɔ amɛnmbɔ.
2805050046	Idorh iwu iyi abika adɔɔr, ubinkutsu ukam upfung uwuri iwe ukpumbɔ.
280506005b	Idorh iwu iyi abirabɛ aka agũ imerh nu ugɔ̃ irhirhika, ubinkutsu umbɔ awuri ishurmbɔ.
2805070041	Idorh iwu iyi abika acucorhe, ubinkutsu awuri icorhukumbɔ umbɔ.
2805080048	Idorh iwu iyi abi amɛn aka atɛn, ubinkutsu umbɔ awuri inyãmbɔ Unum.
280509004e	Idorh iwu iyi abika atsu ididɔɔr, ubinkutsu awuri iyisa umbɔ angwɛ̃ Unum.
28050a004f	Idorh iwu iyi abika ahwa uver ri irhirhika, ubinkutsu Iyɛrhe afã iwu iyimbɔ.
28050b006a	“Idorh iwu iyimbi ivang anera iki irhena umbi, ayɔm umbi, na arherhuwa umbi ikpũ iki ibewe ri itsimum.
28050c0097	Àka agɔm akarhãrhã, ubinkutsu umbi awuri ikpo itosa irhɛirhɛ ra afã, ubinkutsu rimi hã umbɔ aka ayɔm abika asɔm Arherhu-Num abi inggbaashia.
28050d00b6	“Umbi awu angwã abĩã. Bɔr angwã aba ashike nu itonga ake, awuri ikorha aguse na atsu ake awe angwã ikɛi? Awuri ishike ru ugarh, awuri ititare ake na anera azɛ̃rhã nu ake.
28050e0057	“Umbi awu irhirhang upfung. Uteukpi uku udzin nu igũ asi ídɛ̃ɛ̃ awɔmbɔ ukpɔ.
28050f00a3	Unera asi ítsu irhirhang na awɔka ngge ri ikikĩĩ. Nu ngge iki iwe rimi, awuri idene ngge idɛ̃ɛ̃ ra anang idɛ̃ɛ̃ngge nu ngge irhange ubɛn unera ri iya.
2805100077	Rimi hã, àka aneke irhirhangmbi irhang ra anera, ngge ítsu umbɔ anyã itser iyiki izembi na akpoi Utɛmbi uwu afã.
28051100b1	“Niba akaimbi ifɛrhkɔ ugɛ umum ĩba ififɔ̃rhuwe Íkpem Umusa use itsɛng abika asɔm Arherhu-Num. Umum isi ĩbamum ififɔ̃rhuwe ngge, bɔr umum ĩba itsu ngge itsuifɛr.
28051200a6	Umum indɛyiwa umbi idzidzɛrhe, utsɛku afã nu abĩ awuri imaa, uko ishia ra arherhe Íkpem Umusa isi ífɔ̃rhũngge utsɛku umbɔ aki itsu abina kishoo atsuafɛr.
28051300db	Uwuruwi aka azharhuwe ungwɛ̃rhi ishia unying ri Ikpem na amesuwe anera akorha ngge, awuri iyisa unga uku ucia ri Iyɛrhe afã, bɔr uwuruwi aka adɔsa ngge na amesuwe ngge, awuri iyisa unga nggaa uner ri Iyɛrha afã.
2805140082	Umum idɛyiwa umbi ugɛ irhirhikambi iba isi inangngge iyi abika amesuwe Ikpem nu abi Ufarisi, umbi asi ítsĩmbi ri Iyɛrhe afã.
280515008e	“Umbi aka agũmbi umbɔ aka adɛyiwe atokamɛn isha agɛ, ‘Àka niba afɛrmbi unera, nu uwuruwi aka afɛr uner awuri itsu uvau nu unga.’
2805160123	Bɔr umum idɛyiwa umbi uwuruwi aka agũ avɔm nggu undɔkanga awuri itsu uvau nu unga. Ikɛi uwuruwi aka ayisu undɔkanga agɛ, ‘Ibɛm,’ umbɔ awuri ikũna unga azĩ ra anang aka atsu uvau. Bɔr uwuruwi aka agɔr undɔkanga agɛ, ‘Ugugge!’ unga awuri itsĩ ri igbaigba idzũũ urha.
280517005d	“Nggee, ungo uba udɛ̃ɛ̃ngo idzowe izũwã nu uyitta ugɛ uwɔɔ awu ra avɔm nggu ungo,
2805180071	uneke izũwã hã ra asu ubeu ha kata. Ugbaashia uzĩ umbi agbisha nggu uner ha. Mɔcɛ nu uba adzowe izũwãngo.
28051900f4	“Unera aba atsuka arherhe ri itsingo ru udzepurhe uku uvarha arherhe, àka agbisha nu utsĩndĩ ifetem, iba ishingge rimi unga awuri igbopuwe ungo nggu uwuku atsu uvau, uwuku utsu uvau atsuke ungo ra abok ambow umbɔ agbange ungo ru ugborzĩ.
28051a0077	Umum indɛyiwa ungo idzidzɛrhe, ungo usi ídzekɔ umɔ utsɛku ungo iki ifai umaa ukobo ha umbɔ aka atsu ungo ififai.
28051b0042	“Umbi aka agũmbi umbɔ aka agɔr agɛ, ‘Niba utomungo-dak.’
28051c007e	Bɔr umum idɛyiwa umbi ugɛ ubɛn unera aba arhisa ukutsɛrh irhi anyɔna, unga aka atomunga-dak nggu utsɛrh ha ra amɛnnga.
28051d00a8	Usungo ukpu ubok ugha uba uwuri itsuka ungo ra arhim, uhor ukpɔ utare. Ugba ungo ushiɔ ru ugau ukpɔɔ ukpu iyorngo nu umbɔ aka itare iyorngo kishoo ri idzũũ urha.
28051e0098	Ubok ughango uba itsukakpɔ arhim ru ungo, uzharha ukpɔ utare. Ugba ungo ushiɔ ru ugau ukpɔɔ ri iyorngo nu iyorngo kishoo iki itsĩ ri idzũũ urha.
28051f006b	“Aka agɔrmbɔ ugɛ, ‘Uwuruwi aka itsũwe utsɛ̃nga, awu ufang unga adzowe ubvur izharhuwe itsɛrh.’
28052000c4	Bɔr umum idɛyiwa umbi ugɛ ubɛn unera aka atsũwe utsɛ̃nga ri ida iwe ru uvau itoma-dak, atsuke unga ru utsĩndĩ itoma-dak. Nu uwuruwi aka apfunu utsɛrh uwuku uwuwayi ha, uner ha atoma-dak.
28052100a3	“Ikɛi umbi aka agũmbi umbɔ aka adɛyiwe atokamɛn agɛ, ‘Àka niba azharhukumbi uyirh, bɔr imɛ̃ɛ̃ngge ungo utsufɛr ubinkpi ungo uku uyirhe Uteijee.’
280522006e	Bɔr umum idɛyiwa umbi ugɛ niba ayirhmbi uyirh. Niba ayirhmbi nggu afã, ubinkutsu afã awu anang isei Unum.
2805230081	Niba ayirhmbi nggu upfung, ubinkutsu awu ubin uku utsorhe andaidaknga, use nggu Urusharhima, ubinkutsu awu uteu Uyɛrhe Ukugɔng.
2805240070	Niba uyirhɔ nggu itsingo, ubinkutsu ungo usi ídɛ̃ɛ̃ utsu igwar unying iwengge iki iterha use iki ifĩrhã.
2805250073	Imɛ̃ɛ̃ngge umbi agɔr agɛ ‘Ĩĩ’ use ‘Ĩ'ĩ’. Ubɛn ubinkpi uku utɔngkpɔ rimi idzeku uwuku ubewe ha.
28052600aa	“Umbi aka agũmbi umbɔ aka agɔr agɛ, ‘Unera aba atsũwũka usungo, umbɔ atsũwe usu ukpunga, nu unera aba atsũwũka unyĩĩngo, umbɔ atsũwe unyĩĩ ukpunga.’
2805270090	Bɔr umum idɛyiwa umbi ugɛ niba afaimbi iyiki ibewe nggu iyiki ibewe. Unera aba akwɛra ungo nu utam ubok ugha, udzipuwe utam ukpu uvaa ikɛi.
2805280071	Unera aba atsuka arherhango ra anang aka atsu uvau na abeenga ivur atorhango, udzowe nggu atorho akagɔnga ikɛi.
2805290057	Unera aba atsu ungo uzɛ̃rhũngo ru ukirhomita unying, uzĩ nggu unga akirhomita avaa.
28052a0060	Udzowe uwuruwi aka aba ibibee ru ungo, niba udzipukɔ undzing nu uwuruwi aka abee ikɔw ru ungo.
28052b0061	“Umbi aka agũmbi umbɔ aka agɔr agɛ, ‘Ubemu undɔkango nu ukpɛ̃ɔ uwuku ukpɛ̃ ungo.’
28052c0063	Bɔr umum idɛyiwa umbi ugɛ, àka abemu uwuku ukpɛ̃ umbi na afɛne-Num ru abika adzaa umbi uver.
28052d00c2	Rimi hã umbi awuri iwe ru nyaka angwɛ̃ idzidzɛrhe abi Utɛmbi ra afã. Unga atsu unum urhang ra abika aze nu abika abewe, na atsu inai idoi ra abika arhurhika nu abirabɛ aka asi irhikumbɔ.
28052e0087	Umbi aba abema abirabɛ aka abema umbi ukpekũ, umbi awuri ikpo ikpũ ugbɛtu ukusong? Use abika ayɛi ikirbi abĩ asi ikorhumbɔ rimi?
28052f005f	Umbi aba akpurha aghwe anermbi, umbi akorhu use anang abɔɔ? Abi uzĩ asi ikorhumbɔ rimi hã?
280530005c	Àka awe andzumunga ri irhirhika, ru nyaku Utɛmbi uwu afã aka awu undzumunga ri irhirhika.
2806010092	“Àka angwɛ̃dzɛn utsur itser iyi irhirhikambi iwengge iyi anera aka inyã. Umbi aba akorhe rimi, umbi asi íkpombi itosa ru Utɛmbi uwu afã.
28060200f8	“Ngge itsu ivangyɛ ungo uku uwuri idzowe abika abubee, niba urherhungo ake ra awiya, ru nyaka abi ukpukpeta aki ikorhe ra abã ifɛn-Num nu atsĩndĩ ngge itsú anera akpoi umbɔ. Umum indɛyiwa umbi idzidzɛrhe, umbɔ aka ayɛi itosambɔ niyɔ.
2806030068	Bɔr ivangyɛ ungo uku iyike uner uwuku ububee, niba uneke uner uwɔɔ ahwɛnga ubinkpi ungo uku ikorhe.
2806040063	Ngge ítsu izũwã ungo ima iwe ri iwɔk. Mɔcɛ Utɛngo, uwuku unyã ri iwɔk, ama adzaa itosango.
28060500e0	“Ivang ifɛn-Nummbi, àka niba awembi ru nyaka abi ukpukpeta, umbɔ abemi idɛ̃ɛ̃ na afɛn-Num ra abã ifɛn-Num nu atsĩndĩ ru anera anyã umbɔ. Umum indɛyiwa umbi idzidzɛrhe, umbɔ aka ayɛimbɔ undzumu itosambɔ.
28060600a7	Bɔr ivangyɛ ungo iki ifɛn-Num, utsĩ ru ubãngo nu ufɔme angwĩ ubãã, ufɛnu Utɛngo uwuku uwe ri iwɔk. Utɛngo uwuku unyã ri iwɔk awuri idzidzaanga itosango.
28060700aa	Ivangyɛ umbi aka ifɛn-Num, àka niba adarhumbi ider arherhe ru nyaka abirabɛ aka asi ihwɛngmbɔ Unum. Umbɔ akaifɛrhkɔ ugɛ arherhe urhɛrhɛ uwuri itsu umbɔ agũ.
280608005f	Niba awembi ru nyaka umbɔ. Utɛmbi ahwɛnga ubinkpi umbi aka abee nu umbi adɔrha afɛna unga.
280609004f	“Àka afɛn-Num riminɛ, “‘A Utɛmɛn ra afã, atsam itsokngo isarsatake.
28060a005f	Iyɛrhango iba, ubinkpi ungo uku ubee umbɔ akorhe ru upfung ru nyaka umbɔ iki ikorhe ra afã.
28060b0023	Uma udzaa ubinghamɛn ukpu irherɛ.
28060c004c	Uma utsũwe arhimmɛn, ru nyaka umɛn iki isaki itsũwe abika ashɔng umɛn.
