0100000008	Gênesis
01021300d6	Havendo pois o Senhor Deus formado da terra todo o animal do campo, e toda a ave dos céus os trouxe a Adão, para este vêr como lhes chamaria; e tudo o que Adão chamou a toda a alma vivente, isso foi o seu nome.
01021400a0	E Adão poz os nomes a todo o gado, e ás aves dos céus, e a toda a besta do campo; mas para o homem não se achava ajudadora que estivesse como diante d'elle.
010215008b	Então o Senhor Deus fez cair um somno pesado sobre Adão, e este adormeceu: e tomou uma das suas costellas, e cerrou a carne em seu logar;
0102160056	E da costella que o Senhor Deus tomou do homem, formou uma mulher: e trouxe-a a Adão.
0102170084	E disse Adão: Esta é agora osso dos meus ossos, e carne da minha carne: esta será chamada varôa, porquanto do varão foi tomada.
010218006a	Portanto deixará o varão o seu pae e a sua mãe, e apegar-se-ha á sua mulher, e serão ambos uma carne.
0102190046	E ambos estavam nús, o homem e a sua mulher; e não se envergonhavam.
01030100b8	Ora a serpente era mais astuta que todas as alimarias do campo que o Senhor Deus tinha feito. E esta disse á mulher: É assim que Deus disse: Não comereis de toda a arvore do jardim?
0103020048	E disse a mulher á serpente: Do fructo das arvores do jardim comeremos,
0103030081	Mas do fructo da arvore que está no meio do jardim, disse Deus: Não comereis d'elle, nem n'elle tocareis para que não morraes.
010304003d	Então a serpente disse á mulher: Certamente não morrereis.
010305007a	Porque Deus sabe que no dia em que d'elle comerdes se abrirão os vossos olhos, e sereis como Deus, sabendo o bem e o mal.
01030600c8	E viu a mulher que aquella arvore era boa para se comer, e agradavel aos olhos, e arvore desejavel para dar intendimento; tomou do seu fructo, e comeu, e deu tambem a seu marido comsigo, e elle comeu.
0103070080	Então foram abertos os olhos de ambos, e conheceram que estavam nús; e coseram folhas de figueira, e fizeram para si aventaes.
01030800a7	E ouviram a voz do Senhor Deus, que passeava no jardim pela viração do dia: e escondeu-se Adão e sua mulher da presença do Senhor Deus, entre as arvores do jardim.
0103090039	E chamou o Senhor Deus a Adão, e disse-lhe: Onde estás?
01030a0055	E elle disse: Ouvi a tua voz soar no jardim, e temi, porque estava nú, e escondi-me.
01030b0068	E Deus disse: Quem te mostrou que estavas nú? Comeste tu da arvore de que te ordenei que não comesses?
01030c005a	Então disse Adão; A mulher que me déste por companheira, ella me deu da arvore, e comi.
01030d0068	E disse o Senhor Deus á mulher: Porque fizeste isto? E disse a mulher A serpente me enganou, e eu comi.
01030e00d2	Então o Senhor Deus disse á serpente: Porquanto fizeste isto, maldita serás mais que toda a besta, e mais que todos os animaes do campo: sobre o teu ventre andarás, e pó comerás todos os dias da tua vida.
01030f0087	E porei inimizade entre ti e a mulher, e entre a tua semente e a sua semente: esta te ferirá a cabeça, e tu lhe ferirás o calcanhar.
01031000a4	E á mulher disse: Multiplicarei grandemente a tua dôr, e a tua conceição; com dôr parirás filhos; e o teu desejo será para o teu marido, e elle te dominará.
01031100dc	E a Adão disse: Porquanto deste ouvidos á voz de tua mulher, e comeste da arvore de que te ordenei, dizendo: Não comerás d'ella: maldita é a terra por causa de ti; com dôr comerás d'ella todos os dias da tua vida.
0103120046	Espinhos, e cardos tambem, te produzirá; e comerás a herva do campo.
010313008c	No suor do teu rosto comerás o teu pão, até que te tornes á terra; porque d'ella foste tomado: porquanto és pó, e em pó te tornarás.
0103140059	E chamou Adão o nome de sua mulher, Eva; porquanto ella era a mãe de todos os viventes.
010315004a	E fez o Senhor Deus a Adão e a sua mulher tunicas de pelles, e os vestiu.
01031600bf	Então disse o Senhor Deus: Eis que o homem é como um de Nós, sabendo o bem e o mal; ora, pois, para que não estenda a sua mão, e tome tambem da arvore da vida, e coma e viva eternamente:
010317005f	O Senhor Deus, pois, o enviou fóra do jardim do Eden, para lavrar a terra de que fôra tomado.
01031800a4	E havendo lançado fóra o homem, poz cherubins ao oriente do jardim do Eden, e uma espada inflammada que andava ao redor, para guardar o caminho da arvore da vida.
010401006a	E conheceu Adão a Eva, sua mulher, e ella concebeu e pariu a Caim, e disse: Alcancei do Senhor um varão.
010402005b	E pariu mais a seu irmão Abel: e Abel foi pastor de ovelhas, e Caim foi lavrador da terra.
0104030055	E aconteceu ao cabo de dias que Caim trouxe do fructo da terra uma offerta ao Senhor.
010404007d	E Abel tambem trouxe dos primogenitos das suas ovelhas, e da sua gordura: e attentou o Senhor para Abel e para a sua offerta,
010405006b	Mas para Caim e para a sua offerta não attentou. E irou-se Caim fortemente, e descaiu-lhe o seu semblante.
010406004c	E o Senhor disse a Caim: Porque te iraste? E porque descaiu o teu semblante?
0104070096	Se bem fizeres, não haverá acceitação para ti? se não fizeres bem, o peccado jaz á porta, e para ti será o seu desejo, e sobre elle dominarás.
0104080082	E fallou Caim com o seu irmão Abel: e succedeu que, estando elles no campo, se levantou Caim contra o seu irmão Abel, e o matou.
010409006d	E disse o Senhor a Caim: Onde está Abel, teu irmão? E elle disse: Não sei: sou eu guardador do meu irmão?
01040a0053	E disse Deus: Que fizeste? A voz do sangue do teu irmão clama a mim desde a terra.
01040b006c	E agora maldito és tu desde a terra, que abriu a sua bocca para receber o sangue do teu irmão da tua mão.
01040c005f	Quando lavrares a terra, não te dará mais a sua força: fugitivo e vagabundo serás na terra.
01040d0053	Então disse Caim ao Senhor: É maior a minha maldade que a que possa ser perdoada.
01040e00a0	Eis que hoje me lanças da face da terra, e da tua face me esconderei; e serei fugitivo e vagabundo na terra, e será que todo aquelle que me achar, me matará.
01040f00ac	O Senhor porém disse-lhe: Portanto qualquer que matar a Caim, sete vezes será castigado. E poz o Senhor um signal em Caim, para que o não ferisse qualquer que o achasse.
0104100060	E saiu Caim de diante da face do Senhor, e habitou na terra de Nod, da banda do oriente do Eden.
0104110093	E conheceu Caim a sua mulher, e ella concebeu, e pariu a Enoch: e elle edificou uma cidade, e chamou o nome da cidade pelo nome de seu filho Enoch:
0104120068	E a Enoch nasceu Irad, e Irad gerou a Mehujael, e Mehujael gerou a Methusael e Methusael gerou a Lamech.
0104130055	E tomou Lamech para si duas mulheres: o nome d'uma era Ada, e o nome da outra, Zilla.
010414004b	E Ada pariu a Jabal: este foi o pae dos que habitam em tendas, e teem gado.
0104150056	E o nome do seu irmão era Jubal: este foi o pae de todos os que tocam harpa e orgão.
010416006e	E Zilla tambem pariu a Tubalcaim, mestre de toda a obra de cobre e de ferro: e a irmã de Tubalcaim foi Naama.
01041700b9	E disse Lamech a suas mulheres: Ada e Zilla, ouvi a minha voz; vós, mulheres de Lamech, escutae o meu dito; porque eu matei um varão por minha ferida, e um mancebo por minha pisadura.
0104180046	Porque sete vezes Caim será castigado; mas Lamech setenta vezes sete.
01041900b0	E tornou Adão a conhecer a sua mulher; e ella pariu um filho, e chamou o seu nome Seth; porque, disse ella, Deus me deu outra semente em logar de Abel; porquanto Caim o matou.
01041a006f	E a Seth mesmo tambem nasceu um filho; e chamou o seu nome Enos: então se começou a invocar o nome do Senhor.
0105010067	Este é o livro das gerações de Adão. No dia em que Deus creou o homem, á similhança de Deus o fez
010502005f	Macho e femea os creou; e os abençoou, e chamou o seu nome Adão, no dia em que foram creados.
0105030079	E Adão viveu cento e trinta annos, e gerou um filho á sua similhança, conforme á sua imagem e chamou o seu nome Seth.
010504005d	E foram os dias de Adão, depois que gerou a Seth, oitocentos annos: e gerou filhos e filhas.
010505004b	E foram todos os dias que Adão viveu, novecentos e trinta annos; e morreu.
0105060031	E viveu Seth cento e cinco annos, e gerou a Enos.
0105070058	E viveu Seth, depois que gerou a Enos, oitocentos e sete annos, e gerou filhos e filhas.
0105080040	E foram todos os dias de Seth novecentos e doze annos; e morreu.
010509002d	E viveu Enos noventa annos; e gerou a Cainan.
01050a005c	E viveu Enos, depois que gerou a Cainan, oitocentos e quinze annos; e gerou filhos e filhas.
01050b0041	E foram todos os dias de Enos novecentos e cinco annos; e morreu.
01050c0033	E viveu Cainan, setenta annos; e gerou a Mahalalel.
01050d0063	E viveu Cainan, depois que gerou a Mahalalel, oitocentos e quarenta annos; e gerou filhos e filhas.
01050e0041	E foram todos os dias de Cainan novecentos e dez annos; e morreu.
01050f003a	E viveu Mahalalel sessenta e cinco annos; e gerou a Jared.
0105100060	E viveu Mahalalel, depois que gerou a Jared, oitocentos e trinta annos; e gerou filhos e filhas.
0105110050	E foram todos os dias de Mahalalel oitocentos e noventa e cinco annos; e morreu.
010512003d	E viveu Jared cento e sessenta e dois annos; e gerou a Enoch.
0105130053	E viveu Jared, depois que gerou a Enoch, oitocentos annos; e gerou filhos e filhas.
010514004c	E foram todos os dias de Jared novecentos e sessenta e dois annos; e morreu.
010515003a	E viveu Enoch sessenta e cinco annos; e gerou a Methusala.
010516005f	E andou Enoch com Deus, depois que gerou a Methusala, trezentos annos; e gerou filhos e filhas.
0105170042	E foram todos os dias de Enoch trezentos e sessenta e cinco annos.
010518004b	E andou Enoch com Deus; e não estava mais; porquanto Deus para si o tomou.
0105190041	E viveu Methusala cento e oitenta e sete annos; e gerou a Lamech.
01051a0069	E viveu Methusala, depois que gerou a Lamech, setecentos e oitenta e dois annos; e gerou filhos e filhas.
01051b0050	E foram todos os dias de Methusala novecentos e sessenta e nove annos; e morreu.
01051c003e	E viveu Lamech cento e oitenta e dois annos; e gerou um filho,
01051d009b	E chamou o seu nome Noé, dizendo: Este nos consolará ácerca de nossas obras, e do trabalho de nossas mãos, por causa da terra que o Senhor amaldiçoou.
01051e0065	E viveu Lamech, depois que gerou a Noé, quinhentos e noventa e cinco annos; e gerou filhos e filhas.
01051f004c	E foram todos os dias de Lamech setecentos e setenta e sete annos; e morreu.
010520004c	E era Noé da edade de quinhentos annos; e gerou Noé a Sem, Cão, e Japhet.
010601006a	E aconteceu que, como os homens se começaram a multiplicar sobre a face da terra, e lhes nasceram filhas;
0106020076	Viram os filhos de Deus que as filhas dos homens eram formosas; e tomaram para si mulheres de todas as que escolheram.
010603009b	Então disse o Senhor: Não contenderá o meu Espirito para sempre com o homem; porque elle tambem é carne: porém os seus dias serão cento e vinte annos
01060400d1	Havia n'aquelles dias gigantes na terra; e tambem depois, quando os filhos de Deus entraram ás filhas dos homens, e d'ellas geraram filhos: estes eram os valentes que houve na antiguidade, os varões de fama.
010605009b	E viu o Senhor que a maldade do homem se multiplicára sobre a terra, e que toda a imaginação dos pensamentos de seu coração era só má continuamente.
0106060061	Então arrependeu-se o Senhor de haver feito o homem sobre a terra, e pezou-lhe em seu coração.
01060700b6	E disse o Senhor: Destruirei o homem que creei de sobre a face da terra, desde o homem até ao animal, até ao reptil, e até á ave dos céus; porque me arrependo de os haver feito.
010608002d	Noé porém achou graça aos olhos do Senhor.
0106090068	Estas são as gerações de Noé: Noé era varão justo e recto em suas gerações: Noé andava com Deus
01060a002e	E gerou Noé tres filhos: Sem, Cão, e Japhet.
01060b005a	A terra porém estava corrompida diante da face de Deus: e encheu-se a terra de violencia.
01060c0072	E viu Deus a terra, e eis que estava corrompida; porque toda a carne havia corrompido o seu caminho sobre a terra.
01060d009a	Então disse Deus a Noé: O fim de toda a carne é vindo perante a minha face; porque a terra está cheia de violencia; e eis que os desfarei com a terra.
01060e007c	Faze para ti uma arca da madeira de Gopher: farás compartimentos na arca, e a betumarás por dentro e por fóra com betume.
01060f008e	E d'esta maneira a farás: De trezentos covados o comprimento da arca, e de cincoenta covados a sua largura, e de trinta covados a sua altura.
0106100097	Farás na arca uma janella, e de um covado a acabarás em cima; e a porta da arca porás ao seu lado; far-lhe-has andares baixos, segundos e terceiros.
01061100a5	Porque eis que Eu trago um diluvio de aguas sobre a terra, para desfazer toda a carne em que ha espirito de vida debaixo dos céus: tudo o que ha na terra expirará.
0106120085	Mas comtigo estabelecerei o meu pacto; e entrarás na arca tu e os teus filhos, e a tua mulher, e as mulheres de teus filhos comtigo.
0106130086	E de tudo o que vive, de toda a carne, dois de cada especie, metterás na arca, para os conservar vivos comtigo; macho e femea serão.
01061400b4	Das aves conforme a sua especie, e das bestas conforme a sua especie, de todo o reptil da terra conforme a sua especie, dois de cada especie virão a ti, para os conservar em vida.
0106150074	E tu toma para ti de toda a comida que se come, e ajunta-a para ti; e te será para mantimento para ti e para elles.
0106160043	Assim fez Noé: conforme a tudo o que Deus lhe mandou, assim o fez.
010701007b	Depois disse o Senhor a Noé: Entra tu e toda a tua casa na arca: porque te hei visto justo diante de mim n'esta geração.
0107020088	De todo o animal limpo tomarás para ti sete e sete, macho e sua femea; mas dos animaes que não são limpos, dois, o macho e sua femea.
0107030074	Tambem das aves dos céus sete e sete, macho e femea, para conservar em vida a semente sobre a face de toda a terra.
010704009c	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substancia que fiz.
0107050038	E fez Noé conforme a tudo o que o Senhor lhe ordenára.
0107060057	E era Noé da edade de seiscentos annos, quando o diluvio das aguas veiu sobre a terra.
010707007a	E entrou Noé, e seus filhos, e sua mulher, e as mulheres de seus filhos com elle na arca, por causa das aguas do diluvio.
0107080065	Dos animaes limpos, e dos animaes que não são limpos, e das aves, e de todo o reptil sobre a terra,
0107090053	Entraram de dois em dois a Noé na arca, macho e femea, como Deus ordenára a Noé.
01070a004e	E aconteceu que, passados sete dias, vieram sobre a terra as aguas do diluvio.
01070b00b3	No anno seiscentos da vida de Noé, no mez segundo, aos dezesete dias do mez, n'aquelle mesmo dia se romperam todas as fontes do grande abysmo, e as janellas dos céus se abriram,
01070c003c	E houve chuva sobre a terra quarenta dias e quarenta noites.
01070d0099	E no mesmo dia entrou Noé, e Sem, e Cão, e Japhet, os filhos de Noé, como tambem a mulher de Noé, e as tres mulheres de seus filhos com elle na arca.
01070e00df	Elles, e todo o animal conforme a sua especie, e todo o gado conforme a sua especie, e todo o reptil que se roja sobre a terra conforme a sua especie, e toda a ave conforme a sua especie, todo o passaro de toda a qualidade.
01070f005a	E de toda a carne, em que havia espirito de vida, entraram de dois em dois a Noé na arca.
0107100077	E os que entraram, macho e femea de toda a carne entraram, como Deus lhe tinha ordenado: e o Senhor o fechou por fóra.
010711007a	E esteve o diluvio quarenta dias sobre a terra, e cresceram as aguas, e levantaram a arca, e ella se elevou sobre a terra.
010712005f	E prevaleceram as aguas, e cresceram grandemente sobre a terra; e a arca andava sobre as aguas.
0107130080	E as aguas prevaleceram excessivamente sobre a terra; e todos os altos montes, que havia debaixo de todo o céu, foram cobertos.
0107140047	Quinze covados acima prevaleceram as aguas; e os montes foram cobertos.
0107150096	E expirou toda a carne que se movia sobre a terra, tanto de ave como de gado e de feras, e de todo o reptil que se roja sobre a terra, e todo o homem.
010716005f	Tudo o que tinha folego de espirito de vida em seus narizes, tudo o que havia no secco, morreu.
01071700e1	Assim foi desfeita toda a substancia que havia sobre a face da terra, desde o homem até ao animal, até ao reptil, e até á ave dos céus; e foram extinctos da terra: e ficou somente Noé, e os que com elle estavam na arca.
010718003d	E prevaleceram as aguas sobre a terra cento e cincoenta dias.
01080100b2	E lembrou-se Deus de Noé, e de toda a besta, e de todo o animal, e de toda a rez que com elle estava na arca: e Deus fez passar um vento sobre a terra, e aquietaram-se as aguas.
010802005f	Cerraram-se tambem as fontes do abysmo, e as janellas dos céus, e a chuva dos céus deteve-se.
010803006b	E as aguas tornaram de sobre a terra continuamente, e ao cabo de cento e cincoenta dias as aguas minguaram.
0108040054	E a arca repousou, no setimo mez, no dia dezesete do mez, sobre os montes de Ararat.
010805007d	E foram as aguas indo e minguando até ao decimo mez: no decimo mez, no primeiro dia do mez, appareceram os cumes dos montes.
0108060058	E aconteceu que, ao cabo de quarenta dias, abriu Noé a janella da arca que tinha feito.
010807005d	E soltou um corvo, que saiu, indo e voltando, até que as aguas se seccaram de sobre a terra.
0108080054	Depois soltou uma pomba, a vêrse as aguas tinham minguado de sobre a face da terra.
01080900d1	A pomba porém não achou repouso para a planta do seu pé, e voltou a elle para a arca; porque as aguas estavam sobre a face de toda a terra: e elle estendeu a sua mão, e tomou-a, e metteu-a comsigo na arca.
01080a004a	E esperou ainda outros sete dias, e tornou a enviar a pomba fóra da arca.
01080b0097	E a pomba voltou a elle sobre a tarde; e eis, arrancada, uma folha de oliveira no seu bico: e conheceu Noé que as aguas tinham minguado sobre a terra.
01080c005b	Então esperou ainda outros sete dias; e enviou fóra a pomba, mas não tornou mais a elle.
01080d00d1	E aconteceu que no anno seiscentos e um, no mez primeiro, no primeiro dia do mez, as aguas se seccaram de sobre a terra: então Noé tirou a cobertura da arca, e olhou, e eis que a face da terra estava enxuta.
01080e0045	E no segundo mez, aos vinte e sete dias do mez, a terra estava secca.
01080f0023	Então fallou Deus a Noé, dizendo:
0108100053	Sae da arca, tu, e tua mulher, e teus filhos, e as mulheres de teus filhos comtigo.
01081100d9	Todo o animal que está comtigo, de toda a carne, de ave, e de gado, e de todo o reptil que se roja sobre a terra traze fóra comtigo; e povôem abundantemente a terra, e fructifiquem, e se multipliquem sobre a terra.
0108120055	Então saiu Noé, e seus filhos, e sua mulher, e as mulheres de seus filhos com elle,
0108130083	Todo o animal, todo o reptil, e toda a ave, e tudo o que se move sobre a terra, conforme as suas familias, saiu para fóra da arca.
0108140081	E edificou Noé um altar ao Senhor; e tomou de todo o animal limpo, e de toda a ave limpa, e offereceu holocaustos sobre o altar.
01081500ff	E o Senhor cheirou o suave cheiro, e disse o Senhor em seu coração: Não tornarei mais a amaldiçoar a terra por causa do homem; porque a imaginação do coração do homem é má desde a sua meninice, nem tornarei mais a ferir todo o vivente, como fiz.
010816006d	Emquanto a terra durar, sementeira e sega, e frio e calor, e verão e inverno, e dia e noite, não cessarão.
0109010067	E abençoou Deus a Noé e a seus filhos, e disse-lhes: Fructificae e multiplicae-vos, e enchei a terra.
01090200bb	E será o vosso temor e o vosso pavor sobre todo o animal da terra, e sobre toda a ave dos céus: tudo o que se move sobre a terra, e todos os peixes do mar, na vossa mão são entregues.
0109030067	Tudo quanto se move, que é vivente, será para vosso mantimento: tudo vos tenho dado como herva verde.
0109040046	A carne, porém, com sua vida, isto é, com seu sangue, não comereis.
01090500c2	E certamente requererei o vosso sangue, o sangue das vossas vidas; da mão de todo o animal o requererei: como tambem da mão do homem, e da mão do irmão de cada um requererei a vida do homem.
0109060079	Quem derramar o sangue do homem, pelo homem o seu sangue será derramado: porque Deus fez o homem conforme á sua imagem.
0109070060	Mas vós fructificae e multiplicae-vos: povoae abundantemente a terra, e multiplicae-vos n'ella.
0109080038	E fallou Deus a Noé, e a seus filhos com elle, dizendo:
0109090057	E eu, eis que estabeleço o meu concerto comvosco e com a vossa semente depois de vós,
01090a00a4	E com toda a alma vivente, que comvosco está, de aves, de rezes, e de todo o animal da terra comvosco: desde todos que sairam da arca, até todo o animal da terra.
01090b00a4	E eu comvosco estabeleço o meu concerto, que não será mais destruida toda a carne pelas aguas do diluvio: e que não haverá mais diluvio, para destruir a terra.
01090c008f	E disse Deus: Este é o signal do concerto que ponho entre mim e vós, e entre toda a alma vivente, que está comvosco, por gerações eternas.
01090d0057	O meu arco tenho posto na nuvem: este será por signal do concerto entre mim e a terra.
01090e0059	E acontecerá que, quando eu trouxer nuvens sobre a terra, apparecerá o arco nas nuvens:
01090f00b7	Então me lembrarei do meu concerto, que está entre mim e vós, e entre toda a alma vivente de toda a carne: e as aguas não se tornarão mais em diluvio, para destruir toda a carne.
0109100098	E estará o arco nas nuvens, e eu o verei, para me lembrar do concerto eterno entre Deus e toda a alma vivente de toda a carne, que está sobre a terra.
0109110081	E disse Deus a Noé: Este é o signal do concerto que tenho estabelecido entre mim e entre toda a carne, que está sobre a terra.
0109120061	E os filhos de Noé, que da arca sairam, foram Sem, e Cão, e Japhet; e Cão, é o pae de Canaan.
0109130045	Estes tres foram os filhos de Noé; e d'estes se povoou toda a terra.
010914003d	E começou Noé a ser lavrador da terra, e plantou uma vinha:
0109150046	E bebeu do vinho, e embebedou-se; e descobriu-se no meio de sua tenda.
010916005a	E viu Cão, o pae de Canaan, a nudez do seu pae, e fel-o saber a ambos seus irmãos fóra.
01091700d4	Então tomaram Sem e Japhet uma capa, e puzeram-n'a sobre ambos os seus hombros, e indo virados para traz, cubriram a nudez do seu pae, e os seus rostos eram virados, de maneira que não viram a nudez do seu pae.
0109180048	E despertou Noé do seu vinho, e soube o que seu filho menor lhe fizera.
0109190045	E disse: Maldito seja Canaan: servo dos servos seja aos seus irmãos.
01091a0048	E disse: Bemdito seja o Senhor Deus de Sem: e seja-lhe Canaan por servo.
01091b004f	Alargue Deus a Japhet, e habite nas tendas de Sem: e seja-lhe Canaan por servo.
01091c003d	E viveu Noé, depois do diluvio, trezentos e cincoenta annos.
01091d0045	E foram todos os dias de Noé novecentos e cincoenta annos, e morreu.
010a01006f	Estas pois são as gerações dos filhos de Noé. Sem, Cão, e Japhet; e nasceram-lhe filhos depois do diluvio.
010a020057	Os filhos de Japhet, são: Gomer e Magog, e Madai, e Javan, e Tubal, e Mesech, e Tiras.
010a03003c	E os filhos de Gomer, são: Asquenaz, e Riphath, e Togarmah.
010a040042	E os filhos de Javan, são: Elishah e Tarshish, Kittim, e Dodanim.
010a050093	Por estes foram repartidas as ilhas das nações nas suas terras, cada qual segundo a sua lingua, segundo as suas familias, entre as suas nações.
010a06003c	E os filhos de Cão, são: Cush, e Mizraim, e Put, e Canaan.
010a070076	E os filhos de Cush, são: Seba, e Havilah, e Sabtah, e Raamah, e Sabteca: e os filhos de Raamah são, Scheba e Dedan.
010a08003d	E Cush gerou a Nimrod: este começou a ser poderoso na terra.
010a090078	E este foi poderoso caçador diante da face do Senhor: pelo que se diz: Como Nimrod, poderoso caçador diante do Senhor.
010a0a0055	E o principio do seu reino foi Babel, e Erech, e Accad, e Calneh, na terra de Shinar.
010a0b004e	D'esta mesma terra saiu á Assyria e edificou a Ninive, e Rehoboth-Ir e Calah,
010a0c0039	E Resen, entre Niniveh e Calah (esta é a grande cidade).
010a0d003f	E Mizraim gerou a Ludim, e a Anamim, e a Leabim, e a Naphtuhim,
010a0e004a	E a Pathrusim, e a Caslushim, (d'onde sairam os philisteus) e a Caphtorim.
010a0f0032	E Canaan gerou a Sidon, seu primogenito, e a Heth;
010a100025	E ao Jebuseu, e Amorrheu, e Girgaseu,
010a110023	E ao Heveu, e ao Arkeu, e ao Sineu,
010a12005b	E ao Arvadeu, e ao Zemareu, e ao Hamatheu, e depois se espalharam as familias dos cananeus.
010a130081	E foi o termo dos cananeus desde Sidon, indo para Gerar, até Gaza; indo para Sodoma, e Gomorrah, e Adamah e Zeboiim, até Lasha.
