010000000a	Буття
01011c0178	І поблагословив їх Бог, і сказав Бог до них: „Плодіться й розмножуйтеся, і наповнюйте землю, оволоді́йте нею, і пануйте над мо́рськими рибами, і над птаством небесним, і над кожним плазуючим живим на землі!“
01011d0138	І сказав Бог: „Оце дав Я вам усю ярину, що розсіває насіння, що на всій землі, і кожне дерево, що на ньому плід деревни́й, що воно розсіває насіння, — нехай буде на їжу це вам!
01011e0115	І зе́мній усій звірині і всьому птаству небесному, і кожному, що плазує по землі, що душа в ньому жива, — уся зелень яринна на їжу для них.“ І сталося так.
01011f00ab	І побачив Бог усе, що вчинив. І ото, — вельми добре воно! І був вечір, і був ранок, — день шостий.
010201005d	І були скі́нчені небо й земля, і все во́їнство їхнє.
01020200d2	І скінчив Бог дня сьомого працю Свою, яку Він чинив. І Він відпочив у дні сьомім від усієї праці Своєї, яку був чинив.
01020300db	І поблагословив Бог день сьомий, і його освятив, бо в нім відпочив Він від усієї праці Своєї, яку, чинячи, Бог був створив.
01020400a5	Це ось походження неба й землі, коли створено їх, у дні, як Господь Бог створив небо і землю.
010205010d	І не було на землі жодної польової рослини, і жодна ярина польова не росла, бо на землю дощу Госпо́дь Бог не давав, і не було людини, щоб порати землю.
0102060058	І пара з землі підіймалась, і напувала всю землю.
01020700d2	І створив Господь Бог люди́ну з пороху зе́много. І дихання життя вдихнув у ніздрі її, — і стала люди́на живою душею.
0102080095	І насадив Господь Бог рай ув Едені на сході, і там осадив людину, що її Він створив.
01020900fb	І зростив Господь Бог із землі кожне дерево, принадне на вигляд і на їжу смачне, і дерево життя посеред раю, і дерево пізна́ння добра і зла.
01020a00a1	І річка з Едену виходить, щоб поїти рай. І звідти розділюється і стає чотирма́ початками.
01020b0073	Імення одному Пішон, — оточує він усю землю Хавіла, де є золото.
01020c005f	А золото тієї землі добре; там бделій і камінь онікс.
01020d006e	Ім'я́ ж другої річки Ґіхон, — вона оточує ввесь край Етіопії.
01020e00a6	А ім'я річки третьої — Тигр, — вона протікає на сході Ашшуру. А річка четверта — вона Ефрат.
01020f00ae	І взяв Господь Бог людину, і в еденському ра́ї вмістив був її, щоб порала його та його доглядала.
010210008f	І наказав Господь Бог Адамові, кажучи: „Із кожного дерева в раю́ ти можеш їсти.
01021100b7	Але з дерева знання́ добра й зла — не їж від нього, бо в день їди́ твоєї від нього ти напевно помреш!“
01021200b2	І сказав Господь Бог: „Не добре, щоб бути чоловіку самотнім. Створю йому поміч, подібну до нього“.
0102130157	І вчинив Господь Бог із землі всю польову звірину́, і все птаство небесне, і до Адама привів, щоб побачити, як він їх кликатиме. А все, як покличе Адам до них, до живої душі — воно ймення йому.
01021400fe	І назвав Ада́м імена всій худобі, і птаству небесному, і всій польовій звірині. Але Адамові помочі Він не знайшов, щоб подібна до нього була.
01021500d9	І вчинив Господь Бог, що на Адама спав міцний сон, — і заснув він. І Він узяв одне з ребер його, і тілом закрив його місце.
0102160094	І перетворив Господь Бог те ребро, що взяв із Адама, на жінку, і привів її до Адама.
01021700ef	І промовив Адам: „Оце́ тепе́р вона — кість від костей моїх, і тіло від тіла мого. Вона жінкою буде зватися, бо взята вона з чоловіка.
01021800c4	Покине тому чоловік свого батька та матір свою, та й пристане до жінки своєї, — і стануть вони одним тілом“.
0102190075	І були вони на́гі обоє, Адам та жінка його, і вони не соро́мились.
0103010100	Але змій був хитріший над усю польову звірину, яку Господь Бог учинив. І сказав він до жінки: „Чи Бог наказав: Не їжте з усякого дерева ра́ю?“
0103020071	І відповіла жінка змієві: „З плодів дерева раю ми можемо їсти,
01030300e0	але з плодів дерева, що в сере́дині ра́ю, — Бог сказав: „Не їжте із нього, і не доторкайтесь до нього, — щоб вам не померти“.
0103040050	І сказав змій до жінки: „Умерти — не вмрете!
01030500db	Бо відає Бог, що дня того, коли будете з нього ви їсти, ваші очі розкриються, і станете ви, немов Боги, знаючи добро й зло“.
0103060143	І побачила жінка, що дерево добре на їжу, і принадне для очей, і пожадане дерево, щоб набути знання. І взяла з його плоду, та й з'їла, і разом дала теж чоловікові своєму, — і він з'їв.
01030700b8	І розкрилися очі в обох них, і пізнали, що на́гі вони. І зшили вони фіґові листя, і зробили опаски собі.
01030800fb	І почули вони голос Господа Бога, що по ра́ю ходив, як повіяв денний холодок. І сховався Адам і його жінка від Господа Бога серед дерев раю.
010309006c	І закликав Господь Бог до Адама, і до нього сказав: „Де ти?“
01030a0097	А той відповів: „Почув я Твій голос у раю́ — і злякався, бо наги́й я, — і сховався“.
01030b00d6	І промовив Господь: „Хто сказав тобі, що ти нагий? Чи ти не їв з того дерева, що Я звелів був тобі, щоб ти з нього не їв?“
01030c00ae	А Адам відказав: „Жінка, що дав Ти її, щоб зо мною була, вона подала мені з того дерева, — і я їв“.
01030d00c3	Тоді Господь Бог промовив до жінки: „Що́ це ти наробила?“ А жінка сказала: „Змій спокусив мене, — і я їла“.
01030e015a	І до змія сказав Господь Бог: „За те, що зробив ти оце, то ти проклятіший над усю худобу, і над усю звірину польову! На своїм череві будеш плазувати, і порох ти їстимеш у всі дні свойо́го життя.
01030f00f5	І Я покладу ворожнечу між тобою й між жінкою, між насінням твоїм і насінням її. Воно зітре тобі голову, а ти будеш жали́ти його в п'яту“.
010310013b	До жінки промовив: „Помножуючи, помножу терпіння твої та болі вагітности твоєї. Ти в муках родитимеш діти, і до мужа твого пожада́ння твоє, — а він буде панувати над тобою“.
0103110193	І до Адама сказав Він: „За те, що ти послу́хав голосу жінки своєї та їв з того дерева, що Я наказав був тобі, говорячи: „Від нього не їж“, — прокля́та через тебе земля! Ти в скорботі будеш їсти від неї всі дні свойо́го життя.
010312007c	Тернину й осо́т вона буде родити тобі, і ти будеш їсти траву польову.
01031300dc	У поті свойо́го лиця ти їстимеш хліб, аж поки не вернешся в землю, бо з неї ти взятий. Бо ти порох, — і до пороху вернешся“.
010314007c	І назвав Ада́м ім'я своїй жінці: Єва, бо вона була мати всього живого.
0103150087	І зробив Господь Бог Адамові та жінці його одежу шкуряну́ — і зодягнув їх.
0103160153	І сказав Господь Бог: „Ось став чоловік, немов один із Нас, щоб знати добро й зло. А тепер коли б не простяг він своєї руки, і не взяв з дерева життя, і щоб він не з'їв, — і не жив повік віку“.
0103170098	І вислав його Господь Бог із еденського раю, щоб порати землю, з якої узятий він був.
010318011b	І вигнав Господь Бог Адама. А на схід від еденського раю поставив Херувима і меча полум'яного, який оберта́вся навколо, щоб стерегти дорогу до дерева життя.
01040100c7	І пізнав Адам Єву, жінку свою, і вона завагітніла, і породила Каїна, і сказала: „Набула чоловіка від Господа“.
0104020096	А далі вона породила брата йому Авеля. І був Авель пастух отари, а Каїн був рільник.
010403007e	І сталось по деякім часі, і приніс Каїн Богові жертву від плоду землі.
01040400df	А Авель, — він також приніс від своїх перворідних з отари та від їхнього лою. І зглянувся Господь на Авеля й на жертву його,
01040500ab	а на Каїна й на жертву його не зглянувся. І сильно розгнівався Каїн, і обличчя його похилилось.
0104060091	І сказав Господь Каїнові: „Чого ти розгнівався, і чого похилилось обличчя твоє?
010407011d	Отож, коли ти добре робитимеш, то підіймеш обличчя своє, а коли недобре, то в дверях гріх підстерігає. І до тебе його пожада́ння, а ти мусиш над ним панувати“.
01040800d3	І говорив Каїн до Авеля, брата свого. І сталось, як були вони в полі, повстав Каїн на Авеля, брата свого, — і вбив його.
01040900b7	І сказав Господь Каїнові: „Де Авель, твій брат?“ А той відказав: „Не знаю. Чи я сторож брата свого́?“
01040a0092	І сказав Господь: „Що́ ти зробив? Голос крови брата твого взиває до Мене з землі.
01040b00b2	А тепер ти прокля́тий від землі, що розкрила уста свої, щоб прийняти кров твого брата з твоєї руки.
01040c00cc	Коли бу́деш ти порати землю, вона більше не дасть тобі сили своєї. Мандрівником та заволокою будеш ти на землі“.
01040d0072	І сказав Каїн до Господа: „Більший мій гріх, аніж можна знести.
01040e0134	Ось Ти виганяєш сьогодні мене з цієї землі, і я буду ховатись від лиця Твого. І я стану мандрівником та заволокою на землі, і буде, — кожен, хто стріне мене, той уб'є мене“.
01040f0125	І промовив до нього Господь: „Через те кожен, хто вб'є Каїна, семикратно буде пімщений“. І вмістив Господь знака на Каїні, щоб не вбив його кожен, хто стріне його.
010410008c	І вийшов Каїн з-перед лиця Господнього, й осів у країні Нод, на схід від Едену.
01041100fa	І Каїн пізнав свою жінку, і стала вона вагітна, і вродила Еноха. І збудував він місто, і назвав ім'я́ тому містові, як ім'я́ свого сина: Енох.
01041200c0	І народився в Еноха Ірад, а Ірад породив Мегуяїла, а Мегуяїл породив Метушаїла, а Метушаїл породив Ламеха.
010413007a	І взяв собі Ламех дві жінки, — ім'я одній Ада, а ймення другій Цілла.
0104140091	І породила Ада Явала, — він був батьком тих, що сидять по наметах і мають череду.
010415009c	А ймення брата його Ювал, — він був батьком усім, хто держить у рука́х гусла й сопілку.
01041600b1	А Цілла також породила Тувалкаїна, що кував всіляку мідь та залізо. А сестра Тувалкаїнова Ноема́.
0104170135	І промовив Ламех до жінок своїх: „Адо й Цілло, послухайте ви мого голосу, жони Ламехові, почуйте ви сло́ва мого! Бо якби я мужа забив за уразу свою, а дитину — за рану свою,
010418007c	і як буде усемеро пімщений Каїн, то Ламех — у сімдесятеро й семеро!“
01041900fc	І пізнав Адам ще свою жінку, — і сина вона породила. І назвала ймення йому: Сиф, бо „Бог дав мені інше насіння за Авеля, що забив його Каїн“.
01041a00c1	А Сифові теж народився був син, і він назвав імення йому: Енош. Тоді зачали були призивати Ймення Господнє.
01050100a3	Оце книга нащадків Адамових. Того дня, як створив Бог людину, Він її вчинив на подобу Божу.
01050200da	Чоловіком і жінкою Він їх створив, і поблагословив їх. І того дня, як були вони створені, назвав Він їхнє ймення: Люди́на.
01050300c3	І жив Адам сто літ і тридцять, та й сина породив за подобою своєю та за образом своїм, і назвав ім'я йому: Сиф.
01050400ae	І було́ Адамових днів по тому, як він Сифа породив, вісім сотень літ. І породив він синів і дочок.
0105050099	А всіх Адамових днів було́, які жив, дев'ять сотень літ і тридцять літ. Та й помер він.
010506005d	І жив Сиф сто літ і п'ять літ, та й породив він Еноша.
01050700a3	І жив Сиф по тому, як Еноша породив, вісім сотень літ і сім літ. І породив він синів і дочок.
0105080068	А були всі дні Сифові дев'ять сотень літ і дванадцять літ.
010509005c	І жив Енош дев'ятдесят літ, та й породив він Кенана.
01050a00b8	І жив Енош по тому, як Кенана породив, вісім сотень літ і п'ятнадцять літ. І породив він синів та дочок.
01050b007a	А були всі Еношеві дні дев'ять сотень літ і п'ять літ. Та й помер він.
01050c0062	І жив Кенан сімдесят літ, та й породив він Магалал'їла.
01050d00b8	І жив Кенан по тому, як породив Магалал'їла, вісім сотень літ і сорок літ. І породив він синів та дочок.
01050e0088	А всіх Кенанових днів було́ дев'ять сотень літ і дев'ять літ. Та й помер він.
01050f0076	І жив Магалал'їл шістдесят літ і п'ять літ, та й породив він Яреда.
01051000bc	І жив Магалал'їл по тому, як Яреда породив, вісім сотень літ і тридцять літ. І породив він синів та дочок.
010511009b	А були всі дні Магалал'їлові вісім сотень літ і дев'ятдесят і п'ять літ. Та й помер він.
0105120074	І жив Яред сто літ і шістдесят і два роки, та й породив він Еноха.
010513009d	І жив Яред по тому, як породив він Еноха, вісім сотень літ. І породив він синів та дочок.
010514008f	А були всі Яредові дні дев'ять сотень літ і шістдесят і два роки. Та й помер він.
0105150067	І жив Енох шістдесят і п'ять літ, та й породив Метушалаха.
01051600b3	І ходив Енох з Богом по тому, як породив він Метушалаха, три сотні літ. І породив він синів та дочок.
0105170074	А всіх Енохових днів було́ три сотні літ і шістдесят і п'ять літ.
010518006b	І ходив із Богом Енох, і не стало його, — бо забрав його Бог.
0105190075	І жив Метушалах сто літ і сімдесят і сім літ, та й Ламеха породив.
01051a00d0	І жив Метушалах по тому, як породив він Ламеха, сім сотень літ і вісімдесят і два роки. І породив він синів та дочок.
01051b00a6	А всіх Метушалахових днів було́ дев'ять сотень літ і шістдесят і дев'ять літ. Та й помер він.
01051c006f	І жив Ламех сто літ і вісімдесят і два роки, та й сина породив,
01051d00d9	ім'я́ йому назвав: Ной, говорячи: „Цей нас потішить у наших ділах та в труді рук наших коло землі, що Господь її викляв“.
01051e00c0	І жив Ламех по тому, як Ноя породив, п'ять сотень літ і дев'ятдесят і п'ять літ. І породив він синів та дочок.
01051f008e	А всіх Ламехових днів було́ сім сотень літ і сімдесят і сім літ. Та й помер він.
010520007a	І був Ной віку п'ять сотень літ, та й породив Ной Сима, Хама та Яфета.
01060100a1	І сталося, що розпочала люди́на розмножуватись на поверхні землі, і їм народилися дочки.
01060200ae	І побачили Божі сини лю́дських дочок, що вродливі вони, і взяли собі жінок із усіх, яких вибрали.
01060300f2	І промовив Господь: „Не буде Мій Дух перемагатися в люди́ні навіки, — бо блудить вона. Вона тіло, і дні її будуть сто і двадцять літ“.
0106040123	За тих днів на землі були ве́летні, а також по тому, як стали прихо́дити Божі сини до лю́дських дочок. І вони їм народжували, — то були силачі, що славні від віку.
01060500ca	І бачив Господь, що велике розбе́щення людини на землі, і ввесь нахил думки серця її — тільки зло повсякде́нно.
0106060099	І пожалкував був Господь, що людину створив на землі. І засмутився Він у серці Своїм.
010607012f	І промовив Господь: „Зітру Я люди́ну, яку Я створив, з поверхні землі, — від людини аж до скотини, аж до плазунів, і аж до птаства небесного. Бо жалкую, що їх Я вчини́в“.
010608004b	Але Ной знайшов милість у Господніх очах.
01060900b6	Це ось о́повість про Ноя. Ной був чоловік праведний і невинний у своїх поколіннях. Ной з Богом ходив.
01060a0051	І Ной породив трьох синів: Сима, Хама й Яфета,
01060b0081	І зіпсулась земля перед Божим лицем, і напо́внилась земля насильством.
01060c009a	І бачив Бог землю, — і ось зіпсулась вона, кожне бо тіло зіпсуло дорогу свою на землі.
01060d0105	І промовив Господь до Ноя: „Прийшов кінець кожному тілу перед лицем Моїм, бо напо́внилась земля насильством від них. І ось Я винищу їх із землі.
01060e00d1	Зроби собі ковчега з дерева ґофер. З перегородками зробиш ковчега, і смолою осмолиш його ізсере́дини та ізнадвору.
01060f00d2	І отак його зробиш: три сотні ліктів довжина ковчега, п'ятдесят ліктів ширина йому, а тридцять ліктів височина йому.
010610011b	Отвір учиниш в ковчезі, і звузиш на лікоть його від гори, а вхід до ковчегу влашту́єш на боці його. Зробиш його на поверхи долішні, другорядні й третьорядні.
01061100d2	А Я ось наведу́ пото́п, воду на землю, щоб з-під неба винищити кожне тіло, що в ньому дух життя. Помре все, що на землі!
01061200d4	І складу Я заповіта Свойого з тобою, і вві́йдеш до ковчегу ти, і сини твої, і жінка твоя, і жінки́ твоїх синів із тобою.
01061300f5	І впровадиш до ковчегу по двоє з усього, — з усього живого, із кожного тіла, щоб їх заховати живими з тобою. Вони будуть самець і самиця.
010614010a	Із птаства за родом його, і з худоби за родом її, із усіх плазунів на землі за родом їх, — по двоє з усього уві́йдуть до тебе, щоб їх зберегти живими.
01061500a7	А ти набери собі з кожної їжі, що вона на спожива́ння, — і буде для тебе й для них на поживу.“
0106160061	І зробив Ной усе, — як звелів йому Бог, так зробив він.
01070100d8	І сказав Господь Ноєві: „Увійди ти й увесь дім твій до ковчегу, бо Я бачив тебе праведним перед лицем Своїм в оцім роді.
01070200ce	Із усякої чистої худоби візьмеш собі по семеро, самця та самицю її, а з худоби нечистої — двоє: самця та самицю її.
01070300bf	Також із птаства небесного по семеро, самця та самицю, щоб насіння сховати живим на поверхні всієї землі.
01070400e4	Ось бо по семи днях Я литиму на землю дощ сорок день і сорок ночей, — і всяку істоту, яку Я вчинив, зітру з-над поверхні землі!“
0107050047	І зробив Ной усе, як звелів був Господь.
010706006e	А Ной був віку шостисот літ, і стався пото́п, — вода на землі.
01070700a6	І ввійшов Ной, і сини його, і жінка його, і невістки його з ним до ковчегу перед водою потопу.
010708009c	Із чистої худоби та з худоби, що нечиста вона, і з птаства, і всього, що плазує на землі,
0107090089	по двоє ввійшли до Ноя до ковчегу, самець і самиця, як Бог Ноєві був ізвелів.
01070a0068	І сталося по семи днях, — і во́ди потопу лину́ли на землю.
01070b012a	Року шостої сотні літ життя Ноєвого, місяця другого, сімнадцятого дня місяця, — цього дня відкрилися всі джере́ла великої безодні, і розчинилися небесні розтвори.
01070c004e	І був дощ на землі сорок день і сорок ночей.
01070d00c7	Того саме дня до ковчегу ввійшов Ной, і Сим, і Хам та Яфет, сини Ноєві, і жінка Ноєва, і три невістки його з ними,
01070e012c	вони та всяка звірина за родом її, і всяка худоба за родом її, і всяке плазуюче, що плазу́є по землі, за родом його, і всяке птаство за родом його, усяка пташка крилата.
01070f0080	І ввійшли до Ноя, до ковчегу по двоє із кожного тіла, що в нім дух життя.
01071000c9	А те, що ввійшло, — самець і самиця з кожного тіла ввійшли, як звелів йому Бог. І замкнув Господь за ним ковчега.
01071100ba	І був пото́п сорок день на землі, і збільшилась вода, і поне́сла ковчега. І він ви́соко став над землею.
010712009f	І прибула вода, і сильно збільши́лась вона на землі, — і пливав ковчег на поверхні води.
0107130094	І дуже-дуже вода на землі прибула́, і покрились усі гори високі, що під небом усім.
0107140071	На п'ятнадцять ліктів уго́ру вода прибула, — і покрилися гори.
0107150114	І вимерло всяке тіло, що рухається на землі: серед птаства, і серед скотини, і серед звірини, і серед усіх плазунів, що плазують по землі, і кожна люди́на.
0107160083	Усе, що в ніздрях його дух життя, з усього, що на суходолі — вимерло було.
0107170157	І винищив Бог усяку істоту на поверхні землі, від людини аж до скотини, аж до плазуна́, і аж до птаства небесного, — вони стерлись з землі. І зостався тільки Ной та те, що з ним у ковчезі було.
0107180054	І прибувала вода на землі сто і п'ятдесят день.
01080100f8	І згадав Бог про Ноя, і про кожну звірину́ та про всяку худобу, що були з ним у ковчезі. І Бог навів вітра на землю, — і вода заспоко́їлась.
0108020089	І закрились джере́ла безодні та небесні розтвори, — і дощ з неба спини́вся.
01080300b0	І верталась вода з-над землі, верталась постійно. І стала вода спада́ти по ста й п'ятидесяти днях.
0108040097	А сьомого місяця, на сімнадцятий день місяця ковчег спинився на горах Араратських.
01080500bf	І постійно вода спадала аж до десятого місяця. А першого дня десятого місяця завиднілися гірські вершки.
0108060083	І сталося по сорока днях, Ной відчинив вікно ковчегу, що його він зробив.
0108070092	І вислав він крука. І літав той туди та назад, аж поки не висохла вода з-над землі.
0108080085	І послав він від себе голубку, щоб побачити, чи не спа́ла вода з-над землі.
0108090166	Та не знайшла та голубка місця спочинку для стопи своєї ноги, і вернулась до нього до ковчегу, бо стояла вода на поверхні всієї землі. І вистромив руку, і взяв він її, та й до себе в ковчег упустив її.
01080a007a	І він зачекав іще других сім день, і знову з ковчегу голубку послав.
01080b00fa	І голубка вернулась до нього вечірнього ча́су, — і ось у неї в дзюбку́ лист оливковий зірваний. І довідався Ной, що спала вода з-над землі.
01080c00a6	І він зачекав іще других сім день, і голубку послав. І вже більше до нього вона не вернулась.
01080d012b	І сталося, року шістсотого й першого, місяця першого, першого дня місяця — висохла вода з-над землі. І Ной зняв даха ковчегу й побачив: аж ось висохла поверхня землі!
01080e0079	А місяця другого, двадцятого й сьомого дня місяця — висохла земля.
01080f003c	І промовив Ноєві Господь, кажучи:
010810007f	„Вийди з ковчегу ти, а з тобою жінка твоя, і сини твої, і невістки твої.
01081101a9	Кожну звірину, що з тобою вона, від кожного тіла з-посеред птаства, і з-посеред скотини, і з-посеред усіх плазунів, що плазують по землі, повиводь із собою. І хай роя́ться вони на землі, і нехай на землі вони плодяться та розмножуються“.
010812006d	І вийшов Ной, а з ним сини його, і жінка його, і невістки його.
01081300c7	Кожна звірина, кожен плазун, усе птаство, усе, що рухається на землі, за родами їхніми — вийшли з ковчегу вони.
01081400fc	І збудував Ной жертівника Господе́ві. І взяв він із кожної чистої худоби й з кожного чистого птаства, і приніс на жертівнику цілопа́лення.
010815018e	І почув Господь пахощі любі, і в серці Своєму промовив: „Я вже більше не буду землі проклинати за людину, бо нахил людського серця лихий від віку його молодого. І вже більше не вбиватиму всього живого, як то Я вчинив був.
01081600c4	Надалі, по всі дні землі, сівба та жнива, і холоднеча та спека, і літо й зима, і день та ніч — не припиняться!“
01090100b8	І поблагословив Бог Ноя й синів його, та й промовив: „Плодіться й розмножуйтеся, та наповнюйте землю!
010902013b	І ляк перед вами, і страх перед вами буде між усією звіриною землі, і між усім птаством небесним, між усім, чим роїться земля, і між усіма рибами моря. У ваші руки віддані вони.
0109030097	Усе, що плазує, що живе воно, — буде вам на їжу. Як зеле́ну ярину́ — Я віддав вам усе.
010904007d	Тільки м'яса з душею його, цебто з кров'ю його, не будете ви споживати.
010905011e	А тільки Я буду жадати вашу кров із душ ваших, з руки кожної звірини буду жада́ти її, і з руки чоловіка, з руки ко́жного брата його Я буду жадати душу лю́дську.
01090600b6	Хто виллє кров людську з люди́ни, то виллята бу́де його кров, бо Він учинив люди́ну за образом Божим.
0109070088	Ви ж плодіться й розмножуйтеся, роїться на землі та розмножуйтесь на ній!“
0109080059	І сказав Бог до Ноя та до синів його з ним, кажучи:
0109090085	„А Я, — ось Свого заповіта укладаю Я з вами та з вашим пото́мством по вас.
01090a011c	І з кожною живою душею, що з вами: серед птаства, серед худоби, і серед усієї зе́мної звірини́ з вами, від усіх, що виходять з ковчегу, до всієї земної звірини.
01090b00e2	І Я укладу заповіта Свого з вами, і жодне тіло не бу́де вже знищене водою пото́пу, і більш не буде пото́пу, щоб землю нищити“.
01090c00e5	І Бог промовляв: „Оце знак заповіту, що даю Я його поміж Мною та вами, і поміж кожною живою душею, що з вами, на вічні покоління:
01090d0092	Я веселку Свою дав у хмарі, і стане вона за знака заповіту між Мною та між землею.
01090e0090	І станеться, коли над землею Я хмару захмарю, то буде виднітися в хмарі веселка.
01090f0110	І згадаю про Свого заповіта, що між Мною й між вами, і між кожною живою душею в кожному тілі. І більш не буде вода для пото́пу, щоб вигубляти кожне тіло.
01091000f8	І буде веселка у хмарі, і побачу її, щоб пам'ятати про вічний заповіт між Богом і між кожною живою душею в кожному тілі, що воно на землі“.
01091100be	І сказав Бог до Ноя: „Це знак заповіту, що Я встановив поміж Мною й поміж кожним тілом, що воно на землі“.
01091200a2	І були сини Ноєві, що вийшли з ковчегу: Сим, і Хам, і Яфе́т. А Хам — він був батько Ханаанів.
010913006a	Оці троє були сини Ноєві, і від них залю́днилася вся земля.
010914004e	І зачав був Ной, муж землі, садити виноград.
0109150074	І пив він вино та й упився, й обнажився в сере́дині свого намету.
01091600ac	І побачив Хам, батько Ханаанів, наготу батька свого, та й розказав обом браттям своїм надво́рі.
