010000000b	Kamtawngnae
0103150056	BAWIPA Cathut ni Adam hoi a yu hanlah phaivuen angkidung a sak pouh teh, a khohna sak.
01031600f3	Hahoi, BAWIPA Cathut ni tami teh, maimouh thung dawk e buetbuet touh hoi a kâvan toung dawkvah, thoe hoi hawi a panue toe. Atuteh, yungyoe hringnae coe hanelah a kut a kâyap vaiteh hringnae thingpaw khi vaiteh, a cakawi nahoeh toe telah ati.
0103170070	Hatdawkvah, BAWIPA Cathut ni tami teh ama a tâconae talai dawk thaw tawk hanelah Eden takha thung hoi a pâlei.
01031800a1	Hottelah, tami hah a pâlei hnukkhu, avoivang kamrit thai e tahloi hoi Cherubim hah, hringnae thingkung lamthung ka ring hanelah, Eden takha kanîtholah a hruek.
0104010085	Adam ni a yu Evi a panue teh, camo a vawn. Capa a khe teh, BAWIPA ni na kabawp dawk ca tongpa ka khe ati teh, Kain telah min a phung.
0104020064	Hahoi, a nawngha Abel bout a khe. Abel teh tu kakhoumkung lah ao teh, Kain teh law kasakkung lah ao.
0104030052	Atueng akuep torei teh, Kain ni amae law thung e a pawhiknaw hah BAWIPA koe a sin.
0104040071	Abel ni hai tu pasuek ka khe e hoi, kathâwnaw a sin. Hatdawkvah, BAWIPA ni Abel hoi a sin e hno teh a dâw pouh.
0104050075	Hatei Kain hoi a sin e hno teh dâw pouh hoeh. Hatdawkvah, Kain teh a lung puenghoi a khuek dawkvah minhmai a mathoe.
0104060045	BAWIPA ni Kain koevah, Bangkongmaw na lungkhuek teh minhmai a mathoe.
01040700c2	Kahawicalah na sak pawiteh ka dâw mahoeh maw. Kahawicalah na sak hoehpawiteh yon thuengnae sathei teh longkha koe a tabo. Ahnie a ngainae teh nange doeh. Hatei nang ni ahni na uk telah atipouh.
0104080074	Kain ni a nawngha Abel koevah law lah cet sei atipouh. Law a pha roi torei teh Kain ni a nawngha a taran teh a thei.
0104090093	Hatdawkvah, BAWIPA ni Kain koe, na maw na nawngha Abel te, telah a pacei navah, ahni ni ka panuek hoeh, ka nawngha ka khoum e nahoeh telah atipouh.
01040a0056	Hahoi, BAWIPA ni bangmaw na sak na nawngha e thi ni talai dawk hoi kai koe a hram toe.
01040b0076	Na kut hoi na palawng e na nawngha thi, dâw hanelah apâhni ka ang e talai dawk hoi nang teh atu thoebo lah na o toe.
01040c009a	Talai dawk thaw na tawk navah a thaonae nang koe tâcawt mahoeh toe. Nang teh talai vah, ka yawng e tami hoi ka kâva a e tami lah na o han telah atipouh.
01040d0049	Kain ni BAWIPA koevah, reknae ka hmu e heh ka phu thai e hlak a lenhnawn.
01040e00ca	Sahnin teh talai hoi na pâlei toe ti ka panue. Na hmaitung hoi hro lah ka o toe. Talai van vah ka yawng e hoi yuengyoe kâva e tami lah kaawm vaiteh, ka hmawt e pueng ni na thei han doeh telah atipouh.
01040f00cc	Hatei, BAWIPA ni Kain koe nang ka thet e pueng teh let sari touh hoi a moi ka pathung han atipouh. Hahoi, BAWIPA ni Kain ka hmawt e tami, buet touh ni hai a thei hoeh nahanlah ahni dawk noutnae a ta pouh.
0104100061	Hathnukkhu, Kain teh BAWIPA e hmaitung hoi a tâco teh, Eden kanîtholah, Nod ram dawk kho a sak.
010411006f	Kain ni a yu a panue teh, camo a vawn teh Enok a khe. Kho a thawng teh a capa min lah Enok kho telah min a poe.
010412006a	Hahoi Enok ni Irad a khe. Irad ni Mehujael a khe. Mehujael ni Methushael a khe. Methushael ni Lamek a khe.
0104130064	Hathnukkhu, Lamek ni a yu kahni touh a la teh, apasueke min teh Adah, apâhni e min teh Zillah doeh.
0104140066	Adah ni Jabal a khe. Ahni teh rimnaw dawk kho ka sak e lah ao teh saringnaw kapacakung e na pa lah ao.
0104150051	A nawngha e min teh Jubal. Ahni teh ratoung hoi vovitnaw ka pâtu e na pa lah ao.
010416007c	Zillah ni hai Tubal-kain a khe. Ahni teh rahum hoi sum ka dei pueng e na pa lah ao. Naamah teh Tubal-kain e tawncanu lah ao.
01041700b1	Hahoi, Lamek ni a yu roi Adah hoi Zillah koevah, ka lawk thai roi haw, patawnae na poe dawkvah tongpa buet touh ka thei. Na pacekpahlek dawkvah, thoundoun buet touh ka thei toe.
0104180060	Kain ni let sari touh e moipathungnae khang pawiteh, Lamek ni teh a let 70 touh hoi a khang han.
01041900ab	Hahoi, Adam ni a yu bout a panue teh, ca tongpa a khe. Seth telah min a phung. Bangkongtetpawiteh, Kain ni Abel a thei dawkvah Cathut ni alouke cati bout na poe telah ati.
01041a0065	Seth ni hai capa a khe teh Enosh telah min a phung. Hahoi tami ni Jehovah min kaw han a kamtawng awh.
0105010066	Adam catounnaw cauk teh a rahim lae patetlah doeh. Cathut ni tami a sak navah amae meikalat lah a sak.
0105020060	Tongpa hoi napui a sak teh yawhawinae a poe. A sak hnin ahnimouh roi teh tami telah min a phung.
0105030074	Adam teh kum 130 touh a pha navah, ama hoi kâlat e ama hoi mei kâvan e ca tongpa a khe teh Seth telah min a phung.
010504005f	Seth a khe hnukkhu, Adam teh kum 800 touh a hring teh ca tongpanaw hoi napuinaw hai bout a khe.
0105050028	Adam teh kum 930 touh akuep navah a due.
010506002e	Seth teh kum 105 touh a pha navah Enosh a khe.
010507005b	Enosh a khe hnukkhu Seth teh kum 807 touh a hring teh ca tongpanaw hoi napuinaw bout a khe.
010508002a	Seth teh a kum 912 touh akuep navah a due.
010509002e	Enosh teh kum 90 touh a pha navah Kenan a khe.
01050a0056	Kenan a khe hnukkhu, Enosh teh kum 815 touh a hring teh ca tongpanaw hoi napuinaw khe.
01050b0029	Enosh teh kum 905 touh a hring teh a due.
01050c0032	Kenan teh kum 70 touh a pha navah Mahalalel a khe.
01050d0061	Mahalalel a khe hnukkhu, Kenan teh kum 840 touh a hring teh ca tongpanaw hoi napuinaw bout a khe.
01050e0029	Kenan teh kum 910 touh a hring teh a due.
01050f0032	Mahalalel teh kum 65 touh a pha navah Jared a khe.
0105100061	Jared a khe hnukkhu, Mahalalel teh kum 830 touh a hring teh ca tongpanaw hoi napuinaw bout a khe.
010511002d	Mahalalel teh kum 895 touh a hring teh a due.
010512002e	Jared teh kum 162 touh a pha navah Enok a khe.
010513005b	Enok a khe hnukkhu Jared teh kum 800 touh a hring teh ca tongpanaw hoi napuinaw bout a khe.
0105140029	Jared teh kum 962 touh a hring teh a due.
0105150032	Enok teh kum 65 touh a pha navah Methuselah a khe.
0105160075	Methuselah a khe hnukkhu Enok teh kum 300 touh thung Cathut hoi rei a ceio teh, ca tongpanaw hoi napuinaw bout a khe.
010517001e	Enok teh kum 365 touh a hring.
0105180062	Enok teh Cathut hoi cungtalah a ceio teh bout awmhoeh toe. Bangkongtetpawiteh, Cathut ni a la toe.
0105190032	Methuselah teh kum 187 touh a pha nah Lamek a khe.
01051a0061	Lamek a khe hnukkhu Methuselah teh kum 782 touh a hring teh ca tongpanaw hoi napuinaw bout a khe.
01051b002e	Methuselah teh kum 969 touh a hring teh a due.
01051c0033	Lamek teh kum 182 touh a pha navah ca tongpa a khe.
01051d0086	BAWIPA ni thoebonae talai dawk kut hoi thaw tawk awh teh, patang khangnae dawk hoi lung na pahawi han ati teh, Noah telah min a phung.
01051e005b	Noah a khe hnukkhu Lamek teh kum 595 touh a hring teh ca tongpanaw hoi napuinaw bout a khe.
01051f0029	Lamek teh kum 777 touh a hring teh a due.
010520003c	Noah teh kum 500 touh a pha nah Shem, Ham hoi Japheth a khe.
010601003f	Talai vah tami pungdaw a kamtawng navah, canunaw a khe awh teh,
010602006a	Cathut e capanaw ni tami e canunaw a meihawi e a hmu navah a ngai e patetlah a rawi awh teh, a paluen awh.
01060300c3	Hat torei teh, BAWIPA ni ka muitha teh taminaw koe yungyoe kaawm sak mahoeh toe. Bangkongtetpawiteh, tami teh tak lah ao dawkvah, atu hoi teh tami e a hringnae teh kum 120 touh han toe telah ati.
01060400ed	Hatnae tueng dawk Nephilimnaw teh talai van ao awh. Hathnukkhu, Cathut e capanaw ni tami e canunaw a yonkhai awh teh, ahnimouh hanelah canaw a khe awh. Hote taminaw teh ayan e tueng dawk Athakasaipounge hoi min kamthang e naw lah ao awh.
010605005d	BAWIPA ni talai van dawk tami e thoenae a len e hoi lungpouk pueng pou a payon toe tie a hmu.
0106060050	Hahoi BAWIPA ni talai van tami a sak e hah a lungmathoe teh a lung caca a pataw.
01060700cd	Hatdawkvah, BAWIPA ni ka sak e tami teh talai dawk hoi ka takhoe han toe. Tami hai, saring hai, vonpui hoi kâvanaw hoi kalvannaw dawk e tavanaw hai, ahnimanaw ka sak e dawk ka lung caca a pataw telah ati.
010608002d	Hatei Noah teh BAWIPA lungyouk e tami lah ao.
0106090082	Hethateh, Noah e catounnaw doeh. Noah teh tamikalan, a miphun dawk toun han kaawm hoeh e tami lah ao. Cathut hoi cungtalah a ceio.
01060a003c	Noah ni Shem, Ham, hoi Japheth, ca tongpa kathum touh a khe.
01060b004f	Hat navah, talai teh Cathut hmalah karawk e lah ao. Talai teh yonnae hoi akawi.
01060c008c	Cathut ni talai a khet navah, karawk e lah ao e hah a hmu. Bangkongtetpawiteh, talai van e tami pueng e takthai lamthung teh koung a ro toe.
01060d00c8	Hatdawkvah, Cathut ni Noah koevah takthai pueng e a poutnae teh ka hmaitung a kamnue toe. Ahnimouh kecu dawk talai teh yonnae hoi akawi toe. Talai hoi cungtalah ahnimanaw teh ka raphoe katang han toe.
01060e008a	Gopher thing hoi nama hanelah, long sak leih. Athung haiyah rakhannaw sak nateh, athung, avan petkâkalup lah thingtapi hoi kanan sin haw.
01060f004f	Hote long teh asaw e dong 300, akaw e dong 50, a rasang dong 30 touh a pha han.
01061000c0	Long lemphu na sak vaiteh, a lathueng lahoi dong touh kakaw lah hlalangaw na sak vaiteh, tapang koe lah tho na sak han. Apasuekpoung, apâhni hoi apâthum telah coung thum touh lah na sak han.
010611008d	Kahring e saring pueng, kalvan rahim hoi ka raphoe hanelah, talai van tuikamuem ka tho sak vaiteh, talai van kaawm pueng koung a due awh han.
0106120067	Nang koe ka lawkkam ka caksak han. Nama hoi capanaw na yu hoi langanaw teh long thung na kâen awh han.
0106130088	Hahoi ka hring e saring pueng thung e anapui hoi anatongpa kahni touh hring sak hanelah, nang hoi cungtalah long thung na kâen sak han.
01061400b4	Tava dawk hai amae aphun lah, saring dawk hai amae aphun lah, vonpui hoi kâva e dawk hai amae aphun lah, aphun tangkuem dawk e kahni touh hring sak hanelah nang koe a tho awh han.
010615007c	Hahoi nama ni na ca hane hoi saringnaw ni a ca hanelah, cakawi rawca aphunphun na la vaiteh, na pâkhueng han telah atipouh.
0106160033	Cathut ni kâ a poe e patetlah Noah ni koung a sak.
01070100bb	Hathnukkhu vah, BAWIPA ni Noah koe bout a dei pouh e teh, atu e taminaw thung dawk nang teh ka hmalah tamikalan lah na o e ka panue dawkvah, na imthungkhu abuemlahoi long thung kâen awh.
0107020077	Kathounge saring dawk e anatongpa hoi anapui phun sari, kathounghoehe saring dawk e anatongpa hoi anapui phun hni touh,
0107030092	kalvan e tava thung dawk e hai anatongpa hoi anapui phun sari touh telah lengkaleng talai van dawk hoi hlout sak hanelah, nama koe na thokhai han.
01070400b1	Bangkongtetpawiteh, atu hoi kamtawng vaiteh hnin sari touh akuep navah, hnin 40 touh hoi a rum 40 touh thung kho ka rak sak vaiteh, ka sak e kahring e pueng koung ka raphoe han.
010705002d	BAWIPA ni kâ a poe e patetlah Noah ni a sak.
0107060042	Talai van dawk tuikamuem a tho navah, Noah teh kum 600 touh a pha.
010707006a	Tuikamuem kecu dawk, Noah hoi a capanaw, a yu hoi a langanaw teh a hlout nahanelah long thung a kâen awh.
0107080088	Cathut ni Noah koe kâ a poe e patetlah kathounge saringnaw hoi kathounghoehe saringnaw tavanaw hoi vonpui hoi kâva e saringnaw dawk e,
0107090049	a napui hoi a na tongpanaw teh Noah hoi cungtalah long thung a kâen awh.
01070a003f	Hnin sari touh akuep hnukkhu hoi tuikamuem teh talai van a tho.
01070b0091	Noah a kum 600 nae kum, thapa ayung pahni, hnin 17 nah, kadung poung e tuikhu pueng a kamawng teh kalvannaw dawk e hlalangaw pueng hai a kamawng.
01070c0041	Hathnukkhu, hnin 40 touh hoi rum 40 touh talai van vah kho a rak.
01070d0071	Hote hnin dawk Noah hoi a capanaw, Shem, Ham, hoi Japheth, Noah e a yu hoi a langanaw teh long thung a kâen awh.
01070e00ab	Ahnimouh hoi saring phun, sarang phun, talai dawk kâva e pueng dawk e phun, kamleng e tava phun, rathei ka tawn e pueng dawk e phun, a yuvâ lahoi long thung a kâen awh.
01070f004d	Hringnae kâha ka tawn e pueng a yuvâ lahoi long thung Noah koe a kâen awh.
0107100091	Hottelah Cathut ni lawk a thui e patetlah saring thung dawk e anatongpa hoi anapui a kâen sak teh, BAWIPA ni Noah teh athung vah tho a khan sin.
0107110079	Tuikamuem teh talai van hnin 40 touh thung a kamuem. Tui hoehoe a len teh talai dawk hoi long teh a kâtakhoe teh a tawm.
0107120046	Talai van tui hoehoe a len teh, long teh tui van lah hoehoe a kâtawm.
0107130069	Hahoi, tui teh talai van dawk a tha hoehoe ao teh, kalvan rahim kaawm e mon ka rasang pueng koung a muem.
0107140041	Tui ni a muem e monnaw e a lathueng tui teh dong 15 touh arasang.
010715007e	Hatdawkvah, talai van ka kâroe e tava, sarang, saring, talai dawk ka kâva e saring pueng hoi tami pueng teh koung a due awh.
0107160029	A oung lah kaawm e pueng hai koung a due.
01071700be	Hottelah talai van kaawm ni teh hringnae ka tawn e pueng, tami hoi saring, a von hoi ka kâvanaw hoi kalvan e tavanaw koung a thei. Noah hoi cungtalah long thung kaawmnaw dueng doeh kahlout.
010718002f	Hnin 150 touh thung tui teh talai van a kamuem.
010801009f	Hateiteh, Cathut ni Noah hoi cungtalah long thung kaawm e kahring e pueng hoi saring pueng teh pahnim hoeh. Hahoi Cathut ni kahlî a tho sak teh tui a kum sak.
010802005d	Ka dungpoung koe e tui kâkhunaw hoi kalvan e hlalangawnaw hai a khan teh khorak e a dep sak.
010803005c	Talai van e tui hah, pout laipalah a kum sak teh, hnin 150 touh aloum hnukkhu tui teh a hak.
010804004a	Hottelah long teh thapa yung sarinae hnin 17 nah Ararat mon dawk a kâhat.
0108050073	Ahranae thapa totouh tui teh pout laipalah, a kum cathuk. Thapa yung hra, apasuek hnin dawk monsomnaw teh a kamnue.
0108060051	Hahoi, hnin 40 touh abaw hnukkhu, Noah ni long dawk e hlalangaw a sak e a paawng.
010807005f	Vonga buet touh a patoun teh, talai van tui a hak hoehroukrak a voivang lah yuengyoe a kamleng.
010808005e	Hahoi talai van e tui a hak toung maw tie panue thai nahanlah âbakhu hah ama koehoi a patoun.
01080900e0	Hateiteh âbakhu ni a kâhat nahan a hmu hoeh dawkvah, long thung ama koe bout a ban. Bangkongtetpawiteh, tui teh talai van koung a kamuem rah. Noah ni a kut a dâw teh âbakhu a la hnukkhu, long thung ama koe bout a pakhum.
01080a004d	Hnin sari touh bout ao hnukkhu hote âbakhu hah long thung hoi bout a patoun.
01080b0091	Tangmin lah âbakhu teh Noah koe bout a ban teh, a pahni hoi ka hringsuep e Olive hna a thokhai teh, Noah ni talai van tui a hak toe tie a panue.
01080c005c	Hnin sari touh bout aloum hnukkhu hote âbakhu, bout a patoun teh ama koe bout ban hoeh toe.
01080d00aa	Kum 601, apasueke thapa apasuek hnin navah, talai van e tui pueng teh koung a hak. Hatdawkvah, Noah ni long ramuknae a hawng teh a khet navah talai van remke e hah a hmu.
01080e0034	Apâhni e thapa, hnin 17 nah, talai teh remphui toe.
01080f001f	Hottelah Cathut ni Noah koevah,
010810004c	Nama hoi na yu, na capanaw hoi na langanaw, long thung hoi tâcawt awh leih.
01081100a2	Nang koe kaawm e moithang, saring pueng, tava pueng, vonpui hoi kâva e pueng, talai van ca a khe vaiteh, pungdaw thai nahanelah, tâcawtkhai leih, telah atipouh.
010812005f	Hatdawkvah, Noah teh ama koe kaawm e a capanaw hoi a yu, a capanaw hoi a yunaw hoi a tâco awh.
0108130077	Moithang, saring pueng, a von hoi kâva e pueng, tava phunkuep hoi talai van kâroe e pueng long thung hoi a tâco awh.
010814005b	Hahoi, Noah ni BAWIPA hanelah khoungroe a sak teh, khoungroe dawk hmaisawi thuengnae a sak.
