0100000004	Tite
01011000c1	Nda Ɓakuli pàk atǎlaban mǝgulke ɓari. Mǝgule mala ɓì, yì pwari ka, ɓǝ̀ kǝ tá nǝ pwari, sǝ mǝkyauwe, yì zongŋo ka, ɓǝ̀ kǝ tá nǝ du. Ɓakuli nyar ɗǝm ngga pusǝ anlero.
010111004f	Ɓakuli tsǝk amǝnia yì atǎlaban ngga a bumkuli ɓǝà kǝ tá amúr ɓanza.
010112006c	Ɓǝà kǝ yálmúr pwari andǝ du, sǝ ɓǝà gau nre tǎlaban andǝ pǝndǝa. Sǝ Ɓakuli sǝni ka ɓoaro.
0101130038	Pwari kya kpa, sǝ ban yi kwaro. Mǝno nda inea nongŋo.
010114008e	Ɓakuli na ama, “Ɓǝ̀ mùr lùmsǝ nǝ anji andǝ acili agir mǝyilǝmui mǝnana a mùr ka. Ɓǝ̀ bumkuli lùmsǝ nǝ koya ulang nyal.”
01011500af	Nda Ɓakuli pusǝki agirkusǝu mǝgulke mǝnana a nggeamùr, andǝ koya gìr mǝnana nǝyilǝmu kǝ ging mbǝl-mbǝl a mùr ka, andǝ koya ulang nyal. Ɓakuli sǝni ka ɓoaro.
0101160074	Sǝ Ɓakuli tsǝkia wia bù, na ama, “Wu ɓǝla, wu hatǝki, wu aki nggeamùr, sǝ ɓǝ̀ anyal hatǝki ɓanza.”
010117003f	Pwari kya kpa, sǝ ban yi kwaro; mǝno ka nda tongnoia nongŋo.
01011800e1	Ɓakuli nyare na ama, “Ɓǝ̀ nzali pusǝ koya ulang gìr mǝnana nǝyilǝmu ka: agirkusǝu andǝ agir-nzali mǝnana à kǝ púrǝ́ki nǝ múrbumia a nzali ka, andǝ koya ulang nyam-bondo andǝ nyam-ɓala.” Anggo sǝ pa.
010119008c	Ɓakuli pusǝ koya ulang girkusǝu, anyam-ɓala andǝ anyam-bondo, andǝ koya gìr mǝnana kǝ kuɗǝki a nzali ka. Ɓakuli sǝni ka ɓoaro.
01011a015b	Pǝlǝa Ɓakuli na ama, “Ɓǝ̀ sǝm pàk ɓwapǝndǝa ɓǝ̀ pa kǝla sǝm, ɓǝ̀ pur sǝm, ace mǝnana ɓǝ̀ yálmúr anji mǝnana aɓa nggeamùr, andǝ anyal mǝnana a bumkuli ka, agir-nzali andǝ agirkusǝu mǝnana kat à kǝ gāli a nzǝm-nzali, andǝ ɓanza kat, andǝ agiryilǝmu mǝnana kat à kǝ pūrǝki nǝ múrbumia a nzali ka.”
01011b007c	Nda Ɓakuli pusǝ ɓwapǝndǝa kǝla yì. Aɓa purban male yì Ɓakuli sǝ pusǝì. Pàk ɓwapǝndǝa ɓwabura andǝ ɓwama.
01011c00f6	Ɓakuli tsǝkia wia bù sǝ nea wia ama, “Wu ɓǝla, wu hatǝki; wu lùmsǝ ɓanza. Wu akí ɓanza sǝ wu ɓunni. Wu yálmúr anji mǝnana a mùr andǝ anyal mǝnana a bumkuli, andǝ koya gìr mǝnana ndanǝ yilǝmu kǝ gya a nzǝm-nzali ka.”
01011d00d3	Pǝlǝa Ɓakuli nea wia ama, “Ən pana wun koya mbúgir andǝ bondo mǝnana kǝ pusǝ ɓeali a nzǝm-nzali kat ka, andǝ koya nggun mǝnana kǝ pusǝ ɓǝle nǝ mǝsǝì aɓalǝi ka. À nda ace girlina ma'wun.
01011e00f7	Ən pana koya ulang mbúgir andǝ koya girpwala, nda girlina mala anyam-bondo mǝnana a ɓanza, andǝ anyal mǝnana a bumkuli, andǝ anyama mǝnana à kǝ pūrǝ nǝ múrbumia a nzali ka, andǝ koya gìr mǝnana ndanǝ yilǝmu ka.” Anggo sǝ pa.
01011f0083	Ɓakuli sǝn gìr mǝnana pè kat ka, ɓoar kǝ̀rkǝ́r. Pwari kya kpa, sǝ ban yi kwaro; mǝno nda tongno-nong-mwashatia nongŋo.
0102010058	Anggo sǝ pusǝ kùli andǝ nzali andǝ agir mǝnana aɓalǝia kat ka yiu a masǝlǝate.
010202005b	A tongno-nong-ɓaria nongŋo ka, Ɓakuli malǝna túró male mǝnana pàk ka, sǝ usǝlǝo.
01020300b0	Ɓakuli tsǝkbu amúr tongno-nong-ɓaria pwari, sǝ nyesǝi duk pwari mǝfele, acemǝnana nda pwari mǝnana usǝlǝ nǝi arǝ atúró male mǝnana kat pa, mala pusǝki agir ka.
010204005f	Anggo sǝ à pusǝ kùli andǝ nzali. Lang Mǝtalabangŋo Ɓakuli pusǝna kùli andǝ nzali ka,
01020500e8	ɓekǝ girpwala pa kàm a ɓanza ɗàng, sǝ ɓekǝ mǝsǝɓeale to gbal a nzali ɗang. Gìrnî pa anggo acemǝnana Mǝtalabangŋo Ɓakuli malaká nya mbulo ɓǝ̀ liu nzali ɗang, sǝ kǝ ɓwapǝndǝa pa kàm nǝ̀ rik nzali ɗang.
010206003a	Amaɗi na mǝnana à kǝ tu mùr a nzali ace liu ban ngga.
010207008a	Pǝlǝa Mǝtalabangŋo Ɓakuli ɓak ɓwa nǝ muku nzali, sǝ pyaupi wi n-yali mala yilǝmu aɓa lùllǝì, sǝ yì ɓwa ka pak nǝyilǝmu.
0102080082	Mǝtalabangŋo Ɓakuli pǝlǝa tsǝk ɓaban a Iden nǝ njar-takuli sǝ pandǝki anggun kàm; a kàm sǝ tsǝk ɓwa mǝnana pè ka.
01020900ed	Mǝtalabangŋo Ɓakuli tsǝk anggun ɗàngɗáng ɓǝà to a ɓabanì: anggun mǝɓoarsǝne andǝ amǝɓoarli. A tsùrú mala ɓabanì ka anggun nakam ɓari, nggun-yilǝmu andǝ nggun mala pà sǝlǝe mala gìr mǝɓoarne andǝ mǝɓane.
01020a005a	Ɓè nggeasala pur a Iden kǝ pa mùr a ɓabanì; lo kano ka kya gauwa arǝ amyalmúr ine.
01020b0082	Mǝdǝmbe ka à tunǝi ama Pishon; ɓangŋa pǝlǝki arǝ abân aɓa nzali Havila, nzali mana à kǝ kum bolo-njengǝlan kam ngga.
01020c0079	(Bolo-njengǝlan mala nzali mǝno ka mǝɓoarne na; akàm ɗǝm ngga à kǝ kum myang mǝ'rǝmɓoarne andǝ atali gǝna.)
01020d004b	Ɓaria myalmúr ka nda Gihon; ɓangŋa pǝlǝki arǝ abân aɓa nzali Kush.
01020e0075	Tàruià myalmúr ka nda Tigris; ɓangŋa pǝlǝ nǝ bantakuli mala nzali Assuriya. Inea myalmúr ka nda Yiufǝretis.
01020f007d	Mǝtalabangŋo Ɓakuli tsǝk ɓwabura man a ɓaban mala anggun a Iden, ɓǝ̀ kǝ paktúró aɓalǝi, sǝ ɓǝ̀ kǝ yállí.
0102100082	Mǝtalabangŋo Ɓakuli nunkiri yì ɓwabura ama, “A earǝ́nò ama wu li ɓǝla koya nggun a mǝnia yì ɓaban mala anggun ngga.
0102110093	Sǝama kǝa na ama awu nǝ li ɓǝlanggun mala pà sǝlǝe mala gìr mǝɓoarne andǝ mǝɓane ɗàng. A pwari mana a li ka, ɓafo, awu nǝ wǔ.”
01021200a2	Pǝlǝa Mǝtalabangŋo Ɓakuli na ama, “Ɓoaro ɓǝ̀ ɓwabura mǝnia ka ɓǝ̀ do nǝmurǝì ɗàng. Mǝ nǝ pakki wi mǝ'bwali wi, mǝnana karǝ arǝì ka.”
010213014d	Mǝtalabangŋo Ɓakuli ka, pàngŋǝ̀nà túró nǝ muku-nzali ɓangŋǝna anyama mǝnana à kǝ gya a kwàrban, andǝ anyal mǝnana à kǝ yal a bumkuli ka. Yinǝia a ban mǝnia yì ɓwa ka, nǝ̀ sǝni lang sǝ nǝ̀ tunǝia. Ɓǝ̀ mana sǝ mǝnia yì ɓwabura tunǝna koya gìr mǝnana ndanǝ yilǝmu nǝi ka, dumǝna lùllǝì.
01021400d2	Ɓwabura man tsǝki agirkusǝu kat lullǝu: anyal mǝnana kat à kǝ yal a bumkuli, andǝ anyam-ɓala kat, andǝ anyam-bondo kat. Sǝ male yì ɓwabura ka, à kumbi wi kǝ gbasha mǝnana karǝ arǝì ka ɗàng.
01021500bb	Pǝlǝa Mǝtalabangŋo Ɓakuli tsǝk ɓwabura ɓǝ̀ koa nggea ntulo mǝlime. Ndarǝ nong ntulo ka, Mǝtalabangŋo Ɓakuli pusǝ mu nkanggari ɓwabure mwashat sǝ lúmsǝ banì nǝ nyama.
0102160077	Pǝlǝa Mǝtalabangŋo Ɓakuli pak ɓwama nǝ mǝnia yì mu pusǝì a nkanggari ɓwabura ka, sǝ yinǝi aban ɓwaburè.
01021700ae	Ɓwabura man na ama, “Mǝnia adyan ngga mǔ na à pusǝì aɓalǝ amuem; sǝ nyama na mala nyamam! À nǝ̀ tunǝi ama, ‘ɓwama’ acemǝnana à pusǝì arǝ ɓwabura.”
010218008b	Nda gìr mana tsǝa sǝ ɓwabura nǝ̀ ɗeki tárrí andǝ ngge, sǝ nǝ̀ lanzǝa arǝ māmí, sǝ yia kǝm ngga à dumǝna nyama mwashat.
010219005a	Anggo ka, yì ɓwabura andǝ māmí ka, à ndanǝ ɓatea, sǝ kǝsǝkea pakkia wia ɗàng.
0103010108	Atà anyam-bondo mǝnana Mǝtalabangŋo Ɓakuli pusǝia ka, n'yau na mǝnana kútiǎ kat nǝ kutan ngga. Ɓè kǝ pwari ka, n'yau ɗì ɓwama ama, “Mbak-kàngkàng Ɓakuli bang ama, ‘Wu kǝa li kǝ ɓǝlanggun mǝnana a ɓaban mala anggun ngga ɗàng le?’”
010302005e	Ɓwama eari n'yau ama, “Sǝm nǝ̀ gandǝ li aɓǝlanggun mǝnana a ɓaban mala anggun ngga.
01030300ce	Sǝama Ɓakuli bangga sǝm ama, kǝ ɓǝlanggun mǝnana came a ɓaɓalǝu mala ɓaban mala anggun ngga, nda pà sǝm nǝ̀ je, ko sǝm nǝ̀ li raka; ɓǝ̀ sǝm je, ko ɓǝ̀ sǝm li ka, sǝm nǝ̀ wú.”
010304003f	N'yau eari ɓwama ama, “Mǝsǝcau ka pà wun nǝ̀ wu ɗàng.
01030500ae	Acemǝnana Ɓakuli sǝlǝna ama, ɓǝ̀ wu li ɓǝlanggun man ngga, amǝsǝ wun nǝ̀ mǝnna, sǝ wun nǝ̀ do kǝla Ɓakuli, wun nǝ̀ súrǝ̀ mǝɓoarne andǝ mǝɓane.”
01030600e5	Lang ɓwama sǝna ɓǝla-nggunì ndanǝ ɓoaro ace girlina, sǝ ɓoarsǝna, ɗǝm ngga sǝn ɓoaro mala sǝlǝe mǝnana nǝ̀ kùmô arǝì, a ɓabumi ka, kara tù atà aɓǝla-nggunì lì. Sǝ pè burí, pǝlǝa yì ka lì gbal.
01030700a3	Anggo kara mǝsǝia yia kǝm mǝnna, kǝsǝkea bwalia acemǝnana à yi sǝlǝa ama à nda nǝ ɓatea. Pǝlǝa à ɓungi ambú nggun vwari à gbàrǝna ɓatea nǝi.
01030800d6	Nǝ́ pwarikpǝra mǝno ka, ɓwaburè andǝ māmí ok gǝshi kusǝ Mǝtalabangŋo Ɓakuli aban gya a ɓaban mala anggun. Kara à ɓangŋa à sǝmbǝrǝì Mǝtalabangŋo Ɓakuli aɓalǝ anggun mǝnana a ɓaban ngga.
010309004f	Pǝlǝa Mǝtalabangŋo Ɓakuli tunǝban ɗì ɓwaburè ama, “A nda ke lè?”
01030a0095	Yi ka eare ama, “Ən ok gǝshi kusǝo aban gya a ɓaban mala anggun, ɓangciu pàkkam, nda sǝ ǝn sǝmbǝrǝ ka, acemǝnana mǝ nda nǝ ɓatam.”
01030b0085	Mǝtalabangŋo Ɓakuli ɗì ama, “Yana nô ama a nda nǝ ɓato? Ko a lina ɓǝlanggun mǝnana ǝn nô nǝma wu kǝa li raka lè?”
01030c0088	Pǝlǝa ɓwaburè ne Mǝtalabangŋo Ɓakuli ama, “Ɓwama mǝnana a pam ɓǝ̀ sǝm duk sǝni ka, nda pam ɓǝlanggun sǝ ǝn li ka.”
01030d0095	Mǝtalabangŋo Ɓakuli pǝlǝa ɗì ɓwama ama, “Mana mǝnia a pak ka?” Ɓwama eare ama, “N'yau swarkiam, nda gìr mana tsǝa sǝ ǝn li ka.”
01030e00f5	Pǝlǝa Mǝtalabangŋo Ɓakuli ne n'yau ama, “Acemǝnana a pángŋǝ̀nà mǝnia ka, “Súban na amuro mǝnana kútì mala koya girkusǝu ka: anyam-ɓala andǝ anyam-bondo. Awu nǝ pūrǝki nǝ múrbumo, awu nǝ li nzali a do-yilǝmu mô kat.
01030f00c3	Mǝ nǝ tsǝk do-ɓibura a nre wun, wunǝ ɓwama man, amunio andǝ amǝ'keò nǝ̀ duk ɓibura mala amuni andǝ amǝkè. We ka, awu nǝ kwar mǝkè a nkpalkusǝi, sǝ yì ka, nǝ̀ ar ɓamuro.”
01031000cb	Ɓwama ka Ɓakuli ne wi ama, “Mǝ nǝ hatǝki kwanban mô aɓa ɓǝlmuna; aɓa kwanban sǝ awu nǝ gbáshí muna. Kat andǝ amani ka, nzal burio nǝ̀ aki ɓalǝo, sǝ yì ka nǝ̀ duk murǝm amuro.”
0103110102	Mala ɓwabura ka, Ɓakuli ne wi ama, “Acemǝnana a kwakikiro arǝ māmó, sǝ a lina ɓǝlanggun mǝnana ǝn nunkiro nǝma wu kǝa lì raka, “Nzali twalǝna súban amurí akǝ cau mò. Do mô bà, a nǝ tanni aɓa túró mǝcandǝe sǝ a nǝ kum girlina.
0103120079	Nzali nǝ̀ pusǝô azwe andǝ amǝzwezwe, sǝ kat andǝ amani ka, awu nǝ li ɓǝla abondo mǝnana nzali nǝ̀ pusǝ ka.
01031300d8	Nǝ piban a nggun-muro sǝ awu nǝ kum girlina, mana a nǝ lì ka, bà pwari mǝnana awu nǝ wǔ a nǝ nyare a nzali ka; acemǝnana nǝ tú-nzali sǝ à peo. We ka a nda nzali, sǝ a nzali sǝ a nǝ nyare a nǝ o.”
010314008b	Ɓwabura, yì Adamu ka, tsǝkî māmí lullǝu ama Hawawu, acemǝnana yì na nǝ̀ duk nggea ka ɓwapǝndǝa kat mana à ndanǝ yilǝmu ka.
0103150065	Mǝtalabangŋo Ɓakuli pakki Adamu andǝ māmí agirkùrarǝu nǝ nggû, ɓǝà gbàrǝna rǝia nǝi.
01031600fe	Sǝ Mǝtalabangŋo Ɓakuli na ama, “Ɓwapǝndǝa adyan ngga dumǝna kǝla sǝm, súrǝ́nà rǝ mǝɓoarne andǝ mǝɓane. Ɓǝ̀ sǝm eari wi lǝmdǝ buì sǝ tù ɓǝlanggun mala nggun-yilǝmu gbal, sǝ lì ka, nǝ̀ duk bà, pà nǝ̀ wù ɗàng.”
0103170094	Acemani ka Mǝtalabangŋo Ɓakuli pǝrì pusǝì a Iden, yì ɓaban mala anggun, ama ɓǝ̀ kyane ɓǝ̀ kya rik nzali mǝnana à pusǝì kàm ngga.
0103180136	Anzǝm mǝnana pǝrna ɓwabure pusǝni ka, Mǝtalabangŋo Ɓakuli pǝlǝa tamsǝ acerup, akanggǝrang amǝ'yál ban mala Ɓakuli, nǝ njar-takuli a ɓaban mala anggun a Iden, sǝ tsǝk nggeabyau mǝnana kǝ earki nǝ lasǝ-bǝsa sǝ kǝ pǝlǝki a koya buì ka, ɓǝà kǝ yál njargula ká aban nggun-yilǝmu.
01040100ae	Adamu nongnǝ māmí Hawawu, pǝlǝa muna kpa a bum māmí, sǝ ɓǝl Kayinu. Pǝlǝa Hawawu bang ama, “Nǝ ɓwamuru mala Mǝtalabangŋo ka, ǝn ɓǝlǝna muna-ɓwabura.”
0104020081	Nǝnzǝ́mò ka yi ɓǝl mǝ'eambi, tsǝki wi lullǝu ama Habila. Habila twal túró yál agirkusǝu, sǝ Kayinu twal túró rya.
0104030061	Lang kún pwan gir-ɓaban karna ka, Kayinu yinǝì Mǝtalabangŋo ɓoro mala aɓǝla agir-ɓaban.
010404009d	Sǝ Habila ka yinǝ ɓoro male mala agirkusǝu, atà amǝ'nyange mǝnana à ɓǝlia a dǝmba a domwan male ka. Mǝtalabangŋo earnǝ Habila andǝ ɓoro male.
0104050088	Sǝ mala Kayinu andǝ ɓoro male ka, Mǝtalabangŋo earnǝia ɗàng. Mǝnia ka tsǝk Kayinu bumi lul kǝ̀rkǝ́r, kara rǝmsǝ dǝmbì.
0104060061	Pǝlǝa Mǝtalabangŋo ɗì Kayinu ama, “Palang sǝ bumo lúllô? Palang sǝ a rǝmsǝ dǝmbò?
01040700cb	Ɓǝ̀ a pak gìr mǝnana mǝɓoarne na ka, à pà nǝ̀ eo re? Sǝ ɓǝ̀ a pàk mǝɓane ka, cauɓikea na kùmsǝó a kunɓala kǝ alte nǝ̀ parǒ aɓate ka, sǝama dumǝna púp wu limurǝm amurí.”
0104080094	Ɓè kǝ pwari ka Kayinu ne mǝ'eambi Habila ama, “Tsǝktam a ɓabondo.” Lang à nda ɓabondo ka, Kayinu kara lo bwal mǝ'eambi Habila wali wú.
01040900b6	Mǝtalabangŋo ɗì Kayinu ama, “Mǝ'eambo, Habila ka, nda kǝshe?” Kara pǝlǝì Mǝtalabangŋo ama, “Ən súrǝ̀ banì ɗàng. Nggeari ka, mǝ nda mǝ'yál mǝ'eambam le?”
01040a0070	Mǝtalabangŋo ne wi ama, “Mana man a pak ka? Kwakikiro! Nkila mǝ'kyauweo ka ndya kǝ ɓua abanam a nzali ka!
01040b0072	Adyan ngga, súban na amuro, sǝ à pǝrǝno a nzali mǝnana mǝn kúni kǝ nu nkila mǝ'eambo mǝnana a sukki ka.
01040c00a6	“Ɓǝ̀ a rik mǝnia yì nzali ka, pà nǝ̀ pusǝo kǝ girlina mǝɓoarne ɗàng. A dumǝna mǝgya-kusǝu, mǝnana pà nǝ̀ do aban mǝ mwashati a ɓanza raka.”
01040d005c	Pǝlǝa Kayinu ne Mǝtalabangŋo ama, “Tanni mala cauɓikea mem man kútì rǝcandǝa mem.
01040e00c5	Yalung ngga a ndarǝ pǝram mǝ purî nzali mǝnia ka mǝ nying ɓadǝmbo; mǝ nǝ duk mǝgya-kusǝu a ɓanza, ban-usǝlǝo pa kàm a buam ɗàng, sǝ ɓwa mǝnana kat kumam ngga nǝ̀ wal-luem.”
01040f00fe	Sǝ Mǝtalabangŋo banggi wi ama, “Pà nǝ̀ pa anggo ɗàng; ɓǝ̀ kǝ ɓwa wal-luio ka, mǝ nǝ wal atà aɓwana male tongno-nong-ɓari.” Pǝlǝa Mǝtalabangŋo tsǝki Kayinu nyoulǝa ace mǝnana ɓǝ̀ kǝ ɓwa kumi ka, ɓǝ̀ kǝa wal-luí raka.
010410005d	Nda Kayinu nying ɓadǝm Mǝtalabangŋo o kya do a nzali Nod, nǝ njar-takuli mala Iden ngga.
0104110094	Kayinu nong nǝ māmí, sǝ muna kpa a bumi sǝ ɓǝl Inok. Kayinu ka nda aban ɓak nggea-là, sǝ lě ka tunǝi nǝ lullǝ muna-ɓwabura male Inok.
01041200a5	Inok ɓǝl muna-ɓwabura à tunǝi ama Irad. Irad yi ɓǝl muna-ɓwabura lùllǝì ama Mehujayel. Mehujayel yi duk tár Metushayel, sǝ Metushayel ka nda tár Lamek.
010413004a	Lamek al amamǝna ɓari; māmí mǝdǝmbe ka nda Ada, sǝ ɓaria nda Zila.
0104140051	Ada ɓǝl Jabal, mǝnana nda tár amǝ'do aɓalǝ agumli andǝ amǝ'yál agir ka.
0104150059	Lullǝ mǝ'eambi nda Jubal, mǝnana nda tár amǝ'wal zangŋan andǝ amǝ'twang ntetu ka.
01041600c6	Zila gbal ka ɓǝl muna à tunǝi ama Tubal-Kayinu, mǝnana yi pǝlǝ mǝ'ntùl kǝ tulki ambalang agirtúró nǝ bolo-bángŋá andǝ bolo-candǝa ka. Mǝ'kyauwa Tubal-Kayinu muna-ɓwama nda Naama.
01041700ca	Lamek banggi amāmí ama, “Ada andǝ Zila, wu kwakikir wun arǝàm; wun amālá Lamek, wu ok cau mem. Ən walna-lú acemǝnana ɓwe tsǝkam penye ka, Lagga ɓwa na ǝn wal-luí acemǝnana tùlam ngga.
01041800b0	Ɓǝ̀ ayilǝmu tongno-nong-ɓari na à nǝ̀ ɗwanyi ace wal-lú Kayinu ka, ayilǝmu lumi-tongno-nong-ɓari bwamdǝ tongno-nong-ɓari na à nǝ̀ ɗwanyi ace wal-luem ngga.”
01041900c5	Adamu nyare nongnǝ māmí, pǝlǝa ɓǝli wi ɓè muna-ɓwabura ɗǝm. Māmí tsǝki muna lullǝu ama Set. Ne ɓamúrì ama, “Ɓakuli panam muna-ɓwabura a kun Habila mana Kayinu wal-luí ka.”
01041a0097	Set gbal ka ɓǝl muna-ɓwabura, pǝlǝa tsǝki wi lullǝu ama Enosh. A kǝ nzê mǝno ka sǝ aɓwapǝndǝa tita tunǝ lullǝ Mǝtalabangŋo aɓa peri.
01050100a1	Mǝnia ka nda tsaɗi mala atau mǝnana à pur aɓa Adamu, kǝla mǝnana à gilǝì ɓara-ɓara ka. Ɓakuli pusǝ ɓwapǝndǝa ka, peǎ a purban male yì Ɓakuli.
0105020063	Pusǝia ɓwabura andǝ ɓwama; lang pusǝia ka, tsǝkia wia bù sǝ tunǝia ama “ɓwapǝndǝa.”
010503009a	Lang Adamu pángŋǝ̀nà pǝlǝa gbǝman-mwashat nǝ lumi-tàrú a ɓanza ka, yi ɓǝl muna-ɓwabura kǝla yì, a purban male, sǝ pe wi lullǝu ama Set.
010504008a	Anzǝm ɓǝl Set ka, Adamu pak aɓea apǝlǝa gbǝman-tongno-nong-tàrú a ɓanza; sǝ yi duk tár aɓea amuna-burana andǝ amuna-mamǝna.
0105050068	Apǝlǝa do ɓanza mala Adamu kat ka nda gbǝman-tongno-nong-ine nǝ lumi-tàrú. Anzǝm mǝno ka yi wu.
010506007c	Lang Set pàngŋǝ̀nà pǝlǝa gbǝman-mwashat nǝ mǝsǝi tongno a ɓanza ka, yi ɓǝl muna-ɓwabura, lùllǝì ama Enosh.
01050700a0	Anzǝm ɓǝl Enosh ka, Set pak aɓea apǝlǝa gbǝman-tongno-nong-tàrú nǝ mǝsǝi tongno-nong-ɓari a ɓanza; ɓǝlki aɓea amuna-burana andǝ amuna-mamǝna.
010508005d	Apǝlǝa do ɓanza mala Set kat ka nda gbǝman-tongno-nong-ine nǝ lum-nong-ɓari, sǝ yi wu.
0105090071	Lang Enosh pàngŋǝ̀nà apǝlǝa lumi-tongno-nong-ine a ɓanza ka, yi ɓǝl muna-ɓwabura, lùllǝì ama Kenan.
01050a009b	Anzǝm ɓǝl Kenan ngga, Enosh pakki aɓea pǝlǝa gbǝman-tongno-nong-tàrú nǝ lum-nong-tongno a ɓanza; ɓǝlki aɓea amuna-burana andǝ amuna-mamǝna.
01050b005b	Do ɓanza mala Enosh kat ka apǝlǝa gbǝman-tongno-nong-ine mǝsǝi tongno na, sǝ yi wú.
01050c006d	Lang Kenan pàngŋǝ̀nà apǝlǝa lumi-tongno-nong-ɓari ka, yi ɓǝl muna-ɓwabura, lùllǝì ama Mahalale.
01050d0098	Kenan pàk aɓea apǝlǝa gbǝman-tongno-nong-tàrú nǝ lumi-ine a ɓanza anzǝm ɓǝl Mahalale. Sǝ yi ɓǝlki aɓea amuna-burana andǝ amuna-mamǝna.
01050e0057	Do ɓanza mala Kenan kat ka, pàk apǝlǝa gbǝman-tongno-nong-ine nǝ lum, sǝ yi wú.
01050f0081	Lang Mahalale pàngŋǝ̀nà apǝlǝa lumi-tongno-nong-mwashat nǝ mǝsǝi tongno ka, yi ɓǝl muna-ɓwabura lùllǝì ama Jared.
010510009c	Anzǝm ɓǝl Jared ka, Mahalale pàk aɓea apǝlǝa gbǝman-tongno-nong-tàrú nǝ lumi-tàrú a ɓanza. Sǝ ɓǝlki aɓea amuna-burana andǝ amuna-mamǝna.
010511007d	Do ɓanza mala Mahalale kat ka apǝlǝa gbǝman-tongno-nong-tàrú nǝ lumi-tongno-nong-ine nǝ mǝsǝi tongno na, sǝ yi wu.
0105120091	Lang Jared pàngŋǝ̀nà apǝlǝa gbǝman-mwashat nǝ lumi-tongno-nong-mwashat nǝ mǝsǝi ɓari ka, yi ɓǝl muna-ɓwabura, lùllǝì ama Inok.
0105130088	Anzǝm ɓǝl Inok ka, Jared pàk aɓea apǝlǝa gbǝman-tongno-nong-tàrú a ɓanza. Sǝ ɓǝlki aɓea amuna-burana andǝ amuna-mamǝna.
010514007b	Do ɓanza mala Jared kat ka apǝlǝa gbǝman-tongno-nong-ine nǝ lumi-tongno-nong-mwashat nǝ mǝsǝi ɓari na, sǝ yi wú.
0105150081	Lang Inok pàngŋǝ̀nà apǝlǝa lumi-tongno-nong mwashat nǝ mǝsǝi tongno ka, yi ɓǝl muna-ɓwabura, lùllǝì ama Metusela.
0105160099	Anzǝm ɓǝl Metusela ka, Inok kpata njar mala Ɓakuli arǝ apǝlǝa gbǝman-tàrú a do ɓanza male. Sǝ ɓǝlki aɓea amuna-burana andǝ amuna-mamǝna.
0105170066	Do ɓanza mala Inok kat ka apǝlǝa gbǝman-tàrú nǝ lumi-tongno-nong-mwashat nǝ mǝsǝi tongno na.
0105180085	Aɓa do ɓanza male kat ka, Inok kpata njar mala Ɓakuli. A ɓè fara ka Ɓakuli yi twal Inok umnǝi, à nyare à sǝni ɗǝm ɗàng.
