0100000008	Génesis
01040f00b8	Entonces Yavé le dijo: Ciertamente cualquiera que mate a Caín, siete veces será castigado. Y Yavé puso una señal a Caín a fin de que no lo asesinara cualquiera que lo encontrara.
0104100060	Caín salió de la Presencia de Yavé y se estableció en la tierra de Nod, al oriente de Edén.
010411007c	Caín se unió a su esposa. Ella concibió y dio a luz a Enoc. Caín edificó una ciudad y le dio el nombre de su hijo Enoc.
0104120072	A Enoc le nació Irad, e Irad engendró a Mejuyael, y Mejuyael engendró a Metusael, y Metusael engendró a Lamec.
0104130063	Lamec tomó para él dos esposas: el nombre de la primera era Ada, y el nombre de la segunda, Zila.
010414005a	Ada dio a luz a Jabal, quien fue antepasado de los que habitan en tiendas y crían ganado.
010415005d	El nombre de su hermano era Jubal, quien fue antepasado de todos los que tocan arpa y flauta.
010416007f	También Zila dio a luz a Tubal Caín, forjador de toda herramienta de bronce y de hierro. La hermana de Tubal Caín fue Naama.
01041700b5	Lamec dijo a sus esposas: Ada y Zila: ¡Escuchen mi voz! Esposas de Lamec, Presten oído a mi dicho: Que a un hombre maté porque me hirió, Y a un muchacho maté porque me golpeó.
010418003f	Si siete veces es vengado Caín, 70 veces siete lo será Lamec.
01041900ad	Adán se unió otra vez a su esposa. Ella dio a luz un hijo y lo llamó Set, porque pensó: ʼElohim me concedió otro descendiente en lugar de Abel, a quien Caín asesinó.
01041a0066	A Set también le nació un hijo y lo llamó Enós. Entonces se comenzó a invocar el Nombre de Yavé.
0105010075	Este es el rollo de las generaciones de Adán. El día cuando ʼElohim creó al hombre, lo hizo a imagen de ʼElohim.
0105020059	Varón y hembra los creó, y los bendijo. El día cuando fueron creados los llamó Adán.
0105030063	Adán vivió 130 años y engendró [un hijo] a su semejanza, conforme a su imagen, y lo llamó Set.
010504005c	Después de engendrar a Set, los días de Adán fueron 800 años, y engendró hijos e hijas.
010505003c	Fueron todos los días que vivió Adán 930 años, y murió.
0105060029	Set vivió 105 años y engendró a Enós.
010507004e	Set vivió después de engendrar a Enós 807 años, y engendró hijos e hijas.
010508002c	Los días de Set fueron 912 años, y murió.
010509002c	Enós vivió 90 años y engendró a Cainán.
01050a0053	Después de engendrar a Cainán, Enós vivió 815 años, y engendró hijos e hijas.
01050b002e	Los días de Enós fueron 905 años, y murió.
01050c0031	Cainán vivió 70 años y engendró a Mahalaleel.
01050d0058	Después de engendrar a Mahalaleel, Cainán vivió 840 años, y engendró hijos e hijas.
01050e0030	Los días de Cainán fueron 910 años, y murió.
01050f002f	Mahalaleel vivió 65 años y engendró a Jared.
0105100056	Después de engendrar a Jared, Mahalaleel vivió 830 años, y engendró hijos e hijas.
0105110033	Los días de Mahalaleel fueron 895 años, y murió.
010512002a	Jared vivió 162 años y engendró a Enoc.
0105130050	Después de engendrar a Enoc, Jared vivió 800 años, y engendró hijos e hijas.
010514002e	Los días de Jared fueron 962 años, y murió.
010515002e	Enoc vivió 65 años y engendró a Matusalén.
0105160061	Enoc anduvo con ʼElohim 300 años después de engendrar a Matusalén, y engendró hijos e hijas.
0105170023	Los días de Enoc fueron 365 años.
0105180047	Enoc anduvo con ʼElohim, y desapareció, porque ʼElohim lo arrebató.
0105190030	Matusalén vivió 187 años y engendró a Lamec.
01051a0056	Después de engendrar a Lamec, Matusalén vivió 782 años, y engendró hijos e hijas.
01051b0033	Los días de Matusalén fueron 969 años, y murió.
01051c002b	Lamec vivió 182 años y engendró un hijo.
01051d007f	Lo llamó Noé, y dijo: Éste nos aliviará de nuestras obras, de la fatiga de nuestras manos y de la tierra que Yavé maldijo.
01051e0050	Después de engendrar a Noé, Lamec vivió 595 años, y engendró hijos e hijas.
01051f002e	Los días de Lamec fueron 777 años, y murió.
0105200042	Cuando Noé tenía 500 años había engendrado a Sem, Cam y Jafet.
0106010073	Aconteció que cuando la humanidad comenzó a multiplicarse sobre la superficie de la tierra, y les nacieron hijas,
0106020086	los hijos de ʼElohim vieron que las hijas del hombre eran hermosas, y tomaron para ellos mujeres de entre todas las que les gustaron.
0106030089	Entonces Yavé dijo: Mi Espíritu no contenderá para siempre con el hombre, pues ciertamente él es carne, y sus días serán 120 años.
01060400fd	En aquellos días (y también después) los nefileos estaban en la tierra, pues cada vez que los hijos de ʼElohim se unían a las hijas de los humanos, les engendraban hijos. Estos fueron los héroes que desde la antigüedad fueron varones de renombre.
01060500a0	Entonces Yavé vio que la perversidad del hombre se multiplicó en la tierra, y que toda forma de pensamiento de su corazón era solamente el mal continuamente.
010606005c	Yavé sintió pesar de haber hecho al ser humano en la tierra y se entristeció su corazón.
01060700b3	Y Yavé dijo: Borraré de sobre la superficie de la tierra a los seres que creé, desde el humano hasta la bestia, el reptil y las aves de los cielos, pues me pesa haberlos hecho.
010608002f	Pero Noé halló gracia ante los ojos de Yavé.
0106090077	Estos son los descendientes de Noé. Noé, varón justo, fue sin defecto en sus generaciones. Noé andaba con ʼElohim.
01060a002c	Noé engendró tres hijos: Sem, Cam y Jafet.
01060b0058	Se corrompió la tierra en la Presencia de ʼElohim, y se llenó la tierra de violencia.
01060c0070	ʼElohim vio la tierra, y ciertamente estaba corrompida, porque toda carne corrompió su camino sobre la tierra.
01060d009b	Y ʼElohim dijo a Noé: Decidí el fin de todo ser viviente. Porque la tierra se llenó de violencia a causa de ellos. Mira, Yo los destruyo con la tierra.
01060e0074	Haz un arca de madera de ciprés. Harás compartimientos al arca y la calafatearás con brea por dentro y por fuera.
01060f0073	Y de esta manera la harás: 135 metros será la longitud del arca, 22,5 metros su anchura, y 13,5 metros su altura.
01061000a6	Harás una claraboya al arca y la terminarás a 45 centímetros de la parte alta. Pondrás una puerta en un lado del arca, y le harás planta baja, segunda y tercera.
01061100a4	Y mira, yo traigo un diluvio de aguas sobre la tierra para destruir toda carne en la cual hay aliento de vida bajo el cielo. Todo lo que hay en la tierra perecerá.
0106120070	Pero estableceré mi Pacto contigo. Entrarás en el arca, tú y tus hijos, tu esposa y las esposas de tus hijos.
010613007c	También harás entrar en el arca dos de cada ser viviente de toda carne para que sobrevivan contigo. Serán macho y hembra.
010614009f	De las aves, según su especie. De las bestias, según su especie. De todo reptil del suelo, según su especie. Dos de cada especie irán a ti para sobrevivir.
010615006b	Y toma para ti de todo alimento para comer y almacénalo contigo, pues será sustento para ti y para ellos.
0106160040	Noé hizo conforme a todo lo que le ordenó ʼElohim. Así hizo.
0107010074	Yavé dijo a Noé: Entra tú y toda tu casa en el arca, porque te he visto justo delante de Mí en esta generación.
010702008b	De todo animal limpio tomarás contigo siete pares, macho y su hembra, pero del animal que no es limpio tomarás dos, el macho y su hembra.
0107030093	También [tomarás] de las aves del cielo, de siete en siete, macho y hembra, para preservar la descendencia sobre la superficie de toda la tierra.
01070400a3	Porque dentro de siete días Yo enviaré lluvia sobre la tierra durante 40 días y 40 noches, y arrasaré de la superficie de la tierra todo ser viviente que hice.
0107050032	Noé hizo conforme a todo lo que Yavé le ordenó.
0107060046	Noé tenía 600 años cuando el diluvio de aguas vino sobre la tierra.
010707006e	Ante las aguas del diluvio, Noé entró en el arca, y con él sus hijos, su esposa y las esposas de sus hijos.
010708006a	De los animales limpios y de los animales no limpios, de las aves, y de todo lo que repta sobre la tierra,
0107090057	de dos en dos llegaron a Noé, al arca, macho y hembra, según ʼElohim ordenó a Noé.
01070a004f	Sucedió que a los siete días, las aguas del diluvio vinieron sobre la tierra.
01070b0095	El año 600 de la vida de Noé, en el día 17 del segundo mes, reventaron todas las fuentes del gran abismo. Las compuertas del cielo fueron abiertas
01070c0036	y vino la lluvia sobre la tierra 40 días y 40 noches.
01070d0087	Ese mismo día Noé entró en el arca con Sem, Cam y Jafet, hijos de Noé, la esposa de Noé y las tres esposas de sus hijos con ellos.
01070e00bd	Ellos, toda bestia salvaje según su especie, todo animal según su especie, todo reptil que repta sobre la tierra según su especie, toda ave según su especie, y todo pájaro, todo alado.
01070f0059	Llegaron a Noé, al arca, de dos en dos, de toda carne en la cual había aliento de vida.
0107100073	Los que llegaron, macho y hembra de toda carne, entraron tal como ʼElohim lo ordenó. Y Yavé le cerró la puerta.
010711007c	Vino el diluvio sobre la tierra durante 40 días. Las aguas crecieron y levantaron el arca. Ésta se elevó sobre la tierra.
0107120061	Las aguas crecieron muchísimo sobre la tierra. Flotaba el arca sobre la superficie de las aguas.
010713008f	Las aguas crecieron mucho por encima de la tierra, de modo que quedaron cubiertas todas las altas montañas que están debajo de todo el cielo.
0107140057	Las montañas quedaron cubiertas, y las aguas subieron 6,75 metros por encima de ellas.
0107150090	Pereció toda carne que se movía sobre la tierra, tanto aves como ganado, bestias y todo lo que se arrastra sobre la tierra, y todo ser humano.
0107160063	Todo lo que tenía aliento de vida en sus fosas nasales, todo lo que vivía en tierra seca, murió.
01071700dc	Arrasó todo lo que existía sobre la superficie de la tierra. Desde el hombre hasta la bestia, los reptiles y las aves del cielo fueron exterminados de la tierra. En el arca solo quedaron Noé y los que estaban con él.
0107180032	Prevalecieron las aguas sobre la tierra 150 días.
01080100bc	Entonces ʼElohim se acordó de Noé, de todo ser viviente y de todos los animales que estaban con él en el arca. Y ʼElohim hizo soplar un viento sobre la tierra y las aguas decrecieron.
010802006a	Las fuentes del abismo y las compuertas de los cielos fueron cerradas, y la lluvia del cielo fue detenida.
0108030078	Entonces las aguas retrocedían de sobre la tierra, iban y venían. Al completarse los 150 días las aguas disminuyeron.
010804004c	El día 17 del mes séptimo, el arca se posó sobre las montañas de Ararat.
0108050082	Las aguas siguieron en descenso hasta el décimo mes. El primer día del décimo mes se descubrieron las cumbres de las montañas.
010806004d	Ocurrió después de 40 días que Noé abrió la ventana que hizo en el arca.
010807005c	Envió un cuervo, el cual iba y regresaba hasta que se secaron las aguas de sobre la tierra.
010808005d	Luego envió una paloma para ver si las aguas de la superficie de la tierra habían menguado.
01080900c9	Pero la paloma no halló lugar de reposo, y volvió a él, al arca, porque había agua sobre la superficie de toda la tierra. Entonces él extendió su mano, la tomó y la introdujo consigo en el arca.
01080a0058	Esperó ansiosamente aún otros siete días, y volvió a enviar la paloma desde el arca.
01080b0099	La paloma volvió a él por la tarde y llevó una hoja fresca de olivo en su pico. Así Noé entendió que las aguas habían menguado de sobre la tierra.
01080c005e	Esperó ansiosamente aún otros siete días y envió la paloma, la cual no volvió más a él.
01080d00e1	Aconteció que el primer día del primer mes del año 601, las aguas comenzaron a drenar de sobre la tierra. Entonces Noé ordenó apartar la cubierta del arca y, al mirar, observó que la superficie de la tierra estaba seca.
01080e0032	El día 27 del segundo mes, la tierra quedó seca.
01080f0020	Entonces ʼElohim habló a Noé:
010810004c	Sal del arca, tú y contigo tu esposa, tus hijos y las esposas de tus hijos.
01081100be	Saca todos los animales de toda especie que están contigo: las aves, el ganado y los reptiles que se arrastran sobre la tierra para que vayan por la tierra, sean fecundos y se multipliquen.
0108120047	Noé salió, y con él sus hijos, su esposa y las esposas de sus hijos.
0108130083	Salieron del arca todos los animales, todos los reptiles, todas las aves y todo lo que se mueve sobre la tierra, según su especie.
0108140077	Noé construyó un altar a Yavé. Tomó de todo animal limpio y toda ave limpia, y ofreció holocaustos sobre el altar.
0108150100	Yavé percibió el grato olor y dijo en su corazón: No volveré jamás a maldecir la tierra por causa del hombre, porque la inclinación del corazón del hombre es perversa desde su juventud. No volveré, por tanto, a cortar a todo ser viviente como hice.
0108160087	Mientras permanezca la tierra, No cesarán la siembra y la cosecha, El frío y el calor, el verano y el invierno, Y el día y la noche.
0109010066	ʼElohim bendijo a Noé y a sus hijos, y les dijo: Sean fecundos y multiplíquense y llenen la tierra.
01090200cc	El temor y pavor de ustedes sea sobre todos los animales de la tierra, sobre todas las aves del cielo, sobre todo lo que se mueve en la tierra y sobre todos los peces del mar. En sus manos son entregados.
0109030060	Todo lo que se mueve y vive les servirá de alimento, y también la hierba verde. Se lo di todo.
0109040034	Solo no comerán carne con su vida que es su sangre,
01090500a7	pues ciertamente demandaré la sangre de ustedes. La demandaré de mano de todo ser vivo. De mano del hombre y de cualquier hermano suyo demandaré la vida del hombre.
010906007c	El que derrame sangre de hombre, su sangre será derramada por los hombres, porque a imagen de ʼElohim hizo ʼEL al hombre.
0109070066	Y ustedes, sean fructíferos y multiplíquense. Reprodúzcanse en la tierra y multiplíquense en ella.
0109080039	ʼElohim habló a Noé y a sus hijos que estaban con él:
0109090058	Miren, Yo establezco mi Pacto con ustedes, y después de ustedes, con sus descendientes,
01090a00b1	y con todo ser vivo que está con ustedes: aves, ganado y todos los animales terrestres que están con ustedes, todos los que salieron del arca, todos los animales de la tierra.
01090b0096	Estableceré, pues, mi Pacto con ustedes: Ya no será aniquilada alguna carne por las aguas del diluvio. Ya no habrá diluvio para destruir la tierra.
01090c0088	Y ʼElohim dijo: Les doy esta señal del Pacto entre Yo y ustedes y todo ser viviente que está con ustedes, por generaciones perpetuas:
01090d004e	Pondré mi arco en las nubes y será la señal del Pacto entre Yo y la tierra.
01090e0061	Pues sucederá que cuando Yo cubra la tierra con nubes, entonces aparecerá el arco en las nubes,
01090f008f	y me acordaré de mi Pacto entre Yo y ustedes y todo ser viviente de toda carne. No habrá más aguas de diluvio para destruir a todo ser vivo.
010910009a	Cuando el arco aparezca en las nubes, lo miraré para recordar el Pacto eterno entre ʼElohim y todo ser viviente de toda carne que está sobre la tierra.
0109110075	Luego ʼElohim dijo a Noé: Esta es la señal del Pacto que establezco entre Yo y toda carne que hay sobre la tierra.
010912005f	Los hijos de Noé que salieron del arca fueron Sem, Cam y Jafet (y Cam es el padre de Canaán).
010913004c	Estos tres fueron los hijos de Noé, y de éstos fue poblada toda la tierra.
0109140035	Noé comenzó a labrar la tierra y plantó una viña.
010915003c	Bebió vino, se embriagó y se desnudó dentro de su tienda.
010916005b	Cam, padre de Canaán, vio la desnudez de su padre y lo declaró afuera a sus dos hermanos.
01091700d8	Entonces Sem y Jafet tomaron la ropa y se la pusieron ambos sobre sus hombros. Caminaron hacia atrás y cubrieron la desnudez de su padre. Sus rostros estaban vueltos hacia atrás y no vieron la desnudez de su padre.
0109180045	Al despertar de su embriaguez, Noé supo lo que le hizo su hijo menor
010919004b	y dijo: Maldito sea Canaán. Será esclavo de los esclavos de sus hermanos.
01091a0049	Luego dijo: Bendito sea Yavé, ʼElohim de Sem, Y sea Canaán su esclavo.
01091b0051	Ensanche ʼElohim a Jafet, Y viva en las tiendas de Sem Y sea Canaán su esclavo.
01091c002b	Noé vivió 350 años después del diluvio.
01091d002d	Los días de Noé fueron 950 años, y murió.
010a010072	Estos son los descendientes de Sem, Cam y Jafet, hijos de Noé, a quienes les nacieron hijos después del diluvio.
010a020046	Los hijos de Jafet: Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras.
010a03002d	Los hijos de Gomer: Askenaz, Rifat y Togarma.
010a040035	Los hijos de Javán: Elisha, Tarsis, Kitim y Dodanim.
010a05007e	A partir de estos fueron pobladas las costas, cada uno en sus territorios, según su lengua, por sus familias en sus naciones.
010a06002e	Los hijos de Cam: Cus, Mizraim, Fut y Canaán.
010a07005a	Los hijos de Cus: Seba, Havila, Sabta, Raama y Sabteca. Los hijos de Raama: Seba y Dedán.
010a08004e	Cus también engendró a Nimrod, el cual comenzó a ser poderoso en la tierra.
010a090074	Él fue intrépido cazador enfrentado a Yavé. Por esto se dice: Como Nimrod, intrépido cazador enfrentado a Yavé.
010a0a004b	El principio de su reino fue Babel, Erec, Acad y Calne, en tierra de Sinar.
010a0b0056	Salió de aquella tierra, y al ser fortalecido, edificó Nínive, Ciudad Rehobot, Cala
010a0c003c	y Resen, entre Nínive y Cala, la cual es una ciudad grande.
010a0d003b	Mizraim engendró a Ludim, a Anamim, a Lehabim, a Naftuhim,
010a0e0046	a Patrusim, a Casluhim, de donde salieron los filisteos, y a Caftorim.
010a0f0033	Canaán engendró a Sidón, su primogénito, a Het,
010a100023	al jebuseo, al amorreo al gergeseo,
010a11001e	al heveo, al araceo, al sineo,
010a12005a	al arvadeo, al zemareo y al hemateo. Después se dispersaron las familias de los cananeos.
010a13008a	La frontera del cananeo iba desde Sidón en dirección a Gerar, hasta Gaza, y en dirección de Sodoma, Gomorra, Adma y Zeboim, hasta Lasa.
010a14005a	Estos son los hijos de Cam por sus familias y sus lenguas, sus territorios y sus naciones.
010a15005e	También le nacieron hijos a Sem, padre de todos los hijos de Heber, y hermano mayor de Jafet.
010a160038	Los hijos de Sem fueron Elam, Asur, Arfaxad, Lud y Aram.
010a17002e	Los hijos de Aram fueron Uz, Hul, Geter y Mas.
010a180033	Arfaxad engendró a Sala, y Sala engendró a Heber.
