2800000008	מתיו
28010c00ca	וְאַחֲרֵי הָגְלָם לְבָבֶל יְכָנְיָהוּ הוֹלִיד אֶת־שְׁאַלְתִּיאֵל וּשְׁאַלְתִּיאֵל הוֹלִיד אֶת־זְרֻבָּבֶל׃
28010d00c6	וּזְרֻבָּבֶל הוֹלִיד אֶת־אֲבִיהוּד וַאֲבִיהוּד הוֹלִיד אֶת־אֶלְיָקִים וְאֶלְיָקִים הוֹלִיד אֶת־עַזּוּר׃
28010e00a8	וְעַזּוּר הוֹלִיד אֶת־צָדוֹק וְצָדוֹק הוֹלִיד אֶת־יָכִין וְיָכִין הוֹלִיד אֶת־אֱלִיהוּד׃
28010f00b4	וֶאֱלִיהוּד הוֹלִיד אֶת־אֶלְעָזָר וְאֶלְעָזָר הוֹלִיד אֶת־מַתָּן וּמַתָּן הוֹלִיד אֶת־יַעֲקֹב׃
28011000b6	וְיַעֲקֹב הוֹלִיד אֶת־יוֹסֵף אִישׁ מִרְיָם אֲשֶׁר נוֹלַד מִמֶּנָּה יֵשׁוּעַ הַנִּקְרָא מָשִׁיחַ׃
280111016a	וְהִנֵּה כָּל־הַדֹּרוֹת מֵאַבָרָהָם עַד־דָּוִד אַרְבָּעָה עָשָׂר דֹּרוֹת וּמִדָּוִד עַד־גָּלוּת בָּבֶל אַרְבָּעָה עָשָׂר דֹּרוֹת וּמִגָּלוּת בָּבֶל עַד־הַמַּשִׁיחַ אַרְבָּעָה עָשָׂר דֹּרוֹת׃
2801120149	וְזֹאת הָיְתָה לֵדַת יֵשׁוּעַ הַמָּשִׁיחַ כַּאֲשֶׁר מִרְיָם אִמּוֹ מְאֹרָשָׂה הָיְתָה לָיוֹסֵף טֶרֶם יָבוֹא אֵלֶיהָ וַתִּמָּצֵא כִּי הָרָה הִיא כִּי מֵרוּחַ הַקֹּדֶשׁ הָרָתָה׃
28011300be	וְיוֹסֵף אִישָׁהּ צַדִּיק הָיָה וְלֹא אָבָה לְתִתָּהּ לְדִבַּת־עָם וַיֹּאמֶר לְשַׁלְּחָהּ בַּסָּתֶר׃
280114019f	עוֹדֶנּוּ מְדַבֵּר אֶל־לִבּוֹ כָּזֹאת וְהִנֵּה מַלְאַךְ יְהוָֹה נִרְאָה אֵלָיו בַּחֲלוֹם לֵאמֹר יוֹסֶף בֶּן־דָּוִד אַל־תִּירָא מִקַּחַת אֵלֶיךָ אֶת־מִרְיָם אִשְׁתֶּךָ כִּי הַיֶּלֶד בְּקִרְבָּהּ נוֹצַר מֵרוּחַ הַקֹּדֶשׁ׃
28011500b6	וְהִיא יֹלֶדֶת בֵּן וְקָרָאתָ אֶת־שְׁמוֹ יֵשׁוּעַ כִּי הוּא יוֹשִׁיעַ אֶת־עַמּוֹ מֵחַטֹּאתֵיהֶם׃
2801160099	וְכָל־זֹאת הָיְתָה לְמַלֹּאת אֵת אֲשֶׁר־דִּבֶּר יְהוָֹה בְּיַד־הַנָּבִיא לֵאמֹר׃
28011700b3	הִנֵּה הָעַלְמָה הָרָה וְיֹלֶדֶת בֵּן וְקָרְאוּ שְׁמוֹ עִמָּנוּאֵל אֲשֶׁר יֵאָמֵר אֵל עִמָּנוּ׃
28011800c4	וַיִּיקַץ יוֹסֵף מִשְּׁנָתוֹ וַיַּעַשׂ כַּאֲשֶׁר צִוָּה אֹתוֹ מַלְאַךְ יְהוָֹה וַיִּקַּח אֶת־אִשְׁתּוֹ׃
28011900a5	וְלֹא יָדַע אֹתָהּ עַד כִּי־יָלְדָה בֵּן אֶת־בְּכוֹרָהּ וַיִּקְרָא אֶת־שְׁמוֹ יֵשׁוּעַ׃
2802010124	וַיְהִי כַּאֲשֶׁר נוֹלַד יֵשׁוּעַ בְּבֵית־לֶחֶם יְהוּדָה בִּימֵי הַמֶּלֶךְ הוֹרְדוֹס וְהִנֵּה חֹזֵי כוֹכָבִים בָּאוּ מֵאֶרֶץ קֶדֶם יְרוּשָׁלַיְמָה לֵאמֹר׃
28020200c0	אַיֵּה הַמֶּלֶךְ הַנּוֹלָד לַיְּהוּדִים כִּי רָאִנוּ כוֹכָבוֹ בַּקֶּדֶם וַנָּבֹא לְהִשְׁתַּחֲוֹת לוֹ׃
280203009f	וַיִּשְׁמַע הַמֶּלֶךְ הוֹרְדוֹס וַיָּנַע לְבָבוֹ וּלְבַב כָּל־יְרוּשָׁלַיִם עִמּוֹ׃
28020400e8	וַיַּקְהֵל אֶת־כָּל־רָאשֵׁי הַכֹּהֲנִים וְהַסּוֹפְרִים בָּעָם וַיִּשְׁאַל אֶת־פִּיהֶם לֵאמֹר אַיֵּה יִוָּלֵד הַמָּשִׁיחַ׃
2802050092	וַיֹּאמְרוּ אֵלָיו בְּבֵית־לֶחֶם יְהוּדָה כִּי כֹה־כָּתוּב בְּיַד־הַנָּבִיא׃
2802060101	וְאַתָּה בֵּית־לֶחֶם אֶרֶץ יְהוּדָה אֵינְךָ צָעִיר בְּאַלֻּפֵי יְהוּדָה כִּי מִמְּךָ יֵצֵא מוֹשֵׁל אֲשֶׁר יִרְעֶה אֶת־עַמִּי יִשְׂרָאֵל׃
28020700d9	וַיִּקְרָא הוֹרְדוֹס אֶל־חֹזֵי הַכּוֹכָבִים בַּסֵּתֶר וַיַּחְקֹר אֹתָם לָדַעַת אֶת־הָעֵת אֲשֶׁר נִרְאָה הַכּוֹכָב׃
2802080146	וַיִּשְׁלַח אֹתָם בֵּית־לֶחֶם וַיֹּאמַר לְכוּ וְדִרְשׁוּ הֵיטֵב עַל־הַיֶּלֶד וְכַאֲשֶׁר תִּמְצְאוּן אֹתוֹ שׁוּבוּ וְהַגִּידוּ לִי וְאָבֹאָה לְהִשְׁתַּחֲוֹת־לוֹ גַּם־אָנִי׃
2802090134	וַיִּשְׁמְעוּ אֶל־הַמֶּלֶךְ וַיֵּלֵכוּ וְהִנֵּה הַכּוֹכָב אֲשֶׁר־רָאוּ בַקֶּדֶם עָלָה לִפְנֵיהֶם עַד אֲשֶׁר־בָּא וַיַּעֲמֹד מִמַּעַל לַאֲשֶׁר הָיָה שָׁם הַיָּלֶד׃
28020a0078	וְהֵם חָזוּ בַכּוֹכָב וַיִּשְׂמְחוּ שִׂמְחָה גְדֹלָה עַד־מְאֹד׃
28020b0155	וַיָּבֹאוּ הַבַּיְתָה וַיִּרְאוּ אֶת־הַיֶּלֶד עִם־מִרְיָם אִמּוֹ וַיִּפְּלוּ וַיִּשְׁתַּחֲווּ־לוֹ וַיִּפְתְּחוּ אֶת־אֹצְרֹתֵיהֶם וַיַּקְרִיבוּ לוֹ מִנְחָה זָהָב וּלְבוֹנָה וָמֹר׃
28020c00c0	וְהֵם צֻוּוּ בַחֲלוֹם לְבִלְתִּי שׁוּב אֶל־הוֹרְדוּס וַיִּפְנוּ וַיֵּלְכוּ בְּדֶרֶךְ אַחֵר לְאַרְצָם׃
28020d01b1	וַיְהִי בְּלֶכְתָּם וַיֵּרָא מַלְאַךְ יְהוָֹה אֶל־יוֹסֵף בַּחֲלוֹם לֵאמֹר קוּם קַח אֶת־הַיֶּלֶד וְאֶת־אִמּוֹ וּבְרַח־לְךָ מִצְרַיְמָה וְשֶׁב־שָׁם עַד־אֲשֶׁר אֹמַר אֵלֶיךָ כִּי הוֹרְדוֹס מְבַקֵּשׁ אֶת־נֶפֶשׁ הַיֶּלֶד לְקַחְתָּהּ׃
28020e0090	וַיָּקָם וַיִּקַּח אֶת־הַיֶּלֶד וְאֶת־אִמּוֹ לָיְלָה וַיֵּלֶךְ מִצְרָיְמָה׃
28020f00ed	וַיֵּשֶׁב שָׁם עַד־מוֹת הוֹרְדוֹס לְמַלֹּאת אֶת אֲשֶׁר דִּבֶּר יְהוָֹה בְּיַד־הַנָּבִיא לֵאמֹר מִמִּצְרַיִם קָרָאתִי לִבְנִי׃
28021001ae	וַיְהִי כִּרְאוֹת הוֹרְדוֹס כִּי הֵתֵלוּ בוֹ הַחֹזִים וַיִּקְצֹף עַד־מְאֹד וַיִּשְׁלַח וַיַּךְ אֶת־כָּל־הַיְלָדִים אֲשֶׁר בְּבֵית־לֶחֶם וּבְכָל־גְּבוּלֶיהָ מִבֶּן־שְׁנָתַיִם וּלְמָטָּה לְפִי הָעֵת אֲשֶׁר חָקַר מִפִּי הַחֹזִים׃
2802110076	אָז הוּקַם אֲשֶׁר נֶאֱמַר בְּיַד־יִרְמְיָהוּ הַנָּבִיא לֵאמֹר׃
28021200d0	קוֹל בְּרָמָה נִשְׁמָע נְהִי בְּכִי תַמְרוּרִים רָחֵל מְבַכָּה עַל־בָּנֶיהָ מֵאֲנָה לְהִנָּחֵם כִּי אֵינֶנּוּ׃
28021300ba	וַיְהִי אַחֲרֵי מוֹת הוֹרְדוֹס וַיֵּרָא מַלְאַךְ יְהוָֹה בַּחֲלוֹם אֶל־יוֹסֵף בְּמִצְרַיִם לֵאמֹר׃
28021400d5	קוּם קַח אֶת־הַיֶּלֶד וְאֶת־אִמּוֹ וְלֵךְ שׁוּב אַרְצָה יִשְׂרָאֵל כִּי־מֵתוּ הַמְבַקְשִׁים אֶת־נֶפֶשׁ הַיָּלֶד׃
280215008c	וַיָּקָם וַיִּקַּח אֶת־הַיֶּלֶד וְאֶת־אִמּוֹ וַיָּבֹא אַרְצָה יִשְׂרָאֵל׃
2802160134	וּבְשָׁמְעוֹ כִּי אַרְקְלוֹס מָלַךְ בִּיהוּדָה תַּחַת הוֹרְדוֹס אָבִיו וַיִּירָא לָלֶכֶת שָׁמָּה וַיֻּגַּד־לוֹ דָבָר בַּחֲלוֹם וַיִּסֹּב אֶל־גְּלִילוֹת הַגָּלִיל׃
28021700cf	וַיָּבֹא וַיֵּשֶׁב בָּעִיר הַנִּקְרֵאת נְצָרֶת לְמַלֹּאת אֶת־דִּבְרֵי הַנְּבִיאִים כִּי נָצְרִי יִקָּרֵא לוֹ׃
28030100b5	וַיְהִי בַּיָּמִים הָהֵם וַיָּבֹא יוֹחָנָן הַמְטַבֵּל וַיִּקְרָא בְמִדְבַּר יְהוּדָה וַיֹּאמַר׃
280302005c	שׁוּבוּ כִּי־מַלְכוּת הַשָּׁמַיִם קָרְבָה לָבֹא׃
28030300f2	הוּא אֲשֶׁר נִבָּא עָלָיו יְשַׁעְיָהוּ הַנָּבִיא לֵאמֹר קוֹל קוֹרֵא בַּמִּדְבָּר פַּנּוּ דֶּרֶךְ יְהוָֹה יַשְּׁרוּ מְסִלּוֹתָיו׃
28030400da	וְיוֹחָנָן הָיָה לָבוּשׁ שְׂעַר גְּמַלִּים וְאֵזוֹר עוֹר אָזוּר בְּמָתְנָיו וּמַאֲכָלוֹ חֲגָבִים וּדְבַשׁ מִיָּעַר׃
280305008d	וַיֵּצְאוּ אֵלָיו יְרוּשָׁלַיִם וְכָל־יְהוּדָה וְכָל־כִּכַּר הַיַּרְדֵּן׃
2803060088	וַיִּטָּבְלוּ עַל־יָדוֹ בַּיַּרְדֵּן בְּהִתְוַדֹּתָם אֶת־חַטֹּאתֵיהֶם׃
280307017b	אַךְ כַּאֲשֶׁר רָאָה רַבִּים מִן־הַפְּרוּשִׁים וּמִן־הַצַּדּוּקִים בָּאִים אֵלָיו לְהִטָּבֵל וַיֹּאמֶר לָהֶם יַלְדֵי צִפְעֹנִים מִי הוֹרָה אֶתְכֶם לְהִמָּלֵט עַל־נַפְשְׁכֶם מִפְּנֵי חֲרוֹן אַף הַבָּא׃
2803080044	לָכֵן עֲשׂוּ פְרִי טוֹב לִתְשׁוּבָה׃
2803090129	וְאַל־תֶּהְגּוּ בִלְבַבְכֶם לֵאמֹר אַבְרָהָם לָנוּ לְאָב כִּי אֲנִי אֹמֵר לָכֶם גַּם מִן־אֲבָנִים אֵלֶּה תַּשִּׂיג יַד־אֱלֹהִים לְהָקִים בָּנִים לְאַבְרָהָם׃
28030a00fc	וְגַם־כְּבָר נָטוּי הַגַּרְזֶן עַל־שֹׁרֶשׁ הָעֵצִים וְלָכֵן כָּל־עֵץ אֲשֶׁר לֹא יַעֲשֶׂה פְרִי טוֹב יִגָּדַע וְהָשְׁלַךְ בְּמוֹ־אֵשׁ׃
28030b0161	וַאֲנִי הִנְנִי מְטַבֵּל אֶתְכֶם בַּמַּיִם לִתְשׁוּבָה אַךְ הַבָּא אַחֲרַי חָסֹן הוּא מִמֶּנִּי אֲשֶׁר קָטֹנְתִּי מִשְּׂאֵת אֶת־נְעָלָיו הוּא יְטַבֵּל אֶתְכֶם בְּרוּחַ הַקֹּדֶשׁ וּבָאֵשׁ׃
28030c011b	אֲשֶׁר מִזְרֵהוּ בְיָדוֹ לִזְרוֹת וּלְהָבֵר אֶת־גָּרְנוֹ וְאָסַף אֶת־הַחִטִּים אֶל־תּוֹךְ אֲסָמָיו וְאֶת־הַמֹּץ יִשְׂרֹף בַּאֵשׁ אֲשֶׁר לֹא תִכְבֶּה׃
28030d00a6	אָז יָבֹא יֵשׁוּעַ מִן־הַגָּלִיל אֶל־הַיַּרְדֵּן לִפְנֵי יוֹחָנָן לְהִטָּבֵל עַל־יָדוֹ׃
28030e00b0	וַיַּעֲצָר־בּוֹ יוֹחָנָן לֵאמֹר הֲלֹא נָכוֹן לִי לְהִטָּבֵל עַל־יָדְךָ וְאַתָּה בָּאתָ אֵלָי׃
28030f00d6	וַיַּעַן יֵשׁוּעַ וַיֹּאמֶר אֵלָיו הֶרֶף כַּיּוֹם כִּי־כֹה יָאֲתָה לָנוּ לְמַלֵּא כָל־צְדָקָה וַיִּרֶף מִמֶּנּוּ׃
280310012c	וַיִּטָּבֵל יֵשׁוּעַ וַיְמַהֵר וַיַּעַל מִן־הַמָּיִם וְהִנֵּה נִפְתְחוּ־לוֹ הַשָּׁמַיִם וַיַּרְא אֶת־רוּחַ אֱלֹהִים יֹרֶדֶת בִּדְמוּת־יוֹנָה וַתָּנַח עָלָיו׃
2803110092	וְהִנֵּה קוֹל קֹרֵא מִשָּׁמַיִם זֶה הוּא בְנִי יְדִידִי בּוֹ רָצְתָה נַפְשִׁי׃
2804010098	אָז הוּבַל יֵשׁוּעַ בָּרוּחַ הַמִּדְבָּרָה לְבַעֲבוּר יְנַסֵּהוּ שָׁם הַשָּׂטָן׃
2804020071	וַיָּצָם אַרְבָּעִים יוֹם וְאַרְבָּעִים לָיְלָה וַיִּרְעָב׃
28040300cf	וַיִּגַּשׁ הַמְנַסֶּה וַיֹּאמֶר אֵלָיו אִם בֶּן־הָאֱלֹהִים אַתָּה אֱמֹר וַאֲבָנִים אֵלֶּה תִּהְיֶיןָ לְלָחֶם׃
28040400cb	וַיַּעַן וַיֹּאמַר כָּתוּב כִּי לֹא עַל־הַלֶּחֶם לְבַדּוֹ יִחְיֶה הָאָדָם כִּי עַל־כָּל־מוֹצָא פִי־יְהוָֹה׃
28040500b5	וַיִּקָּחֵהוּ הַשָּׂטָן אֶל־עִיר הַקֹּדֶשׁ וַיַּעֲמִדֵהוּ עַל־פִּנַּת גַּג בֵּית־הַמִּקְדָּשׁ׃
280406013a	וַיֹּאמֶר אֵלָיו אִם בֶּן־הָאֱלֹהִים אַתָּה הִתְנַפֵּל אָרְצָה כִּי כָתוּב כִּי מַלְאָכָיו יְצַוֶּה־לָּךְ עַל־כַּפַּיִם יִשָּׂאוּנְךָ פֶּן־תִּגֹּף בָּאֶבֶן רַגְלֶךָ׃
2804070090	וַיֹּאמֶר אֵלָיו יֵשׁוּעַ וְעוֹד כָּתוּב לֹא תְנַסֶּה אֶת־יְהוָֹה אֱלֹהֶיךָ׃
28040800d1	וַיּוֹסֶף הַשָּׂטָן וַיִּקָּחֵהוּ אֶל־הַר גָּבֹהַּ מְאֹד וַיַּרְאֵהוּ אֶת־כָּל־מַמְלְכוֹת הָאָרֶץ וּכְבוֹדָן׃
2804090094	וַיֹּאמֶר אֵלָיו אֶת־כָּל־אֵלֶּה אֶתֶּן־לְךָ אִם־תִּפֹּל וְתִשְׁתַּחֲוֶה לִי׃
28040a00e5	אָז אָמַר אֵלָיו יֵשׁוּעַ גֶּשׁ־הָלְאָה הַשָּׂטָן כִּי כָתוּב לַיהוָֹה אֱלֹהֶיךָ תִשְׁתַּחֲוֶה וְאֹתוֹ לְבַדּוֹ תַּעֲבֹד׃
28040b0090	וַיִּרֶף מִמֶּנּוּ הַשָּׂטָן וַיִּגְּשׁוּ אֵלָיו מַלְאָכִים וַיְשָׁרְתֻהוּ׃
28040c008b	וַיְהִי כְשָׁמְעוֹ יֵשׁוּעַ כִּי נִסְגַּר יוֹחָנָן וַיָּשָׁב הַגָּלִילָה׃
28040d00d3	וַיַּעֲזֹב אֶת־נְצָרֶת וַיָּבֹא וַיֵּשֶׁב בִּכְפַר־נַחוּם עַל־שְׂפַת הַיָּם בִּגְבוּלֵי זְבֻלוּן וְנַפְתָּלִי׃
28040e007f	לְמַלֹּאת אֵת אֲשֶׁר־נֶאֶמַר בְּיַד־יְשַׁעְיָהוּ הַנָּבִיא לֵאמֹר׃
28040f00a9	אַרְצָה זְבֻלוּן וְאַרְצָה נַפְתָּלִי דֶּרֶךְ הַיָּם עֵבֶר הַיַּרְדֵּן גְּלִיל הַגּוֹיִם׃
28041000b5	הָעָם הַהֹלְכִים בַּחֹשֶׁךְ רָאוּ אוֹר גָּדוֹל יֹשְׁבֵי בְּאֶרֶץ צַלְמָוֶת אוֹר נָגַהּ עֲלֵיהֶם׃
28041100ce	מֵהָעֵת הַהִיא הֵחֵל יֵשׁוּעַ לִקְרֹא וְלֵאמֹר שׁוּבוּ מִדַּרְכֵיכֶם כִּי מַלְכוּת הַשָּׁמַיִם קָרְבָה לָבֹא׃
2804120157	וַיִּתְהַלֵּךְ יֵשׁוּעַ עַל־יַד יַם־הַגָּלִיל וַיַּרְא שְׁנֵי אַחִים שִׁמְעוֹן הַנִּקְרָא פֶּטְרוֹס וְאַנְדְּרַי אָחִיו פֹּרְשִׂים מִכְמֹרֶת עַל־פְּנֵי־הַיָּם כִּי דַיָּגִים הָיוּ׃
2804130083	וַיֹּאמֶר אֲלֵיהֶם לְכוּ אַחֲרָי וְאֶעֱשֶׂה אֶתְכֶם לְדַיְּגֵי אָדָם׃
2804140072	וַיַּעַזְבוּ אֶת־מִכְמֹרוֹתָם כְּרָגַע וַיֵּלְכוּ אַחֲרָיו׃
2804150144	וַיַּעֲבֹר מִשָּׁם וַיַּרְא שְׁנֵי אַחִים אֲחֵרִים יַעֲקֹב בֶּן־זַבְדִּי וְיוֹחָנָן אָחִיו בָּאֳנִיָּה עִם־זַבְדִּי אֲבִיהֶם מְתַקְּנִים מִכְמֹרוֹתָם וַיִּקְרָא אֲלֵיהֶם׃
280416009a	וְגַם־הֵמָּה כְּרֶגַע עָזְבוּ אֶת־הָאֳנִיָּה וְאֶת־אֲבִיהֶם וַיֵּלְכוּ אַחֲרָיו׃
2804170110	וַיָּסָב יֵשׁוּעַ בְּכָל־הַגָּלִיל וַיְּלַמֶּד־שָׁם בְּבָתֵּי הַכְּנֵסֶת קָרֹא בְּשׂרַת הַמַּלְכוּת וְרָפֹא כָּל־מַחֲלָה וְכָל־מַדְוֶה בָּעָם׃
2804180171	וַיֵּצֵא שָׁמְעוֹ בְּכָל־אֲרָם וַיָּבִיאוּ אֵלָיו אֵת כָּל־הַחוֹלִים אֲשֶׁר דָּבְקוּ בָם תַּחֲלֻאִים שׁוֹנִים וָחֳלָיִם רָעִים אֲחֻזֵי רוּחוֹת רָעוֹת מֻכֵּי יָרֵחַ וּנְכֵי עֲצָמוֹת וַיִּרְפָּאֵם׃
28041900db	וַיֵּלְכוּ אַחֲרָיו קָהָל רָב מִן־הַגָּלִיל וּמִן־דֶּכַּפֹּלִיס וּמִן־יְרוּשָׁלַיִם וִיהוּדָה וְעֵבֶר הַיַּרְדֵּן׃
28050100cd	וַיְהִי כַּאֲשֶׁר רָאָה אֶת־הֲמוֹן הָעָם וַיַּעַל אֶל־הָהָר וַיֵּשֶׁב שָׁם וַיִּגְּשׁוּ אֵלָיו תַּלְמִידָיו׃
280502005a	וַיִּפְתַּח אֶת־פִּיהוּ וַיּוֹרֶה לָהֶם לֵאמֹר׃
280503006e	אַשְׁרֵי עֲנִיֵּי הָרוּחַ כִּי לָהֶם מַלְכוּת הַשָּׁמָיִם׃
2805040057	אַשְׁרֵי הַמִּתְאַבְּלִים כִּי־הֵם יְנֻחָמוּ׃
2805050057	אַשְׁרֵי הָעֲנָוִים כִּי־הֵם יִירְשׁוּ־אָרֶץ׃
2805060079	אַשְׁרֵי הָרְעֵבִים וְהַצְּמֵאִים לִצְדָקָה כִּי־הֵם יִרְוָיֻן׃
2805070059	אַשְׁרֵי בַּעֲלֵי־רַחֲמִים כִּי־הֵם יְרֻחָמוּ׃
2805080063	אַשְׁרֵי בָּרֵי לֵבָב כִּי־הֵם יֶחֱזוּ אֶת־אֱלֹהִים׃
2805090073	אַשְׁרֵי עֹשֵׂי שָׁלוֹם כִּי־הֵם יִקָּרְאוּ בְּנֵי־אֱלֹהִים׃
28050a0089	אַשְׁרֵי הַנִּרְדָּפִים עֵקֶב צִדְקָתָם כִּי לָהֶם מַלְכוּת הַשָּׁמָיִם׃
28050b00c7	אַשְׁרֵיכֶם אִם־יְחָרְפוּ אִם־יִרְדְּפוּ אֶתְכֶם וּבַשֶּׁקֶר יָבִיאוּ דִבַּתְכֶם רָעָה בַּעֲבוּר שְׁמִי׃
28050c00e4	שִׂישׂוּ וְגִילוּ כִּי שְׂכַרְכֶם הַרְבֶּה מְאֹד בַּשָּׁמָיִם כִּי־כֵן רָדְפוּ אֶת־הַנְּבִיאִים אֲשֶׁר הָיוּ לִפְנֵיכֶם׃
28050d010e	אַתֶּם מֶלַח הָאָרֶץ וְאִם־הַמֶּלַח יָפוּג טַעְמוֹ בַּמֶּה יָמְלָח תָּפֵל לֹא־יִצְלַח לַכֹּל כִּי אִם־יְזֹרֶה הַחוּצָה וְהָיָה לְמִרְמַס רָגֶל׃
28050e007e	אַתֶּם אוֹר הָעוֹלָם עִיר יֹשֶׁבֶת עַל־הָהָר לֹא תוּכַל לְהִסָּתֵר׃
28050f00c5	וְאֵין מַדְלִיקִים נֵר לְתִתּוֹ תַּחַת הָאֵיפָה כִּי אִם־אֶל־הַמְּנֹרָה לְהָאִיר לְכֹל אֲשֶׁר בַּבָּיִת׃
28051000d6	כֹּה יָאֵר אוֹרְכֶם לְעֵנֵי בְנֵי־הָאָדָם וְרָאוּ מַעֲשֵׂיכֶם הַטּוֹבִים וְאֶת־אֲבִיכֶם בַּשָּׁמַיִם יְכַבֵּדוּ׃
28051100c2	אַל תַּחְשְׁבוּ כִּי בָאתִי לְהָפֵר הַתּוֹרָה אוֹ הַנְּבִיאִים לֹא לְהָפֵר בָּאתִי כִּי אִם־לְמַלְּאֹת׃
280512012e	כִּי הֵן אָמֵן אָנֹכִי מַגִּיד לָכֶם עַד אֲשֶׁר הַשָּׁמַיִם וְהָאָרֶץ יַעֲבֹרוּן לֹא תַעֲבֹר יוּד אַחַת מִן־הַתּוֹרָה אַף לֹא קוֹץ אֶחָד עַד כִּי־כֻלָּם יָקוּמוּ׃
2805130188	לָכֵן כָּל־הַמֵּפִיר אַחַת מִמִּצְוֹת קְטַנּוֹת אֵלֶּה וְהוֹרָה כָזֹאת לַאֲנָשִׁים נִקְלֶה יִקָּרֵא בְּמַלְכוּת הַשָּׁמַיִם וְהָעֹשֶׂה אֹתָן וּמְלַמֵּד לַעֲשׂוֹתָן נִכְבָּד יִקָּרֵא בְּמַלְכוּת הַשָּׁמָיִם׃
28051400ec	וַאֲנִי אֹמֵר לָכֶם אִם לֹא־תִגְדַּל צִדְקַתְכֶם מִצִּדְקַת הַסּוֹפְרִים וְהַפְּרוּשִׁים לֹא תָבֹאוּ לְמַלְכוּת הַשָּׁמָיִם׃
28051500de	שְׁמַעְתֶּם אֵת אֲשֶׁר נֶאֱמַר לַקַּדְמֹנִים לֹא תִּרְצָח וְהָאִישׁ אֲשֶׁר יִרְצַח יִנָּתֵן לַמִּשְׁפָּט בִּפְלִלִים׃
2805160170	וַאֲנִי אֹמֵר לָכֶם הַמִּתְעַבֵּר בְּאָחִיו חִנָּם יִנָּתֵן לַמִּשְׁפָּט בִּפְלִלִים וְהַקֹּרֵא לְאָחִיו רֵיקָה יִנָּתֵן בִּידֵי הַסַּנְהֶדְרִין וְאִם נָבָל יִקְרָא־לוֹ יִפֹּל לְאֵשׁ גֵּיהִנֹּם׃
28051700df	עַל־כֵּן אֵפוֹא כִּי־תַקְרִיב קָרְבָּן עַל־הַמִּזְבֵּחַ וְלִבְּךָ יַגֶּד־לְךָ שָׁם כִּי־דְבַר רִיב לְאָחִיךָ עִמָּךְ׃
28051800d4	הַנַּח שָׁם קָרְבָּנְךָ לִפְנֵי הַמִּזְבֵּחַ וְלֵךְ הִתְרַפֵּס וּרְהַב אָחִיךָ וְאָז בֹּא וְהַקְרֵב קָרְבָּנֶךָ׃
2805190168	מַהֵר הַשְׁלֵם עִם־אִישׁ רִיבְךָ בְּעוֹדְךָ עִמּוֹ בַדָּרֶךְ פֶּן־יַסְגִּיר אֹתְךָ אִישׁ רִיבְךָ בִּידֵי הַשֹּׁפֵט וְהַשֹּׁפֵט יַסְגִּירְךָ בְּיַד הַשֹּׁטֵר וְהוּא יִתֶּנְךָ לְבֵית הַסֹּהַר׃
