0100000008	Génesis
010206003b	Sin embargo, de la tierra brotaba agua que regaba el suelo.
01020700a9	Entonces Dios el Señor formó el cuerpo del hombre del polvo de la tierra y sopló en su nariz el aliento de vida. Fue así como el hombre se convirtió en un ser vivo.
010208006e	Luego Dios el Señor plantó un jardín en Edén, hacia el oriente, y puso en él al hombre que había creado.
01020900d6	Dios el Señor hizo que en el jardín se diera toda clase de árboles hermosos y de frutos deliciosos. En el centro del jardín plantó el árbol de la vida y también el árbol del conocimiento del bien y del mal.
01020a0082	De la tierra de Edén salía un río que corría a través del huerto para regarlo. Después el río se dividía en cuatro brazos.
01020b00ce	El primero se llamaba Pisón, el cual recorría toda la región de Javilá, donde había oro de muy buena calidad. También allí había plantas con las que se hacen perfumes muy finos, y piedras de ónice.
01020d0043	El segundo se llamaba Guijón, y atravesaba toda la región de Cus.
01020e006a	El tercero era el río Tigris, que es el que pasa al oriente de Asiria. Y el cuarto era el río Éufrates.
01020f0056	Dios el Señor puso al hombre en el jardín de Edén para que lo labrara y lo cuidara,
0102100063	y a la vez le dio esta orden: «Puedes comer del fruto de todos los árboles que hay en el jardín,
0102110083	pero del árbol del conocimiento del bien y del mal no podrás comer, porque el día que comas del fruto de ese árbol, morirás».
0102120090	Dios el Señor dijo: «No es bueno que el hombre esté solo. Le voy a hacer una compañera que sea de ayuda para él en todas sus necesidades».
010213016c	Dios el Señor formó, del polvo de la tierra, todos los animales del campo y todas las aves del cielo. Luego se los llevó al hombre para que este les pusiera nombre. Así que el hombre les puso a todos los animales el nombre con que se conocen en la actualidad. Pero entre todos esos animales no se encontró ninguno que le sirviera al hombre de pareja adecuada.
010215009a	Entonces Dios el Señor hizo que cayera sobre el hombre un sueño profundo, le sacó una costilla y cerró la carne en el lugar de donde la había sacado.
0102160039	Con la costilla hizo a la mujer y se la llevó al hombre.
010217008e	Al verla, el hombre exclamó: «¡Esta sí es hueso de mis huesos y carne de mi carne! Se llamará “mujer” porque fue sacada del hombre».
010218007b	Es por eso que el hombre deja a su padre y a su madre y se casa con su mujer, y los dos llegan a ser como una sola persona.
0102190058	Aunque en ese tiempo el hombre y la mujer estaban desnudos, no se sentían avergonzados.
01030100df	La serpiente, que era el más astuto de todos los animales del campo creados por Dios el Señor, se le acercó a la mujer y le preguntó: ―¿Es verdad que Dios no les permite comer de ningún árbol que hay en el jardín?
010302004b	La mujer le contestó: ―Sí podemos comer los frutos de cualquier árbol,
0103030077	menos del que está en el centro del jardín. Dios nos dijo que si comemos o tocamos el fruto de ese árbol, moriremos.
0103040037	―¡Mentira! —silbó la serpiente—. ¡No morirán!
01030500bc	Lo que pasa es que Dios sabe que, cuando ustedes coman del fruto de ese árbol, obtendrán todo el conocimiento, pues podrán conocer el bien y el mal. ¡Ese día ustedes serán como Dios!
010306010e	La mujer contempló el árbol y se convenció de que su fruto era bueno para comer. Además, lo vio muy hermoso, y pensó que era su oportunidad para conseguir la sabiduría. Así que agarró el fruto y comió. Luego le dio de comer a su marido, el cual estaba con ella.
0103070094	Tan pronto lo comieron, se dieron cuenta de que estaban desnudos y sintieron vergüenza. Entonces cosieron hojas de higuera para cubrir su desnudez.
01030800c5	Aquella tarde, a la hora en que sopla la brisa, el hombre y la mujer oyeron que Dios andaba por el jardín. Entonces corrieron a esconderse entre los árboles, para que Dios el Señor no los viera.
0103090048	Pero Dios el Señor llamó al hombre y le preguntó: ―¿Dónde estás?
01030a0073	El hombre le contestó: ―Oí que andabas por el jardín y me dio miedo, pues estoy desnudo. Así que me escondí.
01030b008f	―¿Quién te dijo que estás desnudo? —le preguntó Dios el Señor—. ¿Acaso comiste del fruto del árbol que te ordené que no comieras?
01030c0074	El hombre contestó: ―La mujer que me diste para que me acompañara me dio del fruto de ese árbol, y yo lo comí.
01030d009b	Entonces Dios el Señor le preguntó a la mujer: ―¿Qué es lo que has hecho? Ella respondió: ―La serpiente me engañó, y por eso comí de ese fruto.
01030e011c	Entonces Dios el Señor le dijo a la serpiente: ―Por haber hecho esto, te maldeciré. Serás la más desdichada de todos los animales, incluyendo los domésticos y los salvajes. A partir de este momento andarás arrastrándote sobre tu vientre y comerás polvo durante toda tu vida.
01030f00b7	Habrá siempre enemistad entre ti y la mujer, y entre tu descendencia y la de ella. El descendiente de la mujer te aplastará la cabeza, mientras tú solamente le morderás el talón.
01031000d1	Luego Dios le dijo a la mujer: ―Haré que sufras bastante durante tus embarazos y que al tener tus hijos sientas mucho dolor. Y a pesar de eso, seguirás deseando a tu marido, y él tendrá dominio sobre ti.
01031100f1	Después Dios le dijo al hombre: ―La tierra estará bajo maldición por tu culpa, pues le hiciste caso a tu mujer y comiste del fruto que te prohibí. Por eso, de aquí en adelante tendrás que trabajar muy duro para conseguir tu alimento.
0103120052	La tierra te producirá espinas y cardos, y tendrás que comer plantas silvestres.
01031300b9	Para obtener tu alimento tendrás que trabajar mucho, hasta el día de tu muerte; ese día volverás a la tierra de la cual fuiste hecho, pues eres polvo y al polvo tendrás que volver.
010314006a	Luego el hombre le puso a su mujer el nombre de Eva, pues ella sería la madre de todos los seres humanos.
010315005f	Dios el Señor hizo túnicas de pieles de animales, y con ellas vistió al hombre y a su mujer.
01031600ae	Y dijo: «Ahora el ser humano es como uno de nosotros, pues sabe lo que es bueno y lo que es malo, no conviene que tome del fruto del árbol de la vida y viva para siempre».
010317008e	Entonces Dios el Señor expulsó al hombre y a la mujer del jardín de Edén, y puso al hombre a que trabajara la tierra de la cual fue hecho.
01031800ec	Después de haber expulsado al hombre y a la mujer, Dios puso al oriente del jardín de Edén a los querubines, y una espada encendida que giraba en todas las direcciones, para evitar que nadie pudiera llegar hasta el árbol de la vida.
0104010098	Adán tuvo relaciones con su esposa Eva, y ella quedó embarazada, y dio a luz a su hijo Caín, y dijo: «Gracias al Señor, he tenido un hijo varón».
0104020081	Después volvió a tener otro hijo al cual le puso por nombre Abel. Abel fue pastor de ovejas, en cambio Caín fue un agricultor.
0104030059	Después de algún tiempo, Caín le dio al Señor una ofrenda de lo que había cosechado.
010404008c	También Abel le dio una ofrenda al Señor. Le ofreció las primeras y mejores crías de sus ovejas. Al Señor le agradó Abel y su ofrenda,
0104050063	pero no se agradó de Caín ni de su ofrenda. Por eso Caín se enojó muchísimo y andaba amargado.
0104060052	Entonces el Señor le preguntó: «¿Por qué estás tan enojado y andas amargado?
01040700c0	Si hicieras lo correcto podrías andar con tu frente en alto. Pero si actúas mal, el pecado, como una fiera, está listo a lanzarse sobre ti y destruirte. Sin embargo, tú puedes dominarlo».
0104080074	Un día Caín invitó a su hermano a dar un paseo. Cuando estaban en el campo, Caín atacó a su hermano y lo mató.
01040900af	Poco tiempo después el Señor le preguntó a Caín: ―¿Dónde está Abel, tu hermano? Caín le contestó: ―No lo sé. ¿Acaso tengo la obligación de cuidar a mi hermano?
01040a0065	Pero el Señor le dijo: ―¿Qué hiciste? Desde la tierra, la sangre de tu hermano me pide justicia.
01040b0076	Por eso, quedarás bajo la maldición de la tierra, la cual se ha tragado la sangre de tu hermano, al que tú mataste.
01040c0075	Cuando trabajes la tierra, no te dará cosechas. Vivirás en el mundo como un fugitivo, sin poder encontrar descanso.
01040d0049	Caín le dijo al Señor: ―Ese castigo es más de lo que puedo soportar.
01040e00a7	Hoy me echas de esta tierra, y tendré que vivir lejos de tu presencia. Tendré que vivir huyendo como un fugitivo, expuesto a que cualquiera que me encuentre me mate.
01040f00a2	El Señor le contestó: ―Eso no sucederá. Si alguien te mata, será castigado siete veces. Luego el Señor le puso una marca a Caín, para que nadie lo matara.
010410008a	Entonces Caín se alejó de la presencia del Señor y fue a vivir en la región de Nod —tierra de los errantes—, al oriente del Edén.
010411009b	Caín tuvo relaciones con su esposa, la cual quedó embarazada y dio a luz a Enoc. Caín fundó una ciudad y le puso el nombre de Enoc, en honor a su hijo.
0104120074	Enoc fue el padre de Irad, Irad fue padre de Mejuyael, Mejuyael fue padre de Metusael, y este fue el padre de Lamec.
0104130023	Lamec tuvo dos esposas: Ada y Zila.
0104140069	Ada dio a luz a Jabal, que es el antepasado de los que viven en carpas y se dedican a la cría de ganado.
010415005f	Jabal tuvo un hermano llamado Jubal, que es el antepasado de los que tocan el arpa y la flauta.
01041600ab	También Zila, la otra esposa de Lamec, dio a luz a Tubal Caín, que hacía toda clase de objetos de bronce y de hierro. Tubal Caín tuvo una hermana que se llamaba Noama.
01041700bc	Un día, Lamec les dijo a sus esposas: «¡Escúchenme, mujeres de Lamec! ¡Oigan bien lo que les digo! A un hombre que me hirió, lo maté, y lo mismo hice con un muchacho que me golpeó.
0104180076	Si el que mate a Caín será vengado siete veces, entonces, el que mate a Lamec será vengado setenta y siete veces».
01041900b7	Adán volvió a tener relaciones con su esposa, la cual dio a luz un hijo al que le puso por nombre Set, pues dijo: «Dios me ha dado otro hijo en lugar de Abel, al que Caín mató».
01041a0072	También Set tuvo un hijo, al que llamó Enós. Desde ese tiempo la gente comenzó a invocar el nombre del Señor.
0105010083	Esta es la lista de los descendientes de Adán. El día en que los seres humanos fueron creados, Dios los creó a su propia imagen.
0105020055	Los creó hombre y mujer, y los bendijo. Ese mismo día los llamó «seres humanos».
01050300db	Adán tenía ciento treinta años cuando le nació un hijo, a su imagen y semejanza, y le puso el nombre de Set. Adán vivió ochocientos años más, tuvo hijos e hijas, y murió a los novecientos treinta años de edad.
01050600ac	Set tenía ciento cinco años cuando nació Enós. Después de esto, vivió otros ochocientos siete años, tuvo hijos e hijas, y murió a la edad de novecientos doce años.
01050900af	Enós tenía noventa años cuando nació su hijo Cainán. Después de esto, vivió ochocientos quince años, tuvo hijos e hijas, y murió a la edad de novecientos cinco años.
01050c00b2	Cainán tenía setenta años cuando nació su hijo Malalel. Después de esto, vivió ochocientos cuarenta años, tuvo hijos e hijas, y murió a la edad de novecientos diez años.
01050f00c2	Malalel tenía sesenta y cinco años cuando nació su hijo Jared. Después de esto, vivió ochocientos treinta años, tuvo hijos e hijas, y murió a la edad de ochocientos noventa y cinco años.
01051200ba	Jared tenía ciento sesenta y dos años cuando nació su hijo Enoc. Después de esto, vivió ochocientos años, tuvo hijos e hijas, y murió a la edad de novecientos sesenta y dos años.
0105150146	Enoc tenía sesenta y cinco años cuando nació su hijo Matusalén. Después de Matusalén, tuvo otros hijos e hijas, y vivió trescientos años más. Durante toda su vida, Enoc vivió de acuerdo con la voluntad de Dios, y cuando tenía trescientos sesenta y cinco años desapareció, porque Dios se lo llevó sin que muriera.
01051900d3	Matusalén tenía ciento ochenta y siete años cuando nació su hijo Lamec. Después de esto, vivió setecientos ochenta y dos años, tuvo hijos e hijas, y murió a los novecientos sesenta y nueve años de edad.
01051c014c	Lamec tenía ciento ochenta y dos años cuando nació su hijo Noé. Lamec lo llamó Noé, porque dijo: «Él nos aliviará del duro trabajo que significa labrar la tierra que Dios maldijo». Después de esto, Lamec vivió quinientos noventa y cinco años, tuvo hijos e hijas, y murió a la edad de setecientos setenta y siete años.
0105200046	Noé tenía quinientos años cuando tuvo tres hijos: Sem, Cam y Jafet.
0106010037	La población comenzó a multiplicarse sobre la tierra.
0106020074	Entonces los hijos de Dios se fijaron en la belleza de las mujeres y tomaron como mujeres a todas las que quisieron.
01060300a7	Por eso el Señor dijo: «No dejaré que el ser humano viva muchísimos años, porque su maldad ha aumentado. De modo que sólo lo dejaré vivir ciento veinte años».
0106040092	En aquellos días y aun después, cuando los hijos de Dios tuvieron relaciones con mujeres, nacieron gigantes que fueron famosos por su valentía.
010605009d	Cuando el Señor Dios vio el alcance de la maldad humana, y que la gente sólo pensaba en hacer lo malo, le dolió haberla creado y se llenó de mucho pesar.
0106070088	Entonces Dios dijo: «Voy a borrar de la tierra todo lo que he creado, hombres, animales, reptiles y aves. ¡Lamento haberlos creado!».
0106080030	Pero Noé contaba con la aprobación del Señor.
010609008d	Esta es la historia de Noé y de sus descendientes. Noé era un hombre justo y bueno, y todo el tiempo vivía conforme a la voluntad de Dios.
01060a0027	Noé tuvo tres hijos: Sem, Cam y Jafet.
01060b0141	Dios vio que la humanidad se había degenerado, y practicaba la violencia. La depravación llegó a tal extremo que un día Dios le dijo a Noé: «He decidido destruir a la humanidad, porque por su culpa hay mucha violencia y corrupción en la tierra. Sí, voy a destruir a toda la gente junto con lo que hay en el mundo.
01060e0079	Hazte un barco de madera de pino, cubre todas sus hendijas con alquitrán, y hazle cubiertas y camarotes a todo lo largo.
01060f0073	Hazlo de ciento treinta y cinco metros de largo, veintidós metros y medio de ancho y trece metros y medio de alto.
010610011b	Permite que entre el techo y la pared alrededor de todo el barco haya un espacio libre de unos cuarenta y cinco centímetros para que tanto la luz como el aire puedan circular. Hazle tres cubiertas: una cubierta inferior, una intermedia y una superior, y hazle una puerta al costado.
0106110064	Porque voy a inundar la tierra con un diluvio para destruir a todos los seres vivos. Todos morirán.
0106120080	Pero contigo haré un pacto, de modo que entrarás en el barco junto con tus hijos, tu esposa, y tus nueras, para que no mueran.
01061300b1	» De cada animal trae un macho y una hembra, y hazlos entrar en el barco contigo, para que sobrevivan al diluvio. Haz entrar una pareja de cada especie de animal, ave y reptil.
010615004c	También guarda en el barco todo el alimento que tú y ellos necesitarán».
0106160027	Y Noé hizo todo lo que Dios le mandó.
010701008b	Después el Señor le dijo a Noé: «Entra en el barco con toda tu familia, porque tú eres el único hombre bueno que vive en este tiempo.
01070200a5	Mete en el barco siete machos y siete hembras de todos los animales que se consideran puros; pero de los que se consideran impuros sólo lleva un macho y una hembra.
0107030072	Lleva también siete machos y siete hembras de todas las aves que existen, para conservar su especie en la tierra.
0107040090	Porque dentro de siete días haré que comience una lluvia que durará cuarenta días con sus noches, y todo lo que vive en la tierra morirá».
0107050027	Y Noé hizo todo lo que Dios le mandó.
01070600a1	Cuando comenzó el diluvio, Noé tenía seiscientos años de edad. Entonces entró en el barco con sus hijos, su esposa, y sus nueras, para librarse del diluvio.
0107080086	También entraron con Noé los animales puros e impuros, las aves y los reptiles, macho y hembra, tal como Dios se lo había ordenado.
01070a004b	Luego de siete días, las aguas del diluvio comenzaron a inundar la tierra.
01070b0109	Eso ocurrió el día diecisiete del mes segundo, es decir, cuando Noé cumplió sus seiscientos años de vida. Ese día se reventaron todas las fuentes del mar que está debajo de la tierra, y se abrieron las compuertas del cielo dejando caer una lluvia torrencial.
01070c003d	Llovió, sin parar, durante cuarenta días y cuarenta noches.
01070d0066	Fue en aquel día que Noé entró en el barco con su esposa, sus hijos Sem, Cam y Jafet, y sus nueras.
01070e006a	Con ellos había en el barco parejas de toda clase de animales, domésticos y silvestres, reptiles y aves.
010710007f	Habían entrado de dos en dos, macho y hembra, tal como Dios lo había ordenado. Después el Señor cerró la puerta del barco.
0107110087	Estuvo lloviendo sobre la tierra durante cuarenta días. Como el nivel de las aguas subió, el barco comenzó a flotar sobre las aguas.
0107120046	A medida que el agua subía, el barco flotaba sin peligro sobre ellas.
0107130054	Las aguas subieron tanto, que cubrieron hasta las montañas más altas de la tierra.
0107140041	Las aguas subieron unos siete metros por encima de las montañas.
01071500a2	Por eso, murieron todos los seres vivos que había en la tierra: las aves, los animales salvajes y los domésticos, todos los reptiles, y todos los seres humanos.
01071700aa	Tan sólo Noé y los que estaban con él en el barco quedaron vivos. Todos los demás seres humanos murieron, junto con los animales domésticos, las aves y los reptiles.
0107180042	Las aguas inundaron la tierra durante unos ciento cincuenta días.
01080100b6	Entonces Dios se acordó de Noé y de todos los animales que estaban con él en el barco. Dios hizo soplar un fuerte viento sobre la tierra, de modo que las aguas comenzaron a bajar.
0108020064	Se cerraron tanto las fuentes del mar profundo como las compuertas de los cielos, y dejó de llover.
010803006b	Las aguas fueron bajando poco a poco. Después de ciento cincuenta días las aguas habían bajado bastante.
0108040064	Fue por eso que el día diecisiete del mes séptimo el barco se posó sobre las montañas de Ararat.
010805007b	El agua siguió bajando, de modo que el día primero del mes décimo pudieron verse las partes más altas de las montañas.
010806004f	Después de cuarenta días, Noé abrió la ventana que le había hecho al barco
0108070071	y soltó un cuervo, el cual estuvo volando de un lado a otro esperando que la tierra se secara, pero no regresó.
0108080043	Luego Noé soltó una paloma, para ver si ya la tierra estaba seca.
01080900aa	Pero la paloma regresó al barco, porque no encontró un lugar seco en el cual pudiera posarse. Entonces Noé extendió su mano, agarró a la paloma y la metió al barco.
01080a003c	Esperó otros siete días más y volvió a soltar la paloma.
01080b00d0	Ya estaba oscureciendo cuando la paloma regresó, trayendo en su pico una ramita verde de olivo. Por eso, Noé se dio cuenta de que las aguas habían bajado mucho, de modo que ya se podía ver la tierra seca.
01080c0055	Siete días después volvió a soltar la paloma, pero esta vez la paloma no regresó.
01080d00bc	Cuando Noé tenía seiscientos un años de vida, las aguas desaparecieron. El primer día del mes primero de ese año, Noé retiró el techo del barco y vio que la tierra estaba casi seca.
01080e004c	El día veintisiete del segundo mes, la tierra ya estaba completamente seca.
01080f001d	Entonces Dios le dijo a Noé:
0108100086	«Ya pueden salir todos. Deja salir a todos los animales, aves y reptiles para que se reproduzcan abundantemente y llenen la tierra».
0108120044	Así que Noé, sus hijos, su esposa y sus nueras salieron del barco.
0108130081	También salieron todos los animales, según su propia especie: los animales salvajes y los domésticos, las aves y los reptiles.
01081400a5	Después Noé construyó un altar para adorar al Señor. En ese altar Noé le ofreció a Dios animales y aves adecuados para el sacrificio, es decir, que eran puros.
0108150134	Al Señor le agradó mucho el olor de los sacrificios, y se dijo a sí mismo: «Nunca más volveré a maldecir la tierra por culpa de la humanidad, pues todos los seres humanos están inclinados hacia el mal desde que son niños. ¡Jamás volveré a destruir a los seres vivos, como lo hice en esta ocasión!
010816007f	Mientras exista la tierra, habrá siembra y cosecha; siempre habrá frío y calor, verano e invierno, los días y las noches».
0109010062	Dios dio esta bendición a Noé y a sus hijos: «Tengan muchos hijos y vuelvan a llenar la tierra.
01090200bf	Todos los animales de la tierra temblarán de miedo delante de ustedes. Todas las bestias de la tierra, todas las aves, todos los reptiles y todos los peces se tendrán que someter a ustedes.
0109030068	Les doy todos los animales, lo mismo que las plantas y verduras para que los usen para su alimentación.
0109040061	Pero no deberán comer animales sin haberles sacado la sangre, porque la vida está en la sangre.
01090500c7	Si un animal mata a un ser humano, yo lo castigaré. También castigaré a cualquier persona que mate a otro ser humano. Sí, yo pediré cuentas a cualquier animal o persona que mate a un ser humano.
0109060076	El que mate a una persona, otra persona lo matará a él; porque los seres humanos fueron creados a la imagen de Dios.
010907007b	» Ustedes recuerden: “Tengan muchos hijos y vuelvan a poblar la tierra; ¡sí, multiplíquense y llenen la tierra!”».
01090801f4	Entonces Dios les dijo a Noé y a sus hijos: «Hoy mismo hago un pacto con ustedes, con todo hombre y mujer que nazca después de ustedes, y con todos los animales que están con ustedes y que salieron del barco, es decir, con los animales domésticos y salvajes, con las aves y con todos los demás animales que hay en la tierra. Por medio de este pacto les prometo que nunca más enviaré otro diluvio para destruir la tierra. ¡Nunca más mataré a ningún ser viviente por medio de un diluvio!».
01090c00f8	Además, Dios dijo: «El arco iris servirá de señal para recordar este pacto que acabo de hacer con ustedes y con todos los animales. Sí, cada vez que aparezca el arco iris sobre las nubes les recordará la promesa que he hecho a toda la tierra.
01090e00fa	Cuando yo cubra de nubes la tierra, también haré que aparezca el arco iris. De ese modo me acordaré de la promesa que les he hecho a ustedes y a todos los demás seres vivos de la tierra. Así que nunca más los destruiré por medio de un diluvio.
0109110071	No lo olviden: Esta es la señal del pacto que acabo de hacer con ustedes y con todo ser viviente en la tierra».
010912004e	Los tres hijos de Noé fueron: Sem, Cam y Jafet. (Cam es el padre de Canaán).
0109130045	De estos tres hijos de Noé proceden todas las naciones de la tierra.
010914009a	Noé, que era agricultor, plantó una viña e hizo vino. Un día bebió tanto vino que se emborrachó y se quedó desnudo, tendido en el piso de su carpa.
010916009d	En esas, Cam, el padre de Canaán, entró a la carpa y vio a Noé desnudo. Al salir de la carpa le contó a sus hermanos que había visto a su padre desnudo.
01091700a5	Entonces Sem y Jafet tomaron una túnica, se la echaron sobre los hombros y, para evitar ver la desnudez de su padre, entraron caminando hacia atrás y lo cubrieron.
01091800ea	Cuando Noé despertó de su borrachera y supo lo que le había hecho su hijo menor, dijo: «¡Maldito sea Canaán y sus descendientes! ¡Serán esclavos de los descendientes de Sem y Jafet! ¡Serán los esclavos de más bajo rango!».
01091a005a	Luego Noé dijo: «¡Bendito sea el Señor, Dios de Sem! ¡Que Canaán sea esclavo de Sem!
01091b006f	¡Que Dios prospere mucho a Jafet, y que viva en los campamentos de Sem! ¡Que Canaán sea esclavo de Jafet!».
01091c0043	Noé vivió otros trescientos cincuenta años después del diluvio,
01091d0033	y tenía novecientos cincuenta años cuando murió.
010a010073	Después del diluvio, Sem, Cam y Jafet, los hijos de Noé, tuvieron sus propios hijos. Estos son sus descendientes:
010a02004f	Los hijos de Jafet fueron: Gómer, Magog, Maday, Javán, Tubal, Mésec, Tirás.
010a030036	Los hijos de Gómer fueron: Asquenaz, Rifat y Togarma.
010a04003f	Los hijos de Javán fueron: Elisá, Tarsis, Quitín y Rodanín.
010a050070	Estos se fueron a vivir en las islas y costas, y fundaron naciones en diversos lugares, con sus propios idiomas.
010a060036	Los hijos de Cam fueron: Cus, Misrayin, Fut y Canaán.
010a07006d	Los hijos de Cus fueron: Seba, Javilá, Sabtá, Ragama y Sabteca. Los hijos de Ragama fueron: Sabá y Dedán.
010a08004b	Cus fue el padre de Nimrod, que llegó a ser el primer guerrero muy famoso.
010a0900bf	Con la ayuda del Señor llegó a ser un cazador muy valiente. Por eso, se hizo popular decir: «Tan valiente como Nimrod, quien llegó a ser un excelente cazador porque el Señor lo ayudó».
010a0a0082	Las ciudades más importantes de su reino fueron Babel, Érec, Acad y Calné. Todas estas ciudades estaban en la región de Sinar.
010a0b009e	De allí salió para Asur, donde edificó las ciudades de Nínive, Rejobot Ir, Cala y la importante ciudad de Resén, que estaba situada entre Nínive y Cala.
010a0d00ad	Misrayin fue el antepasado de los ludeos, los anameos, los leabitas, los naftuitas, los patruseos, los caslujitas y los caftoritas, que son los antepasados de los filisteos.
010a0f0038	Canaán fue el padre de Sidón, su hijo mayor, y de Het.
010a100106	Además, de Canaán descienden los jebuseos, los amorreos, los gergeseos, los heveos, los araceos, los sineos, los arvadeos, los zemareos y los jamatitas. Después de algún tiempo todas estas familias de los cananeos se separaron y se dispersaron por la tierra.
010a13007e	Su territorio abarcaba desde Sidón hasta Guerar y Gaza, y pasaba por Sodoma, Gomorra, Admá y Zeboyín, y llegaba hasta Lasa.
010a14007b	Estos fueron, pues, los descendientes de Cam. Se hallaban dispersos en muchas tierras y naciones y hablaban muchas lenguas.
010a15006d	Sem, el hermano mayor de Jafet, también tuvo hijos, y fue el antepasado de todos los descendientes de Éber.
010a160039	Los hijos de Sem fueron: Elam, Asur, Arfaxad, Lud y Aram.
010a170031	Los hijos de Aram fueron: Uz, Hul, Guéter y Mas.
010a18003d	Arfaxad fue el padre de Selaj, y Selaj fue el padre de Éber.
010a190094	Éber tuvo dos hijos: El primero se llamó Péleg, porque fue durante su vida que la gente del mundo se dividió. El otro hijo de Éber fue Joctán.
010a1a0125	Joctán fue el padre de Almodad, Sélef, Jazar Mávet, Yeraj, Hadorán, Uzal, Diclá, Obal, Abimael, Sabá, Ofir, Javilá y Jobab. Todos estos fueron los descendientes de Joctán, quienes ocuparon la región que va desde Mesá hasta Sefar, es decir, la región montañosa que queda al oriente.
010a1f006d	Así que estos fueron los descendientes de Sem, según sus familias, sus regiones, sus países y sus idiomas.
010a2000d7	En resumen, todos estas son las familias que descienden de Noé, según sus pueblos y naciones. Después del diluvio, todas estas familias se esparcieron por todas partes y formaron las naciones que hay en el mundo.
010b010035	En ese tiempo, toda la gente hablaba un mismo idioma.
