0100000014	Англунимос
0103080137	Андо вэчеро, кала ашыля майшудро, пхурдя балвалоры, и вонэ ашундэ, сар о РАЙ Дэл пхирэл па садо. О Адамо и лэсти ромни гарадилэ лэ РАЕСТАР Дэвлэстар машкара кашта андо садо.
010309004e	О РАЙ Дэл акхардя лэ Адамости: — Кай ту сан?
01030a00bb	О Адамо пхэндя: — Мэ ашундэм Тут андо садо и пэрэдарайлэм, пала кода со мэ сым нанго, акэ мэ и гарадилэм.
01030b00cf	Вов пушля лэстар: — Ко пхэндя тути, со ту нанго? Ту со, халян э плодуря па кашт, па саво Мэ припхэндэм тути тэ на хас?
01030c00e4	О Адамо пхэндя: — Э жувли, савя Ту дян манди, соп вой тэ авэл манца, — када вой дя манди о плодо па кодыва кашт, и мэ похалэм лэс.
01030d00be	Тунче РАЙ Дэл пхэндя ла жувляти: — Со ж ту када тердян? Э жувли пхэндя: — Када о сап хохадя ман, и мэ халэм.
01030e0186	Тунче о РАЙ Дэл пхэндя лэ сапэсти: — Пала кода, со ту када тердян, дав амрая тут майбут, сар саворо черэско ското и саворо вэшэско жундимос! Ту авэса тэ пхирэс по йило и тэ хас э чик андэ саворэ терэ деса, скати жувэса.
01030f0105	Мэ стхава вырыцыя машкара тутэ и жувли и машкара терэ бэяцэ и лати бэяцэ: вов авэла тэ умарэ тут андо шэро, ай ту авэса тэ дэндалэс лэсти э талпа.
010310012b	Ай лэ жувляти пхэндя: — Мэ стерава, со теро пхаримос авэла андо грижа: ту анэса бэятонэн андэ дукх. Ту камэса тэ авэс э хулаи лэ ромэсти, ай вов авэла о хулай важ тутэ.
010311019e	Лэ Адамости жэ Вов пхэндя: — Кадя сар ту канглян теря ромня и похалян о плодо па кашт, пала саво Мэ припхэндэм тути: «На ха лэстар», дав амрая пала тутэ э пхув: андэ пхари бути ту авэса тэ дорэсэс о марно латар андэ ся теро жувимос.
0103120099	Э пхув вибарярэла тути пусавдэ и вырытонэ чяря, ту авэса тэ хас кода, со барёл пэ мал.
01031300ef	Андэ пхари бути авэса тэ затерэс пэсти о марно, жы кай на рисавэса андэ чик, анда сави санас лино. Ту сан чик, и андэ чик ту рисайвэса.
0103140092	О Адамо дя алав пэстя ромняти Ева, пала кода со вой ашыля дэй саворэнди, ко жувэл.
010315008f	О РАЙ Дэл стердя лэнди йида андай гаравля и стходя ла по Адамо и пэ лэсти ромни.
010316018d	Тунче о РАЙ Дэл пхэндя: — О мануш угангля о лашымос тай о вырытимос и ашыля акана, сар екх Амэндар. Нащи, кай вов тэ процырдэл о васт тай тэ шынэл о плодо па кашт лэ жувимоско. Сар вов похала лэс, авэла тэ жувэл и на мэрэла.
01031700a9	И о РАЙ Дэл витрадя лэ Адамос анда садо Эдэм, соб вов тэ терэл бути пэ пхув, анда сави сас лино.
010318014d	Сар о РАЙ витрадя лэ манушэс, Вов стходя по тэсараско риг лэ Эдэмостар лэ херувимонэн и бари ягатери шури, сави марэлас андэ саворэ рига, соп тэ фирин о дром каринг о кашт лэ жувимаско.
01040100eb	О Адамо сутя ла Еваса, пэстеря ромняса, и вой ашыля лэстар пхари и андя лэ Каинос. Вой пхэндя: «Сар о РАЙ, кадя и мэ тердэм манушэс».
01040200cc	Тунче вой андя лэ Авелёс, лэсти пхралэс. О Авелё барярэлас лэ бакрэн и бузнэн, ай о Каино терэлас бути ла пхувяса.
010403007a	Черэз сави-то время о Каино андя даро лэ РАЕСТИ э плодуря лэ пхуяти,
01040400ab	ай о Авелё андя майчиченалэн англунэн аракхадэн бакрэн. О Авелё и лэско даро чялилэ лэ РАЕСТИ,
010405008e	ай о Каино и лэско даро на чялилэ Лэсти. О Каино росхоляйля, и лэско муй калиля.
010406008e	Тунче пхэндя о РАЙ лэ Каиности: — Состар ту холяйвэс? И состар теро муй калиля?
010407013c	Сар кай ту терэс мишто, то на ваздэса ли о шэро? Ай сар терэс наймишто, то паша терэ вудара пригарадиля о бэзэх: вов камэл тэ авэс теро хулаеса, но ту трэбуй тэ хулаис пар лэстэ.
0104080108	О Каино пхэндя пэстерэ пхралэсти лэ Авелёсти: — Авэн манца андэ мал. И кала вонэ саслэ котэ, о Каино збисайля пэ пэско пхрал по Авелё и умардя лэс.
01040900e1	Тунче о РАЙ пхэндя лэ Каиности: — Кай теро пхрал о Авелё? — На ганав, — пхэндя Каино. — Хэба мэ сым фирисари мэрнэ пхралэсти?
01040a0094	О РАЙ пхэндя: — Со ж ту тердян? О рат терэ пхралэско цыпий каринг Мандэ андай пхув.
01040b00fc	Акана Мэ тут дав амрая, витрадав пай пхув, сави пхэрнадиля пэско муй, соп тэ прилэл о рат терэ пхралэско, савэс ту умардян пэстерэ вастэнца.
01040c00cb	Кала ту авэса тэ терэс бути ла пхувяса, вой на авэла тэ дэл тути плодуря. Ту авэса пай пхув пхирэл, сар бичерэско.
01040d00a3	О Каино пхэндя лэ РАЕСТИ: — Путинимос пала мэрни дош майпхаро, сар мэ трэбуй тэ заандярав.
01040e0128	Акана Ту витрадэс ман андай пхувяко муй, и Терэ муестар мэ гарадювава. Авава тэ пхирав пай пхув, сар бичерэско, и англуно мануш, саво попэрдёла по дром, умарэла ман.
01040f013f	Но о РАЙ пхэндя лэсти: — Най. Сар кай ко умарэла лэ Каинос, важ кода колэсти рисайвэла ефта молуря. И о РАЙ стердя лэ Каиности знако, кай нико, ко дикхэлапэ лэса, тэ на умарэл лэс.
01041000b1	О Каино жылятар лэ РАЕСТАР и жувэлас пэ пхув Нодо, сави сас каринг о востоко лэ Эдэмоско садостар.
0104110109	О Каино сутя пэстеря ромняса, и вой ашыля лэстар пхари и андя лэ Ханохос. Андэ кодыя время о Каино стердя форо и дя лэсти алав па пэско шаво Ханохо.
0104120101	Кай о Ханохо аракхадилэпэ о Ирадо, кай о Ирадо аракхадиля Мехиаэло, кай о Мехиаэло аракхадиля Метушаэло, кай о Метушаэло аракхадиля о Ламехо.
010413007b	О Ламехо ля пала пэстэ дуен ромнян: екха акхарэнас Ада, ай авря Цыла.
01041400ae	Э Ада андя лэ Ивалос: вов ашыля дадэса калэнди, ко жувэн андэ катунэ и вибарярэн о черэско ското.
01041500a9	Лэстерэ пхралэс акхарэнас Ювало: вов ашыля дадэса саворэнди, ко челэл па лира тай пэ свирели.
01041600d2	Кай э Цыла сас шаво Тувал-Каино, саво терэлас праматяти анда састри и андай харком. Кай о Тувал-Каино сас пхэй Наама.
0104170149	О Ламехо пхэндя пэстерэ ромнянди: — Адо и Цыло, ашунэн ман! Ромня лэ Ламехости, полэн мэрни дума! Мэ умардэм муршэс важ када, со вов шындя ман, тэрнэ манушэс важ када, со вов дядап ман.
0104180083	Сар кай важ о Каино мардёна ефта молоря, то важ о Ламехо — ефтадэша ефта.
010419011c	О Адамо инке сутя пэстя ромняса, и вой андя шавэс и дя лэсти алав Сифо, вой пхэнэлас: «О Дэл дя манди андо даро аврэс бэятос важ о Авелё, савэс умардя о Каино».
01041a00b4	Кай о Сифо кадя ж сас шаво, и вов дя лэсти алав Еносо. Андэ кодыя время э мануша линэ тэ тэлён РАЕСТИ.
01050100d1	Акэ э дума пала Адамо тай лэстерэ потомкуря. Андо дес, кала о Дэл стердя лэ манушэс, Вов стердя лэс кацаво, сар о Дэл.
01050200a7	Вов стердя лэ муршэс и лэ жувля и бахталисардя лэн. Андо кодва дес о Дэл акхарда лэн «мануш».
01050300d2	Кала о Адамо прожудя 130 бэрша, лэстэ аракхадиля шаво, лэско образо, саво сас кацаво, сар вов, и вов дя лэсти алав Сифо.
0105040090	Тунче сар аракхадиляпэ о Сифо, о Адамо жудя 800 бэрша, и лэстэ сас инке шавэ и щея.
0105050057	Ся о жувимос лэ Адамоско сас 930 бэрша, и вов муля.
0105060062	Кала о Сифо прожудя 105 бэрша, лэстэ аракхадиля о Еносо.
0105070091	Тунче, сар аракхадиляпэ о Еносо, о Сифо жудя 807 бэрша, и лэстэ сас инке шавэ и щея.
0105080055	Ся о жувимос лэ Сифоско сас 912 бэрша, и вов муля.
0105090065	Кала о Еносо прожудя 90 бэрша, лэстэ аракадиля о Каинано.
01050a0097	Тунче, сар аракхадиляпэ о Каинано, о Еносо жудя 815 бэрша, и лэстэ сас инке шавэ и щея.
01050b0057	Ся о жувимос лэ Енососко сас 905 бэрша, и вов муля.
01050c0071	Кала о Каинано прожудя 70 бэрша, лэстэ аракхадиля о Махалалэло.
01050d00a1	Тунче, сар аракхадиляпэ о Махалалэло, о Каинано жудя 840 бэрша, и лэстэ сас инке шавэ и щея.
01050e005b	Ся о жувимос лэ Каинаноско сас 910 бэрша, и вов муля.
01050f006d	Кала о Махалалэло прожудя 65 бэрша, лэстэ аракхадиля о Яредо.
010510009d	Тунче, сар аракхадиляпэ о Яредо, о Махалалэло жудя 830 бэрша, и лэстэ сас инке шавэ и щея.
0105110061	Ся о жувимос лэ Махалалэлоско сас 895 бэрша, и вов муля.
0105120064	Кала о Яредо прожудя 162 бэрша, лэстэ аракхадиля о Енохо.
0105130093	Тунче, сар аракхадиляпэ о Енохо, о Яредо жудя 800 бэрша, и лэстэ сас инке шавэ и щея.
0105140057	Ся о жувимос лэ Яредоско сас 962 бэрша, и вов муля.
0105150069	Кала о Енохо прожудя 65 бэрша, лэстэ аракхадиля о Мафусало.
01051600b5	Тунче, сар аракхадиляпэ о Мафусало, о Енохо пхирэлас лэ Дэвлэса 300 бэрша, и лэстэ сас инке шавэ и щея.
010517003f	О Енохо дожудя жы каринг э 365 бэрша.
0105180086	О Енохо жувэлас лэ Дэвлэса, тунче лэс на ашыля, пала кода со о Дэл заля лэс.
010519006c	Кала о Мафусало прожудя 187 бэрша, лэстэ аракхадиля о Ламехо.
01051a009b	Тунче, сар аракхадиляпэ о Ламехо, о Мафусало жудя 782 бэрша, и лэстэ сас инке шавэ и щея.
01051b005d	Ся о жувимос лэ Мафусалоско сас 969 бэрша, и вов муля.
01051c0061	Кала о Ламехо прожудя 182 бэрша, лэстэ аракхадиля шаво.
01051d00c2	Вов дя лэсти алав Ноё и пхэндя: «Вов дэла амэнди тэ отчиював андэ пхари бути пэ пхув, савяти о РАЙ дя амрая».
01051e0091	Тунче, сар аракхадиляпэ о Ноё, о Ламехо жудя 595 бэрша, и лэстэ сас инке шавэ и щея.
01051f0059	Ся о жувимос лэ Ламехоско сас 777 бэрша, и вов муля.
010520008d	Кала лэ Ноёсти ашыля 500 бэрша, лэстэ аракхадилэ шавэ о Симо, о Хамо тай о Яфето.
0106010072	Сар ашыля майбут лэ манушэн пэ пхув, лэндэ аракхадёнаспэ э щея.
01060200e2	Э шавэ лэ Дэвлэсти додикхлэ, со э щея лэ манушэнди шукарнэ, и ашыле лэн тэ лэн пала пэстэ, кажно лэлас кола, сави лэсти чялиля.
01060300c8	О РАЙ пхэндя: — Най пэ всявори время авэла Мэрно Духо андо мануш. Вов исы тила, Мэ дав лэнди 120 бэршэн о жувимос.
010604017b	Андэ кола деса ай тунче сас пэ пхув фартэ нефилимуря, кала э шавэ лэ Дэвлэсти лэнас пала пэстэ лэ манушэндерэ щеян и лэндэ аракхадёнас бэяцэ лэндар. Кода саслэ зоралэ тай ашундэ мурша лэ пхуранятеря времятар.
01060500a3	О РАЙ дикхля, со э мануша ашыле билажавардэ, и ся лэнди гындуря цырдэнас лэн каринг о холи.
0106060088	О РАЙ тынгосардя, со стердя лэ манушэс пэ пхув, и Лэско ди пхэрдиля дукхаса.
0106070143	И пхэндя о РАЙ: — Мэ потасавава ся лэ манушэнди порода, сави Мэ стердэм. Мэ потасавава лэ манушэн, баро и цыкно пхуяко жундимос и лэ нэбостерэн черэклян. Мэ тынгой, со стердэм лэн.
0106080055	Ай о Ноё аракхля тынгимос англа лэ РАЕСТИ якха.
01060900e4	Акэ э дума пала Ноё тай лэстерэ родуря. Машкара э мануша кола времяти екх о Ноё сас чячюно и бидошако, вов пхирэлас лэ Дэвлэса.
01060a0053	Кай о Ноё сас трин шавэ: о Симо, Хамо тай Яфето.
01060b006a	Англа лэ Дэвлэсти якха э пхув римосайля и пхэрдиля холяса.
01060c00b8	И о Дэл дикхэл, сар э пхув римосайля пала кода, кай саворо жундимос пэ пхув пэрэбандиле пэстерэ дрома.
01060d00f4	Тунче о Дэл пхэндя лэ Ноёсти: — Миримос саворэнди, со жувэн! Пала лэндэ пхэрдиля э пхув вырытимаса. Мэ умарава лэн екхатанэ ла пхувяса.
01060e00b6	Стер тути ковчего анда кипарисово кашт, и стер андрэ лэстэ чера, и помакх лэс смоласа андрал и упрал.
01060f00e0	Акэ, сар ту лэс стерэса: о ковчего трэбуй тэ авэл 150 метруря андо лунгимос, 25 метруря андо буглимос, и 15 метруря андо вучимос.
01061000e6	Ушарав лэс, кай тэ авэл майупрэ пэ епаш метро лэ ковчегостар. Стхов ла ригатар э вудара и стер тылуно, машкаруно и упруно этажо.
01061100e0	Мэ анава пэ пхув баро паи и потасавава ся, со жувэл тэла нэбо, ся, андэ кастэ пхурдэл жувимос. Ся, со исы пэ пхув, похасайвэла.
01061200b8	Ай туса Мэ терава завето, и ту зажаса андо ковчего — ту, и терэ шавэ, и тери ромни, и э ромня терэ шавэн.
01061300bf	Заандяр андо ковчего саворо жундимос пай дуйжынэ, муршэс и жувляс, соп вонэ тэ ашэнпэ жундэ екхтанэ туса.
01061400ea	Карик тутэ авэна, кай кадя жэ тэ ашэнпэ жундэ, по дуй саворэ породатар черэклян, саворэ породатар баро тай цыкно пхуяко жундимос.
0106150079	Лэ пэса саворо хамос, стидэ лэ екхэтанэ, соп тэ правардёс ту и вонэ.
010616004f	О Ноё стердя ся кадя, сар пхэндя лэсти о Дэл.
01070100f4	О РАЙ пхэндя лэ Ноёсти: — Зажа андо ковчего саворэ ереса. Мэ дикхав, со машкар саворэ, ко жувэл адес, екх ту кати чячюно сан англа Мандэ.
01070200dc	Лэ пэса пай ефта пай дуйжынэ саворэндар вужэндарэ жундиматар, лэс и ла, и пай дуйжынэ лэ найвужэндар жундиматар, лэс и ла,
010703009c	и пай ефта паруря саворэндар черэкляндар, лэс и ла, соп тэ фиринпэ лэндар инке пэ пхув.
01070400f8	Черэзэ ефта деса Мэ бишалава брышынд пэ пхув пэ саранда деса тай пэ саранда рятя, и Мэ потасава ся, со исы жундо пэ пхув, ся, со Мэ стердэм.
010705004a	О Ноё стердя ся, сар припэндя лэсти о РАЙ.
0107060060	Кала о паи авиля пэ пхув, лэ Ноёсти сас шовшэла бэрша.
01070700b6	О Ноё, лэсти шавэ, лэсти ромни тай э ромня лэсти шавэн зажылэ андо ковчего, соп тэ фиринпэ лэ паестар.
010708006f	Э вужэ тай э найвужэ жундимата, э черэкля тай саворо жундимос
01070900a9	авилэ каринг о Ноё и зажылэ андо ковчего пай дуйжынэ, вов и вой, сар припхэндя о Дэл лэ Ноёсти.
01070a004e	Прожылэ ефта деса, и пэ пхув жыля о брышынд.
01070b010f	Кала лэ Ноёсти сас шовшэла бэрша, андо дэшуефтато дес дуйтонэ шонэстар, прошындилэ саворэ хаинга лэ барэ паёсти, отпхэрнадилэ э фэлястрэ лэ нэбости,
01070c0069	и шорэлас пэ пхув о брышынд саранда деса тай саранда рятя.
01070d00ee	Андэ кодыва жэ дес зажылэ андо ковчего о Ноё, лэстерэ шавэ о Симо, Хамо тай о Яфето, э ромни лэ Ноёсти и э трин ромня лэстерэ шавэнди.
01070e015c	И лэнца зажылэ саворэ породуря лэ жундимастерэ: саворэ породуря лэ вэшэстерэ жундимата, черутно ското, саворэ породуря пхуяко жундимос, саворэ породуря лэ черэклэн, саворо пхакало жундимос.
01070f0097	Саворэ, андэ кастэ пхурдэл жувимос, авилэ каринг о Ноё и зажылэ андо ковчего по дуй,
01071000bf	вов и вой андай саворэ породуря, сар припхэндя о Дэл лэ Ноёсти. И тунче о РАЙ пхандадя пала лэстэ э вудара.
0107110099	О потопо сас пэ пхув саранда деса. О паи авэлас и звазгля о ковчего, и вов жыля па паи.
010712006b	О паи ся ваздэласпэ и ваздэласпэ, ай о ковчего жалас па паи.
0107130083	О паи кадя вучес вазгляпэ пэ пхув, со ушарадя саворэ вуче плая тэла нэбо.
0107140088	О паи вазгляпэ и ушарадя саворэ плая майвучес, сар пэ ефта епашэса метруря.
01071500ef	Ся, со сас жундо пэ пхув, похасайля: э черэкля, о ското, о вэшэско жундимос, жундимос, саво пхирэл гуртоса пай пхув, тай саворэ мануша.
010716006f	Ся, со сас пэ пхув жундо, со пхурдэлас и жувэлас, ся похасайля.
010717014a	Похасайля ся, со сас жундо пэ пхув, сас ся хасайля ла пхувятар: э мануша тай э жундима, тай пхуяко жундимос, тай э черэкля лэ нэбости. Ашыляпэ екх о Ноё, тай кола, ко сас лэса по ковчего.
0107180054	О потопо лэлас зор пэ пхув шэл и панчдэша деса.
010801011a	О Дэл на бистардя пала Ноё и палай саворэ вэшэско жундимос тай пала ското, савэ сас лэса андо ковчего. Вов бишалдя э балвал пэ пхув, и о паи ашыля тэ ужалтар.
01080200ba	Э хаинга лэ барэ паести тай э фэлястрэ лэ нэбости запхандадилэпэ, и о брышынд парашыля тэ жал пай нэбо.
010803008c	О паи найито ужалас пай пхув, и каринг о шэл панчдэшто дес вов фартэ ужылятар.
0108040083	По ефтадэшто дес ефтатерэ шонэстар о ковчего тэрдиля пэ Араратски плая.
01080500b7	О паи жаластар жы каринг о дэшто шон, и андо пэрво дес андо дэшто шон линэ тэ дичён о вэрхо лэ плаенго.
0108060094	Прожылэ саранда деса, и о Ноё отпхандадя э фэлястра, сави вов стердя андо ковчего,
01080700ab	и вяшадя лэ воронос, и вов вивурялас и привурялас палпалэ жы кола времятэ, сар вишутиля э пхув.
0108080086	Тунче о Ноё вяшадя лэ голубос, соп тэ дикхэл, ужыля ли о паи упрал пай пхув,
010809014e	но о голубо на аракхля шуко тхан, соп тэ прибэшэл, и рисайля каринг о Ноё андо ковчего, пала кода со о паи ушарадя ся пхув. О Ноё процырдя о васт и ля лэ голубос каринг пэстэ андо ковчего.
01080a0070	Прожылэ ефта деса, и вов упалэ вяшадя лэ голубос анда ковчего.
01080b00e1	Кала увэчери о голубо рисайля, андо муй лэстэ сас тэрно листо анда оливково кашт. Тунче о Ноё поля, со о паи жылятар пай пхув.
01080c008e	Вов поаштярдя инке ефта деса и упалэ вяшадя лэ голубос, и вов бутэр на рисайля.
