2800000009	ማቶስ
28020500dc	ከተረ፥ “ሳብዘንካ ኤሰርሶ ከዛቅባብካ ኩን ጋይድንዳ ቤሪካ ጻፍምሳንካንታ፥ ክርስቶስ አጥርምድንዳ ይሁዳ ፍጫር፥ ቤተልሄም ካተመናሬ፥
2802060156	“‘ይሁዳ ፍጨናር Ꮊፈርድንዳ በተልሄሞ! እስታ ዎርሰን እስራኤልም ካርስተርባብከ ጎርስተርባብ የሳርንካ ዉድንካንታ፥ ይሁዳር ዶቅድን አንድር ካተመንከዘንካ Ꮊረከረ የና ቶግዳካዬ’” ኩንጋየሮ ከትካንታ ማስሴ።
28020700c8	ኮታ ቡሪ ሄሮድስ ቤዝንከስም ሰድሰኮ ጎርስምድባብከስምከ ኤድንከስም ካቼካ ኤልሶ፥ ቤዝና ሰድምሳን ገታ ሰጨን ኦይስሶ ኤሴ፥
2802080117	ኩን ጋይሰረ በተሌሄማር ከትም ኦይቼ፥ “አይሰቶ፥ ኡለንጎካ ኡርስት ኦይስከቴ፥ የᎺፍሳንደትከረ እተረ አይስቶ ክትካንታ እ ጎስተርንግንዳ Ꮊድሰቶ እካንታ ኬዝከቴ” ጋይሴ።
280209011c	ከተረ ባንችንታ ኬዘንም ኤሰርሳንግንዳ ዉትሰኮ አይሰኬ፥ ይና! Ꮊይንታ ዉትንታጎካ ከት ሰዳን ቤዝና ኡለና ዶቅድን ካርዘን ዎእተርን የለልታ፥ ከታ እሪ አየሮ ከትም ጎርዝድ Ꮊቄ።
28020a005d	ቤዝና ዎእሳንደትም ከታ ይ ሰዳንደትካ አንድር ጉርምሰኬ፥
28020b0135	ኤሄናረረ አርድሰኮ ኡለንም እንደን ማራመካ ክክን ሰደኬ፥ ጉፕን ጋይሰኮ ክትካንታ ጎስትሰኬ፥ ከታ ይንታ ሳጥንንከስም ፎችሰኮ ዎርቀን፥ እጣንንምከ ሳየርስንካ ኡርማ ዎዝድን እመንም እምሰኬ።
28020c00bb	ሄሮድሰደረረ ከት ማዳክንግንዳ ሳብ Ꮊምስካ ከትም ኤግዝምሳንካንታ፥ አብ ጎግካ ከታ ይንታ ፍጨናር ማትሰኮ አይሰኬ።
28020d01bd	ቤዝንከስም ሰድሶ ጎርስምድባብከስ አይሳንደታ ቡር፥ ጮይስታ ክታይንችና ዮሰፍካንታ Ꮊምስካ መያ ማትሶ፥ “ሄሮድስ ኡለንም ደይሳካንታ ዝግድንኦል፥ አምሰዮ ኡለንም እንደንካ ክክን የድሰዮ ግብጽ ፍጨናር አይሳዮ አጥምካ፥ እ የስም ኬዝተርን የለልታ ኮታር ዶእካ” ክትም ጋይሴ።
28020e0097	ኮካንታ ዮሴፈረ ሶይትካ አምስንደትከ፥ ኡለንም እንደንካ ክክን የድሶ፥ ግብጽ ፍጨናር አይሴ።
28020f0114	ኮታረረ ሄሮድስ ደእተርን የለልታ ዶቅሴ፥ ኮነረ ማቻንዳ ሳብዘንካ ኤስርሶ ኬዛᎺቅባብካ “እስታ ይንችን ግብጽ ፍጨናርንካ ኤልሳቴ” ጋይሳን ጮይስታ ቃለና ቦድምድንግንዴ።
2802100297	ኮታ ቡሪ ሄሮድስ፥ ቤዝንከስም ሰድሶ ጎርስምድባብከስ ክትም ከት ገስሳንደትም ኖ ይ ኤሳንደትግንዳ፥ አንድር ኖ ዋጬ፥ ቤተሌሄም ካተመናርከ ኮታ ካንተንከረ ዶቅድን ሞረንከስ ሙደናር ይንታ ዳምንባብከስም ኦይትሶ፥ ቤዝንም ሰድሰኮ ጎርስምድባብከዘንካ ይ ኤሳንዴት ግንዳ፥ በተሌሄማርኬ ኮታ ካንተካ ዶቅድን ሞረንከሳር ከት አጠርስንካ ቃስተን ስላ ማችባብከስምኬ ኬታ ታመካ ዶቅድን አⷝና ይንች ሙደንም ኖ ደይስሴ።
280211004c	ኮታይካ፥ ሳብዘንካ ኤሰርሶ ኬዝባብ ኤርማሰካ፥
280212012b	“ራሄል ይንታ ይንችንከስካንታ ኤብድንካ፥ አንድር ሞርእኬ ኤፍካ ራማ ካተመናር ኤስምሴ፥ ኮታ ይንችንከሰረ ደእሳንኦል ዳንዳእካንታ ና ማታክዬ” ኩን ጋይምሶ ኬዝምሳንዳ ቤርና ቦድምሴ።
2802130081	ሄሮድስ ደእሳን ቡር ጮይስታ ክታይንችና ግብጻር ዮሰፍካንታ Ꮊምስካ መያ ማትሶ፥
28021400cd	“ኡለን ደይሳካንታ ዝግድን ኤድንከስ ደእሳንካንታ፥ አምሳዮ ኡለን እንደንካ ክክን የድሳዮ፥ እስራኤል ፍጨናር አይካ” ጋይሴ።
2802150078	ዮሰፈረ አምሶ ኡለንም እንደንካ ክክን የድሶ፥ እስራኤል ፍጨናር ማት Ꮊዴ።
280216014a	ኬዛርካ ማቼ አርኬላዎስ ይንታ ባቤን ሄሮድሰታ ካርናር ይሁዳ ፍጨንዘን ክት ባንችምሳን ይ ኤሰርሳንደትካ፥ ዮሰፍ ኮታር አይካንታ ጳሴ። ማችንከረ Ꮊምስካ ክትካንታ ክታ እምምሳንጎካ፥ ገሊላ ፍጨናር አይሴ።
28021700f1	“ናዝረት ፍጨናርንክንባቤ ጋይምተሬ” ጋይምሶ ሳብዘንካ ኤስርሶ ኬዛቅባብከስካ ኬዝምሳንዳ ቦድምድንግንዳ ናዝረት ጋይምድን ካተመናር Ꮊድሶ ዶቅሴ።
2803010077	ኮትᎺይካ ስእስንባብ ዮሀንስ ይሁዳ ዶቅድን ዴል ቆቼናርጎካ ሳባከሮ Ꮊዴ።
2803020088	ኖ ኤስዝደረ “ጭላ ባንችምና የልሳንካንታ የንታ ጎማ ፍክስን ዎይስከቴ” ጋይድ Ꮊቄ።
2803030108	“‘ጮይስንታ ጎግን ግግስከቴ፥ ሉላ ማስሶ ኡርስከቴ!’ ጋየሮ ዴል ቆቼናር ፍብድን ኤታ ኡፍስ” ጋይሶ ሳብዘንካ ኤስርሶ ኬዝባብ ኢስያስ ኬዛንዳ ክት ዮሀንስጎካ Ꮊቄ።
28030400ff	ዮሀንሰታ አፍለና ግመልታ ስጭዘንካ ፍክስምሳንዳ Ꮊቄ፥ ይንታ ዎክጫምናረረ ጋመዘንካ ኡርሰርሳን ሳቅ ሶቆርድ Ꮊቄ፥ ክታ እችምነረ ኤይከንከ ባእተታ ኩር Ꮊቄ፥
28030500e7	ኮታይካ የሩሳሌም ካተመናርኬ ይሁዳር ዶቅድን ፍጨናርንካ፥ ዮርዳኖስ ሎቀንታ ካንተካ ዶቅድን ፍጫ ሙደናርንካ ኤድንከስ ዮሀንሰደር Ꮊድ Ꮊቀኬ።
2803060081	ኬታ ይንታ ጎመንመረ ቡጨረኮ፥ ዮርዳኖስ ሎቀናር ዮሀንሰታ አንካ ስኤርድ Ꮊቀኬ።
280307016e	ኬዛርካ ማቼ፥ ዮሀንስ ፈረሳውያን ኤድንከሳርንከ ሰዶቃውያን ኤድንከሳርንካ በድንከስ ስእርካንታ ክደረ ኬት Ꮊድንካ ይ ሰዳንደትካ፥ “የታ ጉን ፉይንታ ይንችንከሶ! Ꮊድን ሳብታ ዋጭንዘንካ የ ሱርተርንግንዳ Ꮊይ የም ኤግዝምሳራ?
2803080060	ይና የንታ ጎማፍክስን ዎይስን ሰችዝድን ፍክስን ፍክስከቴ።
28030900f9	‘ዎታ አብራሀመታ ይንቾቴ’ ጋይንተካ የ ሱርድን የንደር Ꮊይካማ፥ ሳብ ከትኬ ሰይንንከሳርንካ ክት አብራሀምካንታ ይንች አምስካንታ ማዴ እታ የም ጋይድቴ።
28030a00c4	ይና ታ ማቼ ካልተና Ꮊቀንም ፋክካንታ ጎይናር ግግምቴ። ኮካንታ ኡርማ አፍ ኡዝዳክን Ꮊቃ ሙደና ፋክምሶ ኖሄናር ኦይትምዴ።
28030b014f	ይና፥ እታ የ ጎማ ፍክስን ዎይስዝድንግንዳ ሎቀካ የም ስእድቴ፥ እስታ ቡርጎካ Ꮊድባብ ማቸ አያን ጭልንከ ኖሄካ የም ስእተረ፥ ኖ እዘንካ አንድር ስገዴ፥ እታ ክታ ዱትንታ ጫመን ዎራ ባላካንታ ዝግዝድባብ ካይቴ።
28030c00f9	ጋልደጵነረ ክታ አንናሬ። ኖየረ ይንታ ቆይደንም ቦድሶ ኡርስተሬ። ይንታ ዘርግንመረ ቡለናር ኦይተሬ፥ ምሰንም ማቼ ካይዳክን ኖሄካ አችዝዴ” ከደር ጋይሴ።
28030d008d	ኮታይካ የሱስ ዮሀንሰታ አንያር ስእርካንታ፥ ገሊላ ፍጨናርንካ ዮርዳኖስ ሎቀናር Ꮊዴ።
28030e00c2	ዮሀንሰረ “ኮና ማታዬ፥ እታ የስታ አንያር ስእር እም ዝግዝድንካ፥ Ꮊስግንደስ የና እዝደር Ꮊዳ!” ጋየሮ ማር ክትም የጄ።
28030f0115	የሱስ ማቼ “ጭለትቼንታ ፍክስን ሙዳ ኮግንደካ ቦድ ዎም ዝግዝድንካንታ፥ ታ ዛእካ፥ ኮግንዳ ኩን ማታ” ጋይሶ ክትካንታ ማስሴ። ዮሀንሰረ ክታ ጋይተንካ ኤእሶ የሱሰም ስእሴ።
28031000d5	የሱሰረ ስኤርሶ ሳነካ ሎቀናርንካ ክት ዉተዳንግንዳ ጭላ ፎችምሴ፥ ሳብታ አያንነረ ዎሌታ ካምስካ Ꮊንቸርሶ የሱሰዘን ዶቅድንካ ሰዴ።
28031100b7	ኮታይካ “ይና፥ እታ ክትካ እ ጉርምድባብኬ እ ሶልምድባብ እስታ ይንችና ኖ ኮኔ” ጋይድን ኡፍስ ጭላርንካ ኤስምሴ።
2804010086	ኮታ ቡሪ፥ የሱስ ዳብሎሴካ ጰጭምካንታ ሳብታ አያንና ክትም ዴል ቆቼናር ተይ አይሴ።
280402008c	ኮታረረ ቃስቴን ቦንዳ Ꮊየኬ፥ ቃስቴን ቦንዳ ሶይት፥ በቼካ ይ ምክሳንደታ ቡሪ ዳቀርሴ።
28040300bd	ጰጨንባብ የሱሴደር Ꮊድሶ፥ “የና ሳብታ ይንች የስ ማቼ፥ ይና ኬና ሰይንንከስ እችም ማድንግንዳ ክትካ” ክትም ጋይሴ።
28040400c2	የሱስ ማቼ “‘ኤድ ሳብታ አፋርንካ ዉድን ቃላ ሙደንካ ዳት እችምካ Ꮊክ ዶቃዬ’ ጋይምሶ ጭል ማጻፍናር ጻፍምቴ” ኖ ጋይሴ።
28040500b6	ኮታ ቡሪ፥ ዳብሎስ የሱሰም ሳብካንታ ፋስምሳን የሩሳሌም ካተመናር ተይ አይሶ ሳብታ ጭል ኤሄንታ ዱረዘን ዎይስሶ፥
280406018e	“‘የስታ ዱትንከስ ሰይንካ ጎሄርዳክንግንዳ፥ “‘ኬታ ይንታ አንካ የስም ዳቅስተርንግንዳ ኖይንታ ክታይንችን የስካንታ ክዴ’ ጋይምሶ ጭል ማጻፍናር ጻፍምሳንካንታ የና ሳብታ ይንች የስ ማቼ፥ ኮዘንካ የስታ ማተን ጩላ ማስሶ ቡከልካ” ክትም ጋይሴ።
28040700a0	የሱሰረ “‘የስታ ጮይስ ሳብንም Ꮊይ ጰጬ’ ኩን ጋይምሶ ጭል ማጻፍናር ጉጅሶ ጻፍምቴ” ክደር ጋይሴ።
28040800dc	አናካርንከረ ዳብሎስ የሱሰም አንድር ጬክን ጋይሳን ገቼንዘን ዉችሶ፥ ኮ ፍጫሙደንታ ባንችንከስም ሙዳ ከታ ቦንቼንካ ክክን ክትም ሰችሶ፥
2804090082	“ይርክን ጋይሳዮ እካንታ የስ ጎስትሴ ኮም ሙዳ የስካንታ እምድቴ” ክደር ጋይሴ።
28040a00ee	ኮትᎺይካ የሱስ “‘የስታ ጮይስ ሳብንካንታ ጎስትካ፥ ክትም Ꮊክ ጎይንካ!’ ጋይምሶ ጭል ማጻፍናር ጻፍምሳንካንታ የና ሰጣን ጎተርካ!” ክትም ጋይሴ።
28040b0080	ኮታቡር ዳብሎስ የሱሰም ዛቅሴ፥ ክታይንችንከሰረ Ꮊድሰኮ ክትም አሌን አልሰኬ።
28040c006e	የሱስ ዮሀንሰታ ዞክርን ይ ኤሰርሳንደትካ ገሊላ ፍጨናር ማት አይሴ።
28040d00be	ናዝርት ካተመን ዛቅሶ፥ ዛብሎናርኬ ንፍታሌም ፍጨና ገሊላ ባሀርንታ ላማር ዶቅድን ቅፍርናሆም ካተመናር Ꮊድሶ ዶቅሴ።
28040e00a3	ኮነረ ማቻንዳ፥ ሳብዘንካ ኤስርሶ ኬዛቅባብ ኢስያሰካ ኩን ጋይምሶ ቤሪካ ኬዝምሳንዳ ቦድምድንግንዴ፥
28040f00de	“ባሃርናር ተይ አይድን ጎግንከ ዮርዳኖስ ሎቀንታ ፋማ፥ Ꮊፈርድባብከስ ዛብሎን ፍጫ፥ ንፍታሌም ፍጫ፥ አይሁድ ማታክን ገሊላ ኤድንከሰኬ፥
28041000ca	ኡማር ዶቅድባብ ዎርሰና አንድር ሳክመን ሰጀኬ፥ ደእታ ስፍት ስፍሳን ፍጨናር ዶቅድባብከስካንተረ ሳክመና ከትካንታ ዉተዴ።”
28041100a0	ኮታዘንከረ የድሶ የሱስ፥ “ጭላ ባንችምና ቅንችቴ ጎማ የንታ ፍክስን ዎይስከቴ!” ጋየሮ ሳባክ የጄ።
2804120148	የሱስ ገሊላ ባሀርንታ ላመካ ስገድንካ፥ ሞለን የድባብከስ ቃስተን እስመንኬ ካንስካ ከተረ ጴጥሮስ ጋይምስባብ ስምኦንኬ እስመን እንድራሰካ፥ ከታ ይንታ ሞለን የድን ሳከን ባሀርናር ከት ኦይድንካ ኖ ሰዴ።
28041300e8	የሱሰረ “ኮረቴ፥ እም ጎርስምከቴ፥ ሞለን የ የድንደትግንዳ ሙዳ ኤድንከስም ሳብታ ባንችምንካንታ የ ሳንስተርንግንዳ የም ይትቴ” ከትም ጋይሴ።
2804140068	ከተረ ሳነካ ይንታ ሞለን የድን ሳከን ዛቅሰኮ ክትም ጎርስምሰኬ።
2804150164	ኮታዘንከረ ኦሳ አይሶ፥ አብ ቃስተን እስመንኬ ካንስካ ዛብዶሰታ ይንችን ያይቆብምኬ ዮሀንስምካ ሰዴ። ከተረ ይንታ ባቤን ዛብዶሰከ ክክን ሎቀንዘንካ ቃልዝድን ጃልበንዘን ዶቅሰኮ ሞለን የድን ሳከን ከት ኡርዝድንካ ኤልሴ።
280416006d	ከተረ ሳነካ ጃልበንምኬ ይንታ ባቤንም ዛቅሰኮ የሱሰም ጎርስምሰኬ።
280417011b	የሱሰረ አይሁድንከስታ ምክስ ኤሄናር ኤስሰሮ ሳብታ ባንችምንታ ክላ ኬዛ ቃለን ሳባከሮ፥ Ꮊክ Ꮊክ ሰቅምከ Ꮊዝምካ የደርስባብ ኤድንከስም ፋቸሮ ገሊላ ፍጫ ሙደናር ኦንግድ Ꮊቄ።
280418016a	ክታ ይተና ሶርያ ፍጫ ሙደናር ኤስምሳንካንታ፥ ኤድንከስ Ꮊክ Ꮊክ ሰቅምከ Ꮊዝምካ ማጠርድባብከስም፥ ቱና አያንካ የደርስባብከስም፥ ባልት ዛቅድን ሰቅም ዶቅድባብከስምኬ ዎብንከስም ሙዳ ክደር ተይ Ꮊደኬ፥ ኖየረ ከትም ፋችሴ።
28041900dc	ገሊላ ፍጨናርንኬ ታማ ካተመናርንካ የሩሳሌማርንኬ፥ ይሁዳርንካ፥ ዮርዳኖስ ሎቀንታ ፋመንካ Ꮊድባብ በድ ኤድንከስ የሱሰም ጎርስምሰኬ።
28050100c8	የሱስ ይም ጎርስምድባብ በድ ዎርሰንም ይ ሰዳንደትካ፥ ገቼንዘን ዉትሶ ዶቅሴ፥ ክታ ካርንካ ጎርስምድባብከሰረ ክደር Ꮊደኬ።
280502002e	ኩን ጋየሮ ከትም ኤስስ የጄ፥
28050300ac	“ጭላ ባንችምና ከታ ማቻንኦል አያናር ዶቅንተካ፥ “ሳብም ዝገሮ ዎቸርድባብከስ ኬታ አንጅምስባብከሰኬ”።
2805040077	ሳብ ከትካንታ ዳቅንተን እምድንካንታ ሞርእድባብከስ አንጅምስባብከሰኬ።
2805050093	ይንታ ማተን ይርክሳ ይድባብከስ ሳብ ከትካንታ ግግሳን ፍጨን ተይድባብ አንጅምስባብከሰኬ።
2805060086	ጭለትችን ዳቀርድባብከስኬ ዎቸርድባብከስ ከት ምዝድንካንታ፥ አንጅምስባብከሰኬ።
280507008b	አብንከስካንታ አጨርድባብ አንጅምስባበኬ፥ Ꮊረታ ጋይሴ ሳብ ከትካንታ አጨርድንኦሌ።
2805080052	ቡዳ ጭለጭልንከስ አንጅምስባብኬ፥ ሳብም ሰተረኬ።
2805090064	ኤድምዝድባብከስ አንጅምስባብከሰኬ፥ ሳብታ ይንች ጋይምደኬ።
28050a0090	ጭለትቼንጎካ ዳየርምድባብከስ፥ ጭላ ባንችምና ከትካንታ ማቻንኦል፥ አንጅምስባብከሰኬ።
28050b00b3	“እጎካ ኤድንከስ የም የግድንከኬ የም ዳያ ኦንግድንካ፥ ዳቅልንም ማልትካ የንታዘን ኬዝድንካ አንጅምስባበቴ።
28050c013a	ጭላር የᎺብድን ናክና የካንታ አንድር ኮት ማቻን ኦል የም ጉርምሳ፥ አንድር ጉርመረ ይከቴ። ኤና የንታ እረረ Ꮊቅባብ ሳብዘንካ ኤሰርሶ ከዛቅባብከዘን ኮትኮግንዳ ዳይርምንከ ማጠንም የልስተኬ።”
28050d013d	ኮታዘንከረ የሱስ፥ “የታ ፍጨዘን ሶቅንግንደቴ፥ ኬዛርንካ ማቼ ሶቅ ሎቅክሳ ነገዴ ና ካርንካ Ꮊስግንዶክ ሎቅካንታ ማዳ? ኦስ ማል ኦይትምሶ ኤታ ዱትያር ሙክምዘንካ አብ ኦስ እር Ꮊራርካንተረ መያዬ።
28050e007a	“የታ ኮ ፍጫሙደንታ ሳክመቴ፥ ገቼዘን ዶቅድን ካተመና አችምካንታ ማዳክዬ።
28050f00cf	ኤድንከስ ዞጰን ዞጵስትዮ ኤሄናር ዶቅድባብ ሙደንካንታ ሳግድንግንዳ ጬክን ጋይሳን ካርዘን ዎደክ ዳት ዞጰን ዳሄታ ዋር ዎዳክዬ።
28051000da	ኮትኮግንደረ ኤድንከስ የንታ ኡርማ ፍክስን ሰድሰኮ ጭላር የንታ ባቤንም ከት ጋለድንግንዳ፥ የንታ ሳክመነረ ኤታ እሪ ሳካ” ኩን ጋይሴ።
2805110125	ጉጅሰረ የሱስ “ሙሴታ ህግንምኬ ሳብዘንካ ኤሰርሶ ኬዛቅባብከስታ ኤስስን ነግስካንታ እ Ꮊዳንዳ የንደር Ꮊይካማ፥ ከት ቦድምድንግንዳ ይስካንታ እታ Ꮊዳት ዳት ነክስካንታ Ꮊዳክቴ”።
28051200d9	ዶፈን የም ጋይድቴ፥ ጭለኬ ፍጨካ ስገተርን የለልታ ሙሴታ ህግና ሙዳ ቦድምተር ዳት ህግናርንካ ዋልቃ ፍደል አነረ ዋልቃ ጩት ዎራ ነጋዬ።
28051301d5	ኮካንታ ከትከ ክተንከሳርንካ መራ ማቻን ዋልቀን ዎራ ዉልእድባብኬ አብ ኤድንከሰረ ኮትኮግንዳ ከት ይድንግንዳ ኤስዝድን ኤድ ጭላ ባንቺምናር መራ ጋይምተሬ። ኬዛርንካ ማቼ ክተነከስም ሙዳ ቦድባብኬ አብ ኤድንከሰረ ኮትኮግንዳ ከት ቦድንግንዳ ኤስዝድባብ ኤድ ጭላ ባንችማር አንድር ጋይምተሬ።
2805140111	ኮካንታ የንታ ጭለትችና ሙሴታ ህግን ኤስዝድባብከዘንኬ ፈረሳውያን ኤድንከስታ ጭለትችንዘንካ ስጋክንዳ ማቼ ቦድሶ ጭላ ባንችማር የ አርዳክንደትም እታ የካንታ ኬዝድቴ።
28051500d7	“ኤና እሪ Ꮊቃን ኤድንከስካንታ ጋየርሳንደትም የታ ኤሰርተቴ፥ ኮነረ፥ ‘ኤድም Ꮊይ ደይሴ፥ ኤድም ደይስባብ ፋረድምዴ’ ጋይድንዴ”።
2805160180	እታ ማቼ የም ጋይድቴ፥ ይንታ እስመንዘን ዋጭድባብ ሙደና ፋረድምዴ፥ አነረ ይንታ እስመንም የና መይዳክባብ! ጋይሶ የግድባብ ሙደንዘን አይሁድንታ ቡጫ ጋልተንከስ ክታዘን ፋረተረኬ፥ ቱንይ! ጋይሶ የግድባብ ሙደና ድግዳክን ኖሄካ ፋረድምዴ።
28051700ef	“ኮካንታ የና የስታ እመንም ሳብታ ኤሄናር ካሰርድን ካርዘን ሳብካንታ የስ እምድን Ꮊይካ፥ የዘን ይምኤርስባብ እስመና ዶቅድንደትም የስም ገቀርሴ፥
28051800d8	የስታ እመንም ካስ ካርንታ እሪ ዎድሰዮ አይካ፥ እርምሳዮ ክትኮ የስታ እስመንካ ክክን ኤድምካ፥ ኮታ ቡር ማትሳዮ የስታ እመንም እምካ።
280519018d	የስታ ይምኤንባብ የስም ካሰስንካ ክትካ ክክን ፍርድ ኤሀር አያዶቅዳዮ ጎግዘን ሳነካ የስታ ይምኤእንባብካ ክክን ኤእካ። ኩን ማታክንዳ ማቼ የስታ ይምኤንባብ ዳይነንካንታ፥ ዳይነነረ ዞግድባብካንታ ስክስት እምሳንደታ ቡር ዞክና ኤሀር ዞከርዳዬ።
28051a00cf	ዶፈን የስም ጋይድቴ፥ የስታዘን ፋረጃን በእንታ ሳንትምን ናክት የስ በይስተርን የለልታ ቦድሰረ ኮታርንካ ዉዳካዬ” ኩን ጋይሴ።
28051b004f	“‘Ꮊይበልመቴ!’ ጋይምሳንደትም የታ ኤሰርተቴ።
28051c00b3	እታ ማቼ የም ጋይድቴ ‘ማነም ሰድሶ አንገርስባብ ሙደና፥ ኮትᎺይካ ይንታ ቡዳር ኮትካ ክክን ቤልምቴ’ ጋይድቴ።
