2800000005	Macho
28020100ef	Ba gɛ̀ boyi Jiso ntɛ wù Bɛtɛhɛm le a kimbe ki woŋ ki Judia le. Gɛ̀ bee kife kiyu le Hɛlod nyu Nfoŋ wu Judia. Fi kooshɛ lɛ babvufee bamu gɛ̀ bee bo ja woŋ wumu le kimbe kì juu saane yo le, bo to Yɛlusalɛm bo biide lɛ,
28020200a2	“Nfoŋ wu Bajuu wù ba boyi wɛɛ le faaŋ? Bee biide nɛ nje bee le be yɛŋ joŋ ye le a kimbe kì juu saane yo le, bee mo be ja bee too ki be yuusɛ wu.”
280203006f	Nfoŋ Hɛlod doo wu yu saaka wunɛ noo wu shiŋshɛ fitele fie, wu shiŋshɛ mo mu bamii ba Yɛlusalɛm bachii.
28020400c4	Wu tɛɛŋ bachiji kintanyɛ ba baaŋ baaŋ bachii bɛ bamii bachii ba duunyi banchi ba Nyo, bamii baa taashɛ. Wu biih bo le laa fɛ ba gɛ̀ bee ki ba boo Mbvusɛ wù Nyo gɛ̀ ka, le faane la?
2802050088	Bochvuu lɛ, “Ba gɛ̀ bee boo wu ntɛ wù Bɛtɛhɛm le wu kimbe ki Judia le. Finɛ fiɛɛ le no muh wu ntuŋ wu Nyo gɛ̀ saŋ lɛ,
28020600da	‘Wo wù Bɛtɛhɛm wu woŋ wu Juda le, keefɛ wo kwâji lɛ wo le fintɛ fì shige baaŋ woŋ wu Juda le gɛ, wo kêe lɛ muh lé wu gê wu bu ntɛ wunɛ le, wu lé wu gê wu sage bamii baŋ ba Ishwala.’”
2802070075	Nfoŋ Hɛlod mo wu tɛɛŋ tɛ babvufee baa ajiŋ ajiŋ wu biih ki wu yû a bo le chuule kife ki joŋ yiyu gɛ̀ bu.
28020800ed	No wu yu wu mo wu tuŋ bo Bɛtɛhɛm wu jɛmɛ lɛ, “Bɛŋ gɛ̂ɛŋ bɛŋ tâa bɛŋ gôoŋ mwa wuyu chuule. Bɛŋ doo bɛŋ gooŋ bɛŋ yɛŋ, bɛŋ kaasɛ bɛŋ to bɛŋ sɛ̂ɛŋ mɛne, wu lɛ taŋlo ŋgɛɛŋ tɛ n'yuusɛ wu.”
280209013a	Bamii bayu yu no Nfoŋ jɛmɛ noo, bo mo bo bu bo gɛɛne ŋgɛnɛ wuboo. Lɛ bo doo bo gɛɛŋ, fi kooshɛ lɛ joŋ yì bo gɛ̀ yɛŋ a kimbe kì juu saane yo yɛɛ le ka yi yɛnɛ yi tu yi jiɛnyi yi gɛɛne bo fwe yi duunyi bo je. Yi gɛɛŋ nɛ, yi gɛɛŋ yi bu fɛ mwa wuyu gɛ̀ bee fo, yi mo yi lɛɛŋ.
28020a0043	No bo yɛŋ joŋ yiyu le noo, bo yu njoŋ baaŋ, ye tu yi joŋe bo.
28020b017c	Bo gɛɛŋ bo lee yeh yi mwa gɛ̀ bee yu le, bo yɛŋ mwa bɛ bwee wù Mɛɛle le, bo mo bo gwe a mwa wuyu jii bo yuusɛ wu. No bo yuuse bo gwenyɛ bikɛɛ biboo bo bvusɛ mwɛɛ muboo mu n'yuusɛ nfoŋ, bo nya wu le. Mwɛɛ munɛ gɛ̀ bee kichwa ki bige kì yɛɛde, bɛ kfuu chi jiiŋ chimi ba tɛŋe lɛ flaŋkiŋsɛŋ, mo kfuu chi mɛɛ ma yefɛ mamu ba tɛŋe lɛ mɛɛl.
28020c0098	Nyo chiisɛ lo bo le a kifilɛ le lɛ keefɛ bo ka bo tu jiŋ bo gɛɛŋ bo yɛŋ Nfoŋ Hɛlod le gɛ. Bo mo bo tu jiŋ woŋ wuboo le a je yimi le yeye.
28020d0153	No babvufee baa gɛ̀ ja wa bo gɛɛŋ, fi kooshɛ lɛ nchɛndaa wu Tada gɛ̀ ja wu to fɛ Yosɛf le a kifilɛ le wu jɛmɛ wu le lɛ, “Ja we wo jo mwa bɛ bwee bena bo fɛɛ bɛŋ gɛɛŋ woŋ wu Ijib le, bɛŋ nyume yo gɛɛŋ bu kife ki nle ŋge ndu lɛ bɛŋ kaasɛ. Njɛme nɛ nje Nfoŋ Hɛlod goone je ki wu yûuyɛ mwa wunɛ.”
28020e0044	Yosɛf mo wu ja we, wu jo mwa bɛ bwee antaŋ bo ja bo gɛɛŋ Ijib,
28020f00d1	bo tu bo nyu yo gɛɛŋ bu kife ki Nfoŋ Hɛlod gɛ̀ lɛsɛ le. Fi gɛ̀ kooshɛ noo ki fi gê fi to fi kojɛ no Nyo gɛ̀ jɛmɛ jwe wu muh tuŋ we le lɛ, “Nle ntɛɛŋ mwa yaŋ wu bu woŋ wu Ijib le.”
280210015d	Hɛlod gɛ̀ doo wu yɛŋ lɛ babvufee baa le bo lɛɛ bɛ wu, fi fuuŋsɛ wu baaŋ. Wu mo wu tuŋ bamii lɛ bo gɛɛŋ Bɛtɛhɛm mo bimbe bi mbebe yo le bichii, bo yuuyɛ booŋ ba bilɛŋsɛ ba le kɛge biluŋ bifɛɛ tuu jiŋ. Wu gɛ̀ nya biluŋ binɛ wu bii no wu gɛ̀ bilɛ babvufee baa le wu yu chuule kife kì bo gɛ̀ yɛŋ joŋ yɛɛ le.
280211006e	Bo gɛɛŋ bo yuuyɛ booŋ banɛ noo, fi mo fi kojɛ no muh wu ntuŋ wu Nyo wù Yɛlimia gɛ̀ jɛmɛ wa lɛ,
28021200aa	“Bo le bo yu kitada ntɛ wù Lama le, muh jaŋe kwe, wu beede wu fuude ye. Le Lashɛ wu beede booŋ be. Bo chiise wu bo chiise sɛŋ, nje booŋ be baaŋ gɛ yu gɛ.”
280213008e	Nfoŋ Hɛlod gɛ̀ doo wu lɛsɛ, fi kooshɛ lɛ Nchɛndaa wu Tada gɛ̀ bu fɛ Yosɛf le a kifilɛ le woŋ wù Ijib le, wu jɛmɛ wu le lɛ,
280214009d	“Ja we, wo jo mwa bɛ bwee bena bo kaasɛ bɛŋ tu jiŋ woŋ wù Ishwala le, nje bo baa bò gɛ̀ goone ki bo jo kinche ki mwa wunɛ le bo kweeyɛ wa.”
2802150050	Noo, Yosɛf mo wu ja we wu jo mwa bɛ bwee bɛ bo tuu jiŋ woŋ wù Ishwala le.
2802160111	Geenɛ, wu gɛ̀ doo wu to, wu yu lɛ mwa Nfoŋ Hɛlod wù Akɛliu le wu ji kinta ki chiji Judia, wu tu wu sage, wu mo wu faŋ ki wu gɛ̂ɛŋ yo. Bo ka bo kajɛ wu a kifilɛ le lɛ keefɛ wu gɛ̂ɛŋ yo gɛ. Wu mo wu bɛɛŋ wu gɛɛŋ nyu kimbe ki woŋ kì Galalee le,
28021700bd	wu gɛɛŋ wu tu wu chee ntɛ wu ba tɛŋe lɛ Nasalɛ le. Fi gɛ̀ kooshi noo ki fi kojɛ no muh wu ntuŋ wu Nyo gɛ̀ jɛmɛ wa lɛ, “Bo lé bo gê bo tɛŋe wu lɛ muh wu Nasalɛ.”
280301007c	Gɛ̀ bee kife kɛɛ le, Joŋ Nlesɛajoo ja wu bunɛ wu gɛɛŋ kwa kimbe ki woŋ kì Judia le wu tu wu feeji bamii le lɛ,
280302004a	“Bɛŋ kusɛ muntele mwɛna, nje bvunfoŋ bvù fɛwe le wa mbebe le.”
28030300c3	Joŋ wunɛ le muh wù Yosaya wù muh wu ntuŋ wu Nyo gɛ̀ jɛme kune wu sege wu gɛ̀ jɛmɛ lɛ, “Jɛ yi muh jaŋe nchvuuŋ lɛ, ‘Ba sêesɛ je yi Tada, ba nâjɛ yi nyû chaaŋ.’”
28030400c6	Joŋ gɛ̀ jiide njú yì ba kɛnyɛ bɛ yvú yi nyaŋ yimi yì ba tɛŋe lɛ kamɛɛ, wu kaane kicha chiŋ ba kɛnyɛ bɛ je yi nyaŋ, mwɛɛ mwe munjile gɛ̀ bee chuma bɛ bvutu bvu nchvuuŋ.
2803050094	No wu gɛ̀ feeji noo, bamii tu bo bude Yɛlusalɛm bɛ bantɛ le bachii ba Judia mo bimbe bi mbebe Joo yì Jodaŋ le bichii, bo gɛɛne fɛ wu le.
2803060053	No bo gɛɛne noo bo sɛŋe bimbefɛ biboo, wu mo wu leese bo a Joo yì Jodaŋ le.
2803070116	Geenɛ, wu gɛ̀ doo wu yɛŋ Bafalashii bɛ Basadushii bamu le wesee bo too lɛ wu leesɛ bo a joo, wu jɛmɛ bo le lɛ, “Kiŋgogɛ ki yó lɛ, teefe yɛɛŋ bɛŋ lɛ bɛŋ lêge shɛ́ŋ yi Nyo yì bɛɛne wu yì wu lé wu gê wu dûnyɛ bɛŋ le, fɛ bɛŋ too nɛ?
280308004a	Bɛŋ gêe mwɛɛ mù duunyi lɛ bɛŋ le bɛŋ kusɛ wa muntele mwɛna.
280309009f	Keefɛ bɛŋ mo bɛŋ dûu gɛh fɛ bikwɛɛ biɛna le lɛ Ablaham le chiji wene gɛ. Nsɛŋe bɛŋ le lɛ taŋlo Nyo fiisɛ ata kanɛ wo tu booŋ ba Ablaham.
28030a00ba	Bɛŋ kêe lɛ ba le ba gɛɛ wa tɛmɛ fɛ binyi bi bite le. Kite kichii kì baaŋ yuŋ gɛ muntaŋ mù njoŋe gɛ, tu ba lé ba gwô nɛ ba lee ba gɛɛŋ yi gɛŋ le, ba toŋ lo.
28030b00e4	Nleese bɛŋ a joo nje bɛŋ le bɛŋ kusɛ wa muntele mwɛna. Geenɛ muh wù too a mɛ jiŋ kuge wu fede mɛ. Jé ye, gɛ ŋkooji ki ntuu gɛ. Wu lé wu gê wu leese fie bɛŋ nyu chiaaŋ yi Kiyo ki Yuude le, mo yi ŋgu le.
28030c00c1	Wu kɛme fiɛɛ fie abo fì wu fɛɛde agiŋ yu, wu lé wu yɛ̂ɛsɛ fɛ wu fɛ̂ɛde, wu bânyɛ agiŋ wu gɛ̂ɛ a ŋwaŋ le, wu mo wu kôo munyi wu toŋ bɛ ŋgu wu fiee wu jime gɛ.”
28030d008b	No Joŋ gɛ̀ leese bamii a joo noo, Jiso mo wu ja kimbe ki woŋ kì Galalee le wu to fɛ Joo yì Jodaŋ le lɛ Joŋ leesɛ tɛ wu a joo.
28030e0078	Geenɛ Joŋ tu wu faŋe wu duu lɛ, “Le wo wù be kɛme ki wo lêesɛ mɛ a joo, wo katu too fɛ mɛne nɛ nɛɛ?”
28030f00bc	Jiso chvuu wu le lɛ, “Chînɛ fi nyume noo mɛɛse! Le yi yinɛ je le yì besa wo lé be gê fiɛɛ fichii fi nyu chaaŋ a Nyo jii.” Noo, Joŋ mo wu bɛɛŋ, wu leesɛ Jiso a joo.
2803100068	Gɛh no Jiso gɛ̀ bude a joo, kibvulɛ gwenyɛ ye, Kiyo ki Nyo shii ki to ye ye le fiɛɛnɛ kibɛmbɛ.
2803110073	Fi kooshɛ lɛ, jɛ gɛ̀ jɛmɛ fɛwe lɛ, “Wunɛ le Mwa yaŋ. Wu le fitele fiaŋ. N'yuge njoŋ bɛ wu baaŋ.”
280401004b	Kiyo ki Yuude mo ki ja ki jo Jiso ki gɛɛŋ bɛ wu kwa lɛ debele moŋ wu.
2804020077	Wu gɛɛŋ wù nyu yo wu shee wu too wu chee, wu jii gɛ fiɛɛ gɛ, yi aju le mbaanyɛ. Ajiŋ ayu jɛŋ ja yi yuu wu.
2804030074	Wu wɛɛ wù mone bamii mo wu to wu jɛmɛ wu le lɛ, “Wo nɛ le Mwa Nyo, wo dû ata kanɛ tu bantu ba blɛd.”
2804040099	Jiso chvuu wu le lɛ, “Ba le ba saŋ lɛ, ‘Gɛ muh chee gɛh nje mwɛɛ munjile maa gɛ. Muh chee tɛ nje jɛ yichii yì bude jwe wù Nyo le.’”
280405007c	Noo, Sataŋ mo wu jo wu, wu gɛɛŋ bɛ wu a kinlaantɛŋ kì Yɛlusalɛm le, wu leesɛ wu fɛ kigo ki yeh yi kintanyɛ le,
28040600fe	wu jɛmɛ wu le lɛ, “Wo nɛ le Mwa Nyo, wo selɛ fɛkuu, nje fi le ba saŋ lɛ, ‘Nyo lé wu dû banchɛndaa be le lɛ bo chîɛɛŋ wo.’ Fi ka nyu ba saŋ lɛ, ‘Bo lé bo gê bo kaŋ lo wo, lɛ keefɛ wo kfuuŋ kikaa yi tɛdɛ le gɛ.’”
280407005a	Jiso chvuu wu le lɛ “Ba le ba saŋ lɛ, ‘Keefɛ wo mône Tada wù Nyo wo gɛ.’”
28040800b3	Debele ka wu jo Jiso fo, wu gɛɛŋ nyu yi kikwɛɛ ki mbegɛ wumu wu ndefe fɛwe wesee le, wu mo wu chunyɛ bituŋ bi yi kikwɛɛ ki nshɛŋ le bichii bɛ bvukugɛ bvuyu bvuchii.
2804090084	No wu chunyi noo wu mo wu jɛmɛ lɛ, “Nlé nnyâ mwɛɛ munɛ munchii wo le, fɛ wo nɛ le wo gwe a mɛ jii wo ŋgvuuŋ mɛ.”
28040a0083	Jiso jɛmɛ wu le lɛ, “Gɛnɛ yaga Sataŋ! Ba le ba saŋ lɛ, ‘Wo ŋgvûune Tada wù Nyo wo, wo lɛ̂ne nyu wu le maa.’”
28040b0072	Noo debele mo wu chinɛ Jiso le, wu gɛɛŋ. Fi kooshɛ lɛ banchɛndaa ba Nyo gɛ̀ ja bo to bo jiiŋe fɛ wu le.
28040c0089	Jiso gɛ̀ ja wu yu lɛ ba le ba koo Joŋ Nlesɛajoo ba leesɛ wu yeh yi ncha le, wu mo wu ja wu kaasɛ wu tu jiŋ kimbe kì Galalee le.
28040d00cd	Wu gɛɛŋ wu bu Nasalɛ, wu ja yo wu gɛɛŋ wu tu wu chee a kilaantɛŋ kì Kafanahum le. Kilaantɛŋ kinɛ gɛ̀ bee mbebe Mamasi wù Galalee le mo mbebe bimbe bi bamii ba Sɛbuluŋ bɛ ba Naftali le.
28040e0062	Finɛ fiɛɛ gɛ̀ kooshi nɛ lɛ fi kojɛ no muh wu ntuŋ wu Nyo wù Yosaya gɛ̀ jɛmɛ wa lɛ,
28040f0093	“Kimbe kì Sɛbuluŋ bɛ kì Naftali, bì le mbebe mamasi le Joo yì Jodaŋ le wuŋ kwege, nshɛŋ yi Galalee yì bamii ba le gɛ Bajuu gɛ,
28041000a2	bamii ba chi shee bo chee kijibɛ le, le bo yɛŋ wa n'yuu wù baaŋ le. Juu le chi saaŋ wa fɛ bamii banɛ, ba chi shee bo chee gwɛŋ wu kijibɛ ki kwe le.”
2804110090	Kɛge kife kɛɛ le, Jiso mo wu kɛ wu feeji bamii le wu jɛme lɛ, “Bɛŋ kûsɛ muntele mwɛna, nje bvunfoŋ bvù fɛwe le wa mbebe le!”
2804120109	Jiso gɛ̀ ja wu jiɛnyi mbebe Mamasi wù Galalee le, wu yɛŋ bamii bamu le bafɛɛ, nyu muh bɛ mwa bwee. Bamii banɛ gɛ̀ bee Samoŋ wù ba gɛ̀ tɛŋe lɛ Bita, bɛ mwa bwee wù Andulu, bo nooŋ gii a mamasi le, no lɛme chiboo gɛ̀ bee bíɛŋ yi kolɛ.
280413005d	Jiso jɛmɛ bo le lɛ, “Bɛŋ bîi mɛne nlé nfɛ̂ bɛŋ bɛŋ koode wa nyume bamii!”
2804140032	Kimimia bo mo bo chinɛ gii yiboo le bo bii wu le.
2804150107	Jiso gɛ̀ doo wu ja fo wu kɛŋsɛ, wu ka wu yɛŋ bamii bamu le bafɛɛ nyu gɛh muh bɛ mwa bwee. Bamii banɛ gɛ̀ bee Jɛm bɛ mwa bwee wù Joŋ ba gɛ̀ bee booŋ ba Jɛbɛdi, bo nyu a ŋguh le bɛ chiji bo wù Jɛbɛdi bo chvuushi gii. Wu tɛɛŋ tɛ bo.
280416003c	Kimimia bo mo bo chinɛ ŋguh le bɛ chiji bo, bo bii wu le.
28041700cb	Jiso gɛ̀ ja wu jiɛnyi kimbe kì Galalee le kichii wu yɛyi bamii yéh yi buunɛ yiboo le wu feeji tɛ saaka wù joŋe kune bvunfoŋ bvu Nyo. Wu ka fɛde binchɛŋ bichii mo goŋ yichii yi bamii le.
2804180127	Noo, saaka kune wu saaŋe wu gɛɛŋ woŋ wù Silia le wuchii. Bamii mo bo too bɛ bamii bachii ba gɛ̀ chɛne mo ba gɛ̀ bee yi manluŋ le fɛ wu le, kɛnɛ le ba banchɛndaa ba debele njiŋse bɛ bo, kɛnɛ bo gwee kika, kɛnɛ ba kwe wa kimbe kimimia. Bo too bɛ bo noo wu fɛde bo bachii.
280419010e	Mo faaŋ fɛ wu gɛ̀ gɛɛne fo binchvu bi bamii bì baaŋ bi kfuune bi bii a wu jiŋ. Bamii banɛ gɛ̀ jade kimbe ki woŋ kì Galalee le, bamu jade a Bilaantɛŋ bi Yuufe le, bamu Yɛlusalɛm mo bantɛ ba Judia ba bamu le. Bamu jade a Joo yì Jodaŋ le wuŋ kwege.
2805010094	Jiso gɛ̀ doo wu yɛŋ kinchvu ki bamii le noo, wu mo wu ja wu bɛɛŋ wu gɛɛŋ wu shii yi mbegɛ le, booŋ be ba ŋgoo banyɛ bo to mbebe ye le.
2805020024	Wu mo wu kɛ wu yɛyi bo wu duu lɛ,
2805030070	“Kinlaŋye kì baaŋ le fɛ bamii ba kee lɛ bo fuude yi kimbe ki Nyo le, nje bvunfoŋ bvù fɛwe le bvuboo.
2805040052	Kinlaŋye kì baaŋ le fɛ bamii ba beede le, nje Nyo lé wu gê wu chiisɛ bo.
280505006f	Kinlaŋye kì baaŋ le fɛ bamii ba jode bikwɛɛ biboo fɛkuu, nje bo lé bo gê bo ji kikwɛɛ ki nshɛŋ.
2805060079	Kinlaŋye kì baaŋ le fɛ bamii ba jɛŋ yuu bo le, kindoŋ yune bo kune kinche ki chaaŋ, nje Nyo lé wu gê bo fuu.
280507006a	Kinlaŋye kì baaŋ le fɛ bamii ba koode yii fɛ bamu le, nje Nyo lé wu gê wu koo tɛ yii fɛ bo le.
280508006c	Kinlaŋye kì baaŋ le fɛ bamii ba kɛme muntele mu yuude le, nje ba lé ba tɛ̂ŋe bo lɛ booŋ ba Nyo.
2805090062	Kinlaŋye kì baaŋ le fɛ bamii ba too bɛ nyiɛgee le nje Nyo lé wu tɛ̂ŋe bo lɛ booŋ be.
28050a007f	Kinlaŋye kì baaŋ le fɛ bamii ba bo boone bikaa a bo jiŋ nje bo chee kinche ki chaaŋ, nje bvunfoŋ bvù fɛwe le bvuboo.
28050b00b1	Kinlaŋye kì baaŋ le kena, sege bamii naanyi bɛŋ, bo boone bikaa a bɛŋ jiŋ, bo jɛme kfuu chi mwɛɛ mù mbefe munchii kune bɛŋ yi achiji le, nje bɛŋ le bamii baŋ.
28050c00cf	Fi doo fi kooshi noo bɛŋ mo bɛŋ lâŋeye, nje maajɛ wene wu kuge le woŋ wù fɛwe le. Bɛŋ kêe lɛ, le gɛh noo no bamii gɛ̀ boone bikaa ajiŋ a bamii ba ntuŋ wu Nyo ba gɛ̀ to fwe a bɛŋ le.
28050d00e8	Le bɛŋ ba le ŋka yi yi nshɛŋ yinɛ le. Geenɛ ŋka ja lo yi chii, ba ka ba ge nɛɛ bɛ yi fɛ yi ka yi kaasɛ yi jɛŋɛ? Gɛ taŋlo ba ka ba ge fiɛɛ fì joŋe bɛ yi gɛ fede lɛ ba noŋ lo bamii fede bo jiɛnyi bɛ bikaa.
28050e006c	Le bɛŋ tɛ ba le n'yuu wu yi woŋ kfunɛ le. Gɛ kilaantɛŋ kì ba jonɛ yi mbegɛ le, to ki nyiile gɛ.
28050f00aa	Gɛ muh to wu chu tɛ kin'yesɛ wu ka wu jo ŋkaa wu kfuusɛ yu gɛ. Wu to wu tome nyume yi fiɛɛ fì ba toome kin'yesɛ fo, ki mo ki yɛ̂ne muh wuchii wù le yeh le.
28051000a2	Le gɛh tɛ yɛɛŋyɛɛŋ no n'yuu wene kɛme ki wu bâaŋ a bamii jii, lɛ bo yɛde lɛme chena chì joŋe le bo nyaa mbɛɛŋsɛ Chiji wene wù le fɛwe le.
28051100c2	Keefɛ bɛŋ kwâji lɛ nto ki nchîijɛ mwɛɛ mù le a Ŋwa wu banchi ba Musɛ le gɛ, mo mù le a Baŋwa bamii ba ntuŋ wu Nyo le gɛ. Nto ki ŋge mu kojɛ lo. Gɛ nto ki nchiijɛ lo gɛ.
28051200ca	Nsɛŋe bɛŋ nchiɛɛŋ lɛ gɛɛŋ bu no kibvulɛ bɛ nshɛŋ lé ki tô ki ka, gɛ fijise fi ŋwa a Ŋwa wu banchi le mo fi shige nɛɛ, nyume fi yu fi fe kuu njɛ fi kojɛ no fi chuunyi sɛŋ gɛ.
2805130199	Fi mo fi nyu lɛ nɛ le yɛɛŋ wù bwɛɛdɛ nchi wumu a banchi banɛ le, wuwɛɛ nchi mo nyu wù shige nɛɛ lɛ, wu tu wu yɛyi bamii lɛ bo bwɛ̂ɛyi tɛ noo, tu mwɛdɛ lé wu gê wù nyu muh wù shige antɛnɛɛ a bvunfoŋ bvù fɛwe. Geenɛ muh wù gɛɛde banchi banɛ, wu ka yɛyi tɛ bamii lɛ bo gɛ̂ɛde, tu mwɛdɛ lé wu gê wù nyu muh wù baaŋ antɛnɛɛ a bvunfoŋ bvù fɛwe.
28051400b4	Noo, nsɛŋe bɛŋ le lɛ, nɛ gee chena chì chaaŋ fede gɛ chi bamii ba duunyi banchi ba Nyo gɛ, mo chi Bafalashii lɛ, bɛŋ gɛ yu bɛŋ lee fɛ bvunfoŋ bvù fɛwe le gɛ.
280515007b	Bɛŋ gɛ̀ yu wa ba duu bamii ba fweele le lɛ, ‘Keefɛ wo yûuyɛ muh gɛ! Nɛ muh yuuyi lo muh, tu wù kɛme nsa.’
280516010f	Geenɛ njɛme bɛŋ le lɛ muh wuchii wù toonyi shɛ́ŋ bɛ mwa bwee, lé wù kɛ̂me tɛ nsa. Muh naŋ mwa bwee, wu kêe lɛ wu lé wu gê wu lɛɛŋ fwe a bamii ba sage bansa. Muh tɛŋe mwa bwee lɛ, ‘Kiyuŋ’ wu kee lɛ wu lé wu lêe ŋgu wù baaŋ le.
280517007a	Fi mo fi nyu lɛ, wo nɛ lɛme ki wo nyâ nnya yo fɛ kitana ki kintanyɛ le, wo kwajɛ lɛ mwa bwoo kɛme wo fɛ shɛŋ,
