0100000006	1 Mose
01011a00f5	Und Gott sprach: Lasset uns den Menschen machen in unser Bild, nach unserer Ähnlichkeit, und laßt sie beherrschen die Fische des Meeres und das Gevögel der Himmel und das Vieh und die ganze Erde und alles Kriechtier, das auf der Erde kriecht.
01011b006f	Und Gott schuf den Menschen in Sein Bild, in das Bild Gottes schuf Er ihn, männlich und weiblich schuf Er sie.
01011c00f1	Und Gott segnete sie, und Gott sprach zu ihnen: Seid fruchtbar und mehret euch und füllet die Erde und machet sie euch untertan und beherrschet den Fisch des Meeres und das Gevögel der Himmel und alles wilde Tier, das auf der Erde kriecht.
01011d00c3	Und Gott sprach: Siehe, Ich gebe euch alles Kraut, das Samen säet, auf den Angesichten der ganzen Erde, und jeglichen Baum, an dem Frucht ist; der Baum, der die Samen säet, sei euch zur Speise.
01011e00b4	Und allem Getier der Erde und allem Gevögel des Himmels, und allem, das auf Erden kriecht, in dem eine lebendige Seele ist, gebe Ich alles grüne Kraut zur Speise. Und es ward so.
01011f007a	Und Gott sah alles, was Er gemacht hatte, und siehe, es war sehr gut. Und es war Abend und es war Morgen, der sechste Tag.
0102010041	Und es wurden vollendet die Himmel und die Erde und all ihr Heer.
0102020083	Und Gott vollendete am siebenten Tage Sein Werk, das Er gemacht, und feierte am siebenten Tag von all Seinem Werke, das Er gemacht.
0102030082	Und Gott segnete den siebenten Tag und heiligte ihn, weil Er an ihm feierte von all Seinem Werk, das Gott geschaffen es zu machen.
0102040072	Dies sind die Zeugungen der Himmel und der Erde. Als Er sie schuf am Tage, da Jehovah Gott Erde und Himmel machte,
01020500ca	Und kein Gesträuch des Feldes war noch auf Erden, und kein Kraut des Feldes sproßte noch, denn Jehovah Gott hatte noch nicht auf Erden regnen lassen, und noch war kein Mensch da, den Boden zu bebauen.
010206005a	Und Er ließ einen Dunst aufgehen von der Erde und bewässerte alle Angesichte des Bodens.
010207008b	Und Jehovah Gott bildete den Menschen, Staub vom Boden und blies ihm des Lebens Odem in die Nase; und der Mensch ward zur lebendigen Seele.
010208006f	Und Jehovah Gott pflanzte in Eden vom Osten einen Garten und setzte darein den Menschen, den Er gebildet hatte.
01020900c8	Und Jehovah Gott ließ aus dem Boden sprossen allerlei Bäume lustig anzusehen und gut zur Speise; und den Baum der Leben in der Mitte des Gartens und den Baum der Erkenntnis des Guten und des Bösen.
01020a0074	Und von Eden ging aus ein Fluß, den Garten zu bewässern, und von da trennte er sich und ward zu vier Hauptwassern.
01020b0050	Der Name des einen ist Pischon, der umgibt das ganze Land Chavilah, wo Gold ist.
01020c0052	Und das Gold desselbigen Landes ist gut. Daselbst ist Bdellium und der Stein Onyx.
01020d004d	Und der Name des zweiten Flusses ist Gichon. Der umgibt das ganze Land Kusch.
01020e0076	Und der Name des dritten Flusses ist Hiddekel. Der geht östlich nach Aschur; und der vierte Fluß der ist der Phrath.
01020f006e	Und Jehovah Gott nahm den Menschen und setzte ihn nieder in dem Garten Eden, ihn zu bebauen und ihn zu hüten.
0102100068	Und Jehovah Gott gebot über ihn dem Menschen und sprach: Von jeglichem Baume im Garten darfst du essen.
0102110096	Aber vom Baume der Erkenntnis des Guten und des Bösen, von dem sollst du nicht essen; denn welches Tages du davon issest, wirst du des Todes sterben.
010212007e	Und Jehovah Gott sprach: Es ist nicht gut, daß der Mensch allein sei, Ich will ihm einen Beistand machen der wie bei ihm sei.
01021300f6	Und Jehovah Gott bildete aus dem Boden jegliches Getier des Feldes und alles Gevögel der Himmel und brachte sie zum Menschen, auf daß Er sähe, wie er sie nennete; und alles, was sie der Mensch nennete, die lebendige Seele, das war dessen Name.
01021400a8	Und der Mensch nannte mit Namen alles Vieh und das Gevögel der Himmel und alles Wild des Feldes, aber für den Menschen fand Er keinen Beistand, der wie bei ihm wäre.
010215009f	Und Jehovah Gott ließ einen tiefen Schlaf auf den Menschen fallen, daß er schlief, und Er nahm eine von seinen Rippen und schloß Fleisch zu an deren Stelle.
0102160071	Und Jehovah baute die Rippe, die Er vom Menschen genommen hatte, zu einem Weibe, und brachte sie zu dem Menschen.
0102170098	Und der Mensch sprach: Das ist einmal Bein von meinen Beinen, und Fleisch von meinem Fleisch. Sie soll Männin heißen; denn vom Manne ist sie genommen.
0102180077	Darum wird der Mann seinen Vater und seine Mutter verlassen und seinem Weibe anhangen, und sie werden ein Fleisch sein.
010219004e	Und sie waren beide nackt, der Mensch und sein Weib, und schämten sich nicht.
01030100b5	Und die Schlange war listiger als alles Wild des Feldes, das Jehovah Gott gemacht hatte, und sprach zu dem Weibe: Hat denn Gott auch gesagt: Esset nicht von jedem Baume des Gartens?
010302005a	Und das Weib sprach zur Schlange: Von der Frucht des Baumes des Gartens dürfen wir essen;
01030300a1	Aber von der Frucht des Baumes, der in der Mitte des Gartens ist, sprach Gott, ihr sollt nicht von ihr essen und sie nicht berühren, auf daß ihr nicht sterbet.
0103040046	Und die Schlange sprach zum Weibe: Ihr werdet nicht des Todes sterben;
0103050083	Denn Gott weiß, daß welches Tages ihr davon esset, eure Augen sich auftun, und ihr seid wie Gott und wisset was Gutes und Böses.
01030600d1	Und das Weib sah, daß der Baum gut zu essen und daß er ein Gelüste für die Augen und begehrenswert sei, klug zu machen. Und sie nahm von seiner Frucht und aß, und gab auch ihrem Manne bei ihr, und er aß.
010307008f	Und beider Augen wurden aufgetan und sie erkannten, daß sie nackt wären, und sie hefteten Feigenblätter zusammen und machten sich Schürzen.
01030800cc	Und sie hörten die Stimme Jehovah Gottes, im Garten sich ergehend in der Kühlung des Tages, und der Mann und sein Weib versteckten sich vor dem Angesichte Jehovah Gottes inmitten des Baumes des Gartens.
0103090044	Und Jehovah Gott rief dem Menschen zu und sprach zu ihm: Wo bist du?
01030a006e	Und er sprach: Ich hörte Deine Stimme im Garten und fürchtete mich, weil ich nackt bin, und versteckte mich.
01030b007c	Und Er sprach: Wer sagte dir an, daß du nackt seiest? Hast du von dem Baume gegessen, von dem Ich dir gebot nicht zu essen?
01030c0065	Und der Mensch sprach: Das Weib, daß Du mir beigegeben hast, die gab mir von dem Baume, und ich aß.
01030d0080	Und Jehovah Gott sprach zu dem Weibe: Warum hast du das getan? Und das Weib sprach: Die Schlange hat mich verführt und ich aß.
01030e00cb	Und Jehovah Gott sprach zu der Schlange: Weil du das getan hast, bist du verflucht vor allem Vieh und vor allem Wild des Feldes. Auf deinem Bauche sollst du gehen und Staub essen alle Tage deines Lebens.
01030f00bd	Und Feindschaft will Ich setzen zwischen dir und zwischen dem Weibe, und zwischen deinem Samen und zwischen ihrem Samen. Er soll dir den Kopf zertreten und du wirst ihm die Verse verletzen.
01031000cc	Zum Weibe sprach Er: Deine Schmerzen will Ich dir vielfach vermehren und deine Empfängnis. Mit Schmerzen sollst du Söhne gebären. Nach deinem Manne sollst du verlangen und er soll herrschen über dich.
010311010e	Und zum Menschen sprach Er: Weil du auf die Stimme deines Weibes gehört, und von dem Baume gegessen hast, von dem Ich dir geboten und gesagt: du sollst nicht davon essen! ist verflucht der Boden wegen deiner. Mit Schmerzen sollst du davon essen alle Tage deines Lebens.
0103120054	Und Dorn und Distel läßt er dir sprossen und das Kraut des Feldes sollst du essen.
01031300a8	Im Schweiß deines Antlitzes sollst du Brot essen, bis du zurück zum Boden kehrst, weil von ihm du genommen bist; denn Staub bist du, und zum Staube kehrst du zurück.
0103140064	Und der Mensch nannte den Namen seines Weibes Chavah darum daß sie die Mutter alles Lebendigen ist.
010315005b	Und Jehovah Gott machte dem Menschen und seinem Weibe Röcke von Fell und zog sie ihnen an.
01031600c8	Und Jehovah Gott sprach: Siehe, der Mensch war wie einer von Uns, wissend Gutes und Böses; und nun, daß er nicht seine Hand ausstrecke und nehme auch vom Baume des Lebens und esse und lebe ewiglich.
0103170064	Und Jehovah Gott sandte ihn fort aus dem Garten Eden, den Boden zu bebauen, aus dem er genommen war.
01031800b1	Und Er trieb den Menschen fort, und ließ vom Osten an dem Garten Eden die Cherube wohnen und die Flamme des sich wendenden Schwertes, um den Weg zum Baume des Lebens zu hüten.
010401007f	Und der Mensch erkannte sein Weib Chavah und sie empfing und gebar Kain, und sprach: Ich habe einen Mann erworben, den Jehovah.
010402007e	Und sie fuhr fort und gebar seinen Bruder Habel; und Habel ward ein Hirte des Kleinviehs, und Kain war ein Bebauer des Bodens.
010403005f	Und es geschah am Ende der Tage, daß Kain von der Frucht des Bodens Jehovah ein Opfer brachte.
010404008a	Und auch Habel brachte dar von den Erstlingen seines Kleinviehs und von ihrem Fette; und Jehovah schaute hin auf Habel und auf sein Opfer,
010405006b	Aber auf Kain und sein Opfer schaute Er nicht hin. Und Kain entbrannte sehr und sein Angesicht senkte sich.
0104060055	Und Jehovah sprach zu Kain: Warum entbrennst du, und warum senkt sich dein Angesicht?
01040700af	Ist es nicht also? Wenn du Gutes tust so ist Erhebung. Wenn du aber nicht Gutes tust, lagert die Sünde vor der Tür, und verlanget nach dir aber du sollst darüber herrschen.
0104080096	Und Kain sprach mit seinem Bruder Habel. Und es geschah, als sie auf dem Felde waren, daß Kain wider seinen Bruder Habel aufstand und ihn erwürgete.
0104090077	Und Jehovah sprach zu Kain: Wo ist dein Bruder Habel? Und er sprach: Ich weiß es nicht. Bin ich meines Bruders Hüter?
01040a0062	Und Er sprach: Was hast du getan? Die Stimme von deines Bruders Blut schreit zu Mir von dem Boden.
01040b0081	Und nun - verflucht seist du von dem Boden der seinen Mund hat aufgesperrt, um das Blut deines Bruders von deiner Hand zu nehmen.
01040c0071	Wenn du den Boden bebaust gibt er dir seine Kraft nicht mehr. Du wirst umherwandern und flüchtig sein auf Erden!
01040d0061	Und Kain sprach zu Jehovah: Zu groß ist meine Missetat, als daß sie könnte weggenommen werden.
01040e00d0	Siehe! Du treibst mich heute von diesem Boden fort, und vor Deinem Angesichte muß ich mich verbergen, und wandern und flüchtig sein auf Erden. Und wird geschehen, daß jeder, der mich findet, mich erwürgt.
01040f00b4	Aber Jehovah sprach zu ihm: Fürwahr, wer Kain erwürgt, das soll siebenfach gerächt werden. Und Jehovah setzte ein Zeichen an Kain, auf daß wer ihn fände, ihn nicht erschlüge.
0104100056	Und Kain ging hinaus vom Angesicht Jehovahs und wohnte im Lande Nod im Osten von Eden.
010411009d	Und Kain erkannte sein Weib, und sie empfing und gebar Chanoch. Und er baute eine Stadt, und nannte den Namen der Stadt nach dem Namen seines Sohnes Chanoch.
0104120087	Und dem Chanoch ward Irad geboren, und Irad zeugte Mechujael, und Mechujael zeugte den Methuschael, und Methuschael, zeugte den Lamech.
010413005f	Und Lamech nahm sich zwei Weiber. Der Name der einen war Adah, und der Name der zweiten Zillah.
010414005a	Und Adah gebar Jabal. Dieser war der Vater derer, die in Zelten und bei Viehherden wohnen.
0104150061	Und seines Bruders Name war Jubal. Er ward der Vater aller so die Harfe und die Flöte handhaben.
010416007d	Und Zillah, auch sie gebar, den Tubalkain, den Meister aller Werkleute in Erz und Eisen, und Tubalkains Schwester war Naamah.
01041700ca	Und Lamech sprach zu seinen Weibern Adah und Zillah: Höret meine Stimme, ihr Weiber Lamechs und nehmet zu Ohren meine Rede. Einen Mann habe ich erwürget zu meiner Wunde und ein Kind zu meiner Strieme,
010418004a	Wenn Kain siebenfach gerächt wird, so wird es Lamech siebenundsiebzigmal.
01041900bf	Und der Mensch erkannte abermals sein Weib und sie gebar einen Sohn, und sie nannte seinen Namen Scheth; denn Gott hat mir andern Samen gesetzt für Habel, dafür daß Kain ihn erwürget hat.
01041a007e	Und auch dem Scheth ward ein Sohn geboren und er nannte seinen Namen Enosch. Damals fing man an, den Namen Jehovahs anzurufen.
0105010075	Dies ist das Buch der Zeugungen Adams, am Tage, da Gott den Menschen schuf. In die Ähnlichkeit Gottes machte Er ihn.
0105020078	Männlich und weiblich schuf Er sie, und Er segnete sie und nannte ihren Namen Mensch, am Tage da sie geschaffen wurden.
0105030082	Und der Mensch lebte hundertdreißig Jahre, und er zeugte in seine Ähnlichkeit nach seinem Bilde, und nannte seinen Namen Scheth.
0105040070	Und der Tage des Menschen nachdem er Scheth gezeugt, waren achthundert Jahre, und er zeugte Söhne und Töchter.
0105050068	Und es waren all die Tage des Menschen, die er lebte, neunhundert Jahre und dreißig Jahre und er starb.
0105060045	Und Scheth lebte fünf Jahre und hundert Jahre, und er zeugte Enosch.
010507006f	Und Scheth lebte, nachdem er Enosch gezeugt, sieben Jahre und achthundert Jahre und zeugte Söhne und Töchter.
010508004d	Und alle Tage Scheths waren zwölf Jahre und neunhundert Jahre, und er starb.
0105090030	Und Enosch lebte neunzig Jahre und zeugte Kenan.
01050a0074	Und Enosch lebte, nachdem er Kenan gezeugt, fünfzehn Jahre und achthundert Jahre und er zeugte Söhne und Töchter.
01050b004c	Und alle Tage Enoschs waren fünf Jahre und neunhundert Jahre, und er starb.
01050c0034	Und Kenan lebte siebzig Jahre und zeugte Mahalaleel.
01050d0076	Und Kenan lebte, nachdem er Mahalaleel gezeugt, vierzig Jahre und achthundert Jahre und er zeugte Söhne und Töchter.
01050e004a	Und alle Tage Kenans waren zehn Jahre und neunhundert Jahre; und er starb.
01050f0044	Und Mahalaleel lebte fünf Jahre und sechzig Jahre und zeugte Jared.
010510007d	Und Mahalaleel lebte, nachdem er Jared gezeugt hatte, dreißig Jahre und achthundert Jahre und er zeugte Söhne und Töchter.
010511005a	Und alle Tage Mahalaleels waren fünfundneunzig Jahre und achthundert Jahre, und er starb.
010512004a	Und Jared lebte zweiundsechzig Jahre und hundert Jahre und zeugte Chanoch.
0105130061	Und Jared lebte, nachdem er Chanoch gezeugt, achthundert Jahre und er zeugte Söhne und Töchter.
0105140053	Und alle Tage Jareds waren zweiundsechzig Jahre und neunhundert Jahre und er starb.
0105150041	Und Chanoch lebte fünfundsechzig Jahre und zeugte Methuschelach.
0105160082	Und Chanoch erging sich mit Gott, nachdem er den Methuschelach gezeugt hatte, dreihundert Jahre und er zeugte Söhne und Töchter.
0105170049	Und alle Tage Chanochs waren fünfundsechzig Jahre und dreihundert Jahre.
0105180057	Und Chanoch erging sich mit Gott, und er war nicht; denn Gott hatte ihn hinweggenommen.
0105190053	Und Methuschelach lebte siebenundachtzig Jahre und hundert Jahre und zeugte Lamech.
01051a0081	Und Methuschelach lebte, nachdem er Lamech gezeugt, zweiundachtzig Jahre und siebenhundert Jahre, und zeugte Söhne und Töchter.
01051b005b	Und alle Tage Methuschelachs waren neunundsechzig Jahre und neunhundert Jahre und er starb.
01051c004e	Und Lamech lebte zweiundachtzig Jahre und hundert Jahre und zeugte einen Sohn.
01051d0098	Und er nannte seinen Namen Noach, sagend: der wird uns trösten ob unserem Tun und ob den Schmerzen unserer Hände vom Boden, den Jehovah verflucht hat.
01051e0082	Und Lamech lebte, nachdem er Noach gezeugt hatte, fünfundneunzig Jahre und fünfhundert Jahre, und er zeugte Söhne und Töchter.
01051f005c	Und es waren alle Tage Lamechs siebenundsiebzig Jahre und siebenhundert Jahre, und er starb.
010520004f	Und Noach war fünfhundert Jahre alt, und Noach zeugte Schem, Cham und Japheth.
0106010076	Und es geschah, daß der Mensch anfing sich zu mehren auf dem Angesichte des Bodens und Töchter ihnen geboren wurden.
0106020080	Und die Söhne Gottes sahen die Töchter des Menschen, daß sie gut wären und nahmen sich Weiber von allen, die sie erwählten.
0106030092	Und Jehovah sprach: Mein Geist wird nicht ewiglich rechten mit dem Menschen; denn er ist Fleisch, und seine Tage werden sein hundertzwanzig Jahre!
01060400df	In denselben Tagen waren die Nephilim auf der Erde, und auch nachher, da die Söhne Gottes zu den Töchtern des Menschen eingingen, und diese ihnen gebaren. Dieselben wurden die Mächtigen von Alters her, Männer von Namen.
0106050092	Und Jehovah sah, daß des Bösen des Menschen viel ward auf Erden, und daß alles Bilden der Gedanken seines Herzens nur böse war den ganzen Tag.
0106060065	Und es reuete Jehovah, daß Er den Menschen auf Erden gemacht, und es schmerzte Ihn in Seinem Herzen.
01060700cf	Und Jehovah sprach: Ich will vertilgen den Menschen, den Ich geschaffen, von dem Boden vom Menschen bis zum Vieh, bis zum Kriechtier, und bis zum Gevögel der Himmel; denn es reuet Mich, daß Ich sie machte.
010608002c	Aber Noach fand Gnade in den Augen Jehovahs.
010609007e	Dies sind die Geburten Noachs. Noach war ein gerechter Mann und untadelig in seinen Geschlechtern. Noach erging sich mit Gott.
01060a0036	Und Noach zeugte drei Söhne: Schem, Cham und Japheth.
01060b004d	Und die Erde war verdorben vor Gott; und die Erde war erfüllt mit Gewalttat.
01060c006c	Und Gott sah die Erde, und siehe, sie war verdorben; weil alles Fleisch seinen Weg verderbt hatte auf Erden.
01060d00b6	Und Gott sprach zu Noach: Das Ende alles Fleisches ist vor Mich gekommen; denn die Erde ist erfüllt mit Gewalttat vor ihrem Angesicht; und siehe Ich will sie verderben mit der Erde.
01060e0070	Mache dir eine Arche von Gopherholz. Mit Kammern mache die Arche und verpiche sie von innen und außen mit Pech.
01060f0084	Und also sollst du sie machen: Dreihundert Ellen sei die Länge der Arche, fünfzig Ellen ihre Breite und dreißig Ellen ihre Höhe.
01061000c7	Ein Fenster sollst du machen der Arche und es oben vollenden bis zu einer Elle; und den Eingang der Arche sollst du an die Seite setzen. Ein unterstes, zweites und drittes Stockwerk sollst du machen.
01061100ba	Und Ich, siehe, Ich bringe die Flut von Wassern über die Erde, zu verderben alles Fleisch unter den Himmeln, in dem der Geist des Lebens ist. Alles, was auf Erden ist, soll verscheiden.
0106120095	Aber mit dir will Ich einen Bund aufrichten. Und du sollst in die Arche eingehen, du und deine Söhne und dein Weib und deiner Söhne Weiber mit dir.
01061300bc	Und von allem Lebendigen, von allem Fleische sollst du je zwei von allem in die Arche einbringen, auf daß sie mit dir am Leben bleiben, ein Männliches und ein Weibliches sollen sie sein.
01061400bd	Von dem Gevögel nach seiner Art, und vom Vieh nach seiner Art, von allem Kriechtier des Bodens nach seiner Art, sollen je zwei von allen zu dir hereinkommen, auf daß sie am Leben bleiben.
010615007a	Und du, nimm dir von jeglicher Speise, die gegessen wird, und sammle sie dir, auf daß sie dir und ihnen zur Speise seien.
0106160044	Und Noach tat es. Nach allem, wie ihm Gott geboten hatte, so tat er.
0107010089	Und Jehovah sprach zu Noach: Gehe ein, du und all dein Haus, zur Arche; denn dich habe Ich gerecht vor Mir gesehen in diesem Geschlechte.
01070200a2	Von allem reinen Vieh nimm dir sieben und sieben, ein Männchen und sein Weibchen, und von dem Vieh, das nicht rein ist, je zwei, ein Männchen und sein Weibchen.
010703008a	Auch von dem Gevögel der Himmel sieben und sieben, ein Männliches und ein Weibliches, auf daß Samen auf der ganzen Erde erhalten werde.
0107040098	Denn in noch sieben Tagen lasse Ich regnen auf Erden vierzig Tage und vierzig Nächte, und vertilge jegliches Geschöpf, das Ich gemacht, von dem Boden.
0107050034	Und Noach tat nach allem, das Jehovah geboten hatte.
010706004e	Und Noach war sechshundert Jahre alt und die Flut der Wasser war auf der Erde.
010707007f	Und Noach und seine Söhne und sein Weib und die Weiber seiner Söhne mit ihm gingen ein in die Arche vor den Wassern der Flut.
0107080078	Von dem reinen Vieh und von dem Vieh, das nicht rein war, und von dem Gevögel und von allem, das auf dem Boden kreucht,
0107090078	Kamen sie hinein zwei und zwei zu Noach zur Arche, ein Männliches und ein Weibliches, wie Gott dem Noach geboten hatte.
01070a004c	Und es geschah, daß in sieben Tagen die Wasser der Flut auf der Erde waren.
01070b00e2	Im sechshundersten Jahre des Lebens Noachs im zweiten Monat, am siebzehnten Tage des Monats, an diesem Tage war es, daß alle Brunnquellen des großen Abgrundes sich zerspalteten, und alle Fenster des Himmels geöffnet wurden.
01070c0040	Und vierzig Tage und vierzig Nächte war der Regen auf der Erde.
01070d00a2	An diesem selbigen Tage ging Noach, und Schem und Cham und Japhet, die Söhne Noachs und Noachs Weib und die drei Weiber seiner Söhne mit ihnen ein in die Arche;
01070e00c9	Sie, und alles Wild nach seiner Art, und alles Vieh nach seiner Art, und alles Kriechtier, das auf der Erde kriecht, nach seiner Art, und alles Gevögel nach seiner Art, jeder Vogel, alles Geflügelte.
01070f006c	Und sie gingen ein zu Noach zur Arche zwei und zwei, von allem Fleisch, in welchem der Geist des Lebens war.
0107100093	Und die hineingingen, Männliche und Weibliche, von allem Fleisch gingen sie hinein, wie Gott ihm geboten hatte, und Jehovah schloß hinter ihm zu.
0107110089	Und die Flut war vierzig Tage auf der Erde, und die Wasser mehrten sich und hoben die Arche auf und sie ward emporgehoben über die Erde.
0107120070	Und es wurden mächtig die Wasser und mehrten sich sehr auf der Erde, und die Arche ging über die Wasser dahin.
0107130073	Und die Wasser wurden sehr, sehr mächtig auf Erden, und es wurden alle hohe Berge unter dem ganzen Himmel bedeckt.
0107140050	Fünfzehn Ellen darüber wurden die Wasser mächtig und sie bedeckten die Berge.
0107150096	Und alles Fleisch verschied, das auf Erden kriecht, an Gevögel und an Vieh und an Wild und an allem Gewürm, das auf Erden wimmelt, und aller Mensch.
0107160066	Alles, was den Odem des Geistes des Lebens in seiner Nase hatte von allem, das im Trocknen war, starb.
01071700e5	Und Er vertilgte jegliches Geschöpf, das auf dem Boden war, vom Menschen bis zum Vieh, zum Kriechtier, und zum Gevögel des Himmels; und sie wurden vertilgt von der Erde, und nur Noach verblieb, und was mit ihm in der Arche war.
010718003d	Und die Wasser waren mächtig auf Erden hundertfünfzig Tage.
01080100a6	Und Gott gedachte Noachs und alles Wildes und alles Viehs, das mit ihm in der Arche war, und Gott ließ einen Wind hingehen über die Erde und die Wasser legten sich.
0108020077	Und die Brunnquellen des Abgrundes und die Fenster des Himmels wurden verstopft, und dem Regen vom Himmel ward gewehrt.
0108030090	Und die Wasser kehrten zurück von der Erde, sie gingen und kehrten zurück, und die Wasser verringerten sich am Ende von hundertfünfzig Tagen.
010804005c	Und die Arche ruhte im siebenten Monat am siebzehnten Tage des Monats auf den Bergen Ararat.
0108050085	Und die Wasser gingen und verringerten sich bis zum zehnten Monat. Am ersten des zehnten Monats wurden die Spitzen der Berge gesehen.
010806006a	Und es geschah am Ende von vierzig Tagen, daß Noach öffnete das Fenster der Arche, das er gemacht hatte.
0108070076	Und er sandte den Raben aus. Und er ging aus, ausgehend und zurückkehrend, bis die Wasser von der Erde vertrockneten.
0108080060	Und er sandte die Taube von sich fort, um zu sehen, ob die Wasser auf dem Boden leichter wären.
01080900f7	Aber die Taube fand keine Ruhe für die Sohle ihres Fußes; und sie kehrte zu ihm zurück zur Arche; denn die Wasser waren auf dem Angesichte der ganzen Erde, und er streckte seine Hand aus und nahm sie und brachte sie herein zu sich in die Arche.
01080a0051	Und er wartete noch sieben andere Tage und sandte die Taube wieder aus der Arche.
01080b00bd	Und die Taube kam herein zu ihm um die Abendzeit, und siehe, sie hatte ein abgepflücktes Blatt vom Ölbaum in ihrem Munde. Und Noach wußte, daß die Wasser auf der Erde leichter geworden.
01080c0071	Und er wartete noch sieben andere Tage und entsandte die Taube; und sie kam nicht abermals wieder zu ihm zurück.
01080d00ed	Und es geschah im sechshundert und ersten Jahre, im Anfang, am ersten des Monats, waren die Wasser von der Erde aufgetrocknet. Und Noach nahm die Decke weg von der Arche, und sah, und siehe, die Angesichte des Bodens waren aufgetrocknet.
01080e0053	Und im zweiten Monat am siebenundzwanzigsten Tage des Monats ward die Erde trocken.
01080f0024	Und Gott redete zu Noach und sprach:
010810005a	Geh aus von der Arche du und dein Weib, und deine Söhne und deiner Söhne Weiber mit dir.
01081100e9	Alles Wild, das mit dir ist, von allem Fleisch, an Gevögel und an Vieh, und an allem Kriechtiere, das kriecht auf der Erde, laß herausgehen mit dir, und laß sie wimmeln auf der Erde und fruchtbar sein und sich mehren auf der Erde.
0108120057	Und Noach ging heraus, und seine Söhne und sein Weib und seiner Söhne Weiber mit ihm.
0108130086	Alles Wild, alles Kriechtier und alles Gevögel, alles, was kriecht auf der Erde, nach ihren Familien gingen sie heraus aus der Arche.
0108140090	Und Noach baute dem Jehovah einen Altar, und nahm von allem reinen Vieh und von allem reinen Gevögel und opferte Brandopfer auf auf dem Altare.
0108150124	Und Jehovah roch den Geruch der Ruhe, und Jehovah sprach in Seinem Herzen: Ich will fortan dem Boden nicht mehr fluchen um des Menschen halben; denn das Gebilde des Menschen Herzens ist böse von seiner Jugend auf, und Ich will hinfort nicht mehr alles Lebendige schlagen, wie Ich getan habe.
010816008d	Forthin, während aller Tage der Erde soll nimmermehr aufhören Samen und Ernte und Frost und Hitze und Sommer und Winter, und Tag und Nacht.
0109010071	Und Gott segnete Noach und seine Söhne und sprach zu ihnen: Seid fruchtbar und mehret euch und füllet die Erde.
