0100000009	創世記
0103130093	汝は面に汗して食物を食ひ終に土に歸らん其は其中より汝は取れたればなり汝は塵なれば塵に皈るべきなりと
010314005a	アダム其妻の名をヱバと名けたり其は彼は群の生物の母なればなり
0103150057	ヱホバ神アダムと其妻のために皮衣を作りて彼等に衣せたまへり
01031600b4	ヱホバ神曰たまひけるは視よ夫人我等の一の如くなりて善惡を知る然ば恐くは彼其手を舒べ生命の樹の果實をも取りて食ひ限無生んと
0103170072	ヱホバ神彼をエデンの園よりいだし其取て造られたるところの土を耕さしめたまへり
010318008a	斯神其人を逐出しエデンの園の東にケルビムと自から旋轉る焔の劍を置て生命の樹の途を保守りたまふ
010401007e	アダム其妻エバを知る彼孕みてカインを生みて言けるは我ヱホバによりて一個の人を得たりと
0104020060	彼また其弟アベルを生りアベルは羊を牧ふ者カインは土を耕す者なりき
0104030057	日を經て後カイン土より出る果を携來りてヱホバに供物となせり
0104040084	アベルもまた其羊の初生と其肥たる者を携來れりヱホバ、アベルと其供物を眷顧みたまひしかども
0104050063	カインと其供物をば眷み給はざりしかばカイン甚だ怒り且其面をふせたり
0104060057	ヱホバ、カインに言たまひけるは汝何ぞ怒るや何ぞ面をふするや
0104070081	汝若善を行はば擧ることをえざらんや若善を行はずば罪門戸に伏す彼は汝を慕ひ汝は彼を治めん
0104080078	カイン其弟アベルに語りぬ彼等野にをりける時カイン其弟アベルに起かかりて之を殺せり
0104090090	ヱホバ、カインに言たまひけるは汝の弟アベルは何處にをるや彼言ふ我しらず我あに我弟の守者ならんやと
01040a0063	ヱホバ言たまひけるは汝何をなしたるや汝の弟の血の聲地より我に叫べり
01040b0078	されば汝は詛れて此地を離るべし此地其口を啓きて汝の弟の血を汝の手より受たればなり
01040c0066	汝地を耕すとも地は再其力を汝に效さじ汝は地に吟行ふ流離子となるべしと
01040d0051	カイン、ヱホバに言けるは我が罪は大にして負ふこと能はず
01040e00b4	視よ汝今日斯地の面より我を逐出したまふ我汝の面を觀ることなきにいたらん我地に吟行ふ流離子とならん凡そ我に遇ふ者我を殺さん
01040f00bd	ヱホバ彼に言たまひけるは然らず凡そカインを殺す者は七倍の罰を受んとヱホバ、カインに遇ふ者の彼を撃ざるため印誌を彼に與へたまへり
0104100054	カイン、ヱホバの前を離て出でエデンの東なるノドの地に住り
0104110087	カイン其妻を知る彼孕みエノクを生りカイン邑を建て其邑の名を其子の名に循ひてエノクと名けたり
0104120093	エノクにイラデ生れたりイラデ、メホヤエルを生みメホヤエル、メトサエルを生みメトサエル、レメクを生り
0104130057	レメク二人の妻を娶れり一の名はアダと曰ひ一の名はチラと曰り
010414005a	アダ、ヤバルを生めり彼は天幕に住て家畜を牧ふ所の者の先祖なり
0104150057	其弟の名はユバルと云ふ彼は琴と笛とをとる凡ての者の先祖なり
0104160084	又チラ、トバルカインを生り彼は銅と鐡の諸の刃物を鍛ふ者なりトバルカインの妹をナアマといふ
01041700b4	レメク其妻等に言けるはアダとチラよ我聲を聽けレメクの妻等よわが言を容よ我わが創傷のために人を殺すわが痍のために少年を殺す
010418005d	カインのために七倍の罰あればレメクのためには七十七倍の罰あらん
01041900c3	アダム復其妻を知て彼男子を生み其名をセツと名けたり其は彼神我にカインの殺したるアベルのかはりに他の子を與へたまへりといひたればなり
01041a0084	セツにもまた男子生れたりかれ其名をエノスと名けたり此時人々ヱホバの名を呼ことをはじめたり
0105010069	アダムの傳の書は是なり神人を創造りたまひし日に神に象りて之を造りたまひ
0105020087	彼等を男女に造りたまへり彼等の創造られし日に神彼等を祝してかれらの名をアダムと名けたまへり
0105030069	アダム百三十歳に及びて其像に循ひ己に象りて子を生み其名をセツと名けたり
010504004e	アダムのセツを生し後の齡は八百歳にして男子女子を生り
010505004e	アダムの生存へたる齡は都合九百三十歳なりき而して死り
010506002d	セツ百五歳に及びてエノスを生り
010507004b	セツ、エノスを生し後八百七年生存へて男子女子を生り
010508003c	セツの齡は都合九百十二歳なりき而して死り
0105090036	エノス九十歳におよびてカイナンを生り
01050a0054	エノス、カイナンを生し後八百十五年生存へて男子女子を生り
01050b003c	エノスの齡は都合九百五歳なりき而して死り
01050c003c	カイナン七十歳におよびてマハラレルを生り
01050d005a	カイナン、マハラレルを生し後八百四十年生存へて男子女子を生り
01050e0042	カイナンの齡は都合九百十歳なりきしかして死り
01050f0039	マハラレル六十五歳に及びてヤレドを生り
0105100057	マハラレル、ヤレドを生し後八百三十年生存へて男子女子を生り
0105110048	マハラレルの齡は都合八百九十五歳なりき而して死り
0105120036	ヤレド百六十二歳に及びてエノクを生り
010513004b	ヤレド、エノクを生し後八百年生存へて男子女子を生り
0105140042	ヤレドの齡は都合九百六十二歳なりき而して死り
0105150036	エノク六十五歳に及びてメトセラを生り
0105160057	エノク、メトセラを生し後三百年神とともに歩み男子女子を生り
0105170033	エノクの齡は都合三百六十五歳なりき
0105180057	エノク神と偕に歩みしが神かれを取りたまひければをらずなりき
0105190039	メトセラ百八十七歳に及びてレメクを生り
01051a005a	メトセラ、レメクを生しのち七百八十二年生存へて男子女子を生り
01051b0045	メトセラの齡は都合九百六十九歳なりき而して死り
01051c0033	レメク百八十二歳に及びて男子を生み
01051d0090	其名をノアと名けて言けるは此子はヱホバの詛ひたまひし地に由れる我操作と我勞苦とに就て我らを慰めん
01051e0051	レメク、ノアを生し後五百九十五年生存へて男子女子を生り
01051f0042	レメクの齡は都合七百七十七歳なりき而して死り
0105200045	ノア五百歳なりきノア、セム、ハム、ヤペテを生り
0106010048	人地の面に繁衍はじまりて女子之に生るるに及べる時
0106020057	神の子等人の女子の美しきを見て其好む所の者を取て妻となせり
0106030084	ヱホバいひたまひけるは我靈永く人と爭はじ其は彼も肉なればなり然ど彼の日は百二十年なるべし
01060400a8	當時地にネピリムありき亦其後神の子輩人の女の所に入りて子女を生しめたりしが其等も勇士にして古昔の名聲ある人なりき
010605007b	ヱホバ人の惡の地に大なると其心の思念の都て圖維る所の恒に惟惡きのみなるを見たまへり
010606005a	是に於てヱホバ地の上に人を造りしことを悔いて心に憂へたまへり
01060700c3	ヱホバ言たまひけるは我が創造りし人を我地の面より拭去ん人より獸昆蟲天空の鳥にいたるまでほろぼさん其は我之を造りしことを悔ればなりと
010608003c	されどノアはヱホバの目のまへに恩を得たり
0106090069	ノアの傳は是なりノアは義人にして其世の完全き者なりきノア神と偕に歩めり
01060a003c	ノアはセム、ハム、ヤペテの三人の子を生り
01060b003f	時に世神のまへに亂れて暴虐世に滿盈ちたりき
01060c0063	神世を視たまひけるに視よ亂れたり其は世の人皆其道をみだしたればなり
01060d00ae	神ノアに言たまひけるは諸の人の末期わが前に近づけり其は彼等のために暴虐世にみつればなり視よ我彼等を世とともに剪滅さん
01060e0072	汝松木をもて汝のために方舟を造り方舟の中に房を作り瀝青をもて其内外を塗るべし
01060f007b	汝かく之を作るべし即ち其方舟の長は三百キユビト其濶は五十キユビト其高は三十キユビト
010610009f	又方舟に導光牖を作り上一キユビトに之を作り終べし又方舟の戸は其傍に設くべし下牀と二階と三階とに之を作るべし
0106110087	視よ我洪水を地に起して凡て生命の氣息ある肉なる者を天下より剪滅し絶ん地にをる者は皆死ぬべし
0106120087	然ど汝とは我わが契約をたてん汝は汝の子等と汝の妻および汝の子等の妻とともに其方舟に入るべし
0106130096	又諸の生物總て肉なる者をば汝各其二を方舟に挈へいりて汝とともに其生命を保たしむべし其等は牝牡なるべし
010614007b	鳥其類に從ひ獸其類に從ひ地の諸の昆蟲其類に從ひて各二汝の所に至りて其生命を保つべし
0106150081	汝食はるる諸の食品を汝の許に取て之を汝の所に集むべし是即ち汝と是等の物の食品となるべし
0106160048	ノア是爲し都て神の己に命じたまひしごとく然爲せり
0107010096	ヱホバ、ノアに言たまひけるは汝と汝の家皆方舟に入べし我汝がこの世の人の中にてわが前に義を視たればなり
0107020048	諸の潔き獸を牝牡七宛汝の許に取り潔らぬ獸を牝牡二
0107030051	亦天空の鳥を雌雄七宛取て種を全地の面に生のこらしむべし
010704006c	今七日ありて我四十日四十夜地に雨ふらしめ我造りたる萬有を地の面より拭去ん
0107050042	ノア、ヱホバの凡て己に命じたまひし如くなせり
0107060036	地に洪水ありける時にノア六百歳なりき
010707005a	ノア其子等と其妻および其子等の妻と倶に洪水を避て方舟にいりぬ
010708003f	潔き獸と潔らざる獸と鳥および地に匍ふ諸の物
010709005a	牝牡二宛ノアに來りて方舟にいりぬ神のノアに命じたまへるが如し
01070a002a	かくて七日の後洪水地に臨めり
01070b0072	ノアの齡の六百歳の二月即ち其月の十七日に當り此日に大淵の源皆潰れ天の戸開けて
01070c0024	雨四十日四十夜地に注げり
01070d0084	此日にノアとノアの子セム、ハム、ヤペテおよびノアの妻と其子等の三人の妻諸倶に方舟にいりぬ
01070e00a8	彼等および諸の獸其類に從ひ諸の家畜其類に從ひ都て地に匍ふ昆蟲其類に從ひ諸の禽即ち各樣の類の鳥皆其類に從ひて入りぬ
01070f0057	即ち生命の氣息ある諸の肉なる者二宛ノアに來りて方舟にいりぬ
010710008d	入たる者は諸の肉なる者の牝牡にして皆いりぬ神の彼に命じたまへるが如しヱホバ乃ち彼を閉置たまへり
010711006c	洪水四十日地にありき是において水増し方舟を浮めて方舟地の上に高くあがれり
010712004b	而して水瀰漫りて大に地に増しぬ方舟は水の面に漂へり
0107130048	水甚大に地に瀰漫りければ天下の高山皆おほはれたり
010714004e	水はびこりて十五キユビトに上りければ山々おほはれたり
0107150057	凡そ地に動く肉なる者鳥家畜獸地に匍ふ諸の昆蟲および人皆死り
0107160054	即ち凡そ其鼻に生命の氣息のかよふ者都て乾地にある者は死り
01071700d2	斯地の表面にある萬有を人より家畜昆蟲天空の鳥にいたるまで盡く拭去たまへり是等は地より拭去れたり唯ノアおよび彼とともに方舟にありし者のみ存れり
0107180030	水百五十日のあひだ地にはびこりぬ
01080100a8	神ノアおよび彼とともに方舟にある諸の生物と諸の家畜を眷念ひたまひて神乃ち風を地の上に吹しめたまひければ水減りたり
0108020039	亦淵の源と天の戸閉塞りて天よりの雨止ぬ
010803004b	是に於て水次第に地より退き百五十日を經てのち水減り
010804004b	方舟は七月に至り其月の十七日にアララテの山に止りぬ
0108050051	水次第に減て十月に至りしが十月の月朔に山々の嶺現れたり
010806003f	四十日を經てのちノア其方舟に作りし窓を啓て
0108070042	鴉を放出ちけるが水の地に涸るまで往來しをれり
0108080054	彼地の面より水の減少しかを見んとて亦鴿を放出いだしけるが
01080900cc	鴿其足の跖を止べき處を得ずして彼に還りて方舟に至れり其は水全地の面にありたればなり彼乃ち其手を舒て之を執へ方舟の中におのれの所に接入たり
01080a003c	尚又七日待て再び鴿を方舟より放出ちけるが
01080b0081	鴿暮におよびて彼に還れり視よ其口に橄欖の若葉ありき是に於てノア地より水の減少しをしれり
01080c004e	尚又七日まちて鴿を放出ちけるが再び彼の所に歸らざりき
01080d0081	六百一年の一月の月朔に水地に涸たりノア乃ち方舟の蓋を撤きて視しに視よ土の面は燥てありぬ
01080e0030	二月の二十七日に至りて地乾きたり
01080f0027	爰に神ノアに語りて言給はく
0108100054	汝および汝の妻と汝の子等と汝の子等の妻ともに方舟を出べし
01081100bd	汝とともにある諸の肉なる諸の生物諸の肉なる者即ち鳥家畜および地に匍ふ諸の昆蟲を率いでよ此等は地に饒く生育地の上に生且殖増すべし
0108120045	ノアと其子等と其妻および其子等の妻ともに出たり
0108130066	諸の獸諸の昆蟲および諸の鳥等凡そ地に動く者種類に從ひて方舟より出たり
0108140075	ノア、ヱホバのために壇を築き諸の潔き獸と諸の潔き鳥を取て燔祭を壇の上に獻げたり
0108150117	ヱホバ其馨き香を聞ぎたまひてヱホバ其意に謂たまひけるは我再び人の故に因て地を詛ふことをせじ其は人の心の圖維るところ其幼少時よりして惡かればなり又我曾て爲たる如く再び諸の生る物を撃ち滅さじ
0108160060	地のあらん限りは播種時、收穫時、寒熱夏冬および日と夜息ことあらじ
0109010057	神ノアと其子等を祝して之に曰たまひけるは生よ増殖よ地に滿よ
010902008d	地の諸の獸畜天空の諸の鳥地に匍ふ諸の物海の諸の魚汝等を畏れ汝等に懾かん是等は汝等の手に與へらる
010903005d	凡そ生る動物は汝等の食となるべし菜蔬のごとく我之を皆汝等に與う
010904003f	然ど肉を其生命なる其血のままに食ふべからず
01090500a2	汝等の生命の血を流すをば我必ず討さん獸之をなすも人をこれを爲すも我討さん凡そ人の兄弟人の生命を取ば我討すべし
0109060075	凡そ人の血を流す者は人其血を流さん其は神の像のごとくに人を造りたまひたればなり
010907003c	汝等生よ増殖よ地に饒くなりて其中に増殖よ
010908004b	神ノアおよび彼と偕にある其子等に告て言たまひけるは
0109090027	見よ我汝等と汝等の後の子孫
01090a00ba	および汝等と偕なる諸の生物即ち汝等とともなる鳥家畜および地の諸の獸と契約を立ん都て方舟より出たる者より地の諸の獸にまで至らん
01090b0081	我汝等と契約を立ん總て肉なる者は再び洪水に絶るる事あらじ又地を滅す洪水再びあらざるべし
01090c0090	神言たまひけるは我が我と汝等および汝等と偕なる諸の生物の間に世々限りなく爲す所の契約の徴は是なり
01090d0054	我わが虹を雲の中に起さん是我と世との間の契約の徴なるべし
01090e003f	即ち我雲を地の上に起す時虹雲の中に現るべし
01090f0093	我乃ち我と汝等および總て肉なる諸の生物の間のわが契約を記念はん水再び諸の肉なる者を滅す洪水とならじ
0109100081	虹雲の中にあらん我之を觀て神と地にある都て肉なる諸の生物との間なる永遠の契約を記念えん
0109110078	神ノアに言たまひけるは是は我が我と地にある諸の肉なる者との間に立たる契約の徴なり
010912006f	ノアの子等の方舟より出たる者はセム、ハム、ヤペテなりきハムはカナンの父なり
0109130051	是等はノアの三人の子なり全地の民は是等より出て蔓延れり
0109140045	爰にノアの農夫となりて葡萄園を植ることを始しが
010915003c	葡萄酒を飮て醉天幕の中にありて裸になれり
010916005d	カナンの父ハム其父のかくし所を見て外にありし二人の兄弟に告たり
01091700a2	セムとヤペテ乃ち衣を取て倶に其肩に負け後向に歩みゆきて其父の裸體を覆へり彼等面を背にして其父の裸體を見ざりき
010918003f	ノア酒さめて其若き子の己に爲たる事を知れり
0109190063	是に於て彼言けるはカナン詛はれよ彼は僕輩の僕となりて其兄弟に事へん
01091a005a	又いひけるはセムの神ヱホバは讚べきかなカナン彼の僕となるべし
01091b006c	神ヤペテを大ならしめたまはん彼はセムの天幕に居住はんカナン其僕となるべし
01091c006c	ノア洪水の後三百五十年生存へたりノアの齡は都て九百五十年なりき而して死り
010a010060	ノアの子セム、ハム、ヤペテの傳は是なり洪水の後彼等に子等生れたり
010a020069	ヤペテの子はゴメル、マゴグ、マデア、ヤワン、トバル、メセク、テラスなり
010a030042	ゴメルの子はアシケナズ、リパテ、トガルマなり
010a040057	ヤワンの子はエリシヤ、タルシシ、キツテムおよびドダニムなり
010a050075	是等より諸國の洲島の民は派分れ出て各其方言と其宗族と其邦國とに循ひて其地に住り
010a060048	ハムの子はクシ、ミツライム、フテおよびカナンなり
010a07007e	クシの子はセバ、ハビラ、サブタ、ラアマ、サブテカなりラアマの子はシバおよびデダンなり
010a08004b	クシ、ニムロデを生り彼始めて世の權力ある者となれり
010a090099	彼はヱホバの前にありて權力ある獵夫なりき是故にヱホバの前にある夫權力ある獵夫ニムロデの如しといふ諺あり
010a0a0066	彼の國の起初はシナルの地のバベル、エレク、アツカデ、及びカルネなりき
010a0b004e	其地より彼アツスリヤに出でニネベ、レホポテイリ、カラ
010a0c0057	およびニネベとカラの間なるレセンを建たり是は大なる城邑なり
010a0d003f	ミツライム、ルデ族アナミ族レハビ族ナフト族
010a0e0066	バテロス族カスル族およびカフトリ族を生りカスル族よりペリシテ族出たり
010a0f002a	カナン其冢子シドンおよびヘテ
010a100027	エブス族アモリ族ギルガシ族
010a11001e	ヒビ族アルキ族セニ族
010a120060	アルワデ族ゼマリ族ハマテ族を生り後に至りてカナン人の宗族蔓延りぬ
010a130099	カナン人の境はシドンよりゲラルを經てガザに至りソドム、ゴモラ、アデマ、ゼボイムに沿てレシヤにまで及べり
010a140063	是等はハムの子孫にして其宗族と其方言と其土地と其邦國に隨ひて居りぬ
010a150063	セムはヱベルの全の子孫の先祖にしてヤペテの兄なり彼にも子女生れたり
010a160054	セムの子はエラム、アシユル、アルパクサデルデ、アラムなり
010a17003c	アラムの子はウヅ、ホル、ゲテル、マシなり
010a18003f	アルパクサデ、シラを生みシラ、エベルを生り
010a1900a2	エベルに二人の子生れたり一人の名をペレグ（分れ）といふ其は彼の代に邦國分れたればなり其弟の名をヨクタンと曰ふ
010a1a004b	ヨクタン、アルモダデ、シヤレフ、ハザルマウテ、ヱラ
010a1b0024	ハドラム、ウザル、デクラ
010a1c0024	オバル、アビマエル、シバ
010a1d0054	オフル、ハビラおよびヨバブを生り是等は皆ヨクタンの子なり
010a1e0051	彼等の居住所はメシヤよりして東方の山セバルにまで至れり
010a1f0066	是等はセムの子孫にして其宗族と其方言と其土地と其邦國とに隨ひて居りぬ
010a200090	是等はノアの子の宗族にして其血統と其邦國に隨ひて居りぬ洪水の後是等より地の邦國の民は派分れ出たり
010b01002d	全地は一の言語一の音のみなりき
010b02004e	茲に人衆東に移りてシナルの地に平野を得て其處に居住り
010b030081	彼等互に言けるは去來甎石を作り之を善く爇んと遂に石の代に甎石を獲灰沙の代に石漆を獲たり
010b040099	又曰けるは去來邑と塔とを建て其塔の頂を天にいたらしめん斯して我等名を揚て全地の表面に散ることを免れんと
010b050045	ヱホバ降臨りて彼人衆の建る邑と塔とを觀たまへり
010b0600b4	ヱホバ言たまひけるは視よ民は一にして皆一の言語を用ふ今既に此を爲し始めたり然ば凡て其爲んと圖維る事は禁止め得られざるべし
010b07006c	去來我等降り彼處にて彼等の言語を淆し互に言語を通ずることを得ざらしめんと
010b080072	ヱホバ遂に彼等を彼處より全地の表面に散したまひければ彼等邑を建ることを罷たり
010b0900b9	是故に其名はバベル(淆亂)と呼ばる是はヱホバ彼處に全地の言語を淆したまひしに由てなり彼處よりヱホバ彼等を全地の表に散したまへり
010b0a0060	セムの傳は是なりセム百歳にして洪水の後の二年にアルパクサデを生り
010b0b0051	セム、アルパクサデを生し後五百年生存へて男子女子を生り
010b0c0039	アルパクサデ三十五歳に及びてシラを生り
010b0d0054	アルパクサデ、シラを生し後四百三年生存へて男子女子を生り
010b0e0030	シラ三十歳におよびてエベルを生り
010b0f004b	シラ、エベルを生し後四百三年生存へて男子女子を生り
010b100036	エベル三十四歳におよびてペレグを生り
010b110051	エベル、ペレグを生し後四百三十年生存へて男子女子を生り
010b120030	ペレグ三十歳におよびてリウを生り
010b13004b	ペレグ、リウを生し後二百九年生存へて男子女子を生り
010b140033	リウ三十二歳におよびてセルグを生り
010b15004b	リウ、セルグを生し後二百七年生存へて男子女子を生り
010b160033	セルグ三十年におよびてナホルを生り
010b17004e	セルグ、ナホルを生しのち二百年生存へて男子女子を生り
010b180030	ナホル二十九歳に及びてテラを生り
010b19004b	ナホル、テラを生し後百十九年生存へて男子女子を生り
010b1a004e	テラ七十歳に及びてアブラム、ナホルおよびハランを生り
010b1b006c	テラの傳は是なりテラ、アブラム、ナホルおよびハランを生ハラン、ロトを生り
010b1c0057	ハランは其父テラに先ちて其生處なるカルデアのウルにて死たり
010b1d00d2	アブラムとナホルと妻を娶れりアブラムの妻の名をサライと云ナホルの妻の名をミルカと云てハランの女なりハランはミルカの父にして亦イスカの父なりき
010b1e002a	サライは石女にして子なかりき
010b1f00e7	テラ、カナンの地に往とて其子アブラムとハランの子なる其孫ロト及其子アブラムの妻なる其媳サライをひき挈て倶にカルデアのウルを出たりしがハランに至て其處に住り
010b200042	テラの齡は二百五歳なりきテラはハランにて死り
010c01009c	爰にヱホバ、アブラムに言たまひけるは汝の國を出で汝の親族に別れ汝の父の家を離れて我が汝に示さん其地に至れ
010c02006c	我汝を大なる國民と成し汝を祝み汝の名を大ならしめん汝は祉福の基となるべし
010c03006f	我は汝を祝する者を祝し汝を詛ふ者を詛はん天下の諸の宗族汝によりて福禔を獲と
010c04009f	アブラム乃ちヱホバの自己に言たまひし言に從て出たりロト彼と共に行りアブラムはハランを出たる時七十五歳なりき
010c0500c6	アブラム其妻サライと其弟の子ロトおよび其集めたる總の所有とハランにて獲たる人衆を携へてカナンの地に往んとて出で遂にカナンの地に至れり
