010000000a	Medhetethi
01011500af	Yaatidi Xoossay abban de7iya gita do7ata, haatha giddon woxi qaaxiya medhetethata ubbaanne paalliya kafota ubbaa iya qommon qommon medhis. Xoossay hessi lo77o gididaysa be7is.
010116005a	Xoossay enta, “Yeletite, darite, abba kumite, kafoti biitta bolla daro” yaagidi anjis.
010117002d	Sa7i qammis wontis; hessi ichashantho gallas.
01011800aa	Hessafe guye, Xoossay, “De7oy de7iya medhetethati enta qommon qommon, meheta, sa7ara gooshetiya medhetethatanne do7ata enta qommon qommon biittay kesso” yaagin hanis.
0101190047	Hessada oothidi enta ubbaa medhis. Xoossay hessi lo77o gididaysa be7is.
01011a0096	Hessafe simmin, Xoossay, “Ase nuna daanisidi ane medhoos. Enti abba moluwa, salo kafota, biitta bolla woxi qaaxiya medhetetha ubbaa haaro” yaagis.
01011b006d	Hessada Xoossay ase bana daanisidi medhis. I ase Xoosse daanisidi medhis; enta addenne maccas oothidi medhis.
01011c00a7	Xoossay entana, “Yeletite, darite, sa7a kumite; haarite. Abba molo, salo kafotanne biitta bolla woxi qaaxiya, de7oy de7iya medhetetha ubbaa haarite” yaagidi anjis.
01011d00a5	Hessafe guye, Xoossay, “Taani biitta ubbaa bolla zeretha ayfey de7iya katha ubbaanne zeretha ayfey giddon de7iya mithi ubbaa hintew immas; hessi hintew kathi gido.
01011e00b0	Qassika ha sa7an de7iya mehenne do7a ubbaas, salo kafo ubbaasinne sa7ara gooshetiya medhetetha ubbaas miyaba gidana mela, cil7o mithinne maata immas” yaagis; hessadaka hanis.
01011f0073	Xoossay ba medhida ubbabaaka xeelliya wode daro lo77o gididaysa be7is. Sa7i qammis; wontis; hessi usupuntho gallas.
0102010040	Salotinne sa7i entan de7iyaba ubbabay haysada medhetidi poletis.
0102020035	Xoossay ba oosuwa polidi, laapuntha gallasan shempis.
010203006b	Xoossay laapuntha gallasan ba oothiya oosuwa ongidi shempida gisho he gallasaa anjis; gallasatape dummayis.
0102040050	Salotinne sa7i hessada hani medhetis. Godaa Xoossay sa7anne salota medhida wode,
0102050067	sa7a bolla iri bukiboona gishonne oothiya asi bayna gisho mithinne maati dolibeenna; aaciyabayka baawa.
0102060038	Gidoshin, sa7ape haathi pultidi, biitta ubbaa laakisees.
0102070089	Hessafe guye, Godaa Xoossay biitta baanape ase medhidi iya siidhera de7o shempo punnidi gelsis. Yaatin, he addey de7ora de7iya ase gidis.
0102080052	Godaa Xoossay doloha baggara Edene gannate giigisis; yan ba medhida addiya wothis.
010209009f	Godaa Xoossay xeellanaw lo77iya, maanawuka mal7iya ubba qommo mithi biittafe dolisis. Gannate giddon de7o immiyanne lo77onne iita erisiya nam7u mithata wothis.
01020a0069	Gannate ushshiya shaafa haathay Edenepe goggees. He shaafay Edenepe keydi oyddu shaafu keyidi shaaketees.
01020b0051	Koyro shaafa sunthay Fisoone. Fisooney worqey de7iya Hawila biitta bolla goggees.
01020c0049	He biitta worqey geeshsha worqa. Qassi al7o shittoynne shuchi yan de7ees.
01020d004a	Nam7antho shaafa sunthay Giyoone. Giyooney Tophe biitta yuushuwan goggees.
01020e0070	Heedzantho shaafa sunthay Xegroosa. Xegroosi Asoorepe doloha baggara goggees. Qassi oyddantho shaafay Efraxiisa.
01020f0052	Godaa Xoossay asi Edene Gannate oothana melanne naagana mela iya efidi yan wothis.
010210004a	Godaa Xoossay ase, “Gannate mitha teera ubbaafe neeni maanaw danda7aasa.
0102110075	Shin lo77onne iita erisiya mitha ayfiyape moopa. Ayis giiko, neeni iyape mida gallas tuma hayqana” yaagidi kiittis.
0102120081	Hessafe guye, Godaa Xoossay, “Addey barka de7eysi lo77o gidenna. Taani iya maaddana mela iyaw injetiya lagge medhana” yaagis.
01021300cd	Godaa Xoossay meheta, do7atanne salo kafota ubbaa biittafe medhis. Yaatidi, enta woygidi sunthaneko be7anaw Addaameko ehin, Addaamey de7oy de7iya medhetetha ubbaa sunthida sunthay enta sunthi gididi attis.
0102140081	Hessadaka, Addaamey meheta, salo kafotanne bazzo do7ata ubbaa sunthis. Shin Addaames injetiyanne iya maaddiya laggey bentibeenna.
010215008a	Hessa gisho, Godaa Xoossay Addaame wolqaama dhiskon yeggis. I dhisko hayqidashin iya miye meqethafe issuwa ekidi, he bessaa ashon kunthis.
0102160053	Godaa Xoossay Addaamepe ekida meqetha macca oothidi medhis; yaatidi iyo iyako ehis.
010217007a	Addaamey, “Ha meqethiya ta meqethafe, ha ashshiya ta ashope eketidaro. Iya addefe eketida gisho macca geeteto” yaagis.
0102180061	Hessa gisho, asi ba aawanne ba aayiw aggidi, ba machera issife de7ees; nam7ay issi asi gidoosona.
0102190054	Addaameynne Hewaanna nam7ayka xire kallo de7oosona; shin issoy issuwas yeellatokona.
01030100c0	Shooshi Godaa Xoossay medhida do7a ubbaafe aadhida genancho. Issi gallas shooshi maccasiw, “Xoossay tuma hintena, ‘Gannatiyan de7iya mitha ayfe ubbaafe moopite’ gidee?” yaagidi oychis.
0103020072	Maccasiya shooshako, “Akay, Xoossay hessada gibeenna; nuuni gannate giddon de7iya mithata ayfe maanaw danda7oos.
0103030071	Shin Xoossay nuna, ‘Gannate giddon de7iya mitha ayfe moopite, bochofite; ixiko hinte hayqana’ gis” yaagasu.
010304002d	Shooshay maccasiw, “Hinte aykoka hayqeketa.
0103050082	Xoossay hessa giday, he mitha ayfiya hinte miiko akeeka demmidi lo77onne iitaa Xoossada hinte eranaysa I, eriya gishosa” yaagis.
01030600a6	Maccasiya mitha ayfey maanaw mal7eysa, be7anaw lo77eysanne, cincatethi demmanaw amoyaba gideysa be7asu. He mitha ayfiyape ekada masu. Qassi ba azinaska immin ika mis.
0103070085	Enti mi simmidi, nam7ayka akeeka demmidosona. Enti xire kallo de7eysa eridosona. Hessa gisho, balase mitha haythi sikidi dancidosona.
010308009f	Sa7i omarsida wode gannate giddon Godaa Xoossay hemetishin iya girsa Addaameynne iya machiya si7idosona. Enti gannate mitha giddon Godaa Xoossafe qosetidosona.
0103090046	Shin Godaa Xoossay Addaame xeegidi, “Addaame, awun de7ay?” yaagis.
01030a005f	Addaamey, “Gannate giddon ne girsa si7ada taani kallo de7iya gisho yayyada qosetas” yaagis.
01030b0076	Godaa Xoossay, “Neeni kallo de7eysa new odiday oonee? Taani nena moopa gida mitha ayfepe madiyee?” yaagidi oychis.
01030c005f	Addaamey, “Taara daana mela neeni immida maccasiya he mitha ayfiyape taw immin mas” yaagis.
01030d007c	Godaa Xoossay, maccasiw, “Neeni hessa ayis oothadii?” yaagidi oychis. Maccasiya, “Tana shooshay cimmin mas” yaagasu.
01030e00ae	Godaa Xoossay shooshaa, “Neeni haysa oothida gisho, mehepenne do7a ubbaafe aadhada baadetidaba gida. Neeni ne ulon biittara gooshetana; ne de7o laytha ubban baana laaccana.
01030f0098	Taani, ne giddoninne maccase giddon, ne sheesha giddoninne I sheesha giddon morketethi wothana. I ne huuphiya qoxana, neka iya gindiya dukana” yaagis.
01031000a9	Maccasiw Godaa Xoossay, “Ne qanthatida ageenan daro un7etana. Neeni wolqaama waayen na7a yelana. Gidoshin, neeni ne azinaara daanaw amottana; I nena haarana” yaagis.
01031100da	Godaa Xoossay Addaameko, “Neeni ne mache oda si7ida gishonne taani nena moopa gida mitha ayfiyape neeni mida gisho, biittay ne gaason baadetidaysa gido. Neeni ne de7o laytha ubban gita daabursan biitta oothada maana.
010312004c	Biittay new agunthinne harme dolisana; neeni biittafe dolidi kaxiyaba maana.
010313008c	Neeni ne medhetida biitta simmana gakanaw daaburan cawatada oothida ne kathi maana. Neeni biittafe medhetida gisho biitta simmana” yaagis.
0103140053	Addaamey ba machiw de7oy de7iya asa ubbaas aayo gidiya gisho Hewaanno gidi sunthis.
0103150039	Godaa Xoossay Addaamenne iya machiw ite giigisidi mayzis.
01031600c7	Godaa Xoossay, “Hiza asi lo77onne iita eron nuupe issuwada gidis. Enti banta kushiya yeddidi, de7o immiya mitha ayfiyape ekidi moonna melanne merinaw de7on doona mela teqetanaw koshshees” yaagis.
0103170060	Hessa gisho, enti banta medhetida biitta oothana mela Godaa Xoossay Edene Gannatepe enta kessis.
01031800b0	Yaatidi, de7o immiya mithaako efiya ogiya naagana mela Kirubeela geetetiya de7o medhetethatanne shireti shireti wodhiya tama laco mashshe Edene Gannatepe doloha baggara wothis.
0104010089	Addaamey ba mache Hewaannira aqis. Iya qanthatada adde na7a yelasu. “Goday tana maaddin adde na7a demmas” gada Qaayela gada sunthasu.
010402004c	Iya ishaa Aabela yelasu. Aabeli dorse heemmees qassi Qaayeli biitta oothees.
010403004c	Undenna wodepe guye, Qaayeli ba gaden kaxida kathaafe Godaas yarsho yarshis.
0104040081	Shin Aabeli ba dorsa wudiya giddon bayra yeletidaysa shukidi iya ashuwape modho bagga yarshis. Goday Aabelanne iya yarshuwa ekis.
010405005d	Shin Qaayelanne iya yarshuwa ekibeenna. Hessa gisho, Qaayeli daro yilotis; iya som7oy dhumis.
010406003a	Goday Qaayelako, “Ayis yilotay? Ne som7oy ayis dhumidee?
01040700bf	Neeni lo77o oothidaba gidiyako, ne som7oy pashka gidennee? Shin neeni lo77o oothonna ixiko, nagari do7ada ne pengen naagees. I nena haaranaw koyees, shin neeni iya xoonanaw bessees” yaagis.
0104080093	Hessafe guye, Qaayeli ba ishaa Aabelako, “Ane demba bessi boos” yaagis. Enti demban de7ishin, Qaayeli ba ishaa Aabela bolla dendidi iya wodhis.
0104090080	Goday Qaayela, “Ne ishay Aabeli awunee?” yaagidi oychis. Qaayeli zaaridi, “Taani erike; ta isha naagey taneyee?” yaagis.
01040a0063	Goday Qaayela, “Haysa ayis oothadii? Heko, ne ishaa suuthay biittafe taako xillo pirdas waassees.
01040b0075	Neeni baadetidaba gidiya gisho biitta zaarada oothanaw danda7aka. Ne ishaa wodhadasa iya suuthaaka biittan gussadasa.
01040c005e	Neeni oothinka biittay new ayfena; bete asada neeni sa7a bolla toylattada daaburana” yaagis.
01040d0040	Qaayeli Godaako, “Ne ta bolla pirdida pirday ta wolqafe bolla.
01040e008b	Neeni tana hachi biittafe yedethaasa; ne sinthafeka haassasa. Bete asada taani sa7a bolla daaburana; tana demmiya oonika wodhana” yaagis.
01040f00a9	Goday iya, “Nena oonika wodhenna; wodhiko, taani laapun toho halo keyana” yaagis. Hessa gisho, iya demmiya oonika wodhonna mela Goday iya bolla naagiso malla wothis.
0104100057	Qaayeli Godaa sinthafe keyidi, Edene baggafe doloha baggan de7iya Nooda, biittan de7is.
010411008e	Qaayeli ba machera aqis; iya qanthatada Heenoke yelasu. He wode Qaayeli katama keexidi, he katama ba na7aa sunthan “Heenoke” gidi sunthis.
0104120060	Heenokey Gayda yelis. Gaydi Ma7eela yelis. Ma7eeli Matusa7eela yelis. Matusa7eeli Laameha yelis.
0104130030	Laamehi Adonne Siilo geetetiya nam7u macho ekis.
0104140048	Ada Yabaala yelasu. Yaabali mehe haariyanne dunkaanen de7iya asata aawa.
0104150060	Iya ishaa sunthay Yubaala. Yubaali qassi diithi diixeysatanne suusul7e punniya asata ubbaa aawa.
0104160094	Siila qassi Tubalqayna geetetiya na7aa yelasu. Tubalqayni naase biratapenne biratape dumma dumma miisheta qoxeysata aawa. Tubalqayna michiya Na7imo.
010417009d	Issi gallas Laamehi ba macheta, “Ade, Siile, si7ite; ta macheto, taani odiyaba hayzite. Issi pantha addey tana dechidi madunxisida gisho, taani iya wodhas.
0104180077	Qaayela haluwa keyanaw laapun kushe koshshiko, Laameha haluwa keyanaw laapun tammanne laapun kushe koshshees” yaagis.
010419008d	Addaame machiya hara adde na7aa yelasu. Yaatada, “Qaayeli wodhida Aabela gisho Xoossay taw hara na7a immis” gada iya Seeta gada sunthasu.
01041a006a	Seeti adde na7a yelidi iya “Henoosa” gidi sunthis. Asay Godaa suntha xeegidi goyinno doomiday he wode.
0105010063	Addaame yeletethay haysafe kaallidi xaafetidaysa. Xoossay ase medhida gallas bana daanisidi medhis.
0105020053	I addenne maccas oothi medhidi enta anjis. Enta medhidi Ase (Addaame) gidi sunthis.
0105030057	Addaamey 130 laythi de7idi, bana daaniya adde na7a yelidi iya “Seeta” gidi sunthis.
0105040055	Addaamey Seeta yelidaape guye 800 laythi de7is. Hara adde naytanne macca nayta yelis.
0105050022	Addaamey 930 laythi de7idi hayqis.
0105060026	Seeti 105 laythi de7idi Henoosa yelis.
0105070055	Seeti Henoosa yelidaape guye, 807 laythi de7is. Hara adde naytanne macca nayta yelis.
010508001f	Seeti 912 laythi de7idi hayqis.
0105090028	Henoosi 90 laythi de7idi, Qaynana yelis.
01050a0057	Henoosi Qaynana yelidaape guye, 815 laythi de7is. Hara adde naytanne macca nayta yelis.
01050b0021	Henoosi 905 laythi de7idi hayqis.
01050c002b	Qaynani 70 laythi de7idi, Malal7eela yelis.
01050d005a	Qaynani Malal7eela yelidaape guye, 840 laythi de7is. Hara adde naytanne macca nayta yelis.
01050e0021	Qaynani 910 laythi de7idi hayqis.
01050f002b	Malal7eeli 65 laythi de7idi, Yaareda yelis.
010510005a	Malal7eeli Yaareda yelidaape guye, 830 laythi de7is. Hara adde naytanne macca nayta yelis.
0105110024	Malal7eeli 895 laythi de7idi hayqis.
0105120029	Yaaredi 162 laythi de7idi, Heenoke yelis.
0105130057	Yaaredi Heenoke yelidaape guye, 800 laythi de7is. Hara adde naytanne macca nayta yelis.
0105140021	Yaaredi 962 laythi de7idi hayqis.
010515002b	Heenokey 65 laythi de7idi, Matusaala yelis.
010516006f	Matusaala yelidaape guye, Heenokey 300 laythi Xoosse ufaysiya de7o de7is. Hara adde naytanne macca nayta yelis.
010517001a	Heenokey 365 laythi de7is.
0105180031	Xoossi iya baako ekida gisho simmidi bentibeenna.
010519002b	Matusaali 187 laythi de7idi, Laameha yelis.
01051a0059	Matusaali Laameha yelidaape guye, 782 laythi de7is. Hara adde naytanne macca nayta yelis.
01051b0023	Matusaali 969 laythi de7idi hayqis.
01051c002b	Laamehi 182 laythi de7idi, adde na7a yelis.
01051d0077	Yaatidi, “Ha na7ay Goday baaddida biitta bolla ha daabura ooso ubbaafe nuna shempisana” gidi iya Nohe gidi sunthis.
01051e0054	Laamehi Nohe yelidaape guye, 595 laythi de7is. Hara adde naytanne macca nayta yelis.
01051f0021	Laamehi 777 laythi de7idi hayqis.
010520004e	Nohey 500 laythi de7i simmidi heedzu adde nayta Seema, Kaamanne Yaafeta yelis.
010601003b	Asay sa7a bolla darida wode entaw macca nayti yeletidosona.
010602007b	“Xoossaa nayta” geetetiya medhetethati he macca nayti mala lo77o gideysa be7idi entafe bantaw dooridaysata machidosona.
0106030091	Goday, “Asas de7o immiya ta Ayyaanay asan merinaw deenna. Asi hayqeysa gidiya gisho, hizape iya laythay issi xeetanne laatama gidana” yaagis.
01060400a5	He wodenne hessafe guye, Xoossa nayti asa macca nayta ekin, nayti yeletida wode, wogga adussa asati sa7a bolla de7idosona. Enti beni wode olas minonne eretida asata.
0106050072	Goday he wode sa7a bolla de7iya asa iitatethi daridaysanne enta wozanay ubba wode qopiyabay iita xalaala gididaysa
0106060048	be7idi, ase ha sa7a bolla medhidaysan azzanis; ba wozanan daro qiirotis.
01060700ac	Taani ase ayis medhadina gada qiirotas. Hessa gisho, Goday, “Taani medhida ase, mehe, do7a, sa7ara gooshetiya medhetethatanne salo kafota sa7a bollafe dhaysana” yaagis.
0106080025	Shin Nohey Godaa sinthan saba demmis.
010609006b	Nohe taarkey haysafe kaallidi xaafetidaysa. Nohey ba wode de7iya asa giddofe Xoossaa ufaysiyanne suure asi.
01060a0040	Nohey Seema, Kaamanne Yaafeta geetetiya heedzu adde nayta yelis.
01060b004e	He wode biittay kumethi Xoossa sinthan tunis; biitta ubbay geellatethan kumis.
01060c005a	Xoossay ha biitta xeelliya wode sa7an de7iya asa ubbay banta ogiya tunisidi de7eysa be7is.
01060d009d	Hessa gisho, Xoossay Nohe haysada yaagidi kiittis; “Taani asa ubbaa dhaysana hanayis. Enta gaason biittay geellatethan kumida gisho, ase biittafe dhaysana.
01060e0081	Hessa gisho, mino mithafe new markabe keexa. He markabiya giddon daro qol7ata kessa. Yaatada sooranne karera made melaban meesha.
01060f005f	Markabiya haysada yaatada keexa; adussatethaa 300 wadha, gompaa 50 wadha, geesa 30 wadha ootha.
01061000a2	Markabiyas kaara medha; kaarapenne godaape giddon issi wadha gidiya bessi dooya agga. Pengiya markabiyas miye baggara kessa; markabiya heedzu pooqe kessada keexa.
010611007e	“Taani salope garsan shempora de7iya medhetetha ubbaa dhaysanaw dhayo haatha yeddada ha sa7aa bolla de7iyaba ubbaa dhaysana.
0106120070	Shin taani ta caaquwa neera caaqana. Neeni, ne machiw, ne adde naytanne enta macheta ekada markabiya giddo gela.
0106130084	Enti neera de7on daana mela, de7oy de7iya medhetetha ubbaafe qommon qommon addenne macca nam7a nam7a oothada, markabiya giddo gelsa.
010614009e	Dumma dumma qommo kafotape, dumma dumma qommo mehetapenne sa7ara gooshetiya dumma dumma qommo medhetetha ubbaafe nam7a nam7a gididi de7on daana mela neeko yo.
0106150061	Qassi hintenne do7ati maanaw dumma dumma qommo miya kathi efada, markabiya giddon qola” yaagis.
010616002c	Nohey ubbabaaka Xoossay kiitidaysada oothis.
01070100a5	Hessafe guye, Goday Nohe haysada yaagis; “Neeni ne soo asa ubbaara markabiya giddo gela. Ha wodiya yeletethaa giddon ta sheniya poliday ne xalaala gididaysa be7as.
01070200a5	Neeni tuna gidonna mehenne do7a ubbaafe iya qommofe qommofe addenne macca laapun laapun, tuna mehenne do7a ubbaafe iya qommofe qommofe issi addenne issi macca gelsa.
0107030095	Qassi salo kafotape iya qommofe qommofe addenne macca laapun laapun oothada, biitta ubbaa bolla dumma dumma kochay de7on daana mela neera ekada gela.
01070400a1	Laapun gallasape guye, taani oytamu gallasinne oytamu qamma ha sa7aa bolla ira bukisana. Yaatada taani medhida medhetetha ubbaa biitta bollafe quchana” yaagis.
010705002e	Yaatin, Nohey Goday iya kiitida ubbaba oothis.
0107060041	Dhayo haathay ha sa7aa bolla yida wode Nohes laythi usupun xeeta.
010707006b	Nohey, iya adde nayti, iya machiyanne iya nayta macheti dhayo haathaafe attanaw markabiya giddo gelidosona.
0107080060	Tuna gidonna mehepenne do7ape, tuna mehepenne do7ape kafotapenne biittara goosheteyisata ubbaafe
010709005f	Xoossay Nohe kiitidaysada addenne maccas nam7a nam7a gididi, Noheko markabiya giddo gelidosona.
01070a0037	Laapun gallasape guye, dhayo haathay ha sa7a bolla yis.
01070b00bb	Nohey usupun xeetu laythi de7in, nam7antho ageenan, tammanne laapuntha gallasan, biitta giddon de7iya gita ciimmuwa pulto ubbay dhuuqi aggis. Salon de7iya haatha maskooteti dooyetidosona.
01070c0039	Iray ha sa7aa bolla oytamu gallasinne oytamu qamma bukis.
01070d0094	Iri buka doomida gallas Noheynne iya machiya, iya adde nayti, Seemi, Kaaminne Yaafeti, iya nayta heedzata macheti issife markabiya giddo gelidosona.
01070e00a3	Do7a ubbaafe ba qommon qommon, mehe ubbaafe ba qommon qommon, biittara gooshetiya ubbaafe ba qommon qommon, kafo ubbaafe ba qommon qommon entara issife gelidosona.
01070f0049	Shempora de7eysati ubbay nam7a nam7a gididi Noheko markabiyan gelidosona.
0107100086	Xoossay Nohe kiitidaysada, medhetetha ubbaafe addenne macca gididi markabiya giddo gelin Nohepe guyera Goday markabiya pengiya gordis.
0107110065	Dhayo haathay oytamu gallas sa7a bolla bukishe de7is. Haathay daridi markabiya biittafe pude denthis.
0107120041	Haathay biitta bolla keehi darin, markabey haatha bolla tooketis.
0107130053	Salope garsan de7iya zumati ubbay mitettana gakanaw haathay sa7a bolla keehi daris.
0107140046	Haathay zumata xeerape aadhidi, tammanne ichashu wadha gakanaw diccis.
010715005c	Yaatin sa7a bolla woxi qaaxiya medhetethati ubbay, kafoti, mehey, do7inne, asi ubbay hayqis.
0107160044	Biitta bolla de7iya ba siidhera de7o shempo shempiya ubbayka hayqis.
010717009b	Sa7a bolla de7oy de7iya ubbay, asay, mehey, do7aynne salo kafoti ubbay sa7ape qushetidosona. Noheynne iyara markabiya giddon de7eyisata xalaali attidosona.
010718003f	He haathay pacconna xeetanne ishatamu gallas sa7a bolla gam7is.
0108010086	Shin Xoossay Nohe, iyara markabiya giddon de7iya do7a ubbaanne mehe ubbaa qopidi sa7a bolla carko carkisin he haathay wodhi wodhi bis.
0108020071	Qassi biitta giddon de7iya ciimmuwa pultoynne salon de7iya haatha maskooteti gordetidosona; irayka salon teqetis.
0108030041	Yaanin, haathay xeetanne ishatamu gallas gakanaw wodhi wodhi bis.
0108040063	Haathay wodhin laapuntha ageenan, tammanne laapuntha gallasan markabey Araraate zumata bolla uttis.
010805006c	Haathay tammantha ageena gakanaw wodhi wodhi bis. Tammantho ageenas koyro gallas zumata xeerati bentidosona.
010806003c	Oytamu gallasape guye, Nohey ba keexida markabiya maskootiya
010807006d	dooyidi issi quuro kare yeddin quuroy haathay biitta bollafe melana gakanaw, yaanne haanne piradhishe gam7is.
0108080052	Qassi Nohey haathay biitta bollafe wodhi wuridaako be7anaw issi holle kare yeddis.
01080900b6	Shin he holliya haathay biitta ubbaa bolla ha7ika de7iya gisho, shempiya bessi demmabuku. Hessa gisho, simmada, markabiyako yin, Nohey ba kushiya yeddidi, baako markabiya giddo ekis.
01080a003b	Hessafe guye, laapun gallas gam7idi, holliw zaaridi yeddis.
01080b00a6	He holliya sa7i omarsiya wode iyako simmada yashe shamaho aacape duuthida irxa haythi ba doonan saxa ekada yasu. Yaatin, haathay biitta bollafe wodhidaysa Nohey eris.
01080c0068	Qassi Nohey hara laapun gallas gam7idi, he holliw zaaridi yeddis. Shin he holliya iyako simmada yabuuku.
01080d00a3	Nohey usupun xeetanne issi laythi de7in, koyro ageenan koyro gallas, haathay biitta bollafe xiz7is. Nohey markabiya kamaa qaari xeellidi, biittay xiz7idaysa be7is.
01080e0047	Nam7antho ageenan laatamanne laapuntha gallasan, biittay kumethi melis.
01080f002d	Xoossay he wode Nohe haysada yaagidi kiittis;
0108100054	“Neeni, ne machiw, ne adde naytanne ne nayta macheta ekada markabiya giddofe keya.
0108110096	Enti yeletidi, darana mela de7oy de7iya medhetetha ubbaafe neera de7eyisata kafota, meheta, do7atanne biittara gooshetiya ubbaa neera kessa” yaagis.
0108120057	Yaatin Nohey ba adde naytara, ba macheranne ba nayta machetara markabiya giddofe keyis.
0108130092	Yaanin, meheynne do7ay, sa7ara gooshetiya medhetethay, kafoynne sa7a bolla woxi qaaxiyaba ubbay ba qommuwan qommuwan markabiya giddofe keyidosona.
010814009c	Hessafe guye, Nohey Godaas yarsho bessi gimbidi tuna gidonna mehenne do7a ubbaafe, tuna gidonna kafo ubbaafe ekidi, giigisida bessan yarsho oothidi xuuggis.
010815010c	Yaatin, Goday he yarshuwa peenuwa singidi, ba wozanan haysada yaagis; “Na7atethafe doomidi asi wozanan qopiyaba ubbay iita gidikoka taani asa qoho gisho gada nam7antho ha sa7aa baaddike. Qassi taani ha7i oothidaysada de7oy de7iya medhetetha ubbaa nam7antho dhaysike.
010816008b	Ha biittay de7ida wode ubban, zeriya wodeynne cakiya wodey, meegoyinne hombey, boneynne balgoy, gallasinne qammi ubba wode daana” yaagis.
010901005d	Xoossay Nohenne iya adde nayta haysada yaagidi anjis; “Yeletite, darite, sa7a ubbaa kumite.
0109020086	Sa7aa do7ati, salo kafoti, biittan woxi qaaxiyabaynne abban de7iya moloti ubbay hintew yashshaninne dagaman de7o. Enti hintew haareto.
0109030081	Taani doliya dumma dumma cil7obata hintew immidaysada, de7oy de7iya woxi qaaxiya medhetetha ubbay hintew kathi gidana mela immas.
0109040047	Shin shempoy giddon de7iya gisho suuthi iya giddon de7iya asho moopite.
0109050051	Oonika shempo wodhiday pirdetana. Qassi asa suuthi gussiya do7aka hayqon pirdana.
010906006b	Xoossay ase bana daanisidi medhida gisho, asa suuthi gussiya oona gidikoka iya suuthayka asa kushen gukana.
0109070043	Hinte yeletite, darite, hinte sheeshayka sa7a bolla daro” yaagis.
0109080049	Hessafe guye, Xoossay Nohenne iyara de7iya iya adde nayta haysada yaagis;
010909005f	“Hiza, taani ta caaquwa hintera, hinte sheesharanne de7oy de7iya medhetetha ubbaara caaqayis.
01090a007f	Taani ta caaquwa kafotara, mehiyara, sa7a do7a ubbaaranne, markabiyape hintera keyida, de7oy de7iya medhetetha ubbara caaqayis.
01090b0089	Taani hintera caaqidaysa mela hizape de7oy de7iya medhetethati dhayo haathan dhayokona; ha sa7aaka zaari dhayo haathi dhaysena” yaagis.
01090c0070	Qassika Xoossay, “Taani taapenne hintefe, de7oy de7iya medhetetha ubbaafe giddon caaqiya caaquwa mallay haysa;
01090d006b	Taani ta zuulla shaaran essas. I taapenne sa7a bolla de7iya medhetetha giddon de7iya caaquwas malla gidana.
01090e003b	Ta saluwa shaara mayzida wodenne shaaran zuulli eqida wode,
01090f00b1	taapenne hintefe giddon, de7oy de7iya dumma dumma medhetetha ubbaafe giddon caaqida ta caaquwa akeekana. De7oy de7iya medhetetha ubbaa dhaysanaw hizape guye dhayo haathi yeenna.
0109100093	Zuulli shaaran eqida wode ta iya be7ada taapenne sa7a bolla de7iya dumma dumma medhetetha ubbaafe giddon caaqida merina caaquwa akeekana” yaagis.
0109110070	Xoossay Nohe, “Taani taapenne sa7a bolla de7oy de7iyaba ubbaafe giddon caaqida caaquwa mallay haysa” yaagis.
