010000000b	1 Mooseksen
01011900b1	Jumala teki metsäeläimet, kunkin lajinsa mukaan, ja karjaeläimet, kunkin lajinsa mukaan, ja kaikki maan matelijat, kunkin lajinsa mukaan. Ja Jumala näki, että se oli hyvä.
01011a00bc	Ja Jumala sanoi: "Tehkäämme ihminen kuvaksemme, kaltaiseksemme; ja vallitkoot he meren kalat ja taivaan linnut ja karjaeläimet ja koko maan ja kaikki matelijat, jotka maassa matelevat".
01011b0070	Ja Jumala loi ihmisen omaksi kuvaksensa, Jumalan kuvaksi hän hänet loi; mieheksi ja naiseksi hän loi heidät.
01011c00f0	Ja Jumala siunasi heidät, ja Jumala sanoi heille: "Olkaa hedelmälliset ja lisääntykää ja täyttäkää maa ja tehkää se itsellenne alamaiseksi; ja vallitkaa meren kalat ja taivaan linnut ja kaikki maan päällä liikkuvat eläimet".
01011d00ce	Ja Jumala sanoi: "Katso, minä annan teille kaikkinaiset siementä tekevät ruohot, joita kasvaa kaikkialla maan päällä, ja kaikki puut, joissa on siementä tekevä hedelmä; olkoot ne teille ravinnoksi.
01011e00c3	Ja kaikille metsäeläimille ja kaikille taivaan linnuille ja kaikille, jotka maassa matelevat ja joissa on elävä henki, minä annan kaikkinaiset viheriät ruohot ravinnoksi". Ja tapahtui niin.
01011f007e	Ja Jumala katsoi kaikkea, mitä hän tehnyt oli, ja katso, se oli sangen hyvää. Ja tuli ehtoo, ja tuli aamu, kuudes päivä.
010201003b	Niin tulivat valmiiksi taivas ja maa kaikkine joukkoinensa.
01020200a2	Ja Jumala päätti seitsemäntenä päivänä työnsä, jonka hän oli tehnyt, ja lepäsi seitsemäntenä päivänä kaikesta työstänsä, jonka hän oli tehnyt.
0102030090	Ja Jumala siunasi seitsemännen päivän ja pyhitti sen, koska hän sinä päivänä lepäsi kaikesta luomistyöstänsä, jonka hän oli tehnyt.
0102040072	Tämä on kertomus taivaan ja maan synnystä, kun ne luotiin. Siihen aikaan kun Herra Jumala teki maan ja taivaan,
01020500d0	ei ollut vielä yhtään kedon pensasta maan päällä, eikä vielä kasvanut mitään ruohoa kedolla, koska Herra Jumala ei vielä ollut antanut sataa maan päälle eikä ollut ihmistä maata viljelemässä,
0102060033	vaan sumu nousi maasta ja kasteli koko maan pinnan.
0102070084	Silloin Herra Jumala teki maan tomusta ihmisen ja puhalsi hänen sieramiinsa elämän hengen, ja niin ihmisestä tuli elävä sielu.
0102080065	Ja Herra Jumala istutti paratiisin Eedeniin, itään, ja asetti sinne ihmisen, jonka hän oli tehnyt.
01020900a2	Ja Herra Jumala kasvatti maasta kaikkinaisia puita, ihania nähdä ja hyviä syödä, ja elämän puun keskelle paratiisia, niin myös hyvän-ja pahantiedon puun.
01020a005e	Ja Eedenistä lähti joki, joka kasteli paratiisia, ja se jakaantui sieltä neljään haaraan.
01020b004d	Ensimmäisen nimi on Piison; se kiertää koko Havilan maan, jossa on kultaa;
01020c0050	ja sen maan kulta on hyvää. Siellä on myös bedellion-pihkaa ja onyks-kiveä.
01020d003c	Toisen virran nimi on Giihon; se kiertää koko Kuusin maan.
01020e0059	Kolmannen virran nimi on Hiddekel; se juoksee Assurin editse. Ja neljäs virta on Eufrat.
01020f0063	Ja Herra Jumala otti ihmisen ja pani hänet Eedenin paratiisiin viljelemään ja varjelemaan sitä.
0102100059	Ja Herra Jumala käski ihmistä sanoen: "Syö vapaasti kaikista muista paratiisin puista,
0102110084	mutta hyvän-ja pahantiedon puusta älä syö, sillä sinä päivänä, jona sinä siitä syöt, pitää sinun kuolemalla kuoleman".
0102120072	Ja Herra Jumala sanoi: "Ei ole ihmisen hyvä olla yksinänsä, minä teen hänelle avun, joka on hänelle sopiva".
01021300dc	Ja Herra Jumala teki maasta kaikki metsän eläimet ja kaikki taivaan linnut ja toi ne ihmisen eteen nähdäkseen, kuinka hän ne nimittäisi; ja niinkuin ihminen nimitti kunkin elävän olennon, niin oli sen nimi oleva.
01021400a4	Ja ihminen antoi nimet kaikille karjaeläimille ja taivaan linnuille ja kaikille metsän eläimille. Mutta Aadamille ei löytynyt apua, joka olisi hänelle sopinut.
010215008c	Niin Herra Jumala vaivutti ihmisen raskaaseen uneen, ja kun hän nukkui, otti hän yhden hänen kylkiluistaan ja täytti sen paikan lihalla.
010216006e	Ja Herra Jumala rakensi vaimon siitä kylkiluusta, jonka hän oli ottanut miehestä, ja toi hänet miehen luo.
010217008d	Ja mies sanoi: "Tämä on nyt luu minun luistani ja liha minun lihastani; hän kutsuttakoon miehettäreksi, sillä hän on miehestä otettu".
0102180071	Sentähden mies luopukoon isästänsä ja äidistänsä ja liittyköön vaimoonsa, ja he tulevat yhdeksi lihaksi.
0102190056	Ja he olivat molemmat, mies ja hänen vaimonsa, alasti eivätkä hävenneet toisiansa.
01030100bc	Mutta käärme oli kavalin kaikista kedon eläimistä, jotka Herra Jumala oli tehnyt; ja se sanoi vaimolle: "Onko Jumala todellakin sanonut: 'Älkää syökö kaikista paratiisin puista'?"
0103020059	Niin vaimo vastasi käärmeelle: "Me saamme syödä muiden puiden hedelmiä paratiisissa,
0103030095	mutta sen puun hedelmästä, joka on keskellä paratiisia, on Jumala sanonut: 'Älkää syökö siitä älkääkä koskeko siihen, ettette kuolisi'."
0103040033	Niin käärme sanoi vaimolle: "Ette suinkaan kuole;
010305009f	vaan Jumala tietää, että sinä päivänä, jona te siitä syötte, aukenevat teidän silmänne, ja te tulette niinkuin Jumala tietämään hyvän ja pahan".
01030600ea	Ja vaimo näki, että siitä puusta oli hyvä syödä ja että se oli ihana katsella ja suloinen puu antamaan ymmärrystä; ja hän otti sen hedelmästä ja söi ja antoi myös miehellensä, joka oli hänen kanssansa, ja hänkin söi.
010307009a	Silloin aukenivat heidän molempain silmät, ja he huomasivat olevansa alasti; ja he sitoivat yhteen viikunapuun lehtiä ja tekivät itselleen vyöverhot.
01030800a5	Ja he kuulivat, kuinka Herra Jumala käyskenteli paratiisissa illan viileydessä. Ja mies vaimoineen lymysi Herran Jumalan kasvojen edestä paratiisin puiden sekaan.
0103090042	Mutta Herra Jumala huusi miestä ja sanoi hänelle: "Missä olet?"
01030a007e	Hän vastasi: "Minä kuulin sinun askeleesi paratiisissa ja pelkäsin, sillä minä olen alasti, ja sentähden minä lymysin".
01030b007e	Ja hän sanoi: "Kuka sinulle ilmoitti, että olet alasti? Etkö syönyt siitä puusta, josta minä kielsin sinua syömästä?"
01030c0068	Mies vastasi: "Vaimo, jonka annoit olemaan minun kanssani, antoi minulle siitä puusta, ja minä söin".
01030d006e	Niin Herra Jumala sanoi vaimolle: "Mitäs olet tehnyt?" Vaimo vastasi: "Käärme petti minut, ja minä söin".
01030e00cf	Ja Herra Jumala sanoi käärmeelle: "Koska tämän teit, kirottu ole sinä kaikkien karjaeläinten ja kaikkien metsän eläinten joukossa. Vatsallasi sinun pitää käymän ja tomua syömän koko elinaikasi.
01030f00b3	Ja minä panen vainon sinun ja vaimon välille ja sinun siemenesi ja hänen siemenensä välille; se on polkeva rikki sinun pääsi, ja sinä olet pistävä sitä kantapäähän."
01031000b5	Ja vaimolle hän sanoi: "Minä teen suuriksi sinun raskautesi vaivat, kivulla sinun pitää synnyttämän lapsia; mutta mieheesi on sinun halusi oleva, ja hän on sinua vallitseva".
01031100ea	Ja Aadamille hän sanoi: "Koska kuulit vaimoasi ja söit puusta, josta minä kielsin sinua sanoen: 'Älä syö siitä', niin kirottu olkoon maa sinun tähtesi. Vaivaa nähden sinun pitää elättämän itseäsi siitä koko elinaikasi;
010312005a	orjantappuroita ja ohdakkeita se on kasvava sinulle, ja kedon ruohoja sinun on syötävä.
01031300b3	Otsasi hiessä sinun pitää syömän leipäsi, kunnes tulet maaksi jälleen, sillä siitä sinä olet otettu. Sillä maasta sinä olet, ja maaksi pitää sinun jälleen tuleman."
0103140051	Ja mies antoi vaimolleen nimen Eeva, sillä hänestä tuli kaiken elävän äiti.
010315005f	Ja Herra Jumala teki Aadamille ja hänen vaimollensa puvut nahasta ja puki ne heidän yllensä.
01031600eb	Ja Herra Jumala sanoi: "Katso, ihminen on tullut sellaiseksi kuin joku meistä, niin että hän tietää hyvän ja pahan. Kun ei hän nyt vain ojentaisi kättänsä ja ottaisi myös elämän puusta ja söisi ja eläisi iankaikkisesti!"
0103170063	Niin Herra Jumala ajoi hänet pois Eedenin paratiisista viljelemään maata, josta hän oli otettu.
0103180094	Ja hän karkoitti ihmisen ja asetti Eedenin paratiisin itäpuolelle kerubit ynnä välkkyvän, leimuavan miekan vartioitsemaan elämän puun tietä.
010401007e	Ja mies yhtyi vaimoonsa Eevaan; ja tämä tuli raskaaksi ja synnytti Kainin ja sanoi: "Minä olen saanut pojan Herran avulla".
010402006b	Ja taas hän synnytti pojan, veljen Kainille, Aabelin. Ja Aabelista tuli lampuri, mutta Kainista peltomies.
0104030056	Ja jonkun ajan kuluttua tapahtui, että Kain toi maan hedelmistä uhrilahjan Herralle;
0104040080	ja myöskin Aabel toi uhrilahjan laumansa esikoisista, niiden rasvoista. Ja Herra katsoi Aabelin ja hänen uhrilahjansa puoleen;
0104050078	mutta Kainin ja hänen uhrilahjansa puoleen hän ei katsonut. Silloin Kain vihastui kovin, ja hänen hahmonsa synkistyi.
010406004c	Ja Herra sanoi Kainille: "Miksi olet vihastunut, ja miksi hahmosi synkistyy?
010407009a	Eikö niin: jos teet hyvin, voit kohottaa katseesi; mutta jos et hyvin tee, niin väijyy synti ovella, ja sen halu on sinuun, mutta hallitse sinä sitä!"
0104080094	Ja Kain sanoi veljellensä Aabelille: "Menkäämme kedolle". Ja heidän kedolla ollessansa Kain karkasi veljensä Aabelin kimppuun ja tappoi hänet.
010409006e	Niin Herra sanoi Kainille: "Missä on veljesi Aabel?" Hän vastasi: "En tiedä; olenko minä veljeni vartija?"
01040a004d	Ja hän sanoi: "Mitä olet tehnyt? Kuule, veljesi veri huutaa minulle maasta.
01040b0075	Ja nyt ole kirottu ja karkoitettu pois tältä vainiolta, joka avasi suunsa ottamaan veljesi veren sinun kädestäsi.
01040c0079	Kun maata viljelet, ei se ole enää sinulle satoansa antava; kulkija ja pakolainen pitää sinun oleman maan päällä."
01040d0051	Ja Kain sanoi Herralle: "Syyllisyyteni on suurempi, kuin että sen kantaa voisin.
01040e00be	Katso, sinä karkoitat minut nyt pois vainiolta, ja minun täytyy lymytä sinun kasvojesi edestä ja olla kulkija ja pakolainen maan päällä; ja kuka ikinä minut kohtaa, se tappaa minut."
01040f00cc	Mutta Herra sanoi hänelle: "Sentähden, kuka ikinä tappaa Kainin, hänelle se pitää seitsenkertaisesti kostettaman". Ja Herra pani Kainiin merkin, ettei kukaan, joka hänet kohtaisi, tappaisi häntä.
0104100065	Niin Kain poistui Herran kasvojen edestä ja asettui asumaan Noodin maahan, itään päin Eedenistä.
0104110091	Ja Kain yhtyi vaimoonsa, ja tämä tuli raskaaksi ja synnytti Hanokin. Ja hän rakensi kaupungin ja antoi sille kaupungille poikansa nimen Hanok.
010412006e	Ja Hanokille syntyi Iirad, Iiradille syntyi Mehujael, Mehujaelille syntyi Metusael, Metusaelille syntyi Lemek.
010413004d	Lemek otti itselleen kaksi vaimoa, toisen nimi oli Aada ja toisen nimi Silla.
0104140070	Ja Aada synnytti Jaabalin; hänestä tuli niiden kantaisä, jotka teltoissa asuvat ja karjanhoitoa harjoittavat.
0104150072	Ja hänen veljensä nimi oli Juubal; hänestä tuli kaikkien niiden kantaisä, jotka kannelta ja huilua soittavat.
010416008b	Myöskin Silla synnytti pojan, Tuubal-Kainin; hänestä tuli kaikkinaisten vaski-ja rauta-aseiden takoja. Ja Tuubal-Kainin sisar oli Naema.
01041700ae	Ja Lemek lausui vaimoillensa: "Aada ja Silla, kuulkaa puhettani, te Lemekin emännät, ottakaa sanani korviinne: minä surmaan miehen haavastani ja nuorukaisen mustelmastani.
010418005c	Niin, Kain kostetaan seitsenkertaisesti, mutta Lemek seitsemänkymmentä seitsemän kertaa."
01041900b0	Ja Aadam yhtyi taas vaimoonsa, ja tämä synnytti pojan ja antoi hänelle nimen Seet, sanoen: "Jumala on suonut minulle toisen pojan Aabelin sijaan, koska Kain hänet surmasi".
01041a007d	Ja myöskin Seetille syntyi poika, ja hän antoi hänelle nimen Enos. Siihen aikaan ruvettiin avuksi huutamaan Herran nimeä.
010501005d	Tämä on Aadamin sukuluettelo. Kun Jumala loi ihmisen, teki hän hänet Jumalan kaltaiseksi.
0105020074	Mieheksi ja naiseksi hän heidät loi ja siunasi heidät ja antoi heille nimen ihminen, silloin kun heidät luotiin.
0105030097	Kun Aadam oli sadan kolmenkymmenen vuoden vanha, syntyi hänelle poika, joka oli hänen kaltaisensa, hänen kuvansa, ja hän antoi hänelle nimen Seet.
0105040066	Ja Aadam eli Seetin syntymän jälkeen kahdeksansataa vuotta, ja hänelle syntyi poikia ja tyttäriä.
0105050057	Niin oli Aadamin koko elinaika yhdeksänsataa kolmekymmentä vuotta; sitten hän kuoli.
010506003d	Kun Seet oli sadan viiden vuoden vanha, syntyi hänelle Enos.
0105070071	Ja Seet eli Enoksen syntymän jälkeen kahdeksansataa seitsemän vuotta, ja hänelle syntyi poikia ja tyttäriä.
0105080053	Niin oli Seetin koko elinaika yhdeksänsataa kaksitoista vuotta; sitten hän kuoli.
0105090044	Kun Enos oli yhdeksänkymmenen vuoden vanha, syntyi hänelle Keenan.
01050a0073	Ja Enos eli Keenanin syntymän jälkeen kahdeksansataa viisitoista vuotta, ja hänelle syntyi poikia ja tyttäriä.
01050b004e	Niin oli Enoksen koko elinaika yhdeksänsataa viisi vuotta; sitten hän kuoli.
01050c004a	Kun Keenan oli seitsemänkymmenen vuoden vanha, syntyi hänelle Mahalalel.
01050d007c	Ja Keenan eli Mahalalelin syntymän jälkeen kahdeksansataa neljäkymmentä vuotta, ja hänelle syntyi poikia ja tyttäriä.
01050e0052	Niin oli Keenanin koko elinaika yhdeksänsataa kymmenen vuotta; sitten hän kuoli.
01050f004c	Kun Mahalalel oli kuudenkymmenen viiden vuoden vanha, syntyi hänelle Jered.
010510007a	Ja Mahalalel eli Jeredin syntymän jälkeen kahdeksansataa kolmekymmentä vuotta, ja hänelle syntyi poikia ja tyttäriä.
0105110065	Niin oli Mahalalelin koko elinaika kahdeksansataa yhdeksänkymmentä viisi vuotta; sitten hän kuoli.
010512004e	Kun Jered oli sadan kuudenkymmenen kahden vuoden vanha, syntyi hänelle Hanok.
0105130067	Ja Jered eli Hanokin syntymän jälkeen kahdeksansataa vuotta, ja hänelle syntyi poikia ja tyttäriä.
010514005d	Niin oli Jeredin koko elinaika yhdeksänsataa kuusikymmentä kaksi vuotta; sitten hän kuoli.
010515004c	Kun Hanok oli kuudenkymmenen viiden vuoden vanha, syntyi hänelle Metusalah.
010516007e	Ja Hanok vaelsi Metusalahin syntymän jälkeen Jumalan yhteydessä kolmesataa vuotta, ja hänelle syntyi poikia ja tyttäriä.
0105170046	Niin oli Hanokin koko elinaika kolmesataa kuusikymmentä viisi vuotta.
010518006f	Ja kun Hanok oli vaeltanut Jumalan yhteydessä, ei häntä enää ollut, sillä Jumala oli ottanut hänet pois.
0105190059	Kun Metusalah oli sadan kahdeksankymmenen seitsemän vuoden vanha, syntyi hänelle Lemek.
01051a0085	Ja Metusalah eli Lemekin syntymän jälkeen seitsemänsataa kahdeksankymmentä kaksi vuotta, ja hänelle syntyi poikia ja tyttäriä.
01051b0065	Niin oli Metusalahin koko elinaika yhdeksänsataa kuusikymmentä yhdeksän vuotta; sitten hän kuoli.
01051c0051	Kun Lemek oli sadan kahdeksankymmenen kahden vuoden vanha, syntyi hänelle poika.
01051d0097	Ja hän antoi hänelle nimen Nooa, sanoen: "Tämä lohduttaa meitä työssämme ja kättemme vaivoissa viljellessämme maata, jonka Herra on kironnut".
01051e007a	Ja Lemek eli Nooan syntymän jälkeen viisisataa yhdeksänkymmentä viisi vuotta, ja hänelle syntyi poikia ja tyttäriä.
01051f0068	Niin oli Lemekin koko elinaika seitsemänsataa seitsemänkymmentä seitsemän vuotta; sitten hän kuoli.
0105200050	Kun Nooa oli viidensadan vuoden vanha, syntyivät hänelle Seem, Haam ja Jaafet.
010601004d	Kun ihmiset alkoivat lisääntyä maan päällä ja heille syntyi tyttäriä,
0106020071	huomasivat Jumalan pojat ihmisten tyttäret ihaniksi ja ottivat vaimoikseen kaikki, jotka he parhaiksi katsoivat.
010603009c	Silloin Herra sanoi: "Minun Henkeni ei ole vallitseva ihmisessä iankaikkisesti, koska hän on liha. Niin olkoon hänen aikansa sata kaksikymmentä vuotta."
01060400ce	Siihen aikaan eli maan päällä jättiläisiä, ja myöhemminkin, kun Jumalan pojat yhtyivät ihmisten tyttäriin ja nämä synnyttivät heille lapsia; nämä olivat noita muinaisajan kuuluisia sankareita.
01060500a8	Mutta kun Herra näki, että ihmisten pahuus oli suuri maan päällä ja että kaikki heidän sydämensä aivoitukset ja ajatukset olivat kaiken aikaa ainoastaan pahat,
010606005f	niin Herra katui tehneensä ihmiset maan päälle, ja hän tuli murheelliseksi sydämessänsä.
01060700a4	Ja Herra sanoi: "Minä hävitän maan päältä ihmiset, jotka minä loin, sekä ihmiset että karjan, matelijat ja taivaan linnut; sillä minä kadun ne tehneeni".
010608002c	Mutta Nooa sai armon Herran silmien edessä.
010609007d	Tämä on kertomus Nooan suvusta. Nooa oli aikalaistensa keskuudessa hurskas ja nuhteeton mies ja vaelsi Jumalan yhteydessä.
01060a0035	Ja Nooalle syntyi kolme poikaa, Seem, Haam ja Jaafet.
01060b0046	Mutta maa turmeltui Jumalan edessä, ja maa tuli täyteen väkivaltaa.
01060c006b	Niin Jumala näki, että maa oli turmeltunut; sillä kaikki liha oli turmellut vaelluksensa maan päällä.
01060d00b7	Silloin Jumala sanoi Nooalle: "Minä olen päättänyt tehdä lopun kaikesta lihasta, sillä maa on heidän tähtensä täynnä väkivaltaa; katso, minä hävitän heidät ynnä maan.
01060e0063	Tee itsellesi arkki honkapuista, rakenna arkki täyteen kammioita, ja tervaa se sisältä ja ulkoa.
01060f009f	Ja näin on sinun se rakennettava: kolmesataa kyynärää olkoon arkin pituus, viisikymmentä kyynärää sen leveys ja kolmekymmentä kyynärää sen korkeus.
01061000a3	Tee arkkiin valoaukko, ja tee se kyynärän korkuiseksi, ja sijoita arkin ovi sen kylkeen; rakenna siihen kolme kerrosta, alimmainen, keskimmäinen ja ylimmäinen.
01061100b2	Sillä katso, minä annan vedenpaisumuksen tulla yli maan hävittämään taivaan alta kaiken lihan, kaiken, jossa on elämän henki; kaikki, mikä on maan päällä, on hukkuva.
0106120084	Mutta sinun kanssasi minä teen liiton, ja sinun on mentävä arkkiin, sinun ja sinun poikiesi, vaimosi ja miniäisi sinun kanssasi.
01061300a2	Ja kaikista eläimistä, kaikesta lihasta, sinun on vietävä arkkiin kaksi kutakin lajia säilyttääksesi ne hengissä kanssasi; niitä olkoon koiras ja naaras.
01061400af	Lintuja lajiensa mukaan, karjaeläimiä lajiensa mukaan ja kaikkia maan matelijoita lajiensa mukaan tulkoon kaksi kutakin lajia sinun luoksesi, säilyttääksesi ne hengissä.
0106150086	Ja hanki itsellesi kaikkinaista ravintoa, syötäväksi kelpaavaa, ja kokoa sitä talteesi, että se olisi ruuaksi sinulle ja heille."
0106160050	Ja Nooa teki näin; aivan niin kuin Jumala hänen käski tehdä, niin hän teki.
010701008a	Ja Herra sanoi Nooalle: "Mene sinä ja koko perheesi arkkiin, sillä sinut minä olen tässä sukukunnassa havainnut hurskaaksi edessäni.
0107020091	Kaikkia puhtaita eläimiä ota luoksesi seitsemän paria, koiraita ja naaraita, mutta epäpuhtaita eläimiä kutakin yksi pari, koiras ja naaras.
0107030075	Niin myös taivaan lintuja seitsemän paria, koiraita ja naaraita, että siemen säilyisi elossa koko maan päällä.
01070400b7	Sillä seitsemän päivän kuluttua minä annan sataa maan päälle neljäkymmentä päivää ja neljäkymmentä yötä ja hävitän maan päältä kaikki olennot, jotka olen tehnyt."
0107050046	Ja Nooa teki näin, aivan niin kuin Herra oli hänen käskenyt tehdä.
0107060048	Nooa oli kuudensadan vuoden vanha, kun vedenpaisumus tuli maan päälle.
010707006b	Ja Nooa ja hänen poikansa, vaimonsa ja miniänsä hänen kanssaan menivät arkkiin vedenpaisumusta pakoon.
0107080057	Puhtaita eläimiä ja epäpuhtaita eläimiä, lintuja ja kaikkia, joita maassa matelee,
0107090061	meni Nooan luo arkkiin kaksittain, koiras ja naaras, niinkuin Jumala oli Nooalle käskyn antanut.
01070a0048	Ja niiden seitsemän päivän kuluttua tuli vedenpaisumus maan päälle.
01070b00d7	Ja sinä vuonna, jona Nooa oli kuudensadan vuoden vanha, sen toisena kuukautena, kuukauden seitsemäntenätoista päivänä, sinä päivänä puhkesivat kaikki suuren syvyyden lähteet, ja taivaan akkunat aukenivat.
01070c0054	Ja satoi rankasti maan päälle neljäkymmentä päivää ja neljäkymmentä yötä.
01070d0093	Juuri sinä päivänä menivät Nooa sekä Seem, Haam ja Jaafet, Nooan pojat, ja Nooan vaimo ja hänen kolme miniäänsä heidän kanssaan arkkiin;
01070e00ea	he ja kaikki metsäeläimet lajiensa mukaan ja kaikki karjaeläimet lajiensa mukaan ja kaikki matelijat, jotka maan päällä matelevat, lajiensa mukaan ja kaikki linnut lajiensa mukaan, kaikki lintuset, kaikki, mikä siivekästä on.
01070f005b	Ja ne menivät Nooan luo arkkiin kaksittain, kaikki liha, kaikki, jossa oli elämän henki.
010710009f	Ja ne, jotka menivät sisälle, olivat koiras ja naaras kaikesta lihasta, niinkuin Jumala oli hänelle käskyn antanut. Ja Herra sulki oven hänen jälkeensä.
010711009b	Silloin tuli vedenpaisumus maan päälle, tuli neljänäkymmenenä päivänä; ja vedet paisuivat ja nostivat arkin, niin että se kohosi korkealle maasta.
010712005e	Ja vedet saivat vallan ja paisuivat suuresti maan päällä, ja arkki ajelehti veden pinnalla.
0107130070	Ja vedet nousivat nousemistaan maan päällä, niin että kaikki korkeat vuoret kaiken taivaan alla peittyivät.
010714004a	Viisitoista kyynärää vesi nousi vuorten yli, niin että ne peittyivät.
01071500a2	Silloin hukkui kaikki liha, joka maan päällä liikkui: linnut, karjaeläimet, metsäeläimet ja kaikki pikkueläimet, joita maassa vilisi, sekä kaikki ihmiset.
0107160068	Kaikki, joiden sieramissa oli elämän hengen henkäys, kaikki, jotka elivät kuivalla maalla, kuolivat.
01071700fc	Niin Herra hävitti kaikki olennot, jotka maan päällä olivat, niin hyvin ihmiset kuin myös karjaeläimet, matelijat ja taivaan linnut; ne hävisivät maan päältä. Ainoastaan Nooa sekä ne, jotka olivat hänen kanssansa arkissa, jäivät henkiin.
0107180042	Ja vedet vallitsivat maan päällä sata viisikymmentä päivää.
01080100c0	Silloin Jumala muisti Nooaa ja kaikkia metsäeläimiä ja kaikkia karjaeläimiä, jotka olivat hänen kanssansa arkissa. Ja Jumala nosti tuulen puhaltamaan yli maan, niin että vesi laskeutui.
0108020050	Ja syvyyden lähteet ja taivaan akkunat sulkeutuivat, ja sade taivaasta taukosi.
010803006f	Ja vesi väistyi väistymistään maan päältä; sadan viidenkymmenen päivän kuluttua alkoi vesi vähentyä.
010804006f	Niin arkki pysähtyi seitsemäntenä kuukautena, kuukauden seitsemäntenätoista päivänä, Araratin vuorille.
01080500a4	Ja vesi väheni vähenemistään aina kymmenenteen kuukauteen asti. Kymmenentenä kuukautena, kuukauden ensimmäisenä päivänä, tulivat vuorten huiput näkyviin.
0108060052	Neljänkymmenen päivän kuluttua Nooa avasi arkin ikkunan, jonka hän oli tehnyt,
0108070059	ja laski kaarneen lentoon, ja se lenteli edestakaisin, kunnes vesi maan päältä kuivui.
010808005a	Sitten hän laski luotansa kyyhkysen nähdäksensä, oliko vesi vähentynyt maan pinnalta.
01080900cd	Mutta kyyhkynen ei löytänyt paikkaa, missä lepuuttaa jalkaansa, vaan palasi hänen luoksensa arkkiin, sillä koko maa oli vielä veden peitossa; niin hän ojensi kätensä ja otti sen luoksensa arkkiin.
01080a0052	Ja hän odotti vielä toiset seitsemän päivää ja laski taas kyyhkysen arkista.
01080b00a0	Ja kyyhkynen tuli hänen luoksensa ehtoopuolella, ja katso, sen suussa oli tuore öljypuun lehti. Niin Nooa ymmärsi, että vesi oli vähentynyt maan päältä.
01080c007b	Mutta hän odotti vielä toiset seitsemän päivää ja laski kyyhkysen lentoon, eikä se enää palannut hänen luoksensa.
