2800000006	Matiɔ
28030b00f5	Mih juliki mbɛiŋ i bɔkɔ mə, kɔm mbɛiŋ kwuni lɔ shɔ́m yimbɛiŋ. Ayakalə, mi wə wi dzəki i mih jum wi tsəki lə mih. Na mih kpɛiŋniki kə i giŋ dzu yi yi gvu. Wi bi juliki mbɛiŋ num i Kiŋ'waka ki Baiŋni wə bəh i gbuku wə.
28030c00ae	Wi kaŋa naka i kaŋ i gbəkəki gəŋ yɛiŋ, i yaŋa di biə wi gbəkəki yɛiŋ, i juŋni gəŋ yi i jiə i gba wə, i kɔh chi yiwɔ i kpa i gbuku wə wi bi nyumi kə.”
28030d0099	Si Jɔn nì juliki bəni i bɔkɔ yakadəiŋ, Jisɔs nyə i kimbu ki tumi ki Galili wə ka dzə i Bɔkɔ yi Jɔdan wə a Jɔn juli tə ŋgaiŋ i bɔkɔ.
28030e007e	Ayakalə, Jɔn ka nəiŋki, dzaka i wi a, “A kaŋaki wɔ i juli mih i bɔkɔ, wɔ bə́ dzə lɔ a mih juli wɔ dəiŋ a?”
28030f00bb	Jisɔs chukuli i wi a, “Bee ma yi num yakadəiŋ i liə. Akɔ i dzəh yələ wə buku wɔ ni fə gia yichi yi num chəŋ i Nyɔ nshiŋ.” Ayakadəiŋ, Jɔn ka bum juli Jisɔs i bɔkɔ.
280310008c	Asi Jisɔs nì bukuki dzəki i bɔkɔ yakadəiŋ, wi yɛiŋ bɔɔli wɛli gwu, Kiŋ'waka ki Nyɔ shi dzə aka mbumi, dzə num i gwu yi wə.
280311007e	Yi num, a ja nì dzaka dzə i bɛiŋ a, “Wələ kɔ Waiŋ wuŋ. Wi num shɔm yiŋ. Mih kɔ bəh kinsaŋli nalə kɔm wi.”
280401004d	Kiŋ'waka ki Baiŋni ka dzɔ Jisɔs tsə bəh wi i chwa a ŋkpɛli mɔmsi wi.
2804020078	Wi tsə ka numki fɛiŋ nshi bəh nchɔkɔ bam dzaka i kaŋ wə mbaŋnyani. Asi yəmaka nì tsə dzɔŋ bə́ wɔɔ wi.
2804030090	Wi wə wi shi kɔ a mɔmsiki bəni ka dzə dzaka i wi a, “Wɔ kabə num waiŋ Nyɔ, dzâka la a kitəh kələ fiəni chu chɔkɔ yi blɛd.”
280404009f	Jisɔs chukuli wi a, “Yi kɔ num bə nyaka a, ‘Mi nɔki kə a kɔm bə dzɛiŋ shəŋ. Mi nɔki tə kɔm gia yichi yə yi bukuki i dzaka ki Nyɔ wə.’”
2804050084	Ayakadəiŋ, ŋkpɛli ka dzɔ tsə bəh wi i kwili wi baiŋni Jɛlusalɛm, ka tɔm wi i findɔŋ fi fwu wi juŋ yi fəni yi gia wə,
28040600e9	dzaka i wi a, “Wɔ kabə num waiŋ Nyɔ, jə̄ŋ shi la fa, kɔm yi kɔ num bə nyaka a, ‘Nyɔ ni dzaka i bəchinda bu a bɔ tɔkni bəh wɔ.’ Yi chu num bə nyaka a, ‘Bɔ ni kwa wɔ, maka wɔ chɔkɔ gbu wa i təh wə.’”
280407004c	Jisɔs chukuli i wi a, “Bə nyaka tə a, ‘Ma mɔ̂msi Bah Nyɔ wa.’”
28040800a6	Ŋkpɛli chu dzɔ Jisɔs fɛiŋ, tsə bəh wi i fwu wi ŋkwuŋ widɔkɔ wi dəŋə i bɛiŋ nalə, ka chusi kitumi kichi i mbi wələ wə bəh mbum biwɔ yɛiŋ i wi.
280409007c	Ayaka wi ka dzaka i wi a, “Mih ni nya lə biɛiŋ biələ bichi i wɔ, i jɔbi wə wɔ ka gbɔ i mih nshiŋ kɔksi mih.”
28040a007f	Jisɔs chukuli i wi a, “Dzâ nyə̂ fa Satan! Bə nyaka a, ‘Wɔ kɔ̂ksi a Bah Nyɔ wa, ma wɔ nɔ̂mki a wi shəŋ.’”
28040b0064	Ayakadəiŋ, ŋkpɛli ka bee Jisɔs, ka nyə. Yi num a bəchinda bə Nyɔ nì dzə ka tsɛiŋki wi.
28040c007b	Jisɔs ka bi dza wɔkɔ a bə kwa Jɔn Njulibɔkɔ ka fa i juŋ yi nsəŋ mə, wi nyə ka fiəni chu i kimbu ki Galili wə.
28040d00c6	Wi tsə buku i Nasali, dza fɛiŋ tsə ka nɔki i kwili wi Kafanaum wə. Kwili wələ num kɔmsi i kinchwɔ kimbum ki Galili wə bəh i kɔmsi tsə i bimbu bi bəni bə Sɛbulun bəh bi Naftali wə.
28040e0047	Gia yələ nì dzə kpɛiŋ asi mi wi ntum wi Nyɔ Isaya nì dzaka a,
28040f0098	“Kimbu ki Sɛbulun bəh ki Naftali biə bi kɔ kɔmsi i waka wi Bɔkɔ yi Jɔdan wəyaka wə, i nshwaiŋ yi Galili wə i bəni bə̀ bɔ kɔkə Bəju,
2804100082	bəni bə̀ bɔ ni nɔki i jisi wə, bɔ yɛiŋ baiŋni bimbum. Wɔŋ kaka i bəni bələ bɔ ni nɔki i di bi jisi bi kpi wə.”
2804110095	I yisi i jɔbi wiwɔ wə, Jisɔs ka yisi i fukuki i bəni dzaka a, “Mbɛiŋ kwûni shɔ́m yimbɛiŋ, kɔm ŋkuŋ bi bɛiŋ si num kɔmsi dzə.”
2804120116	Jisɔs bi nyə ka nyaniki tsəki i kinchwɔ kimbum ki Galili kpəŋ, ka yɛiŋ bəni bədɔkɔ bəfa, num mi bəh waiŋnih wi. Bəni bələ nì kɔ Samɔn wə bə nì bɔɔŋki a Bita, bəh waiŋnih wi Andulu, bɔ tum gbi i bɔkɔ, kɔm bɔ nì kɔ bəni bə kwani bwɔ́kɔ.
280413005e	Jisɔs dzaka i bɔ a, “Mbɛiŋ bîəliki mih, ma mih ni fə mbɛiŋ kwaki num lɔ bəni.”
280414002e	Akisəkə bɔ dza bee gi yibɔ ka biəliki wi.
2804150104	Jisɔs ka bi kini tsə i ninshiŋ, chu tsə yɛiŋ bəni bədɔkɔ bəfa a num mi bəh waiŋnih wi. Bəni bələ nì kɔ Jɛm bəh waiŋnih wi Jɔn bɔ nì kɔ bwa bə Sɛbide, bɔ num bəh ba wibɔ Sɛbide i ŋgwuki mə kwɔ gi yibɔ. Wi ka bɔɔŋ tə bɔ.
2804160039	Akisəkə bɔ dza bee ŋgwuki bəh ba wibɔ ka biəli wi.
28041700b1	Jisɔs ka nyaniki i kimbu ki Galili kichi lani bəni i júŋ yi bijuŋni bibɔ wə chu fuku ntum wi ndzɔŋni kɔm ŋkuŋ bi Nyɔ. Wi chuku tə na yi naiŋ jwɛiŋ i bəni wə.
280418017c	Ayakadəiŋ, ntum wələ kɔm wi waŋ tsə i tumi ki Silia wə kichi. Bəni ka dzəki bəh bəni bəchi bə̀ bɔ nì gwɛiŋki, bəh bə̀ bɔ nì kɔ i nshili wə i wi, kɔŋ a nì kɔ na bə̀ bəchinda bə ŋkpɛli nì njiŋsiki bɔ, nabə bə̀ bɔ nì gbɔki kiŋgbɔ, bəh bə̀ bɔ nì kɔ bɔ kpi wa wimu. Si bɔ nì dzəki bəh bɔ yakadəiŋ wi chuku bɔ bəchi.
280419011b	Na faiŋ wi nì tsəki mbaŋ wi bəni wimbum ka kwuki i wi chɛiŋ. Bəni bələ nì nyəki dzəki i bimbu bi tumi ki Galili wə, bədɔkɔ nyə dzə i Bikwili Jɔfi wə, bədɔkɔ i Jɛlusalɛm bəh i di bi Judea bidɔkɔ wə. Bədɔkɔ nyə dzə i kiwuŋ ki Bɔkɔ ki Jɔdan wə.
280501008f	Jɔbi wə Jisɔs nì yɛiŋ mbaŋ wi bəni yakadəiŋ, ka dza yaka tsə shinum i ŋkwuŋ bɛiŋ, bwa bu bə mbaŋ juŋni dzə kɔmsi i wi wə.
2805020020	Wi ka yisi i laniki bɔ dzaka a,
280503007a	“Ndzɔŋni bimbum kɔ i bəni bə̀ bɔ kiəki a bɔ kɔ bə kifuu i kimbu ki Nyɔ wə, kɔm ŋkuŋ bi bɛiŋ kɔ bibɔ.
280504004a	Ndzɔŋni bimbum kɔ i bəni bə̀ bɔ dəki, kɔm Nyɔ bi chumsi lə bɔ.
2805050058	Ndzɔŋni bimbum kɔ i bəni bə̀ bɔ dzɔki gwu yibɔ i kuku, kɔm bɔ bi dzi lə mbi.
2805060081	Ndzɔŋni bimbum kɔ i bəni bə̀ dzɔŋ wɔɔki bɔ, kindɔŋ wɔm bɔ kɔm nɔni ki chəŋ, kɔm Nyɔ bi fə lə ma bɔ fwuli.
280507006d	Ndzɔŋni bimbum kɔ i bəni bə̀ bɔ kwasiki nshɛiŋ i bədɔkɔ, kɔm Nyɔ bi kwasiki lə nshɛiŋ i bɔ.
2805080056	Ndzɔŋni bimbum kɔ i bəni bə̀ shɔ́m yibɔ baiŋki, kɔm bɔ bi yɛiŋ lə Nyɔ.
2805090069	Ndzɔŋni bimbum kɔ i bəni bə̀ bɔ dzəki bəh kimbɔiŋni, kɔm bə bi bɔɔŋki bɔ a bwa bə Nyɔ.
28050a0085	Ndzɔŋni bimbum kɔ i bəni bə̀ bəni bwaŋki gvu i bɔ chɛiŋ kɔm a bɔ nɔki nɔni ki chəŋ, kɔm ŋkuŋ bi bɛiŋ kɔ bibɔ.
28050b00a9	Ndzɔŋni bimbum kɔ bimbɛiŋ, jɔbi wə bəni tɔyiki mbɛiŋ, bwaŋ gvu i mbɛiŋ chɛiŋ, dzaka gia yichu yichi kɔm mbɛiŋ a kilɔlɔ kɔm mbɛiŋ kɔ bəni bəŋ.
28050c0115	Jɔbi wə yi bi numki yakadəiŋ, mbɛiŋ ka wɔ̂kɔki ndzɔŋni lâŋ gwu, kɔm bəmbee bəmbɛiŋ bəmbum kɔ num i tumi ki bɛiŋ wə. Mbɛiŋ kîəki a, akɔ ayaka si bəni nì bwaŋki gvu i bəni bə ntum bə Nyɔ chɛiŋ bə̀ bɔ nì yisi dzə i ninshiŋ i mbɛiŋ.
28050d00fe	Akɔ mbɛiŋ ŋkaka yi mbi wələ. Ayakalə, ŋkaka kabə num yi chu njwɔŋ kə, bə kɔ i chu fə dəiŋ bəh yi ka yi chu fiəni njwɔŋki a? Bə kɔkə i chu fə gia yindzɔŋni yidɔkɔ bəh yi, yi kɔ a shuku tɔkɔ bəni tsəki dəŋyiki bəh gvu.
28050e0065	Akɔ mbɛiŋ tə baiŋni bi mbi wələ. Kwili wimbum wə bə maa wi i ŋkwuŋ bɛiŋ wi si nyumi kə.
28050f00c8	Mi si baiŋsi kə naka ki baiŋsini i chu dzɔ kah i kwusi baŋ yɛiŋ bɛiŋ. Wi si tɔm num i di biə bə tɔmki naka ki baiŋsini yɛiŋ, ka ki baiŋki ki chusi baiŋni i mi wichi wə wi kɔ i dzu.
28051000a6	Akɔ yakadəiŋ si baiŋni bimbɛiŋ kaŋaki i baiŋki i bəni nshiŋ, ka bɔ yɛiŋki nɔm wimbɛiŋ wi ndzɔŋni nya kiŋkɔksi i Tii wimbɛiŋ wə wi kɔ i bɛiŋ.
28051100e9	Kiə mbɛiŋ ki kwâka kə a mih dzə i chiksi gia yə yi kɔ i Kiŋwakti ki Bənchi bə Muses wə bəh yə yi kɔ i Biŋwakti bi bəni bə ntum bə Nyɔ wə. Mih dzə i fə a yi dzə kpɛiŋ ŋkɔŋ. Mih ka dzə dəkə i chiksi yi.
28051200e0	Mih fukuki ŋkɔŋ i mbɛiŋ a, i tsə buku na ka bɔɔli bəh nshwaiŋ bi kaa, fidzəkəhni fi gia i Kiŋwakti ki Bənchi mə, na kɔŋ fi sɛiŋniki na dəiŋ, bi tsə kə i kuku maka gia yiwɔ dzə kpɛiŋ asi yi chusiki.
280513016e	Yi kɔ a, na ndə wə wi bi bwiŋki nchi i bənchi bələ wə, kɔŋ nchi wiwɔ sɛiŋniki na dəiŋ, ka laniki bəni a bɔ bwîŋki yakadəiŋ tə, wəmaka mi bi numki mi wi nchiŋ i kintəəŋ ki ŋkuŋ bi bɛiŋ wə. Ayakalə, mi wə wi jiəki bənchi bələ, chu lani tə bəni a bɔ jîəki, wəmaka mi bi numki mi wimbum i kintəəŋ ki ŋkuŋ bi bɛiŋ wə.
28051400be	Ayakadəiŋ, mih fukuki i mbɛiŋ a, nɔni kimbɛiŋ ki chəŋ kabə tsəki kə ki bəni bə̀ bɔ laniki bənchi bə Nyɔ bəh ki Bəfalasi, mbɛiŋ bi ma lansi liə i ŋkuŋ bi bɛiŋ wə.
280515008e	Mbɛiŋ nì wɔkɔ lɔ asi bə nì dzaka i bəni i kikpu wə a, ‘Kiə wɔ bi wɔ̂ɔ kə mi. Mi ka wɔɔ mi, yaka wi kaŋaki lə nsaka.’
280516013a	Ayakalə, mih fukuki i mbɛiŋ a mi wichi wə wi bɔksiki shɔ́m bəh waiŋnih wi, yaka wi kaŋaki lə tə nsaka. Mi wə wi tɔyi waiŋnih wi, wi kîəki a wi bi numki lə i bəni bə̀ bɔ sakaki bənsaka nshiŋ. Mi wə wi bɔɔŋki waiŋnih wi a, ‘Kiyuŋ’ wi kîəki a wi bi liəki lə i gbuku wimbum wə.
280517007f	Ayakadəiŋ, yi kɔ a, wɔ kabə nəŋ i nya kinya ka i tɔŋ wi fəni wi gia wə, kwaka a waiŋnah kaŋaki lə wɔ i wi shɔm,
2805180088	wɔ bêe kinya ka kə i tɔŋ wi fəni wi gia kpəŋ, wɔ tsə̂ mbɛiŋ wi yisi kɛ̂iŋsi gia yiwɔ, ka wɔ fiəni tsə nya kinya ka.
280519013a	Mi ka dzɔ wɔ i tsə bəh wɔ i juŋ yi nsaka wə, wɔ mɔ̂msi a mbɛiŋ wi kɔmsi kɛ̂iŋsi ka mbɛiŋ wi fiəni chu bəh nsɛiŋ a kɛiŋ i dzəh, ka wi ma ni tsə nya daŋsi wɔ i kaŋ yi mi wə wi sakaki bənsaka, wi ni nya daŋsi wɔ tə i kaŋ yi bəni bə jum wə, ma bɔ ni fah wɔ i juŋ yi nsəŋ mə.
