0100000006	1 Mose
01030a0075	Er sprach: "Ich habe dein Geräusch im Garten gehört; da erschrak ich, weil ich nackt bin, und so verbarg ich mich."
01030b007e	Er sprach: "Wer hat dir verraten, daß du nackt bist? Hast du von dem Baume gegessen, von dem zu essen ich dir verboten habe?"
01030c005f	Da sprach der Mensch: "Das Weib, das du mir beigesellt, hat mir vom Baume gegeben; da aß ich."
01030d007f	Da sprach der Herr Gott zu dem Weibe: "Was hast du getan?" Und das Weib sprach: "Die, Schlange hat mich verführt; da aß ich."
01030e00bb	Da sprach der Herr Gott zu der Schlange: "Weil solches du getan, bist du verflucht, mehr als alles Vieh und alles Wild. Auf deinem Bauche sollst du kriechen und Staub dein Lebtag fressen.
01030f00ab	Und Feindschaft will ich setzen zwischen dich und das Weib und zwischen deinen, Stamm und ihren Stamm; zermalmen wird er dir den Kopf, willst du ihn in die Ferse stechen."
01031000cf	Zum Weibe aber sprach er: "Vermehren will ich deine Mühsal bei deiner Schwangerschaft. In Mühen sollst du Kinder gebären, und doch geht dein Verlangen hin nach deinem Manne, obschon er waltet über dich."
0103110106	Und zu Adam sprach er: "Weil du auf deines Weibes Stimme hast gehört und von dem Baum gegessen, von dem ich dir geboten: 'Du darfst davon nicht essen', so ruht der Fluch um deinetwillen auf dem Acker. In Mühsal sollst du dich dein Leben lang von ihm ernähren.
0103120051	Dir soll er Dorn und Distel tragen, und doch mußt du das Kraut des Feldes essen.
01031300aa	Im Schweiße deines Angesichts wirst du dein Brot verzehren, bis du zur Erde wiederkehrst, wie du von ihr genommen bist. Denn Staub bist du und kehrst zum Staube wieder."
010314005d	Da gab der Mensch seinem Weibe den Namen "Eva"; weil sie aller Lebenden Mutter werden sollte.
0103150050	Und der Herr Gott machte Adam und seinem Weib Fellröcke und hüllte sie darein.
01031600b6	Dann sprach der Herr Gott: "Ja, der Mensch ist jetzt wie unsereiner im Erkennen von Gutem und Bösem. Daß er nicht seine Hand ausstrecke und gar vom Lebensbaume esse und ewig lebe!"
0103170063	So trieb ihn der Herr Gott aus Edens Garten, damit er den Erdboden bebaue, aus dem er genommen war.
0103180091	So verstieß er den Menschen und lagerte östlich von Edens Garten Cherube und die zuckende Schwertflamme, um den Weg zum Lebensbaum zu bewachen.
010401009b	Der Mensch aber hatte sein Weib Eva erkannt. Da empfing sie und gebar Kain. Da sprach sie: "Ich habe mit des Herrn Beistand einem Manne das Leben gegeben."
0104020071	Und zum zweitenmal gebar sie seinen Bruder Abel. Und Abel ward ein Schafhirte; Kain aber war Ackersmann geworden.
010403005b	Nach einiger Zeit geschah es, daß Kain von den Ackerfrüchten dem Herrn ein Opfer brachte.
0104040099	Auch Abel brachte ein Opfer von den Erstlingswürfen seiner Schafe dar, und zwar von den wohlgenährtesten. Und der Herr achtete auf Abel und sein Opfer.
0104050065	Aber auf Kain und sein Opfer achtete er nicht. Da ward Kain sehr ergrimmt, und sein Antlitz sank ein.
0104060055	Da sprach der Herr zu Kain: "Warum bist du ergrimmt? Weswegen sinkt dein Antlitz ein?
01040700ab	Nicht wahr? Bist frohen Sinnes du, dann kannst du es erheben. Wenn aber nicht, dann ruhst du an der Sünde Pforte; da lauert sie auf dich, du aber solltest sie bezwingen!"
0104080085	Kain aber sprach mit seinem Bruder Abel, und da sie auf dem Felde waren, vergriff sich Kain an seinem Bruder Abel und schlug ihn tot.
010409007a	Da sprach der Herr zu Kain: "Wo ist dein Bruder Abel?" Er sprach:"Ich weiß es nicht. Bin ich denn meines Bruders Hüter?"
01040a0056	Da sprach er: "Was hast du getan? Deines Bruders Blut schreit von der Erde auf zu mir.
01040b0071	Nun sei verflucht! Fern von dem Boden, der den Mund geöffnet, um deines Bruders Blut aus deiner Hand zu trinken!
01040c005c	Bebauest du den Boden, so gebe er dir fortan keine Ernte! Durchziehe irr und wirr die Erde!"
01040d0049	Da sprach Kain zum Herrn: "Allzugroß für das Vergeben ist meine Schuld.
01040e00b7	So vertreibst du mich heute vom Ackerboden. Und vor deinem Angesichte muß ich mich verbergen. Irr und wirr muß ich die Erde durchwandern. Und wer mich trifft, kann mich erschlagen."
01040f00b4	Da sprach der Herr zu ihm: "Nein! Wer den Kain erschlägt, verfalle der Rache siebenfachmal." Und der Herr machte Kain ein Zeichen, auf daß ihn keiner, der ihn träfe, erschlüge.
010410004a	So zog Kain vom Herrn hinweg und siedelte im Lande Nod, östlich von Eden.
010411008c	Und Kain erkannte sein Weib, und sie empfing und gebar Henoch. Dann baute er eine Stadt und hieß die Stadt nach seines Sohnes Namen Henoch.
0104120063	Dem Henoch ward Irad geboren, und Irad zeugte Mechujael und Mechujael Metusael und Metusael Lamech.
0104130047	Und Lamech nahm sich zwei Weiber: die eine hieß Ada, die andere Silla.
0104140052	Ada gebar den Jabal; dieser ward der Stammvater der Zeltbewohner und Viehzüchter.
0104150055	Sein Bruder hieß Jubal; dieser ward der Stammvater aller Zither- und Flötenspieler.
010416007f	Auch Silla gebar und zwar den Tubalkain, der allerlei ehernes und eisernes Werk schmiedete. Und Tubalkains Schwester war Naama.
01041700bf	Lamech sprach zu seinen Weibern: "Ada und Silla, höret meine Rede! Lamechs Weiber, vernehmet meinen Spruch! Für meine Wunde kann ich Männer jetzt erschlagen, für meine Beulen ihre Söhne.
0104180047	Wird Kain schon siebenfach gerächt, dann Lamech siebenundsiebzigfach."
01041900c6	Adam aber erkannte wiederum sein Weib, und sie gebar einen Sohn. Den nannte sie Set. "Denn", sprach sie, "Gott hat mir an Abels Stelle andere Nachkommen geschenkt, weil jenen Kain erschlagen hatte."
01041a006d	Aber auch dem Set ward ein Sohn geboren, und er hieß ihn Enos. Damals begann man, des Herrn Namen anzurufen.
0105010077	Das ist die Urkunde der Geschlechterfolge Adams: Damals, als Gott den Adam schuf, machte er ihn in Gottes Ähnlichkeit.
0105020079	Männlich und weiblich schuf er sie. Dann segnete er sie und hieß sie "Mensch", damals, als sie geschaffen worden waren.
010503006e	Und Adam war 130 Jahre alt; da zeugte er in seiner Ähnlichkeit nach seinem Bild einen Sohn und hieß ihn Set.
010504005b	Der Tage Adams waren es nach Sets Zeugung 800 Jahre und er zeugte noch Söhne und Töchter.
0105050032	Und aller Tage Adams waren 930 Jahre. Da starb er.
0105060029	Set war 105 Jahre alt; da zeugte er Enos.
0105070052	Und Set lebte nach des Enos Zeugung 807 Jahre und zeugte noch Söhne und Töchter.
0105080031	Und aller Tage Sets waren 912 Jahre; da starb er.
010509002a	Enos war 90 Jahre alt; da zeugte er Kenan.
01050a0051	Und Enos lebte nach Kenans Zeugung 815 Jahre und zeugte noch Söhne und Töchter.
01050b0035	Und aller Tage des Enos waren 905 Jahre; da starb er.
01050c0033	Und Kenan war 70 Jahre alt; da zeugte er Mahalalel.
01050d0056	Und Kenan lebte nach Mahalalels Zeugung 840 Jahre und zeugte noch Söhne und Töchter.
01050e0033	Und aller Tage Kenans waren 910 Jahre; da starb er.
01050f0033	Und Mahalalel war 65 Jahre alt; da zeugte er Jered.
0105100056	Und Mahalalel lebte nach Jereds Zeugung 830 Jahre und zeugte noch Söhne und Töchter.
0105110037	Und aller Tage Mahalalels waren 895 Jahre; da starb er.
0105120031	Und Jered war 162 Jahre alt; da zeugte er Henoch.
0105130053	Und Jered lebte nach Henochs Zeugung 800 Jahre und zeugte noch Söhne und Töchter.
0105140033	Und aller Tage Jereds waren 962 Jahre; da starb er.
0105150035	Und Henoch war 65 Jahre alt; da zeugte er Metuselach.
0105160060	Nach Metuselachs Zeugung wandelte Henoch mit Gott 300 Jahre und zeugte noch Söhne und Töchter.
0105170027	Und aller Tage Henochs waren 365 Jahre.
0105180063	Und Henoch wandelte mit Gott, und plötzlich war er nicht mehr da, weil ihn Gott weggenommen hatte.
0105190036	Und Metuselach war 187 Jahre alt; da zeugte er Lamech.
01051a0058	Und Metuselach lebte nach Lamechs Zeugung 782 Jahre und zeugte noch Söhne und Töchter.
01051b0038	Und aller Tage Metuselachs waren 969 Jahre; da starb er.
01051c0036	Und Lamech war 182 Jahre alt; da zeugte er einen Sohn.
01051d00ab	Und er hieß seinen Sohn Noe und sprach: "Dieser soll uns Trost bringen, nach unserer Arbeit und unserer Hände Mühen, aus eben diesem Boden, den der Herr verflucht hat."
01051e0051	Und Lamech lebte nach Noes Zeugung 595 Jahre und zeugte noch Söhne und Töchter.
01051f0034	Und aller Tage Lamechs waren 777 Jahre; da starb er.
010520003e	Und Noe war 500 Jahre alt; da zeugte Noe Sem, Cham und Japhet.
0106010069	Als die Menschen angefangen hatten, sich auf dem Erdboden zu mehren, waren ihnen Töchter geboren worden.
0106020077	Da sahen die Göttersöhne, daß die Menschentöchter schön waren, und sie nahmen sich zu Weibern, soviel sie wollten.
010603009f	Da sprach der Herr: "Mein Geist verbleibe nimmer länger bei den Menschen! Er ist ja nur mehr Fleisch! Nur noch auf 120 Jahre sollen seine Tage sich belaufen!"
01060400d5	In jenen Zeiten waren die Riesen auf Erden gewesen, zumal damals, als die Göttersöhne mit den Menschentöchtern verkehrten und diese ihnen Kinder gebaren. Jenes sind die Recken der Urzeit, die Männer von Namen.
010605007f	Da sah der Herr, daß die Bosheit der Menschen auf Erden groß ward und alles Dichten und Trachten ihres Herzen allezeit böse.
010606005b	Da reute es den Herrn, daß er die Menschen auf Erden gemacht, und er ward tief bekümmert.
01060700cf	Darauf sprach der Herr: "Vertilgen von der Erde werde ich die Menschen, die ich erschaffen habe, vom Menschen bis zum Vieh, bis zum Gewürm und zu des Himmels Vögeln; denn ich bereue, sie gemacht zu haben."
0106080030	Noe aber hatte Huld in des Herrn Augen gefunden.
0106090085	Dies ist Noes Geschlechterfolge: Noe war ein gerechter, unsträflicher Mann unter seinen Zeitgenossen gewesen. Noe wandelte mit Gott.
01060a0031	Und Noe zeugte drei Söhne: Sem, Cham und Japhet.
01060b0056	Die Erde aber war vor Gottes Angesicht verderbt, und die Erde füllte sich mit Frevel.
01060c0068	Und Gott sah, wie die Erde verderbt war; denn jedes Fleischwesen hatte seinen Wandel auf Erden verderbt.
01060d009e	Da sprach Gott zu Noe. "Das Ende jedes Fleischwesens ist von mir verhängt; die Erde ist ja voller Frevel, die sie tun. Und so verderbe ich sie samt der Erde.
01060e008e	Mach eine Arche dir aus Fichtenholz! Und zu Behausungen sollst du die Arche einbauen! Und dann verpiche sie mit Harz von außen und von innen!
01060f006b	Also sollst du sie machen: 300 Ellen sei der Arche Länge und 50 Ellen ihre Breite und 30 Ellen ihre Höhe!
01061000d4	Und an der Arche sollst du eine Luke machen und bis auf eine Elle sie ganz oben anbringen, alsdann der Arche Tor in eine ihrer Längsseiten einsetzen und sie in untere und mittlere und obere Stockwerke einteilen!
01061100a4	Ich lasse jetzt die Wasserflut auf Erden kommen, um alles Fleisch, das unterm Himmel, zu vertilgen, darinnen Lebensodem ist. So möge alles, was auf Erden, sterben!
0106120083	Mit dir nun treffe ich mein Abkommen, und so gehst du samt deinen Söhnen, deinem Weibe und deinen Schwiegertöchtern in die Arche.
01061300b6	Von allem Lebenden, von jedem Fleischeswesen, sollst du je ein Paar mit in die Arche bringen, um sie bei dir am Leben zu erhalten! Nur je ein Männchen und ein Weibchen soll es sein.
01061400bd	So von den Vögeln je nach ihrer Art, vom Vieh nach seiner Art, von allem, was auf Erden kriecht, nach seiner Art. Davon soll immer je ein Pärchen zu dir kommen, daß sie am Leben bleiben!
0106150086	Du selbst beschaffe dir von jeglicher eßbaren Speise, und speichere solches bei dir auf! Zur Nahrung dient es alsdann dir und ihnen."
010616003d	Und Noe tat so. Ganz so, wie ihm Gott befohlen hatte, tat er.
010701008d	Dann sprach der Herr zu Noe: "Zieh du mit deinem ganzen Hause in die Arche! Denn dich habe ich gerecht vor mir in diesem Geschlecht erfunden.
01070200aa	Von allen reinen Tieren nimm dir je sieben, jeweils ein Männchen und ein Weibchen! Doch von den Tieren, die nicht rein, jeweils nur zwei, ein Männchen und ein Weibchen!
0107030085	Auch von des Himmels Vögeln jeweils sieben, ein männliches und weibliches, um auf der ganzen Erde einen Stamm am Leben zu erhalten.
01070400b2	Von jetzt ab über sieben Tage lasse ich auf die Erde regnen durch vierzig Tage und durch vierzig Nächte, und ich vertilge alsdann alles Lebende, das ich gemacht, vom Erdboden."
0107050036	Und Noe tat ganz so, wie ihn der Herr geheißen hatte.
010706004b	Noe aber war 600 Jahre alt geworden, als die Wasserflut über die Erde kam.
0107070071	So ging Noe mit seinen Söhnen, seinem Weibe und seinen Schwiegertöchtern in die Arche vor den Wassern der Flut.
0107080059	Von den reinen und unreinen Tieren, von den Vögeln und von allem, was auf Erden kriecht,
0107090073	waren paarweise zu Noe in die Arche gegangen je ein Männliches und ein Weibliches, wie Gott dem Noe geboten hatte.
01070a0059	Nach sieben Tagen geschah es, da waren die Wasser der Flut schon über die Erde gekommen.
01070b0098	Im 600. Lebensjahre des Noe, am 17. Tage des 2. Monats, an diesem Tage brachen alle Sprudel des großen Meeres auf, und die Himmelsluken öffneten sich.
01070c003c	Und Regen strömte auf die Erde 40 Tage und 40 Nächte lang.
01070d0095	An eben diesem Tage waren Noe und Noes Söhne Sem, Cham und Japhet, sowie sein Weib und seine drei Schwiegertöchter mit ihnen in die Arche gegangen,
01070e00b7	sie und alle Tiere nach ihrer Art und alles Vieh nach seiner Art und alles Gewürm, das auf Erden kriecht, nach seiner Art und alle Vögel nach ihrer Art, was irgendwie Flügel hatte.
01070f004d	Sie gingen zu Noe in die Arche, je ein Paar von allem Fleisch mit Lebensodem.
010710009a	Die Einziehenden waren nun, je ein Männliches und Weibliches von jedem Fleische, eingezogen, so wie ihm Gott befohlen. Da schloß der Herr hinter ihm zu.
0107110073	Vierzig Tage kam die Flut über die Erde. Und das Wasser wuchs und hob die Arche, daß sie über der Erde schwebte.
0107120058	Und das Wasser stieg und wuchs gewaltig an auf Erden, und die Arche fuhr auf dem Wasser.
0107130077	Das Wasser stieg nun in gewaltiger Höhe über die Erde, und alle hohen Berge irgendwo unter dem Himmel wurden bedeckt.
0107140056	Fünfzehn Ellen darüber hinaus war das Wasser gestiegen; so wurden die Berge bedeckt.
0107150093	Da starb ein jeglich Fleisch, das sich auf Erden regte, an Vögeln, Vieh und Getier und an allem Gewürm, das auf Erden kroch, sowie alle Menschen.
0107160069	Alles, was des Lebensgeistes Odem in seiner Nase hatte, soweit es sich auf dem Trockenen befand, war tot.
01071700cc	So vertilgte er alle Wesen auf dem Erdboden, vom Menschen bis zum Vieh und Gewürm und bis zu des Himmels Vögeln. Sie wurden von der Erde vertilgt; nur Noe und was bei ihm in der Arche war, blieb übrig.
010718002d	Und das Wasser wuchs auf Erden 150 Tage lang.
010801009a	Da gedachte Gott des Noe und all des Getieres und all des Viehs bei ihm in der Arche. Und Gott ließ einen Wind über die Erde wehen, und das Wasser sank.
0108020063	Dann schlossen sich des Meeres Sprudel und die Himmelsluken, und dem Regen vom Himmel ward gewehrt.
0108030069	Und das Wasser ging allmählich zurück auf Erden, und nach Ablauf der 150 Tage minderte sich das Wasser.
0108040050	Und die Arche ließ sich am 17. Tage des 7. Monats auf dem Araratgebirge nieder.
0108050087	Das Wasser aber hatte immer mehr abgenommen, bis zum 10. Monat. Am 1. Tag des 10. Monats waren die Spitzen der Berge sichtbar geworden.
0108060052	Nach Ablauf von 40 Tagen öffnete Noe das Fenster der Arche, das er gemacht hatte.
0108070061	Und er schickte den Raben aus. Dieser flog hin und her, bis das Wasser auf Erden vertrocknet war.
010808005d	Dann ließ Noe die Taube von sich fortfliegen, zu sehen, ob sich das Wasser verlaufen hätte.
01080900d5	Die Taube aber fand keine Stätte für ihren Fuß. So kam sie zu ihm wieder in die Arche; denn auf der ganzen Erde war noch Wasser. Und er streckte seine Hand aus und nahm sie und brachte sie zu sich in die Arche.
01080a005e	Da wartete er noch sieben weitere Tage. Dann sandte er zum zweitenmal die Taube aus der Arche.
01080b0092	Da kam die Taube zu ihm zur Abendzeit mit einem frischen Ölblatt im Schnabel. Da erkannte Noe, daß sich das Wasser von der Erde verlaufen hatte.
01080c0086	Und er wartete noch weitere sieben Tage; dann ließ er die Taube wieder ausfliegen. Diesmal aber kehrte sie nicht mehr zu ihm zurück.
01080d00bb	Im 601. Jahre, am ersten Tage des ersten Monats, waren die Wasser auf Erden vertrocknet. Da hob Noe das Dach der Arche und schaute aus, und siehe da, der Erdboden war wasserfrei geworden.
01080e003e	Am 27. Tage des zweiten Monats war die Erde ganz abgetrocknet.
01080f0017	Und Gott sprach zu Noe:
010810005b	"Geh aus der Arche, du selbst, dein Weib, deine Söhne und deine Schwiegertöchter bei dir!
01081100d4	Und alles Getier, das bei dir ist, von jedem Fleisch, an Vögeln, Vieh und jeglichem Gewürm, das auf Erden kriecht, führe du mit dir hinaus! Dann wimmle es auf Erden und sei fruchtbar auf Erden und mehre sich."
0108120050	Da ging Noe hinaus, seine Söhne, sein Weib und seine Schwiegertöchter bei ihm.
0108130070	Alles Getier, alles Gewürm, alle Vögel, alles, was sich auf Erden regt nach seinen Sippen, ging aus der Arche.
0108140088	Und Noe baute dem Herrn einen Altar und nahm von allen reinen Tieren und reinen Vögeln einige und brachte auf dem Altar Brandopfer dar.
01081500ff	Da roch der Herr den süßen Duft. Und der Herr sprach bei sich: "Nicht will ich fortan mehr dem Boden fluchen des Menschen wegen. Der Menschen Herzenstrachten ist böse ja von Jugend auf. Hinfort will ich kein Lebewesen mehr so schlagen, wie ich's getan.
0108160095	Fortan soll nimmer feiern, solange auch die Erde steht, die Saat mitsamt der Ernte und Frost und Hitze, der Sommer und der Winter und Tag und Nacht."
010901006c	Und Gott segnete Noe und seine Söhne und sprach zu ihnen: "Seid fruchtbar, mehret euch und füllt die Erde!
01090200bd	Und Furcht vor euch und Schrecken komme über alle Landtiere und alle Himmelsvögel und über alles, was sich auf dem Boden regt, und über alle Meeresfische; in eure Hand sind sie gegeben.
0109030064	Alles, was sich regt und lebt, sei euch zur Speise! So wie das grüne Kraut, so gebe ich euch alles.
0109040038	Nur Fleisch mit seinem Lebensblut sollt ihr nicht essen!
01090500b3	Und vollends euer eigen Blut will ich zurückverlangen; von jedem Tiere will ich's fordern; auch von des Menschen Hand, von seines Bruders Hand will ich das Menschenleben fordern.
0109060082	Wer Menschenblut vergießt, des Blut soll durch die Menschen auch vergossen werden! Als Gottesbild hat er die Menschen ja gemacht.
0109070055	Ihr, seid nun fruchtbar, mehret euch! Verbreitet euch auf Erden! Herrscht über sie!"
0109080037	Und Gott sprach zu Noe und seinen Söhnen bei ihm also:
010909009c	"Ich schließe meinen Bund mit euch und euren Nachkommen und mit allen Lebewesen bei euch, was an Vögeln, Vieh und allen anderen Tieren auf Erden bei euch,
01090a0042	mit all denen, die aus der Arche kamen, und allem Getier der Erde.
01090b00a4	Ja, meinen Bund errichte ich mit euch; kein Fleischeswesen werde durch der Flut Gewässer mehr vertilgt, und niemals wieder komme eine Flut, die Erde zu verheeren!"
01090c008c	Und Gott sprach: "Dies sei des Bundes Zeichen, den ich aufrichte zwischen mir und euch und allen Lebewesen, die bei euch, für ewige Zeiten:
01090d005d	Ich stelle meinen Bogen in die Wolken. Er sei das Bundeszeichen zwischen mir und dieser Erde!
01090e0048	Und wölke ich Gewölke ob der Erde, und im Gewölk erscheint der Bogen,
