0100000009	創世記
01030c0096	人は答えた、「わたしと一緒にしてくださったあの女が、木から取ってくれたので、わたしは食べたのです」。
01030d00d8	そこで主なる神は女に言われた、「あなたは、なんということをしたのです」。女は答えた、「へびがわたしをだましたのです。それでわたしは食べました」。
01030e00f6	主なる神はへびに言われた、「おまえは、この事を、したので、すべての家畜、野のすべての獣のうち、最ものろわれる。おまえは腹で、這いあるき、一生、ちりを食べるであろう。
01030f00cf	わたしは恨みをおく、おまえと女とのあいだに、おまえのすえと女のすえとの間に。彼はおまえのかしらを砕き、おまえは彼のかかとを砕くであろう」。
01031000e4	つぎに女に言われた、「わたしはあなたの産みの苦しみを大いに増す。あなたは苦しんで子を産む。それでもなお、あなたは夫を慕い、彼はあなたを治めるであろう」。
01031100f6	更に人に言われた、「あなたが妻の言葉を聞いて、食べるなと、わたしが命じた木から取って食べたので、地はあなたのためにのろわれ、あなたは一生、苦しんで地から食物を取る。
0103120072	地はあなたのために、いばらとあざみとを生じ、あなたは野の草を食べるであろう。
01031300ab	あなたは顔に汗してパンを食べ、ついに土に帰る、あなたは土から取られたのだから。あなたは、ちりだから、ちりに帰る」。
0103140072	さて、人はその妻の名をエバと名づけた。彼女がすべて生きた者の母だからである。
0103150063	主なる神は人とその妻とのために皮の着物を造って、彼らに着せられた。
01031600e4	主なる神は言われた、「見よ、人はわれわれのひとりのようになり、善悪を知るものとなった。彼は手を伸べ、命の木からも取って食べ、永久に生きるかも知れない」。
0103170078	そこで主なる神は彼をエデンの園から追い出して、人が造られたその土を耕させられた。
0103180096	神は人を追い出し、エデンの園の東に、ケルビムと、回る炎のつるぎとを置いて、命の木の道を守らせられた。
010401009c	人はその妻エバを知った。彼女はみごもり、カインを産んで言った、「わたしは主によって、ひとりの人を得た」。
0104020084	彼女はまた、その弟アベルを産んだ。アベルは羊を飼う者となり、カインは土を耕す者となった。
010403005a	日がたって、カインは地の産物を持ってきて、主に供え物とした。
0104040090	アベルもまた、その群れのういごと肥えたものとを持ってきた。主はアベルとその供え物とを顧みられた。
010405007e	しかしカインとその供え物とは顧みられなかったので、カインは大いに憤って、顔を伏せた。
0104060078	そこで主はカインに言われた、「なぜあなたは憤るのですか、なぜ顔を伏せるのですか。
010407011d	正しい事をしているのでしたら、顔をあげたらよいでしょう。もし正しい事をしていないのでしたら、罪が門口に待ち伏せています。それはあなたを慕い求めますが、あなたはそれを治めなければなりません」。
01040800ae	カインは弟アベルに言った、「さあ、野原へ行こう」。彼らが野にいたとき、カインは弟アベルに立ちかかって、これを殺した。
01040900ab	主はカインに言われた、「弟アベルは、どこにいますか」。カインは答えた、「知りません。わたしが弟の番人でしょうか」。
01040a008a	主は言われた、「あなたは何をしたのです。あなたの弟の血の声が土の中からわたしに叫んでいます。
01040b00ab	今あなたはのろわれてこの土地を離れなければなりません。この土地が口をあけて、あなたの手から弟の血を受けたからです。
01040c009f	あなたが土地を耕しても、土地は、もはやあなたのために実を結びません。あなたは地上の放浪者となるでしょう」。
01040d0054	カインは主に言った、「わたしの罰は重くて負いきれません。
01040e00f9	あなたは、きょう、わたしを地のおもてから追放されました。わたしはあなたを離れて、地上の放浪者とならねばなりません。わたしを見付ける人はだれでもわたしを殺すでしょう」。
01040f0126	主はカインに言われた、「いや、そうではない。だれでもカインを殺す者は七倍の復讐を受けるでしょう」。そして主はカインを見付ける者が、だれも彼を打ち殺すことのないように、彼に一つのしるしをつけられた。
0104100051	カインは主の前を去って、エデンの東、ノドの地に住んだ。
01041100c0	カインはその妻を知った。彼女はみごもってエノクを産んだ。カインは町を建て、その町の名をその子の名にしたがって、エノクと名づけた。
01041200a2	エノクにはイラデが生れた。イラデの子はメホヤエル、メホヤエルの子はメトサエル、メトサエルの子はレメクである。
0104130078	レメクはふたりの妻をめとった。ひとりの名はアダといい、ひとりの名はチラといった。
0104140066	アダはヤバルを産んだ。彼は天幕に住んで、家畜を飼う者の先祖となった。
0104150069	その弟の名はユバルといった。彼は琴や笛を執るすべての者の先祖となった。
01041600a8	チラもまたトバルカインを産んだ。彼は青銅や鉄のすべての刃物を鍛える者となった。トバルカインの妹をナアマといった。
0104170114	レメクはその妻たちに言った、「アダとチラよ、わたしの声を聞け、レメクの妻たちよ、わたしの言葉に耳を傾けよ。わたしは受ける傷のために、人を殺し、受ける打ち傷のために、わたしは若者を殺す。
0104180060	カインのための復讐が七倍ならば、レメクのための復讐は七十七倍」。
01041900f9	アダムはまたその妻を知った。彼女は男の子を産み、その名をセツと名づけて言った、「カインがアベルを殺したので、神はアベルの代りに、ひとりの子をわたしに授けられました」。
01041a008a	セツにもまた男の子が生れた。彼はその名をエノスと名づけた。この時、人々は主の名を呼び始めた。
010501006f	アダムの系図は次のとおりである。神が人を創造された時、神をかたどって造り、
0105020093	彼らを男と女とに創造された。彼らが創造された時、神は彼らを祝福して、その名をアダムと名づけられた。
0105030096	アダムは百三十歳になって、自分にかたどり、自分のかたちのような男の子を生み、その名をセツと名づけた。
0105040072	アダムがセツを生んで後、生きた年は八百年であって、ほかに男子と女子を生んだ。
0105050060	アダムの生きた年は合わせて九百三十歳であった。そして彼は死んだ。
0105060039	セツは百五歳になって、エノスを生んだ。
010507005a	セツはエノスを生んだ後、八百七年生きて、男子と女子を生んだ。
0105080054	セツの年は合わせて九百十二歳であった。そして彼は死んだ。
010509003f	エノスは九十歳になって、カイナンを生んだ。
01050a0063	エノスはカイナンを生んだ後、八百十五年生きて、男子と女子を生んだ。
01050b0054	エノスの年は合わせて九百五歳であった。そして彼は死んだ。
01050c0045	カイナンは七十歳になって、マハラレルを生んだ。
01050d0069	カイナンはマハラレルを生んだ後、八百四十年生きて、男子と女子を生んだ。
01050e0057	カイナンの年は合わせて九百十歳であった。そして彼は死んだ。
01050f0045	マハラレルは六十五歳になって、ヤレドを生んだ。
0105100066	マハラレルはヤレドを生んだ後、八百三十年生きて、男子と女子を生んだ。
0105110060	マハラレルの年は合わせて八百九十五歳であった。そして彼は死んだ。
0105120042	ヤレドは百六十二歳になって、エノクを生んだ。
010513005a	ヤレドはエノクを生んだ後、八百年生きて、男子と女子を生んだ。
010514005a	ヤレドの年は合わせて九百六十二歳であった。そして彼は死んだ。
0105150042	エノクは六十五歳になって、メトセラを生んだ。
010516006c	エノクはメトセラを生んだ後、三百年、神とともに歩み、男子と女子を生んだ。
010517003f	エノクの年は合わせて三百六十五歳であった。
010518005a	エノクは神とともに歩み、神が彼を取られたので、いなくなった。
0105190045	メトセラは百八十七歳になって、レメクを生んだ。
01051a0066	メトセラはレメクを生んだ後、七百八十二年生きて、男子と女子を生んだ。
01051b005d	メトセラの年は合わせて九百六十九歳であった。そして彼は死んだ。
01051c003f	レメクは百八十二歳になって、男の子を生み、
01051d009c	「この子こそ、主が地をのろわれたため、骨折り働くわれわれを慰めるもの」と言って、その名をノアと名づけた。
01051e0060	レメクはノアを生んだ後、五百九十五年生きて、男子と女子を生んだ。
01051f005a	レメクの年は合わせて七百七十七歳であった。そして彼は死んだ。
010520004b	ノアは五百歳になって、セム、ハム、ヤペテを生んだ。
010601004e	人が地のおもてにふえ始めて、娘たちが彼らに生れた時、
0106020066	神の子たちは人の娘たちの美しいのを見て、自分の好む者を妻にめとった。
01060300b4	そこで主は言われた、「わたしの霊はながく人の中にとどまらない。彼は肉にすぎないのだ。しかし、彼の年は百二十年であろう」。
01060400f6	そのころ、またその後にも、地にネピリムがいた。これは神の子たちが人の娘たちのところにはいって、娘たちに産ませたものである。彼らは昔の勇士であり、有名な人々であった。
0106050090	主は人の悪が地にはびこり、すべてその心に思いはかることが、いつも悪い事ばかりであるのを見られた。
0106060042	主は地の上に人を造ったのを悔いて、心を痛め、
01060700cc	「わたしが創造した人を地のおもてからぬぐい去ろう。人も獣も、這うものも、空の鳥までも。わたしは、これらを造ったことを悔いる」と言われた。
0106080033	しかし、ノアは主の前に恵みを得た。
01060900a2	ノアの系図は次のとおりである。ノアはその時代の人々の中で正しく、かつ全き人であった。ノアは神とともに歩んだ。
01060a0042	ノアはセム、ハム、ヤペテの三人の子を生んだ。
01060b003f	時に世は神の前に乱れて、暴虐が地に満ちた。
01060c007e	神が地を見られると、それは乱れていた。すべての人が地の上でその道を乱したからである。
01060d00c9	そこで神はノアに言われた、「わたしは、すべての人を絶やそうと決心した。彼らは地を暴虐で満たしたから、わたしは彼らを地とともに滅ぼそう。
01060e0093	あなたは、いとすぎの木で箱舟を造り、箱舟の中にへやを設け、アスファルトでそのうちそとを塗りなさい。
01060f009f	その造り方は次のとおりである。すなわち箱舟の長さは三百キュビト、幅は五十キュビト、高さは三十キュビトとし、
01061000b4	箱舟に屋根を造り、上へ一キュビトにそれを仕上げ、また箱舟の戸口をその横に設けて、一階と二階と三階のある箱舟を造りなさい。
01061100b7	わたしは地の上に洪水を送って、命の息のある肉なるものを、みな天の下から滅ぼし去る。地にあるものは、みな死に絶えるであろう。
0106120093	ただし、わたしはあなたと契約を結ぼう。あなたは子らと、妻と、子らの妻たちと共に箱舟にはいりなさい。
01061300e1	またすべての生き物、すべての肉なるものの中から、それぞれ二つずつを箱舟に入れて、あなたと共にその命を保たせなさい。それらは雄と雌とでなければならない。
01061400f9	すなわち、鳥はその種類にしたがい獣はその種類にしたがい、また地のすべての這うものも、その種類にしたがって、それぞれ二つずつ、あなたのところに入れて、命を保たせなさい。
010615009f	また、すべての食物となるものをとって、あなたのところにたくわえ、あなたとこれらのものとの食物としなさい」。
0106160039	ノアはすべて神の命じられたようにした。
01070100db	主はノアに言われた、「あなたと家族とはみな箱舟にはいりなさい。あなたがこの時代の人々の中で、わたしの前に正しい人であるとわたしは認めたからである。
0107020090	あなたはすべての清い獣の中から雄と雌とを七つずつ取り、清くない獣の中から雄と雌とを二つずつ取り、
010703008a	また空の鳥の中から雄と雌とを七つずつ取って、その種類が全地のおもてに生き残るようにしなさい。
01070400ab	七日の後、わたしは四十日四十夜、地に雨を降らせて、わたしの造ったすべての生き物を、地のおもてからぬぐい去ります」。
0107050039	ノアはすべて主が命じられたようにした。
0107060045	さて洪水が地に起った時、ノアは六百歳であった。
0107070063	ノアは子らと、妻と、子らの妻たちと共に洪水を避けて箱舟にはいった。
010708005a	また清い獣と、清くない獣と、鳥と、地に這うすべてのものとの、
0107090078	雄と雌とが、二つずつノアのもとにきて、神がノアに命じられたように箱舟にはいった。
01070a0036	こうして七日の後、洪水が地に起った。
01070b0093	それはノアの六百歳の二月十七日であって、その日に大いなる淵の源は、ことごとく破れ、天の窓が開けて、
01070c0033	雨は四十日四十夜、地に降り注いだ。
01070d009f	その同じ日に、ノアと、ノアの子セム、ハム、ヤペテと、ノアの妻と、その子らの三人の妻とは共に箱舟にはいった。
01070e00c3	またすべての種類の獣も、すべての種類の家畜も、地のすべての種類の這うものも、すべての種類の鳥も、すべての翼あるものも、皆はいった。
01070f007e	すなわち命の息のあるすべての肉なるものが、二つずつノアのもとにきて、箱舟にはいった。
01071000c0	そのはいったものは、すべて肉なるものの雄と雌とであって、神が彼に命じられたようにはいった。そこで主は彼のうしろの戸を閉ざされた。
0107110084	洪水は四十日のあいだ地上にあった。水が増して箱舟を浮べたので、箱舟は地から高く上がった。
010712005a	また水がみなぎり、地に増したので、箱舟は水のおもてに漂った。
0107130060	水はまた、ますます地にみなぎり、天の下の高い山々は皆おおわれた。
0107140060	水はその上、さらに十五キュビトみなぎって、山々は全くおおわれた。
0107150099	地の上に動くすべて肉なるものは、鳥も家畜も獣も、地に群がるすべての這うものも、すべての人もみな滅びた。
0107160066	すなわち鼻に命の息のあるすべてのもの、陸にいたすべてのものは死んだ。
01071700d2	地のおもてにいたすべての生き物は、人も家畜も、這うものも、空の鳥もみな地からぬぐい去られて、ただノアと、彼と共に箱舟にいたものだけが残った。
0107180039	水は百五十日のあいだ地上にみなぎった。
01080100b7	神はノアと、箱舟の中にいたすべての生き物と、すべての家畜とを心にとめられた。神が風を地の上に吹かせられたので、水は退いた。
010802005d	また淵の源と、天の窓とは閉ざされて、天から雨が降らなくなった。
010803005d	それで水はしだいに地の上から引いて、百五十日の後には水が減り、
0108040042	箱舟は七月十七日にアララテの山にとどまった。
010805005a	水はしだいに減って、十月になり、十月一日に山々の頂が現れた。
0108060048	四十日たって、ノアはその造った箱舟の窓を開いて、
0108070084	からすを放ったところ、からすは地の上から水がかわききるまで、あちらこちらへ飛びまわった。
010808007e	ノアはまた地のおもてから、水がひいたかどうかを見ようと、彼の所から、はとを放ったが、
010809010b	はとは足の裏をとどめる所が見つからなかったので、箱舟のノアのもとに帰ってきた。水がまだ全地のおもてにあったからである。彼は手を伸べて、これを捕え、箱舟の中の彼のもとに引き入れた。
01080a0042	それから七日待って再びはとを箱舟から放った。
01080b00b7	はとは夕方になって彼のもとに帰ってきた。見ると、そのくちばしには、オリブの若葉があった。ノアは地から水がひいたのを知った。
01080c0075	さらに七日待ってまた、はとを放ったところ、もはや彼のもとには帰ってこなかった。
01080d00ab	六百一歳の一月一日になって、地の上の水はかれた。ノアが箱舟のおおいを取り除いて見ると、土のおもては、かわいていた。
01080e003c	二月二十七日になって、地は全くかわいた。
01080f002a	この時、神はノアに言われた、
0108100057	「あなたは妻と、子らと、子らの妻たちと共に箱舟を出なさい。
01081100ed	あなたは、共にいる肉なるすべての生き物、すなわち鳥と家畜と、地のすべての這うものとを連れて出て、これらのものが地に群がり、地の上にふえ広がるようにしなさい」。
0108120054	ノアは共にいた子らと、妻と、子らの妻たちとを連れて出た。
0108130099	またすべての獣、すべての這うもの、すべての鳥、すべて地の上に動くものは皆、種類にしたがって箱舟を出た。
0108140099	ノアは主に祭壇を築いて、すべての清い獣と、すべての清い鳥とのうちから取って、燔祭を祭壇の上にささげた。
0108150147	主はその香ばしいかおりをかいで、心に言われた、「わたしはもはや二度と人のゆえに地をのろわない。人が心に思い図ることは、幼い時から悪いからである。わたしは、このたびしたように、もう二度と、すべての生きたものを滅ぼさない。
0108160090	地のある限り、種まきの時も、刈入れの時も、暑さ寒さも、夏冬も、昼も夜もやむことはないであろう」。
0109010072	神はノアとその子らとを祝福して彼らに言われた、「生めよ、ふえよ、地に満ちよ。
01090200a5	地のすべての獣、空のすべての鳥、地に這うすべてのもの、海のすべての魚は恐れおののいて、あなたがたの支配に服し、
01090300cc	すべて生きて動くものはあなたがたの食物となるであろう。さきに青草をあなたがたに与えたように、わたしはこれらのものを皆あなたがたに与える。
0109040051	しかし肉を、その命である血のままで、食べてはならない。
01090500de	あなたがたの命の血を流すものには、わたしは必ず報復するであろう。いかなる獣にも報復する。兄弟である人にも、わたしは人の命のために、報復するであろう。
0109060072	人の血を流すものは、人に血を流される、神が自分のかたちに人を造られたゆえに。
010907005a	あなたがたは、生めよ、ふえよ、地に群がり、地の上にふえよ」。
0109080039	神はノアおよび共にいる子らに言われた、
010909005a	「わたしはあなたがた及びあなたがたの後の子孫と契約を立てる。
01090a010e	またあなたがたと共にいるすべての生き物、あなたがたと共にいる鳥、家畜、地のすべての獣、すなわち、すべて箱舟から出たものは、地のすべての獣にいたるまで、わたしはそれと契約を立てよう。
01090b00db	わたしがあなたがたと立てるこの契約により、すべて肉なる者は、もはや洪水によって滅ぼされることはなく、また地を滅ぼす洪水は、再び起らないであろう」。
01090c00d8	さらに神は言われた、「これはわたしと、あなたがた及びあなたがたと共にいるすべての生き物との間に代々かぎりなく、わたしが立てる契約のしるしである。
01090d007e	すなわち、わたしは雲の中に、にじを置く。これがわたしと地との間の契約のしるしとなる。
01090e004e	わたしが雲を地の上に起すとき、にじは雲の中に現れる。
01090f00f0	こうして、わたしは、わたしとあなたがた、及びすべて肉なるあらゆる生き物との間に立てた契約を思いおこすゆえ、水はふたたび、すべて肉なる者を滅ぼす洪水とはならない。
01091000c9	にじが雲の中に現れるとき、わたしはこれを見て、神が地上にあるすべて肉なるあらゆる生き物との間に立てた永遠の契約を思いおこすであろう」。
01091100a8	そして神はノアに言われた、「これがわたしと地にあるすべて肉なるものとの間に、わたしが立てた契約のしるしである」。
0109120072	箱舟から出たノアの子らはセム、ハム、ヤペテであった。ハムはカナンの父である。
0109130063	この三人はノアの子らで、全地の民は彼らから出て、広がったのである。
0109140048	さてノアは農夫となり、ぶどう畑をつくり始めたが、
010915004e	彼はぶどう酒を飲んで酔い、天幕の中で裸になっていた。
010916005a	カナンの父ハムは父の裸を見て、外にいるふたりの兄弟に告げた。
01091700a8	セムとヤペテとは着物を取って、肩にかけ、うしろ向きに歩み寄って、父の裸をおおい、顔をそむけて父の裸を見なかった。
0109180057	やがてノアは酔いがさめて、末の子が彼にした事を知ったとき、
0109190081	彼は言った、「カナンはのろわれよ。彼はしもべのしもべとなって、その兄弟たちに仕える」。
01091a0066	また言った、「セムの神、主はほむべきかな、カナンはそのしもべとなれ。
01091b008a	神はヤペテを大いならしめ、セムの天幕に彼を住まわせられるように。カナンはそのしもべとなれ」。
01091c0039	ノアは洪水の後、なお三百五十年生きた。
01091d0054	ノアの年は合わせて九百五十歳であった。そして彼は死んだ。
010a010078	ノアの子セム、ハム、ヤペテの系図は次のとおりである。洪水の後、彼らに子が生れた。
010a020075	ヤペテの子孫はゴメル、マゴグ、マダイ、ヤワン、トバル、メセク、テラスであった。
010a030042	ゴメルの子孫はアシケナズ、リパテ、トガルマ。
010a04005d	ヤワンの子孫はエリシャ、タルシシ、キッテム、ドダニムであった。
010a0500b4	これらから海沿いの地の国民が分れて、おのおのその土地におり、その言語にしたがい、その氏族にしたがって、その国々に住んだ。
010a06004e	ハムの子孫はクシ、ミツライム、プテ、カナンであった。
010a07008d	クシの子孫はセバ、ハビラ、サブタ、ラアマ、サブテカであり、ラアマの子孫はシバとデダンであった。
010a080072	クシの子はニムロデであって、このニムロデは世の権力者となった最初の人である。
010a09009f	彼は主の前に力ある狩猟者であった。これから「主の前に力ある狩猟者ニムロデのごとし」ということわざが起った。
010a0a0066	彼の国は最初シナルの地にあるバベル、エレク、アカデ、カルネであった。
010a0b005a	彼はその地からアッスリヤに出て、ニネベ、レホボテイリ、カラ、
010a0c0054	およびニネベとカラとの間にある大いなる町レセンを建てた。
010a0d004e	ミツライムからルデ族、アナミ族、レハビ族、ナフト族、
010a0e006c	パテロス族、カスル族、カフトリ族が出た。カフトリ族からペリシテ族が出た。
010a0f0048	カナンからその長子シドンが出て、またヘテが出た。
010a100042	その他エブスびと、アモリびと、ギルガシびと、
010a110030	ヒビびと、アルキびと、セニびと、
010a12007e	アルワデびと、ゼマリびと、ハマテびとが出た。後になってカナンびとの氏族がひろがった。
010a13009f	カナンびとの境はシドンからゲラルを経てガザに至り、ソドム、ゴモラ、アデマ、ゼボイムを経て、レシャに及んだ。
010a140087	これらはハムの子孫であって、その氏族とその言語とにしたがって、その土地と、その国々にいた。
010a15007b	セムにも子が生れた。セムはエベルのすべての子孫の先祖であって、ヤペテの兄であった。
010a160063	セムの子孫はエラム、アシュル、アルパクサデ、ルデ、アラムであった。
010a170048	アラムの子孫はウヅ、ホル、ゲテル、マシであった。
010a180048	アルパクサデの子はシラ、シラの子はエベルである。
010a1900c3	エベルにふたりの子が生れた。そのひとりの名をペレグといった。これは彼の代に地の民が分れたからである。その弟の名をヨクタンといった。
010a1a004e	ヨクタンにアルモダデ、シャレフ、ハザルマウテ、エラ、
010a1b0027	ハドラム、ウザル、デクラ、
010a1c0027	オバル、アビマエル、シバ、
010a1d0060	オフル、ハビラ、ヨバブが生れた。これらは皆ヨクタンの子であった。
010a1e004b	彼らが住んだ所はメシャから東の山地セパルに及んだ。
010a1f0087	これらはセムの子孫であって、その氏族とその言語とにしたがって、その土地と、その国々にいた。
010a2000b4	これらはノアの子らの氏族であって、血統にしたがって国々に住んでいたが、洪水の後、これらから地上の諸国民が分れたのである。
010b010033	全地は同じ発音、同じ言葉であった。
010b020057	時に人々は東に移り、シナルの地に平野を得て、そこに住んだ。
010b0300c6	彼らは互に言った、「さあ、れんがを造って、よく焼こう」。こうして彼らは石の代りに、れんがを得、しっくいの代りに、アスファルトを得た。
010b0400c3	彼らはまた言った、「さあ、町と塔とを建てて、その頂を天に届かせよう。そしてわれわれは名を上げて、全地のおもてに散るのを免れよう」。
010b05004b	時に主は下って、人の子たちの建てる町と塔とを見て、
010b0600c9	言われた、「民は一つで、みな同じ言葉である。彼らはすでにこの事をしはじめた。彼らがしようとする事は、もはや何事もとどめ得ないであろう。
010b070084	さあ、われわれは下って行って、そこで彼らの言葉を乱し、互に言葉が通じないようにしよう」。
010b08007e	こうして主が彼らをそこから全地のおもてに散らされたので、彼らは町を建てるのをやめた。
010b0900c0	これによってその町の名はバベルと呼ばれた。主がそこで全地の言葉を乱されたからである。主はそこから彼らを全地のおもてに散らされた。
010b0a0081	セムの系図は次のとおりである。セムは百歳になって洪水の二年の後にアルパクサデを生んだ。
010b0b0060	セムはアルパクサデを生んで後、五百年生きて、男子と女子を生んだ。
010b0c0042	アルパクサデは三十五歳になってシラを生んだ。
010b0d0063	アルパクサデはシラを生んで後、四百三年生きて、男子と女子を生んだ。
010b0e0036	シラは三十歳になってエベルを生んだ。
