0100000007	Genèse
01011c00d4	Et Dieu les bénit, et il leur dit: «Soyez féconds, multipliez, remplissez la terre et soumettez-la, et dominez sur les poissons de la mer, sur les oiseaux du ciel et sur tout animal qui se meut sur la terre.»
01011d00bc	Et Dieu dit: «Voici que je vous donne toute herbe portant semence à la surface de toute la terre, et tout arbre qui porte un fruit d’arbre ayant semence; ce sera pour votre nourriture.
01011e00c2	Et à tout animal de la terre, et à tout oiseau du ciel, et à tout ce qui se meut sur la terre, ayant en soi un souffle de vie, je donne toute herbe verte pour nourriture.» Et cela fut ainsi.
01011f008b	Et Dieu vit tout ce qu’il avait fait, et voici cela était très bon. Et il y eut un soir, et il y eut un matin: ce fut le sixième jour.
0102010040	Ainsi furent achevés le ciel et la terre, et toute leur armée.
0102020090	Et Dieu eut achevé le septième jour son œuvre qu’il avait faite, et il se reposa le septième jour de toute son œuvre qu’il avait faite.
010203009a	Et Dieu bénit le septième jour et le sanctifia, parce qu’en ce jour-là il s’était reposé de toute l’œuvre qu’il avait créée en la faisant.
0102040076	Voici l’histoire du ciel et de la terre quand ils furent créés, lorsque Yahweh Dieu eut fait une terre et un ciel.
01020500e3	Il n’y avait encore sur la terre aucun arbrisseau des champs, et aucune herbe des champs n’avait encore germé; car Yahweh Dieu n’avait pas fait pleuvoir sur la terre, et il n’y avait pas d’homme pour cultiver le sol.
0102060048	Mais une vapeur montait de la terre et arrosait toute la surface du sol.
010207008b	Yahweh Dieu forma l’homme de la poussière du sol, et il souffla dans ses narines un souffle de vie, et l’homme devint un être vivant.
010208006f	Puis Yahweh Dieu planta un jardin en Éden du côté de l’Orient, et il y mit l’homme qu’il avait formé.
01020900bf	Et Yahweh Dieu fit pousser du sol toute espèce d’arbres agréables à voir et bons à manger, et l’arbre de la vie au milieu du jardin, et l’arbre de la connaissance du bien et du mal.
01020a005e	Un fleuve sortait d’Éden pour arroser le jardin, et de là il se partageait en quatre bras.
01020b0069	Le nom du premier est Phison; c’est celui qui entoure tout le pays d’Hévilath, où se trouve l’or.
01020c0056	Et l’or de ce pays est bon; là aussi se trouvent le bdellium et la pierre d’onyx.
01020d0057	Le nom du second fleuve est Géhon; c’est celui qui entoure toute la terre de Cousch.
01020e007a	Le nom du troisième est le Tigre; c’est celui qui coule à l’orient d’Assur. Le quatrième fleuve est l’Euphrate.
01020f0064	Yahweh Dieu prit l’homme et le plaça dans le jardin d’Éden pour le cultiver et pour le garder.
010210005b	Et Yahweh Dieu donna à l’homme cet ordre: «Tu peux manger de tous les arbres du jardin;
0102110085	mais tu ne mangeras pas de l’arbre de la connaissance du bien et du mal, car le jour où tu en mangeras, tu mourras certainement.»
0102120068	Yahweh Dieu dit: «Il n’est pas bon que l’homme soit seul; je lui ferai une aide semblable à lui.»
01021300ed	Et Yahweh Dieu, qui avait formé du sol tous les animaux des champs et tous les oiseaux du ciel, les fit venir vers l’homme pour voir comment il les appellerait, et pour que tout être vivant portât le nom que lui donnerait l’homme.
01021400b3	Et l’homme donna des noms à tous les animaux domestiques, aux oiseaux du ciel et à tous les animaux des champs; mais il ne trouva pas pour l’homme une aide semblable à lui.
010215008e	Alors Yahweh Dieu fit tomber un profond sommeil sur l’homme, qui s’endormit, et il prit une de ses côtes et referma la chair à sa place.
0102160068	De la côte qu’il avait prise de l’homme, Yahweh Dieu forma une femme, et il l’amena à l’homme.
010217009b	Et l’homme dit: «Celle-ci cette fois est os de mes os et chair de ma chair! Celle-ci sera appelée femme, parce qu’elle a été prise de l’homme.».
010218007c	C’est pourquoi l’homme quittera son père et sa mère, et s’attachera à sa femme, et ils deviendront une seule chair.
0102190047	Ils étaient nus tous deux, l’homme et sa femme, sans en avoir honte.
01030100c1	Le serpent était le plus rusé de tous les animaux des champs que Yahweh Dieu ait faits. Il dit à la femme: «Est-ce que Dieu aurait dit: “Vous ne mangerez pas de tout arbre du jardin?”»
010302004d	La femme répondit au serpent: «Nous mangeons du fruit des arbres du jardin.
010303009c	Mais du fruit de l’arbre qui est au milieu du jardin, Dieu a dit: Vous n’en mangerez point et vous n’y toucherez point, de peur que vous ne mouriez.»
0103040039	Le serpent dit à la femme: «Non, vous ne mourrez point;
0103050083	mais Dieu sait que, le jour où vous en mangerez, vos yeux s’ouvriront et vous serez comme Dieu, connaissant le bien et le mal.»
01030600eb	La femme vit que le fruit de l’arbre était bon à manger, agréable à la vue et désirable pour acquérir l’intelligence; elle prit de son fruit et en mangea; elle en donna aussi à son mari qui était avec elle, et il en mangea.
0103070097	Leurs yeux à tous deux s’ouvrirent et ils connurent qu’ils étaient nus; et, ayant cousu des feuilles de figuier, ils s’en firent des ceintures.
01030800b5	Alors ils entendirent la voix de Yahweh Dieu passant dans le jardin à la brise du jour, et l’homme et sa femme se cachèrent de devant Yahweh Dieu au milieu des arbres du jardin.
010309003c	Mais Yahweh Dieu appela l’homme et lui dit: «Où es-tu?»
01030a0072	Il répondit: «J’ai entendu ta voix, dans le jardin, et j’ai eu peur, car je suis nu; et je me suis caché.»
01030b0081	Et Yahweh Dieu dit: «Qui t’a appris que tu es nu? Est-ce que tu as mangé de l’arbre dont je t’avais défendu de manger?»
01030c0076	L’homme répondit: «La femme que vous avez mise avec moi m’a donné du fruit de l’arbre, et j’en ai mangé.»
01030d0082	Yahweh Dieu dit à la femme: «Pourquoi as-tu fait cela?» La femme répondit: «Le serpent m’a trompée, et j’en ai mangé.»
01030e00dd	Yahweh Dieu dit au serpent: «Parce que tu as fait cela, tu es maudit entre tous les animaux domestiques et toutes les bêtes des champs; tu marcheras sur ton ventre, et tu mangeras la poussière tous les jours de ta vie.
01030f009d	Et je mettrai une inimitié entre toi et la femme, entre ta postérité et sa postérité; celle-ci te meurtrira à la tête, et tu la meurtriras au talon.»
01031000c6	À la femme il dit: «je multiplierai tes souffrances, et spécialement celles de ta grossesse; tu enfanteras des fils dans la douleur; ton désir se portera vers ton mari, et il dominera sur toi.»
010311012a	Il dit à l’homme: «Parce que tu as écouté la voix de ta femme, et que tu as mangé de l’arbre au sujet duquel je t’avais donné cet ordre: Tu n’en mangeras pas, le sol est maudit à cause de toi. C’est par un travail pénible que tu en tireras ta nourriture, tous les jours de ta vie;
0103120050	il te produira des épines et des chardons, et tu mangeras l’herbe des champs.
01031300cf	C’est à la sueur de ton visage que tu mangeras du pain, jusqu’à ce que tu retournes à la terre, parce que c’est d’elle que tu as été pris; car tu es poussière et tu retourneras en poussière.»
010314005d	Adam donna à sa femme le nom d’Ève, parce qu’elle a été la mère de tous les vivants.
010315004f	Yahweh Dieu fit à Adam et à sa femme des tuniques de peau et les en revêtit.
01031600f9	Et Yahweh Dieu dit: «Voici que l’homme est devenu comme l’un de nous, pour la connaissance du bien et du mal. Maintenant, qu’il n’avance pas sa main, qu’il ne prenne pas aussi de l’arbre de vie, pour en manger et vivre éternellement.»
010317006d	Et Yahweh Dieu le fit sortir du jardin d’Eden, pour qu’il cultivât la terre d’où il avait été pris.
01031800a4	Et il chassa l’homme, et il mit à l’orient du jardin d’Eden les Chérubins et la flamme de l’épée tournoyante, pour garder le chemin de l’arbre de vie.
010401007d	Adam connut Ève, sa femme; elle conçut et enfanta Caïn, et elle dit: «J’ai acquis un homme avec le secours de Yahweh!»
010402005c	Elle enfanta encore Abel, son frère. Abel fut pasteur de brebis, et Caïn était laboureur.
0104030056	Au bout de quelque temps, Caïn offrit des produits de la terre en oblation à Yahweh;
0104040076	Abel, de son côté, offrit des premiers-nés de son troupeau et de leur graisse. Yahweh regarda Abel et son offrande;
0104050062	mais il ne regarda pas Caïn et son offrande. Caïn en fut très irrité et son visage fut abattu.
0104060054	Yahweh dit à Caïn: «Pourquoi es-tu irrité, et pourquoi ton visage est-il abattu?
01040700b6	Si tu fais bien, ne seras-tu pas agréé? Et si tu ne fais pas bien, le péché ne se couche-t-il pas à ta porte? Son désir se tourne vers toi; mais toi, tu dois dominer sur lui.»
0104080092	Caïn dit à Abel, son frère: «Allons aux champs.» Et, comme ils étaient dans les champs, Caïn s’éleva contre Abel, son frère, et le tua.
0104090079	Et Yahweh dit à Caïn: «Où est Abel, ton frère?» Il répondit: «Je ne sais pas; suis-je le gardien de mon frère?»
01040a005d	Yahweh dit: «Qu’as-tu fait? La voix du sang de ton frère crie de la terre jusqu’à moi.
01040b006b	Maintenant tu es maudit de la terre, qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère.
01040c0069	Quand tu cultiveras la terre, elle ne donnera plus ses fruits; tu seras errant et fugitif sur la terre.»
01040d0050	Caïn dit à Yahweh: «Ma peine est trop grande pour que je la puisse supporter.
01040e00ac	Voici que vous me chassez aujourd’hui de cette terre, et je serai caché loin de votre face; je serai errant et fugitif sur la terre, et quiconque me trouvera me tuera.»
01040f00aa	Yahweh lui dit: «Eh bien, si quelqu’un tue Caïn, Caïn sera vengé sept fois.» Et Yahweh mit un signe sur Caïn, afin que quiconque le rencontrerait ne le tuât pas.
0104100064	Puis Caïn s’éloigna de devant Yahweh, et il habita dans le pays de Nod, à l’orient d’Éden.
0104110084	Caïn connut sa femme; elle conçut et enfanta Hénoch. Et il se mit à bâtir une ville qu’il appela Hénoch, du nom de son fils.
010412006d	Irad naquit à Hénoch, et il engendra Maviaël; Maviaël engendra Mathusaël, et Mathusaël engendra Lamech.
0104130054	Lamech prit deux femmes; le nom de l’une était Ada, et celui de la seconde Sella.
0104140066	Ada enfanta Jabel: il a été le père de ceux qui habitent sous des tentes et au milieu de troupeaux.
010415006b	Le nom de son frère était Jubal: il a été le père de tous ceux qui jouent de la harpe et du chalumeau.
010416009d	Sella, de son côté, enfanta Tubal-Caïn, qui forgeait toute espèce d’instruments tranchants d’airain et de fer. La sœur de Tubal-Caïn était Noéma.
01041700ae	Lamech dit à ses femmes: Ada et Sella, entendez ma voix, femmes de Lamech, écoutez ma parole: J’ai tué un homme pour ma blessure, et un jeune homme pour ma meurtrissure.
010418003e	Caïn sera vengé sept fois, et Lamech soixante-dix-sept fois.
01041900a2	Adam connut encore sa femme; elle enfanta un fils et l’appela Seth, car, dit-elle, «Dieu m’a donné une postérité à la place d’Abel, que Caïn a tué.»
01041a006d	Seth eut aussi un fils, qu’il appela Énos. Ce fut alors que l’on commença à invoquer le nom de Yahweh.
0105010067	Voici le livre de l’histoire d’Adam. Lorsque Dieu créa Adam, il le fit à la ressemblance de Dieu.
0105020070	Il les créa mâle et femelle, et il les bénit, et il leur donna le nom d’Homme, lorsqu’ils furent créés.
0105030078	Adam vécut cent trente ans, et il engendra un fils à sa ressemblance, selon son image, et il lui donna le nom de Seth.
0105040077	Les jours d’Adam, après qu’il eut engendré Seth, furent de huit cents ans, et il engendra des fils et des filles.
0105050049	Tout le temps qu’Adam vécut fut de neuf cent trente ans, et il mourut.
0105060030	Seth vécut cent cinq ans, et il engendra Énos.
010507006a	Après qu’il eut engendré Énos, Seth vécut huit cent sept ans, et il engendra des fils et des filles.
0105080047	Tout le temps que Seth vécut fut de neuf cent douze ans, et il mourut.
010509003a	Énos vécut quatre-vingt-dix ans, et il engendra Caïnan.
01050a006f	Après qu’il eut engendré Caïnan, Énos vécut huit cent quinze ans, et il engendra des fils et des filles.
01050b0048	Tout le temps qu’Énos vécut fut de neuf cent cinq ans, et il mourut.
01050c003a	Caïnan vécut soixante-dix ans, et il engendra Malaléel.
01050d0075	Après qu’il eut engendré Malaléel, Caïnan vécut huit cent quarante ans, et il engendra des fils et des filles.
01050e0048	Tout le temps que Caïnan vécut fut de neuf cent dix ans, et il mourut.
01050f0039	Malaléel vécut soixante-cinq ans, et il engendra Jared.
0105100071	Après qu’il eut engendré Jared, Malaléel vécut huit cent trente ans, et il engendra des fils et des filles.
010511005a	Tout le temps que Malaléel vécut fut de huit cent quatre-vingt-quinze ans, et il mourut.
010512003c	Jared vécut cent soixante-deux ans, et il engendra Hénoch.
0105130069	Après qu’il eut engendré Hénoch, Jared vécut huit cents ans, et il engendra des fils et des filles.
0105140050	Tout le temps que Jared vécut fut de neuf cent soixante-deux ans, et il mourut.
010515003c	Hénoch vécut soixante-cinq ans, et il engendra Mathusalem.
0105160079	Après qu’il eut engendré Mathusalem, Hénoch marcha avec Dieu trois cents ans, et il engendra des fils et des filles.
0105170046	Tout le temps qu’Hénoch vécut fut de trois cent soixante-cinq ans.
0105180048	Hénoch marcha avec Dieu, et on ne le vit plus, car Dieu l’avait pris.
0105190044	Mathusalem vécut cent quatre-vingt-sept ans, et il engendra Lamech.
01051a007e	Après qu’il eut engendré Lamech, Mathusalem vécut sept cent quatre-vingt-deux ans, et il engendra des fils et des filles.
01051b0055	Tout le temps que Mathusalem vécut fut de neuf cent soixante-neuf ans, et il mourut.
01051c0041	Lamech vécut cent quatre-vingt-deux ans, et il engendra un fils.
01051d00a2	Il lui donna le nom de Noé, en disant: «Celui-ci nous soulagera de nos fatigues et du travail pénible de nos mains, provenant de ce sol qu’a maudit Yahweh.»
01051e007a	Après qu’il eut engendré Noé, Lamech vécut cinq cent quatre-vingt-quinze ans, et il engendra des fils et des filles.
01051f0055	Tout le temps que Lamech vécut fut de sept cent soixante-dix-sept ans, et il mourut.
010520003d	Noé, âgé de cinq cents ans, engendra Sem, Cham et Japheth.
0106010075	Lorsque les hommes eurent commencé à être nombreux sur la surface de la terre, et qu’il leur fut né des filles,
0106020086	les fils de Dieu virent que les filles des hommes étaient belles, et ils en prirent pour femmes parmi toutes celles qui leur plurent.
010603008f	Et Yahweh dit: «Mon esprit ne demeurera pas toujours dans l’homme, car l’homme n’est que chair, et ses jours seront de cent vingt ans.»
01060400eb	Or, les géants étaient sur la terre en ces jours-là, et cela après que les fils de Dieu furent venus vers les filles des hommes, et qu’elles leur eurent donné des enfants: ce sont là les héros renommés dès les temps anciens.
010605009f	Yahweh vit que la méchanceté des hommes était grande sur la terre, et que toutes les pensées de leur cœur se portaient chaque jour uniquement vers le mal.
010606005f	Et Yahweh se repentit d’avoir fait l’homme sur la terre, et il fut affligé dans son cœur,
01060700cb	et il dit: «J’exterminerai de dessus la terre l’homme que j’ai créé, depuis l’homme jusqu’aux animaux domestiques, aux reptiles et aux oiseaux du ciel, car je me repens de les avoir faits.»
010608002b	Mais Noé trouva grâce aux yeux de Yahweh.
0106090078	Voici l’histoire de Noé. Noé était un homme juste, intègre parmi les hommes de son temps; Noé marchait avec Dieu.
01060a002f	Noé engendra trois fils, Sem, Cham et Japheth.
01060b003f	Or la terre se corrompit devant Dieu et se remplit de violence.
01060c0070	Dieu regarda la terre, et voici qu’elle était corrompue, car toute chair avait corrompu sa voie sur la terre.
01060d00a6	Alors Dieu dit à Noé: «La fin de toute chair est venue devant moi, car la terre est pleine de violence à cause d’eux; je vais les détruire, ainsi que la terre.
01060e007c	Fais-toi une arche de bois résineux; tu la feras composée de cellules et tu l’enduiras de bitume en dedans et en dehors.
01060f008b	Voici comment tu la feras: la longueur de l’arche sera de trois cents coudées, sa largeur de cinquante coudées et sa hauteur de trente.
01061000d3	Tu feras à l’arche une ouverture, à laquelle tu donneras une coudée depuis le toit; tu établiras une porte sur le côté de l’arche, et tu feras un premier, un second et un troisième étage de cellules.
01061100b4	Et moi, je vais faire venir le déluge, une inondation de la terre, pour détruire de dessous le ciel toute chair ayant en soi souffle de vie; tout ce qui est sur la terre périra.
0106120087	Mais j’établirai mon alliance avec toi; et tu entreras dans l’arche, toi et tes fils, ta femme et les femmes de tes fils avec toi.
010613009f	De tout ce qui vit, de toute chair, tu feras entrer dans l’arche deux de chaque espèce, pour les conserver en vie avec toi; ce sera un mâle et une femelle.
01061400dc	Des oiseaux des diverses espèces, des animaux domestiques des diverses espèces, et de toutes les espèces d’animaux qui rampent sur le sol, deux de toute espèce viendront vers toi, pour que tu leur conserves la vie.
0106150094	Et toi, prends de tous les aliments que l’on mange et fais-en provision près de toi, afin qu’ils te servent de nourriture, ainsi qu’à eux.»
0106160046	Noé se mit à l’œuvre; il fit tout ce que Dieu lui avait ordonné.
0107010086	Yahweh dit à Noé: «Entre dans l’arche, toi et toute ta maison, car je t’ai vu juste devant moi au milieu de cette génération.
01070200b6	De tous les animaux purs, tu en prendras avec toi sept paires, des mâles et leurs femelles, et de tous les animaux qui ne sont pas purs, tu en prendras deux, un mâle et sa femelle;
0107030083	sept paires aussi des oiseaux du ciel, des mâles et leurs femelles, pour conserver en vie leur race sur la face de toute la terre.
01070400b1	Car, encore sept jours et je ferai pleuvoir sur la terre pendant quarante jours et quarante nuits, et j’exterminerai de la face de la terre tous les êtres que j’ai faits.»
010705002f	Noé fit tout ce que Yahweh lui avait ordonné.
010706004d	Il avait six cents ans quand eut lieu le déluge, une inondation de la terre.
010707006f	Noé entra dans l’arche avec ses fils, sa femme et les femmes de ses fils pour échapper aux eaux du déluge.
0107080061	Des animaux purs et de ceux qui ne sont pas purs, des oiseaux et de tout ce qui rampe sur le sol,
0107090065	chaque paire, mâle et femelle, vint vers Noé dans l’arche, comme Dieu l’avait ordonné à Noé.
01070a004c	Et, au bout de sept jours, les eaux du déluge se répandirent sur la terre.
01070b00b9	L’an six cent de la vie de Noé, au deuxième mois, le dix-septième jour du mois, en ce jour-là, toutes les sources du grand abîme jaillirent et les écluses du ciel s’ouvrirent,
01070c0047	et la pluie tomba sur la terre durant quarante jours et quarante nuits.
01070d008c	Ce même jour, Noé entra dans l’arche, avec Sem, Cham et Japhet, fils de Noé, la femme de Noé et les trois femmes de ses fils avec eux,
01070e0102	eux et toutes les bêtes des diverses espèces, tous les animaux domestiques des diverses espèces, tous les reptiles des diverses espèces qui rampent sur la terre, et tous les oiseaux des diverses espèces, tous les petits oiseaux, tout ce qui a des ailes.
01070f0058	Ils vinrent vers Noé dans l’arche, deux à deux, de toute chair ayant souffle de vie.
0107100079	Ils arrivaient mâle et femelle, de toute chair, comme Dieu l’avait ordonné à Noé. Et Yahweh ferma la porte sur lui.
0107110084	Le déluge fut quarante jours sur la terre; les eaux grossirent et soulevèrent l’arche, et elle s’éleva au-dessus de la terre.
0107120063	Les eaux crûrent et devinrent extrêmement grosses sur la terre, et l’arche flotta sur les eaux.
0107130071	Les eaux, ayant grossi de plus en plus, couvrirent toutes les hautes montagnes qui sont sous le ciel tout entier.
010714005c	Les eaux s’élevèrent de quinze coudées au-dessus des montagnes qu’elles recouvraient.
0107150096	Toute chair qui se meut sur la terre périt: oiseaux, animaux domestiques, bêtes sauvages, tout ce qui rampe sur la terre, ainsi que tous les hommes.
0107160060	De tout ce qui existe sur la terre sèche, tout ce qui a souffle de vie dans les narines mourut.
0107170107	Tout être qui se trouve sur la face du sol fut détruit, depuis l’homme jusqu’à l’animal domestique, jusqu’aux reptiles et jusqu’aux oiseaux du ciel; ils furent exterminés de la terre, et il ne resta que Noé et ce qui était avec lui dans l’arche.
0107180041	Les eaux furent hautes sur la terre pendant cent cinquante jours.
01080100b8	Dieu se souvint de Noé, de toutes les bêtes et de tous les animaux domestiques qui étaient avec lui dans l’arche, et Dieu fit passer un vent sur la terre, et les eaux baissèrent;
0108020065	les sources de l’abîme et les écluses du ciel se fermèrent, et la pluie cessa de tomber du ciel.
010803007a	Les eaux se retirèrent de dessus la terre, allant et revenant, et elles s’abaissèrent au bout de cent cinquante jours.
0108040065	Au septième mois, le dix-septième jour du mois, l’arche s’arrêta sur les montagnes d’Ararat.
010805008d	Les eaux allèrent se retirant jusqu’au dixième mois; et, au dixième mois, le premier jour du mois, apparurent les sommets des montagnes.
0108060054	Au bout de quarante jours, Noé ouvrit la fenêtre qu’il avait faite à l’arche,
0108070079	et lâcha le corbeau, qui sortit, allant et revenant, jusqu’à ce que les eaux fussent séchées au-dessus de la terre.
0108080072	Il lâcha ensuite la colombe d’auprès de lui, pour voir si les eaux avaient diminué de la surface de la terre.
0108090108	Mais la colombe, n’ayant pas trouvé où poser la plante de son pied, revint vers lui dans l’arche; parce qu’il y avait encore des eaux à la surface de toute la terre. Il étendit la main et, l’ayant prise, il la fit rentrer auprès de lui dans l’arche.
01080a005b	Il attendit encore sept autres jours, et il lâcha de nouveau la colombe hors de l’arche,
01080b00ab	et la colombe revint vers lui sur le soir, et voici, une feuille d’olivier toute fraîche était dans son bec; et Noé reconnut que les eaux ne couvraient plus la terre.
01080c005f	Il attendit encore sept autres jours, et il lâcha la colombe; et elle ne revint plus vers lui.
01080d00c0	L’an six cent un, au premier mois, le premier jour du mois, les eaux avaient séché sur la terre. Noé ôta la couverture de l’arche et regarda, et voici, la surface du sol avait séché.
01080e0045	Au second mois, le vingt-septième jour du mois, la terre fut sèche.
01080f0024	Alors Dieu parla à Noé, en disant:
0108100052	«Sors de l’arche, toi et ta femme, tes fils et les femmes de tes fils avec toi.
01081100f8	Toutes les bêtes de toute chair, qui sont avec toi, oiseaux, animaux domestiques, et tous les reptiles qui rampent sur la terre, fais-les sortir avec toi; qu’ils se répandent sur la terre, qu’ils soient féconds et multiplient sur la terre.»
0108120041	Noé sortit, lui et ses fils, sa femme et les femmes de ses fils.
0108130094	Toutes les bêtes, tous les reptiles et tous les oiseaux, tous les êtres qui se meuvent sur la terre, selon leurs espèces, sortirent de l’arche.
0108140091	Noé construisit un autel à Yahweh et, ayant pris de tous les animaux purs et de tous les oiseaux purs, il offrit des holocaustes sur l’autel.
010815010e	Yahweh sentit une odeur agréable, et Yahweh dit en son cœur: «Je ne maudirai plus désormais la terre à cause de l’homme, parce que les pensées du cœur de l’homme sont mauvaises dès sa jeunesse, et je ne frapperai plus tout être vivant, comme je l’ai fait.
0108160099	Désormais, tant que la terre durera, les semailles et la moisson, le froid et le chaud, l’été et l’hiver, le jour et la nuit ne cesseront point.»
010901005e	Dieu bénit Noé et ses fils et leur dit: «Soyez féconds, multipliez et remplissez la terre.
01090200bc	Vous serez craints et redoutés de toute bête de la terre, de tout oiseau du ciel, de tout ce qui se meut sur la terre et de tous les poissons de la mer: ils sont livrés entre vos mains.
0109030081	Tout ce qui se meut et qui a vie vous servira de nourriture; je vous donne tout cela, comme je vous avais donné l’herbe verte.
0109040057	Seulement vous ne mangerez point de chair avec son âme, c’est-à-dire avec son sang.
01090500db	Et votre sang à vous, j’en demanderai compte à cause de vos âmes, j’en demanderai compte à toute bête; de la main de l’homme, de la main de l’homme qui est son frère, je redemanderai l’âme de l’homme.
0109060077	Quiconque aura versé le sang de l’homme, par l’homme son sang sera versé, car Dieu a fait l’homme à son image.
0109070057	Vous, soyez féconds et multipliez; répandez-vous sur la terre et vous y multipliez.»
0109080030	Dieu dit encore à Noé et à ses fils avec lui:
0109090058	«Et moi, je vais établir mon alliance avec vous et avec votre postérité après vous,
01090a00cb	avec tous les êtres vivants qui sont avec vous, oiseaux, animaux domestiques et toutes les bêtes de la terre avec vous, depuis tous ceux qui sont sortis de l’arche jusqu’à toute bête de la terre.
01090b009b	J’établis mon alliance avec vous: aucune chair ne sera plus détruite par les eaux du déluge, et il n’y aura plus de déluge pour ravager la terre.»
01090c00a3	Et Dieu dit: «Voici le signe de l’alliance que je mets entre moi et vous, et tous les êtres vivants qui sont avec vous, pour toutes les générations à venir.
01090d0059	J’ai mis mon arc dans la nue, et il deviendra signe d’alliance entre moi et la terre.
01090e0058	Quand j’assemblerai des nuées au-dessus de la terre, l’arc apparaîtra dans la nue,
01090f00a0	et je me souviendrai de mon alliance entre moi et vous et tout être vivant, de toute chair, et les eaux ne deviendront plus un déluge détruisant toute chair.
01091000b5	L’arc sera dans la nue et, en le regardant, je me souviendrai de l’alliance éternelle qui existe entre Dieu et tous les êtres vivants, de toute chair, qui sont sur la terre.»
010911007c	Et Dieu dit à Noé: «Tel est le signe de l’alliance que j’ai établie entre moi et toute chair qui est sur la terre.»
010912006b	Les fils de Noé qui sortirent de l’arche étaient Sem, Cham et Japheth; et Cham était père de Chanaan.
0109130054	Ces trois sont les fils de Noé, et c’est par eux que fut peuplée toute la terre.
010914003f	Noé, qui était cultivateur, commença à planter de la vigne.
010915004a	Ayant bu du vin, il s’enivra, et il se découvrit au milieu de sa tente.
0109160068	Cham, père de Chanaan, vit la nudité de son père, et il alla le rapporter dehors à ses deux frères.
0109170098	Alors Sem avec Japheth prit le manteau de Noé et, l’ayant mis sur leurs épaules, ils marchèrent à reculons et couvrirent la nudité de leur père.
01091800b8	Comme leur visage était tourné en arrière, ils ne virent pas la nudité de leur père. Lorsque Noé se réveilla de son ivresse, il apprit ce que lui avait fait son plus jeune fils,
0109190054	et il dit: Maudit soit Chanaan! Il sera pour ses frères le serviteur des serviteurs
