2800000006	ܡܬܝ
28011100f0	ܟܠܗܝܢ ܗܟܝܠ ܫܪܒܬܐ ܡܢ ܐܒܪܗܡ ܥܕܡܐ ܠܕܘܝܕ ܫܪܒܬܐ ܐܪܒܥܤܪܐ ܘܡܢ ܕܘܝܕ ܥܕܡܐ ܠܓܠܘܬܐ ܕܒܒܠ ܫܪܒܬܐ ܐܪܒܥܤܪܐ ܘܡܢ ܓܠܘܬܐ ܕܒܒܠ ܥܕܡܐ ܠܡܫܝܚܐ ܫܪܒܬܐ ܐܪܒܥܤܪܐ
28011200b2	ܝܠܕܗ ܕܝܢ ܕܝܫܘܥ ܡܫܝܚܐ ܗܟܢܐ ܗܘܐ ܟܕ ܡܟܝܪܐ ܗܘܬ ܡܪܝܡ ܐܡܗ ܠܝܘܤܦ ܥܕܠܐ ܢܫܬܘܬܦܘܢ ܐܫܬܟܚܬ ܒܛܢܐ ܡܢ ܪܘܚܐ ܕܩܘܕܫܐ
2801130075	ܝܘܤܦ ܕܝܢ ܒܥܠܗ ܟܐܢܐ ܗܘܐ ܘܠܐ ܨܒܐ ܕܢܦܪܤܝܗ ܘܐܬܪܥܝ ܗܘܐ ܕܡܛܫܝܐܝܬ ܢܫܪܝܗ
28011400e4	ܟܕ ܗܠܝܢ ܕܝܢ ܐܬܪܥܝ ܐܬܚܙܝ ܠܗ ܡܠܐܟܐ ܕܡܪܝܐ ܒܚܠܡܐ ܘܐܡܪ ܠܗ ܝܘܤܦ ܒܪܗ ܕܕܘܝܕ ܠܐ ܬܕܚܠ ܠܡܤܒ ܠܡܪܝܡ ܐܢܬܬܟ ܗܘ ܓܝܪ ܕܐܬܝܠܕ ܒܗ ܡܢ ܪܘܚܐ ܗܘ ܕܩܘܕܫܐ
2801150067	ܬܐܠܕ ܕܝܢ ܒܪܐ ܘܬܩܪܐ ܫܡܗ ܝܫܘܥ ܗܘ ܓܝܪ ܢܚܝܘܗܝ ܠܥܡܗ ܡܢ ܚܛܗܝܗܘܢ
280116005c	ܗܕܐ ܕܝܢ ܟܠܗ ܕܗܘܬ ܕܢܬܡܠܐ ܡܕܡ ܕܐܬܐܡܪ ܡܢ ܡܪܝܐ ܒܝܕ ܢܒܝܐ
2801170070	ܕܗܐ ܒܬܘܠܬܐ ܬܒܛܢ ܘܬܐܠܕ ܒܪܐ ܘܢܩܪܘܢ ܫܡܗ ܥܡܢܘܐܝܠ ܕܡܬܬܪܓܡ ܥܡܢ ܐܠܗܢ
2801180075	ܟܕ ܩܡ ܕܝܢ ܝܘܤܦ ܡܢ ܫܢܬܗ ܥܒܕ ܐܝܟܢܐ ܕܦܩܕ ܠܗ ܡܠܐܟܗ ܕܡܪܝܐ ܘܕܒܪܗ ܠܐܢܬܬܗ
2801190052	ܘܠܐ ܚܟܡܗ ܥܕܡܐ ܕܝܠܕܬܗ ܠܒܪܗ ܒܘܟܪܐ ܘܩܪܬ ܫܡܗ ܝܫܘܥ
280201008c	ܟܕ ܕܝܢ ܐܬܝܠܕ ܝܫܘܥ ܒܒܝܬ ܠܚܡ ܕܝܗܘܕܐ ܒܝܘܡܝ ܗܪܘܕܤ ܡܠܟܐ ܐܬܘ ܡܓܘܫܐ ܡܢ ܡܕܢܚܐ ܠܐܘܪܫܠܡ
280202007d	ܘܐܡܪܝܢ ܐܝܟܘ ܡܠܟܐ ܕܝܗܘܕܝܐ ܕܐܬܝܠܕ ܚܙܝܢ ܓܝܪ ܟܘܟܒܗ ܒܡܕܢܚܐ ܘܐܬܝܢ ܠܡܤܓܕ ܠܗ
280203004d	ܫܡܥ ܕܝܢ ܗܪܘܕܤ ܡܠܟܐ ܘܐܬܬܙܝܥ ܘܟܠܗ ܐܘܪܫܠܡ ܥܡܗ
2802040073	ܘܟܢܫ ܟܠܗܘܢ ܪܒܝ ܟܗܢܐ ܘܤܦܪܐ ܕܥܡܐ ܘܡܫܐܠ ܗܘܐ ܠܗܘܢ ܕܐܝܟܐ ܡܬܝܠܕ ܡܫܝܚܐ
2802050059	ܗܢܘܢ ܕܝܢ ܐܡܪܘ ܒܒܝܬ ܠܚܡ ܕܝܗܘܕܐ ܗܟܢܐ ܓܝܪ ܟܬܝܒ ܒܢܒܝܐ
28020600ab	ܐܦ ܐܢܬܝ ܒܝܬ ܠܚܡ ܕܝܗܘܕܐ ܠܐ ܗܘܝܬܝ ܒܨܝܪܐ ܒܡܠܟܐ ܕܝܗܘܕܐ ܡܢܟܝ ܓܝܪ ܢܦܘܩ ܡܠܟܐ ܕܗܘ ܢܪܥܝܘܗܝ ܠܥܡܝ ܐܝܤܪܐܝܠ
280207007f	ܗܝܕܝܢ ܗܪܘܕܤ ܡܛܫܝܐܝܬ ܩܪܐ ܠܡܓܘܫܐ ܘܝܠܦ ܡܢܗܘܢ ܒܐܝܢܐ ܙܒܢܐ ܐܬܚܙܝ ܠܗܘܢ ܟܘܟܒܐ
28020800b5	ܘܫܕܪ ܐܢܘܢ ܠܒܝܬ ܠܚܡ ܘܐܡܪ ܠܗܘܢ ܙܠܘ ܥܩܒܘ ܥܠ ܛܠܝܐ ܚܦܝܛܐܝܬ ܘܡܐ ܕܐܫܟܚܬܘܢܝܗܝ ܬܘ ܚܘܐܘܢܝ ܕܐܦ ܐܢܐ ܐܙܠ ܐܤܓܘܕ ܠܗ
28020900c2	ܗܢܘܢ ܕܝܢ ܟܕ ܫܡܥܘ ܡܢ ܡܠܟܐ ܐܙܠܘ ܘܗܐ ܟܘܟܒܐ ܗܘ ܕܚܙܘ ܒܡܕܢܚܐ ܐܙܠ ܗܘܐ ܩܕܡܝܗܘܢ ܥܕܡܐ ܕܐܬܐ ܩܡ ܠܥܠ ܡܢ ܐܝܟܐ ܕܐܝܬܘܗܝ ܛܠܝܐ
28020a0049	ܟܕ ܕܝܢ ܚܙܐܘܗܝ ܠܟܘܟܒܐ ܚܕܝܘ ܚܕܘܬܐ ܪܒܬܐ ܕܛܒ
28020b00b5	ܘܥܠܘ ܠܒܝܬܐ ܘܚܙܐܘܗܝ ܠܛܠܝܐ ܥܡ ܡܪܝܡ ܐܡܗ ܘܢܦܠܘ ܤܓܕܘ ܠܗ ܘܦܬܚܘ ܤܝܡܬܗܘܢ ܘܩܪܒܘ ܠܗ ܩܘܪܒܢܐ ܕܗܒܐ ܘܡܘܪܐ ܘܠܒܘܢܬܐ
28020c0078	ܘܐܬܚܙܝ ܠܗܘܢ ܒܚܠܡܐ ܕܠܐ ܢܗܦܟܘܢ ܠܘܬ ܗܪܘܕܤ ܘܒܐܘܪܚܐ ܐܚܪܬܐ ܐܙܠܘ ܠܐܬܪܗܘܢ
28020d0115	ܟܕ ܕܝܢ ܐܙܠܘ ܐܬܚܙܝ ܡܠܐܟܐ ܕܡܪܝܐ ܒܚܠܡܐ ܠܝܘܤܦ ܘܐܡܪ ܠܗ ܩܘܡ ܕܒܪ ܠܛܠܝܐ ܘܠܐܡܗ ܘܥܪܘܩ ܠܡܨܪܝܢ ܘܬܡܢ ܗܘܝ ܥܕܡܐ ܕܐܡܪ ܐܢܐ ܠܟ ܥܬܝܕ ܗܘ ܓܝܪ ܗܪܘܕܤ ܠܡܒܥܝܗ ܠܛܠܝܐ ܐܝܟ ܕܢܘܒܕܝܘܗܝ
28020e0054	ܝܘܤܦ ܕܝܢ ܩܡ ܫܩܠܗ ܠܛܠܝܐ ܘܠܐܡܗ ܒܠܠܝܐ ܘܥܪܩ ܠܡܨܪܝܢ
28020f0097	ܘܗܘܐ ܬܡܢ ܥܕܡܐ ܠܡܘܬܗ ܕܗܪܘܕܤ ܕܢܬܡܠܐ ܡܕܡ ܕܐܬܐܡܪ ܡܢ ܡܪܝܐ ܒܢܒܝܐ ܕܐܡܪ ܕܡܢ ܡܨܪܝܢ ܩܪܝܬ ܠܒܪܝ
28021000f0	ܗܝܕܝܢ ܗܪܘܕܤ ܟܕ ܚܙܐ ܕܐܬܒܙܚ ܡܢ ܡܓܘܫܐ ܐܬܚܡܬ ܛܒ ܘܫܕܪ ܩܛܠ ܛܠܝܐ ܟܠܗܘܢ ܕܒܝܬ ܠܚܡ ܘܕܟܠܗܘܢ ܬܚܘܡܝܗ ܡܢ ܒܪ ܬܪܬܝܢ ܫܢܝܢ ܘܠܬܚܬ ܐܝܟ ܙܒܢܐ ܕܥܩܒ ܡܢ ܡܓܘܫܐ
280211004d	ܗܝܕܝܢ ܐܬܡܠܝ ܡܕܡ ܕܐܬܐܡܪ ܒܝܕ ܐܪܡܝܐ ܢܒܝܐ ܕܐܡܪ
2802120097	ܩܠܐ ܐܫܬܡܥ ܒܪܡܬܐ ܒܟܝܐ ܘܐܠܝܐ ܤܓܝܐܐ ܪܚܝܠ ܒܟܝܐ ܥܠ ܒܢܝܗ ܘܠܐ ܨܒܝܐ ܠܡܬܒܝܐܘ ܡܛܠ ܕܠܐ ܐܝܬܝܗܘܢ
280213006a	ܟܕ ܡܝܬ ܕܝܢ ܗܪܘܕܤ ܡܠܟܐ ܐܬܚܙܝ ܡܠܐܟܐ ܕܡܪܝܐ ܒܚܠܡܐ ܠܝܘܤܦ ܒܡܨܪܝܢ
280214009c	ܘܐܡܪ ܠܗ ܩܘܡ ܕܒܪ ܠܛܠܝܐ ܘܠܐܡܗ ܘܙܠ ܠܐܪܥܐ ܕܐܝܤܪܐܝܠ ܡܝܬܘ ܠܗܘܢ ܓܝܪ ܗܢܘܢ ܕܒܥܝܢ ܗܘܘ ܢܦܫܗ ܕܛܠܝܐ
2802150051	ܘܝܘܤܦ ܩܡ ܕܒܪ ܠܛܠܝܐ ܘܠܐܡܗ ܘܐܬܐ ܠܐܪܥܐ ܕܐܝܤܪܐܝܠ
28021600b6	ܟܕ ܕܝܢ ܫܡܥ ܕܐܪܟܠܐܘܤ ܗܘܐ ܡܠܟܐ ܒܝܗܘܕ ܚܠܦ ܗܪܘܕܤ ܐܒܘܗܝ ܕܚܠ ܕܢܐܙܠ ܠܬܡܢ ܘܐܬܚܙܝ ܠܗ ܒܚܠܡܐ ܕܢܐܙܠ ܠܐܬܪܐ ܕܓܠܝܠܐ
2802170081	ܘܐܬܐ ܥܡܪ ܒܡܕܝܢܬܐ ܕܡܬܩܪܝܐ ܢܨܪܬ ܐܝܟ ܕܢܬܡܠܐ ܡܕܡ ܕܐܬܐܡܪ ܒܢܒܝܐ ܕܢܨܪܝܐ ܢܬܩܪܐ
280301006e	ܒܗܘܢ ܕܝܢ ܒܝܘܡܬܐ ܗܢܘܢ ܐܬܐ ܝܘܚܢܢ ܡܥܡܕܢܐ ܘܡܟܪܙ ܗܘܐ ܒܚܘܪܒܐ ܕܝܗܘܕ
2803020037	ܘܐܡܪ ܬܘܒܘ ܩܪܒܬ ܠܗ ܡܠܟܘܬܐ ܕܫܡܝܐ
2803030090	ܗܢܘ ܓܝܪ ܗܘ ܕܐܡܝܪ ܒܝܕ ܐܫܥܝܐ ܢܒܝܐ ܩܠܐ ܕܩܪܐ ܒܚܘܪܒܐ ܛܝܒܘ ܐܘܪܚܗ ܕܡܪܝܐ ܘܐܫܘܘ ܠܫܒܝܠܘܗܝ
28030400a4	ܗܘ ܕܝܢ ܝܘܚܢܢ ܐܝܬܘܗܝ ܗܘܐ ܠܒܘܫܗ ܕܤܥܪܐ ܕܓܡܠܐ ܘܐܤܪ ܚܨܐ ܕܡܫܟܐ ܥܠ ܚܨܘܗܝ ܘܡܐܟܘܠܬܗ ܩܡܨܐ ܘܕܒܫܐ ܕܒܪܐ
280305006c	ܗܝܕܝܢ ܢܦܩܐ ܗܘܬ ܠܘܬܗ ܐܘܪܫܠܡ ܘܟܠܗ ܝܗܘܕ ܘܟܠܗ ܐܬܪܐ ܕܚܕܪܝ ܝܘܪܕܢܢ
2803060053	ܘܥܡܕܝܢ ܗܘܘ ܡܢܗ ܒܝܘܪܕܢܢ ܢܗܪܐ ܟܕ ܡܘܕܝܢ ܒܚܛܗܝܗܘܢ
28030700b5	ܟܕ ܚܙܐ ܕܝܢ ܤܓܝܐܐ ܡܢ ܦܪܝܫܐ ܘܡܢ ܙܕܘܩܝܐ ܕܐܬܝܢ ܠܡܥܡܕ ܐܡܪ ܠܗܘܢ ܝܠܕܐ ܕܐܟܕܢܐ ܡܢܘ ܚܘܝܟܘܢ ܠܡܥܪܩ ܡܢ ܪܘܓܙܐ ܕܐܬܐ
2803080034	ܥܒܕܘ ܗܟܝܠ ܦܐܪܐ ܕܫܘܝܢ ܠܬܝܒܘܬܐ
28030900bb	ܘܠܐ ܬܤܒܪܘܢ ܘܬܐܡܪܘܢ ܒܢܦܫܟܘܢ ܕܐܒܐ ܐܝܬ ܠܢ ܐܒܪܗܡ ܐܡܪ ܐܢܐ ܠܟܘܢ ܓܝܪ ܕܡܫܟܚ ܐܠܗܐ ܡܢ ܗܠܝܢ ܟܐܦܐ ܠܡܩܡܘ ܒܢܝܐ ܠܐܒܪܗܡ
28030a008c	ܗܐ ܕܝܢ ܢܪܓܐ ܤܝܡ ܥܠ ܥܩܪܐ ܕܐܝܠܢܐ ܟܠ ܐܝܠܢܐ ܗܟܝܠ ܕܦܐܪܐ ܛܒܐ ܠܐ ܥܒܕ ܡܬܦܤܩ ܘܢܦܠ ܒܢܘܪܐ
28030b00d8	ܐܢܐ ܡܥܡܕ ܐܢܐ ܠܟܘܢ ܒܡܝܐ ܠܬܝܒܘܬܐ ܗܘ ܕܝܢ ܕܒܬܪܝ ܐܬܐ ܚܤܝܢ ܗܘ ܡܢܝ ܗܘ ܕܠܐ ܫܘܐ ܐܢܐ ܡܤܢܘܗܝ ܠܡܫܩܠ ܗܘ ܡܥܡܕ ܠܟܘܢ ܒܪܘܚܐ ܕܩܘܕܫܐ ܘܒܢܘܪܐ
28030c0082	ܗܘ ܕܪܦܫܐ ܒܐܝܕܗ ܘܡܕܟܐ ܐܕܪܘܗܝ ܘܚܛܐ ܟܢܫ ܠܐܘܨܪܘܗܝ ܘܬܒܢܐ ܡܘܩܕ ܒܢܘܪܐ ܕܠܐ ܕܥܟܐ
28030d005d	ܗܝܕܝܢ ܐܬܐ ܝܫܘܥ ܡܢ ܓܠܝܠܐ ܠܝܘܪܕܢܢ ܠܘܬ ܝܘܚܢܢ ܕܢܥܡܕ ܡܢܗ
28030e0078	ܗܘ ܕܝܢ ܝܘܚܢܢ ܟܠܐ ܗܘܐ ܠܗ ܘܐܡܪ ܐܢܐ ܤܢܝܩ ܐܢܐ ܕܡܢܟ ܐܬܥܡܕ ܘܐܢܬ ܠܘܬܝ ܐܬܝܬ
28030f008a	ܗܘ ܕܝܢ ܝܫܘܥ ܥܢܐ ܘܐܡܪ ܠܗ ܫܒܘܩ ܗܫܐ ܗܟܢܐ ܓܝܪ ܝܐܐ ܠܢ ܕܢܡܠܐ ܟܠܗ ܟܐܢܘܬܐ ܘܗܝܕܝܢ ܫܒܩܗ
28031000a0	ܟܕ ܥܡܕ ܕܝܢ ܝܫܘܥ ܡܚܕܐ ܤܠܩ ܡܢ ܡܝܐ ܘܐܬܦܬܚܘ ܠܗ ܫܡܝܐ ܘܚܙܐ ܪܘܚܐ ܕܐܠܗܐ ܕܢܚܬܐ ܐܝܟ ܝܘܢܐ ܘܐܬܬ ܥܠܘܗܝ
2803110051	ܘܗܐ ܩܠܐ ܡܢ ܫܡܝܐ ܕܐܡܪ ܗܢܘ ܒܪܝ ܚܒܝܒܐ ܕܒܗ ܐܨܛܒܝܬ
2804010067	ܗܝܕܝܢ ܝܫܘܥ ܐܬܕܒܪ ܡܢ ܪܘܚܐ ܕܩܘܕܫܐ ܠܡܕܒܪܐ ܕܢܬܢܤܐ ܡܢ ܐܟܠܩܪܨܐ
2804020051	ܘܨܡ ܐܪܒܥܝܢ ܝܘܡܝܢ ܘܐܪܒܥܝܢ ܠܝܠܘܢ ܐܚܪܝܬ ܕܝܢ ܟܦܢ
2804030073	ܘܩܪܒ ܗܘ ܕܡܢܤܐ ܘܐܡܪ ܠܗ ܐܢ ܒܪܗ ܐܢܬ ܕܐܠܗܐ ܐܡܪ ܕܗܠܝܢ ܟܐܦܐ ܢܗܘܝܢ ܠܚܡܐ
2804040093	ܗܘ ܕܝܢ ܥܢܐ ܘܐܡܪ ܟܬܝܒ ܕܠܐ ܗܘܐ ܒܠܚܡܐ ܒܠܚܘܕ ܚܝܐ ܒܪܢܫܐ ܐܠܐ ܒܟܠ ܡܠܐ ܕܢܦܩܐ ܡܢ ܦܘܡܗ ܕܐܠܗܐ
2804050062	ܗܝܕܝܢ ܕܒܪܗ ܐܟܠܩܪܨܐ ܠܡܕܝܢܬ ܩܘܕܫܐ ܘܐܩܝܡܗ ܥܠ ܟܢܦܐ ܕܗܝܟܠܐ
28040600c2	ܘܐܡܪ ܠܗ ܐܢ ܒܪܗ ܐܢܬ ܕܐܠܗܐ ܫܕܝ ܢܦܫܟ ܠܬܚܬ ܟܬܝܒ ܓܝܪ ܕܠܡܠܐܟܘܗܝ ܢܦܩܕ ܥܠܝܟ ܘܥܠ ܐܝܕܝܗܘܢ ܢܫܩܠܘܢܟ ܕܠܐ ܬܬܩܠ ܒܟܐܦܐ ܪܓܠܟ
2804070048	ܐܡܪ ܠܗ ܝܫܘܥ ܬܘܒ ܟܬܝܒ ܕܠܐ ܬܢܤܐ ܠܡܪܝܐ ܐܠܗܟ
2804080074	ܬܘܒ ܕܒܪܗ ܐܟܠܩܪܨܐ ܠܛܘܪܐ ܕܛܒ ܪܡ ܘܚܘܝܗ ܟܠܗܝܢ ܡܠܟܘܬܐ ܕܥܠܡܐ ܘܫܘܒܚܗܝܢ
2804090049	ܘܐܡܪ ܠܗ ܗܠܝܢ ܟܠܗܝܢ ܠܟ ܐܬܠ ܐܢ ܬܦܠ ܬܤܓܘܕ ܠܝ
28040a0086	ܗܝܕܝܢ ܐܡܪ ܠܗ ܝܫܘܥ ܙܠ ܠܟ ܤܛܢܐ ܟܬܝܒ ܓܝܪ ܕܠܡܪܝܐ ܐܠܗܟ ܬܤܓܘܕ ܘܠܗ ܒܠܚܘܕܘܗܝ ܬܦܠܘܚ
28040b0058	ܗܝܕܝܢ ܫܒܩܗ ܐܟܠܩܪܨܐ ܘܗܐ ܡܠܐܟܐ ܩܪܒܘ ܘܡܫܡܫܝܢ ܗܘܘ ܠܗ
28040c004c	ܟܕ ܫܡܥ ܕܝܢ ܝܫܘܥ ܕܝܘܚܢܢ ܐܫܬܠܡ ܫܢܝ ܠܗ ܠܓܠܝܠܐ
28040d0072	ܘܫܒܩܗ ܠܢܨܪܬ ܘܐܬܐ ܥܡܪ ܒܟܦܪܢܚܘܡ ܥܠ ܝܕ ܝܡܐ ܒܬܚܘܡܐ ܕܙܒܘܠܘܢ ܘܕܢܦܬܠܝ
28040e0044	ܕܢܬܡܠܐ ܡܕܡ ܕܐܬܐܡܪ ܒܝܕ ܐܫܥܝܐ ܢܒܝܐ ܕܐܡܪ
28040f0073	ܐܪܥܐ ܕܙܒܘܠܘܢ ܐܪܥܐ ܕܢܦܬܠܝ ܐܘܪܚܐ ܕܝܡܐ ܥܒܪܘܗܝ ܕܝܘܪܕܢܢ ܓܠܝܠܐ ܕܥܡܡܐ
280410008d	ܥܡܐ ܕܝܬܒ ܒܚܫܘܟܐ ܢܘܗܪܐ ܪܒܐ ܚܙܐ ܘܐܝܠܝܢ ܕܝܬܒܝܢ ܒܐܬܪܐ ܘܒܛܠܠܐ ܕܡܘܬܐ ܢܘܗܪܐ ܕܢܚ ܠܗܘܢ
280411006f	ܡܢ ܗܝܕܝܢ ܫܪܝ ܝܫܘܥ ܠܡܟܪܙܘ ܘܠܡܐܡܪ ܬܘܒܘ ܩܪܒܬ ܠܗ ܓܝܪ ܡܠܟܘܬܐ ܕܫܡܝܐ
28041200ca	ܘܟܕ ܡܗܠܟ ܥܠ ܝܕ ܝܡܐ ܕܓܠܝܠܐ ܚܙܐ ܬܪܝܢ ܐܚܝܢ ܫܡܥܘܢ ܕܐܬܩܪܝ ܟܐܦܐ ܘܐܢܕܪܐܘܤ ܐܚܘܗܝ ܕܪܡܝܢ ܡܨܝܕܬܐ ܒܝܡܐ ܐܝܬܝܗܘܢ ܗܘܘ ܓܝܪ ܨܝܕܐ
2804130061	ܘܐܡܪ ܠܗܘܢ ܝܫܘܥ ܬܘ ܒܬܪܝ ܘܐܥܒܕܟܘܢ ܕܬܗܘܘܢ ܨܝܕܐ ܕܒܢܝ ܐܢܫܐ
2804140046	ܗܢܘܢ ܕܝܢ ܡܚܕܐ ܫܒܩܘ ܡܨܝܕܬܗܘܢ ܘܐܙܠܘ ܒܬܪܗ
28041500c4	ܘܟܕ ܥܒܪ ܡܢ ܬܡܢ ܚܙܐ ܐܚܪܢܐ ܐܚܐ ܬܪܝܢ ܝܥܩܘܒ ܒܪ ܙܒܕܝ ܘܝܘܚܢܢ ܐܚܘܗܝ ܒܐܠܦܐ ܥܡ ܙܒܕܝ ܐܒܘܗܘܢ ܕܡܬܩܢܝܢ ܡܨܝܕܬܗܘܢ ܘܩܪܐ ܐܢܘܢ
2804160051	ܗܢܘܢ ܕܝܢ ܡܚܕܐ ܫܒܩܘ ܠܐܠܦܐ ܘܠܐܒܘܗܘܢ ܘܐܙܠܘ ܒܬܪܗ
28041700a5	ܘܡܬܟܪܟ ܗܘܐ ܝܫܘܥ ܒܟܠܗ ܓܠܝܠܐ ܘܡܠܦ ܗܘܐ ܒܟܢܘܫܬܗܘܢ ܘܡܟܪܙ ܤܒܪܬܐ ܕܡܠܟܘܬܐ ܘܡܐܤܐ ܟܠ ܟܐܒ ܘܟܘܪܗܢ ܒܥܡܐ
28041800ef	ܘܐܫܬܡܥ ܛܒܗ ܒܟܠܗ ܤܘܪܝܐ ܘܩܪܒܘ ܠܗ ܟܠܗܘܢ ܐܝܠܝܢ ܕܒܝܫ ܒܝܫ ܥܒܝܕܝܢ ܒܟܘܪܗܢܐ ܡܫܚܠܦܐ ܘܐܝܠܝܢ ܕܐܠܝܨܝܢ ܒܬܫܢܝܩܐ ܘܕܝܘܢܐ ܘܕܒܪ ܐܓܪܐ ܘܡܫܪܝܐ ܘܐܤܝ ܐܢܘܢ
2804190097	ܘܐܙܠܘ ܒܬܪܗ ܟܢܫܐ ܤܓܝܐܐ ܡܢ ܓܠܝܠܐ ܘܡܢ ܥܤܪܬ ܡܕܝܢܬܐ ܘܡܢ ܐܘܪܫܠܡ ܘܡܢ ܝܗܘܕ ܘܡܢ ܥܒܪܐ ܕܝܘܪܕܢܢ
2805010069	ܟܕ ܚܙܐ ܕܝܢ ܝܫܘܥ ܠܟܢܫܐ ܤܠܩ ܠܛܘܪܐ ܘܟܕ ܝܬܒ ܩܪܒܘ ܠܘܬܗ ܬܠܡܝܕܘܗܝ
2805020033	ܘܦܬܚ ܦܘܡܗ ܘܡܠܦ ܗܘܐ ܠܗܘܢ ܘܐܡܪ
2805030050	ܛܘܒܝܗܘܢ ܠܡܤܟܢܐ ܒܪܘܚ ܕܕܝܠܗܘܢ ܗܝ ܡܠܟܘܬܐ ܕܫܡܝܐ
2805040035	ܛܘܒܝܗܘܢ ܠܐܒܝܠܐ ܕܗܢܘܢ ܢܬܒܝܐܘܢ
280505003e	ܛܘܒܝܗܘܢ ܠܡܟܝܟܐ ܕܗܢܘܢ ܢܐܪܬܘܢ ܠܐܪܥܐ
280506005a	ܛܘܒܝܗܘܢ ܠܐܝܠܝܢ ܕܟܦܢܝܢ ܘܨܗܝܢ ܠܟܐܢܘܬܐ ܕܗܢܘܢ ܢܤܒܥܘܢ
2805070040	ܛܘܒܝܗܘܢ ܠܡܪܚܡܢܐ ܕܥܠܝܗܘܢ ܢܗܘܘܢ ܪܚܡܐ
2805080054	ܛܘܒܝܗܘܢ ܠܐܝܠܝܢ ܕܕܟܝܢ ܒܠܒܗܘܢ ܕܗܢܘܢ ܢܚܙܘܢ ܠܐܠܗܐ
2805090047	ܛܘܒܝܗܘܢ ܠܥܒܕܝ ܫܠܡܐ ܕܒܢܘܗܝ ܕܐܠܗܐ ܢܬܩܪܘܢ
