280000000c	ማትዎስ
28020900b5	ባሶ ደይ ታቶሳ ካማኖን ኦዴሬ ሀሜቴ። አዋኬስና ድማን ብየቴ ባኩራስ ናስ ፌና ድማስታ ሀማ የሮናኔን ዞንሲት ፋር።
28020a0040	ባኩራሶን ብየቴይሴ አካማ ግራ ግርሴቴ።
28020b00fc	ኬር ግርሴሬ ዳግ ናስ እንቶባ ማራሚኔን አነ ፌን ብየቴ። ባርኪ ስና ስኒቤሲሲክ ሳጋዶሬ ሳጥኒቤሲሶን ጋችቼ ዋርቄ፥ እጣናነዋ ኩምብነ አሲ እማ ባሪክ እሜሴቴ።
28020c00a3	አሩኒ ሜያ ዎልሴሬ ሄሮድስኒክ ሀሞኖይቴማቶ ባሶክ ሀኦስ ሚቶክ ማኬና ቦርአ ኦማ ኡግናክ ዳቤሲ ሀሜቴ።
28020d013a	አሩኒ ሜያ ሀሜቴኔን ኦርፎ ዳሚሳ ዎስያ ሚቶክ ዮሴፍኒክ ቤስቴራ፦ «ሄሮድስ ዳግ ናስን ዎሩናክ ሾሌድፌር ስንና ቦርአ ካብራ ናስን እንቶባስኔን አነ ኤጳ ግጵፂ ሀማ፤ ታ ኔክ ማኮናኔን ኤስታ ፎዋ» ይ።
28020e006d	ዮሴፍ ደይ ካብሬ ዳግ ናስን እንቶባስኔን አነ ኤጴ ዋላክ ግጵጽ ሀሚ።
28020f00b0	ዳሚስ ራጁባሲክ፦ «ናታስን ግጵፂን ቴጌንዋ» ይና ባር ስናናክቱ ግጵፂ ሀሜቴ። ሄሮድስ ክቱናኔን ኤስታ ዲሴቴ።
280210015f	ኤሴን ኦርፎ ሄሮድስ አሩኒ ሜያ ባሪን ኤሸሬ አቴ ሀሞቤሲሶን አራት አካማኖን ግእቴሬ አሩኒ ሜያኪን ኦደና ነያሲክ ቤቴለምነዋ ብራቶባስታና ፋ ዳስታኪ ኔባ ሄፕነዋ ኤሴን ዳካሎ ፋ ጋሮ ጋሮ ናንጎታሶን ዙትሬ ዎርቶናክ ዛግ።
2802110051	ኤስ ካባሲክ ራጁ ኤርምያስኒክ ማክቴ ራጂስ ስኒዋ።
28021200d4	«ራሄል ናንጎትባሲክ ዋሲ፤ ዋስነዋ አካማ ሶሶነ አሲ ካማ ራማክ ኦድቴ። ናንጎትባስ ኣፋ ስንና ቦርአ ፋኩክ ኣነ ችማ» ይስቴ ባር ስኒ።
2802130071	ሄሮድስ ክትናኔን ኦርፎ ዳሚሳ ዎስያ ግጵጽክ ዮሴፍኒክ ሚቶክ ቤስቴራ፦
28021400aa	«ዳግ ናሳ ካኖን ትሽኩክ ሾሌ ባር ክትዋ። ካብራ ዳግ ናኔስን እንቶባስኔን አነ ኤጳ እስራኤልኒ ዳ ሀማ» ይ።
2802150062	ዮሴፍ ካብሬ ዳግ ናስን እንቶባስኔን ኤጴ እስራኤልኒ ዳ ሀሚ።
28021600cc	ሄሮድስኒ ና አሪኬላዎስ አባባሳ ኤድደ ዩዳክ ዳስታክ ታቴናማቶ ኦዴሬ ኤስታ ሀማ ድጌ። ስኑንታኖ ኦርፎ ሚቶ ቢሬ ጋሊላን ዳ ሀሚ።
2802170080	ራጁኒክ፦ «ናዝራው ኡስቶና» ይስቴ ባር ስናናክ ናዝሬት ይስቴ ካታማሲ ሀምሜ ድ።
280301006a	ኤስ ካባሲክ ሀጵቅፌ ዮሀኒስ ዩዳኒ ዳስታኪ ኢችማ ዳስ ሲ ማኬት የ።
2803020077	ኤስ ማኬት ዬናስ ደይ፦ «ሳማኒ ታቶስ ታእሴ ስንና ቦርአ ሀርሙትዋ» ይፋር።
28030300eb	ራጁ ስና እሳያስኒ ማፃፋሲ፦ «‹ዳሚሳ ኡግናኖን ሆስሱቲ፤ ሳፕስራ ደይ ዜጵት› እያፌ ኢችማ ዳስ ሲ ቻጌት ፌ አሱኒ ካማ» ይስቴራ ማክቴ ባር ሀኒስዋ።
28030400c2	ዮሀኒስ ማይፌና ማማስ ጋላኒ ኤሳክ ዊቼ ማማ። ጌሾባስታ ደይ ጎጎኒ ታልፋ ታርኤት ፌር። ሙባስ ደይ ብልጛነዋ ዛቦኒ ኤስነ።
28030500dc	ኤስ ካባሲክ የሩሳለሙን፥ ዩዳኒ ዳ ዙታምባሴ አሲስን፥ ዮርዳኖስኒ ብራቶስታ ፋ ዳ ዙታምባሴ አሲስ ፌ አሱኒ ሜያ ዙቴሬ ባርኪ ዬት ፌሴቴር።
2803060069	ቦርቤሲሶን ሀርምፋፌ ዮርዳኖሲክ አካስ ባሪክ ሀጱክቴት ፌሴቴር።
28030700ec	ዮሀኒስ ሾዎ ፌርሳዊኒ ሜናዋ ሴዱቃዊኒ ሜና ሀጱክቶክ ባርኪ ዬሴፌን ብያት፦ «ንቶ ኡፎን ናንጎታ፤ ዮናክ ፋ ሀኦሲ ግእስን ኬሳትክ ኦንሶ ንቶክ ማኬሪ?
2803080040	ኤሴ ሀርሙንትሶን ቤሲፋ ዎስቶ ዎስቶት።
28030900e6	ንብንትስ፦ ‹አብራሀም እንኖ አባዋ› ይፌትማቶታዋ። ንቶክ ማኬፋውጙዋ፤ ሀኦስ ሀን ሹኣሲክቶስን ካብግራ አብራሀምኒ ናንጎታ ዛጉናክ ችማናዋ።
28030a008d	ሀሽ አንፋላ እኦሲ ዲስ ኩንፋርዋ፤ ማአ ጋና ጋንኖይ እኦሲክቶ ዙቴራ ካቴራ ጌሲ ሀእቶና።
28030b0114	ታ ሀርምያሲክ አካክቱ ሀጵቁና፤ ታ ቻኣማባሲ ታርአኖን ኮታናክ ችምኖይናር ታይስታን አካማኖን ደናሎ ስና ባር ታ ኦርፎስታ ዮኒር። ባር ኮርቶ አያናክናዋ ጌያክናቱ ሀጵቁና።
28030c00d6	ሜያሶን ሳማ ሀኡና ማንሺስ ኩሹባስቱ ፋ፤ ኦዳሶን ማእስሬ ካይኑና፤ ዛጎሶን ቦቶባሲ ጋጋና፤ ስኑንታኖ ኡፋሶን ትሹኖይ ጌሲ ኪቹና» ይ።
28030d0078	ኤስ ካባሲክ የሱስ ዮሀኒስ ባሪን ሀጵቁናክ ጋሊላን ዮርዳኖስኒ አካስኪ የ።
28030e0083	ስኑንታኖ ዮሀኒስ፦ «ታን ነ ሀጵቁታክ ሾልሱ ስንና ፌን ነ ታኪ ያፋቶሶ?» ይት ካል።
28030f00be	የሱስ ዎልግሬ፦ «ታን ካላታታዋ፤ ኦኮ ስና ባሮን ዛጉናክ ሾልሱ ስንና ቦርአ ቤይዋ» ይን ኤስ ካባሲክ ዮሀኒስ «ማእ» ይ።
28031000c1	የሱስ ሀጱክቴናኔን ኦርፎ ጌሬጌሬ አካስን ኬስ። ኤስታን ሳማስ ጋቼን ሀኦኒ አያና ናካሎነ ፋር ስንና ባሳስታ ኬሬፌን ቢ።
2803110074	ካማ ደይ ሳማኔ ያራ፦ «ሀኒስ ታ ሹንፋና ናስዋ፤ ባርኪቱ ግሬፋውጙዋ» ይ።
2804010083	ኤሴን ኦርፎ ሀኦኒ አያና የሱስ ዳቡሎስኒክ ፋታንቶናክ ዞንስራ ኢችማ ዳስ ሲ ሀሚ።
2804020064	ኤስታክ የሱስ አቼችአሲር ዎነዋ ዋልነ ሶሜናኔን ኦርፎ ማክቴ።
2804030088	ፋታኖኒ ባር ታእሴሬ፦ «ነ ሀኦኒ ና ስኒፋታነ ሀን ሹኣሲክቶ ቱሻ ስናናክ አጃጀባ» ይ።
28040400b9	ስኑንታኖ የሱስ ዎልግሬ፦ «‹አሱ ሀኦሲ ኖኖስን ኬስፋ ካማ ዙታምባሴ አሲክታኖ ሙ ሙክ ኣነ ፌፌ› ይስቴራ ትቼዋ» ይ።
280405007b	ኤሴን ኦርፎ ዳቡሎስ የሱስኒን የሩሳሌም ኤጴ ታሜ ቤቴሜቅደሲሲ ቱክታ ዬታት፦
2804060131	ኤካ ይ፦ «‹ዎቾኔስ ሹኣስታ ቱሳእኦኖይማቶ ኔን ኦዳናክ ሀኦስ ዎሲባሶን አጃጆናዋ። ኩሹቤሲሲክ ደይ ኔን ካቡግሶነዋ› ይስቴራ ትቼዋ፤ ኤሴ ነ ሀኦኒ ና ስኒፋታነ ዬት ጎሎ ቴትኔሶን ሀኡዋ» ይ።
2804070076	የሱስ ደይ ዎልግሬ፦ «‹ዳማ ሀኦኔሶን ፋታኖታታ› ይስቴራ ደይ ትቼዋ» ይ።
280408009e	ሄፕሳ ደይ ዳቡሎስ የሱስኒን አካማ ድቻ ኣምታ ክስሬ ዬታት ሀን ዳሲ ታቶኒ ኡልፍናኖን ዙትሬ ቤሳት፦
2804090064	«ነ ታክ ጋንደራ ሳጋደፋታነ ሀን ባሮን ዙትራ ኔክ እማናዋ» ይ።
28040a00aa	ኤስ ካባሲክ የሱስ፦ «ሀንታን ኬስ! ነ ሴጣና፤ ‹ዳማ ሀኦኔሲክ ካእኖ። ባር ባሮን ሺጶ› ይስቴራ ትቼዋ» ይ።
28040b0083	ኤስ ካባሲክ ዳቡሎስ ባሪን ቤይ፤ ሀኦሲ ዎስያ ደይ ታእሴራ ባሪን አሪጋስት ፋሴር።
28040c005b	የሱስ ዮሀኒስ ታቶኒ ኬር ግሩባሶን ኦደናይሴ ጋሊላ ሀሚ።
28040d00b9	ናዝሬትኖን ቤይፋት ዛብሎነዋ ንፍታለምነ አሲ አዉራጃ ጋሊላን ባርሲ ሀእታ ፋ ክፍርናሆም ይስቴፋ ካታማሲ ሀምሜ ድ።
28040e006a	ኤስ ባር ደይ ስንናይ ራጁ ኢሳያስ ኤካ ይት ማኬና ካማስ ስናናክዋ።
28040f0098	«ዛቡሎኒ ዳስ፥ ንፍታለምን ዳስ፥ ዮርዳኖስኒ የሳሎ ባርሲ ሀእታ ፋ፤ አዛብኒ ሜኒር ስና ጋሊላ፤
2804100094	ታልማስ ፌ ዳራስ፤ አካማ ቻሬፋ ቢ፤ ክቱኒ ይራራ ፋና ዳስታክ ዲሴ ባሶክ፤ ቻሬፋ ኬሳ ቤስቴ።»
2804110080	ኤስ ዎናስታኔን ካብሬ የሱስ፦ «ሀኦሲ ታቶ ታእሴዋ፤ ሀርሙትዋ» እያፌ ማኮ ኤጲ።
280412011c	የሱስ ጋሊላኪ ባርሲ ቴሻ ኣትፌት ሄፕ አይኒ ሜያ ጴጥሮስ ይስቴፌ ስሞንናዋ አይባ እንድርያስና ኩርጡምሚ ኤሻክ ዩጉዶቤሲሶን አካሲ ሀእሴፌን ቢ። ባሶ ዎስቶስ ደይ ኩርጡሚኒ ኤሻ።
2804130098	የሱስ ደይ ባሶክ፦ «ታኔን አነ ያፋት አሱኒ ሜያኖን ሀኦሲ ታቶስ ዎልጉትክ ንቶትን ዛጉናዋ» ይ።
280414005e	ባሶ ደይ ጌሬጌሬ ዩጉዶቤሲሶን ቤይፋት ባርኔን አነ ሀሜቴ።
280415010b	ኤስታን አቴ ኦም ሄፕ አይና አይና ዘብደዎስኒ ናንጎት ሲና ያቆብናዋ ዮሀኒስና አሲን ቢ። አባቤስ ዘብደዎስኔን አነ ጎኑስታ ዲሴፋት ዩጉዶቤሲሶን ማእስፌን ብያት ቴጌ።
2804160075	ባሶ ደይ ጌሬጌሬ ጎኑሴዋ አባቤሲስና አሲን ቤይፋት የሱስኔን አነ ሀሜቴ።
2804170104	የሱስ ባሶ አይሁድኒ ሺጶኒ ኬያሲክቶስ አሲት ሀኦሲ ታቶኒ ምስራቹኒ ካማሶን ማኬት ዳራሳሲ ፋ ሾዎ ቴሳ ሜሮሶን ዙትሬ ፋቲት ጋሊላኒ ዳ ዙታምባሴ አሲስ ብራቴት ፌር።
28041801b3	የሱስ ዛግና ቾዋሲ ዎላ ሶርያኒ ዳ ዙታምባሴ አሲስ ኦድቴ። ሾዎ ቴሳ ሜሮክ ሜቴ አሱኒ ሜያኖንናዋ ራኮክና ኦቴሬ ፌሴ አሱኒ ሜያኖን፥ ደይ ኪና አያና ኤጵና ባሶትን፥ አካታክ ሜሮቤስ ፋና ባሶትናዋ ላፋኒ ሜያኖንና ዙትሬ ኤጴ የሱስኒክ ቴሸሴቴ። ባር ደይ ዙታምቤሲሴ አሲን ፋቲ።
28041900b5	ጋሊላኒ ዳስታኪ፥ አሲር ካታማስን፥ የሩሳለሙን፥ ዩዳን፥ ደይ ዮርዳኖስኒ ዬሳሎን ሾዎ ዳራ የሱስኔን አነ ሀሜቴ።
2805010081	የሱስ ሾዎ ዳራ ባርኪ ዬፌን ብያት ኣማስታ ኬሴ ድ። ናዎባሳክቶ ደይ ባርኪ ዬሴቴን
2805020021	ኤካ ይት አስሱ ኤጲ፦
28050300a7	«ሀኦሲ ታቶ ባሶር ስንና ቦርአ፤ አማንቶቤሲሶን ሀኦስታ ዛግሴፋት፤ ቴትቤሲሶን፤ ዳ ኤጴፌ ባሶ ሱስቶዋ።
2805040066	ሀኦ ባሶክ ችማ እምንር ስንና ቦርአ፤ ሱሜት ፌሴፌ ባሶ ሱስቶዋ።
2805050075	ቴትቤሲሶን ዳ ኤጴፌ ባሶ፤ ሀን ዳሶን ዋራሶሶነር ስንና ቦርአ፤ ሱስቶዋ።
2805060085	ኦኮ ስና ዎስቶሶን፤ ማክቴሬ እክቴት ፌሴፌ ባሶ፤ ጋዉሶነር ስንና ቦርአ፤ ሱስቶዋ።
2805070065	ፌሹን ይሴፌ ባሶ፤ ባሶክ ፌሹን ኡስቶኒር ስንና ቦርአ ሱስቶዋ።
2805080068	ንብቤስ ካይም ስንና ባሶ፤ ሀኦሶን ብዮነር ስንና ቦርአ ሱስቶዋ።
280509008b	አሱኒን ጋንሲት ፌሴፌ ባሶ፤ ሀኦኒ ናንጎት ይስቴሬ፤ ቴግቶሶነር ስንና ቦርአ ሱስቶዋ።
28050a007d	ኦኮ ስና ዉዛስ ቦርአ ካቡግቴሴፌ ባሶ፤ ሀኦሲ ታቶ ባሶር ስንና ቦርአ ሱስቶዋ።
28050b00c2	«ታ ቦርአ አሱኒ ሜያ ንቶትን ሜእኤፌ ካባሲክናዋ ካቡግሴፌ ካባሲክና ደይ ኤሻክ ሱንትሶን ማግስሴፌ ካባሲክ ንቶ ሱስቶዋ።
28050c00da	ዋግኒትስ ደን ሳማክ አካማ ስንና ቦርአ ግሮትዋ። ደይ አካማኖን ግሮት። ንቶስታን ዜምሜ ፌ ራጁኒ ሜያስታ ኤሲስማቶቱ ሻና ካትሴቴዋ» ይ።
28050d00ef	ደይ የሱስ፦ «ንቶ ሀን ዳስ ካዎዋ። ስኑንታኖ ካዎስ ካርባ ትሽፋናነ ኣካግራ ካርንሪንሶ? ኤክ ጌሮ ሀእቴራ አሱኒ ዎቾስ የቶናስታኖ ኬአና ዉዛባ ኣፋዋ።
28050e0079	ንቶ ሀን ዳሲክ ቻሬፋዋ። ኣማስታ ኬቴራ ድ ካታማስ ኣቾናክ ኣፋዋ ችማናዉዛ።
28050f0089	አሱ ቶና ቶኒሬ ዋሺ ዱስፌዎሶ? ቴጋ ድምታታኖሶ ዱሳን ኬያስ ፌ አሱሲክ ዙትራ ቻሬፋናሪ?
28051000cc	ኤሲስማቶ አሱኒ ሜያ ንቶ ማአ ዎስቶሶን ብየሬ ሳማኪ አባንቲስን ኡልፍንሱሶነክ ቻሬፍኒትስ አሱ ዙታምባሴ አሲ ስና ቻሮጝዋ» ይ።
28051100c0	ደይ የሱስ፦ «ታ ሙሴኒ ቱማሶንናዋ ራጁኒ ሜኒ ካማሶንና ሻሮክ ያናርነ ፋር ስንና ንቶክ ቤስቶናታዋ። ታ ያናስ ዛጉናክዋ።
28051200aa	ታ ፉቶክ ንቶክ ማኬፋውጙዋ፤ ሳማሴዋ ዳሴ ኣታናኔን ቱማስን ምሉ ዱክቶኑ ዎስቶታ ፌሽኖይ ኣፋዋ ኣታና ዉዛ።
2805130176	ኤሴ ሀን አጃጂስን አቴር ስና እሳይሶን ሻሬፌ ባርናዋ ኤሲስማቶ ደይ አሱኒክ አሲፌ ባርና ሳማኪ ታቶስ ስክ ዙታምባሴ አሲስታን ዳካሎቱ ስናና። ስኑንታኖ ዛግፌ ባር ወደይ አሲፌ ባር ኦኑ ስንፋናነ ሳማኪ ታቶስ አሪክር ይስቴሬቱ ቴግቶና።
28051400f1	ንቶክ ማኬፋውጙዋ፤ ንቶ ኦኮ ስናስ ሙሴኒ ቱማሲ አስሲኛሳታንናዋ ፌርሳዊኒ ሜያስታንና ደናሎ ስና ሻካናነ ሳማኪ ሀኦሲ ታቶስ እሳንነ ኣፋዋ ግሩት ዉዛ።
2805150077	«ዜሞቲ ባሶክ ‹ካ ዎሩትታ› ዎሪ ባሳስታ ማጝሱ ካቴር ይስቴናማቶ ኦደትዋ።
2805160162	ስኑንታኖ ታ ንቶክ ማኬፋውጙዋ፤ አይባሳታ ግቴፌ ባሳስታ ማጝሱ ካቴርዋ። ደይ አይባስን፦ ‹ነ ኬእኖር› ይሬ ሜአ ባሳስታ ማጝሱ ካቴርዋ። ኦኑ ደይ፦ ‹ነ ኦዶ ኦዮ› ይፌ ባር ዙታምባሴ ጌኒ ትርእማሲ ግሩኒ ማጝሱቱ ካቶኒርዋ።
28051700a9	ኤስ ባሪ ቦርኣ ሀኦሲክ እማታ እምኔሶን ሾኣስታ ቴሸፋታ ካባሲክ አይኔስን ቱግታ ቾዋ ፎባሶን ያዳቴፋታነ፤
28051800b8	ኤስ ሀኦሲክ እማታ እምኔሶን ሾኣሲ ተሻ ኩንሳት ዜምማ ሀማ አይኔስኔን አነ ጋኖዋ። ኤስታን ዎላ ያራ እምኔሶን እማ።
2805190139	ጉማኔስ ኔን ማላቴን ማጝሱ ካርኒ ኬር ሀሚፋታ ካባሲክ ዜምማ ኡጉንታክ ታፕቴራ ጋኖዋ። ኤካ ዛጉ ሻካታነ ጉማኔስ ኔን ኣትሬ ጋኛኒክ እምን ጋኝኛስ ደይ ኣትሬ ሜያ ታርኦሲክ እምን ታቶኒ ኬር ግሩታዋ።
28051a008e	ፉቶ ኔክ ማኬፋውጙዋ፤ ኮእኒ ዱዴሶን ካሱታኔን እሳንነ ታቶኒ ኬያስን ኣፋ ኬሳታዉዛ» ይ።
28051b0055	ደይ የሱስ፦ «‹ጌርኬሳትታ!› ይስቴናስማቶ ኦዴትዋ።
28051c00be	ስኑንታኖ ታ ንቶክ ማኬፋውጙዋ፤ ማሽካሱክ ቢሬ አነ ኩናናክ ሾሌ ባር ዙቴሬ ኤስ ካባሲክ ባርኔን አነ ንባሲክ ጌርኬስዋ።
28051d00c2	ሆእታ ኣፍኔስ ኔን ቱሳስፋናነ ዎእራ ክሱዋ፤ አቱነ ዙቴራ ጌኒ ትርእማሲ ሀቶባስኔን አቱኔስን እሳሮን ቱርክፋታነ ዋያዋ።
28051e00c5	ሆእታ ኩሹኔስ ኔን ቱሳስፋናነ ካርአ ሀኡዋ፤ አቱኔስ ዙቴራ ጌኒ ትርእማሲ ሀቶባስኔን አቱኔስን እሳሮን ቱርክፋታነ ዋያዋ።
28051f0082	«አሱባሶን ጋፍክፌ ባር ዙታምባሴ ጋፍኩኒ ትቻሶን እሞዋ» ይስቴና ባሮን ኦደትዋ።
2805200112	ስኑንታኖ ታ ንቶክ ማኬፋውጙዋ፦ «አሱባስ ጌርኬስፌን ዳንኖይ ባክ ጋፍክፌ ባር ዙታምባሴ ሀማ ጌርኬሳናክቱ ዛግፌዋ። ኤሲስማቶ ደይ ጋፉክቴ ባሮን ኤጳ ባር ደይ ጌርኬስዋ።»
280521007f	«ኤሻክ ቴዉትታ ስኑንታኖ ቴይት ባሮን ዳሚሲክ ዛጉትዋ» ይስቴና ባሮን ኦደትዋ።
28052200b9	ስኑንታኖ ታ ንቶክ ማኬፋውጙዋ፤ እሳንነ ቴዉትታ፤ ደን ሳማስ ሀኦሲ ዝግሙ ስንና ቦርአ ሳማሲክኑ ስኒፋናክ ቴዉትታ።
28052300dd	ሀን ዳስ ደይ ሀኦኒ ዎቾ የርእና ድማ ስንና ቦርአ ሀን ዳሲክ ቴዉትታ። የሩሳሌም ደይ አሪክቶ ታቶሳ ካታማ ስንና ቦርአ የሩሳለሙክ ቴዉትታ።
2805240093	ሶምኔስ ፋሻስን እሳሮን ፎሮ ወደይ ካራ ዛጉክ ኣፋ ችማታዉዛ ስንና ቦርአ ቴትኔሲክ ቴዉታታ።
28052500c7	ስኑንታኖ ንቶ ዎላስ «ኣ» ስንፋናነ «ኣ» ስኑን ወደይ «እንዳነ» ስንፋናነ «እንዳነ» ኡት። ኤስ ባርስታን ኦማስ ማጙሲክንዋ።
280526005b	«‹ኣፋሲክ ኣፋ፤ አይኣሲክ አይአ› ይስቴናማቶ ኦደትዋ።
28052700e5	ታ ንቶክ ማኬፋውጙዋ፤ ማጙ ዉዛ ንቶስታ ዛግፌ አሱስን ጉማ ካስቶትታ። ስኑንታኖ ሆእታ ጋችኔሶን ቦቻ ባሪክ አልዳ ጋችኔሶን ደይ ሸልግራ ቤሱዋ።
280528008c	ስካሎኪ ጋግ ማዮኔሶን ኤጴቶናክ ኔን ማላቴፌ ባሪክ ቱካስታክ ጋግ ማዮሶን ዳይስራ እማ።
2805290092	እሳ አሱ፤ እሳ ኪሎ ሜትር ሀማታክ ኔን ግድስፋናነ ሄፕ ኪሎ ሜትር ዳይስራ ባርኔን አኔ ሀማ።
