010000001b	আদিপুস্তক
010203014d	আর ঈশ্বর সেই সপ্তম দিন কে আশীর্বাদ করে পবিত্র করলেন, কারণ সেই দিনের ঈশ্বর নিজের সৃষ্টি ও তৈরী করা সমস্ত কাজ থেকে বিশ্রাম নিলেন।
0102040134	সৃষ্টিকালে যে দিন সদাপ্রভু ঈশ্বর পৃথিবী ও আকাশমণ্ডল সৃষ্টি করলেন, তখনকার আকাশমণ্ডল ও পৃথিবীর সৃষ্টির বৃত্তান্ত এই।
01020501b5	সেই দিনের পৃথিবীর ভূমিতে কোন ফসল উত্পন্ন হত না, আর ভূমিতে কোন ওষধি উৎপন্ন হত না, কারণ সদাপ্রভু ঈশ্বর পৃথিবীতে বৃষ্টি বর্ষণ করেননি, আর ভূমিতে কৃষিকাজ করতে মানুষ ছিল না।
01020600b2	আর পৃথিবী থেকে কুয়াশা ঝর্ণা উঠে গিয়ে সমস্ত পৃথিবীকে জলসিক্ত করল।
010207017e	আর সদাপ্রভু ঈশ্বর মৃত্তিকার ধূলোতে আদমকে [অর্থাৎ মানুষকে] তৈরী করলেন এবং তার নাকে ফুঁ দিয়ে প্রাণবায়ু প্রবেশ করালেন; তাতে মানুষ সজীব প্রাণী হল।
0102080108	আর সদাপ্রভু ঈশ্বর পূর্বদিকে, এদনে, এক বাগান তৈরী করলেন এবং সেই জায়গায় নিজের জন্য ঐ মানুষকে রাখলেন।
0102090168	আর সদাপ্রভু ঈশ্বর ভূমি থেকে সর্বজাতীয় সুদৃশ্য ও সুখাদ্য-দায়ক গাছ এবং সেই বাগানের মাঝখানে জীবনগাছ ও সদসদ-জ্ঞানদায়ক গাছ সৃষ্টি করলেন।
01020a00d2	আর বাগানে জল সেচনের জন্য এদন থেকে এক নদী বের হল, ওটা সেখান থেকে চারটি মুখে ভাগ হল।
01020b00ac	প্রথম নদীর নাম পিশোন; এটা সমস্ত হবীলা দেশের চারপাশ থেকে বয়ে যায়,
01020c00eb	সেখানে সোনা পাওয়া যায়, আর সেই দেশের সোনা উত্তম এবং সেই জায়গায় মোতী ও গোমেদকমনি জন্মে।
01020d00a0	দ্বিতীয় নদীর নাম গীহোন; এটা সমস্ত ইথিওপিয়া দেশ বেষ্টন করে।
01020e00d4	তৃতীয় নদীর নাম হিদ্দেকল, এটা অশূর দেশের সামনে দিয়ে বয়ে গেছে। চতুর্থ নদী ফরাৎ।
01020f00e1	পরে সদাপ্রভু ঈশ্বর আদমকে নিয়ে এদনের বাগানে কৃষিকাজ ও দেখাশোনার জন্য সেখানে রাখলেন।
01021000e0	আর সদাপ্রভু ঈশ্বর আদমকে এই আদেশ দিলেন, “তুমি এই বাগানের সব গাছের ফল নিজের ইচ্ছায় খাও;
01021100e7	কিন্তু সদসদ-জ্ঞানদায়ক যে গাছ, তার ফল খেও না, কারণ যে দিন তার ফল খাবে, সেই দিন মরবেই মরবে।”
01021200f0	আর সদাপ্রভু ঈশ্বর বললেন, “মানুষের একা থাকা ভাল নয়, আমি তার জন্য তার মতো সহকারিণী তৈরী করি।”
01021301f0	আর সদাপ্রভু ঈশ্বর মাটি থেকে সকল বন্য পশু ও আকাশের সব পাখি তৈরী করলেন; পরে আদম তাদের কি কি নাম রাখবেন, তা জানতে সেই সবাইকে তাঁর কাছে আনলেন, তাতে আদম যে সজীব প্রাণীর যে নাম রাখলেন, তার সেই নাম হল।
0102140122	আদম যাবতীয় পশুপাল, পাখির ও যাবতীয় বন্য পশুর নাম রাখলেন, কিন্তু মানুষের জন্য তাঁর মতো সহকারিণী পাওয়া গেল না।
0102150158	পরে সদাপ্রভু ঈশ্বর আদমকে গভীর ঘুমে মগ্ন করলে তিনি ঘুমিয়ে পড়লেন; আর তিনি তাঁর একখানা পাঁজর নিয়ে মাংস দিয়ে সেই স্থান পূরণ করলেন।
01021600f0	সদাপ্রভু ঈশ্বর আদম থেকে পাওয়া সেই পাঁজরে এক স্ত্রী সৃষ্টি করলেন ও তাঁকে আদমের কাছে আনলেন।
0102170132	তখন আদম বললেন, “এবার [হয়েছে]; ইনি আমার অস্থির অস্থি ও মাংসের মাংস; এর নাম নারী হবে, কারণ ইনি মানুষ থেকে গৃহীত হয়েছেন।”
01021800e1	এই কারণ মানুষ নিজের বাবা মাকে ত্যাগ করে নিজের স্ত্রীতে আসক্ত হবে এবং তারা একাঙ্গ হবে।
01021900bd	ঐ দিনের আদম ও তাঁর স্ত্রী উভয়ে উলঙ্গ থাকতেন, আর তাঁদের লজ্জা বোধ ছিল না।
010301018d	সদাপ্রভু ঈশ্বরের সৃষ্টি ভূচর প্রাণীদের মধ্যে সাপ সবচেয়ে ধূর্ত ছিল। সে ঐ নারীকে বলল, “ঈশ্বর কি বাস্তবিক বলেছেন, তোমরা এই বাগানের কোনো গাছের ফল খেও না?”
0103020093	নারী সাপকে বললেন, “আমরা এই বাগানের সব গাছের ফল খেতে পারি;
0103030117	কেবল বাগানের মাঝখানে যে গাছ আছে, সেই ফলের বিষয় ঈশ্বর বলেছেন, তোমরা তা খেও না, ছুঁয়েও দেখ না, তা করলে মরবে।”
0103040065	তখন সাপ নারীকে বলল, “কোনোভাবেই মরবে না;
0103050138	কারণ ঈশ্বর জানেন, যে দিন তোমরা তা খাবে, সেই দিন তোমাদের চোখ খুলে যাবে। তাতে তোমরা ঈশ্বরের মতো হয়ে সদসদ-জ্ঞান লাভ করবে।”
010306019a	নারী যখন দেখলেন, ঐ গাছ সুখাদ্যদায়ক ও চোখের লোভজনক, আর ঐ গাছ জ্ঞানদায়ক বলে বাঞ্ছনীয়, তখন তিনি তার ফল পেড়ে খেলেন; পরে নিজের স্বামীকেও দিলেন, আর তিনিও খেলেন।
0103070136	তাতে তাঁদের উভয়ের চোখ খুলে গেল এবং তাঁরা বুঝতে পারলেন যে তাঁরা উলঙ্গ; আর ডুমুর গাছের পাতা জুড়ে ঘাগরা তৈরী করে নিলেন।
01030801c3	পরে তাঁরা সদাপ্রভু ঈশ্বরের রব শুনতে পেলেন, তিনি দিনের রবেলায় বাগানে চলাফেরা করছিলেন; তাতে আদম ও তাঁর স্ত্রী সদাপ্রভু ঈশ্বরের সামনে থেকে বাগানের গাছ সকলের মধ্যে লুকালেন।
0103090087	তখন সদাপ্রভু ঈশ্বর আদমকে ডেকে বললেন, “তুমি কোথায়?”
01030a00e6	তিনি বললেন, “আমি বাগানে তোমার কথা শুনে ভয় পেলাম, কারণ আমি উলঙ্গ, তাই নিজেকে লুকিয়েছি।”
01030b0115	তিনি বললেন, “তুমি যে উলঙ্গ, এটা তোমাকে কে বলল?” যে গাছের ফল খেতে তোমাকে বারণ করেছিলাম, তুমি কি তার ফল খেয়েছ?
01030c010a	তাতে আদম বললেন, “তুমি আমার সঙ্গিনী করে যে স্ত্রীকে দিয়েছ, সে আমাকে ঐ গাছের ফল দিয়েছিল, তাই খেয়েছি।”
01030d0103	তখন সদাপ্রভু ঈশ্বর নারীকে বললেন, “তুমি এ কি করলে?” নারী বললেন, “সাপ আমাকে ভুলিয়েছিল, তাই খেয়েছি।”
01030e019a	পরে সদাপ্রভু ঈশ্বর সাপকে বললেন, “তুমি এই কাজ করেছ, এই জন্য পশুপাল ও বন্য পশুদের মধ্যে তুমি সবচেয়ে বেশি শাপগ্রস্ত; তুমি বুকে হাঁটবে এবং যাবজ্জীবন ধূলো খাবে।
01030f014b	আর আমি তোমাতে ও নারীতে এবং তোমার বংশে ও তার বংশে পরস্পর শত্রুতা জন্মাব; সে তোমার মাথা ভেঙে দেবে এবং তুমি তার পাদমূল দংশন করবে।”
01031001a6	পরে তিনি নারীকে বললেন, “আমি তোমার গর্ভ বেদনা খুবই বাড়িয়ে দেব, তুমি কষ্টে সন্তান প্রসব করবে এবং স্বামীর প্রতি তোমার বাসনা থাকবে ও সে তোমার উপরে কর্তৃত্ব করবে।”
01031101f0	আর তিনি আদমকে বললেন, “যে বৃক্ষের ফলের বিষয়ে আমি তোমাকে বলেছিলাম, তুমি তা খেওনা, তুমি তোমার স্ত্রীর কথা শুনে তার ফল খেয়েছ, এই জন্য তোমার জন্য ভূমি অভিশপ্ত হল; তুমি সারাজীবন কষ্টে তা ভোগ করবে;
01031200c4	আর মাটিতে তোমার জন্য কাঁটা ও শেয়াল কাঁটা জন্মাবে এবং তুমি জমির ওষধি খাবে।
0103130180	তুমি ঘাম ঝরা মুখে খাবার খাবে, যে পর্যন্ত তুমি মাটিতে ফিরে না যাবে; তুমি তো তা থেকেই এসেছ; কারণ তোমাকে ধূলো থেকে নেওয়া হয়েছে এবং ধূলোতে মিশে যাবে।”
01031400c5	পরে আদম নিজের স্ত্রীর নাম হ বা [জীবিত] রাখলেন, কারণ তিনি জীবিত সকলের মা হলেন।
01031500dc	আর সদাপ্রভু ঈশ্বর আদম ও তাঁর স্ত্রীর জন্য চামড়ার বস্ত্র তৈরী করে তাঁদেরকে পরালেন।
010316019e	আর সদাপ্রভু ঈশ্বর বললেন, “দেখ, মানুষ সদসদ-জ্ঞান প্রাপ্ত হবার বিষয়ে আমাদের এক জনের মত হল, এখন যদি সে হাত বাড়িয়ে জীবনবৃক্ষের ফলও পেড়ে খায় ও অনন্তজীবী হয়।”
0103170121	এই জন্য সদাপ্রভু ঈশ্বর তাঁকে এদনের বাগান থেকে বের করে দিলেন, যেন, তিনি যা থেকে সৃষ্টি, সেই মাটিতে কৃষিকাজ করেন।
0103180182	এই ভাবে ঈশ্বর মানুষকে তাড়িয়ে দিলেন এবং জীবনবৃক্ষের পথ রক্ষা করবার জন্য এদন বাগানের পূর্বদিকে করূবদেরকে ও ঘূর্ণায়মান তেজোময় তলোয়ার রাখলেন।
0104010198	পরে আদম নিজের স্ত্রী হবার সঙ্গে শারীরিক সম্পর্ক করলে তিনি গর্ভবতী হয়ে কয়িনকে প্রসব করে বললেন, “সদাপ্রভুর সাহায্যতে আমি একটা মানুষকে জন্ম দিতে পেরেছি।”
01040200c9	পরে তিনি হেবল নামে তার ভাইকে প্রসব করলেন। হেবল মেষপালক ছিল, ও কয়িন চাষী ছিল।
01040300d0	পরে নির্ধারিত দিনের কয়িন উপহাররূপে সদাপ্রভুর উদ্দেশ্যে ভূমির ফল উৎসর্গ করল।
0104040122	আর হেবলও নিজের পালের প্রথমজাত কয়েকটি পশু ও তাদের মেদ উৎসর্গ করল। তখন সদাপ্রভু হেবলকে ও তার উপহার গ্রহণ করলেন;
01040500e8	কিন্তু কয়িনকে ও তার উপহার গ্রহণ করলেন না; এই জন্য কয়িন খুবই রেগে গেল, তার মুখ বিষণ্ণ হল।
01040600c9	তাতে সদাপ্রভু কয়িনকে বললেন, “তুমি কেন রাগ করেছ? তোমার মুখ কেন বিষণ্ণ হয়েছে?
01040701ba	যদি ভালো আচরণ কর, তবে কি গ্রহণ করা হবে না? আর যদি ভালো আচরণ না কর, তবে পাপ দরজায় গুঁড়ি মেরে বসে আছে। তোমার প্রতি তার বাসনা থাকবে কিন্তু তোমার তার উপরে কর্তৃত্ব করা উচিত।”
0104080135	আর কয়িন নিজের ভাই হেবলের সঙ্গে কথোপকথন করল; পরে তারা ক্ষেতে গেলে কয়িন নিজের ভাই হেবলের বিরুদ্ধে উঠে তাকে মেরে ফেলল।
0104090110	পরে সদাপ্রভু কয়িনকে বললেন, তোমার ভাই হেবল কোথায়? সে উত্তর করল, “আমি জানি না, আমি কি আমার ভাইয়ের রক্ষক?”
01040a00e8	তিনি বললেন, “তুমি কি করেছ? তোমার ভাইয়ের রক্ত ভূমি থেকে আমার কাছে প্রতিফলের জন্য কাঁদছে।
01040b012a	আর এখন, যে ভূমি তোমার হাত থেকে তোমার ভাইয়ের রক্ত গ্রহণ করার জন্য নিজের মুখ খুলেছে, সেই ভূমিতে তুমি শাপগ্রস্ত হলে।
01040c0122	যখন তুমি ভূমিতে কৃষিকাজ করবে তা নিজের শক্তি দিয়ে তোমার সেবা আর করবে না; তুমি পৃথিবীতে পলাতক ও ভ্রমণকারী হবে।”
01040d0089	তাতে কয়িন সদাপ্রভুকে বলল, “আমার অপরাধের ভার অসহ্য।
01040e018a	দেখ, আজ তুমি পৃথিবী থেকে আমাকে তাড়িয়ে দিলে, আর তোমার সামনে থেকে আমি লুকিয়ে থাকব। আমি পৃথিবীতে পলাতক ও ভ্রমণকারী হব, আর আমাকে যে পাবে, সে হত্যা করবে।”
01040f0188	তাতে সদাপ্রভু তাকে বললেন, “এই জন্য কয়িনকে যে মারবে, সে সাত গুন প্রতিফল পাবে।” আর সদাপ্রভু কয়িনের জন্য এক চিহ্ন রাখলেন, যদি কেউ তাকে পেলে আক্রমণ করে।
01041000c7	পরে কয়িন সদাপ্রভুর সামনে থেকে চলে গিয়ে এদনের পূর্ব দিকে নোদ দেশে বাস করল।
010411018e	আর কয়িন নিজের স্ত্রীর সঙ্গে শারীরিক সম্পর্ক করলে সে গর্ভবতী হয়ে হনোককে প্রসব করল। আর কয়িন এক নগর তৈরী করে নিজের ছেলের নামানুসারে তার নাম হনোক রাখল।
01041200b9	হনোকের ছেলে ঈরদ, ঈরদের ছেলে মহুয়ায়েল, মহুয়ায়েলের ছেলে মথূশায়েল ও
01041300ee	মথূশায়েলের ছেলে লেমক। লেমক দুই স্ত্রী গ্রহণ করল, একজন স্ত্রীর নাম আদা, অন্যের নাম সিল্লা।
01041400e3	আদার গর্ভে যাবল জন্মাল, সে তাঁবুনিবাসী পশুপালকদের আদিপুরুষ ছিল। তার ভাইয়ের নাম যুবল;
0104150066	সে বীণা ও বংশীধারী সকলের আদিপুরুষ ছিল।
0104160128	আর সিল্লার গর্ভে তুবল-কয়িন জন্মাল, সে পিতলের ও লোহার নানা প্রকার অস্ত্র তৈরী করত। তুবল-কয়িনের বোনের নাম নয়মা।
01041701af	আর লেমক নিজের দুই স্ত্রীকে বলল, “আদা, সিল্লা, তোমরা আমার কথা শোন, লেমকের স্ত্রীরা আমার কথা শোন; কারণ আমি আঘাতের পরিশোধে পুরুষকে, প্রহারের পরিশোধে যুবাকে মেরে ফেলেছি।
01041800e0	যদি কয়িনের হত্যার প্রতিফল সাত গুন হয়, তবে লেমকের হত্যার প্রতিফল সাতাত্তর গুন হবে।”
01041901b8	আর আদম আবার নিজের স্ত্রীর পরিচয় নিলে তিনি ছেলে প্রসব করলেন ও তার নাম শেথ রাখলেন। কারণ [তিনি বললেন] কয়িনের মাধ্যমে হত হেবলের পরিবর্তে ঈশ্বর আমাকে আর এক ছেলে দিলেন। পরে
01041a00f5	শেথেরও ছেলে হল, আর তিনি তার নাম ইনোশ রাখলেন। তখন লোকেরা সদাপ্রভুর নামে আরাধনা করতে আরম্ভ করল।
010501012f	আদমের বংশাবলী (1 বংশাবলী 1-4) পত্র এই। যে দিন ঈশ্বর মানুষের সৃষ্টি করলেন, সেই দিনের ঈশ্বরের সাদৃশ্যেই তাঁকে তৈরী করলেন,
0105020105	পুরুষ ও স্ত্রী করে তাঁদের সৃষ্টি করলেন; এবং সেই সৃষ্টিদিনে তাঁদেরকে আশীর্বাদ করে আদম, এই নাম দিলেন।
01050300f7	পরে আদম একশো ত্রিশ বছর বয়সে নিজের মতো ও প্রতিমূর্ত্তিতে ছেলের জন্ম দিয়ে তার নাম শেথ রাখলেন।
01050400b7	শেথের জন্ম দিলে পর আদম আটশো বছর জীবিত থেকে আরও ছেলেমেয়ের জন্ম দিলেন।
0105050097	সব মিলিয়ে আদমের নয়শো ত্রিশ বছর বয়স হলে তাঁর মৃত্যু হল।
0105060070	শেথ একশো পাঁচ বছর বয়সে ইনোশের জন্ম দিলেন।
01050700c4	ইনোশের জন্ম দিলে পর শেথ আটশো সাত বছর জীবিত থেকে আরও ছেলেমেয়ের জন্ম দিলেন।
0105080094	সব মিলিয়ে শেথের নয়শো বারো বছর বয়স হলে তাঁর মৃত্যু হল।
0105090069	ইনোশ নব্বই বছর বয়সে কৈননের জন্ম দিলেন।
01050a00ca	কৈননের জন্ম দিলে পর ইনোশ আটশো পনের বছর জীবিত থেকে আরও ছেলেমেয়ের জন্ম দিলেন।
01050b0097	সব মিলিয়ে ইনোশের নয়শো পাঁচ বছর বয়স হলে তাঁর মৃত্যু হল।
01050c006f	কৈনন সত্তর বছর বয়সে মহললেলের জন্ম দিলেন।
01050d00d6	মহললেলের জন্ম দিলে পর কৈনন আটশো চল্লিশ বছর জীবিত থেকে আরও ছেলেমেয়ের জন্ম দিলেন।
01050e0091	সব মিলিয়ে কৈননের নয়শো দশ বছর বয়স হলে তাঁর মৃত্যু হল।
01050f007b	মহললেল পঁয়ষট্টি বছর বয়সে যেরদের জন্ম দিলেন।
01051000d3	যেরদের জন্ম দিলে পর মহললেল আটশো ত্রিশ বছর জীবিত থেকে আরও ছেলেমেয়ের জন্ম দিলেন।
01051100a9	সব মিলিয়ে মহললেলের আটশো পঁচানব্বই বছর বয়স হলে তাঁর মৃত্যু হল।
010512007c	যেরদ একশো বাষট্টি বছর বয়সে হনোকের জন্ম দিলেন।
01051300bd	হনোকের জন্ম দিলে পর যেরদ আটশো বছর জীবিত থেকে আরও ছেলেমেয়ের জন্ম দিলেন।
010514009a	সব মিলিয়ে যেরদের নয়শো বাষটি বছর বয়স হলে তাঁর মৃত্যু হল।
010515007b	হনোক পয়ষট্টি বছর বয়সে মথূশেলহের জন্ম দিলেন।
0105160105	মথূশেলহের জন্ম দিলে পর হনোক তিনশো বছর ঈশ্বরের সঙ্গে যাতায়াত করলেন এবং আরও ছেলেমেয়ের জন্ম দিলেন।
010517006c	সব মিলিয়ে হনোক তিনশো পয়ষটি বছর থাকলেন।
01051800e7	হনোক ঈশ্বরের সঙ্গে যাতায়াত করতেন। পরে তিনি আর থাকলেন না, কারণ ঈশ্বর তাঁকে গ্রহণ করলেন।
0105190082	মথূশেলহ একশো সাতাশী বছর বয়সে লেমকের জন্ম দিলেন।
01051a00dc	লেমকের জন্ম দিলে পর মথূশেলহ সাতশো বিরাশী বছর জীবিত থেকে আরও ছেলেমেয়ের জন্ম দিলেন।
01051b00a9	সব মিলিয়ে মথূশেলহের নয়শো ঊনসত্তর বছর বয়স হলে তাঁর মৃত্যু হল।
01051c00c3	লেমক একশো বিরাশী বৎসর বয়সে ছেলের জন্ম দিয়ে তাঁর নাম নোহ [বিশ্রাম] রাখলেন;
01051d0176	তিনি নোহের নাম ধরে ডাকলেন, বললেন, “সদাপ্রভুর মাধ্যমে অভিশপ্ত ভূমি থেকে আমাদের যে শ্রম ও হাতের কষ্ট হয়, তার বিষয়ে এ আমাদেরকে সান্ত্বনা করবে।”
01051e00dc	নোহের জন্ম দিলে পর লেমক পাঁচশো পঁচানব্বই বছর জীবিত থেকে আরও ছেলেমেয়ের জন্ম দিলেন।
01051f00a3	সব মিলিয়ে লেমকের সাতশো সাতাত্তর বছর বয়স হলে তাঁর মৃত্যু হল।
010520008c	পরে নোহ পাঁচশো বছর বয়সে শেম, হাম ও যেফতের জন্ম দিলেন।
01060100d4	এভাবে যখন পৃথিবীতে মানুষদের সংখ্যা বৃদ্ধি পেতে লাগল ও অনেক মেয়ে জন্ম গ্রহণ করল,
01060200f7	তখন ঈশ্বরের ছেলেরা মানুষদের মেয়েদেরকে সুন্দরী দেখে, যার যাকে ইচ্ছা, সে তাকে বিয়ে করতে লাগল।
0106030142	তাতে সদাপ্রভু বললেন, “আমার আত্মা মানুষদের মধ্যে সবদিন থাকবে না, কারণ তারা মাংসমাত্র; কিন্তু তাদের দিন একশো কুড়ি বছর হবে।”
0106040187	সেই দিনের পৃথিবীতে মহাবীররা ছিল এবং তার পরেও ঈশ্বরের ছেলেরা মানুষদের মেয়েদের কাছে গেলে তাদের গর্ভে ছেলেমেয়ে জন্মাল, তারাই সেকালের প্রসিদ্ধ বীর।
0106050115	আর সদাপ্রভু দেখলেন, পৃথিবীতে মানুষের দুষ্টতা বড় এবং তার হৃদয়ের চিন্তার সমস্ত কল্পনা সবদিন কেবল খারাপ।
01060600c2	তাই সদাপ্রভু পৃথিবীতে মানুষের সৃষ্টির জন্য দুঃখিত হলেন ও মনে আঘাত পেলেন।
01060701e7	আর সদাপ্রভু বললেন, “আমি যে মানুষকে সৃষ্টি করেছি, তাকে পৃথিবী থেকে উচ্ছিন্ন করব; মানুষের সঙ্গে পশু, সরীসৃপ জীব ও আকাশের পাখিদেরকেও উচ্ছিন্ন করব; কারণ তাদের সৃষ্টির জন্য আমার দুঃখ হচ্ছে।”
01060800cd	কিন্তু নোহ সদাপ্রভুর দৃষ্টিতে অনুগ্রহ প্রাপ্ত হলেন। নোহের বংশ বৃত্তান্ত এই।
01060900ea	নোহ সেই সময়ের লোকদের মধ্যে ধার্মিক ও সিদ্ধ লোক ছিলেন, নোহ ঈশ্বরের সঙ্গে যাতায়াত করতেন।
01060a0070	নোহ শেম, হাম ও যেফৎ নামে তিন ছেলের জন্ম দেন।
01060b00a8	সেই দিনের পৃথিবী ঈশ্বরের সামনে ভ্রষ্ট ও মন্দতায় পরিপূর্ণ ছিল।
