2800000005	Mateo
280117009f	Huná, virginabat içorra içanen da, eta erdiren da seme batez, eta deithuren duté haren icena Emmanuel, cein erran nahi baita hambat nola, Iaincoa gurequin.
2801180071	Lotaric iratzarturic bada Iosephec eguin ceçan Aingueruäc manatu ceraucan beçala, eta har ceçan bere emaztea.
280119005a	Eta etzeçan hura eçagut, bere lehen semeaz erdi cedino: eta deiceçan haren icena Iesus.
280201007d	Iayo cenean bada Iesus Bethlehem Iudeacoan regue Herodesen demborán, huná, Çuhurrac Orientetic ethor citecen Ierusalemera,
280202007d	Cioitela, Non da Iuduén regue iayo dena? ecen ikussi dugu haren içarra Orientean, eta ethorri gara hura adora deçagunçat.
280203004d	Bada regue Herodes ençunic hori trubla cedin, eta Ierusaleme gucia harequin.
2802040073	Eta bilduric Sacrificadore principal guciac eta populuaren Scribác, informa cedin hetaric non Christ sortzeco cen.
2802050053	Eta hec erran cieçoten, Bethlehem Iudeacoan, ecen hunela scribatua duc Prophetáz,
2802060098	Eta hi Bethlehem Iudaco lurrá, ezaiz Iudaco gobernadorén arteco chipiena, ecen hireganic ilkiren duc, Israel ene populua bazcaturen duen gobernadorea.
2802070078	Orduan Herodes secretuqui Çuhurrac deithuric informa cedin hetaric diligentqui, içarra aguertu içan çayen demboráz:
28020800bd	Eta hec Bethlehemerat igorriric, erran cieçén, Ioanic informa çaitezte diligentqui haourtchoaz: eta eriden duqueçuenean, iaquin eraci ieçadacue, nic-ere ethorriric adora deçadan hura.
28020900af	Hec bada reguea ençunic parti citecen: eta huná, Orientean ikussi vkan çuten içarra hayén aitzinean ioaiten cen, haourtchoa cen lekuaren gainera ethorriric gueldi cedino.
28020a003a	Eta içarra ikussiric bozcario handiz boz citecen haguitz.
28020b00c2	Eta etchera sarthuric eriden ceçaten haourtchoa bere ama Mariarequin: eta ahozpez adora ceçaten hura, eta bere thesaurac desplegaturic presenta cietzoten estrenác, vrrhe, encensu, eta myrrha.
28020c0073	Eta diuinoqui ametsetan aduertitu içanic ezlitecen Herodesgana itzul, berce bidez retira citecen bere comarcarát.
28020d00ef	Bada hec retiratu eta, huná, Iaunaren Aingueruä aguertzen çayó Iosephi, dioela, Iaiquiric har itzac haourtchoa eta haren ama, eta ihes eguic Egyptera: eta aicén han nic darraqueadano: ecen Herodesec bilhaturen dic haourtchoa hiltzeco.
28020e0062	Iosephec bada iratzarri eta, har citzan haourtchoa eta haren ama gauaz, eta retira cedin Egyptera.
28020f0086	Eta egon cedin han Herodesen finerano, Iaunac Prophetáz erran çuena compli ledinçát, cioela Egyptetic deithu vkan dut neure Semea.
2802100111	Orduan Herodesec ikussiric nola Çuhurréz enganatu içan cen, asserre cedin haguitz: eta bere gendea igorriric hil citzan Bethlehemen eta haren aldiri gucietan ciraden haour bi vrthetaco eta behereco guciac, Çuhurretaric diligentqui informatu içan cen demboraren araura.
280211004a	Orduan compli cedin Iaunac Hieremias Prophetáz erran vkan çuena, cioela,
2802120099	Voza Rhaman ençun içan da, deithore eta nigar eta auhen handi. Rachel bere haourracgatic nigarrez egon, eta ezta consolatu nahi içan, ceren eztiraden.
280213005b	Baina Herodes hil eta, huná, Iaunaren Aingueruä aguer cequión ametsetan Iosephi Egypten,
2802140097	Cioela, iaiquiric har itzac haourtchoa eta haren ama eta ioan adi Israeleco lurrerát, ecen haourtchoaren arimaren ondoan çabiltzanac hil içan dituc.
2802150060	Harc bada iratzarri eta, har citzan haourtchoa eta haren ama, eta ethor cedin Israeleco lurrera.
28021600bb	Baina ençunic ecen Archelausec regnatzen çuela Iudean bere aita Herodesen lekuan, beldur cedin hara ioaitera: eta ametsetan diuinoqui aduertituric retira cedin Galileaco bazterretarát.
2802170089	Eta hara ethorriric habita cedin Nazareth deitzen den hirian: Prophetéz erran içan cena compli ledinçat, ecen Nazareno deithuren cela.
2803010057	Bada dembora hartan ethor cedin Ioannes baptista, predicatzen çuela Iudeaco desertuan:
2803020040	Eta cioela, Emenda çaitezte: ecen ceruètaco resumá hurbil da.
280303009d	Ecen haur da Esaias Prophetáz erran içan cena, cioela, Desertuan oihuz dagoenaren voza da, Appain eçaçue Iaunaren bidea, çucen itzaçue haren bidescác.
2803040096	Ioannes hunec bada çuen bere abillamendua camellu biloz, eta larruzco guerricoa bere guerruncean inguru: eta haren viandá cen othiz eta bassa eztiz.
280305005f	Orduan ethor cedin harengana Ierusaleme eta Iudea gucia, eta Iordanaren inguruco comarca gucia.
2803060053	Eta batheyatzen ciraden harenganic Iordanean, bere bekatuac confessatzen cituztela.
28030700b4	Ikussiric bada anhitz Phariseuetaric eta Sadduceuetaric ethorten ciradela haren baptismora, erran ciecén, Vipera castá, norc auisatu çaituzte hira ethortecoari ihes daguioçuen?
2803080035	Eguin itzaçue bada fructuac emendamenduaren digneac.
280309009d	Eta ezteçaçuela presumi ceuroc baithan erraitera, Abraham dugu aita: ecen badiotsuet, Iaincoac harri hautaric-ere Abrahami haour suscita ahal dieçaqueola.
28030a007b	Bada ia aizcorá arborén errora eçarria da: beraz arbore fructu onic eguiten eztuen gucia piccatzen da eta sura egoizten.
28030b00d5	Eguia da, nic batheyatzen çaituztet vrez emendamendutara: baina ene ondoan ethorten dena, ni baino borthitzago da, ceinen çapatén ekarteco ezpainaiz digne: harc batheyaturen çaituzté Spiritu sainduaz eta suz.
28030c00a0	Bere bahea bere escuan du, eta garbituren du bere larraina: eta bilduren du bere oguibihia granerera: baina lastoa choil erreren du behinere hiltzen ezten suan.
28030d0059	Orduan ethor cedin Iesus Galileatic Iordanera Ioannesgana, harenganic batheya ledinçát.
28030e0079	Baina Ioannesec haguitz empatchatzen çuen hura, cioela, Nic behar diat hireganic batheyatu, eta hi ethorten aiz enegana?
28030f008c	Eta ihardesten çuela Iesusec erran cieçón, Vtzac oraingotz: ecen hunela complitu behar diagu iustitia gucia. Orduan vtzi ceçan eguitera.
28031000c2	Eta Iesus batheyatu cenean, bertan ilki cedin vretic: eta huná, irequi içan çaizcan ceruäc, eta ikus ceçan Iaincoaren Spiritua vsso columba baten guissán iausten eta haren gainera ethorten
2803110066	Eta huná vozbat cerutic, cioela, Haur da ene Seme maitea, ceinetan neure atseguin ona hartzen baitut.
2804010049	Orduan Iesus eraman cedin Spirituaz desertura, deabruaz tenta ledinçát.
280402004b	Eta barurtu cituenean berroguey egun eta berroguey gau, finean gosse cedin.
2804030078	Eta ethorriric harengana tentaçaleac erran ceçan, Baldin Iaincoaren Semea bahaiz, errac harri hauc ogui eguin ditecen.
280404008f	Baina harc ihardesten çuela erran ceçan, Scribatua duc, Ezta guiçona ogui beretic vicico, baina Iaincoaren ahotic ilkiten den hitz orotaric.
280405005e	Orduan hura du eramaiten deabruac Ciuitate saindura, eta du eçarten templeco pinacle gainean.
28040600df	Eta diotsó, Baldin Iaincoaren Semea bahaiz, egotzac eure buruä beherera: ecen scribatua duc, Ecen cargu emanen drauèla hiçaz bere Aingueruèy, eta bere escuetan eramanen autela, eure oinaz harrian behaztopa ezadinçát.
2804070050	Erran cieçon Iesusec, Berriz scribatua duc, Eztuc tentaturen eure Iainco Iauna.
280408007e	Berriz hura du eramaiten deabruac gucizco mendi gora batetara, eta eracusten drautza munduco resuma guciac eta hetaco gloriá:
280409004a	Eta diotsó, Hauc gucioc emanen drauzquiat, baldin ahozpez adora baneçac.
28040a007b	Orduan diotsó Iesusec, Habil Satan, ecen scribatua duc: Eure Iainco Iauna adoraturen duc, eta hura bera cerbitzaturen duc.
28040b0064	Orduan vtziten du hura deabruac: eta huná, Aingueruäc ethor citecen, eta cerbitzatzen çuten hura.
28040c0056	Eta ençun vkan çuenean Iesusec, ecen Ioannes presonér cela, retira cedin Galileara.
28040d006e	Eta vtziric Nazareth, ethor cedin eta habita Capernaum itsas aldecoan, Zabulongo eta Nephthalingo bazterretan:
28040e003d	Compli ledinçát Esaias Prophetáz erran içan cena, cioela,
28040f006c	Zabulongo lurrá eta Nephtalingo lurrá itsassorraco bide aldean Iordanaz berce aldetic, Gentilén Galileá:
2804100081	Populu ilhumbean cetzanac argui handi ikussi vkan du: eta herioaren regionean eta itzalean ceunçaney argui altchatu içan çaye.
280411006c	Orduan-danic has cedin Iesus predicatzen, eta erraiten, Emenda çaitezte: ecen hurbil da ceruètaco resumá.
28041200b5	Eta Iesusec Galileaco itsas aldean çabilala, ikus citzan bi anaye, Simon, Pierris erraiten dena, eta Andriu haren anayea, egoizten çutela sarea itsassora (ecen pescadore ciraden.)
2804130049	Eta dioste, Çatozte ene ondoan, eta eguinen çaituztet guiça pescadore.
2804140037	Eta hec bertan vtziric sareac iarreiqui içan çaizcan.
28041500ca	Eta handic aitzinago iraganic, ikus citzan berceric bi anaye, Iaques Zebedeoren semea, eta Ioannes haren anayea, vnci batetan bere aita Zebedeorequin, bere sarén adobatzen ari ciradela: eta dei citzan.
2804160044	Eta hec bertan vncia eta bere aita vtziric iarreiqui içan çaizcan.
28041700d4	Eta inguratzen çuen Galilea gucia Iesusec, hayén synagoguetan iracasten ari cela, eta resumaco Euangelioa predicatzen çuela, eta sendatzen çuela eritassun mota gucia, eta langore mota gucia populuaren artean.
28041800cc	Orduan io ceçan haren famác Syria gucia: eta presenta cietzoten gaizqui ceuden guciac, eritassun diuersez eta tormentaz eduquiac, eta demoniatuac, eta lunaticoac, eta paralyticoac: eta sendatzen cituen.
2804190080	Eta gendetze handi iarreiqui cequión Galileatic, eta Decapolistic, eta Ierusalemetic, eta Iudeatic, eta Iordanaz berce aldetic.
2805010076	Iesus bada ikussiric gendetzeac, igan cedin mendi batetara: eta iarri cenean hurbildu içan çaizcan bere discipuluac.
280502003a	Eta bere ahoa irequiric iracasten cituen, erraiten çuela,
2805030048	Dohatsu dirade spirituz paubreac: ceren hayén baita ceruètaco resumá.
2805040043	Dohatsu dirade nigarrez daudenac: ceren hec consolaturen baitirade.
280505003a	Dohatsu dirade emeac: ceren hec lurra heretaturen baitute.
2805060051	Dohatsu dirade iustitiaz gosse eta egarri diradenac: ceren hec asseren baitirade.
280507004a	Dohatsu dirade misericordiosoac: ceren hæy misericordia eguinen baitzaye.
280508004e	Dohatsu dirade bihotzez chahu diradenac: ceren hec Iaincoa ikussiren baituté.
280509005a	Dohatsu dirade baquea procuratzen dutenac: ceren hec Iaincoaren haour deithuren baitirade.
28050a005c	Dohatsu dirade iustitiagatic persecutatzen diradenac: ceren hayén baita ceruètaco resumá.
28050b00ae	Dohatsu içanen çarete nehorc iniuria erran drauqueçuenean, eta persecutatu çaituqueztenean, eta hitz gaichto gucia erran duqueitenean çuen contra, gueçurrez ene causaz.
28050c0084	Boz eta aleguera çaitezte, ceren çuen saria handi baita ceruètan: ecen hala persecutatu vkan dituzté çuen aitzineco Prophetác.
28050d00aa	Çuec çarete lurreco gatza: eta baldin gatza gueçat badadi, cerçaz gacituren da? ezta guehiagoric deusgay camporat iraizteco eta guiçonéz ohondicatu içateco baicen.
28050e004d	Çuec çarete munduco arguia. Ecin estal daite ciuitate mendi gainean iarria.
28050f007c	Eta eztute iraichequiten candelá eta hura eçarten gaitzurupean, baina candelerean, eta argui eguiten draue etcheco guciey.
2805100088	Hala argui begui çuen arguiac guiconén aitzinean, çuen obra onac ikus ditzatençat, eta glorifica deçaten çuen Aita ceruètan dena.
2805110077	Eztuçuela vste ecen Leguearen edo Prophetén abolitzera ethorri naicela: eznaiz ethorri abolitzera, baina complitzera.
2805120085	Ecen eguiaz diotsuet, iragan daiteno ceruä eta lurra, iotabat edo punctu hutsbat ezta Leguetic iraganen, gauça guciac eguin diteno.
28051300f6	Norc-ere beraz hautsiren baitu manamendu chipién hautaric bat, eta iracatsiren baititu hunela guiçonac, chipién deithuren da hura ceruètaco resumán: baina norc-ere eguinen baititu eta iracatsiren, hura handi deithuren da ceruètaco resumán.
2805140091	Ecen erraiten drauçuet, baldin abundosago ezpada çuen iustitiá Scribena eta Phariseuena baino, çuec etzaretela sarthuren ceruètaco resumán.
280515008e	Ençun vkan duçue nola erraniçan içan çayen lehenagocoey, Eztuc hilen: eta norc-ere hilen baitu, hura iudicioz punitu içateco digne date.
2805160136	Baina nic erraiten drauçuet, ecen nor-ere asserretzen baitzayo bere anayeri causa gabe, iudicioz punitu içateco digne datela: eta norc-ere erranen baitrauca bere anayeri, Raká, hura conseilluz punitu içateco digne datela: eta norc-ere erranen baitrauca, Erhoá, suzco gehennaz punitu içateco digne datela.
280517007b	Beraz baldin eure oblationea eramaiten baduc aldarera, eta han orhoit bahadi ecen hire anayeac baduela cerbait hire contra,
2805180094	Vtzi eçac han eure oblationea aldare aitzinean, eta habil: lehen appointadi eure anayerequin, eta orduan ethorriric presenta eçac eure oblationea.
28051900b3	Aicén adisquide eure partida contrastarequin fitetz, harequin bidean aiceno, ezemón eure partida contrastac iugeari, eta iugeac ezemón sargeantari, eta presoinean eçar ezadin.
28051a004a	Eguiaz erraiten drauat, ezaiz ilkiren handic, renda diroano azquen pelata.
28051b0058	Ençun vkan duçue ecen lehenagocoéy erran içan çayela, Eztuc adulterioric iauquiren.
28051c0092	Baina nic erraiten drauçuet, Norc-ere beguiesten baitu emazteric, hura guthicia deçançat, hambatez adulteratu duqueela harequin bere bihotzean.
28051d00cb	Bada baldin eure begui escuinac trebuca eraciten bahau, idoqui eçac hura, eta iraitzac eureganic: ecen hobe duc hiretaco, gal dadin hire membroetaric bat, eta eztadin hire gorputz gucia egotz gehennara.
28051e00c9	Eta baldin eure escu escuinac trebuca eraciten bahau, trenca eçac hura, eta iraitzac eureganic: ecen hobe duc hiretaco, gal dadin hire membroetaric bat, eta eztadin hire gorputz gucia egotz gehennara.
28051f0058	Halaber erran içan da, Norc-ere vtziren baitu bere emaztea, bemó separationeco letrá:
28052000c8	Baina nic diotsuet, ecen norc-ere vtziren baitu bere emaztea, salbu paillardiçaren causaz, adulterio eguin eraciten draucala: eta nor-ere vtziarequin ezconduren baita, harc adulterio iauquiten duela.
2805210097	Berriz ençun vkan duçue, ecen lehenagocoey erran içan çayela, Ezaiz desperiuraturen, baina rendaturen drautzac Iaunari eure iuramendu promettatuac.
2805220053	Baina nic diotsuet ezteçaçuen iura batre, ez ceruäz, ecen Iaincoaren thronoa da.
2805230061	Ezeta Lurraz, ecen haren oinetaco alkia da: ezeta Ierusalemez, ecen regue handiaren ciuitatea da.
2805240050	Halaber eure buruäz eztuc iuraturen, ecen bilobat churi ezpa beltz ecin daidic.
280525004c	Baina biz çuen hitza bay, bay: ez, ez: eta hauçaz goiticoa, gaichtotic da.
2805260056	Ençun vkan duçue, ecen erran içan dela, Beguia beguiagatic, eta hortza hortzagatic.
2805270096	Baina nic erraiten drauçuet, Eztieçoçuela resisti gaizquiari: baina baldin norbeitec io baheça eure escuineco mathelán, itzul ieçóc bercea-ere.
2805280053	Eta hiri auci eguin nahi drauanari, eta eure iaccá edequi, vtzi ieçoc mantoa-ere.
280529005a	Eta norc-ere nahi vkanen baihau bortchatu lecoa baten eguitera, albeitindoa harequin biga.
28052a0050	Escatzen çayanari emóc: eta hireganic maillebatu nahi duena ezteçála iraitz.
28052b0078	Ençun vkan duçue ecen erran içan dela, On eritziren draucac eure hurcoari, eta gaitz eritziren draucac eure etsayari.
28052c00e6	Baina nic erraiten drauçuet, Onhets itzaçue çuen etsayac, benedicaitzaçue maradicatzen çaituztenac, vngui eguieçue gaitz daritzuèney: eta othoitz eguiçue oldartzen çaizquiçuenacgatic, eta persecutatzen çaituztenacgatic.
28052d00ac	Çuen Aita ceruètan denaren haour çaretençat: ecen harc ilki eraciten du bere iguzquia gaichtoén eta onén gainera, eta igorten du vria iustoén eta iniustoén gainera.
28052e0075	Ecen baldin çuey on daritzueney on badarizteçue, cer sari vkanen duçue? eztute publicanoéc-ere hori bera eguiten?
28052f0086	Eta baldin çuen anayey solament beguitharte eguiten badraueçue, cer guehiago eguiten duçue? eztute publicanoec-ere horrela eguiten?
280530004b	Çareten bada çuec perfect, çuen Aita ceruètan dena perfect den beçala.
280601009e	Beguirauçue çuen elemosyná eztaguiçuen guiçonén aitzinean heçaz ikus çaiteztençát: ezpere sariric eztuçue vkanen çuen Aita ceruètan dena baithan.
28060200dc	Bada elemosyna eguiten duanean, ezteçála trompettá io eraci eure aitzinean, hypocritéc eguiten duten beçala synagoguetan eta carriquetan, guiçonéz estima ditecençát: eguiaz diotsuet recebitzen dutela bere saria.
2806030061	Baina hic elemosyna eguiten duanean, ezalbeilequi hire ezquerrac, cer eguiten duen hire escuinac.
2806040062	Hire elemosyná secretuan dençat: eta eure Aita secretuan dacussanac, rendaturen drauc aguerrian.
28060500ef	Eta othoitz eguiten duanean, ezaicela hypocritác beçala: hæy laket ciayec congregationetan eta carrica cantoinetan çutic daudela othoitz eguitea, guiçonéz ikus ditecençat: eguiaz erraiten drauçuet ecen recebitzen dutela bere saria.
28060600c0	Baina othoitz eguiten duanean, sar adi eure gamberatchoan, eta eure borthá ertsiric, othoitz eguióc eure Aita secretuan denari: eta eure Aita secretuan dacussanac rendaturen drauc aguerrian.
2806070084	Bada othoitz eguiten duçuenean, ezteçaçuela anhitz edas Paganoéc beçala: ecen vste dute bere anhitz edasteaz ençunen diradela.
2806080070	Etzaretela beraz hetarát irudi: ecen badaqui çuen Aitac ceren behar çareten, esca çaquizquioten baino lehen.
280609005c	Hunela beraz çuec othoitz eguiçue, Gure Aita ceruètan aicena, sanctifica bedi hire icena:
28060a0050	Ethor bedi hire resumá. Eguin bedi hire vorondatea ceruän beçala lurrean-ere.
28060b001d	Gure eguneco oguia iguc egun.
28060c0055	Eta quitta ietzaguc gure çorrac, nola guc-ere gure çordunéy quittatzen baitrauegu.
28060d0090	Eta ezgaitzála sar eraci tentationetan, baina deliura gaitzac gaichtotic. Ecen hirea duc resumá, eta puissancá, eta gloriá seculacotz. Amen.
28060e0069	Ecen baldin barka badietzeçue guiçoney bere faltác, barkaturen drauçue çuey-ere çuen Aita cerucoac.
28060f0072	Baina baldin barka ezpadietzeçue guiçoney bere faltác, çuen Aitac-ere eztrauzquiçue barkaturen çuen faltác.
28061000eb	Guehiago, barur daguiçuenean, etzaretela itchura tristetaco hypocritác beçala: ecen desguisatzen dituzté bere beguitharteac, barur diradela guiçoney agueri diradençat: eguiaz erraiten drauçuet, ecen recebitzen dutela bere saria.
280611005a	Baina hic barur eguiten duanean vncta eçac eure buruä, eta ikuz eçac eure beguithartea:
280612008d	Guiçoney barur aicela agueri ezaquiençát, baina eure Aita secretuan denari: eta eure Aita secretuan dacussanac rendaturen drauc aguerrian.
2806130093	Eztitzaçuela eguin çuen thesaurac lurrean, non cerrenac eta herdoillác goastatzen baititu, eta non ohoinéc çulhatzen eta ebaisten baitituzté.
2806140092	Baina eguin itzaçue çuen thesaurac ceruän, non ez cerrenec ez herdoillac ezpaitu goastatzen, eta non ohoinéc ezpaitute çulhatzen ez ebaisten.
2806150040	Ecen non baita çuen thesaura, han içanen da çuen bihotza-ere.
2806160063	Gorputzaren arguia da beguia, beraz baldin hire beguia simple bada, hire gorputz gucia argui datec:
280617008f	Baina baldin hire beguia gaichto bada hire gorputz gucia ilhun datec: beraz baldin hitan den arguia ilhumbe bada, ilhumbe hura cein handi date?
28061800d2	Nehorc bi nabussi ecin cerbitza ditzaque: ecen edo batari gaitz eritziren drauca, eta berceari on: edo batarequin eduquiren du eta bercea menospreciaturen. Ecin cerbitza ditzaqueçue Iainçoa eta abrastassunac.
28061900da	Halacotz erraiten drauçuet, eztuçuen artharic çuen vicitzeaz, cer ianen duçuen eta cer edanen: ezeta çuen gorputzaz, cerçaz veztituren çareten: ezta vicia viandá baino guehiago, eta abillamendua baino gorputza?
28061a00bd	Confideraitzaçue ceruco choriac, ecen eztute ereiten, ez errequeitatzen, ezeta graneretara biltzen, eta çuen Aita cerucoac hatzen ditu hec: etzarete çuec anhitzez hec baino excellentago?
28061b0059	Eta norc çuetaric artha vkanez eratchequi, ahal dieçaqueo bessobat bere handitassunari?
28061c0085	Eta veztiduráz cergatic çarete arthatsu? ikas eçaçue nola landaco floreac handitzen diraden: ez nekatzen dirade, ez iruten duté.
28061d006a	Baina erraiten drauçuet are Salomon-ere bere gloria guciarequin eztela veztitu içan hetaric bat beçala.
28061e0097	Bada baldin landaco egun belhar dena, eta bihar labean eçarten dena, Iaincoac hala inguru veztitzen badu: eza çuec anhitzez areago, fede chipitacoac?
28061f006e	Eztuçuela beraz artharic erraiten duçuela, Cer ianen dugu, edo cer edanen dugu, edo cerçaz veztituren gara?
2806200086	(Ecen gauça hauc guciac Paganoéc bilhatzen dituzté) ecen badaqui çuen Aita cerucoac, ecen gauça hauen gución beharra baduçuela.
280621007a	Baina bilha eçaçue lehenic Iaincoaren resumá eta haren iustitiá, eta gauça hauc guciac emanen çaizquiçue gaineraco.
2806220073	Etzaretela bada arthatsu biharamunaz: ecen biharamunac beretaco artha vkanen du: egunac asco du bere afflictioneaz.
280701002e	Ezteçaçuela iudica, iudica etzaiteztençát.
2807020080	Ecen cer iugemenduz iudicaturen baituçue, iudicaturen çarete: eta cer neurriz neurthuren baituçue, aldiz neurthuren çaiçue.
2807030067	Eta cergatic behatzen duc eure anayeren beguico fitsera, eta eure beguico gapirioari ezatzayo ohartzen?
280704006e	Edo, nola diotsóc eure anayeri, Vztac idoqui deçadan fitsa hire beguitic, eta horrá, gapirioa hire beguian?
2807050079	Hypocritá, idocac lehenic gapirioa eure beguitic, eta orduan behaturen duc, idoqui deçán fitsa eure anayeren beguitic.
28070600a5	Ezteyeçuela gauça saindua orey, eta eztitzaçuela egotz, çuen perlác vrdén aitzinera: bere oinéz ohondica eztitzaten, eta itzuliric çathica etzaitzaten çuec.
2807070070	Esca çaitezte eta emanen çaiçue: bilha eçaçue, eta eridenen duçue: bulka eçaçue, eta irequiren çaiçue.
2807080075	Ecen escatzen den guciac, recebitzen du: eta bilhatzen duenac, erideiten du: eta bulkatzen duenari, irequiren çayó.
280709005d	Ecen nor da çuetaric guiçona, baldin bere semea ogui esca badaquió, harri emanen draucana?
28070a003e	Eta, baldin arrain esca badaquió, ala suguebat emanen drauca?
28070b00b5	Beraz çuec gaichto çaretelaric baldin badaquiçue gauça onén çuen haourrey emaiten: cembatez areago çuen Aita ceruètan denac emanen drauzte gauça onac escatzen çaizquioney?
28070c0091	Bada guiçonéc çuey eguin dietzaçuen nahi dituçuen gauça guciac, eguin ietzeçue çuec-ere hæy halaber: ecen haur da Leguea eta Prophetác.
28070d0093	Sar çaitezte bortha herssitic: ecen bortha largoa eta bide çabala da perditionetara irioiten duena, eta anhitz dirade hartaric sartzen diradenac.
28070e006a	Ecen bortha herssia da eta bide herssia vicitzera eramaiten duena: eta guti dirade hura erideiten dutenac.
28070f007f	Beguirauçue bada propheta falsuetaric, cein ethorten baitirade çuetara ardi abiturequin: baina barnean otso harrapari dirade.
280710006e	Bere fructuetaric eçaguturen dituçue hec. Ala biltzen duté elhorrietaric mahatsic, edo karduetaric ficoric?
2807110063	Hala arbore on guciac fructu onac eguiten ditu, eta arbore gaichtoac fructu gaichtoac eguiten ditu.
2807120056	Arbore onac fructu gaichtoric ecin daidi, eta arbore gaichtoac fructu onic ecin daidi.
2807130047	Fructu onic eguiten eztuen arbore gucia piccatzen da eta sura egoizten.
2807140031	Bere fructuetaric beraz eçaguturen dituçue hec.
2807150088	Niri Iauna, Iauna, erraiten drautan gucia ezta sarthuren ceruètaco resumán, baina ene Aita ceruètan denaren vorondatea eguiten duena.
28071600b5	Anhitzec erranen draut egun hartan, Iauna, Iauna, eztugu hire icenean prophetizatu, eta eztitugu hire icenean deabruac egotzi campora, eta eztugu hire icenean verthute anhitz eguin?
280717007a	Eta orduan erranen drauet claroqui, Egundano etzaituztet eçagutu: parti çaitezte eneganic iniquitate eguiten duçuenóc.
280718009a	Norc-ere bada ençuten baititu ene hitz hauc, eta hec eguiten, hura dut comparaturen guiçon çuhur bere etchea arroca gain batetan edificatu duenarequin:
28071900bb	Eta erori içan da vria, eta ethorri içan dirade vr sobernác, eta eraunsi vkan duté haicéc, eta io vkan duté etchearen contra: eta ezta erori içan: ecen arroca gainean fundatua cen.
28071a0091	Eta norc-ere ençuten baititu ene hitz hauc, eta ezpaititu eguiten, comparaturen da guiçon erho bere etchea sable gainean edificatu duenarequin.
28071b00be	Eta erori içan da vria, eta ethorri içan dirade vr sobernác, eta haicéc eraunsi vkan duté, eta io vkan duté etche haren contra, eta erori içan da, eta haren deseguitea handi içan da.
28071c0062	Eta guerta cedin propos hauc acabatu cituenean Iesusec, populua miraz baitzegoen haren doctrináz.
28071d004b	Ecen iracasten cituen authoritate çuenac beçala, eta ez Scribéc beçala.
