0100000012	Англунимо
01020200fa	Дэ ефтатиро диво Дэвэл стерда всавори бути, сави Вов терэлас, тай дэ ефтатиро диво Вов пэрэачиля тэ терэ рындуря, саво Вов терэлас дыколэ.
01020300d7	Дэвэл бахталисарда ефтатиро диво и терда лэ свэнто, пала када со дэ кадыва диво Вов пэрэачиля тэ тирэ Пэхкирэ рындуря.
01020400b7	Акэ роспхэнэлпэ пала болыбэн тай пхув, кала вонэ сле стердэ. Кала РАЙ Дэвэл терэлас пхув тай болыбэн,
010205011e	пэ пхув инте нисо на сля: ни малятиро кустарнико, ни чяр малятири, пала када со РАЙ Дэвэл на бичялэлас пэ пхув брышынд и на сля манушэ, соб тэ терэ бути пэ пхув.
0102060068	Кацик лэнь ваздэласпэ пхуятар и тиндярэлас всавори пхув.
01020700cc	Тунчи РАЙ Дэвэл стерда манушэ прахостар пхуятирэстар тай пхурдыня лэсти дэ ратуя джювимо, и мануш ачиля джювдо.
010208009c	РАЙ Дэвэл выбарярда садо пэ востоко, дэ Эдэмо, тай тховда котэ манушэ, савэ Вов стерда.
010209015e	РАЙ Дэвэл выбарярда пхуятар всаворэ рандя, пэ савэн сля мишто тэ дыкхэ и савэ сле лаче дэ хама. Помашкар дэ садо барёнас рандь, сави дэл джювимо, тай рандь, сави дэл тэ уджянэ лачимо тай врытимо.
01020a009b	Эдэмостар чюлёлас лэнь, сави тиндярэлас садо, а дурыдэр вой розджяласпэ пэ штар лэня.
01020b0085	Перво акхарэлпэ Пишоно: вов обчюлёл всавори пхув Хавила, тев исин сувнак.
01020c00a4	Сувнак дэ кодыя пхув лачё. Тай инте котэ исин смола, савятэ лачё фано, и кучютно бар шохамо.
01020d006c	Дуйто лэнь акхарэлпэ Гихоно, вой обчюлёл всавори пхув Кушо.
01020e00a4	Трито лэнь акхарэлпэ Тигро, вой чюлёл дэ востоко Ашшуростар. А штарто лэнь — када Евфрато.
01020f00ac	РАЙ Дэвэл тховда манушэ дэ Эдэмско садо, соб вов тэ терэл бути дэ садо тай тэ дыкхэл пала лэстэ.
01021000a0	РАЙ Дэвэл прыпхэнда манушэсти: — Ту ґалювэх тэ ха плодуря всаворэндар рандятар дэ садо.
01021100d5	Кацик на ха рандятар, сави дэл тэ уджянэ лачимо тай врытимо, пала када со дэ дивэ, кала ту схаґа плодо латар, ту мэрэґа.
01021200c4	РАЙ Дэвэл пхэнда: — Намишто манушэсти тэ авэ екджинэсти. Мэ терава лэсти амалэ, сар вов, саво дэла лэсти зор.
0102130195	РАЙ Дэвэл стерда пхуятар всаворэн малятирэн зверёнэн тай всаворэн чириклен болыбнэндирэн. Тунчи Вов анда лэн манушэстэ, соб тэ удыкхэ, сар кодэва лэн акхарэла. И сар акхарда мануш кожнонэ жывотнонэ, кади и ачиля лэсти лав.
0102140148	Кади мануш дэня лава всаворэсти цэрутности скотости, всаворэнди чирикленди, савэ дэ болыбэн, тай всаворэнди зверёнэнди. Но Адамости на аракхяпэ амалэ, сар вов, саво дэла лэсти зор.
01021500c0	Тунчи РАЙ Дэвэл засовлярда манушэ, и покы вов сута, лиля екх лэхкиро рёбро тай затерда кодэва тхан масэґа.
010216008f	Ребростар, саво Вов вылиля манушэстар, РАЙ Дэвэл стерда джювля и анда ла лэстэ.
01021700fa	Мануш пхэнда: — Када кокали мурэндар кокалендар тай мас мурэстар масэстар. Вой авэла тэ акхарэпэ «ромни», пала када со сля лити ромэстар.
01021800ae	Пала када ачявэла мануш дадэ и да тай авэна екхтханэ пэхкиряґа ромняґа, тай дуй ачена екх трупо.
0102190067	Адамо и лэхкири ромни дуйджинэ сле нангэ, но на ладжянас.
010301013c	Всаворэндар дыконэндар зверёнэндар, савэн стерда РАЙ Дэвэл, хрантэдэр всаворэндар сля сап. Вов пхучля джювля: — Чяче ли пхэнда Дэвэл: «На хан всаворэндар рандендар дэ садо"?
010302007e	Джювли пхэнда сапэсти: — Амэ ґалювах тэ ха плодуря рандэндар дэ садо.
01030300c4	Нэ Дэвэл пхэнда: «На хан плодуря рандятар, саво помашкар дэ садо. Тай на лэнпэ лэндэ, соб тэ на мэрэ тумэнди».
0103040051	— Нат, тумэ на мэрэна, — пхэнда сап джювляти.
01030500da	— Дэвэл джянэл, со кала тумэ схана лэн, тумарэ якха оттерэнапэ тай тумэ ачена, сар дэвла, савэ джянэн лачимо тай врытимо.
01030601ad	Тунчи джювли удыкхля, со плодо рандятар сля лачё дэ хама тай мишто тэ дыкхэ пэ лэстэ. Джювли кади ж закамля плодо рандятар, пала када со вов дэлас годи. Вой лиля екх плодо тай схаля. Тунчи дэня плодо и ромэсти, саво сля лаґа, и вов халас лэ.
01030700ee	Лэндэ дуендэ якха оттердэпэ, тай вонэ полиле, со нангэ. Тунчи вонэ ссювдэ листонэндар инжыростар їда тай ушаравдэ пэхкиро нангимо.
0103080138	Бельвеляґа, кала ачиля шылалэдэр тай пхурда балвалёры, вонэ ушундэ, сар РАЙ Дэвэл пхирэл пав садо. Адамо и лэхкири ромни гаравдэпэ РАЕСТАР Дэвлэстар машкар ранден дэ садо.
0103090042	Нэ РАЙ Дэвэл акхарда Адамо: — Тев ту?
01030a00af	Адамо пхэнда: — Мэ шундом Тут дэ садо тай пэрэдарынём, пала када со мэ нанго. Акэ мэ и гаравдомпэ.
01030b00c4	РАЙ Дэвэл пхучля: — Ко пхэнда тути, со ту нанго? Ту халян плодуря рандятар, савэстар Мэ пхэндом тути тэ на ха?
01030c00ea	Адамо пхэнда: — Джювли, савя Ту дэнян манди, соб вой тэ авэл манца, — када вой дэня манди плодо колатар рандятар, тай мэ схалём лэ.
01030d00b6	Тунчи РАЙ Дэвэл пхэнда джювляти: — Со жэ ту стердан? Джювли пхэнда: — Сап хохавда ман, акэ мэ и халём.
01030e0186	Тунчи РАЙ Дэвэл пхэнда сапэсти: — Пала кода, со ту стердан када, дав мрая тут будэр всаворэстар скотостар тай всаворэн диконэн зверёнэн! Ту авэґа тэ пхирэ пэ води, ту авэґа тэ ха прахо дэ всаворэ дивэса тирэ джювима.
01030f0105	Мэ тховава холи помашкар тут и джювля и помашкар тирэ чяворэн и латирэн чяворэн: вов авэла тэ марэ тут дэ шэрэ, а ту авэґа тэ дандавэ лэ дэ талпа.
010310013c	А джювляти Вов пхэнда: — Мэ терава, со тути авэла грыжа, кала ту авэґа пхари тай кала авэґа тэ бэянэ чяворэн. Ту закамэґа тэ рицарэ ромэ дэ вастэн, ай вов авэла хулай понад тут.
010311017e	Адамости жэ Вов пхэнда: — Кади сар ту шундан джювля тай схалян плодо рандятар, пала савя Мэ прыпхэндом тути: «На ха лэстар», дав мрая пала тут пхув: дэ пхари бути ту авэґа тэ ха латар дэ всаворэ дивэ тирэ джювима.
010312007f	Вой выбарярэла тути всаворэ пусанэ чяря, ту авэґа тэ ха малятири чярь.
0103130105	Дэ пытия авэла тиро муй, кала ту авэґа тэ затерэ тиро мандро, дыколэ сар на рисявэґа дэ пхув, савятар тут лиле. Ту — прахо, и дэ прахо ту рисявэґа.
0103140099	Адамо акхарда пэхкиря ромня Ева, пала када со вой ачиля дэй важ всаворэ, ко джювэлас.
010315008f	РАЙ Дэвэл стерда лэнди їда г равлестар тай урявда дэ лэн Адамо и лэхкиря ромня.
0103160174	Тунчи РАЙ Дэвэл пхэнда: — Мануш уджянгля лачимо тай врытимо тай кана ачиля, сар екх Амэндар. Нащи, соб вов процырдыня васт тай тэ чинэл плодо рандятар, сави анэл джювимо, тэ схал лэ тай ачиля тэ джювэ вечно.
0103170098	РАЙ Дэвэл вытрадыня лэ садостар Эдэм, соб вов тэ терэл бути пэ пхув, савятар лэ лиле.
010318014c	Вов вытрадыня манушэ тай тховда пэ востоко садостар Эдэм херувимонэн и бари чюри, сави пхаболас и марэлас дэ всаворэ рига, соб тэ фирисарэ дром, саво лиджял рандятэ, сави дэл джювимо.
01040100e2	Адамо сута Еваґа, пэхкиряґа ромняґа, тай вой ачиля пхари и бэянда Каино. Вой пхэнда: «Мэ стердом манушэ, сар када стерда РАЙ».
01040200ba	Тунчи вой бэянда лэхкирэ пхралэ Авелё. Авелё чяравэлас бакрэн тай бузнен, а Каино терэлас бути пхуяґа.
0104030073	Проджиля вряма, тай Каино анда пхуятирэ плодуря дэ даро РАЕСТИ,
01040400a8	а Авелё анда дэ даро само фэдэр пэрвонэндар бакрорэндар. Авелё и лэхкиро даро чялиле РАЕСТИ,
01040500ae	нэ Каино тай лэхкиро даро на чялиле Лэсти. Каино фартэ холиля, тай лэхкоро муй покалиля холятар.
0104060081	Тунчи РАЙ пхэнда Каиности: — Сости ту холявэх? Сости тиро муй покалиля?
0104070140	Сар ту авэґа тэ терэ лаче рындоря, ту на авэґа прылито? Нэ, сар ту терэх налаче рындоря, дэ терэн ударэн гаравдапэ бэзэх: вов камэл тэ лэл зор понад тут, кацик ту ав лэсти хулаеґа.
01040800ee	Каино пхэнда Авелёсти, пэхкирэ пхралэсти: — Джям дэ маля. Кала вонэ сле дэ маля, Каино чютапэ пэ пэхкирэ пхралэ Авелё тай умарда лэ.
01040900d2	Тунчи РАЙ пхэнда Каиности: — Тев тиро пхрал Авелё? — На джянав, — пхэнда кодэва. — Мэ со, сторожо мурэсти пхралэсти?
01040a0088	РАЙ пхэнда: — Со ж ту тердан? Рат тирэ пхралэхкоро типисявэл Мандэ пхуятар.
01040b00e5	Кана мрая пэ тутэ, вытрадино пхуятар, сави оттерда пэхкоро муй, соб тэ прылэ рат тирэ пхралэ, саво ту прочютан пэхкирэ вастэґа.
01040c00fd	Кала ту авэґа тэ терэ бути пэ пхув, вой на авэла будэр тэ анэ плодуря важ тути. Ту авэґа тэ пхирэ пав пхув пордэ тай павпалэ, сар бицэрэхкоро.
01040d0079	Каино пхэнда РАЕСТИ: — Ман фартэ пхаро марэх, мэ на вылиджява када.
01040e0123	Екхатар Ту вытрадэх ман пхуятар, мэ авава тэ гаравэпэ Тирэ муестар: мэ авава тэ пхирэ пордэ тай павпалэ, сар бицэрэхкоро, тай пэрво, ко ман удыкхэла, умарэла ман.
01040f0112	Нэ РАЙ пхэнда лэсти: — Нат. Ко умарэла Каино, лэсти када рисявэла ефта молуря. И РАЙ стерда Каиности знако, соб нико, ко лэґа удыкхэлапэ, тэ на умарэл лэ.
0104100087	Каино уджиля РАЕСТАР тай джюда дэ пхув Нод, дэ востоко Эдэмсконэ садостар.
0104110076	Каино сута пэхкиря ромняґа, тай вой ачиля пхари тай бэянда Енохо.
01041200dc	Енохостэ бэяндапэ Ирадо, Ирадостэ бэяндапэ Мехиаэлё, Мехиаэлёстэ бэяндапэ Метушаэлё, тай Метушаэлёстэ бэяндапэ Ламехо.
0104130074	Ламехо лиля пэсти дуен ромнен: екха акхарэнас Ада, авря — Цылла.
0104140092	Ада бэянда Явало: вов ачиля дадэґа колэн, ко джювэл дэ катунэн и розлиджял ското.
010415009c	Лэхкирэ пхралэ акхарэнас Ювало: вов ачиля дадэґа всаворэн, ко цэлэл пэ лира и свирель.
01041600c3	Цыллатэ сля чяво, Тувал-Каино, саво терэлас промати бронзатар и састрестар. Тувал-Каиностэ сля пхэнь Наама.
0104170151	Ламехо пхэнда пэхкирэнди ромненди: Ада и Цылла, шунэн ман, ромня Ламехохкирэ, полэн, со мэ дэдумав. Мэ умардом муршэ пала кода, со вов чинда ман, тэрнэ манушэ пала кода, со вов малавда ман.
0104180074	Пала Каино авэна мардэ ефта разуя, пала Ламехо — ефта дэша ефта.
010419011c	Адамо инте сута пэхкиря ромняґа, тай вой бэянда чявэ тай акхарда лэ Сифо. Вой пхэнэлас: «Дэвэл дэня манди авэр чяворэ пэ Авелёхкиро тхан, савэ умарда Каино».
01041a00b1	Сифостэ сля чяво, тай вов акхарда лэ Еносо. Дэ кодыя вряма мануша ачиле тэ прыакхарэ лав РАЕХКИРО.
01050100de	Акэ роспхэндимо пала Адамо тай пала лэхкирэ чяворэн. Кала Дэвэл стерда манушэ, стерда лэ, соб вов тэ авэл поджило пэ Дэвлэ.
01050200ae	Вов стерда муршэ тай джювля тай бахталисарда лэн. Кала вонэ сле стердэ, Вов акхарда лэн «мануш».
01050300d1	Кала Адамо проджюда 130 бэрш, лэстэ бэяндапэ чяво, саво сля поджило пэ лэстэ, лэхкоро образо, тай вов акхарда лэ Сифо.
010504008b	Тунчи, сар бэяндапэ Сифо, Адамо джюда 800 бэрш, тай лэстэ сле инте чявэ тай чея.
010505005b	Всаворо джювимо Адамохкиро сля 930 бэрш, и вов муля.
0105060058	Кала Сифо проджюда 105 бэрш, лэстэ бэяндапэ Еносо.
010507008b	Тунчи, сар бэяндапэ Еносо, Сифо джюда 807 бэрш, тай лэстэ сле инте чявэ тай чея.
010508005d	Всаворо джювимо Сифохкиро сля 912 бэрш, тай вов муля.
010509005d	Кала Еносо проджюда 90 бэрш, лэстэ бэяндапэ Каинано.
01050a0091	Тунчи, сар бэяндапэ Каинано, Еносо джюда 815 бэрш, тай лэстэ сле инте чявэ тай чея.
01050b005d	Всаворо джювимо Еносотиро сля 905 бэрш, тай вов муля.
01050c0065	Кала Каинано проджюда 70 бэрш, лэстэ бэяндапэ Малелеило.
01050d0099	Тунчи, сар бэяндапэ Малелеило, Каинано джюда 840 бэрш, тай лэстэ сле инте чявэ тай чея.
01050e0063	Всаворо джювимо Каинанохкиро сля 910 бэрш, тай вов муля.
01050f0061	Кала Малелеило проджюда 65 бэрш, лэстэ бэяндапэ Яредо.
0105100095	Тунчи, сар бэяндапэ Яредо, Малелеило джюда 830 бэрш, тай лэстэ сле инте чявэ тай чея.
0105110066	Всаворо джювимо Малелеилохкиро сля 895 бэрш тай муля вов.
010512005a	Кала Яредо проджюда 162 бэрш, лэстэ бэяндапэ Енохо.
010513008d	Тунчи, сар бэяндапэ Енохо, Яредо джюда 800 бэрш, тай лэстэ сле инте чявэ тай чея.
010514005f	Всаворо джювимо Яредохкиро сля 962 бэрш, тай вов муля.
010515005f	Кала Енохо проджюда 65 бэрш, лэстэ бэяндапэ Мафусало.
01051600a8	Тунчи, сар бэяндапэ Мафусало, Енохо пхирэлас Дэвлэґа 300 бэрш, тай лэстэ сле инте чявэ тай чея.
010517002c	Енохо доджюда дэ 365 бэрш.
0105180081	Енохо пхирэлас Дэвлэґа, тунчи лэ на ачиля, пала када со Дэвэл залиля лэ.
0105190062	Кала Мафусало проджюда 187 бэрш, лэстэ бэяндапэ Ламехо.
01051a0095	Тунчи, сар бэяндапэ Ламехо, Мафусало джюда 782 бэрш, тай лэстэ сле инте чявэ тай чея.
01051b0065	Всаворо джювимо Мафусалохкиро сля 969 бэрш, тай вов муля.
01051c005a	Кала Ламехо проджюда 182 бэрш, лэстэ бэяндапэ чяво.
01051d00d6	Вов акхарда лэ Ноё тай пхэнда: «Вов дэла амэнди тэ отцынявэ амарятар пхарятар бутятар пэ пхув, сави прэдэня мрая РАЙ».
01051e008b	Тунчи, сар бэяндапэ Ноё, Ламехо джюда 595 бэрш, тай лэстэ сле инте чявэ тай чея.
01051f0061	Всаворо джювимо Ламехохкиро сля 777 бэрш, тай вов муля.
0105200070	Кала Ноёсти ачиля 500 бэрш, лэстэ бэяндэпэ Симо, Хамо тай Яфето.
0106010064	Манушэн ачиля будэр пэ пхув, тай лэндэ бэяндёнаспэ чея.
01060200ce	Чявэ Дэвлэхкирэ удыкхле, со манушэндирэ чея фартэ шукарнэ, тай ачиле тэ лэ лэн пэсти дэ ромнен, сави касти чялёла.
01060300d4	РАЙ пхэнда: — На авэла Фано Муро вечно дэ манушэ, пала када со мануш бэзэхало. Мэк авэла лэндирэ дивэса шэл биш бэрша.
0106040164	Дэ колэ дивэса тай пала лэн, кала чявэ Дэвлэхкирэ лэнас дэ ромнен манушэндирэн чеен, лэндэ бэяндёнаспэ чяворэ, сле пэ пхув нефилимы. Вонэ сле фартэ зоралэ, тай пала лэн шундёласпэ пураня вряматар.
01060500a6	РАЙ удыкхля, со мануша пэ пхув фартэ бут терэн бэзэх тай лэндири годи цырдэлпэ тэ тирэ холи.
010606008b	РАЕСТИ ачиля дор, со Вов стерда пэ пхув манушэ. Лэхкоро їло пхэрдиля дукхаґа.
0106070154	И пхэнда РАЙ: — Мэ скхосава пхуятар манушэндиро родо, саво Мэ стердом. Мэ умарава и манушэн, и барэн тай цыкнэн жывотнонэн, и чириклен болыбнэндирэн, пала када со Манди дор, со стердом лэн.
0106080047	Нэ Ноё аракхля мила дэ РАЕХКИРЭН якхэн.
0106090122	Акэ роспхэндимо пала Ноё тай пала лэхкирэ чяворэн. Машкар манушэн кодыла вряматири кацик Ноё терэлас чячюнэ рындуря тай сля би дошатиро. Вов пхирэлас Дэвлэґа.
01060a004c	Ноёстэ сле трин чявэ: Симо, Хамо тай Яфето.
01060b006a	Дэ Дэвлэхкирэн якхэн пхув мусардапэ тай пхэрдиля глабаґа.
01060c00b1	Дэвэл удыкхля, сар пхув мусардапэ пала када, со всаворэ мануша пэ пхув пэрэболдыне пэхкирэ дрома.
01060d0103	Тунчи Дэвэл пхэнда Ноёсти: — Мэ терава, со всаворэ, ко исин джювдэ, хасявэна, пала лэн пхув пхэрдыня глабаґа. Мэ умарава и лэн, тай всавори пхув.
01060e00a9	Стер пэсти ковчеґо рандятар гоферо. Стер дэ лэ цэрора тай макх лэ смолаґа гасатар тай андрал.
01060f0098	Акэ сар ту лэ стерэґа: ковчеґо 300 куя дэ лунгима, 50 куя дэ буґлима тай 30 куя дэ вучима.
01061000e2	Стер понад лэ штрэха, соб вой тэ ваздэлпэ англа лэ пэ екх куё. Тхов ригатар удара тай стер тэлуно, машкаруно тай упруно этажо.
01061100e4	Мэ налиджява пэ пхув баро пани, соб тэ умарэ вса, со джювэл тала болыбэн, дэ кастэ пхурдэл джювимо. Вса, со исин пэ пхув, мэрэла.
01061200c1	Нэ туґа Мэ терава завето, тай ту заджяґа дэ ковчеґо: ту тай тирэ чявэ, тай тири ромни, тай ромня тирэн чявэн.
01061300b5	Залиджя дэ ковчеґо всаворэн жывотнонэн по дуй, лэ тай ла, соб вонэ тэ аченпэ джювдэнца ектханэ туґа.
0106140113	Тутэ авэна, соб тэ ачепе джювдэнца, пав дуй всаворэндар породэндар чириклен, всаворэндар породэндар жывотнонэн, савэ пхирэн пав пхув тай всаворэ сапа.
0106150075	Лэ пэґа всаворо хамо тай стидэ лэ пэстэ, соб тэ ха и тути, и лэнди.
010616004d	Ноё терда вса кади, сар пхэнда лэсти Дэвэл.
01070100ee	РАЙ пхэнда Ноёсти: Заджя дэ ковчеґо пэхкирэґа їреґа. Мэ дыкхав, со помашкар всаворэн, ко джювэл екхатар, кацик ту чячютно англа Ман.
01070200d1	Лэ пэґа по ефта пара всаворэндар жужэндар жывотнонэн, ла тай лэ, тай пав екх пара всаворэндар нажужэндар, ла тай лэ,
01070300bd	тай пав ефта пара всаворэндар чириклендар, соб тэ авэл и вов, и вой, соб тэ фирисарэ лэн всаворэн пэ пхув.
0107040107	Проджяна ефта дивэса, Мэ бичялава брышынд пэ пхув пэ саранда дивэн, тай саранда рятен; тай Мэ скхосава пхуятар всаворэн джюдэн, савэн Мэ стердом.
0107050048	Ноё стерда вса, сар прыпхэнда лэсти РАЙ.
0107060062	Кала баро пани авиля пэ пхув, Ноёсти сля шов шэла бэрш.
01070700c3	Ноё, лэхкирэ чявэ, лэхкири ромни тай ромня лэхкирэн чявэн заджиле дэ ковчеґо, соб тэ фирисарэпэ потопостар.
010708005e	Жужэ тай нажужэ жывотные, чирикля и всаворо джювимо
010709007f	авиле Ноёстэ дэ ковчеґо пав дуй: вов и вой, сар прыпхэнда Ноёсти Дэвэл.
01070a0052	Проджиля ефта дивэ, и пэ пхув джиля баро пани.
01070b0106	Кала Ноёсти сля шов шэла бэрша, дэ дэшуефтато диво дэ дуйто чён, прочиндэпэ всаворэ ханинга барэ панехкирэ, тай оттердэпэ фылястры болыбэндирэ,
01070c006e	тай джялас пэ пхув брышынд саранда дивэса тай саранда ратен.
01070d00cf	Дэ кодэва жэ диво заджиле дэ ковчеґо Ноё, лэхкирэ чявэ Симо, Хамо тай Яфето, ромни Ноёхкири тай ромня тринэн чявэн.
01070e0167	Лэнца заджиле всаворэ породы жывотнонэн: всаворэ породы дыконэн зверёнэн тай цэрутнонэ скотос, всаворэ породы джювима, савэ пхирэн пав пхув, всаворэ породы чириклен, тай всаворэ, кастэ исин пхака.
01070f008d	Всаворэ, дэ кастэ пхурдэл джювимо, авиле Ноёстэ тай заджиле дэ ковчеґо по дуй,
01071000b2	вов и вой всаворэндар породонэн, сар прыпхэнда Ноёсти Дэвэл. Тай тунчи РАЙ затерда пала лэн удара.
01071100af	Потопо сля пэ пхув саранда дивэса, тай пани, саво авэлас, подлиле ковчеґо, тай вов джиля пав пани.
0107120067	Пани вса авэлас тай авэлас, ай ковчеґо пхирэлас пав пани.
010713008e	Пани кади вучес подлиляпэ пэ пхув, со ушаравда всаворэ вуче плая тала болыбэн.
0107140080	Пани подлиляпэ тай ушаравда всаворэ плая вучедэр, сар пэ дэшупанч куя.
01071500d8	Вса, со сля джювдо пэ пхув, мурдиле: чирикля, ското, дыки зверуря, всаворо джювдо, со пхирэл пав пхув, тай всаворэ мануша.
010716005b	Всаворэ пэ пхув, кастэ дэ ратуен сля джювимо, муля.
0107170137	Вса, со сля джювдо пэ пхув, вса сля скхосло пхуятар: мануша тай джювимо, саво пхирэл пав пхув, тай чирикля болыбнэндирэ. Кацик ачиляпэ Ноё тай кодыла, ко сле лэґа дэ ковчеґо.
010718004c	Потопо лэлас зор пэ пхув шэл пандэша дивэ.
0108010114	Дэвэл рапирда пала Ноё тай пала всаворэн дыких зверёнэн, тай пала ското, савэ сле лэґа дэ ковчеґо, тай Вов бичялда балвал пэ пхув, тай пани ачиля тэ уджя.
01080200bc	Ханинга барэ панехкирэ тай фылястры болыбнахкирэ затердэпэ, тай брышынд пэрэачиля тэ джя болыбнастар.
0108030094	Пани на сиго ачиля тэ уджя пхуятар, тай дэ шэл панчдэшатиро диво вов фартэ уджиля.
0108040086	Пэ дэшуефтатиро диво ефтатиро чёнэхкиро ковчеґо ачиля пэ Араратски плая.
01080500a0	Пани уджялас дэ дэшто чён, тай дэ пэрво диво дэ дэшто чён ачиле тэ душол вэрхо плаендиро.
010806008e	Проджиля саранда дивэса, тай Ноё оттерда фылястра, саво вов стерда дэ ковчеґо.
01080700b5	Вов вымукля воронос, тай кодэва выуряля тай прыуряля павпалэ дэ колэ, кала пани пэ пхув на вышутиля.
0108080080	Тунчи Ноё вымукля гурунгэ, соб тэ удыкхэ, сджиля ли пани упрал пхуятар,
0108090156	нэ гурунго на аракхля шуко тхан, соб тэ бэшэ тэлэ, пала када со пани ушаравэлас всавори пхув, тай рисардапэ Ноёстэ дэ ковчеґо. Ноё процырдэня васт тай лиля гурунгэ павпалэ пэстэ дэ ковчеґо.
01080a0074	Проджиля ефта дивэн, тай вов упалэ вымукля гурунго ковчеґостар.
01080b00de	Кала бэльвэляґа гурунго рисардапэ, дэ муй лэстэ сля ївант счиндо оливково листо. Тунчи Ноё полиля, со пани сджиля пхуятар.
