2800000005	Matyu
280119007d	Hara Maria naŋga kɨhɨrɨ upɨ maŋgarɨhɨmat kɨyɨhi ututa Maria kru ñɨŋi ha kavuhi Josep ñɨmbi ŋguta Jisas, vami.
280201017e	Herot aru miku mɨŋga kɨyɨmi hɨrɨvɨyɨ, Maria Jisasɨŋ pɨrɨvɨsa Judia pɨhu Betlehem kavumi. Kamatɨhi indarɨmit avi naŋga muvɨra ina yahayahavundu haŋɨnɨŋ pata Jerusalem yɨvurahata nɨmavamba kitɨhumu, Ñɨŋi kɨhi Judandu aru miku yahami kandɨha pambu kɨyɨ. Nuŋandɨ kinɨkɨ ina yahayaha nɨmbu kɨta ŋgata nuŋandɨ ñɨmbi tɨhuyahɨrɨm parɨŋ, vamu.
28020300aa	Kamavahu aru miku Herot kuyu kandɨha indarɨhira nuŋandɨ mavɨ hambu avi mandɨmi. Jerusalemɨndu krunavundi ndahara sɨhanaŋga nurɨŋandɨ mavɨ hambu avi mandɨmi.
280204012e	Kamata Herot yahata Gotɨŋ kɨrañɨŋguhundu aru miku haŋɨnɨŋ naŋga Israelɨndu tɨkatɨka kuyundu mirɨmba naŋga haŋɨnɨŋ ambahi pata tɨhɨruhu nurɨŋ nɨmavamba kitɨhumi, Got krunavundiŋ aŋga mɨŋɨmandɨ vata yɨhɨramami kru kandɨhama pɨhu pañɨ nzɨkwɨ yɨvurahɨmandɨ, vami.
280205009d	Kamavahi nɨmavamu, Pɨhu Betlehem, pɨrɨvɨsa Judia nduyɨ yɨvurahɨmandɨ. Kru Gotɨndu kuyu mɨŋata ambavaravara mɨŋga kuyu nɨmata yɨhimbɨvɨrami.
2802060128	Pɨhu Betlehem, krunzapa Judandu pɨrɨvɨsayɨ kɨndana. Krunzapa Judandu pɨrɨvɨsayɨ pɨhu aruru muvɨra haŋɨnɨŋ ñɨmbi naŋga. Nandahara ñɨmbi naŋga. Nandɨ kru mumɨŋga aru miku mɨŋga yɨvurahata Gotɨndu krunavundi Israel hatiŋ karatamɨrɨmandɨ vamba yɨhimbɨvɨrami, vamu.
28020700f3	Kamavahu Herot kuyu kandɨha indarɨta kru mumɨŋgaŋ aviñam ambahi, uta kru indarɨmit avi ina yahayahavundu haŋɨnɨŋ ambahi payɨmu. Payɨhu nurɨŋ nɨmavamba kitɨhumi, Pamata hɨrɨvɨyɨ kinɨkɨ kandɨha yɨvurahahi ŋgamara, vami.
28020800be	Kamavata nurɨŋ ambami. Uta ñɨŋi kandɨha avindamata puhɨramaŋgarata ŋgata, pata yaŋ ambɨtɨra yindahara uta nuŋandɨ ñɨmbi tɨhuyahɨtɨn, vami. Kamavata sɨmbɨhi Betlehem umu.
28020900fb	Aru miku Herot ambavarahi indarɨta mɨtuta umu. Uta kinɨkɨ ina yahayahavu kɨta ŋgamu sɨwɨ haŋandɨhin ŋgata kɨnzɨhɨnzɨtɨmu. Kinɨkɨ kandɨha kasiramata uhihi nurɨ sɨhɨndɨ umu. Uta tavɨ ñɨŋi kɨyɨmi hañɨ kɨmba hambu kɨyɨmi.
28020b019d	Kamata indɨhuta ñɨŋi ha naŋga nɨŋum Mariaŋ ŋgata tanda mɨkwɨmɨkwɨnɨta kɨpumɨka nurɨŋandɨ ha pɨrɨyɨ tamahu mɨŋguhi ñɨŋi hamandu ñɨmbi tɨhuyahamu. Kamata paŋaŋgara ha mɨŋavɨhɨrɨta muhɨmɨmuhɨm mɨŋata payɨmu haŋɨnɨŋ, gol, naŋga sambaŋgihɨvɨ maña hɨm kɨrahu kɨnza avi yahandi hɨm, naŋga paura uvɨŋgɨnza avi yahandi haŋandɨhin asɨhuramata Jisasɨŋ ŋgumu.
28020c009f	Kamatɨhu Got akwɨsɨhuyɨ nurɨŋ nɨmavami, Uta sɨhinda Herot kɨyɨ hañɨ mayɨvurahamara, vami. Kamavahi mu hɨndɨñɨ nurɨŋandɨ pɨhuyɨ aŋga umu.
28020d012d	Kru indarɨmit avi naŋga haŋɨnɨŋ uhuhu, Aru nɨmandu kutɨkara pata akwɨsɨhuyɨ Josepɨŋ nɨmavami, Herot ñɨŋi nɨmaŋ puhɨravuhɨraramata ŋgata yɨvutatamɨrɨman vata andɨtɨhi yahamɨrata ñɨŋi naŋga nɨŋumɨŋ tɨmbuta tɨvata Isip umara. Uta kɨta yandɨ kuyurɨm tavɨra, vami.
28020e0063	Kutɨkara hama kamavahi Josep yahata nɨŋumɨŋ naŋga ñɨŋi hamaŋ tɨmbuta Isip kɨvɨyɨ umu.
28020f012b	Kamata Isip kɨyɨhuhu Herot kɨmumi. Kandɨ vana nɨŋandɨhinɨrɨm Aru nɨma, kru nuŋandɨ kuyu mɨŋata ambavaravara mɨŋgaŋ ambahi, nɨmavami, Yandɨ kru ñɨŋi Isip kɨyɨhi ambahin Isip mitata payɨ, vami. Kamataharɨm Aru nɨma ambami vana nɨŋandɨhin kandɨsɨkwɨsɨkwɨ yɨvurahami.
28021001bb	Kru indarɨmit avi ina yahayahavundu haŋɨnɨŋ uhuhu, Herot yaŋ kuyusɨhɨrata mu hɨndɨyɨ umu vata kɨtɨrɨ kɨyɨmi. Kuha Herot kru indarɨmit avi ina yahayahavundu haŋɨnɨŋ kitɨhuhi ambamu, Kinɨkɨ ŋgamarɨŋ ha arɨkinzimbi umiha, vamu. Kamataharɨm kru muvɨraŋ sɨmbɨhi pɨhu Betlehem naŋga pɨhu makamaka arɨñɨarɨñɨ kɨyɨmuyɨ umu. Uta kru ñɨŋi taya arɨkinzimbi naŋga mɨŋgata haŋɨnɨŋ yɨvuhɨmumbɨramu.
28021101b3	Muhɨmɨmuhɨm vana kanɨŋɨnɨŋɨrɨm Got ambahi, kru Gotɨndu kuyu mɨŋata ambavaravara Jeremaia ambami, Pɨhu Rama, Resel nɨŋuñɨŋgiñandu ñɨŋisɨm kɨmumbɨramu. Kamatɨhu ñɨŋi nɨŋumɨnava haŋɨnɨŋ irɨhɨnzɨhi tamamu. Kamatɨhu krunavundi muŋɨnɨŋ pata nurɨŋ mɨŋañɨŋarɨtɨrɨŋ mavɨñam hañɨ kɨyɨmu vata andɨhura kambu maŋindarɨmu, vamba ambami haŋandɨhin, kandɨsɨkwɨsɨkwɨ yɨvurahami.
280213007e	Josep Isipɨndu pɨrɨvɨsayɨ kɨyɨhihi, Herot kɨmutatɨhi Aru nɨmandu kutɨkara hama Josepɨŋ akwɨsɨhuyɨ yɨvurahami.
28021400c5	Kamata Josepɨŋ nɨmavami, Ñɨŋi nɨmaŋ yɨvutatamɨndaŋ vata andɨsɨmu haŋɨnɨŋ kɨmusɨmu. Harɨm yahamɨrata ñɨŋi ha naŋga nɨŋumɨŋ tɨmbuta pɨrɨvɨsa Israel aŋga umara, vami.
280215005d	Kamavahi Josep yahata ñɨŋi ha naŋga nɨŋumɨŋ urata pɨrɨvɨsa Israelɨrɨm aŋga umu.
280216010d	Hara, Arkelaus nɨŋuva Herotɨndu upɨ mɨŋata pɨrɨvɨsa Judiandu aru miku mɨŋga kɨyɨ vahu Josep indarɨta kandɨhambu uhuhurɨm pɨŋitumi. Hara Aru nɨma akwɨsɨhuyɨ Josepɨŋ nandɨ indarɨmit ha kandɨ vamba ambami. Kamavahi yahata pɨrɨvɨsa Galili umu.
28021700d6	Uta pɨhu Nasaret mɨnzɨmu. Harɨm kuha kru Gotɨndu kuyu mɨŋata ambavaravara haŋɨnɨŋ ambamu, Kru nɨma pɨhu Nasaretɨndu mɨŋga vamba ambɨrɨmandɨyu, vamu haŋandɨhin, kandɨsɨkwɨsɨkwɨ yɨvurahami.
280301008c	Kandɨhɨvɨ hañɨ Jon kukuyɨ mɨŋaŋgɨruhɨru hama pɨrɨvɨsa Judia, kru manɨman upɨvu umi. Uta krunavundiŋ nɨmavamba kuyu ŋgumi,
280302006a	Gotɨndu tɨwɨyɨ kɨyɨhɨyɨha arɨñɨndɨ. Harɨm ñamba vanavana ha mitata mavɨŋgimɨrumara, vami.
2803030110	Got ambahi kru Gotɨndu kuyu mɨŋata ambavaravara Aisaia Jonɨrɨm nɨmavami, Kru manɨman upɨvu kru mumɨŋga kuyu kɨmbañɨ nɨmavɨrɨmandɨ, Aru nɨmarɨm kwɨmbɨ sɨwɨtamata, kwɨmbɨsiki sukɨsɨrambɨ haŋɨnɨŋ mɨŋasɨrɨvamara, vamba ambɨrɨmandɨ, vami.
280304010a	Jonɨndu mɨkwɨrɨ ha, kamel mɨrɨkwɨyɨ sɨvirɨmu. Kandɨhaŋandɨhin tamata aŋgɨ simbɨyɨ yɨvumɨŋgundi. Aŋgɨ kandɨhaŋandɨhin memendu pɨsayɨ musa mɨŋamu. Jon kandɨhama ñaña sɨkwɨ mañandi. Kapɨrɨmbatɨvat naŋga mɨmɨ mɨkwɨ taya ñandi.
280305008c	Kandɨhɨrɨvɨ haŋu Jerusalem hati, Judia hati naŋga pɨrɨvɨsa kuku Jordan arɨñɨ kɨrasɨmu haŋɨnɨŋ Jon kɨrasɨmiyɨ parasɨmu.
280306006b	Kamatɨndɨ ñamba vanavana andɨndu haŋɨnɨŋ ambavarahuhu nurɨŋ Jon, Jordan kukuyɨ mɨŋaŋgɨrundi.
2803070127	Kamatɨhihi Farisi naŋga Sadyusi muvɨra, utɨrɨŋ arɨŋ kukuyɨ mɨŋaŋgɨrum vata payɨmu. Kamatɨhu nurɨŋ ŋgata nɨmavami, Tau ñambandu ñɨŋi narɨ. Narɨŋ nin ambahi Got narɨŋɨrɨm kɨtɨrɨ kɨta ñamba hɨvɨ ŋgurɨmandɨ nɨŋandɨhinɨrɨm tarahɨrɨmɨndaŋ vata andɨra.
28030800ae	Narɨ mavɨŋgimɨrurɨŋ nzɨkwɨ vataŋgata, muhɨmɨmuhɨm vana andɨtɨra kru muŋɨnɨŋ ŋgamu. Kamata ambɨrɨmandɨyu, Nurɨ mavɨŋgimɨruyu, vamba ambɨrɨmandɨyu.
28030900df	Narɨŋandɨ indarɨmitɨyɨ, Abraham arɨŋandɨ añɨŋgitak vamba maŋindarɨramamara. Narɨŋ yinda ambin, Got ambɨti tɨmba muŋgɨmuŋgɨ nɨŋɨnɨŋ narɨŋandɨ upɨ mɨŋata Abraham nɨŋuñɨŋgiña yɨvurahahu.
28030a0093	Kahɨri ha ahu tahɨratahɨrarɨm kɨmɨta kɨyɨ. Harɨm ahu sɨhanaŋga kandɨ mandamandu haŋɨnɨŋ tahɨrandahɨra ahumirayɨ kavarɨmandɨyu.
28030b013f	Yi narɨŋ mavɨŋgimɨrumaraŋa vata kukuyɨ mɨŋaŋgɨrundin. Hara kru sɨhɨndɨvu payɨmandɨ hama narɨŋ Gotɨndu Mavɨñɨŋiyɨ naŋga ahumirayɨ mɨŋaŋgɨrumandɨ. Nuŋandɨ tɨkatɨka ha aru sɨkwɨ, yandɨ tɨkatɨka taratɨvɨrandi. Yi avi mɨŋganzɨkwɨ ma, harɨm nuŋandɨ tandambɨsa ha maŋgavuhin.
28030c011d	Nu wit taratara tɨmba ha mɨŋata payɨmandɨ. Kamata wit ha tarandara tɨhuyahɨtiti pipɨrɨmbipɨrɨ ha muvu mɨŋgaramɨti avi haŋɨnɨŋ muvu mɨŋgaramɨti mɨŋata nuŋandɨ huyɨmandavɨyɨ tamɨmandɨyu. Kamata ñambañamba haŋɨnɨŋ ahutuvarandiyɨ kɨrɨrɨmandɨ, vami.
28030d0071	Kandɨtɨwɨmi hañɨ Jisas pɨrɨvɨsa Galili mitata, Jon yaŋ kukuyɨ mɨŋaŋgɨrumandɨ vata kuku Jordan umi.
28030e0095	Hara Jon nuŋ karirahɨrɨman vata nɨmavami, Na yaŋ kukuyɨ mɨŋaŋgɨrunanda avindɨhi. Mumɨndɨhi kɨmbɨnzɨnzɨ yi kɨnɨ nɨñɨ pana, vami.
28030f00f3	Kamavahira Jisas kɨmbɨ nuŋ ambami, Kɨndam, tɨhu yi ambin mañandaya andɨ. Nanaŋga kanɨmata vana andɨtanda, Got avi vana sɨhanaŋga andɨmara vata pirɨ kɨndi haŋɨnɨŋ andɨmɨndaŋ, vami. Kamavahi Jon, Jisas ambami maña andɨmi.
28031000de	Kamavahi Jon, Jisasɨŋ kukuyɨ mɨŋaŋgɨruta mɨtuhi yahami. Kamatɨhi ihunzɨhɨ haŋɨnɨŋ taruvɨhɨrɨhi, Jisas tɨhɨrata yahuta Gotɨndu Mavɨñɨŋi haŋandɨhin ŋgahi kava umari maña nu kɨyɨmiyɨ mɨŋgami.
28031100aa	Kamatɨhi Gotɨndu pɨhu nɨmbu kuyu samur muŋandi nɨmavami, Ñɨŋi nɨŋandɨhin yandɨ mavɨndamandin mɨŋga. Yandɨ mavɨnɨmbu nuŋɨrɨm kɨnzɨhɨnzɨtɨ, vami.
280401008c	Kandɨtɨwɨmi hañɨ Gotɨndu Mavɨñɨŋi Jisasɨŋ, pɨrɨvɨsa kru manɨman upɨvu nuŋ Satan mɨŋamɨŋgɨrɨmandɨ vata tɨmbuta umi.
2804020055	Kamatɨhi Jisas 40 hɨvɨ itɨhañata inayɨ kɨvɨyɨ mañɨmat avɨharɨm kɨyɨmi.
2804030097	Kamatɨhi Satan pata Jisasɨrɨm nɨmavami, Kandɨ na Gotɨndu Ñɨŋitiŋgata tɨmba muŋgɨmuŋgɨ nɨŋɨnɨŋ ambɨna mavatɨmba yɨvurahamu, vami.
28040400d9	Kamavahira Jisas nuŋ nɨmavami, Gotɨndu aŋgwɨmɨkɨyɨ kuyu nɨmata kɨyɨ, krunavundi ñañayɨ taya maŋgɨndu. Hara Gotɨndu kuyu mɨŋata mavɨñɨ tamata mɨŋa tɨkatɨkatɨhana handa sɨha kɨyɨhana, vami.
2804050098	Kamavahi Satan Jisasɨŋ tɨmbuta Gotɨndu pɨhu aru Jerusalem uta, Gotɨŋ kɨrañɨŋguhu tavɨ hañɨndu upɨyɨndu tapa kɨmbandɨkatɨkayɨ tamami.
2804060149	Kamata Satan yahata Jisasɨŋ nɨmavami, Gotɨndu aŋgwɨmɨkɨyɨ ambami, Got nuŋandɨ kutɨkara haŋɨnɨŋ sɨmbɨti pata kumandamata naŋ mɨŋahandata kavuta urɨmandɨyu. Kamatu tɨmba muyɨputak ndahara nandɨ tanda ha mandarahandɨrɨmandɨ, vamba ambami. Harɨm na Gotɨndu Ñɨŋitiŋgata, kumbɨtɨhuta mɨŋgu, vami.
2804070094	Kamavahi Jisas nɨmavami, Hara Gotɨndu aŋgwɨmɨkɨyɨ kuyu nɨmata ndahara kɨyɨ. Got nandɨ Aru nɨmandu tɨkatɨkarɨm mamɨŋa mɨŋga, vami.
28040800e7	Jisas kamavahi, sɨhinda Satan nuŋ tɨmbuta apu kɨmbandɨkatɨkayɨ yahumi. Kamata nuŋ pɨrɨ nɨñɨndu pɨrɨvɨsa sɨhanaŋga tɨkatɨka haŋɨnɨŋ, naŋga nurɨŋandɨ muhɨmɨmuhɨm avivi kɨyɨmi haŋɨnɨŋ isɨhuramami.
280409008e	Kamata Jisasɨŋ nɨmavami, Tanda mɨkwɨmɨkwɨnɨta yandɨ ñɨmbi tɨhuyaha. Kamatɨna naŋ muhɨmɨmuhɨm kanɨŋɨnɨŋ ŋgurɨman, vami.
28040a00dd	Satan kamavahi Jisas nuŋ nɨmavami, Satan, mikitamata uhu. Gotɨndu aŋgwɨmɨkɨyɨ nɨmavami, Got nandɨ Aru nɨmandu tɨwɨyɨ taya kɨñɨ. Kamata nuŋandɨ ñɨmbi tɨhuyahata, nuŋandɨ sɨmbɨra taya mɨŋa, vami.
28040b0056	Jisas kamavahi Satan mitata uhihi Gotɨndu kutɨkara haŋɨnɨŋ pata nuŋ ŋguramamu.
28040c007d	Jisas, Jonɨŋ mɨŋata kru ñamba vana andɨhu tamandu upɨyɨ tamasɨyu vahu, kuyuhɨnzɨ indarɨta pɨrɨvɨsa Galili umi.
28040d00b1	Kamata pɨhu Nasaret mitata pɨhu Kaperneam umi. Pɨhu Kaperneam kandɨha indu Galilindu tɨvɨyɨ kɨyɨmi. Krunzapa Sebulun naŋga krunzapa Naptalindu pɨrɨvɨsayɨ kɨyɨmi.
28040e029b	Kuha Got ambahi kru Gotɨndu kuyu mɨŋata ambavaravara Aisaia ambami, Krunzapa Sebulunɨndu pɨrɨvɨsa naŋga krunzapa Naptalindu pɨrɨvɨsa kandɨha kwɨmbɨvat aru añakɨŋgukuyɨrɨm uhuhu tɨvɨyɨ kɨndi. Pɨrɨvɨsa kandɨha kuku Jordan timukari pɨrɨvɨsa Galili kɨndi. Pɨrɨvɨsa Galili kandɨhañɨ krunavundi sambɨ muvundumuvundu ŋɨnɨŋ kɨndu. Krunavundi kɨvɨmɨŋgwɨyɨ kuyu haŋɨnɨŋ sɨña ŋgayu. Naŋga krunavundi kɨmuhɨmurɨm pɨŋituta kɨvɨmɨŋgwɨyɨ kuyu haŋɨnɨŋ, nurɨŋɨrɨm sɨña yɨvurahi, vamba Aisaia ambami. Jisas uta kandɨhambu kɨndaŋgɨnda kuyu ŋguhi, Aisaia ambami kuyu ha kandɨsɨkwɨsɨkwɨ yɨvurahami.
28041100e8	Kandɨhɨrɨvɨ haŋu nda kɨta Jisas kimaŋgima sɨmbɨra mɨŋata krunavundiŋ nɨmavamba ambavarami, Gotɨndu tɨwɨyɨ kɨyɨhɨyɨha arɨñɨ payɨ. Harɨm ñamba vanavana andɨndara haŋɨnɨŋ mitata mavɨŋgimɨrumara, vami.
2804120108	Jisas indu Galili tɨvɨñɨndɨvɨñɨ ndaya umi. Uta kru nɨŋusi nɨŋuraŋ ŋgahi nurɨŋandɨ kamahayɨ ha indu hañɨ kavarata kɨyɨmu. Nɨŋusi Saimon, mu ñɨmbi hambu Pita, nɨŋura Andru. Arɨkimbat asa sɨmbɨra tɨmbahɨrɨsɨrɨm mɨŋandu ŋɨnɨŋ.
28041300b4	Kamata arɨkimbatɨrɨm Jisas uraramata nɨmavami, Avayɨmara, pata yi naŋga kɨndɨtɨra asa mɨŋandara maña narɨŋ krunavundiŋ mɨŋamɨŋarɨm ambaramɨtɨn ŋgamara, vami.
2804140060	Kamavahi arɨkimbat sarɨwayɨŋandi nurɨŋandɨ kamahayɨ haŋɨnɨŋ mitata Jisas naŋga umu.
28041500f9	Kamata Jisas uhandata, nɨŋusi nɨŋura, Sebedindu ñɨŋisɨm, Jems naŋga Jonɨŋ ŋgami. Nurɨŋandɨ kamahayɨ haŋɨnɨŋ kundɨrahu sɨvirɨta kupik hɨmba hañɨ, nɨŋuva Sebedi nin kɨyɨmu. Kamatɨhuhu Jisas pata arɨkimbatɨŋ uraramami.
2804160061	Kamatɨhi sɨkwɨ nda nurɨŋandɨ kupik ha naŋga nɨŋuvaŋ mitata arɨkimbat Jisas naŋga umu.
2804170145	Jisas pɨrɨvɨsa Galilindu muvumuvu kɨndami. Kamatɨndɨ nurɨŋandɨ Got naŋga kuyundavaravara tavɨyɨ indɨhundɨhu krunavundiŋ ambaramandi. Gotɨndu tɨwɨyɨ kɨyɨhɨyɨndu kuyu avivi ambavarambara, muhɨmɨmuhɨm kandi naŋga muhɨmɨmuhɨm andɨhi krunavundindu kwɨrandɨ ñambatɨmi haŋɨnɨŋ mɨŋavindamami.
28041801e5	Kamatɨhi nuŋambirɨm pɨrɨvɨsa Siriandu sɨhanaŋga ambavarata mɨtumu. Kamataharɨm krunavundi kru sɨhanaŋga muhɨmɨmuhɨm kandi nurɨŋ pɨsiŋgarahi kañɨnda aru kavumu haŋɨnɨŋ, sundɨ ñamba naŋga haŋɨnɨŋ, kru kandi andɨhi mɨŋgata yɨvuta nanaŋgarahu kuma tanda tɨkatɨkatɨndi haŋɨnɨŋ, naŋga punzɨ kɨmuhɨmu haŋɨnɨŋ Jisas kɨyɨmiyɨ tɨmbuta payɨmu. Kamatɨhu sundɨ ñamba haŋɨnɨŋ pɨŋguvarambara, kandi naŋga haŋɨnɨŋ mɨŋavindamami.
28041900c8	Kamatɨhi krunavundi sambɨ pɨrɨvɨsa Galili hati, pɨrɨvɨsa Dekapolis hati, pɨhu Jerusalem hati, pɨrɨvɨsa Judia hati, naŋga pɨrɨvɨsa kuku Jordan timukari hati ndahara nu naŋga kɨndandu.
2805010083	Jisas ŋgahi krunavundi sambɨ payɨhu, apuvu yahumi. Kamata mɨnzɨhi, nuŋandɨ sɨmbɨrasara haŋɨnɨŋ nu kɨyɨmiyɨ payɨmu.
2805020032	Jisas nuŋandɨ sɨmbɨrasaraŋ ambaramata ambami,
2805030096	Krunavundindu mavɨñɨŋi tɨkatɨka mandɨhi Gotɨŋ ndaya tɨhɨraramandu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨ Gotɨndu tɨwɨyɨ kɨyɨmandɨyu.
2805040080	Krunavundi irɨhɨŋgukuyɨ kuyu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨŋ Got mɨŋañɨŋarɨti mavɨñamɨñɨ kɨyɨmandɨyu.
2805050095	Krunavundi nurɨŋandɨ ñɨmbi taŋguhu mɨŋgundi haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨŋ Got pɨrɨvɨsa nɨŋandɨhin sɨhanaŋga ŋgurɨmandɨ.
28050600b8	Krunavundi avɨhatɨhi naŋga kukumɨtandɨhi andɨndu maña avi vana andɨtɨrɨm pirɨtamandu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨŋ Got ŋguramɨti avi vana taya andɨrɨmandɨyu.
2805070092	Krunavundi muŋɨnɨŋ ŋgata sɨhisɨhitɨta ŋguramandu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨŋ ndahara Got sɨhisɨhitɨta ŋguramɨrɨmandɨ.
2805080074	Krunavundi Gotɨndu avi vanarɨmɨndaya indarɨmitandu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨ Gotɨŋ ŋgɨmandɨyu.
28050900ae	Krunavundi kuyumɨŋguta kurɨhahu, timu mɨŋa tamu mɨŋata mɨŋasɨrɨvandu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Kandɨhaŋɨnɨŋɨrɨm Got yandɨ ñɨŋisɨm, vɨrɨmandɨ.
28050a007f	Krunavundi avi vana andɨtu, muŋɨnɨŋ nurɨŋ kañɨnda ŋgutu kɨnzɨhɨnzɨtɨmu. Nurɨ Gotɨndu tɨwɨyɨ kɨyɨmandɨyu.
28050b00a6	Kamata narɨŋ ŋgɨtu yandɨ ñiŋgiñɨ kɨtɨra, narɨŋ kuyu ñamba ŋguta, narɨŋ ñamba taŋguta kuyusɨhɨrɨŋguyu ihɨvarɨtu ndahara kɨnzɨhɨnzɨtɨmara.
