2800000007	Matteus
28061000d0	Kui sa paastud, siis ära ole nagu silmakirjatsejad, kes teevad kurva näo ja jätavad oma välimuse hooletusse, et kõik näeksid, et nad paastuvad. Ma ütlen teile tõde: nad on oma tasu juba kätte saanud.
280611003b	Aga kui sina paastud, pese oma nägu ja tee välimus korda,
2806120069	et inimesed ei näeks, et sa paastud, ning su nähtamatu Isa, kes näeb, mis toimub salajas, tasub sulle.
2806130078	Ärge kuhjake rikkust siia maa peale, kus koi ja rooste seda rikuvad ning kus vargad sisse murravad ja selle varastavad.
2806140077	Selle asemel koguge oma vara taevasse, kus koid ja rooste seda ei riku ning kus vargad sisse ei murra ega seda varasta.
2806150046	Sest see, mida sa kõige enam hindad, näitab, kes sa tegelikult oled.
2806160061	Silm on nagu lamp, mis valgustab ihu. Niisiis, kui su silm on terve, siis on kogu su ihul valgus.
280617007d	Aga kui su silm on kuri, on kogu su ihu pimeduses. Kui „valgus“, mis sul on, on tegelikult pimedus, kui pime see siis on!
2806180099	Keegi ei saa teenida kaht isandat. Sa kas vihkad üht ja armastad teist või oled pühendunud ühele ja põlgad teist. Te ei saa teenida Jumalat ja Raha.
28061900df	Sellepärast ma ütlengi teile, et ärge muretsege oma elu pärast. Ärge muretsege sellepärast, mida süüa või mida juua või missugused rõivad selga panna. Kas elu ei ole olulisem kui toit ja ihu olulisem kui rõivad?
28061a0097	Pange tähele linde − nad ei külva ega lõika ega hoia toidust aitades, sest teie taevane Isa toidab neid. Kas teie ei ole rohkem väärt kui nemad?
28061b003a	Kes teist suudaks muretsemisega oma elule minutigi lisada?
28061c0093	Ja miks te muretsete rõivaste pärast? Vaadake kauneid lilli väljal. Vaadake, kuidas nad kasvavad: nad ei tee rasket tööd, nad ei ketra lõnga.
28061d0069	Aga ma ütlen teile, isegi Saalomon kogu oma hiilguses ei olnud riietatud nii, nagu üks neist lilledest.
28061e00a4	Niisiis, kui Jumal ehib sedasi väljal heina, mis täna on ja homme visatakse tulle, kas ta siis ei tee palju enam teie heaks, te inimesed, kes nii vähe usaldavad?
28061f0070	Ärge siis muretsege, öeldes: „Mida me sööme?“ või „Mida me joome?“ või „Mida me selga paneme?“
2806200058	Kõiki neid asju taotlevad paganad, aga teie taevane Isa teab kõike, mida teil vaja on.
280621004d	Taotlege kõigepealt tema riiki ja õiget eluviisi ning teile antakse kõike.
280622007e	Seega ärge muretsege homse pärast, sest homne päev suudab ise enda eest muretseda. Igas päevas on juba piisavalt halba.“
280701003b	„Ärge mõistke kohut, et teie üle kohut ei mõistetaks.
28070200c4	Sest samasugust mõõdupuud, mida kasutate teiste üle kohtu mõistmiseks, kasutatakse ka teie üle kohtu mõistmiseks ning selle mõõduga, millega teie teistele mõõdate, mõõdetakse ka teile.
2807030059	Miks sa näed pindu, mis on su venna silmas? Kas sa ei näe palki, mis on su enda silmas?
2807040073	Kuidas sa saad öelda oma vennale: „Luba, ma võtan selle pinnu su silmast välja“, kui su enda silmas on palk?
2807050089	Sa oled silmakirjalik! Kõigepealt kaota palk oma silmast. Siis oled võimeline selgelt nägema, et võtta oma venna silmast pind välja.
2807060098	Ärge andke koertele seda, mis on püha. Ärge visake pärleid sigadele, et sead ei tallaks neid jalge alla ning koerad ei pöörduks ega ründaks teid.
280707004c	Paluge, ja teile antakse; otsige, ja te leiate; koputage, ja teile avatakse.
2807080055	Igaüks, kes palub, see saab; kes otsib, see leiab, ja kes koputab, sellele avatakse.
280709003c	Kas keegi teist annaks oma pojale kivi, kui ta küsib leiba?
28070a002a	Või annaks talle mao, kui ta küsib kala?
28070b0098	Niisiis, kui isegi teie, kes olete kurjad, oskate anda häid asju oma lastele, kui palju enam annab teie taevane Isa häid asju neile, kes teda paluvad.
28070c0066	Käitu teistega nii, nagu sa tahad, et nemad sinuga käituksid. See võtab kokku seaduse ja prohvetid.
28070d006e	Minge sisse kitsast uksest. Sest avar on uks ja lai on tee, mis viib hukatusse, ja sellel teel käivad paljud.
28070e0057	Kuid kitsas on värav ja raske on tee, mis viib ellu, ning selle leiavad vaid vähesed.
28070f0061	Olge valvel valeprohvetite suhtes, kes tulevad lambanahas, kuid kes seesmiselt on tigedad hundid.
2807100062	Te tunnete nad ära nende viljast. Kas kibuvitstest saadakse viinamarju või ohakatest viigimarju?
2807110048	Niisiis, iga hea puu annab head vilja, samas halb puu annab halba vilja.
2807120037	Hea puu ei saa anda halba vilja ja halb puu head vilja.
2807130044	Iga puu, mis ei kanna head vilja, raiutakse maha ja visatakse tulle.
280714002b	Niisiis, te tunnete nad ära nende viljast.
2807150081	Mitte igaüks, kes ütleb mulle: „Issand, Issand“, ei saa taevariiki; saavad ainult need, kes täidavad mu taevase Isa tahet.
28071600ce	Paljud ütlevad mulle viimsel kohtupäeval: „Issand, Issand, kas me ei kuulutanud sinu nimel prohvetlikult, kas me ei ajanud sinu nimel välja kurje vaime, kas me ei teinud sinu nimel palju imetegusid?“
2807170072	Siis ma ütlen neile: „Ma ei ole teid kunagi tundnud. Minge minu juurest ära, teie, kes teete kurje tegusid!“
280718006f	Igaüks, kes kuuleb minu sõnu ja teeb nende järgi, on nagu arukas mees, kes ehitas oma maja tugevale kaljule.
2807190086	Sadas paduvihma, tekkis üleujutus ja vali tuul puhus vastu maja, kuid sellega ei juhtunud midagi, sest selle aluseks oli tugev kalju.
28071a0069	Igaüks, kes kuuleb minu sõnu, aga ei tee nende järgi, on nagu rumal mees, kes ehitas oma maja liivale.
28071b006c	Sadas paduvihma, tekkis üleujutus ja vali tuul puhus vastu maja ning see varises, kukkus täiesti kokku.“
28071c0057	Kui Jeesus lõpetas nende teemade selgitamise, oli rahvas tema õpetusest hämmastunud,
28071d0051	sest ta õpetas nagu see, kellel on võim, mitte nagu nende vaimulikud õpetajad.
280801003e	Suured rahvahulgad järgisid Jeesust, kui ta mäelt alla tuli.
2808020077	Üks pidalitõbine lähenes talle, tuli ja kummardas teda ning ütles: „Issand, kui sa tahad, palun tervenda mind!“
2808030080	Jeesus sirutas käe ja puudutas teda sellega. „Ma tahan,“ ütles ta. „Saa terveks!“ Mees sai kohe pidalitõvest terveks.
280804009f	„Vaata, et sa kellelegi ei räägi,“ ütles Jeesus talle. „Mine ja näita ennast preestrile ning vii avalikuks tõenduseks ohver, mida Mooses käskis.“
280805004c	Kui Jeesus jõudis Kapernauma, tuli tema juurde sadakonnaülem ja palus abi:
2808060054	„Issand, mu sulane on kodus pikali ega suuda liigutada. Ta on kohutavas piinas.“
2808070031	„Ma tulen ja teen ta terveks,“ vastas Jeesus.
2808080086	Sadakonnaülem lausus: „Issand, ma ei ole ära teeninud, et sa mu kodu külastaksid. Ütle lihtsalt sõna ja mu sulane saab terveks.
28080900e8	Sest ma ise olen ülemate võimu all, kuigi ka minu käsutuses on sõdureid. Kui ma käsin üht: „Mine!“, siis ta läheb. Kui käsin teist: „Tule!“, siis ta tuleb. Ma ütlen oma sulasele: „Tee seda!“, ja ta teeb seda.“
28080a00a5	Kui Jeesus kuulis tema sõnu, oli ta jahmunud. Ta ütles neile, kes teda järgisid: „Ma ütlen teile tõtt: ma pole sellist kindlat usku leidnud kusagil Iisraelis.
28080b0072	Ma ütlen teile, et palju tulevad idast ja läänest ning istuvad taevariigis koos Aabrahami, Iisaki ja Jaakobiga.
28080c006d	Aga kuningriigi pärijad heidetakse välja äärmisesse pimedusse, kus on nutmine ja hammaste kiristamine.“
28080d00a5	Siis ütles Jeesus sadakonnaülemale: „Mine koju. Kuna sa uskusid, et see võib toimuda, siis on sinu palutu täide läinud.“ Sulane sai terveks selsamal hetkel.
28080e0060	Kui Jeesus jõudis Peetruse koju, nägi ta, et Peetruse ämm oli kõrge palavikuga voodis haige.
28080f006b	Jeesus puudutas naise kätt ja palavik lahkus temast. Naine tõusis üles ja hakkas talle toitu valmistama.
28081000af	Kui saabus õhtu, tõid paljud Jeesuse juurde neid, kes olid kurjadest vaimudest vaevatud. Jeesus käskis vaime ja sundis nad lahkuma ning tegi terveks kõik, kes olid haiged.
280811006f	Nii täitus see, mida prohvet Jesaja ütles: „Ta tervendas meie vaevused ja vabastas meid meie haigustest.“
2808120070	Kui Jeesus nägi enda ümber kogunenud rahvahulka, andis ta korralduse, et nad läheksid järve teisele kaldale.
2808130079	Üks vaimulikest õpetajatest lähenes talle ja ütles: „Õpetaja, ma tahan järgida sind kõikjale, kuhu sa lähed!“
