0100000009	1 Mosebok
01011500c6	Och Gud skapade stora hwalar, och allahanda lefwande och kräkande djur, som watnet af sig gör, hwart efter sin art, och allahanda fjäderfoglar, hwart efter sin art. Och Gud såg, at det war godt.
0101160081	Och wälsignade dem, och sade: Warer fruktsame, och förökens, och upfyller hafsens watn, och foglarna föröke sig på jordene.
010117002e	Och wardt af afton och morgon den femte dagen.
01011800a0	Och Gud sade: Göre jorden af sig lefwande djur, hwart efter sin art, fänad, kräkande djur, och wilddjur på jordene, hwart efter sin art. Och det skedde så.
01011900a2	Och Gud gjorde wilddjur på jordene, hwart efter sin art, fänad efter sin art, allahanda kräkande djur på jordene efter sin art. Och Gud såg, at det war godt.
01011a00ee	Och Gud sade: Låt oss göra Menniskona til et beläte, det oss likt är, den råda skall öfwer fiskarna i hafwet, och öfwer foglarna under himmelen, och öfwer fänaden, och öfwer hela jordena, och öfwer allt som kräker på jordene.
01011b0073	Och Gud skapade menniskona sig till et beläte, til Guds beläte skapade han honom, Man och Qwinno skapade han dem.
01011c00f8	Och Gud wälsignade dem, och sade til dem: Warer fruktsame, och föröker eder, och upfyller jordena, och hafwer henne under eder, och råder öfwer fiskarna i hafwet, och öfwer foglarna under himmelen, och öfwer all djur, som kräla på jordene.
01011d00ae	Och Gud sade: Si, jag hafwer gifwit eder allahanda örter, som frö hafwa på hela jordene, och allahanda fruktsam trä, och trä, som frö hafwa i sig sjelfwo, eder til mat.
01011e00c0	Och allom djurom på jordene, och allom foglom under himmelen, och allo thy, som kräker på jordene, och lif hafwer, at de skola hafwa allahanda gröna örter til at äta. Och det skedde så.
01011f007b	Och Gud såg på allt det han gjort hade, och si, det war allt ganska godt. Och wardt af afton och morgon den sjette dagen.
0102010039	Så wardt nu himmel och jord fullkomnad med all sin här.
0102020088	Och Gud fullkomnade på sjunde dagenom sin werk, som han gjort hade, och hwilade på sjunde dagenom af all sin werk, som han gjort hade.
0102030080	Och wälsignade sjunde dagen, och helgade honom, derföre, at han på honom hwilade af all sin werk, som Gud skapade och gjorde.
010204006f	Alltså är himmel och jord tilkommen, då de skapade wordo på den tid, då HERren Gud gjorde himmel och jord.
01020500c4	Förra än någor stjelk war på markene, och förra än någor ört wäxte på jordene; förty HERren Gud hade än då intet låtit regna på jordene, och ingen menniska war, som brukade jordena.
010206003a	Men en dimba gick up af jordene, och watnade alla markena.
010207008d	Och HERren Gud gjorde menniskona af jordenes stoft, och inblåste uti hans näso en lefwande anda, och så wardt menniskan en lefwande själ.
010208006b	Och HERren Gud planterade en lustgård uti Eden öster ut, och satte der in menniskona, som han gjort hade.
01020900ac	Och HERren Gud lät upwäxa af jordene allahanda trä, lustig til at se och god til at äta; och lifsens trä midt i lustgårdenom, och kundskapsens trä på godt och ondt.
01020a005e	Och utaf Eden gick en ström til at watna lustgården, och han delade sig i fyra hufwudfloder.
01020b004e	Den förste kallas Pison, den löper om hela Hawila land, och der finnes guld.
01020c0059	Och dess landes guld är kosteligit, och der finnes Bedellion, och den ädle stenen Onix.
01020d0041	Den andre floden heter Gihon, den löper kring om hela Ethiopien.
01020e005f	Den tredje floden kallas Hiddekel, den löper fram för Assyrien. Den fjerde floden är Phrath.
01020f006d	Och HERren Gud tog menniskona, och satte honom in uti lustgården Eden, at han honom bruka och bewara skulle.
010210005a	Och HERren Gud böd menniskona, och sade: Du skalt äta af allahanda trä i lustgårdenom;
0102110078	Men af kundskapsens trä på godt och ondt skalt du icke äta: förty, på hwad dag du deraf äter, skalt du döden dö.
010212007e	Och HERren Gud sade: Det är icke godt, at menniskan är allena: Jag will göra honom ena hjelp, den sig til honom hålla må.
0102130103	Som nu HERren Gud gjort hade af jordene allahanda djur på markene, och allahanda foglar under himmelen, hade han dem fram för menniskona, at han skulle se, huru han skulle nämna dem: Ty, såsom menniskan allahanda lefwande djur nämnde, så skulle de heta.
01021400bb	Och menniskan gaf hwart och et fänad, och foglomen under himmelen, och djuren på markene, sina namn. Men till menniskone wardt icke funnen någon hjelp, den sig til honom hålla måtte.
0102150086	Då lät HERren Gud falla en tung sömn på menniskona, och wid han sof, tog han et af hans sidoref, och upfylte kött i samma staden.
0102160071	Och HERren Gud byggde ena Qwinno utaf refwet, som han uttagit hade af menniskone, och hade henne fram för honom.
0102170090	Då sade menniskan: Detta är dock ben af minom benom, och kött af mino kötte, hon skall heta Manna, derföre, at hon är tagen utaf mannenom.
0102180070	Fördenskull skall en man öfwergifwa fader och moder, och blifwa wid sina hustru, och skola warda til et kött.
0102190049	Och de woro både nakne, menniskan och hans hustru, och de blygdes intet.
01030100b4	Och ormen war listigare än all djur på jordene, som HERren Gud gjort hade, och sade til qwinnona: Ja, skulle Gud hafwa sagt, I skolen icke äta af allahanda trä i lustgårdenom?
010302004f	Då sade qwinnan til ormen: Wi äte af de träs frukt, som är i lustgårdenom;
010303008c	Men af frukten af det trät, som är midt i lustgårdenom, hafwer Gud sagt: Äter icke deraf, och kommer icke heller derwid, at I icke dön.
010304003b	Då sade ormen til qwinnona: Ingalunda skolen I döden dö.
0103050081	Förty Gud wet, at på hwad dag I äten deraf, skola edor ögon öpnas, och I warden såsom Gud, wetandes hwad godt och ondt är.
01030600d5	Och qwinnan såg til, at trät war godt at äta af, och ljufligit uppå se, och at det et lustigt trä war, efter det gaf förstånd; Och tog utaf fruktene, och åt, och gaf desslikes sinom man deraf, och han åt.
0103070080	Då öpnades bägges deras ögon, och de wordo warse, at de woro nakne; Och de bundo tilhopa fikonalöf, och gjorde sig skörte.
01030800b2	Och de hörde HERrans Guds röst gångandes i lustgårdenom, då dagen swalkades; och Adam undstack sig, med sine hustru, för HERrans Guds ansikte, ibland trän i lustgårdenom.
010309003f	Och HERren Gud kallade Adam, och sade till honom: Hwar äst du?
01030a0073	Och han sade: Jag hörde dina röst i lustgårdenom, och fruktade mig, ty jag är naken, derföre undstack jag mig.
01030b009b	Han sade: Ho hafwer låtit dig förstå, at du äst naken? Hafwer du icke ätit af det trä, om hwilket jag dig budit hafwer, at du deraf icke äta skulle?
01030c0057	Då sade Adam: Qwinnan, som du til mig gifwit hafwer, gaf mig af trät, så at jag åt.
01030d006a	Då sade HERren Gud til qwinnona: Hwi hafwer du det gjort? Qwinnan sade: Ormen beswek mig, så at jag åt.
01030e00aa	Och HERren Gud sade til ormen: Efter du detta gjort hafwer, förbannad ware du öfwer all djur på markene: Du skalt gå på din buk, och äta jord i alla dina lifsdagar.
01030f00b1	Och jag skall sätta fiendskap emellan dig och qwinnona, och emellan dina säd och hennes säd. Den samme skall söndertrampa ditt hufwud, och du skalt stinga honom i hans häl.
01031000c8	Och till qwinnona sade han: Jag skall få dig mycken wedermödo, då du aflat hafwer. Du skalt föda din barn med sweda, och din wilje skall dinom manne undergifwen wara, och han skall wara din herre.
01031100f0	Och til Adam sade han: Efter du lydde dine hustrus röst, och åt af trät, om hwilket jag dig böd och sade: Du skalt icke äta deraf; förbannad ware marken för dina skull, med bekymmer skalt du nära dig på henne i alla dina lifsdagar.
010312004d	Törne och tistlar skall hon bära dig, och du skalt äta örter på markene.
010313009a	Du skalt äta ditt bröd i dins anletes swett, til dess du warder åter til jord igen, der du af tagen äst; ty du äst jord, och til jord skalt du warda.
010314005b	Och Adam kallade sine hustrus namn Hewa, derföre, at hon en moder är åt allom lefwandom.
0103150054	Och HERren Gud gjorde Adam och hans hustru kjortlar af skinn, och klädde uppå dem.
01031600d2	Och HERren Gud sade: Si, Adam är worden såsom en af oss, och wet hwad godt och ondt är. Men nu, på det han icke uträcka skall sina hand, och taga desslikes af lifsens trä, och äta, och lefwa ewinnerliga;
0103170069	Då lät HERren Gud honom utu lustgårdenom Eden, på det han skulle bruka jordena, der han af tagen war.
0103180081	Och dref Adam ut: Och satte för lustgården Eden Cherubim, med et bart huggande swärd, til at förwara wägen til lifsens trä.
0104010069	Och Adam kände sina hustru Hewa, och hon aflade och födde Cain, och sade: Jag hafwer fått HERrans man.
0104020066	Och hon födde framdeles Habel hans broder. Och wardt Habel en fåraherde, men Cain wardt en åkerman.
0104030059	Och det begaf sig efter några dagar, at Cain offrade HERranom gåfwor af jordenes frukt.
0104040085	Och Habel offrade desslikes af förstlingene af sin får, och af deras talg: Och HERren Gud såg täckeliga til Habel och hans offer.
010405006f	Men til Cain och hans offer såg han icke täckeliga. Då wardt Cain swårliga wred, och hans hy förwandlades.
0104060045	Sade HERren til Cain: Hwi äst du wred? Eller hwi förwandlas din hy?
01040700bc	Är det icke så? Om du äst from, så äst du tacknämlig; men äst du icke from, så blifwer icke synden säker eller fördold: men städ henne icke hennes wilja, utan råd öfwer henne.
010408008f	Då talade Cain med sin broder Habel. Och det begaf sig, då de woro på markene, gaf Cain sig up emot sin broder Habel, och slog honom ihjäl.
0104090077	Då sade HERren til Cain: Hwar är din broder Habel? Han swarade: Jag wet det icke, skall jag taga wara på min broder?
01040a0062	Och han sade til honom: Hwad hafwer du gjort? Dins broders blods röst ropar til mig utaf jordene.
01040b0070	Och nu, förbannad ware du på jordene, som sin mun öpnat hafwer, och tagit dins broders blod utu dina händer.
01040c007b	Då du brukar jordena, skall hon icke strax gifwa dig efter sin förmågo; ostadig och flyktig skalt du blifwa på jordene.
01040d005b	Och Cain sade til HERran: Min missgerning är större, än at hon må mig förlåten warda.
01040e00d6	Si, du drifwer mig i dag utaf landet, och jag måste gömma mig undan ditt ansikte, och måste ostadig och flyktig blifwa på jordene. Så warder mig gående, at hwilken som hälst mig finner, han slår mig ihjäl.
01040f00c6	Men HERren sade til honom: Nej, utan den som slår Cain ihjäl, det skall sjufalt hämnadt warda. Och HERren satte et tekn på Cain, at hwilken som hälst honom funne, skulle icke slå honom ihjäl.
0104100061	Och så gick Cain ifrå HERrans ansikte, och bodde i det landet Nod öster ut, på hinsidan Eden.
0104110086	Och Cain kände sina hustru, och hon aflade och födde Hanoch, och han byggde en stad, hwilken han nämnde efter sin sons namn Hanoch.
0104120061	Men Hanoch födde Yrad: Yrad födde Mahujael: Mahujael födde Methusael: Methusael födde Lamech.
0104130042	Men Lamech tog sig twå hustrur: Den ena het Ada, den andra Zilla.
0104140050	Och Ada födde Jabal, af honom kommo de som bodde under tjäll, och hade boskap.
010415004b	Och hans broder het Jubal, af honom kommo de, som brukade harpor och pipor.
0104160087	Födde ock desslikes Zilla, nemliga Tubalkain, som war en mästare i allahanda koppars och jerns werk; och Tubalkains syster war Naema.
01041700ba	Och Lamech sade til sina hustrur Ada och Zilla: I Lamechs hustrur, hörer mina röst, och märker hwad jag säger: Jag hafwer dräpit en man mig til sår, och en yngling mig til blånad.
0104180040	Cain skall warda hämnad sjufalt, men Lamech sju och sjutiofalt.
010419009c	Adam kände åter sina hustru, och hon födde en son, och kallade honom Seth, sägandes: Gud hafwer satt mig en annor säd för Habel, som Cain ihjäl slog.
01041a0072	Wardt också Seth född en son, den han kallade Enos. Och på den samma tiden begynte man predika om HERrans namn.
0105010076	Detta är boken af menniskones slägt, på den tiden, då Gud skapte menniskona, och gjorde henne efter Guds liknelse.
0105020079	Til man och qwinno skapade han dem, och wälsignade dem, och kallade deras namn menniska, på den tiden de wordo skapade.
0105030075	Och Adam war hundrade och tretio år gammal, och han födde en son, som hans beläte lik war, och kallade honom Seth.
0105040067	Och wordo hans dagar, sedan han hade födt Seth, åttahundrade år, och han födde söner och döttrar.
0105050050	Och wardt tiden på allan hans ålder niohundrade och tretio år, och blef död.
0105060036	Seth war hundrade och fem år gammal, och födde Enos.
010507004d	Och lefde derefter åttahundrade och sju år, och födde söner och döttrar.
010508004e	Och wardt tiden på allan hans ålder niohundrade och tolf år, och blef död.
010509002d	Enos war niotio år gammal, och födde Kenan.
01050a0050	Och lefde derefter åttahundrade och femton år, och födde söner och döttrar.
01050b0045	Så at hans hela ålder wardt niohundrade och fem år, och blef död.
01050c0033	Kenan war sjutio år gammal, och födde Mahalaleel.
01050d0051	Och lefde derefter åttahundrade och fyratio år, och födde söner och döttrar.
01050e0045	Så at hans hela ålder wardt niohundrade och tio år, och blef död.
01050f003b	Mahalaleel war sextio och fem år gammal, och födde Jared.
010510004d	Och lefde sedan åttahundrade och tretio år, och födde söner och döttrar.
010511004e	Så at hans hela ålder wardt åttahundrade fem och niotio år, och blef död.
010512003f	Jared war hundrade tu och sextio år gammal, och födde Henoch.
0105130045	Och lefde derefter åttahundrade år, och födde söner och döttrar.
010514004b	Så at hans hela ålder wardt niohundrade sextio och tu år, och blef död.
0105150038	Henoch war sextio fem år gammal, och födde Methusalah.
010516005c	Och förde et gudeligit lefwerne i trehundrade år derefter, och födde söner och döttrar.
010517003d	Så at hans hela ålder wardt trehundrade sextio och fem år.
0105180061	Och efter han förde et gudeligit lefwerne, tog Gud honom bort, och han wardt sedan intet sedder.
0105190047	Methusalah war hundrade åttatio och sju år gammal, och födde Lamech.
01051a0055	Och lefde derefter i sjuhundrade åttatio och tu år, och födde söner och döttrar.
01051b004c	Så at hans hela ålder wardt niohundrade sextio och nio år, och blef död.
01051c0042	Lamech war hundrade åttatio och tu år gammal, och födde en son;
01051d0087	Och kallade honom Noah, och sade: Denne här warder oss tröstandes i wåra mödo och arbete på jordene, den HERren förbannat hafwer.
01051e0052	Derefter lefde han femhundrade niotio och fem år, och födde söner och döttrar.
01051f004c	Så at hans hela ålder wardt sjuhundrade sjutio och sju år, och blef död.
0105200040	Noah war femhundrade år gammal, och födde Sem, Ham och Japhet.
0106010047	Då menniskorna begynte förökas på jordene, och födde sig döttrar:
010602006f	Då sågo Guds söner menniskornas döttrar, at de woro dägeliga, och togo til hustrur hwilka de hälst wille.
010603008f	Då sade HERren: Menniskorna wilja icke mer låta min Anda straffa sig, ty de äro kött. Jag will ännu gifwa dem hundrade och tjugu års dag.
01060400b4	På den tiden woro ock tyranner på jordene, förty, sedan Guds söner ingingo til menniskors döttrar, och de födde barn, wordo deraf wäldige och fast beryktade män i werldene.
010605008e	Men då HERren såg, at menniskones ondska war stor på jordene, och all hennes hjertas upsåt och tanke war alltid benägen til det ondt war:
0106060067	Då ångrade HERranom, at han hade gjort menniskona på jordene, och det bekymrade honom i hans hjerta.
01060700d9	Och HERren sade: Menniskona, som jag skapade, skall jag förgöra utaf jordene, ifrå mennisko allt intil fänaden, och intil matkar, och intil foglarna under himmelen: Förty det ångrar mig, at jag dem gjort hafwer.
0106080022	Men Noah fann nåde för HERranom.
0106090068	Detta är Noahs slägt: Noah war en from man och fullkomlig, och förde et gudeligit lefwerne i sin tid.
01060a0028	Och födde tre söner, Sem, Ham, Japhet.
01060b0040	Men jorden war förderfwad för Guds åsyn, och full med orätt.
01060c006b	Då såg Gud på jordena, och si, hon war förderfwad, ty allt kött hade förderfwat sin wäg på jordene.
01060d0094	Då sade Gud til Noah: Allt kötts ändalykt är kommen för mig, ty jorden är full med orätt af dem, och si, jag will förderfwa dem med jordene.
01060e0056	Gör dig en ark utaf furuträ, och gör kamrar derinne, och beka honom utan och innan.
01060f006e	Och gör honom alltså: Trehundrade alnar skall wara längden, femtio alnar bredden, och tretio alnar högden.
01061000b6	Et fenster skalt du göra der ofwan uppå, en aln stort. Dörene skalt du sätta midt på sidone: och skall han hafwa tre botnar, en nederst, den andra midt uti, den tredje öfwerst.
01061100b2	Ty si, jag skall låta komma en wattuflod öfwer jordena, til at förderfwa allt kött, der en lefwande ande uti är, under himmelen, och allt det på jordene är skall förgås.
0106120083	Men med dig will jag göra et förbund, och du skalt gå in i arken med dina söner, med dine hustru, och med dina söners hustrur.
0106130088	Och du skalt låta komma in i arken allahanda djur af allt kött, ju et par, mankön och qwinkön, at de måga blifwa lefwande när dig.
01061400cc	Af foglarna efter deras slag, af fänadenom efter sitt slag, och af allahanda kräkande djur på jordene efter deras slag. Af allo desso skall ju et par ingå til dig, på det at de skola blifwa lefwande.
010615007c	Och du skalt til dig taga allahanda mat, som man tärer, och skalt samka honom til dig, at han warder dig och dem til födo.
0106160028	Och Noah gjorde allt det Gud böd honom.
010701007e	Och HERren sade til Noah: Gack in uti arken, du och ditt hela hus, ty dig hafwer jag sett rättfärdigan för mig i denna tid.
0107020081	Af allahanda ren fänad tag til dig, ju sju och sju, mankön och qwinkön; men af orenom fänad, ju et par, mankön och qwinkön.
0107030083	Sammalunda af foglarna under himmelen, ju sju och sju, mankön och qwinkön, på det at säd må blifwa lefwandes på hela jordene.
01070400ab	Ty ännu efter sju dagar skall jag låta regna på jordene fyratio dagar och fyratio nätter, och förgöra utaf jordene allt det som warelse hafwer, det jag gjort hafwer.
010705002b	Och Noah gjorde allt det HERren böd honom.
010706004b	Och han war sexhundrade år gammal, då flodenes watn flödade på jordene.
010707006a	Och han gick in i arken med sina söner, sine hustru, och sina söners hustrur, för flodenes watns skull.
010708005b	Af den rena fänaden, och af den orena, af foglar, och af allt det som kräker på jordene,
0107090058	Gingo til honom in i arken, parom, ju mankön och qwinkön, såsom Gud honom budit hade.
01070a0045	Och då de sju dagar framlidne woro, kom flodsens watn uppå jordene.
01070b00bb	Uti de sjettehundrade årena i Noahs ålder, på sjuttonde dagenom, i den andra månadenom, det är den dagen, då upbrusto alla stora djupsens källor, och himmelens fenster öpnade sig.
01070c0040	Och et regn kom på jordene i fyratio dagar och fyratio nätter.
01070d0087	Rätt på samma dagen gick Noah in i arken, med Sem, Ham och Japhet sina söner, och med sine hustru, och med tre sina söners hustrur.
01070e00d0	Dertil allahanda djur efter sitt slag, allahanda fänad efter sitt slag, och allt det på jordene kräker efter sitt slag, och allahanda foglar efter sitt slag, allt det flyga kunde, och allt det wingar hade:
01070f0057	Det gick allt til Noah in uti arken, parom af allt kött, der en lefwande ande uti war.
0107100087	Och det war mankön och qwinkön, utaf allahanda kött, och gingo derin, såsom Gud honom budit hade, och HERren lät igen efter honom.
010711007a	Då kom floden fyratio dagar på jordene, och watnet wäxte, och lyfte arken up, och förde honom högt up öfwer jordena.
010712005f	Så fick då watnet öfwermagt, och wäxte swårliga på jordene, så at arken dref på watnet.
0107130078	Och watnet fick öfwerhand, och wäxte så swåra på jordene, at all hög berg under hela himmelen wordo öfwertäckte.
0107140046	Femton alnar högt gick watnet öfwer bergen, som öfwertäckte wordo.
0107150089	Då förgicks allt kött, som på jordene kräker, foglar, fänad, wilddjur, och allt det, som sig röre på jordene, och alla menniskor.
0107160042	Allt det, som en lefwande anda hade på thy torra, det blef dödt.
01071700f3	Så wardt då förgjordt allt det på jordene war, ifrå menniskone allt intil fänaden, intil kräkande djur, och intil foglarna under himmelen, allt wardt förgjordt utaf jordene. Allena Noah blef behållen, och hwad med honom war i arkenom.
0107180036	Och watnet stod på jordene hundrade och femtio dagar.
0108010095	Då tänkte Gud på Noah, och på all djur, och på all fänad, som med honom i arkenom war, och lät komma wäder på jordene, och watnet minskades.
0108020065	Och djupsens källor förstoppades, så ock himmelens fenster, och regnet af himmelen wardt stilladt.
01080300b9	Och watnet förlopp utaf jordene mer och mer, och wardt mindre, efter hundrade och femtio dagar. På sjuttonde dagenom i den sjunde månadenom blef arken ståndandes på de berg Ararat.
010805009a	Men watnet förlopp framgent af, och wardt ju mindre, allt intil tionde månaden. På första dagenom i tionde månadenom syntes det öfwersta på bergen.
010806004a	Efter fyratio dagar lät Noah fenstret up på arkenom, som han gjort hade.
0108070067	Och lät flyga en korp ut, och han flög bort åter och fram, til dess at watnet aftorkades af jordene.
010808006f	Sedan lät han ena dufwo utflyga ifrå sig, på det han skulle försöka, om watnet på jordene war förfallet.
01080900bc	Då dufwan fann icke hwar hon kunde hwila sin fot uppå, kom hon igen til honom i arken, ty watnet war ännu på hela jordene. Så räckte han handena ut, och tog henne til sig in i arken.
01080a0051	Och bidde ännu andra sju dagar, och lät än en tid flyga ut dufwona af arkenom.
01080b008b	Hon kom til honom emot aftonen, och si, hon förde i sin mun et afbrutit oliwelöf. Så förnam Noah, at watnet war förfallet på jordene.
01080c006a	Men han töfwade ännu andra sju dagar, och lät så ena dufwo flyga ut, hwilken intet igen kom til honom.
01080d00c3	På första och sjettehundrade årena af Noahs ålder, på första dagenom i första månadenom, förtorkades watnet på jordene. Då lät Noah taket up på arkenom, och såg, at jorden war torr.
01080e005b	Så wardt då jorden alstinges torr på sjunde och tjugonde dagenom i den andra månadenom.
01080f0021	Då talade Gud til Noah och sade:
0108100053	Gack utur arkenom, du och din hustru, dine söner och dina söners hustrur med dig.
01081100ea	Allahanda djur, som när dig äro, utaf hwarjo och eno kötte, både i foglar och fänad, och det som på jordene kräker, det gånge ut med dig. Och förkofrer eder uppå jordene, och warer fruktsamme, och föröker eder på jordene.
0108120050	Så gick Noah ut med sina söner, och med sine hustru, och sina söners hustrur.
0108130099	Dertil allahanda djur, allahanda krypande, allahanda foglar, och allt det som på jordene kräker, det gick utur arkenom, och hwart och et til sitt slag.
010814008b	Och Noah byggde HERranom et altare, och tog utaf allahanda ren fänad, och utaf allahanda rena foglar, och offrade brännoffer på altaret.
0108150122	Och HERren luktade en söt lukt, och sade i sitt hjerta: Ingalunda skall jag mer härefter förbanna jordena för menniskones skull, förty menniskones hjertas upsåt är ondt allt ifrå ungdomen. Och skall jag nu icke mer härefter slå allt det som lefwandes är, såsom jag gjort hafwer.
0108160079	Så länge jorden står, skall icke återwända sående och upskärande, köld och hete, sommar och winter, dag och natt.
010901006b	Och Gud wälsignade Noah och hans söner, och sade: Warer fruktsamme, och förökens, och upfyller jordena.
01090200bb	Edor fruktan och rädsla ware öfwer all djur på jordene, öfwer alla foglar under himmelen, och öfwer allt det som kräker på jordene, och alle fiskar i hafwet ware gifne i edra hand.
0109030037	Allena äter icke kött, det ännu lefwer i sinom blod.
01090500a1	Förty, jag will ock hämnas öfwer edar kropps blod, och will hämnat uppå all djur, och will hämnas menniskones lif på hwarjo och ena mennisko, eho hon är.
0109060086	Den som utgjuter menniskoblod, hans blod skall ock af menniskom utgjutit warda. Förty Gud hafwer gjort menniskona efter sitt beläte.
0109070057	Warer fruktsamme, och förökens, och förkofrer eder på jordene, at I upfyllen henne.
0109080038	Yttermera sade Gud till Noah, och hans söner med honom:
0109090040	Si, jag gör med eder et förbund, och med edra säd efter eder;
01090a00c3	Och med allom lefwandom djurom som med eder äro, i foglar, i fänad, och i allom djurom, som på jordene när eder äro: Af allt det som utur arkenom gångit är, ehwad djur det är på jordene.
01090b00cb	Och will göra mitt förbund med eder i så måtto, at härefter skall nu icke mer allt kött förderfwadt warda med flodsens watn, och skall härefter ingen mer flod komma, den jordena förderfwa skall.
01090c0093	Och Gud sade: Detta är teknet til mitt förbund, som jag gjort hafwer emellan mig och eder, och all lefwande djur med eder härefter til ewig tid.
01090d0098	Min båga hafwer jag satt i skynom, den skall wara teknet til mitt förbund emellan mig och eder, och all lefwande djur med eder härefter til ewig tid.
01090e005a	Och när så sker, at jag förer skyn öfwer jordena, så skall man se min båga i skynom.
01090f00b5	Och så skall jag tänka på mitt förbund emellan mig och eder, och all lefwande djur i hwart och et kött, at icke mer skall komma flod härefter, den allt kött förderfwa skall.
01091000b8	Derföre skall min båge wara i skynom, at jag skall se uppå honom, och tänka uppå det ewiga förbund emellan Gud och all lefwande djur i hwarjo och eno kötte, som på jordene är.
0109110087	Det samma sade ock Gud til Noah: Detta skall wara teknet til det förbund, som jag gjort hafwer emellan mig och allt kött på jordene.
0109120062	Noahs söner, som utur arkenom gingo, äro desse: Sem, Ham, Japhet. Men Ham är fadren til Canaan.
010913003e	Dessa tre äro Noahs söner, af hwilkom all land besatt wordo.
0109140042	Och Noah begynte til och wardt en åkerman, och plantade wingård.
010915004e	Och då han drack af winet, wardt han drucken, och låg oskyld uti sine hyddo.
0109160064	Då nu Ham, Canaans fader, såg sins faders blygd, sade han det bådom sinom brödrom, som ute woro.
01091700d4	Då togo Sem och Japhet et kläde, och lade på bägges deras skuldror, och gingo baklänges til, och öfwertäckte deras faders blygd, och deras ansikte war ifrå wändt, så at de deras faders blygd icke sågo.
0109180062	Som nu Noah upwaknade af sino wine, och fick weta hwad hans yngste son honom gjort hade, sade han:
0109190051	Förbannad ware Canaan, och ware en träl under alla trälar ibland hans bröder.
01091a004c	Och sade yttermera: Lofwad ware HERren Sems Gud, och Canaan ware hans träl.
01091b0053	Gud förwidge Japhet, och låte honom bo i Sems hyddor, och Canaan ware hans träl.
01091c0038	Och Noah lefde efter flodena trehundrade och femtio år.
01091d0048	Så at hans hela ålder wardt niohundrade och femtio år, och blef död.
010a010053	Detta är Noahs söners slägt: Sem, Ham, Japhet, och de födde barn efter flodena.
010a02004f	Japhets barn äro desse: Gomer, Magog, Madaj, Jawan, Thubal, Mesech och Thiras.
010a03003a	Men Gomers barn äro desse: Aseenas, Riphath och Thogarma.
010a04003d	Jawans barn äro desse: Elisa, Tharsis, Chitthim och Dodanim.
010a050064	Utaf dessom äro utspridde Hedningarnas öar i deras landom, hwar efter sitt mål, slägte och folk.
010a060035	Hams barn äro desse: Chus, Mizraim, Phut och Canaan.
010a07006a	Chus barn äro desse: Seba, Hawila, Sabtha, Raema och Sabthecha. Raemas barn äro desse: Scheba och Dedan.
010a080046	Men Ehus födde Nimrod, han begynte en wäldig herre wara på jordene.
010a09007d	Och war en wäldig jägare för HERranom. Deraf är det ordspråket: Det är en wäldig jägare för HERranom, såsom Nimrod.
010a0a004b	Och hans rikes begynnelse war Babel, Erech, Acad och Calne uti Sinear land.
010a0b0056	Utaf det landet är sedan kommen Assur, och han byggde Ninewe och Rehoboth, och Calah.
010a0c0042	Och dertil Resen emellan Ninewe och Calah: Detta är en stor stad.
010a0d0031	Mizraim födde Ludim, Anamim, Lehabim, Naphtuhim,
010a0e004b	Patrusim och Castuhim. Af hwilkom utkomne äro de Philistim och Caphthorim.
010a0f0032	Men Canaan födde Zidon sin första son, och Heth,
010a100017	Jebusi, Emori, Girgasi,
010a110012	Hiwi, Archi, Sini,
