2800000016	ማቶስ እንጂለ
28030c011d	ህካን እኮቤቺሃ እስ ኦዱ መክሶተለከ አቶተ ጋቢች አደ አኦተ ቤሉ ዮስ፤ አደ አዕዮች ኤተሮን ጠለሼ አቶተ ጭምአዕይ ጎተራን ዎረኖ፤ ጠዉ እኮጎሬ ጋበስ ጠዕታበእ ጊራን ቡሰኖ» ዬእ።
28030d006f	ህከ ወክት ኢስ ገሊላች ያህይበ ዮርዳኖስ ዛዘኖ ዋን ጠመቀሞተ አሜቾ።
28030e00a0	እኮጎሬ ያህይ «አን ኪን ጠመቀሙ ሀስሰኖኤ ቤሉ አት ሀት ኢቤቹ ጠመቀንቶተ አሜቶንት?» ይ ከሞተ ሀሾ።
28030f00c4	ኢስን «ነኡ መገኑ ሀሰኖርቹ ጉዕመንከ ዊንሹ ሀስሰኖኔቤቺሃ ቴሱ ከንቶቴኤ» ዬ ወክት ያህይ ጠዋንከስ ኢተቀም ኢሰ ጠመቆስ።
28031000df	ኢስን ጠመቀም ዊ ኣዚች ደዕል ፉሎ፤ ህከኒች ኤተሮን ሰሞ ፊልተዕይ ፈንተዕያን መገን አያኑ ሀንደዕሬገ እክ ድር ኢስ አሌን አፉዕለን ለዕዮ።
280311007a	ህከ ወክት «አን ሙንደኣምለከ ኢታም ቤቱኤ ከኒት» ይታ ላገት ሰሜች አሜቶኡ።
2804010072	ህከኒች ኤተሮን ኢስ እልብሲን ፌተነሞተ መገን አያኑ ኡለ ኡድመ መሴስ።
2804020075	ህከኔን ሸይሉ በርለከ ሸይሉ ሀንከዕርተ ሶመኞች ኤተሮን ኢሰ ጎሩ አፎስ።
280403009d	ህከ ወክት እልብሱ ኢሰ ፌተኖተ አሜች «አት መገን ቤቱ እኮንትጎሬ ህንዴ ከ ክነተ እቸተ አእ» ዬስ።
28040400b5	ጠዉ እኮጎሬ ኢስ ፈንቀሽ «‹መኑ መገን አፌች ፉልታ ላጋኒት ቤሉ ጠለዕል እቻን ሄአኖበአ› የመም ከተበሞኡ» ዬስ።
2804050098	ህከኒች ኤተሮን እልብሱ ኢሰ ጠሊለ ዬሩሳሌም ከተመ መሴስ፤ ህከኔን ዱእ ምኒ እሌ አል ፉሽ ኡርሾ
280406013e	ጠሊለ መጻፋን «‹ሎከክ ክኖን ቆዕልታበእገ ኬሳሃ አገርት ኬስ አፎተ መገኑ መላይከስ አዘዘኖ› የመም ጠሊለ መጻፋን ከተበሞኡ፤ ህካን እኮቤቺሃ አት መገን ቤቱ እኮንትጎሬ ህንዴ ዎሮ ዋልት ኡብ» ዬስ።
280407008c	ጠዉ እኮጎሬ ኢስ ፈንቀሽ «‹ቀርቹ መገኑክ ፌተንቶት› የመም ወዕናንከ ከተበሞኡ» ዬእ።
280408008e	ህከኒች ኤተሮን እልብሱ ኢሰ ሎረ ቆተ አል ፉሽ ኣዱንያ አል ዎመተ ጉዕመንከ ሎርመሰ ለሊሽ
2804090062	«ኤሳሃ ሙግይት ሰገዶንቴኤ ጎር ካን ጉዕመንከ ኣሳንኬ» ዬእ።
28040a00c8	ኢስ ፈንቀሽ «አት ሸይጣኑ ኢች ቄዕር፤ ጠሊለ መጻፋን ቀርቾ ‹መገኒሃክ ሰገድ፤ ጠለዕል እሲሃ ጠገም› የመም ከተበሞኡ» ዬእ።
28040b0071	ህከ ወክትንከ እልብሱ ኢሰ አጉሮ፤ ህትን መላይከንት አሜት ካደንቶስ።
28040c0051	ኢስ ያህይ ኡሱረሞገ ሞጮጬ ወክት ገሊለተ ኦሮዕዮ፤
28040d00b5	ጠዉ እኮጎሬ ናዝሬት ከተመ አጉር ዛብሎንለከ ንፍታሌም ባዶን ሎረ ባር መዴን ዮ «ቅፍርናሆመ» ዬኖ ከተማን ሄዕዮ።
28040e002d	ሁኩን እኮሁ ነብዬቹ እስያስ
28040f00da	«ገሊለ ባር አደ መሰኖ ዎቄ አዲን ዮርዳኖስ ዛዘኖ ዊ ዉድ አዲን ለለኖ ዛብሎን ባድ መኑ፥ ንፍታሌም ባድ መኑለከ አይሁደ እኮበእ ገሊለ መኑ
28041000b9	ሁኩ ቱንስቾን ሄአኖ ኡመቱ አበ ኑር ለዕዮ፤ ህትን ሬሆ ሀሌ ኣዜን ዮ መኒሃ ኑሩ ፉሎሰ» ጠወዕዮ ራግ ላገት ዊንቶታት።
280411009d	ህከን ወክቲች ኬሽ ኢስ «ሰሜ ዎምነቱ ሆንጠኮቤቺሃ አዕኑ ጩብችክዕኔ ፈንቀሌ» የን ተማርሱ ጀመሮ።
280412011c	ኢስ ገሊለ ባር መዲን ሃመን ለምተ አመኦሱተ ለዕዮ፤ እሰን «ጴጥሮሴ» ዬኖ ስሞኔትለከ አመስቤቱ እንድራሴት እቅ፤ ቁርጩሜተ ወሻዳእረ እኮቤቺሃ ወሻዳሰ ሎረ ባራን ኡጅተን ለዕዮ።
28041300b3	ኢስን «አሜ ኤሳሃ አዎኜኤ፤ አን ክዕኔተ ቁርጩሜተ ወሻዴነንተገን መነ መገን አደ ኤቤነንተረ አኣንክዕኔ» ዬሰ።
280414004e	እሰን ህከ ወክት ወሻደሰ አጉርት ኢሰ አዎንቶኡ።
2804150105	ህከንቤቺች ቀዉተ ህጎገን ዘብዴዎሴ እለተ እኮእሩ ዎልት ለምተ አመኦሱት ያቁብለከ ያህይ አኒንከሰን ሜጡበ እክ ጀልብ ኣዜን ቁርጩሜ ወሻደ ጎበን ለዕይ ኢስ ገኤሰ።
280416005e	እሰን ህከ ወክት አነሰለከ ጀልበሰ ጌኝአት ኢሰ አዎንቶኡ።
28041700ee	ኢስ ጭምትሰ ምናን ተማርሰንለከ መገን ዎምነት ተሽት ላገተ አዋጀን ገሊለ ባዱ ጉዕመንከ ሃመኖት እቅ፤ አደደ ጥዘነተለከ ጎግ ጥዘነተ ፈይሰኖት እቅ።
2804180157	ሁኩ ዱዱቡ ሶርይ ባዶን ጉዕማንን ሞጮጨሞቤቺሃ መኑ አደደ ጥዘናን ጥዝ ኦርጨቀንተ መነ እስበ ኤቦኡ፤ ጥዘናመ በላን ዶሮረኖ ዱሩ አፎ መኑሁ፥ ጮቱ አፎ መኑለከ ናፉ መኑ ሄዕዮ እቅ፤ ጠዉ እኮጎሬ ኢስ ጉዕመንከሰ ፈይሾ።
28041900c1	ገሊላችለከ «ቶኑ ከተመ» ዬኖ ባዲቺ፥ ዬሩሳሌሚቺ፥ ይሁዲችለከ ዮርዳኖስ ዛዘኖ ዊ ዉድ አዲች አሜቶ ኡመቱ ኢሰ አዎንቶኡ።
2805010087	ኢስ ልግብ ኡመት ለዕይ ቆተ አል ፉል ህከኔ አፉዕሌ ወክት አሳበስ እስቤቹ ሆንጠኮኡ።
2805020026	እሰንተ ተማርሱ ጀመሮ።
2805030080	ኢስ «ገዉሰ ሆፍስ መገኖን ድከኣእሩ ሰሜ ዎምነቱ እሳሃ እኮቤቺሃ ማሰአንቶእረ።
280504004c	ሻዛሩ መገኑ ሰብር ኣሰኖሰቤቺሃ ማሰአንቶእረ።
280505004e	መረርሲጭታእሩ ኡለተ ረገኣቤቺሃ ማሰአንቶእረ።
2805060075	መገን ፈይመተ ጎራይታሩለከ ሰገባእሩ መገኑ ዱሰኖሰቤቺሃ ማሰአንቶእረ።
280507004b	አሙዛእሩ መገኑ አሙዘኖሰቤቺሃ ማሰአንቶእረ።
280508004d	ነጡ ቀልቡ ዮሰሩ መገኑ ለኣቤቺሃ ማሰአንቶእረ።
2805090078	ሀራርስታእሩለከ ወገሬት አታእሩ መገን እለተ የመንታቤቺሃ ማሰአንቶእረ።
28050a007f	መገኒሃ አዘዘንቶቤቺሃ ያየንታሩ ሰሜ ዎምነቱ እሳሃ እሀኖቤቺሃ ማሰአንቶእረ።
28050b008f	«ኢ መሳን መኑ ቦሮረንክዕኔለከ ሸረንክዕኔ ክዝቢን ሱዕመክዕኔ ቤሴነኒሁ ተሽ ዩንክዕኔ።
28050c00d4	ህካን እኮቤቺሃ ሰማን ሎረ ዋገ ኣእቴነንተቤቺሃ ሙንደዕዬ፤ ተሽ ዩንክዕኔ፤ ክዕኔች ብርተ ሄኦ ነብያኑት ህትን ኦርጨቀንቶኡ» ዬእ።
28050d0135	ኢስን «አዕኑ ዱንየ አልሃ መጥኔተ፤ ጠዉ እኮጎሬ መጥንት ጤኡ ሆጋረ ሀት አኤን ጤኣገ አኤኖሴ? ህት መጥንት መቶርቺሃ ደግለልታበእቤቺሃ ቶሬናንሴ መኑ ሎካን ከደኖሴ ቤሉ መቶርቺሃ ደግለልታበአ።
28050e007f	አዕኑ ኣዱንያ አሊሃ ጉዕሚንከ ኑርሃ፤ ቆተ አሌን ዮ ከተሙ ማጠሞተ አታለኖበአ።
28050f00a1	አዪሁ ኩራዘ ለሊሽ ምኒ ኣዜን ዮ መኒሃ ጉዕሚንከ ለለኖ ቤቾን አፉሸኖ ቤሉ ሎንቆች ዎሮን አፉሸኖበአ።
280510009d	ህትን መኑ ክዕኔ ጡመ ሆጉክዕኔ ለእ ሰማን ዮ አነክዕኔ ገለትጭቶተ ክዕኔ ኑሩሁ መኒሃ ለሉን» ዬእ።
28051100fb	ህትን ኢስ «መገኑ ሙሲሃ ኣሴ ሕገለከ ነብያኑት ተማርስቶኢሃ ድጆተ አሜቾሚሃ አጉዱንከህዕኔ፤ አን እሰ ተማርስቶኢሃ አቶኖተ አሜቾም ቤሉ ድጆተ አሜቾምበአ።
28051200a4	ሀንቅንከ ያንክዕኔ፤ ኡለትለከ ሰሞሁ ህጎተ ኢለ ኩ ሕጉ ጉዕሙንኩ ዊመኖ ቤሉ ሕጊች መት እልቲ በኣበአ።
2805130156	ህካን እኮቤቺሃ አዪሁ ሕጊች ቀውሃሲ አዘዘምበጎሬለከ መኑ አዘዘመኖበእገ ተማርሴጎሬ እስ ሰሜ ዎምነቴን ጉዕሚችን ቀዉ እሀኖ፤ ጠዉ እኮጎሬ ሕገ ቶገኖሁለከ ዎሉ መኑ ሕገ ቶጋገ ተማርሰኖሁ ሰሜ ዎምነቴን ሎረ እሀኖ።
28051400c4	ህካን እኮቤቺሃ ክዕኔ ፈይመት ሕግ አስተማራችለከ ፈርሳዌ ፈይማች በተእባች ሆሮ ሰሜ ዎምነቱ ኣጌነንተበእገ ኩላንክዕኔ።
280515008e	«ዎዕኔ ዘማን መኒሃ ‹መነ ሽቶት፤ መነ ሼ አን አሌን ፈረደመኖስ› የመሞሃ ሞጮጭቴንታአ።
2805160134	እኮጎሬ አን ያሚሁ ከኒት፤ አመስ ቤቲን ኡሙዕረኖሀኒን ፈረደመኖስ፤ አመስቤቱ ቦሮረኖሁ ኦገት ዳኛኖበ ሆንጠሀኖ፤ ህትን ‹ኩ ደግለልትባሁ› ይ መነ ቦሮረኖሁ ሆሮን ጠእትበ ጊራን ፍርደ ኣአኖ።
280517008d	መገኒሃ ክትሜኖ ጠረጴዝ አሌን ክትመ ሆንጠህሳንት ወክት ኪን ኡሙዕሬሄሃ ሰውይቶንትጎሬ
28051800be	ክትመ ሆንጠህሳንት ጠረጴዝ አሌን ህከኔ ጌኝአት አመክቤትበ መርት ሀራዕረም፤ ህከኒች ኤተሮን አሜት ክትመ ሆንጠህስ።
28051900fe	ባለጋሩክ ከሰሻንኬ ፍርድ ምኔን ኡርታንትሀኒች ሄጭት ባለጋርንከክ ሀራዕረም፤ ህካን አትበጎሬ ባለጋሩክ ዳኚሃ ህግሽ ኣሰኖሄ፤ ዳኙንኩ ኡሱር ምኒ ኣግሰኖሄ።
28051a0088	ሀንቅንከ ያንኬ፤ አሌክ ዮ ኤዳሃ ሹልት ባቱዕነ ኡሱር ምኒች ሆሮ ፉልታንትበአ» ዬእ።
28051b004b	ኢስ «‹ዝነተ አቶኖቼ› የመሞሃ ሞጮጭቴንታአ።
28051c009b	እኮጎሬ ቴሱ አን ኩላንክዕኔ፤ መንቹተ ለዕይ ቀልቤስ ሄዕላቾ መንቹ ዝነተ አዕዮሀንገ ዎለአመኖ።
28051d00e1	መኬክ እልት ጅስሚችክ መቱስ ሉስሶ ጎሬ እሴተ ፉሽት ኡጅ፤ መሰንትስ ዊሙ ጅስሙክ አዛቤን ቡበኖሀኒች ጅስሚችክ መትተ እልተ ሆጎንቲሁ ቆሀኖ።
28051e00d8	መኬክ አንገክ ሉሲሶሄ ጎሬ ሙርት ኡጅ፤ መሰንትስ ጅስሙክ ጉዕሙንኩ አዛቤን ኣገኖሀኒች ጅስሚችክ መኬክ አንገተ ሆጎንቲሁ ቆሀኖ» ዬእ።
28051f0065	ህትን «ጫስ ገፍረኖሁ ጉዕሙንኩ ገፈሮ ፉርመ ኣሱንሴ» የመሞኡ።
28052000f7	እኮጎሬ ቴሱ አን ኩላንክዕኔ፤ ዝነተ አቱዕነ መንቹስ ገፈረኖሁ ጉዕሙንኩ ዝነተ አታገ አአኖሴ፤ ህተ ገፈሮ መንቹተ ኣአኖሁ ጉዕሙንኩ ዝነተ አዕዮሃ እሀኖ።
28052100a8	ህትን «ከኒች ብርተ ሄኦ መኒሃ ‹መገኒሃ ኣጎንት ወኣድ ላገተ ዊንሽ ቤሉ ድጅቶት› የመሞሃ ሞጮጭቴንታአ።
280522009b	እኮጎሬ አን ቴሱ ኩላንክዕኔ፤ ሰማን ሆሮ ጤሌዕልቶኖቼ፤ መሰንትስ ሰሞሁ መገን ጄነትተ ቦርጭመ።
2805230106	ኡላን እኮ እቃ ጤሌዕልቶኖቼ፤ ኡለት መገን ሎከት ፎሎጭታሃ ቤቹ፤ ህትን ዬሩሳሌማኒ ጤሌዕልቶኖቼ፤ ዬሩሳሌሙ ሎረ ዎምየ ከተመ፤ ህካን ኦኮቤቺሃ ሆሮ ጤሌዕልቶኖቼ።
280524007f	ሙሚችክ መትተ ዋጁተ ህከረንገ ገንበለ አቶተ አታልታንትበእቤቺሃ ጤሌዕልቶት።
28052500c5	ህካን እኮቤቺሃ ጠወኤነታሁ እሀኖሀ እሀኖ እህባሁ እሀኖበአ ዩ ሀስሰኖ፤ ከኒች አደ እካ ላገት ጉዕሙንኩ ሸይጣንቺት» ዬእ።
2805260096	እስን «‹እልተ ፉሼሀኒሃ እልስ ፉሽ፤ እንኩተ ብጮሀኒሃ እንኩስ ቢጥ› የመሞሃ ሞጮጭቴንታአ።
28052700c3	እኮጎሬ ቴሱ ኩላንክዕኔሁ አዕኑ አዬሃ ገዱተ ፈንቀሽቶኖቼ፤ አዪሁ መኬክ መጫለ ዎቀረኖሀኒሃ ጉረ አድ መጫለ ዎቀሮተ ኣስ።
2805280063	መቱ መንቹ ሸሚዘክ ኣኦተ ሀሽ ከሰሾሄ ጎሬ ኮቴክ በርግት ኣስ።
2805290073	መቱ መንቹ ‹ቀዉ ጌሰ ህርሲሴኤ› ዬጎሬ አት ለሙ አፎ በርግት ህርሲስስ።
28052a0062	ኡጨኖሄሀኒሃ ኣስ፤ ህትን ሌቄጮተ ሀሰኖሀኒሃ ሌቄስስ» ዬእ።
28052b0057	ኢስን «‹ጃለክ ኢት! ዲነክ ግብ› ዬማሃ ሞጮጭቴንታአ።
28052c0089	እኮጎሬ አን ኩላንክዕኔ፤ ዲነክዕኔ ኢትዬ፤ ሸርታህዕኔሀኑኡተ ዱአ አዕዬ ያንክዕኔ።
28052d00ea	ህካን አቴንተጎሬ ሰማን አኒሃክዕኔ እለተ እኬነንተ፤ መሰንትስ እስ ሂላኖተለከ ጡመ መኒሃ አሩ ፉሸኖ፤ ህትን ፈየ መኒሃለከ ጩበኛኖተ ጤነ ኣሰኖ።
28052e007c	ኢተኖህዕኔሃ ኢትቴንተ ጎር መ ዋጉ ዮህዕኔ? ህካን ጩበኛኑንት አታእሃበእንዶ?
28052f0097	ጠለዕል እሉክዕኔ ወገሬትሴንተ ጎሬ ዎሎ መኒች መ ቆኬነን? ህካን አይሁደ እኮበእ መኑሁ አታአ።
28053000a7	ህካን እኮቤቺሃ ሰማን ዮ አኑክዕኔ ኩሌኖስሁ ዮበኢሃ እኮገን አዕኑሁ ኩሌኖህዕኔርቹ ዮበእረ እኬ» ዬእ።
28060100f2	ኢስን «ጡመተ ሆጉተ አቴንተገ መኑ ለዕይ ገለትጩን ይቴን መን ብሬን አኢች አገዕርዬ፤ ህካን አቴንተጎር ሰማን ሄዕዮ መገኒች መቱርቹሃ ደእቴነንተበአ።
