0100000006	Genesi
010205011f	e ogni albero ed arboscello della campagna, avanti che [ne] fosse [alcuno] in su la terra; ed ogni erba della campagna, avanti che [ne] fosse germogliata [alcuna]; perciocchè il Signore Iddio non avea [ancora] fatto piovere in su la terra, e non [v'era] alcun uomo per lavorar la terra.
010206004b	Or un vapore saliva dalla terra, che adacquava tutta la faccia della terra.
0102070088	E il Signore Iddio formò l'uomo [del] la polvere della terra, e gli alitò nelle nari un fiato vitale; e l'uomo fu fatto anima vivente.
0102080068	Or il Signore Iddio piantò un giardino in Eden, dall'Oriente, e pose quivi l'uomo ch'egli avea formato.
01020900cf	E il Signore Iddio fece germogliar dalla terra ogni [sorta] d'alberi piacevoli a riguardare, e buoni a mangiare; e l'albero della vita, in mezzo del giardino; e l'albero della conoscenza del bene e del male.
01020a005c	Ed un fiume usciva di Eden, per adacquare il giardino; e di là si spartiva in quattro capi.
01020b006a	Il nome del primo [è] Pison; questo [è] quello che circonda tutto il paese di Havila, ove [è] dell'oro.
01020c005a	E l'oro di quel paese [è] buono; quivi [ancora si trovano] le perle e la pietra onichina.
01020d005f	E il nome del secondo fiume [è] Ghihon; questo [è] quello che circonda tutto il paese di Cus.
01020e0080	E il nome del terzo fiume [è] Hiddechel; questo [è] quello che corre di rincontro all'Assiria. E il quarto fiume è l'Eufrate.
01020f0065	Il Signore Iddio adunque prese l'uomo e lo pose nel giardino di Eden, per lavorarlo, e per guardarlo.
0102100055	E il Signore Iddio comandò all'uomo, dicendo: Mangia pur d'ogni albero del giardino.
0102110080	Ma non mangiar dell'albero della conoscenza del bene e del male; perciocchè, nel giorno che tu ne mangerai per certo tu morrai.
010212006d	Il Signore Iddio disse ancora: E' non [è] bene che l'uomo sia solo; io gli farò un aiuto convenevole a lui.
010213010a	Or il Signore Iddio, avendo formate della terra tutte le bestie della campagna, e tutti gli uccelli del cielo, li menò ad Adamo, acciocchè vedesse qual nome porrebbe a ciascuno di essi; e che qualunque nome Adamo ponesse a ciascuno animale, esso fosse il suo nome.
010214009b	E Adamo pose nome ad ogni animal domestico, ed agli uccelli del cielo, e ad ogni fiera della campagna; ma non si trovava per Adamo aiuto convenevole a lui.
01021500a7	E il Signore Iddio fece cadere un profondo sonno sopra Adamo, onde egli si addormentò; e [Iddio] prese una delle coste di esso, e saldò la carne nel luogo di quella.
0102160065	E il Signore Iddio fabbricò una donna della costa che egli avea tolta ad Adamo, e la menò ad Adamo.
01021700ae	E Adamo disse: A questa volta pure [ecco] osso delle mie ossa, e carne della mia carne; costei sarà chiamata femmina d'uomo, conciossiachè costei sia stata tolta dall'uomo.
0102180072	Perciò l'uomo lascerà suo padre e sua madre, e si atterrà alla sua moglie, ed essi diverranno una stessa carne.
010219004a	Or amendue, Adamo e la sua moglie, erano ignudi, e non se ne vergognavano.
01030100d9	OR il serpente era astuto più che qualunque [altra] bestia della campagna, che il Signore Iddio avesse fatta. Ed esso disse alla donna: Ha pure Iddio detto: Non mangiate [del frutto] di tutti gli alberi del giardino?
0103020059	E la donna disse al serpente: Noi possiamo mangiare del frutto degli alberi del giardino.
010303007b	Ma del frutto dell'albero, ch'[è] in mezzo del giardino, Iddio ha detto: Non ne mangiate, e nol toccate, chè non muoiate.
0103040037	E il serpente disse alla donna: Voi non morreste punto.
010305008f	Ma Iddio sa che, nel giorno che voi ne mangereste, i vostri occhi si aprirebbero; onde sareste come dii, avendo conoscenza del bene e del male.
0103060119	La donna adunque, veggendo che il frutto dell'albero [era] buono a mangiare, e ch'[era] dilettevole a vedere e che l'albero [era] desiderabile per avere intelletto, prese del frutto, e ne mangiò, e ne diede ancora al suo marito, [acciocchè ne mangiasse] seco. Ed egli ne mangiò.
01030700a8	Allora gli occhi di amendue loro si apersero, e conobbero ch'erano ignudi; onde cucirono insieme delle foglie di fico, e se ne fecero delle coperte da cignersi attorno.
01030800c1	Poi, all'aura del dì, udirono la voce del Signore Iddio che camminava per lo giardino. E Adamo, con la sua moglie, si nascose dal cospetto del Signore Iddio, per mezzo gli alberi del giardino.
0103090037	E il Signore Iddio chiamò Adamo, e gli disse: Ove sei?
01030a0069	Ed egli disse: Io intesi la tua voce per lo giardino, e temetti, perciocchè io era ignudo; e mi nascosi.
01030b008e	E [Iddio] disse: Chi ti ha mostrato che tu [fossi] ignudo? Hai tu mangiato [del frutto] dell'albero, del quale io ti avea vietato di mangiare?
01030c0078	E Adamo disse: La donna, che tu hai posta meco, è quella che mi ha dato [del frutto] dell'albero, ed io ne ho mangiato.
01030d00a0	E il Signore Iddio disse alla donna: Che cosa [è] questo [che] tu hai fatto? E la donna rispose: Il serpente mi ha sedotta, ed io ho mangiato [di quel frutto].
01030e00f9	Allora il Signore Iddio disse al serpente: Perciocchè tu hai fatto questo, [sii] maledetto sopra ogni [altro] animale, e sopra ogni [altra] bestia della campagna; tu camminerai in sul tuo ventre, e mangerai la polvere tutti i giorni della tua vita.
01030f009a	Ed io metterò inimicizia fra te e la donna, e fra la tua progenie e la progenie di essa; essa [progenie] ti triterà il capo e tu le ferirai il calcagno.
01031000d7	[Poi] disse alla donna: Io accrescerò grandemente i dolori del tuo parto e della tua gravidanza; tu partorirai figliuoli con dolori, e i tuoi desiderii [dipenderanno] dal tuo marito, ed egli signoreggerà sopra te.
0103110127	E ad Adamo disse: Perciocchè tu hai atteso alla voce della tua moglie, ed hai mangiato [del frutto] dell'albero, del quale io ti avea data questo comandamento: Non mangiarne: la terra [sarà] maledetta per cagion tua; tu mangerai [del frutto] di essa con affanno, tutti i giorni della tua vita.
0103120045	Ed ella ti produrrà spine e triboli; e tu mangerai l'erba de' campi.
01031300b0	Tu mangerai il pane col sudor del tuo volto, fin che tu ritorni in terra; conciossiachè tu ne sii stato tolto; perciocchè tu [sei] polvere, tu ritornerai altresì in polvere.
010314005a	E Adamo pose nome Eva alla sua moglie; perciocchè ella è stata madre di tutti i viventi.
0103150058	E il Signore Iddio fece delle toniche di pelle ad Adamo ed alla sua moglie; e li vestì.
0103160111	Poi il Signore Iddio disse: Ecco, l'uomo è divenuto come uno di noi, avendo conoscenza del bene e del male; ora adunque [e' si convien provvedere] che talora egli non istenda la mano, e non prenda ancora [del frutto] dell'albero della vita, e ne mangi, e viva in perpetuo.
0103170074	Perciò il Signore Iddio mandò l'uomo fuor del giardino di Eden, per lavorar la terra, dalla quale era stato tolto.
01031800ab	Così egli cacciò l'uomo, e pose dei Cherubini davanti al giardino di Eden, con una spada fiammeggiante che si vibrava in giro, per guardar la via dell'albero della vita.
0104010074	OR Adamo conobbe la sua moglie, ed ella concepette, e partorì Caino, e disse: Io ho acquistato un uomo col Signore.
010402006d	Poi partorì ancora Abele, fratello di esso. Ed Abele fu pastore di pecore, e Caino fu lavorator della terra.
0104030063	Or avvenne, in capo di alquanto tempo, che Caino offerse al Signore offerta de' frutti della terra.
0104040087	Ed Abele offerse anch'esso de' primogeniti delle sue pecore, e del grasso di esse. E il Signore riguardò ad Abele ed alla sua offerta.
010405006f	Ma non riguardò a Caino, nè alla sua offerta; onde Caino si sdegnò grandemente, e il suo volto fu abbattuto.
0104060059	E il Signore disse a Caino: Perchè sei tu sdegnato? e perchè è il tuo volto abbattuto?
01040700b7	Se tu fai bene, non vi [sarà egli] esaltazione? ma [altresì], se tu fai male, il peccato giace alla porta. Ora i desiderii di esso [dipendono] da te, e tu hai la signoria sopra lui.
0104080097	E Caino disse ad Abele suo fratello: [Andiamo ai campi]. Ed avvenne che essendo essi ai campi, Caino si levò contro ad Abele suo fratello, e l'uccise.
0104090077	E il Signore disse a Caino: Ov'[è] Abele tuo fratello? Ed egli disse: Io non so; [sono] io guardiano del mio fratello?
01040a006b	E il [Signore gli] disse: Che hai fatto? [ecco] la voce del sangue del tuo fratello grida a me dalla terra.
01040b0091	Ora dunque tu [sei] maledetto, e [sarai cacciato] dalla terra, che ha aperta la sua bocca per ricevere il sangue del tuo fratello dalla tua mano.
01040c007f	Quando tu lavorerai la terra, ella non continuerà più di renderti la sua virtù; e tu sarai vagabondo ed errante sulla terra.
01040d0055	E Caino disse al Signore: La mia iniquità [è] più grande che io non posso portare.
01040e00c0	Ecco, tu mi hai oggi cacciato d'in su la faccia della terra, ed io sarò nascosto dal tuo cospetto, e sarò vagabondo ed errante sulla terra; ed avverrà che chiunque mi troverà mi ucciderà.
01040f00be	E il Signore gli disse: Perciò, chiunque ucciderà Caino sarà punito a sette doppi [più che Caino]. E il Signore pose un segnale in Caino, acciocchè alcuno, trovandolo, non lo uccidesse.
0104100066	E Caino si partì dal cospetto del Signore, e dimorò nel paese di Nod, dalla parte orientale di Eden.
010411009d	E Caino conobbe la sua moglie, ed ella concepette, e partorì Enoch. Poi egli si mise ad edificare una città, e la nominò del nome del suo figliuolo Enoch.
0104120068	E ad Enoch nacque Irad; ed Irad generò Mehujael; e Mehujael generò Metusael; e Metusael generò Lamec.
010413005e	E Lamec si prese due mogli; il nome dell'una delle quai [era] Ada, e il nome dell'altra Silla.
0104140055	E Ada partorì Iabal. Esso fu padre di coloro che dimorano in tende, e son mandriani.
0104150067	E il nome del suo fratello fu Iubal. Esso fu padre di tutti coloro che maneggiano la cetera e l'organo.
0104160083	E Silla partorì anch'ella Tubal-cain, il quale ha ammaestrato ogni fabbro di rame e di ferro; e la sorella di Tubal-cain fu Naama.
01041700cc	E Lamec disse ad Ada e Silla sue mogli: Ascoltate la mia voce, mogli di Lamec; Porgete l'orecchio al mio parlare. Certo io ho ucciso un uomo, dando[gli] una ferita; Ed un giovane, dando[gli] una percossa.
0104180053	Se Caino è vendicato a sette doppi, Lamec [lo sarà] a settanta volte sette doppi.
01041900c2	E Adamo conobbe ancora la sua moglie; ed ella partorì un figliuolo, e gli pose nome Set; perciocchè, [disse ella], Iddio mi ha riposta un'altra progenie in luogo di Abele, che Caino ha ucciso.
01041a008e	Ed a Set ancora nacque un figliuolo; ed egli gli pose nome Enos. Allora si cominciò a nominare [una parte degli uomini] del Nome del Signore.
010501007a	QUESTA è la descrizione delle generazioni di Adamo. Nel giorno che Iddio creò l'uomo, egli lo fece alla sua somiglianza.
0105020065	Egli li creò maschio e femmina, e li benedisse, e pose loro nome UOMO, nel giorno che furono creati.
0105030085	Ora Adamo, essendo vivuto centotrent'anni, generò [un figliuolo] alla sua somiglianza, secondo la sua immagine; e gli pose nome Set.
0105040069	E il tempo che visse Adamo, dopo ch'ebbe generato Set, fu ottocent'anni; e generò figliuoli e figliuole.
0105050045	Così tutto il tempo che visse Adamo fu novecentrent'anni; poi morì.
0105060035	E Set, essendo vivuto centocinque anni, generò Enos.
010507005d	E Set, dopo che ebbe generato Enos, visse ottocensette anni, e generò figliuoli e figliuole.
0105080044	Così tutto il tempo che visse Set fu novecendodici anni; poi morì.
0105090034	Ed Enos, essendo vivuto novant'anni, generò Chenan.
01050a0063	Ed Enos, dopo ch'ebbe generato Chenan, visse ottocenquindici anni, e generò figliuoli e figliuole.
01050b0045	Così tutto il tempo che visse Enos fu novecencinque anni; poi morì.
01050c003a	E Chenan, essendo vivuto settant'anni, generò Mahalaleel.
01050d0067	E Chenan, dopo ch'ebbe generato Mahalaleel, visse ottocenquarant'anni, e generò figliuoli e figliuole.
01050e0046	Così tutto il tempo che Chenan visse fu novecendieci anni; poi morì.
01050f0040	E Mahalaleel, essendo vivuto sessantacinque anni, generò Iared.
0105100064	E Mahalaleel, dopo ch'ebbe generato Iared, visse ottocentrent'anni, e generò figliuoli e figliuole.
0105110052	Così tutto il tempo che Mahalaleel visse fu ottocennovantacinque anni; poi morì.
010512003a	E Iared, essendo vivuto censessantadue anni, generò Enoc.
010513005a	E Iared, dopo ch'ebbe generato Enoc, visse ottocent'anni, e generò figliuoli e figliuole.
010514004b	Così tutto il tempo che Iared visse fu novecensessantadue anni; poi morì.
010515003d	Ed Enoc essendo vivuto sessantacinque anni, generò Metusela.
0105160078	Ed Enoc, dopo ch'ebbe generato Metusela, camminò con Dio per lo spazio di trecent'anni e generò figliuoli e figliuole.
0105170042	Così, tutto il tempo che Enoc visse fu trecensessantacinque anni.
0105180055	E dopo che Enoc fu camminato con Dio, non [si vide] più; perciocchè Iddio lo prese.
0105190040	E Metusela, essendo vivuto centottantasette anni, generò Lamec.
01051a0069	E Metusela, dopo ch'ebbe generato Lamec, visse settecentottantadue anni, e generò figliuoli e figliuole.
01051b0050	Così, tutto il tempo che Metusela visse fu novecensessantanove anni; poi morì.
01051c0042	E Lamec, essendo vivuto centottantadue anni, generò un figliuolo.
01051d00b1	E gli pose nome Noè, dicendo: Costui ci consolerà della nostra opera, e della fatica delle nostre mani, [la quale portiamo] per cagion della terra che il Signore ha maladetta.
01051e0068	E Lamec, dopo ch'ebbe generato Noè, visse cinquecennovantacinque anni, e generò figliuoli e figliuole.
01051f004e	Così tutto il tempo che Lamec visse fu settecensettantasette anni; poi morì.
0105200045	E Noè, essendo di età di cinquecent'anni, generò Sem, Cam e Iafet.
0106010074	OR avvenne che, quando gli uomini cominciarono a moltiplicar sopra la terra, e che furono loro nate delle figliuole,
0106020082	i figliuoli di Dio, veggendo che le figliuole degli uomini erano belle, si presero per mogli quelle che si scelsero d'infra tutte.
01060300a2	E il Signore disse: Lo Spirito mio non contenderà in perpetuo con gli uomini; perciocchè anche non sono altro che carne; e il termine loro sarà centovent'anni.
0106040108	In quel tempo i giganti erano in su la terra, e [furono] anche dappoi, quando i figliuoli di Dio entrarono dalle figliuole degli uomini, ed esse partorirono loro [de' figliuoli]. Costoro [son] quegli uomini possenti, i quali già anticamente [erano] uomini famosi.
01060500ac	E il Signore, veggendo che la malvagità degli uomini era grande in terra; e che tutte le immaginazioni de' pensieri del cuor loro non [erano] altro che male in ogni tempo,
0106060050	ei si pentì d'aver fatto l'uomo in su la terra, e se ne addolorò nel cuor suo.
01060700db	E il Signore disse: Io sterminerò d'in su la terra gli uomini che io ho creati; [io sterminerò ogni cosa], dagli uomini fino agli animali, ai rettili ed agli uccelli del cielo; perciocchè io mi pento di averli fatti.
0106080026	Ma Noè trovò grazia appo il Signore.
0106090065	Queste [son] le generazioni di Noè. Noè fu uomo giusto, intiero nelle sue età, e camminò con Dio.
01060a002a	E generò tre figliuoli: Sem, Cam e Iafet.
01060b004c	Ora, la terra si era corrotta nel cospetto di Dio, ed era piena di violenza.
01060c006e	E Iddio riguardò la terra, ed ecco era corrotta; poichè ogni carne aveva corrotta la sua via in su la terra.
01060d00b3	E Iddio disse a Noè: Appo me la fine di ogni carne è giunta; perciocchè la terra è ripiena di violenza per cagion di costoro; ed ecco io li farò perire, insieme con la terra.
01060e005e	Fatti un'Arca di legno di Gofer; falla a stanze, ed impeciala, di fuori e di dentro, con pece.
01060f009d	E questa [è la forma] della qual tu la farai: la lunghezza di essa sia di trecento cubiti, e la larghezza di cinquanta cubiti, e l'altezza di trenta cubiti.
010610009f	E da' lume all'Arca; e fa' il comignolo di essa disopra di un cubito; e metti la porta dell'Arca al lato di essa; falla [a tre palchi,] basso, secondo e terzo.
01061100a7	Ed ecco io farò venir sopra la terra il diluvio delle acque, per far perir di sotto al cielo ogni carne in cui [è] alito di vita; tutto ciò ch'[è] in terra morrà.
0106120088	Ma io fermerò il mio patto teco; e tu entrerai nell'Arca, tu, ed i tuoi figliuoli, e la tua moglie, e le mogli de' tuoi figliuoli teco.
0106130098	E di ogni [creatura] vivente, di ogni carne, fanne entrar dentro l'Arca due per ciascuna, [che] saranno maschio e femmina, per conservarli in vita teco.
01061400ba	Degli uccelli, secondo le loro specie; delle bestie, secondo le loro specie; [e] di tutti i rettili, secondo le loro specie; due per ciascuna verranno a te, per esser conservati in vita.
010615007a	E tu, prenditi di ogni cibo che si mangia, ed accoglilo appresso a te; acciocchè sia a te ed a quegli [animali] per cibo.
010616004f	E Noè fece [così]; egli fece secondo tutto ciò che Iddio gli avea comandato.
010701008d	Poi il Signore disse a Noè: Entra tu, e tutta la tua famiglia dentro l'Arca; perciocchè in questa età io ti ho veduto giusto davanti a me.
010702008d	Di ciascuna [specie] di animali mondi, prendine sette paia, maschio e femmina; e degli animali immondi, un paio, un maschio e la sua femmina.
0107030098	Degli uccelli del cielo, prendine parimente [di ciascuna specie] sette paia, maschio e femmina; per conservar[ne] in vita la generazione sopra la terra.
01070400bc	Perciocchè fra qui e sette dì, io farò piovere in su la terra per lo spazio di quaranta giorni e di quaranta notti, e sterminerò d'in su la terra ogni cosa sussistente che io ho fatta.
0107050041	E Noè fece secondo tutto ciò che il Signore gli avea comandato.
0107060063	Or Noè [era] di età di seicent'anni, quando il diluvio fu, [e] le acque [vennero] sopra la terra.
010707008e	E Noè, insieme co' suoi figliuoli, e con la sua moglie, e con le mogli de' suoi figliuoli, entrò nell'Arca d'innanzi alle acque del diluvio.
0107080068	Degli animali mondi, e degli animali immondi, e degli uccelli, e di tutto ciò che serpe in su la terra,
0107090062	ne vennero delle paia, maschio e femmina, a Noè, dentro l'Arca; come Iddio avea comandato a Noè.
01070a005b	Ed avvenne, al [termine] de' sette giorni, che le acque del diluvio vennero sopra la terra.
01070b00c1	L'anno seicentesimo della vita di Noè, nel secondo mese, nel decimosettimo giorno del mese, in quel giorno tutte le fonti del grande abisso scoppiarono, e le cateratte del cielo furono aperte.
01070c0055	E la pioggia fu in su la terra, per lo spazio di quaranta giorni e di quaranta notti.
01070d0096	In quel giorno stesso Noè entrò nell'Arca, insieme con Sem, Cam e Iafet, suoi figliuoli, e con la sua moglie, e con le tre mogli de' suoi figliuoli.
01070e00d8	Essi [vi entrarono], ed anche fiere de ogni specie, ed animali domestici di ogni specie, e rettili che serpono sopra la terra di ogni specie, ed uccelli di ogni specie, ed uccelletti di ogni [sorta] di qualunque ala.
01070f0058	In somma, di ogni carne, in cui è alito di vita, ne venne un paio a Noè dentro l'Arca.
0107100083	E [gli animali] che vennero [erano] maschio e femmina, come Iddio avea comandato a Noè. Poi il Signore serrò [l'Arca] sopra esso.
0107110093	E il diluvio venne sopra la terra, per lo spazio di quaranta giorni; e le acque crebbero, e sollevarono l'Arca, ed ella fu alzata d'in su la terra.
0107120062	E le acque si rinforzarono, e crebbero grandemente sopra la terra; e l'Arca notava sopra le acque.
0107130082	E le acque si rinforzarono grandissimamente sopra la terra; e tutti gli alti monti, che [son] sotto tutti i cieli, furono coperti.
010714005e	Le acque avanzarono essi monti, dell'altezza di quindici cubiti. Così i monti furono coperti.
01071500b4	Ed ogni carne che si muove sopra la terra, degli uccelli, degli animali domestici, delle fiere e di tutti i rettili che serpono sopra la terra, morì, insieme con tutti gli uomini.
0107160069	Tutto ciò che ha fiato d'alito di vita nelle sue nari, d'infra tutto ciò ch'[era] nell'asciutto, morì.
01071700fa	E fu sterminata ogni cosa sussistente, che [era] sopra la faccia della terra, dagli uommi fino alle bestie, e i rettili, e gli uccelli del cielo; furono, dico, sterminati d'in su la terra; e Noè solo scampò, con quelli [ch'erano] con lui nell'Arca.
010718004c	E le acque furono alte sopra la terra, per lo spazio di cencinquanta giorni.
01080100b1	OR Iddio si ricordò di Noè, e di tutte le fiere, e di tutti gli animali domestici ch'[erano] con lui nell'Arca; e fece passare un vento in su la terra; e le acque si posarono.
0108020069	Ed essendo state le fonti dell'abisso e le cateratte del cielo serrate, e rattenuta la pioggia del cielo,
010803007e	le acque andarono del continuo ritirandosi d'in su la terra. Al termine adunque di cencinquanta giorni cominciarono a scemare.
010804005b	E, nel decimosettimo giorno del settimo mese, l'Arca si fermò sopra le montagne di Ararat.
0108050074	E le acque andarono scemando fino al decimo mese. Nel primo giorno del decimo mese, le sommità de' monti apparvero.
0108060055	E, in capo di quaranta giorni, Noè aperse la finestra dell'Arca, ch'egli avea fatta.
010807007a	E mandò fuori il corvo, il quale usciva del continuo fuori, e tornava, fin che le acque furono asciutte d'in su la terra.
010808006a	Poi mandò d'appresso a sè la colomba, per veder se le acque erano scemate d'in su la faccia della terra.
01080900ed	Ma la colomba, non trovando ove posar la pianta del piè, se ne ritornò a lui dentro l'Arca; perciocchè [v'erano ancora] delle acque sopra la faccia di tutta la terra. Ed egli, stesa la mano, la prese, e l'accolse a sè, dentro l'Arca.
01080a0051	Ed egli aspettò sette altri giorni, e di nuovo mandò la colomba fuor dell'Arca.
01080b00b0	Ed in sul tempo del vespro, la colomba ritornò a lui; ed ecco, [avea] nel becco una fronde spiccata di un ulivo; onde Noè conobbe che le acque erano scemate d'in su la terra.
01080c0060	Ed egli aspettò sette altri giorni, e mandò fuori la colomba, ed essa non ritornò più a lui.
01080d00c6	E, nell'anno seicentunesimo [di Noè], nel primo [giorno] del primo mese, le acque furono asciutte d'in su la terra. E Noè, levato il coperto dell'Arca, vide che la faccia della terra era asciutta.
01080e004b	E, nel ventisettesimo giorno del secondo mese, la terra era tutta asciutta.
01080f001f	E Iddio parlò a Noè, dicendo:
0108100062	Esci fuor dell'Arca, tu, e la tua moglie, ed i tuoi figliuoli, e le mogli de' tuoi figliuoli teco.
01081100e8	Fa uscir fuori teco tutti gli animali che [son] teco, di qualunque carne, degli uccelli, delle bestie, e di tutti i rettili che serpono sopra la terra; e [lascia] che scorrano per la terra, e figlino, e moltiplichino in su la terra.
010812005f	E Noè uscì fuori, co' suoi figliuoli, e con la sua moglie, e con le mogli de' suoi figliuoli.
01081300a9	Tutte le bestie [ancora], e tutti i rettili, e tutti gli uccelli, e tutti gli animali che si muovono sopra la terra, secondo le lor generazioni, uscirono fuor dell'Arca.
0108140098	E Noè edificò un altare al Signore; e prese d'ogni [specie di] animali mondi, e [d'ogni specie] di uccelli mondi, ed offerse olocausti sopra l'altare.
01081500fa	E il Signore odorò un [odor] soave; e disse nel cuor suo: Io non maledirò più la terra per l'uomo; conciossiachè l'immaginazione del cuor dell'uomo [sia] malvagia fin dalla sua fanciullezza; e non percoterò più ogni cosa vivente, come ho fatto.
0108160081	Da ora innanzi, quanto durerà la terra, sementa e ricolta, freddo e caldo, state e verno, giorno e notte giammai non cesseranno.
0109010069	E IDDIO benedisse Noè, e i suoi figliuoli; e disse loro; Fruttate, e moltiplicate, e riempiete la terra.
01090200d5	E la paura e lo spavento di voi sia sopra tutte le bestie della terra, e sopra tutti gli uccelli del cielo; [essi] vi son dati nelle mani, insieme con tutto ciò che serpe sopra la terra, e tutti i pesci del mare.
010903005c	Ogni cosa che si muove, ed ha vita, vi sarà per cibo; io ve le do tutte, come l'erbe verdi.
0109040044	Ma pur non mangiate la carne con l'anima sua, [ch'è] il suo sangue.
01090500d0	E certamente io ridomanderò [conto del] vostro sangue, per le vostre persone; io ne ridomanderò [conto] ad ogni bestia, ed agli uomini; io ridomanderò [conto] della vita dell'uomo a qualunque suo fratello.
0109060081	Il sangue di colui che spanderà il sangue dell'uomo sarà sparso dall'uomo; perciocchè Iddio ha fatto l'uomo alla sua immagine.
010907005a	Voi dunque fruttate e moltiplicate; generate copiosamente sulla terra, e crescete in essa.
010908003f	Poi Iddio parlò a Noè, ed a' suoi figliuoli con lui, dicendo:
0109090058	E quant'è a me, ecco, io fermo il mio patto con voi, e con la vostra progenie dopo voi;
