1300000006	Psalmi
130906005c	O sovražnik, konec je razdevanja na veke, in uničil si mesta njih, njih spomin je poginil.
1309070042	A Gospod bode sedel na veke, pripravljajoč na sodbo prestol svoj.
130908004a	In sam bode sodil svet pravično, pravde razsojal narodom po vsej pravici.
1309090052	In Gospod bode grad na višini siromaku, grad na višini v časih, ko je v stiski.
13090a006e	Zaupanje torej bodo imeli v té, kateri poznajo ime tvoje, ker ne zapustiš, Gospod, njih, kateri te iščejo.
13090b004a	Prepevajte Gospoda, ki sedí na Sijonu, oznanjujte ljudstvom dela njegova.
13090c005a	On, ki maščuje kri v moritvi prelito, spominja se njih, ne zabi vpitja siromakov ubozih.
13090d006b	Milost mi izkaži, Gospod, ozri se v ponižanje moje od sovražnikov mojih, dvigni me izpred smrtnih vrât:
13090e0058	Da oznanjam vesoljno slavo tvojo med vrati hčere Sijonske, radujem se v blaginji tvoji.
13090f0071	Pogreznili so se narodi v jamo, katero so bili napravili; v mrežo, katero zo bili skrili, vjela se je njih noga.
1309100078	Pokazal se je Gospod po sodbi, katero je storil; v svojem lastnem delu zapletel se je krivični; vsega pomiselka vredno!
130911004f	Nazaj se bodo podili krivični noter do groba; vsi narodi, ki so pozabili Boga.
1309120045	Ker siromak naj se ne pozabi nikdar: ubogih upanje ne pogine vekomaj.
1309130056	Vstani, Gospod, da se ne ojači človek; sodba pridi nad narode pred obličjem tvojim.
1309140046	V strah jih primi, Gospod; siloma naj spoznajo narodi, da so umrjoči.
130a01004c	Zakaj bivaš v daljavi, Gospod! zakaj se skrivaš v časih, ko smo v stiski?
130a020066	Prevzetnost krivičnega hudo straši siromaka ubozega; zgrabijo se naj v naklepih, katere izmišljajo.
130a030070	Ker krivični hvali dušo svojo v njenem hrepenenji, in njega, ki išče dobička, blagoslavlja, draži Gospoda.
130a040054	Krivični v napuhu svojega obraza: On ne kaznuje, ni Boga, té so vse misli njegove.
130a05008c	Varna so pota njegova v vsakem času; previsoko so pogledu njegovemu sodbe tvoje: kateri koli so sovražniki njegovi, vanje piha žarjavico.
130a060047	V srci svojem govori: Ne umaknem se, v nobeni dobi ne bodem v nesreči.
130a07006c	Preklinjanja polna so usta njegova in zvijač in goljufije; pod jezikom njegovim je nadlega in ničemurnost.
130a080067	Poseda v votlini vašî, v zatišji, da bi ubil nedolžnega; oči njegove se skrivajo zoper onemoglega.
130a09008e	V zatišji preži, kakor lev v svojem brlogu; preži, da zgrabi siromaka ubozega; zgrabil bi rad siromaka ubozega, potegnil ga v mrežo svojo.
130a0a0053	Sklujči se, potuhne se; in s krepkimi udi svojimi se zgrudi, kakor da so onemogli.
130a0b0059	V srci svojem govori: Pozabil je Bog mogočni; obličje svoje skriva, ne ozré se nikoli.
130a0c004c	Vstani, Gospod, Bog mogočni, dvigni roko svojo; ne pozabi siromakov ubozih.
130a0d0048	Zakaj draži krivični Boga? v srci svojem govori, da ne bodeš térjal?
130a0e0084	Zazdelo se je tebi, ko gledaš nadlego in gorjé, vzeti jih v roko svojo; brambi tvoji se izroča onemogli; siroti si tí pomočnik.
130a0f005b	Zdrôbi roko krivičnemu in hudobnemu; preiskuj krivico njegovo, dokler je ne najdeš več.
130a10003e	Gospod je kralj večni; poginili so narodi sè zemlje njegove.
130a11004c	Hrepenenje krotkih si uslišal, Gospod; potolaži tem srce, nagni svoje uho,
130a120059	Maščujoč siroto in siromaka, da ga ne bode dalje izganjal človek silovito iz dežele.
130b010073	Načelniku godbe, Davidova. Gospod je pribežališče moje, kako govorite duši moji: Zapústi goro vašo, tičica?
130b020074	Ker glej, tisti krivični natezajo lok, pušico svojo pokladajo na struno, da streljajo v temì na pravične v srci.
130b03003a	Ko se bodo celo stebri podirali, kaj naj počne pravični?
130b040096	Gospod je v svetišči svetosti svoje, Gospod, katerega prestol je v nebesih, katerega oči vidijo, katerega trepalnice preiskujejo sinove človeške.
130b050053	Gospod preiskuje pravičnega, krivičnega pa in siloljubnega sovraži srce njegovo.
130b060066	Vsipal bode žarjavico nad krivične, ogenj in žveplo; in najviharnejši veter bode njih kupe delež.
130b070051	Ker pravični Gospod ljubi, kar je pravično; pravičnega gleda obličje njegovo.
130c01008d	Načelniku godbe po osmini, psalm Davidov. Daj rešenje, Gospod, ker minil je dobrodelnik; ker izginili so resnični izmed sinov človeških.
130c02004d	Prazno govoré drug z drugim, s priliznenimi ustnami, z vojnim srcem govoré.
130c030040	Pokončal bode Gospod vse priliznene ustne, jezik visokobesedni;
130c04006f	Njih, ki govoré: Našega jezika pravica bode obveljala, ustne naše so v naši oblasti, kdo bi bil nam gospod?
130c050091	Od zatiranja siromakov ubozih, od vpitja revežev vstanem skoraj, govori Gospod; pomagal bodem njemu, v katerega bode pihal žarjavico krivični.
130c060064	Besede Gospodove so čiste besede, srebro očiščeno v izbrani prsteni posodi, osnaženo sedemkrat.
130c070043	Ti, Gospod, ohrani jih; vsakega izmed njih brani tega rodu na veke.
130c080059	Krivični hodijo okrog povsodi, ko se povzdiguje malopridna reč med človeškimi sinovi.
130d010020	Načelniku godbe, psalm Davidov.
130d02005f	Doklej, Gospod? Bodeš li pozabljal me večno? Doklej bodeš skrival obličje svoje pred menoj?
130d030084	Doklej naj skrivam naklepe svoje v srci svojem; žalovanje v prsih svojih podnevi? Doklej se bode spenjal sovražnik moj proti meni?
130d04004f	Poglej, usliši me, Gospod, moj Bog; razsvetli oči moje, da ne spavam v smrti.
130d050062	Da ne poreče neprijatelj moj: Premagal sem ga; ne radujejo se sovražniki moji, ko bodem omahnil.
130d06007e	Ker jaz imam zaupanje v milost tvojo; raduje se naj moj duh v blaginji tvoji; prepeval bodem Gospodu, ko mi bode storil dobro.
130e01008b	Načelniku godbe; Davidova. Nespametni govori v srci svojem: Ni ga Boga: pohujšujejo, ostudna dela doprinašajo, ni ga, da bi delal dobro.
130e02006a	Gospod gleda z nebes na sinove človeške, da bi videl, je li kateri, ki bi bil razumen, ki bi iskal Boga.
130e030056	Vsak je odstopil, izpridili so se vsi vkup; ni ga, da bi delal dobro, enega samega ne.
130e04006b	Ali si niso v svesti vsi, kateri delajo krivico, ker žró ljudstvo moje kruh jedóč, ne kličejo Gospoda?
130e050042	Tu se preplašijo od groze, ker Bog je na strani pravičnemu rodu.
130e060051	Naklep siromaka ubozega bodete osramotili, seveda! ker Gospod je zavetje njegovo.
130e07008e	Kdo naj dá rešenje sè Sijona Izraelu? Ko bode nazaj peljal iz sužnjosti ljudstva svojega krdelo, radoval se bode Jakob, veselil se Izrael.
130f010060	Psalm Davidov. Gospod, kdo naj prebiva v šatoru tvojem; kdo naj stanuje na gori svetosti tvoje?
130f020046	Kdor hodi pošteno in dela pravico ter govori resnico iz svojega srca;
130f03005e	Ne obrekuje z jezikom svojim, ne dela hudega bližnjemu svojemu, in ne sramoti svojega soseda:
130f04007d	V očeh njegovih je zaničevan krivični, česti pa njé, ki se bojé Gospoda; ko je prisegel v škodo svojo, vendar ne gane;
130f050070	Denarja svojega ne posoja na obresti, in darila ne prejema zoper nedolžnega; kdor tako ravna, ne omahne nikdar.
1310010045	Odlična pesem Davidova. Reši me, Bog mogočni; ker k tebi pribegam:
1310020048	Gospodu govoriš: Gospod si moj, blaga mojega ne bodeš hranil pri sebi:
131003005c	Svetim, ki so v deželi in veličastnim ga podeliš; na katerih je vse razveseljevanje moje.
1310040077	Njim množijo bolečine kateri drugemu delé; daroval ne bodem njih krvavih daritev, ne jemal njih imen na ustne svoje.
131005004d	Gospod je delež pristave moje in mojega ljudstva; ti vzdržuješ osodo mojo.
131006005f	Mérne vrvi so mi pale v preprijetnih krajih; tudi posestvo je sprelepo, katero me je doletelo.
131007005e	Blagoslavljal bodem Gospoda, kateri mi je dal sovèt; tudi ponoči me podučujejo obisti moje.
1310080046	Predočujem si Gospoda neprestano; ker je na desnici moji, ne omahnem.
1310090057	Zatorej se veseli srce moje in raduje se slava moja; tudi meso moje prebiva brez skrbi.
13100a005b	Ker duše moje ne bodeš pustil v grobu, ne pripustil ljubljencu svojemu, da vidi trohnobo.
13100b006c	Naznanjaš mi življenja stezo; najslajših radosti obilost pred obličjem tvojim, na desnici tvoji vekomaj.
131101006e	Molitev Davidova: Čuj, Gospod, pravico, poslušaj vpitje moje; uho nagni molitvi moji brez ustnic zvijačnih.
1311020051	Od obličja tvojega izidi pravica moja; oči tvoje naj gledajo, kar je pravično.
131103006c	Ko bodeš preiskal srce moje, obiskal ponoči, preskušal me, ne najdeš; kar mislim, ne prestopi mojih ust.
1311040049	Pri delih človeških, po besedi ustnic tvojih opazujem steze silovitega.
131105003d	Ohrani korake moje na stezah svojih, da ne zaidejo moje noge.
131106005b	Jaz te kličem, ker me slišiš, Bog mogočni; nagni k meni uho svoje, poslušaj govor moj.
1311070053	Odloči milosti svoje, o ti, ki otimaš preganjalcev pribegajoče na desnico tvojo.
1311080043	Hrani me kakor zenico v očesu; sè senco peroti svojih skrivaj me:
131109004e	Zaradi krivičnih, ki me napadajo, sovražnikov mojih glavnih, ki me obdajajo.
13110a0034	Mast svojo masté, z usti svojimi govoré prevzetno:
13110b0043	Hojo našo zdaj obdajajo nam; oči svoje obračajo vpirajoč v tla.
13110c005d	Podoba je vsakega kakor leva želečega zgrabiti, in kakor mladega leva čepečega v zakotji.
13110d0067	Vstani, Gospod, prehítí obličje njegovo; trešči ga, izpuli dušo mojo z mečem svojim krivičnemu.
13110e00d1	Ljudém izpuli v roko svojo, Gospod, ljudém od svetá, katerih delež je v tem življenji, katerim trebuh polniš sè skrivnim zakladom svojim; sitijo se sinovi in preobilost svojo zapuščajo otrokom svojim.
13110f005c	Jaz bodem v pravičnosti videl obličje tvoje, sitil se bodem, ko se zbudim, s podobo tvojo.
13120100fb	Načelniku godbe, Davida hlapca Gospodovega; kateri je govoril Gospodu té pesmi besede v dan, ko ga je bil rešil Gospod iz roke vseh sovražnikov njegovih, kakor iz roke Savlove. In rekel je: Iz osrčja svojega bodem te ljubil, Gospod, moja krepost.
131202008f	Gospod, skala moja in grad moj in rešitelj moj; Bog mogočni moj, pečina moja, kamor pribegam, ščit moj in blaginje moje rog, višina moja.
131203003e	Hvaljenega kličem Gospoda in rešujem se sovražnikov svojih.
1312040044	Obdajajo me smrtne bolečine in malopridnih hudourniki me strašijo.
1312050038	Groba bolečine me obhajajo, smrtne zanke so mi na poti.
1312060092	V stiski svoji kličem Gospoda, in do Boga svojega vpijem; iz svetišča svojega usliši moj glas, in vpitje moje predenj pride do ušes njegovih:
131207005e	In stresa se in giblje zemlja, in podloge gorâ se majó; stresajo se pa, ko se mu vname jeza.
1312080062	Dim se vali skozi nos njegov in ogenj požrešen iz ust njegovih; žarjavica goreča gre od njega.
1312090039	In nagne nebo ter stopi dol, z mrakom pod svojimi nogami,
13120a0039	In sedeč na kerubih leti, in plava na vétrovih perotih.
13120b0062	Temo si napravi v zavetje svoje, okolo sebe za šator svoj; temotne vode, gošče gornjih oblakov.
13120c004f	Od svita pred njim prehajajo gosti oblaki njegovi, toča in žarjavica ognjena.
13120d0054	Na nebesih grmi Gospod in z višave izhaja glas njegov, toča in žarjavica ognjena.
13120e0044	Tako proži pušice svoje, razsipa jih in strele meče ter jih podi.
13120f008a	Prikazujejo se tudi najnižje struge vodâ, in razgrinjajo se podloge vesoljne zemlje od hudovanja tvojega, Gospod, od sape tvojega nosú.
1312100043	Iz višine poseže ter me potegne gor, izvleče me iz mnogih vodâ.
131211005b	Reši me neprijatelja mojega močnejšega, in sovražnikov mojih, ko so krepkejši od mene.
1312120042	Srečujejo me ob času nadloge moje, tedaj mi je za palico Gospod:
1312130032	In izpelje me na prosto; reši me, ker me ima rad.
131214004d	Podeljuje mi Gospod po pravičnosti moji; po čistosti mojih rok mi povrača.
131215004d	Ker se držim potov Gospodovih, ter se ne obračam krivično od svojega Boga;
1312160054	Ker so vse sodbe njegove pred mojimi očmi; in postav njegovih ne odvračam od sebe:
1312170041	Ker sem pošten pred njim, in se varujem, da ne ravnam krivično.
1312180055	Povrača mi Gospod po pravičnosti moji; po čistosti mojih rok pred njegovimi očmi.
1312190058	Z dobrotljivim izkazuješ se dobrotljivega, s poštenim možem izkazuješ se poštenega.
13121a003c	S čistim kažeš se čistega, ali popačenemu nasprotuješ.
13121b003d	Ker ti otimaš ljudstvo ubogo, prevzetne pa oči ponižuješ.
13121c0049	Dà, svetilo moje razsvetljuješ; Gospod, moj Bog razjasnjuje moje temé.
13121d0049	S teboj namreč prodiram skozi krdelo, in z Bogom svojim preskakujem zid.
13121e0069	Tega Boga mogočnega pot je poštena; govor Gospodov ves čist; ščit je vsem, kateri pribegajo k njemu.
13121f0039	Ker kdo je Bog razen Gospod? in kdo skala razen naš Bog?
1312200046	Ta je Bog mogočni, ki me opasuje z močjo, in dela pošteno mojo pot:
131221003f	Storivši noge moje kakor jelenom, da me stavi na višino mojo;
1312220039	Boja uči roke moje; tako da zlomi lok jekleni roka moja.
1312230061	Ker daješ mi ščit blaginje svoje, in desnica tvoja me podpira, in krotkost tvoja me povišuje.
1312240045	Hoji moji razširjaš prostor moj; in členki mojih nog ne omahujejo.
1312250053	Sovražnike svoje podim in dohajam jih; in ne povrnem se, dokler jih nisem uničil.
1312260043	Zdrobim jih tako, da ne morejo več vstati, padajoč pod noge moje.
1312270058	Opasuješ me namreč z močjo za vojsko; pod me podiraš nje, ki se spenjajo zoper mene.
1312280049	In neprijateljev mojih tilnik mi podajaš; da ugonobim sovražnike svoje.
131229003c	Vpijejo, a ni ga, da jih reši; h Gospodu, a ne usliši jih.
13122a004f	Zatorej jih razmeljem kakor prah pred vetrom; kakor blato na ulicah jih drobim.
13122b006a	Oproščaš me prepirov ljudstva; staviš me narodom na čelo; ljudstvo, katerega nisem poznal, služi mi:
13122c003c	Na sluh ušesa so mi pokorni; tujci se mi udajajo lažnjivo;
13122d0030	Tujci padajo in pritrepetavajo iz gradov svojih.
13122e0056	Gospod živi in blagoslovljena skala moja; zatorej naj se povišuje Bog blaginje moje.
13122f0047	Bog ta mogočni, ki mi daje maščevanje, in spravlja ljudstva pód me;
1312300079	Rešuje me sovražnikov mojih; tudi nad nje, ki se spenjajo zoper mene, povzdignil si me; možu silovitemu si me iztrgal.
131231004c	Zatorej te bodem slavil med narodi, Gospod, in prepeval bodem tvojemu imenu:
1312320086	Da veliko blaginjo vsakoršno podeljuješ svojemu kralju, in izkazuješ milost maziljencu svojemu, Davidu in semenu njegovemu na veke.
1313010073	Načelniku godbe, psalm Davidov. Nebesa oznanjajo slavo Boga mogočnega; in delo rok njegovih kaže njih razsežje.
1313020035	Dan dnevu bruha govorico, in noč noči kaže znanje.
131303003a	Govorice nimajo, ne besed; in brez njih umé se njih glas.
131304007b	Po vsej zemlji gre njih oznanilo, do kraja vesoljnega sveta šle so njih govorice; odkar je solncu šator postavil na njih.
1313050064	Ker ono je kakor ženin, ki gre iz stanice svoje; raduje se kakor korenjak, ko se pripravlja na tek.
1313060072	Od kraja nebá je vzhod njegov; in ték njegov do njihovih krajev; in nič ni, kar bi bilo skrito njegovemu žaru.
1313070064	Nauk Gospodov je pošten, oživljajoč dušo; pričanje Gospodovo resnično, modrost daje nevednemu.
1313080062	Zapovedi Gospodove so pravične, srce razveseljujejo; postava Gospodova čista, razsvetljuje oči.
131309005f	Sveti strah Gospodov je čist, vekomaj ostane; sodbe Gospodove zgolj resnica, pravične so vse:
13130a0068	Zaželene, bolj ko zlato, in to kakor zlato prečisto, premnogo, in slajše ko med, in to ko čisti med.
13130b0052	Tedaj je bil služabnik tvoj opominjan po njih; njih poslušati je velik dobiček.
13130c0033	(Zmote, kdo bi jih razumel?) Mene odveži skrivnih.
13130d0079	Potem iz trdovratnosti potegni služabnika svojega, da ne gospoduje v meni; tedaj bodem pošten in čist velike pregrehe.
13130e0074	Po volji naj bodejo ust mojih besede, in srca mojega premišljevanje pred teboj; Gospod skala moja in rešitelj moj!
1314010076	Načelniku godbe, psalm Davidov. Usliši te naj Gospod ob času stiske; na višavo naj te postavi ime Boga Jakobovega.
1314020042	Pošlje naj ti pomoč iz svetišča, in sè Sijona naj te podpira.
131403003f	Dúha naj vse dari tvoje, in upepeli naj žgalno daritev tvojo.
131404003a	Dá ti naj po srci tvojem, in izpolni naj vsak sklep tvoj.
131405006b	Prepevajmo o blaginji tvoji; in v imenu Boga našega nosimo zastave; izpolni naj Gospod vse prošnje tvoje.
1314060085	Zdaj spoznavam, da Gospod brani maziljenca svojega, usliši ga z nebes svetosti svoje; po največji kreposti, blaginji desnice svoje.
1314070047	Ti vóz, in oni kónj, mi pa se spominjamo imena Gospoda, Boga našega.
1314080038	Oni se pripogibajo in padajo; mi pa vstajamo in stojimo.
1314090048	Gospod, reši! kralj sam naj usliši nas ob času, ko ga bodemo klicali.
131501006d	Načelniku godbe; psalm Davidov. Gospod, moči tvoje veseli se kralj, in blaginje tvoje kako se silno raduje!
1315020050	Željo srca njegovega mu daješ, in kar so ustne njegove govorile, ne odrékaš.
1315030057	Dà, prehitevaš ga z blagodari, na glavo njegovo pokladaš venec iz zlata prečistega.
131504004c	Življenja te je prosil, dal si mu; tudi dnî dolgost na vedno večne čase.
1315050051	Velika je slava njegova po blaginji tvoji; díko in veličastvo si položil nanj.
1315060057	Ker pripravil si mu blagoslove na vekomaj; razjasnil ga z radostjo od svojega obličja.
131507004d	Ker kralj sam upa v Gospoda; zato v zaupanji na milost Najvišjega ne omahne.
131508005f	Z roko svojo dosežeš vse neprijatelje svoje; z desnico svojo dosežeš vse svoje sovražnike.
1315090083	Narediš, da so kakor peč ognjena ob času srditega obličja tvojega; Gospod jih pogoltne v jezi svoji, kakor da jih ogenj uniči.
13150a0045	Sad njih pokončaš sè zemlje, in njih seme izmed sinov človeških.
13150b003c	Ker nameravali so ti hudo; izmišljali so naklep: ne morejo!
13150c0067	Ker staviš jih kakor gomilo; na strune svoje pokladaš pušice ter jih streljaš proti njih obličjem.
13150d0048	Dvigni se, Gospod, v moči svoji; pojmo in prepevajmo o hrabrosti tvoji.
1316010097	Načelniku godbe o prvi zarji; psalm Davidov. Bog moj mogočni, Bog moj mogočni, zakaj si me zapustil? daleč od blaginje moje, od stoka mojega besed?
131602004f	Bog moj, zakaj me ne uslišiš, ko te kličem podnevi? in ponoči ni mi pokoja.
1316030038	Saj si vendar svet, stanoviten, popolna hvala Izraelova.
131604003f	Tebi so zaupali očetje naši; zaupali so, in osvobodil si jih.
1316050048	K tebi so vpili, in oteti so bili, v té so zaupali in ni jih bilo sram.
1316060046	Jaz pa sem črv, in ne mož; sramota ljudém in zaničevanje ljudstvu.
131607003d	Vsi, ki me vidijo, namrdavajo se mi; režé se, glavó majó:
1316080048	H Gospodu pribega, reši ga naj; otmè ga naj, ker ima veselje nad njim.
131609006d	Saj ti si, ki si me potegnil iz materinega telesa, storil si, da sem brez skrbi živel na prsih matere svoje.
13160a004e	K tebi sem bil zagnan od rojstva, od telesa matere moje bodi Bog moj mogočni.
13160b003e	Ne bivaj daleč od mene, ko je blizu stiska, ko ni pomočnika.
13160c003d	Obdajajo me junci mnogi, krepki junci Bazanski obsipljejo me.
