2800000009	ማቶሳ
2801160077	ጎታ ጋራ ካሄገሮነ ሃ አመ ካአዬሰራ ፈሎይ ጎጎሀይሮን አመጉረ ሂክ ዱባ ሌ።
28011700cb	“ህክና፥ ዴለልትቲ ፋቶ ቶታይናታ ባባርትትና ኡሙልናታ መገኬሳና አማኑኤል አማምናራ፥” ፉረንና “ዋ ኖኔ ዎታ ግራ አማኖያ።”
28011800a6	ዮሴፋና ሁዱሮኮ ናባደ፥ ኤሰኮና ካጎታ ኤርግቻ ጎጎሰጌሮይ ማይራመ ኦር የላዪን ምንኬሳ ቶስ አታተ ሴተ።
280119008c	ሀሌዎ ኳሬ ኤረክሴ ታኡሙልቶይ ኤሰነ ዎታ ላኮሁዱረሮ ካአላተሮ ይትትና የሱሳ አመ ኡመ።
28020100ed	ዎኖ ሄሮዶሳ ሬደ ካኮግሬ ገስ የሱሳ ታቤተሌም ካታማይ ካይሁዳ ኡሊ ካኮአላታረ ጎራታ ባራጃ ኦቆቆራሬን ምና ታብያንኮ ኢየሩሳለም ቶስ ኤመተንጉረን፥
28020200af	ካይሁዳ ዎኖ ሊን ካአላተራ ይትት ሀጌ ግራ? ምና ታብያንነ ባካላ ዴነጉነ ኡሱን ሳጋድን ኤሜነና አመን ሆሳተን።
2802030083	ዎኖ ሄሮዶሳ ሂካ አየስ ካኮማላረ ጎራታ ኔ። ኡሱማለና ካኢየሩሳለም እባዶ ዱባ ኔ።
28020400a1	ኡሱ ካቱቃሞል ዎይቻልና ሴራ ካአይሁድ ኦአጋልስሳራን ዱባ ኩኩይሰረ ክርስቶሳ ሀጌ አላይናሮ ሆሳተ።
2802050081	እሶና፥ “ካይሁዳ ኡሊ ታግቶ ታቤተሌም ካታማይያ፤” ካሄገሮይ ሃ አማመ ጻፋመራ፤
28020600d4	“‘ኡል ካይሁዳይ ታግታ አት ቤተሌም! ካካለ ታይሁዳ ካታማልኮ ዱዶ ላኮየራታቶ፥ ጎሳኬ እስራኤል ካፎፍናራ ሞቲ ኩኮ ብናራ አመን።’”
280207009f	ኤሰኮና ሄሮዶሳ ባራጃ ኦቆቆራሬን ጎልሰ ኡምሰጉረ አዬስሳ ባካላ ካኮሙተሮ ልክኪ ጎራታ ሆሳተ ማለ።
2802080110	ባራጃ ኦቆቆራሬና ቤተሌም ቶስ ፋረጉረ “ሴየንጉዴን ይትት ማላ ዶታ፥ አንና አድ ሴይጉረ ኡሱን ጎጎሳጋድሮን ኡሱ ጎጎሄልቴን እን ቶስ አባባይዴን ኤቲ ግሮ እን ሰጋ” አመ።
28020900ee	ባራጃ ኦቆቆራሬና ዎኖ ካአመሮ ማለን አባባቴንጉረን ሰሴታን ሆረዴን። ህክና ምና ታብያንነ ካዴራን ባካላ ራ ቃጄልሳ ይትት ማንኮግሮ ባንኤ ጌረ አሌ።
28020a0043	ባካላና ካኮድያረን ጎራታ ኣሎ ገጌላተን።
28020b0116	ምን ኦሮ ካኮታባሬን ጎራታ ይትትና ኣየቴሳ ማይራመነ ዎታ ካግሮ ዴን፥ ግልቢሰንጉሬን ሳጋደን። ሳጢነክሶና ባናተንጉረን ዎርቂ፥ ኢጣናነ፥ ኡርት ታኢዳን ካአቦ ቅባት ስሰን።
28020c00b9	እሶና ሄሮዶሳ ቶስ ጎጎአባባኖንኮ ዋ ህስሎይ አታይሰ እሶን ማንኮሰጌሮ ማራን ራ ኢግልሳቴን ኡልክሶ ቶስ አባባተን።
28020d014a	ባራጃ ኦቆቆራሬን ሴተን ካኮቡዋረን ጎራታ ኤርግቻ ካዋ ዮሴፋን ሙተጉረ ክ አት ታኮአባባቶ አሪ አን ኩን ታ ሰግሮን ይትት ኣየቴሳነ ዎታ ኣት ግብጽ ቶስ ባቃጉደ ኤሰ ግር። “ሄሮዶሳ ይትት ላጋዲን ዶታራ” አመ።
28020e006f	ሃንሱን ኡሱና ኬጉረ ይትትና ኣየቴሳና ኣተጉረ ሄመን ግብጽ ቶስ ሴተ።
28020f00c4	ኤሴና ሄሮዶሳ ታጎሮ አዳላተ። ሂካኒና “ኤረኬና ኡል ካግብጽኮ ኡማየ” አማ ጎታ ካሄገሮኮት ህኢ ካአዬሰራ ሃፉራ ፈሎ ሀየ።
2802100177	ሄሮዶሳ ባራጃ ኦቆቆራሬን ኡሱ ሶባኖ አዴሰጉረ ኣሎ አማራተ፥ ባራጃ ኦቆቆራሬን ባራጃ ካኮሙተሮ ጎራታ ጎጎሰጌራንክ ማለ ጌስ ላማና ኤሰኮ ሄገልባን ካሌሮ ቤተሌምና ኡሱ ጎቦቢ ካግሮ ማማንጆልኮክ ባባር ይስ ዱባ ኩኩይሰረ ፋረ ላጋዲስሰ።
2802110059	ሀሱ ጎራታ ካሄገሮ ኤርማሳ ሃ አማመ ካሰጋመራ ፈሎ ሀየ።
28021200eb	ካኦታኔና ካአቲ ኢያኮት ያየ ራማይ ማልሳንተ። “ራሄልና ይስክሴ ማራን ኦተ፥ ጎጎኢና የላዪን ላኮዳንዴተ፥ ኣላንቲና ይስክሴ ማንኮጎየ ማራንያ።”
280213006a	ጎይ ካሄሮዶሳኮ አባባተረ ካጎታ ኤርግቻ ዮሴፋን ህስሎይ ሙተጉረ፥
280214009e	“ክንጉዴ ይትትና ኣየቴሳ ኣትጉደ ኡል ካእስራኤል አባባ፥ ይትት ላጋዲን ኦዶታሬን ጎዬራን” አመ።
280215006e	ዮሴፋና ኬጉረ ይትትና ኣየቴሳ ኣተጉረ ኡል ካእስራኤል ቶስ አባባተ።
2802160123	አየሱን ጎአመን አርክሎሳ ኣቦኬሳ ሄሮዶሳኮት ባንኤ ኡል ካይሁዳ ዎኖ ሌ ሬዳኖ ካኮማላረ ጎራታ ዮሴፋ ኤሰራ ሴይን አብሳተ። ህስሎይ ኡሱን ካኮሰጋማረ ጎራታ ታጋሊላ አዉራጃ ቶስ ሴተ።
28021700ce	ናዝረት ታአማማቶ ካታማ ቶስ ሴተጉረ ሀማጼ። ሂካኒና ካሄገሮል፥ “ካናዝረት አማምናራ” አማሜን ኦሰጋመራን ሄገሮ ፈሎይ ሀዬን።
2803010065	ኡሱ ጎራታ ካጣማቃራ ያንሳ ካይሁዳ ቃሉላቶክ ኡሊ ላላባ ኤመተ።
2803020073	ላላባኖኬሳና፥ “ዎኖናት ካዳሩረ ጋባላመራ ጩቦኮ ጉላ ጋላ” ካአማሮያ።
28030300be	ካሄገሮ እስያሳይ ሃ አማመ ካሰጋመራ ኡሱያ፥ “ቃሉላቶክ ኡሊ ‘ራ ካዋና ኤካሳ ቦባና ቱኩል ኡምሳ’ አማ ታኦካቶ ያየ።”
28030400ae	ካያንሳ ሳርስና ኦጎሮ ኦጋላኮ ካፈላመሮ ጎሌሮ ሞኦቴሳይና ጊ ሞዋታረ። ባቦኬሳና ከንተፋሮና ካጋዶ ማላብየ።
28030500a3	ኢየሩሳለምኮ፥ ካይሁዳ ኡል ዱባኮና ላጋ ካዮርዳኖስ ጎቦቢ ካግሮ ኡልኮ እባዶ ዱባ ያንሳ ቶስ ጉራማረ።
2803060064	ጩቦክሶኮና ጉላ ጋላ ላጋ ካዮርዳኖሲ ገነቴሳይ ጣማቃማ ግረን።
2803070112	ፋራሳውልኮና ሶዶቃውልኮ ካሞጋን እባዶ ኡሱ ታኮጣማቃረ ባንኤ ካኤሜታሮ ካኮድያረ ጎራታ ሃ አመ፥ “እስን ይስ ካሀበሳ ታኤማቶ ኤንገ ታዋኮ ጎጎሄሳኑን አዮያ እስን ካጎርሴ?
2803080052	ጎርታኑን ጩቦኮ ጉላ ጋላኖክስን ኦቱሳራን ፈሎ ፈላ.
28030900b1	‘አብራመ ኣቦካንያ’ ታአማታን ቆፋይ እስኦትስን አሮሶባቴን፤ ዋ ሂካ ኤኤሞልኮ አብራመን ይስ ኬስን ዳንዳራ።
28030a00ad	ጎርታ ማሳር ካጋዶል ህዲድ ጎስን ኤካተታ፥ ኢል ታኢዳን ካዱባሞን ጋ ዱባ ጎሳምናራ፤ ኤለን ኦሮና ሻፋምናራ።
28030b014e	“አን እስን ጩቦኮ ማንኮ ጉላ ጋልቴታን ማራን በከይ ጣማቅናራ፥ አየሱን ጎአመን ከፈሮ ኦቴሳና ስድን አን ካዶትሶን፥ እንኮ ካሮራሮ ሁና ካአባ እንኮ ሃሬ ኤመታራ። ኡሱና ቁሉክ አያናይና ኤለኒ እሲን ጣማቅናራ።
28030c00cd	ካኮባንጳራና ገነቴሳይ ግራ፥ አዱማ ባሳምጉደ ባንጳምናታ፥ ዳርጋማና ጎታራይ ክባምናታ፥ ጋላባ አደ ታባኖን ኤለኒ ጉባምናታ።”
28030d0079	ሀሱ ጎራታ የሱሳ ገነ ታያንሳ ጣማቃምን ጋሊላኮ ላጋ ካዮርዳኖስ ቶስ ኤመተ።
28030e00c1	ያንሳ ጎአመን፥ “ሂክ ሃ ሊን ላኮዳንዳሮ፥ አን ገነታይ ጣማቃምን ዶትሳ ግራን አት ምሲ እን ቶስ ኤማታ?” አመ እስ ትራተ።
28030f00bd	የሱሳና፥ “ኮና ላኮግሮ አት እ አም፥ ሂካ ፈላኖይ ኦቁሉማ ፈሎ ዱባ ፈላኖ ኖን ዶትሳራ” አመ። ያንሳና አየሱን እ አመ።
28031000a5	የሱሳና ጎርሰዋ ጣማቃመ በከኮ ጎጎቤይ ዳሩርና ባናንተጉደ አያና ካዋ አራበ አን ኡሱ ጉት ዳጋ ግራን ዴ።
280311009b	ኡሱ ጎራታ፥ “አን ካኮገገላይናራ፥ አን ካጌላታራ ኤረክ ሂካያ” ታአማታ ያየ ዳሩርኮ ማልሳንተ።
2804010083	ሂካኮ አባባተረ አያና ቁሉክ የሱሳ ዱርሳይ ጎጎጫፋምሮ ቃሉላቶክ ኡል ቶስ ኣተ ቤ።
280402005a	ሄመን አፋርታምና አሪ አፋርታም አጋቡኮ አባባተረ ኡኤ።
2804030094	ካጫፋረክና የሱሳ ቶስ ጋባላመረ “አት ኤረ ካዋ ጎሌተ ሂካ ኤኤሞል ባቦ ጎጎሌሮ አጃጂ” አመ።
28040400b5	የሱሳና፥ “እባዶ ህኢ ታዋኮ ካብያሮ ሃፉራ ዱባ ኳሬ ባቦ ካላሊ ላኮግራሮ አማመ ማጻፋ ቁሉክ ጻፋመራ” አመ አባበ።
2804050098	አደና ዱርሳ የሱሳ ቁሉት ካታማ ኢየሩሳለም ቶስ ኣተ ሴተጉረ ቁሉክ ምን ካዋይ ብርጠ ኣተ ቤጉረ፥
2804060114	“አት ኤረ ካዋ ጎሌተ” “ሄገልዴ እሲ ፍርም፥ ሉቃኦታ ኤኤሞይ ጎጎሀንዱዱፋኖንኮ እሶ ገነትሶይ ጎጎኬስናዉን ኤርግቻል ኩ ማራን አጃጅናራ አማመ ማጻፋ ቁሉክ ጻፋመራ አመ።”
280407008c	የሱሳና፥ አባበረ፥ “ጎታ ሄዶካ አሮጫፍተ አማመ አደ ማጻፋ ቁሉክ ጻፋመራ” አመ አባበ።
28040800a6	አደና፥ ዱርሳ የሱሳ ኣሎ ጦቂ ታአንተ ዎዳሚ ኮርሰጉረ አላምኮክ ዎኖላል ካባጃትሶነ ዎታ ኡሱን ቱሰጉረ፥
2804090071	“አት እን ሆረ ኢጉደ ግልቢስ ጎሳጋደ ሂካ ዱባ አን ኩን ስስናራ አመ።”
28040a00c2	የሱሳና፥ “አት ጻላየ እን ሆረኮ ፋክአም! ‘ዋ ሄዶካዉን ሳጋድ፤ ኡሱ ካላልና ሄዶይሳ’ አማመ ማጻፋ ቁሉክ ጻፋመራ” አመ።
28040b0064	ኤሰኮና ዱርሳ ኢሰ ሴተ፤ ኤርግቻልና ኤመተጉረ ኡሱን ሀንዳየ።
28040c005c	የሱሳ ሻማኖ ካያንሳ ማለረ ኡል ካጋሊላ ቶስ አባባተ ሴተ።
28040d00c4	ታናዝረት ካታማ ኢሰጉረ፤ ዛብሎንና ንፍታሌምኮት አዉራጃይ ታጋሊላ ላቡ ግርዲ ታግቶ ታቅፍረናሆም ካታማይ ግራኖ ሀጋአበ።
28040e006b	ሂካኒና ካሄገሮ እስያሳይ ሃ አማሜን ኦሰጋመራን ሄገሮ ፈሎ ሀዬን።
28040f0093	“ኡል ካዛብሎንና ኡል ካንፍታሌም፥ ዮርዳኖስኮ ጋማ ላቡ ግሪ ካግሮ ራ ዶሌ ካጋሊላ አይዛብ፥
280410006b	ሙጉዲ ካግረ ጎሳ ካአቲ ኢፋ ዴ፤ ሆስ ታጎይ ካግረ እባዶና ኢፋ ቤ።”
280411009c	ሀሱ ጎራታኮ ሀጋአበረ የሱሳ፥ “ዎኖናት ካዳሩረ ጋባላመራ ጩቦኮ ጉላ ጋላ” አመ ላላባኖ ሀጋአበ።
280412010e	የሱሳ ታጋሊላ ላቡ ግርንደ ሮራ ግራን አቢላል ላማ ጴጢሮሳ ካአማማሮ ስሞናነ አቢኬሳ እንድራሳነ ዴ። ኩኑኡብ ኦአባታሬን ማንኮሌን ማራን ማራብትሶ በከሮ ሉጉዳታ ግረን።
280413009a	የሱሳና “ኮዬን እን ዴበ ሰሴዬን” እባዶ ዎኖናት ካዋ ቶስ ጎጎኬንታኑን አን እስን የልናራ አመ።
280414004d	ጎርሰዋ ማራብትሶ ኢሴንጉሬን ኡሱ ዴበ ሰሴተን።
28041500fc	ኤሰኮ ጎጎሮረይ ታካለ አቢላል ላማ ኤረ ካዛብዶሳ ያይቆባና አቢኬሳ ያንሳነ ዴ። ኣቦክሶ ዛብዶሳነ ዎታ ዎላቦ ኦሮ ማራብትሶ ኤካሳታ ግረን፤ የሱሳና እሶ ኡመ፤
280416005e	ጎርሰዋ እሶ ዎላቦትሶና ኣቦክሶ ኢሰን የሱሳ ዴበ ሰሴተን።
2804170124	የሱሳና አይሁድኮክ ምን ካኤብ ዎኖናት ካዋኮክ ካገጌሎ ሃፉራ አጋልስሳና ላላባ፤ ጎሳ ኦሮ ካግሮ ማምስክ ሀዉኣምኮና ማሪ ጉት ታግቶ ራኮ ታሞጋንኮ ፋይሳ ካጋሊላ ኡል ዱባ ማራሙራ ግረ።
2804180174	ሂካኮ ካከይ አታንኬሳ ካሶርያ ኡል ዱባ ማልሳመ፤ ጎሳና ካለካለክ ሀዉኣም ሀዉኣማ ካግረና፤ ማር ኦሮክ ሀዉኣም ካሜላኒ አቦሳማረን፤ ዱርሳ ጉት ካኮግረና ካጋጋዱ ሀዉኣም ኦአባናየን፤ ናፋለሳል ዱባ ኡሱ ቶስ ከነን፤ ኡሱና እሶ ፋይሰ።
28041900d5	ሂካኮ ካከይ፤ ጋሊላኮና፥ ካታማ ቶሞንኮ ኢየሩሳለምኮ፥ ይሁዳኮና፥ ላጋ ካዮርዳኖስ ጋማኮ ካኤመተራ ካሞጋን እባዶ የሱሳ ዴበ ሰሴተ።
2805010093	የሱሳ ጎሳ ካኮድያረ ጎራታ ዎዳም ቶስ ቤጉረ ሀማጼ፤ ኡሱኮ ኦአጋልሳታረን ኡሱ ቶስ ኤመተን።
280502002d	ሃ አማ አጋልስሳኖ ሀጋአበ።
2805030072	“አያናክሶይ ዋ ኦዶታታራን ኦሶማሳመንያን፤ ዎኖናት ካዳሩረ ካክሶያ።
2805040055	ኦጋዳራን ኦሶማሳመንያን፤ ዋኮ ጎጎኢና ሄላይናራን።
280505004b	ፋያንካኒዕ ኦሶማሳመንያን፤ ኡልና ኤልናራን።
280506005b	ቁሉማ ኦኡኣራና ኦሱጉባታራን ኦሶማሳመንያን ባራራንዋ።
2805070056	ሻጋ ኦየላራን ኦሶማሳመንያን፤ ዋኮ ሻጋ ሄላይናራን።
2805080053	ዎዳና ቁሉ ኦኮንሌተታ ኦሶማሳመንያን፤ ዋ ድናራን።
280509005c	ኦዎጋርሳራን ኦሶማሳመንያን ይስ ካዋ አማም ኡማምናራን።
28050a007c	ቁሉማ ማራን አመረነ ኦሆሮራማራን ኦሶማሳመንያን፤ ዎኖናት ካዳሩረ ካክሶያ።
28050b0094	“እባዶ ኣላንቲቴይ እስን ጎሀባረ ጎሆሮረና፤ ሜላነ ዱባ እስን ጉት ጎአዬሰ ኦሶማሳንቴታን።
28050c00d2	ዳሩሪ እስን ታአታይናታን ሙራ ታአቲ ማንኮሌተ ማራን ገጌላየን፤ ገጌሎ ቱሳ። እስንኮ ሆረነ ኦግረን ኦሄገሮል ሂካማሌ ሆሮረራን።”
28050d00ee	“እስን ታኡሌ ኤሰቦታን። ኤሰቦ ታኤሰቦ ኦኖሞንጀ ጎዋተ አባባይ ኦኖሞንጀ የላዪን ዳንዳታ? ሳር ሻፋምደ ሉክ ታእባዶይ ዳዳራምን ኳሬ ላኦ ላኮአብቶ።
28050e0071	“እስን ካአላም ኢፋታን። ዎዳም ጉት ታግታ ካታማ ስያምን ላኮዳንዴቶ።
28050f00c1	ዳብ ሀንቃይሳተረ ዳቾ ሄገሊ ጎልሳተ ካካታራ እባዶ ላኮግሮ። ምን ኦሮ ካግሮ ዱባን ጎጎሀንቃይሮ ቦላንሶ ጉት ካይን ኳሬ።
28051000b4	ሂካማሌና እባዶ ኦኢዳን ፈሎኦትስን ዲጉረ ዳሩሪ ካግሮ ኣቦክስን ጎጎካባጅሮን ኢፋክስን እባዶ ሆረ ሀሃንቃዎ።”
28051100af	“አን ሴራ ካሙሴና ካሄገሮ ኢግልስን ካኤመየሮ አን እስኑን አሮሌኖ፤ ፈሎ ሀይስን ኳሬ ኢግልስን ላኮኤሜየሮ።
28051200ce	አን ሩምና እስኑን አማራ፥ ኡልና ዳሩርና ታ ሮራኒ ሴራ ዱባ ፈሎ ሀይናራ ኳሬ ሴራኮ ፍዳለ ቶ ጎርቱን ኤጋኖ ኮ ዱዶ ላኮኢግልሳምሮ።
2805130198	ሃንሱን ማዮና ሂካ አጃጃ ዱባኮ ክጫርክ ጎባሰ ካካለና ጎጎባስሮ ጎአጋልስሰ ዎኖናት ካዳሩረይ ዱባንኮ ክጫርክ አማም ኡማምናራ። አየሱን ጎአመን ሂካ አጃጃል ፈሎ ሀይሳ ኦካለና ፈሎይ ጎጎሀይስናዉን ካአጋልስሳራ ሀሱ ዎኖናት ካዳሩሬት ካንጂንክ አማምናራ።
28051400db	ቁሉማትስን ታፋራሳውልኮና ሴራ ካሙሴ ኦአጋልስሳራንኮት ቁሉማኮ ሮር ጎሙቶን ዎኖናት ካዳሩረ ቶስ ኢጂ ታብን ላኮዳንዳታን አን አማራ።”
28051500b9	“ካሆሬ እባዶነ ‘እባዶ አሮላጋዴን ካአማመሮ እስን ማልቴታን፤ እባዶ ካላጋዳራ ፍርዳምናራ ካአማመሮ ማልቴታን።’
280516013a	አን ጎአመን ሃ አማራ፤ አቢኬሳ ራካሊ ካኢንጋማራ ዱባ ፍርዳምናራ፤ ጎርቱን አቢኬሳ ‘ካማድኖን’ ካአማራ ታአይሁድ ሾንጎይ ሆሳምናራ፤ ‘ታቶዋ’ ካአማራ አደ ታጋነም ኤሌንኮክ ፍርዳ ኡሱ ኦራታራ።
28051700ae	“ሃንሱን ጃርሶካ ባንኤ ታፋላ ጉት ካይተደ ዋዉን ካኮስሳቶ ጎራታ አቢካ ኩ ካኮቁቃመራ አየስ ኩን ቃል ጎአመ፥
28051800ae	ጃርሶካ ኤሰ ባንኤ ታፋላ ሆረ ኢሳግጉደ ሆራርጀ ሴጉዴ አቢካነ ዎታ ዎጋር፤ ኤሰኮ አባባደ ጃርሶካ ዋዉን ስስ።
28051900e4	“ኩ ካሞታራ ባራጋራካ ኩ ጎጎፍርድሶንኮ፥ ዳናና ካሻሮን ሮርስ ኩ ጎጎስሶንኮና ምን ካሻኖ ጎጎታብሶንኮ ራድ ግራን ሳም ባራጋራካነ ዎታ ዎጋር።
28051a0098	አን ኩን ሩምና አማራ፥ ኡሱ ኩ ጎፍርድሰ አድ ማራጋደ ዱባ አት ሙር ታጉድሶ ኤሰኮና ላኮብናቶ።”
28051b003e	“አሮሻርሙጢቴን ካአማመሮ ማልቴታን።
28051c00a4	አን ጎአመን እስኔ ሃ አማራ፤ ሄለል ታሀልቻ እሊ ካድያራ ዱባ ዎዳናቴሳይ ኤሰነ ዎታ ሻርሙጠራ አማኖያ።
28051d00cc	ታመርገ እልታታ ጩቦን ኣላንቲ ጎሌተ ጎርሰዋ ቤስ ሻፍ፥ ማርካ ዱባ ታጋነም ኤለን ቶስ ሻፋማናኮ ማርካኮ ባንኤ ቶ ዋታኖያ ሆረክ።
28051e00b9	ገነ ታመርገታታ ጩቦን ኣላንቲ ጎሌተ ጎስጉደ ሻፍ! ማርካ ዱባ ጋነም ቶስ ሻፋማናኮ፤ ማርካኮ ባንኤ ቶ ዋታኖ ሆረክ።”
28051f0092	“‘ኦርቴሳ ከልክ አመ ካቤሳራ ዱባ ከልክ ካኮአመሮ ዎራቃታ ኤሰን ስሳኖ ዶትሳራ አማመራ።’
2805200176	አን ጎአመን እስኔ ሃ አማራ፤ ኤሰ ካካለኔ ዎታ ሻርሙጣ ግራን ጉት ጎአበ ኳሬ፤ ኦርቴሳ ከልክ አመ ካቤሳራ ዱባ ኤሰ ካካለኔ ዎታ ጎጎሻርሙጢቶ ካየላሮያ። ሂካ ጋራይ ከልክ አማንተ ታቤተቶ ሄለልትቲ ካአታታራና ካሻርሙጣሮ ኣን ቶታማራ።”
280521009e	ካሆሬ እባዶን፥ “ጣራ አሮአማቴን፤ አየሱን ጎአመን ዋይ ሆረ ካአማተቶ ኦራ” ካአማመሮ ማልቴታን።
2805220094	አን ጎአመን እስኔ፤ “ሱረ አሮአማቴን” አማራ። ዳሩሪ ጎሌና አሮአማቴን፥ ኮርፍንጀ ካዋታ።
28052300a0	ኡሊ ጎሌና አሮአማቴን፤ ሉክ ታዋ ታኮፎልሳቶያ፤ ኢየሩሳለምና አሮአማቴን ታንጂንት ታዎኖ ካታማታ።
2805240088	እስኦታይ ጎሌና አሮአማተ፤ መተካክ ፊጣ ኮ ጉማራ ጎርቱን ጋምባላ የልን ላኮዳንዳቶ።
28052500b9	ሃንሱን አዬሳ ግራን አዬስክስን ጎኢማና “እ” አደ ጎላአማና “ላ” ሀሌዎ። ሂካኮ ካካለ ዱባ ካሜላንኮ ካኤሜታሮያ።
280526006e	“እል ማራን ኢል፥ ኢልኮ ማራን ኢልኮ፥” ካአማመሮ እስን ማልቴታን።
28052700ea	አን ጎአመን እስኔ ሃ አማራ፤ ታሜላን ካፈላሮ እባዶት አሮኔባቴን፤ አየሱን ጎአመን ሀንጎሮጫካ ካመርጌ ካባሳሮን ካካለ ሀንጎሮጫ ካበተ አድ ቱሳ።
280528006a	እባዶት ኮ ቆሎካ አታይን ኩ ጎሞቴ ሳርስ ካባነ አድጉደ ኡሱን ስስ።
280529007e	እባዶት ኮ ኩኔ ባንኤ ቶ ሴና አም ኩ ጉት ጎሁኖመ ኡሱ ራኮክ አምባ ኡሱነ ዎታ ሴ።
28052a005c	ኩኮ ካኤባታሮን ስስ፤ አምአይን ካዶታታሮኮና አሮትራተ።
28052b004a	“ኦላታ ጌላ ዲናካ ዲድ ካአማመሮ ማልቴታን።”
28052c0073	አን ጎአመን ዲናጆልክስና ጌላየን፥ እስን ኦሆሮራራዉና ኤባየን አማራ።
28052d0103	ሂካ ማለ ማንኮ የላታን ማራንትኑን ዳሩሪ ካግሮ ኣቦክስኑን ይሳስ ልናታን። ኡሱ ካኢዳኑና ካሜላኑን ዱባን አርት ቤሳራ፤ ኢዳሞና ጩባለሳሉና ቁሎሌዉን ኡብስሳራ።
28052e009b	ካጌላታሮ ካላል ኦጌላታታን ጎሌተን መ ሙራ ሄላይናታን? ቃራጣ ኦኩኩይሳራና ላ ኡሱማሌ የላ ግራና?
28052f009b	አቢላልትስን ታላልነ ኖጎዳ ኦአታታን ጎሌተን ኦካለኮ መይ ኢዳታን? አይዛብልና ላ ሂካ የላ ግራና?
