2800000005	Matai
2802070060	Ingie Hherode aghelitu kunlai ghulazhi uru iredene hodun yan xienzide khizhesei xianxide asazho.
280208009b	Ingiedene hhelai Bolihende peizhi echigha kieliewo, "Ta echidene xianxide hhe kewonni daqinla. Ereizhi oludene made kieliele ire. Biye hhei beiile echine."
2802090092	Hhela honshanyi kielienyi chenliedene echiwo. Dunbangiese chanlasan hhe hodun hhelai melie yozho. Izhi hhe kewonyi qiorun qiende yozhi echi beiwo.
28020a0029	Hhela hodunni chanladene hende bayasuzho.
28020b0098	Giedoura orose kewonni, anaini Mereiyenyi chanlawo, papaladene hhe kewonni beiiwo. Boubei xiaxiane keighadene antan, xian, guizhuntu caoyeni mure ogiwo.
28020c006b	Huda aghelitu kunlai zhoujinde Hherodei ochirale bu echi giezhi mejieghase psedu mose goya orondene echiwo.
28020d00c6	Hhela echidene Ezhanni qienxien Yusufui zhoujinde xienjizhi kieliewo, "Chi bosizhedene kewon, anaini uduruzhi Aijide piile echi. Bi fenfulatula hhende sou. Ene kewonni Hherode ereizhi alane giezho!"
28020e0044	Ingie Yusufu xienidei bosizhedene kewon, anaini uduruzhi Aijide echi
28020f0095	Hherode fugutula hhende souwo. Ingiekushi Ezhan xienzhii tungo giezhi kieliesan kielien mutun gholughane giezho, "Bi kewonne Aijise uruzhi khizhewo."
28021000d3	Aghelitu kunla piendasei Hherode mejiedene hende hokuzho. Ingiedene aghelitu kunlase hodun kaishi giezhi khizhesan shijienni mejiedene kun peizhi Bolihen chenshi pse zhouwidedu ghuase meilani kewonlai man alawo.
280211004b	Ingiese Ezhan Yelimi xienzhii tungo giezhi kieliesan kielien mutun gholuwo,
280212008f	"Ramade nango giezhi hende wilasan shenqini sonosuwo. Lajie kesiladene oluzhi wilazho. Kesilani man widase sidaghazhi kieliesei ese chenliewo."
2802130052	Hherode fugudene Ezhanyi qienxien Aijide Yusufuni zhoujinde xienjighazhi kieliewo,
2802140065	"Chi bosizhedene kewosi, anaini uduruzhi Isilie oronde echi. Kewonni alane giesan kunla ijin fuguwo."
280215004f	Ingie Yusufu bosizhedene kewosi, anaini uduruzhi Isilie oronde khareizhi irewo.
280216009a	YajilaoHherode adane oronde Yudayani honshan danlasei Yusufu sonosudene hhende echikuse ayizho. Ingie zhoujindeni Ezhan mejieghase Jialili oronde echidene
280217009a	Nasale giesan chenshide souwo. Ingiekushi Ezhan xienzhilai tungo giezhi, "Hhei Nasale kun giezhi urune." giezhi kieliesan kielien mutun gholughane giezho.
2803010053	Hhe xienzide xili gieghasan YaheiyaYudayani hontande khizhedene chonjizhi kieliewo,
280302002d	"Ta geizhen giendu, asiman gojia chadashiwo!"
2803030079	Eneshi Isaiya xienzhi kieliesan hhe kun wo. "Hontande nie kun waradazho. 'Ezhanni moni zhunbei gie! Hhei moni zhidagha!'"
280304006f	Yaheiya loto noghosunghala giesan jienyi musizhi arasunni pixie pixieliezho. Hhe ijiesanshi machazi, shimei wo.
280305005e	Yelusalen, Yudayani go oron, Yedanheni idou oronlade sousan kunla man Yaheiyai hhende echidene
2803060033	zuine renjizhi Yedanhede Yaheiyase xili jienliezho.
28030700b3	Yaheiya olon Falisai kun, Sadugai kunla xili jienliele iresei chanladene kieliewo, "Du mogheini zhunzhughala, kien tande jianlai ireku Hudai hokukuse anda shidane giezhi kieliewo?
280308002b	Ta geizhen giesanne giekughala zhenmin gie.
280309008d	Iburaheimushi bijienyi xienren wo giezhi ta zhughedene bu sumula. Bi tande kielieye, Huda ene tashilani Iburaheimuni houdei gholugha shidane!
28030a005b	Ede sugiei mutun genzide teiwo. Gou alima ulie souku mutunlani man chizhidene khande teine.
28030b00b4	Bi tai geizhen gieghane giezhi usughala xili gieghazhoma, mase khuina iresan kun mase nenli fugie wo. Bi hhende maheini qilaseye pei dane. Hhe Shenlin, khanghala tai xili gieghane.
28030c0075	Hhe khadene baqi bareizhi tughonni boudeii baqiliezhi agidene cankude zhonlone. Arasunlai ulie xinieku khande teine."
28030d004c	Hhe shihoude ErsaJialilise Yedanhede irezhi Yaheiyase xili jienliene giezho.
28030e006a	Yaheiya hhei danlazhi kieliewo, "Bi indan chase xilii jienliese oluzho. Chi matugie mase jienliele irewo?"
28030f006f	Ersa kieliewo, "Chi dain gie. Matan ingiezhi giedene gounilai man chenjighakui wo." Ingiese Yaheiya dain giewo.
2803100087	Ersa xilii jienliedene dei ususe khizhekude asiman menzhali keizhi Hudai Ruhher ghoghochen mutun bouzhezhi goyai jiere luisei chanlawo.
280311005a	Pse asiman jierese shenqi irezhi kieliewo, "Eneshi bi oresan kewon wo. Bi hhende xiqi wo."
2804010047	Ingiedene Shenlin Ersai udurusenu hontande echise Ibilisi hhei shiizho.
2804020033	Ersa 40 qiende xieni udu orozo bareidene oliesuzho.
2804030066	Shiichen iredene Ersade kieliewo, "Chi Hudai kewon enbese enezighan tashii fenfulazhi ginan gholugha."
2804040080	Ersa kieliewo, "Jinwun jiere huaizho, 'Kun amitushi zinie ginande ulie kouine. Hudai amanse khizhesan soyuji kieliende kouine.'"
280405005c	Ingie Ibilisi Ersai uduruzhi zhiguitu chenshi Yelusalende echi mechii zui undu oronde beigha
28040600b6	kieliewo, "Chi Hudai kewon enbese jiuli bou. Jinwun jiere, 'Hhe chade oluzhi qienxienladene fenfulazhi khaghalani chii feizhi konnichii tashi jiere ulie mughughane.' giezhi huaizho."
280407004e	Ersa hhende kieliewo, "'Ezhan Hudane bu shii.' giezhi jinwun jiereye huaizho."
2804080071	Ibilisi pse hhei uduruzhi tebie undu ula jiere khireidene duyani soyuji gojia, pse gojialani henni man uzheghazhi
280409003c	kieliewo, "Chi papalazhi mii beiise enelai man chade ogiye."
28040a006a	Ersa hhende kieliewo, "Ibilisi, chi yola! Jinwun jiere huaizho, 'Zinie Ezhan Hudane beiizhi hhei shunji.'"
28040b0041	Ingie Ibilisi Ersase likai gie, qienxienla irezhi hhei ushilazho.
28040c0038	ErsaYaheiyai barei echisei mejiedene Jialilide khareiwo.
28040d0079	Khuinashi Jialilini Nasalese likai gie Jiabainunde echi souwo. Eneshi Xibulun, Nafutalidedu Jialilihaini kouisan oron wo.
28040e0059	Ingiekushi Ezhan Isaiya xienzhini tungo giezhi kieliesan kielien mutun gholughane giezho,
28040f006c	"Xibulun, Nafutalidedu kunla, haibienzini mo jiere, Yedanheni hhemiende niman kunlai Jialilide sousan kunla,
2804100061	Hhe khara oronde sousan bexinla fugie gonni chanlawo. Fugusan oronde sousan kunlade gon zhouiwo."
2804110061	Hhe shihouse kaishi giezhi Ersa chonjizhi kieliewo, "Ta geizhen giendu. Asiman gojia chadashiwo."
2804120087	ErsaJialilihai bienzide yokude Beduru giesan Ximun, jiuni Andelie ghuala haide on xiaisei chanlawo. Hhelashi zhaghasun bareisan kun wo.
2804130067	Ersa hhelade kieliewo, "Ta iredene mii dagha. Bi tai zhaghasun bareiku mutun kun bareichen gholughane."
2804140026	Hhela onni deigo jiedene hhei daghawo.
28041500ae	Ersa hhense melie yodene pse gaijiu ghualai chanlawo. Hhelashi Xibitaini kewon Yagebu, Yagebui jiuni Yaheiya wo. Hhela adarene hhantu chon jiere on huduzho. Ersa hhelai uruse
2804160031	hhela deigo chon, adasene likai gie hhei daghawo.
2804170095	ErsaJialilini gochude man yozhi hhelai huitanlade sughazhi Hudai gojiai gouxioxini chonjizhi bexinlai yanyanji gien nouzhi giemeresanlai goudaghazho.
28041800c9	Ersai minshen Xiliyade man chonji kuruwo. Kunla yanyanji gientulai uduruzhi irese Ersa goudaghawo. Yanyanji giemerezhi tendun shouisan, sheitan heisan, yanjiofen nousan, tanhon giesanlai man ireghazho.
280419005b	Tebieji olon kunla Jialili, Jijiapoli, Yelusalen, Yudaya, Yedanheni dunmiense hhei daghawo.
2805010047	Ersa olon kunlai chujieghedene ulade khirei souwo. Tujilani melie irese
280502001e	hhelade sughazhi kielie qiiwo.
2805030043	"Zhughede nanxin kunlade fuqi wine, asiman gojiashi hhelanughun wo.
280504003c	Nango giechen kunlade fuqi wine, hhelai sidaghazhi kieliene.
2805050043	Goyane meilade uzhechen kunlade fuqi wine, hhela ghazhai jienliene.
2805060050	Gundanni giene giezhi oliesuzhi undasuchen kunlade fuqi wine, hhelade kurughane.
2805070035	Ubali xiichen kunlade fuqi wine, hhelade ubali xiine.
280508003b	Zhughe ganjintu kunlade fuqi wine, hhela Hudai chujieghene.
2805090043	Heqishighachen kunlade fuqi wine, hhelai Hudai kewosi giezhi urune.
28050a0055	Gundannide oluzhi heikui shouisan kunlade fuqi wine, asiman gojiashi hhelanughun wo."
28050b0074	"Mii yenyinghala kunla tai shizheghazhi, heizhi, shiheni doghunnighala ghudan kieliezhi tai sugiese tande fuqi wine.
28050c0074	Ta hende bayasundu, asiman jiere tande ogiku jianli fugie wo. Tanse melieshiku xienzhilaiye ingiezhi biizhi daozho."
28050d006a	"Tashi duyai dansun wo. Dansunde widao widase matugie koudaghane? Yamade inji dadene bendase kunla taine."
28050e0040	"Tashi duyai gon wo. Ula jiere beighasan chenshini niuigha dane.
28050f006f	Kun zhulai jienjise ighaghala ulie komorone, zhula teiku teizi jiere jiene. Ingiese nie gie kunlade gieghan wo.
2805100070	Ingiezhi ta gonne kunlai melie zhouidene kunla ta goude giesei chanlazhi asiman jieredu adadene kuaikui ogigha."
280511007c	"Bi irese guijin, xienzhilai shuni widaghane giekui ta bu sumula. Bi guijinni widaghale ese irezho, chengun olughale irezho.
2805120077	Bi tande shuhua kielieye, asiman zemin widatula guijin jieredu nie jienjien nie bihuada ulie widazhi man chengun olune.
28051300e5	Ingiese kienliuzhe enezighan minlin jieredu zui ganii ulie zunjizhi kunlade ulie zunjise olune giezhi sughase asiman gojiade zui gani giezhi urune. Kienliuzhe minlinyi zunjizhi kunlade sughase asiman gojiade fugieni giezhi urune.
2805140067	Bi tande kielieye, tai gouni jinwun hanjia, Falisai kunlase ulie daose jiedui asiman gojiade oro dane."
280515005c	"'Kun bu ala! Kun alase panjine.' giezhi eqighanku kunlade kieliesei ta chenliezhi daozhoma,
2805160095	bi tande kielieye, gaijiudene hokuse panjine. Gaijiune, 'Guazi' giese zui fugie fayende lai echine. 'Yanhunzi' giezhi sugiese dozoheini khande orone.
2805170058	Ingiese chi sidagha gieku teizi jiere mure ogikude gaijiuchii chade hokusei sumula irese
2805180055	mureni sidagha gieku teizi konde jiesenu gaijiughalane xien goudadene mure ogile ire.
280519009f	Chi duitoughalane zhale echikude mo jiere ghujighan hheghala gouda. Pse duitou chii panjiku noyende jiuise panjiku noyen chii gunnande jiuizhi bafanzide khane.
28051a0061	Bi tande shuhua kielieye, chi 1 fen baerniliuzhe honjizhi ulie qindaghase bafanzise khizhe dane."
28051b003a	"'Piofen bu gie.' giesan kielienyi ta chenliezhi daozhoma,
28051c004d	bi tande kielieye, biereini uzhezhi hu sumulase ijin zhughedeni piofen giewo.
28051d0072	Chii borun nudun chii zui fanjighase waidene benda. Chii beyese iyanzi widazhi beyechii man dozode orokuse gou wo!
28051e0074	Chii borun kha chii zui fanjighase chizhidene benda. Chii beyese iyanzi widazhi beyechii man dozode orokuse gou wo!"
28051f004f	"Pse, 'Biereine ulie kerese hhende lihun qiuzi ogikuni wo.' giezhi kieliezhoma,
2805200094	bi tande kielieye, biereini lon kijieku yenyinse chugo lihun giese biereini piofen gieghazho. Pse lihun giesan biereini agisan kunye piofen giezho."
2805210078	"Pse, 'Fayen giesanne bu fura. Ezhande fayen giesanne zunji.' giezhi eqighanku kunlade kieliesei ta chenliezhi daozhoma,
280522005b	bi tande kielieye, yama fayen bu gie. Asimanyi zhiizhi fayen bu gie. Hheshi Hudai baozo wo.
2805230084	Zeminyi zhiizhi fayen bu gie. Hheshi Ezhan kon teiku bandou wo. Yelusalenyi zhiizhi fayen bu gie. Hheshi fugie honshanni chenshi wo.
2805240066	Qiorunne zhiizhi fayen bu gie. Chi qiorun jieredu nie ganzi usunne chighashigha dazhi kharalagha dane.
280525005d	Tai kielien enbeneshi enbene gie, pushoshi pusho gie. Enense olon kieliese Ibilisinughun wo."
2805260057	"'Nudunde nudun honji, shidunde shidun honji.' giesan kielienyi ta chenliezhi daozhoma,
2805270069	bi tande kielieye, doghun kunlare zodui bu gie. Kunla borun khizhaichii eghise soghei khizhaneye eghigha.
2805280047	Kunla chii zhazhi chii lizii jienni kerene giese mienzine jienniye ogi.
280529003a	Kunla chii biizhi 1 li mo yoghase hhere hhantu 2 li mo yo.
28052a0048	Chii xiahua giezhi kerese ogi. Chase dunxi ghuise uwo giezhi bu kielie."
28052b004b	"'Ta giebeidene ore, duitoune henji.' giesan kielienyi chenliezhi daozhoma,
28052c0044	bi tande kielieye, duitoudene ore, tai heisanlade oluzhi onxian gie.
28052d009d	Ingiezhi giese ta asimanni Adadene kewosi danlane. Hhe naranne doghun kun, gou kunni jiere man zhouighazho. Ghurani gou kun, gou witu kunde man bouzheghazho.
28052e0067	Ta zinie tande oresan kunlade orese tande yan jianli ogine? Lien shui shanjisan kunlaye ingiezhi giene.
28052f005a	Ta zinie gaijiudene zhaohu daise kunlase giedun gou wo? Lien niman kunlaye ingiezhi giene.
2805300040	Ingiese asiman jieredu Adatai onqien biku mutun taye onqienshi."
2806010088	"Ta gouni giekude xioxin giezhi kunlai melie uzheghane giezhi bu gie. Qingiezhi giese asiman jieredu tai Adase yama jianli jienlie dane.
28060200b5	Chi nanxin kunlade ogikude jiazhon giesan kunla mutun bu gie. Hhela goyane kuaighane giezhi huitan, geidoude fugiede tunguliene. Bi tande shuhua kielieye, hhelade jianli ijin ogiwo.
2806030045	Chi nanxin kunlade ogikude borun kha giesei soghei khade bu mejiegha.
2806040051	Chi ogisanne kunlade bu mejiegha. Beichazide uzhesan Adachii tande jianli ogine."
28060500be	"Ta onxian giekude jiazhon giesan kunla mutun bu gie. Hhela kunlade uzheghane giezhi huitan, shizilukoude beidene onxian giekude xiqi wo. Bi tande shuhua kielieye, hhelade jianli ijin ogiwo.
2806060080	Ta onxian giekude giedera orodene wijienyi khadene beichazide bisan Adasene onxian gie. Beichazide uzhesan Adachii jianli ogine.
2806070089	Ta onxian giekude niman kunla mutun touchan erchanji yama isi witu kielienyi bu kielie. Hhela sumulase ologhan kieliese chenliemu giezho.
280608004c	Ta hhela mutun bu gie. Ta xiahua gieku melie ta yan keresei Adatai mejiene."
2806090053	"Ingiese ta ingiezhi onxian gie, 'Asiman jieredu mai Ada, chi nierene zhiguishigha.
28060a0047	Chii gojiai iregha. Chi isine asiman jiere mutun zemin jiere chenjigha.
28060b0025	Niudunieku ijiuni enedu bijiende ogi.
28060c0045	Bijiende codasan kunlai bijien rouliesan mutun bijien codasei roulie.
28060d006d	Bijienyi shiikude bu echighazhi Ibilisii khase khizhegha. Gojia, qienli, famashi chanqi chinughun wo. Amine!'
28060e003f	Kunla codasei ta rouliese asiman jieredu Adataiye tai rouliene.
28060f004a	Kunla codasei ta ulie rouliese asiman jieredu Adataiye tai ulie rouliene."
28061000c8	"Ta orozo bareikude jiazhon giesan kunla mutun uxinne bu bougha. Hhela orozo bareisei kunlade mejieghane giezhi guyide ghuniraku yanzi khizheghane. Bi tande shuhua kielieye, hhelade jianli ijin ogiwo.
2806110034	Chi orozo bareikude qiorunne sanlazhi nune waghadene
2806120083	orozo bareisei kunlade bu chujiegheghazhi beichazide bisan Adadene uzhegha. Ingiese beichazide uzhesan Adachii chade jianli ogine."
2806130078	"Goyadene oluzhi boubeini zemin jiere bu sunji. Zemin jiere ghughei ghazhazhi xiuqirane. Ghughei nudurun waizhi ghulane.
2806140071	Boubeini asiman jiere sunji. Asiman jiere ghughei ghazha dane, ulie xiuqirane. Ghughei nudurun waizhi ghula dane.
280615002c	Chii boubei khalashi zhughechiiye khala wo."
2806160048	"Nudunchiishi beyeni zhula wo. Nudunchii goushi beyechii man gieghan wo.
2806170065	Nudunchii gou wise beyechii man khara wo. Chii sudorodu gon kharashi hhe kharani zhengiejia fugie wo.
280618009a	Kienliuzhe ghua ezhanni shunji dane. Ene niede henjise hhe niede orene. Ene niede gundushi hhe niede gongien wo. Ta Huda baer ghualai hhantu shunji dane."
28061900be	"Ingiese bi tande kielieye, ta amindene oluzhi yan ijiene, ochine giezhi munan bu gie. Beyedene oluzhi yan musine giezhi munan bu gie. Amin ijiekuse zhunyo uwonu? Beye musikuse zhunyo uwonu?
28061a00a3	Ta asiman jieredu bunzhulai nie sumula, hhela ulie tareine, ulie ghurane, cankude ulie sunjine, tai asiman jieredu ada hhelai qiezhene. Ta bunzhulase zhunyo uwonu?
28061b0044	Tani dunda kien zhughe chilakughala aminne niecha fududagha shidane?
28061c0084	Musikude yangiezhi munan giezho? Ta banche jieredu baihe chizhe matugie osisei nie sumula, hhela ulie khishilane, bosiye ulie giene.
28061d005e	Bi tande kielieye, Sulumane honshan zui henni xienzide musisanla ene nie chizhede ulie kurune.
28061e0098	Ta goude xianxin ulie giechen kunla, banche jieredu osun enedu wine, maghashijie luzide teiliuzhe Huda dou ingiezhi dabalaghazho. Tai qingie ulie gienu?
28061f0049	Ingiese, 'Ta yan ijiene? Yan ochine? Yan musine?' giezhi zhughe bu chila.
2806200069	Enelashi man niman kunla xiahua giekuni wo. Asiman jieredu Adatai tande enezighan chaisanlai man mejiene.
280621004e	Ta xien Hudai gojia, hhei gundanni xiahua gie, ingiese enelai man tande ogine.
280622007b	Ingiese ta maghashijiekude munan bu gie. Maghashijiekude maghashijie munan giekui wine. Niuduku chijiani niudushi kuruzho."
2807010029	"Ta kunlai bu kielie, pse taiye kieliene.
280702006e	Ta kunlai matui kieliese taiye qingiezhi kieliene. Ta yanghala nanjizhi ogise tandeye yanghala nanjizhi ogine.
280703005a	Chi yangiezhi gaijiune nudundedu osun zhazhai chanlane, goya nudundedu lianni chanla dane?
2807040064	Chii nudunde lian bidene matui gaijiudene, 'Bi chini nudundedu osun zhazhai agiye.' giezhi kieliene?
280705007b	Chi ene jiazhon giesan kun, xien goya nudundedu lianni agidene uzhezhi qinchu olusenu gaijiune nudundedu osun zhazhai agi."
2807060078	"Zhiguitu dunxini nogheide bu ogi. Ochira daozhese tai zhoune. Manouni khigheini melie bu tei. Khigheila manouni taine."
280707004d	"Ta xiahua gie, tande ogine. Erei, ereizhi olune. Wijienni eghi, tande niene.
280708005c	Xiahua giechen kunlade ogine. Ereichen kunla ereizhi olune. Wijienni eghichen kunlade niene.
2807090033	Tai dunda yan kunyi kewon ginan kerese tashi ogine?
28070a001e	Zhaghasun kerese moghei ogine?
28070b007d	Ta gou wiliuzhe kesiladene gouni ogikuni mejiene, asiman jieredu Adatai xiahua giechen kunlade gou dunxini genjia ulie oginu?
28070c0073	Ingiese ta kunlai goyadene matugie gieghaku duranshi taye kunlade qingiezhi gie. Eneshi guijin, xienzhilai shu wo."
28070d005e	"Ta witan wijiense oro. Fugughakude uduruku wijien fugie wo. Mo aghui wo. Orochen kun olon wo.
28070e0054	Aminde uduruku wijien witan wo. Mo yozhi chijia wo. Ereizhi oluchen kun choghon wo."
28070f0065	"Ta jia xienzhilai fangula. Hhela ghoni arasunyi zhozhi tai enende irene, sudoroni wizha zhanghei wo.
2807100066	Hhelai alimaghala hhelai tanine. Eghesun jierese putou zhei shidanu? Osun jierese uhuago zhei shidanu?
280711004c	Jien gou mutun jiere gou alima soune. Langan mutun jiere langan alima soune.
280712004d	Gou mutun jiere langan alima sou dane. Langan mutun jiere gou alima sou dane.
280713003b	Jien gou alima ulie souku mutunlai chizhidene khande teine.
2807140029	Ingiese hhelai alimaghala hhelai tanine."
2807150089	"Mii, 'Ezhan, Ezhan!' giezhi waradachen kunla man asiman gojiade orokui pusho. Zinie asimandedu Adaimi kielien mutun giechen kunla orone.
28071600b3	Hhe zuihouku udude olon kunla made kieliene, 'Ezhan, Ezhan, bijien chini niereghala chonjiwola? Chini niereghala sheitanlai touwola? Chini niereghala olon nenlitu shiqin giewola?'
280717006a	Hhe shihoude bi mindaminji hhelade kieliene, 'Bi tai tani dane. Ta enezighan uhun kunla, mase likai gie!'"
2807180084	"Ingiese mii enezighan kielienyi chenliedene giesan kunshi jienzha kun wo. Hoxian gieni fugie tashi jiere giesanghala niekielien wo.
2807190079	Ghura bou, fugie usu chunji, kei hende feiliezhi eghiliuzhe gieni ulie enbereine. Gieni jigunni fugie tashi jiere giezho.
28071a0076	Mii enezighan kielienyi chenliedene ulie giesan kunshi men kun wo. Hoxian gieni shazi jiere giesanghala niekielien wo.
28071b005f	Ghura bou, fugie usu chunji, kei hende feiliezhi eghise gie enbereine. Da enbereisan fugie wo."
28071c004f	Ersa enezighan kielienyi jianji baraghase olon kunla hhe sughasande ghanirazho.
28071d0053	Ersa hhelade sughadan hhelai jinwun hanjialai buxian wo, nie qienlitu kunni xianli.
280801003e	Ersa ula jierese bouzhi irese tebieji olon kunla hhei daghawo.
280802006f	Ingiekude nie pifugientu Ersai melie ire papaladene kieliewo, "Ezhan, chi duran bise mini ganjinragha shidane."
2808030074	Ersa khane zhighazhi hhei maqizhi kieliewo, "Bi duran wine. Chi ganjinra!" Ingiese hhei pifugienni deigo ganjinrawo.
2808040099	Ersa hhende kieliewo, "Chi kiemade bu kieliedene echizhi beyene buwade uzhegha. Musai shu jiere fenfulasan mutun Hudade mure ogizhi kunlade ganzhen bei."
2808050050	ErsaJiabainunde orose nie baifuzhan melieni irezhi Ersai xiahua giezhi kieliewo,
280806003f	"Ezhan, hojimi tanhon giesenu giede kijiedene tendun shouizho."
2808070030	Ersa hhende kieliewo, "Bi hhei goudaghale yoye."
2808080065	Baifuzhan kieliewo, "Ezhan, chi mii giede irese bi pei dane. Chii nie aman kielienshi hojimi goudane.
280809008b	Biye kunlai kha doura wo, buduila mii kha doura wo. Bi buduiladene, 'Echi!' giese echine, 'Ire!' giese irene, 'Enei gie!' giese hhe giene."
28080a0085	Ersa chenliedene ghanirazhi daghasan kunlade kieliewo, "Bi tande shuhua kielieye, bi intu xianxin giekui Isiliede uzhezhi uye daozho.
28080b0079	Bi tande kielieye, dunmien ximiense olon niman kunla irezhi asiman gojiade Iburaheimu, Isaghei, Yagebure hhantu xi soune.
28080c0061	Kharei Isilie kunlai tousenu ghadanedu kharanide echighase hhela hhende shidunne zhouzhi wilane."
28080d006f	Ingie Ersa baifuzhande kieliewo, "Chi kharei. Chi xianxin giesan mutun gholu gie." Hhe shihoude hojini goudawo.
28080e0050	ErsaBedurui giede echise Bedurui ghadunmekieni fashao giedene kijiesei chanlawo.
28080f004c	Ersa hhei khani nie maqise fashao giesan daodene hhe bosizhe Ersai ushilawo.
28081000a0	Khara oluse kunla sheitan heisan olon kunlai Ersai shida uduru irewo. Ersa nie aman kielienghala sheitanlai tou khighawo. Pse gien wineku kunlai man goudaghawo.
2808110090	Ingiekushi Ezhan Isaiya xienzhii tungo giezhi kieliesan kielien mutun gholughane giezho, "Hhe matanyi bixinni deilawo. Matanyi gienlai danjiwo."
2808120054	Ersa olon kunla hhei wiqisei chujieghedene, "Hai duimiende daoye!" giezhi fenfulawo.
2808130058	Nie jinwun hanjia melie ire hhende kieliewo, "Loushi, chi khala echise bi chii daghane."
2808140071	Ersa kieliewo, "Funieghede dun wine, asiman jieredu bunzhude ho wine, Kunnikewonde nie zhentou teiku oronda uwo."
280815004b	Pse nie tuji iredene Ersade kieliewo, "Ezhan, bi xien adane bulale echiye."
2808160053	Ersa hhende kieliewo, "Fugusan kun fugusan kunlane bulale echi gie. Chi mii dagha."
2808170030	Ersa chon jiere khireise tujilani hhei daghazho.
2808180056	Menzhali hai jiere fugie kei bosiwo. Lan chabudu chonni unaghane. Ersa da hhunturazho.
2808190063	Tujilani echizhi Ersai uru xiereigha kieliewo, "Ezhan, bijienyi jiui! Bijienyi amin widane giezho!"
28081a008d	Ersa kieliewo, "Ta ene Hudai gou xianxin ulie giechen kunla, yangiezhi ayizho?" Ingie bosizhedene kei, haini nie sugiese nanranghane gholuwo.
28081b0052	Kunla ghaniradene kieliewo, "Eneshi yan kun wo? Kei, haiye kielienyini chenliene."
