0100000007	Genèse
01011e00c4	et à tous les animaux de la terre, et à tous les oiseaux des cieux, et à tout ce qui se meut sur la terre ayant âme vivante, [je donne] toute la verdure des plantes pour aliment. Et ainsi fut.
01011f0079	Et Dieu vit tout ce qu'il avait fait; et voici, cela était très bon. Et il y eut soir et il y eut matin: sixième jour.
0102010044	Et ainsi furent achevés les cieux et la terre et toute leur armée.
0102020087	Et Dieu acheva le septième jour son œuvre qu'il avait faite, et Il se reposa le septième jour de toute son œuvre qu'Il avait faite.
0102030088	Et Dieu bénit le septième jour et le consacra, parce que ce jour-là Il se reposa de toute son œuvre qu'il avait créée en agissant.
0102040078	C'est ici l'histoire des cieux et de la terre lors de leur création, lorsque l'Éternel Dieu fit les cieux et la terre.
01020500f7	Or, tous les arbustes des champs n'étaient point encore sur la terre, et toutes les plantes des champs n'avaient pas germé; car l'Éternel Dieu n'avait pas encore fait pleuvoir sur la terre; et il n'existait point d'homme pour travailler le sol.
010206004e	Mais un brouillard s'élevait de la terre et imbibait toute la surface du sol.
0102070099	Alors l'Éternel Dieu forma l'homme de la poudre de la terre, et Il souffla dans ses narines l'haleine de la vie, et l'homme devint une personne vivante.
0102080067	Et l'Éternel Dieu planta un jardin en Eden vers l'Orient, et Il y établit l'homme qu'il avait formé.
01020900c6	Et l'Éternel Dieu fit germer du sol toutes sortes d'arbres agréables à la vue et bons pour la nourriture, et l'arbre de la vie au milieu du jardin et l'arbre de la connaissance du bien et du mal.
01020a0068	Et un fleuve sortait d'Eden pour arroser le jardin; et depuis là il se divisait et formait quatre bras.
01020b004d	Le nom du premier est Pison: il entoure tout le pays de Havila, où est l'or;
01020c004e	et l'or de ce pays-là est bon: là se trouve le bdellium et la pierre d'onyx.
01020d0045	Et le nom du second fleuve est Gihon: il entoure tout le pays de Cus.
01020e0073	Et le nom du troisième fleuve est Hiddekel; il coule à l'orient d'Assur. Et le quatrième fleuve c'est le Phrath.
01020f0068	Et l'Éternel Dieu prit l'homme, et l'établit dans le jardin d'Eden pour le cultiver et pour le garder.
0102100070	Et l'Éternel Dieu imposa un commandement à l'homme en ces termes: Tu peux manger de tous les arbres du jardin;
010211007f	mais de l'arbre de la connaissance du bien et du mal, tu n'en mangeras pas, car le jour où tu en mangeras, de mort tu mourras.
010212006a	Et l'Éternel Dieu dit: Il n'est pas bon que l'homme soit seul; je lui ferai une aide qui lui corresponde.
0102130100	Puis l'Éternel Dieu forma de la terre tous les animaux des champs et tous les oiseaux des cieux, et Il les amena à l'homme pour voir quel nom il leur donnerait, et tous les noms que l'homme leur donnerait, aux animaux vivants, devaient rester leurs noms.
01021400ab	Et l'homme nomma de noms tous les bestiaux et tous les oiseaux des cieux, et toutes les bêtes des champs; mais pour l'homme il ne trouva pas d'aide qui lui correspondît.
0102150093	Alors l'Éternel Dieu fit tomber un profond sommeil sur l'homme, qui s'endormit; et Il prit l'une de ses côtes, et referma les chairs en son lieu.
0102160061	Et l'Etemel Dieu bâtit en femme la côte qu'il avait prise de l'homme, et Il l'amena à l'homme.
010217008b	Alors l'homme dit: Cette fois, c'est os de mes os, chair de ma chair! On l'appellera femme-d'homme, parce qu'elle a été prise de l'homme.
0102180075	C'est pourquoi un homme quittera son père et sa mère pour s'attacher à sa femme, et ils formeront une seule chair.
0102190056	Et ils étaient les deux nus, l'homme et sa femme, et ils n'en avaient point de honte.
01030100c6	Or le serpent était plus rusé que tous les animaux des champs qu'avait faits l'Éternel Dieu; et il dit à la femme: Dieu serait allé jusqu'à dire: Vous ne mangerez d'aucun des arbres du jardin!
0103020048	Et la femme dit au serpent: Nous mangeons du fruit des arbres du jardin;
010303008b	mais du fruit de l'arbre qui est au milieu du jardin, Dieu a dit: vous n'en mangerez pas et n'y toucherez pas, de peur que vous ne mouriez.
0103040042	Alors le serpent dit à la femme: Non, non, vous ne mourrez point;
0103050084	mais Dieu sait que du jour où vous en mangerez vos yeux seront ouverts et vous serez comme des dieux connaissant le bien et le mal.
01030600d8	Et la femme vit que l'arbre était bon à manger et qu'il avait des appas pour les yeux et qu'il était délicieux à contempler; puis elle prit de son fruit, et en mangea et en donna aussi à son mari qui en mangea.
01030700a4	Alors les yeux de l'un et de l'autre furent ouverts, et ils s'aperçurent qu'ils étaient nus, et ils cousirent des feuilles de figuier pour se faire des ceintures.
01030800b9	Et ils entendirent la voix de l'Éternel Dieu qui parcourait le jardin au moment du vent du jour, et l'homme et sa femme se cachèrent devant l'Éternel Dieu parmi les arbres du jardin.
010309003a	Mais l'Éternel Dieu appela l'homme et lui dit: Où es-tu?
01030a0072	Et il répondit: J'ai entendu ta voix dans le jardin, et j'ai eu peur, parce que je suis nu, et je me suis caché.
01030b0067	Et Il dit: Qui t'a découvert que tu es nu? As-tu mangé de l'arbre dont je t'avais défendu de manger?
01030c0082	Et l'homme répondit: La femme que tu m'as donnée pour compagne, c'est elle qui m'a donné [du fruit] de l'arbre, et j'ai mangé.
01030d0079	Alors l'Éternel Dieu dit à la femme: Qu'as-tu fait-là? Et la femme répondit: Le serpent m'a séduite, et j'ai mangé.
01030e00db	Alors l'Éternel Dieu dit au serpent: Puisque tu as fait cela, sois maudit de tous les animaux et de toutes les bêtes des champs; tu marcheras sur ton ventre et tu te nourriras de la poussière tout le temps de ta vie.
01030f009b	Et je mets l'inimitié entre toi et la femme, et entre ta postérité et sa postérité; celle-ci s'attaquera à ta tête, et tu t'attaqueras à son talon.
01031000be	A la femme Il dit: Je rendrai tes grossesses grandement pénibles; c'est en travail que tu enfanteras des enfants; et tes désirs tendront vers ton mari et il te tiendra sous sa dépendance.
010311011f	Et Il dit à Adam: Parce que tu as prêté l'oreille à la voix de ta femme, et que tu as mangé de l'arbre au sujet duquel je t'avais donné cet ordre: Tu n'en mangeras point! le sol sera maudit à cause de toi; c'est avec labeur que tu en tireras ta nourriture tout le temps de ta vie,
0103120054	et il te produira des ronces et des chardons, et tu mangeras les plantes des champs;
01031300b2	tu mangeras ton pain à la sueur de ton front, jusqu'à ce que tu sois rendu à la terre; car c'est d'elle que tu as été tiré; car tu es poudre et tu seras rendu à la poudre.
0103140047	Et Adam nomma sa femme Ève; car elle fut la mère de tous les vivants.
010315005f	Et l'Éternel Dieu fit pour Adam et pour sa femme des tuniques de fourrure et Il les en vêtit.
01031600f6	Et l'Éternel Dieu dit: Voici, l'homme est devenu comme l'un de nous pour la connaissance du bien et du mal, mais maintenant, de peur qu'il n'étende la main et ne prenne aussi de l'arbre de la vie et qu'il n'en mange et ne vive éternellement…
0103170062	Alors l'Éternel Dieu l'envoya loin du jardin d'Eden travailler le sol d'où il avait été tiré,
010318009a	et Il bannit l'homme et posta à l'orient du jardin d'Eden les Chérubins armés de la flamme de l'épée agitée pour garder le chemin de l'arbre de vie.
010401007d	Et Adam connut Ève, sa femme, et elle conçut et enfanta Caïn, et elle dit: J'ai gagné un homme avec l'aide de l'Éternel.
010402005e	Puis elle enfanta encore son frère Abel. Et Abel fut pasteur de brebis, et Caïn agriculteur.
010403005c	Et au bout d'un certain temps Caïn offrit à l'Éternel une oblation de fruits de la terre.
010404008f	Et Abel offrit lui aussi des premiers-nés de ses troupeaux et de leur graisse. Et l'Éternel arrêta ses regards sur Abel et sur son offrande;
0104050078	mais il n'arrêta point ses regards sur Caïn et son offrande. Et Caïn fut très irrité, et il avait le visage abattu.
010406005d	Alors l'Éternel dit à Caïn: Pourquoi t'irrites-tu et as-tu le visage abattu? N'est-ce pas?
01040700a2	Si tu fais bien, tu as la tête levée, mais si tu ne fais pas bien, le péché se rase à la porte, et ses désirs sont tendus vers toi; mais tu dois le dominer.
0104080085	Et Caïn parla à son frère Abel, et il arriva que, comme ils étaient aux champs, Caïn se dressa contre son frère Abel et le tua.
010409007b	Alors l'Éternel dit à Caïn: Où est Abel, ton frère? Et il répondit: Je ne sais pas: suis-je le gardien de mon frère?
01040a0054	Et Dieu: Qu'as-tu fait? La voix du sang de ton frère crie de la terre jusqu'à moi.
01040b0067	Dès-là sois maudit de la terre qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère.
01040c0068	Quand tu travailleras le sol, il ne t'accordera plus sa vertu; tu seras errant et vagabond sur la terre.
01040d0047	Et Caïn dit à l'Éternel: Ma peine est trop grande pour la supporter.
01040e00a9	Voici, tu m'as banni en ce jour de la contrée, et loin de ta face il faut me cacher, et je me trouve errant et vagabond sur la terre, et quiconque me trouvera me tuera.
01040f00b0	Et l'Éternel lui dit: Aussi, qui que ce soit qui tue Caïn, il sera vengé sept fois. Et l'Éternel assura Caïn par un signe que quiconque le trouverait, ne le tuerait point.
010410006c	Et Caïn sortit de la présence de l'Éternel et séjourna dans la région de Nod (exil) à l'orient d'Eden.
0104110082	Et Caïn connut sa femme, et elle devint enceinte et enfanta Henoch. Et il bâtit une ville qu'il nomma du nom de son fils Henoch.
0104120079	Et à Henoch naquit Hirad, et Hirad engendra Mahujaël, et Mahujaël engendra Methusaël, et Methusaël engendra Lémech.
0104130055	Et Lémech prit deux femmes: le nom de l'une était Hada et le nom de l'autre Tsilla.
010414006b	Et Hada enfanta Jabal: c'est lui qui fut le père de ceux qui vivent sous des tentes et avec des troupeaux.
0104150074	Et le nom de son frère était Jubal: c'est lui qui fut le père de tous ceux qui jouent du luth et de la cornemuse.
010416008d	Et Tsilla de son côté enfanta Thubal-Caïn qui forgeait tous les instruments d'airain et de fer. Et la sœur de Thubal-Caïn était Nahuma.
01041700c4	Et Lémech dit à ses femmes: Hada et Tsilla, entendez ma voix, Femmes de Lémech, écoutez ma parole! C'est que je tue l'homme qui me fait une blessure, Et le jeune homme qui me fait une piqûre!
010418005d	C'est que, sept fois Caïn a-t-il été vengé, Soixante-dix-sept fois Lémech saura l'être.
01041900d0	Et Adam connut encore sa femme, et elle enfanta un fils, et elle lui donna le nom de Seth (remplaçant) «car Dieu m'a constitué une autre postérité en place d'Abel, parce que Caïn lui a donné la mort.»
01041a0083	Et il naquit aussi un fils à Seth, et il l'appela du nom de Enos. C'est alors que l'on commença à invoquer le nom de l'Éternel.
0105010063	C'est ici le livre de l'histoire d'Adam. Lorsque Dieu créa l'homme, Il le fit ressemblant à Dieu.
0105020063	Il les créa mâle et femelle, et les bénit et leur donna le nom a d'homme lors de leur création.
0105030075	Et Adam ayant vécu cent trente ans engendra [un fils] de sa ressemblance, à son image, et lui donna le nom de Seth.
0105040071	Et les jours d'Adam après la naissance de Seth, furent de huit cents ans; et il engendra des fils et des filles.
010505004d	Et tout le temps que vécut Adam fut de neuf cent trente ans, puis il mourut.
0105060030	Et Seth ayant vécu cent cinq ans engendra Enos.
0105070065	Et après la naissance d'Enos, Seth vécut huit cent-sept ans; et il engendra des fils et des filles.
0105080045	Et tous les jours de Seth furent neuf cent douze ans, puis il mourut.
0105090039	Et Enos ayant vécu quatre-vingt-dix ans engendra Keinan.
01050a006a	Et après la naissance de Keinan, Enos vécut huit cent quinze ans; et il engendra des fils et des filles.
01050b0043	Et tous les jours d'Enos furent neuf cent-cinq ans; puis il mourut.
01050c003c	Et Keinan ayant vécu soixante-dix ans engendra Mahalaleël.
01050d0073	Et après la naissance de Mahalaleël, Keinan vécut huit cent quarante ans, et il engendra des fils et des filles.
01050e0045	Et tous les jours de Keinan furent neuf cent-dix ans, puis il mourut.
01050f003c	Et Mahalaleël ayant vécu soixante-cinq ans engendra Jared.
0105100070	Et après la naissance de Jared, Mahalaleël vécut huit cent trente ans, et il engendra des fils et des filles.
010511005a	Et tous les jours de Mahalaleël furent huit cent quatre-vingt-quinze ans, puis il mourut.
010512003c	Et Jared ayant vécu cent soixante-deux ans engendra Henoch.
0105130065	Et après la naissance de Henoch, Jared vécut huit cents ans, et il engendra des fils et des filles.
010514004e	Et tous les jours de Jared furent neuf cent soixante-deux ans, puis il mourut.
010515003c	Et Henoch ayant vécu soixante-cinq ans engendra Methusalah.
0105160075	Et après la naissance de Methusalah, Henoch marcha avec Dieu trois cents ans, et il engendra des fils et des filles.
0105170040	Et tous les jours de Henoch furent trois cent soixante-cinq ans.
0105180043	Et Henoch marcha avec Dieu, et il disparut, parce que Dieu le prit.
0105190069	Et Methusalah ayant vécu cent quatre-vingt-sept ans engendra Lémech, et après la naissance de Lémech,
01051a0059	Methusalah vécut sept cent quatre-vingt-deux ans, et il engendra des fils et des filles.
01051b0053	Et tous les jours de Methusalah furent neuf cent soixante-neuf ans, puis il mourut.
01051c0043	Et Lémech ayant vécu cent quatre-vingt-deux ans engendra un fils.
01051d0095	Et il lui donna le nom de Noé en disant: Celui-ci nous consolera du pénible labeur de nos mains, qui procède de la terre que l'Éternel a maudite.
01051e0078	Et après la naissance de Noé, Lémech vécut cinq cent quatre-vingt-quinze ans, et il engendra des fils et des filles.
01051f0054	Et tous les jours de Lémech furent sept cent soixante-dix-sept ans, puis il mourut.
0105200045	Et Noé étant âgé de cinq cents ans engendra Sem, Cham et Japheth.
0106010075	Et lorsque les hommes eurent commencé à se multiplier sur la face de la terre, et que des filles leur furent nées,
0106020083	les fils de Dieu virent que les filles de l'homme étaient belles, et ils en prirent pour femmes parmi celles qu'ils préféraient.
01060300b3	Alors l'Éternel dit: Mon Esprit ne régira pas éternellement l'intérieur de l'homme; par suite de son égarement il [n'] est [plus que] chair; et sa vie sera de cent vingt ans.
01060400d7	Les géants existaient sur la terre en ce temps-là; et aussi, après que les fils de Dieu se furent approchés des filles des hommes, celles-ci leur donnèrent des fils qui sont ces héros fameux dès l'antiquité.
01060500b2	Et l'Éternel vit que la méchanceté des hommes était grande et générale sur la terre, et que toutes les pensées formées par leur cœur n'étaient toujours que pure malice.
010606006c	Et l'Éternel se repentit d'avoir fait l'homme sur la terre, et Il en ressentait de la douleur en son cœur.
01060700d0	Alors l'Éternel dit: Je ferai disparaître de la face de la terre l'homme que j'ai créé, à partir de l'homme jusqu'au bétail et aux reptiles et aux oiseaux des cieux; car je me repens de les avoir faits.
010608002f	Mais Noé trouva grâce aux yeux de l'Éternel.
010609007a	C'est ici l'histoire de Noé. Noé était un homme juste, accompli parmi les hommes de son temps. Noé marchait avec Dieu.
01060a0032	Et Noé engendra trois fils, Sem, Cham et Japheth.
01060b0053	Et la terre se corrompait à la face de Dieu, et la terre se remplissait de crimes.
01060c006d	Et Dieu regarda la terre, et voici, elle était corrompue, toute chair avait corrompu ses voies sur la terre.
01060d00a5	Alors Dieu dit à Noé: La fin de toute chair est arrêtée par devers moi, car la terre est remplie de crimes par eux, et voici je vais les détruire avec la terre.
01060e007d	Fais-toi une arche de bois résineux; tu feras l'arche par compartiments, et tu l'enduiras en dedans et en dehors de résine.
01060f0086	Et voici comment tu la feras: elle aura trois cents coudées de longueur, cinquante coudées de largeur et trente coudées de hauteur.
01061000bf	Tu y pratiqueras un jour auquel tu donneras une coudée à partir d'en-haut, et tu établiras une porte au côté de l'arche; tu la composeras d'un bas, d'un second et d'un troisième étage.
01061100a4	Car, voici, je vais faire arriver sur la terre le déluge d'eaux pour détruire toute chair ayant souffle de vie sous le ciel; tout ce qui est sur la terre périra.
0106120082	Mais je dresse mon alliance avec toi, et tu entreras dans l'arche, toi et tes fils et ta femme et les femmes de tes fils avec toi.
01061300a3	Et de tout ce qui vit, de toute chair, tu introduiras avec toi dans l'arche une paire de tous, pour les conserver en vie avec toi; ce sera un mâle et une femelle,
01061400cd	des oiseaux selon leurs espèces, et des bestiaux selon leurs espèces et de tous les reptiles de la terre selon leurs espèces, une paire de chacun d'eux se retirera vers toi pour être conservés en vie.
010615007b	Cependant munis-toi de tout aliment qui se mange, et fais tes provisions, afin qu'il y ait nourriture pour toi et pour eux.
0106160042	Et Noé exécuta tous les ordres que Dieu lui donna; ainsi fit-il.
010701007f	Et l'Éternel dit à Noé: Entre dans l'arche, toi et toute ta maison; car je t'ai vu juste devant moi dans cette génération.
010702009c	De tous les animaux purs tu en prendras par groupes de sept, un mâle et sa femelle; et des animaux qui ne sont pas purs, par paire, un mâle et sa femelle;
0107030081	et des oiseaux des deux aussi par groupes de sept, mâle et femelle, afin de faire revivre la race sur la face de toute la terre.
01070400a3	Car encore sept jours, et je ferai pleuvoir sur la terre quarante jours et quarante nuits et j'exterminerai tous les êtres que j'ai faits, de la face de la terre.
010705003a	Et Noé exécuta tous les ordres que l'Éternel lui donna.
0107060050	Or Noé était âgé de six cents ans, quand le déluge d'eaux fut sur la terre.
010707007a	Alors Noé et ses fils et sa femme et les femmes de ses fils avec lui entrèrent dans l'arche en face des eaux du déluge.
010708006c	Des animaux purs et des animaux qui ne sont pas purs, et des oiseaux et de tout ce qui se meut sur la terre,
0107090086	il entra paire par paire auprès de Noé dans l'arche, un mâle et une femelle conformément à l'ordre que Dieu avait donné à Noé.
01070a003d	Et sept jours après les eaux du déluge couvraient la terre.
01070b00c4	La six centième année de la vie de Noé, le second mois, le dix-septième jour du mois, en ce jour-là toutes les sources du grand abîme firent éruption, et les écluses des cieux s'ouvrirent,
01070c0040	et il y eut pluie sur la terre quarante jours et quarante nuits.
01070d0096	Ce jour-là même Noé et Sem et Cham et Japheth, fils de Noé, et la femme de Noé, et les trois femmes de ses fils avec eux entrèrent dans l'arche,
01070e00ec	eux et tous les animaux selon leurs espèces, et tous les bestiaux selon leurs espèces, et tous les reptiles qui rampent sur la terre selon leurs espèces, et tous les volatiles selon leurs espèces, tout oiseau, tout ce qui est ailé.
01070f005e	Et de toute chair ayant esprit de vie il en vint paire par paire auprès de Noé dans l'arche,
0107100084	et ceux qui entraient étaient mâle et femelle de toute chair selon l'ordre que Dieu lui avait donné, et l'Éternel ferma sur lui.
010711009b	Et le déluge se forma pendant quarante jours et quarante nuits, et les eaux crûrent et soulevèrent l'arche qui se trouva élevée au-dessus de la terre.
010712006d	Et les eaux devinrent très grosses et très grandes sur la terre, et l'arche voguait à la surface des eaux.
010713007d	Et les eaux grossirent de plus en plus sur la terre et recouvrirent toutes les hautes montagnes qui sont sous le ciel entier.
0107140059	Jusqu'à quinze coudées au-dessus les eaux montèrent et les montagnes furent couvertes.
0107150097	Alors périt toute chair, tout ce qui se meut sur la terre en oiseaux, en bétail et en animaux et en reptiles rampant sur la terre et tous les hommes;
010716006d	tout ce qui avait dans ses narine un souffle d'esprit de vie, tout ce qui était sur la terre sèche, mourut.
01071700f9	Et ainsi furent détruits tous les êtres qui étaient sur la face de la terre, de l'homme aux animaux, aux reptiles et aux oiseaux des cieux; et ils furent exterminés de la terre. Et il ne survécut que Noé et ce qui était avec lui dans l'arche.
010718004d	Et la hauteur des eaux se maintint sur la terre pendant cent cinquante jours.
01080100ae	Et Dieu se souvint de Noé et de tous les animaux et de tout le bétail qui était avec lui dans l'arche, et Dieu fit passer un vent sur la terre et les eaux s'affaissèrent.
010802006d	Et les sources de l'abîme et les écluses des cieux se fermèrent, et la pluie fut arrêtée dans les cieux.
0108030074	Et les eaux quittaient la terre s'en allant et se retirant et les eaux diminuèrent au bout de cent cinquante jours.
010804005b	Et le septième mois, le dix-septième jour du mois l'arche s'arrêta sur les monts Ararat.
0108050090	Et les eaux s'en allèrent et décrurent jusqu'au dixième mois; le dixième mois, le premier jour du mois, les cimes des monts furent visibles.
0108060052	Et au bout de quarante jours Noé ouvrit la fenêtre de l'arche qu'il avait faite.
0108070078	Et il mit en liberté le corbeau, lequel sortit, partant et revenant jusqu'à ce que les eaux eussent tari sur la terre.
0108080056	Et il mit en liberté la colombe pour voir si les eaux étaient disparues de la terre.
01080900e9	Mais la colombe ne trouva pas une place où poser la plante de son pied, et elle revint à lui dans l'arche, parce que les eaux couvraient toute la face de la terre; et il étendit la main et la prit et la retira à lui dans l'arche.
01080a0061	Et il attendit encore sept autres jours, et de nouveau il laissa la colombe s'envoler de l'arche.
01080b00ae	Alors la colombe revint à lui au temps du soir; et voilà qu'une feuille fraîche d'olivier était dans son bec! et Noé comprit que les eaux étaient disparues de la terre.
01080c0072	Puis il attendit encore sept autres jours, et il donna la liberté à la colombe; mais elle ne revint plus à lui.
01080d00cf	Et l'année six cent et un, le premier mois, le premier jour du mois les eaux avaient laissé la terre à sec, et Noé enleva la couverture de l'arche, et il regarda, et voici, la face du sol se desséchait.
01080e0049	Et le second mois, le dix-septième jour du mois, la terre était sèche.
01080f0024	Et Dieu parla à Noé en ces termes:
0108100050	Sors de l'arche, toi et ta femme et tes fils et les femmes de tes fils avec toi.
01081100d7	Tous les animaux de toute chair qui sont avec toi, oiseaux, bétail et tout reptile rampant sur la terre, fais-les sortir avec toi, et qu'ils pullulent sur la terre et soient féconds et se multiplient sur la terre.
010812004b	Et Noé sortit, et ses fils et sa femme et les femmes de ses fils avec lui.
0108130085	Tous les animaux, tous les reptiles et tous les oiseaux, tout ce qui se meut sur la terre, selon leurs familles sortirent de l'arche.
0108140091	Alors Noé édifia un autel à l'Éternel, et il prit de tous les animaux purs et de tous les oiseaux purs et offrit des holocaustes sur l'autel.
0108150110	Et l'Éternel odora le parfum suave, et l'Éternel dit en son cœur: Désormais je ne maudirai plus la terre à cause de l'homme; car les imaginations du cœur de l'homme sont mauvaises dès sa jeunesse; et désormais je ne frapperai plus tous les vivants comme j'ai fait.
0108160097	A l'avenir, tant que la terre sera, les semailles et la moisson, la froidure et la chaleur, l'été et l'hiver, le jour et la nuit ne chômeront point.
010901006a	Alors Dieu bénit Noé et ses fils, et leur dit: Soyez féconds et vous multipliez et remplissez la terre.
01090200bf	Et soyez craints et redoutés de tous les animaux de la terre et de tous les oiseaux des cieux, de tout ce qui rampe sur le sol et de tous les poissons de la mer: ils sont mis dans vos mains.
0109030071	Tout ce qui se meut ayant vie, vous servira d'aliment; aussi bien que la verdure des plantes, je vous donne tout.
010904004a	Ce n'est que la chair dans son âme, son sang, que vous ne mangerez point.
01090500bc	Et c'est votre sang seul qu'en faveur de votre vie je redemanderai; je le redemanderai à tous les animaux, et je redemanderai la vie de l'homme à l'homme, à son frère, quel qu'il soit.
010906006d	Quiconque versera le sang de l'homme, par l'homme son sang sera versé, car Dieu a fait l'homme à son image.
010907005c	Pour vous, soyez féconds et vous multipliez, et pullulez sur la terre et vous y multipliez.
010908002c	Et Dieu dit à Noé et à ses fils avec lui:
0109090050	Pour moi, voici, j'érige mon alliance avec vous et avec votre race après vous,
01090a00cd	et avec tous les êtres vivants qui sont à vos côtés, oiseaux, bétail et toute bête de la terre qui est à vos côtés, tous ceux qui sont sortis de l'arche avec vous, de tous les animaux de la terre.
01090b00c7	J'érige donc mon alliance avec vous à cet effet que dorénavant toute chair ne sera point exterminée par les eaux du déluge et que dorénavant il n'y aura plus de déluge pour détruire la terre.
01090c00a1	Et Dieu dit: Voici le signe de l'alliance que j'institue entre moi et vous et tous les êtres vivants qui sont à vos côtés, pour la suite des âges à jamais:
01090d005d	je place mon arc dans la nuée pour qu'il devienne un signe d'alliance entre moi et la terre.
01090e005d	Et lorsque je ferai surgir les nuées sur la terre, et que mon arc apparaîtra dans la nuée,
01090f00c2	alors je me rappellerai l'alliance qui existe entre moi et vous et tous les êtres vivant en toute chair, et [qui stipule] que les eaux ne deviendront plus un déluge pour détruire toute chair.
01091000ac	Et l'arc étant dans la nuée, je le regarderai pour me rappeler l'alliance éternelle qui existe entre Dieu et tout être vivant en toute chair qui se trouve sur la terre.
0109110075	Et Dieu dit à Noé: Tel est le signe de l'alliance que j'érige entre moi et toute chair qui se trouve sur la terre.
010912006e	Et les fils de Noé qui sortirent de l'arche étaient Sem, Cham et Japheth; or Cham était le père de Canaan.
010913006b	Ce sont là les trois fils de Noé, et c'est d'eux qu'est issue la population répandue sur toute la terre.
0109140040	Et Noé commença à être agriculteur et il planta de la vigne.
0109150051	Et il but du vin, et il se trouva ivre et il se découvrit au milieu de sa tente.
010916005e	Et Cham, père de Canaan, vit la nudité de son père, et le redit à ses deux frères dehors.
01091700e6	Alors Sem et Japheth prirent le manteau et le mirent les deux sur leurs épaules, et marchèrent à reculons et couvrirent la nudité de leur père; mais leur visage était tourné, et ils ne virent point la nudité de leur père.
010918005c	Et lorsque Noé se réveilla de son ivresse, il apprit ce que lui avait fait son fils cadet;
0109190057	alors il dit: Maudit soit Canaan, Serviteur des serviteurs qu'il soit pour ses frères!
01091a0052	Puis il dit: Béni soit l'Éternel, Dieu de Sem, et que Canaan soit son serviteur!
