2800000006	Matayo
28011200ea	Yelei ni iŵatite pakupagwa Che Yesu Kilisito, che Maliamu, achikulugwe, ŵaliji atomelwe ni che Yusufu. Nambo akanaŵe kuwonegana mpela mundu ni ŵankwakwe, che Maliamu ŵalisimene ali ŵapachiilu kwa ukombole wa Mbumu jwa Akunnungu.
28011300a8	Nombe che Yusufu ŵankwakwe pakuŵa ŵaliji mundu jwambone paujo pa Akunnungu nganasaka kwachembulusya che Maliamu pa ŵandu, ŵasachile kwaleka pangaimanyilila ŵandu.
28011400ff	Nombewo paŵaliji aninkuganisya yeleyo, katumetume jwa kwinani jwa Ambuje ŵankopochele mu sagamisi, ŵansalile, “Che Yusufu mwana ju che Daudi nkajogopa kwajigala che Maliamu kuŵa ŵankwenu, ligongo ali ŵapachiilu kwa ukombole wa Mbumu jwa Akunnungu.
2801150088	Chaligopole mwanache jwannume nomwe chimwape liina lyakwe Che Yesu, pakuŵa jwelejo ni juchiŵakulupusye ŵandu ŵakwe mu sambi syao.”
2801160081	Nipele yoseyo yakopochele kuti liŵe isyene, liloŵe lya Ambuje liŵaŵechete kwa litala lya jwakulondola jwa Akunnungu achitiji,
2801170095	“Mwalimwalipe chaŵe jwapachiilu, chaligopole mwanache jwannume, nombewo chachaŵilanga Emanueli” malumbo gakwe, “Akunnungu ali pamo ni uwe.”
280118009f	Nombe che Yusufu paŵajimwiche, ŵatesile ilaila iŵatite pakusala katumetume jwa kwinani jwa Ambuje, ŵanjigele che Maliamu ŵankwawo ni kwaulanawo kumangwao.
280119007d	Nambo nganawonegana nawo mpaka che Maliamu paŵaligopwele mwanache jwannume. Nombe che Yusufu ŵampele liina lyakwe Che Yesu.
28020100d3	Che Yesu ŵapagwile mmusi wa ku Beselehemu, muchilambo cha ku Yudea, kele katemako che Helode ali mwenye. Napagwa pe, ŵandu ŵaŵaimanyichisye nnope ndondwa kutyochela kungopochelo lyuŵa ŵaiche ku Yelusalemu.
28020200ad	Ŵausisye ŵandu, “Ana alikwapi mwanache jwapagwile, kuŵa Mwenye jwa Ŵayahudi? Tujiweni ndondwa jakwe pajikopochele kungopochelo lyuŵa ni weleu tuiche kukwapopelela.”
2802030068	Mwenye che Helode paŵapilikene yeleyo ni ŵapwele ntima, ŵelewo pamo ni ŵandu wose ŵa ku Yelusalemu.
28020400b1	Nipele, ŵaaŵilasile pamo achakulungwa wose ŵambopesi ni ŵakwiganya Malajisyo ga Akunnungu gaŵapele che Musa, ŵausisye kuti, “Ana Kilisito Jwakuwombola chapagwe kwapi?”
280205008f	Nombewo ŵajanjile, “Mu musi wa ku Beselehemu, muchilambo cha ku Yudea, pakuŵa yeleyo ni yaitite pakulembekwa ni jwakulondola jwa Akunnungu,
28020600d3	‘Mmwe Beselehemu chilambo cha ku Yudea, mmwe nganimma jwamwana kose pasikati misi ja chilambo cha ku Yudea, pakuŵa kutyochela kukwenu chakopochele chilongola juchiŵalongosye ŵandu ŵangu, Ŵaisilaeli.’”
280207008e	Pelepo, che Helode ŵaaŵilasile pachisyepela ŵanyawo ŵaŵaimanyichisye nnope ndondwa ni ŵausisye katema chi jele ndondwa jo pijakopochele.
28020800b9	Nipele ŵatumile ku Beselehemu aninkuti, “Njaulanje nkauchilichisye uchenene ngani sya jwele mwanache. Mwamalaga kummona, nkauje kukuusalila, ni une jwakwe nyaule ngaatindiŵalile.”
28020900ce	Paŵamalisisye kumpilikanila mwenye, ŵajendelechele ni ulendo wao nipele jele ndondwa jo jiŵajiweni kungopochelo lyuŵa jalongolele mmbujo mwao mpaka pajaiche ni kwima pachanya nyuumba jiŵaliji mwanache.
28020a002e	Paŵajiweni jele ndondwa jo ŵasengwile nnope.
28020b00d7	Ŵajinjile nkati ni ŵammweni mwanache jula pamo ni che Maliamu achikulugwe, ŵatindiŵalile ni kunkotamila. Pelepo ni ŵagopwele mmalombo gao ni ŵampele ntuuka, sahabu ni ubani ni mauta gagakuŵilanjikwa manemane.
28020c006f	Akunnungu ŵakanyisye mu sagamisi kuti akaujila sooni ku che Helode, nipele ŵausile kumangwao kwa litala line.
28020d0126	Paŵamasile kutyoka achalendo ŵala, katumetume jwa kwinani jwa Ambuje ŵankopochele che Yusufu mu sagamisi ni kwasalila, “Njimuche! Munjigale mwanache jo pamo ni achikulugwe ni mmutuchile ku Misili. Ntamanje kweleko mpaka pachinantanjile, pakuŵa che Helode akusaka kummulaga mwanache ju.”
28020e006f	Nipele che Yusufu ŵajimwiche ni kunjigala mwanache pamo ni achikulugwe, ŵatyosile chilo, ŵajawile ku Misili.
28020f00c4	Ŵatemi kweleko mpaka che Helode paŵajasiche. Yeleyo yatendekwe kuti liloŵe liŵaŵechete Ambuje kwa litala lya jwakulondola jwakwe liŵe isyene, “Nammilasile mwanangu kutyochela ku Misili.”
2802100167	Che Helode paŵaimanyi kuti ŵaŵaimanyichisye ndondwa kwa nnope ŵala ŵalambwisye, ŵatumbile nnope. Ŵalajisye ŵandu ŵakwe akaaulaje ŵanache achanandi wose ŵachilume ŵapagwile ku Beselehemu ni mumbali mwakwe ŵaali ni yaka iŵili ni paasi ja pelepo. Ŵatesile yeleyo malinga ni katema paŵaimanyi kutyochela kwa ŵele ŵaŵaimanyichisye nnope ndondwa.
2802110080	Yeleyo ni igatite kuŵa isyene maloŵe gagaŵechetekwe kwa litala lya che Yelemia juŵaliji jwakulondola jwa Akunnungu achitiji,
28021200b0	“Liloŵe lipikaniche ku Lama ko, kulila kwa kupeteka ni kulila kwa malumbo. Che Laheli akwalilila ŵanache ŵao, ni ngaakusaka kwamyalasya, pakuŵa ŵanache wose ajasiche.”
280213006c	Paŵawile che Helode, katumetume jwa kwinani jwa Ambuje ŵankopochele che Yusufu mu sagamisi ku Misili kula,
28021400af	ŵansalile, “Njimuche! Munjigale mwanache jo pamo ni achikulugwe, mmuje sooni ku chilambo cha Isilaeli, pakuŵa ŵandu ŵaŵasakaga kummulaga mwanache jo ŵamale kwasika.”
280215006c	Nipele che Yusufu ŵajimwiche ni ŵanjigele mwanache pamo ni achikulugwe, ŵausile ku chilambo cha Isilaeli.
28021600d0	Nambo che Yusufu paŵapilikene kuti che Alikelao mwanache ju che Helode, akamulile umwenye wa atatigwe, ŵajogwepe kwaula ku Yudea. Nombe, paŵamasile kukanyikwa mu sagamisi, ŵajawile mbande sya ku Galilaya,
28021700c7	ŵajawile kutama mu musi waukuŵilanjikwa ku Nasaleti. Yele ni iyatite pakuŵa isyene maloŵe gagaŵechetekwe kwa litala lya ŵakulondola ŵa Akunnungu gagakuti, “Chaŵilanjikwe jwa ku Nasaleti.”
280301006f	Agala moŵa gala ŵakopochele che Yohana Ŵakubatisya, ŵatandite kwalalichila ŵandu mu lipululu lya ku Yudea.
2803020045	Ŵatite, “Nneche sambi, pakuŵa Umwenye wa kwinani uŵandichile.”
28030300d8	Aŵa ni ŵeŵala che Yohana ŵala, juŵagambagwa ni che Isaya jwakulondola jwa Akunnungu paŵatite, “Liloŵe lya mundu likuŵilanga mwipululu, ‘Mwakolochesye Ambuje litala lyakwe, ngolosyanje litala lyakwe.’”
28030400b3	Che Yohana ŵawete chiwalo chichakolochekwe ni manyunya ga chinyama chachikuŵilanjikwa ngamia ni nkaanda wa lipende nchiunu mwao, chakulya chao chaliji itete ni uchi wa mwikonde.
2803050087	Ŵandu ŵa ku Yelusalemu ni kutyochela kosekose ku chilambo cha Yudea ni ilambo yose yaili mungulugulu lusulo lwa Yolodani, ŵajaulile,
280306004e	ŵajitichisye sambi syao ni kuleka, nombewo ŵabatisye mu lusulo lwa Yolodani.
28030700cc	Nambo che Yohana paŵaweni Mafalisayo achajinji ni Masadukayo aninkwaichilila kuti ŵabatisye ni ŵaasalile, “Ŵanyamwe uŵelesi wa lijoka! Ŵaani ŵanjamwiche muuŵambale uchimwa wa Akunnungu waukwika?
2803080025	Nnosye kwa isambo kuti nnesile sambi.
28030900b9	Nkaganisya ni kuliŵechetela muntima kuti, ‘Tukwete ambuje ŵetu che Iblahimu!’ Ngunsalila isyene kuti, Akunnungu akupakombola kugapanganya maganga ga gaŵe uŵelesi u che Iblahimu.
28030a0098	Sambano jino liŵago lili chile kata michiga ja itela, nipele, chitela chachili chose changasogola isogosi yambone chichigwisikwe ni kujasikwa pa mooto.
28030b00e4	Une ngumbatisyanga ni meesi kulosya kuti nnesile sambi. Nambo ŵakwika kunyuma kwangu akwete machili nnope kumbunda une, ni une nganguŵajilwa namose kwawula ilatu yao. Ŵelewo chambatisyanje ni Mbumu jwa Akunnungu ni kwa mooto.
28030c0098	Ŵelewo akwete lupeta mmakono mwao ali chile kupeta ngano. Chakumbikanye ngano jambone ni kutaga mu ngokwe ni ikambi kuitinisya pa mooto wangasimika.”
28030d0074	Kele katema ko Che Yesu ŵatyosile ku Galilaya ni kwika mu lusulo lwa Yolodani ku che Yohana, kuti nombewo abatiswe.
28030e0090	Nambo che Yohana ŵalinjile kwasiŵila aninkuti, “Une ni jungusachilwa kubatiswa ni mmwe sambano iŵele uli mmwe kwika kukwangu nambatisye?”
28030f00b6	Nambo Che Yesu ŵajanjile, “Nneche kaje itendekwe yeleyo kwa sambano, pakuŵa ikusachilwa itendekwe yeila yose yaili yambone paujo pa Akunnungu.” Pelepo che Yohana ŵajitichisye.
28031000a2	Che Yesu paŵamasile kubatiswa ŵatyosile mmeesi ni papopo kwinani kwaugwiche, ŵammweni Mbumu jwa Akunnungu achitulukaga mpela nguunda ni kwatula pachanya pakwe.
2803110065	Nipele Liloŵe kutyochela kwinani lyaŵechete, “Jweleju ni Mwanangu jungunnonyela nonyelwe nawo.”
2804010055	Nipele Mbumu jwa Akunnungu jwanlongwesye Che Yesu mwikonde kuti alinjikwe ni Shetani.
280402004b	Paŵatemi pangalya moŵa alobaini muusi ni chilo, mbesi jakwe jakwete sala.
2804030086	Nipele Shetani ŵannyichilile, ni ŵansalile, “Iŵaga mmwe ndi Mwana jwa Akunnungu ngasalile aga maganga gagalauche gaŵe mikate.”
28040400a0	Che Yesu ŵajanjile, “Ilembekwe mu Malembelo ga Akunnungu kuti, ‘Mundu ngakulama ni nkate pe, nambo kwa liloŵe lyalili lyose lyakuŵecheta Akunnungu.’”
2804050084	Nipele, Shetani ŵanjigele Che Yesu mpaka ku Yelusalemu pa musi wa Akunnungu, ŵammisile penani pa lusonga lwa Nyuumba ja Akunnungu,
28040600e9	ŵaasalile, “Iŵaga mmwe ndi Mwana jwa Akunnungu, nliponye paasi pakuŵa ilembekwe, ‘Akunnungu chachatuma achikatumetume ŵao ŵa kwinani kwa ligongo lyenu, channyakule mmakono mwao, ntakuligomba lukongolo lwenu pa liganga.’”
280407006d	Che Yesu ŵajanjile, “Ilembekwe sooni mu Malembelo ga Akunnungu, ‘Nkaalinga Ambuje Akunnungu ŵenu.’”
2804080071	Nipele Shetani ŵanjigele Che Yesu sooni ku chitumbi cheleu ni kwalosya mwenye syose sya chilambo ni ukulu wakwe.
280409005d	Ŵansalile, “Ni yose yi chinampe ni kuŵa yenu iŵaga chimundindiŵalile ni kumbopelela.”
28040a00ac	Pelepo, Che Yesu ŵanjanjile, “Shetani ngambe kwaula! Ilembekwe mu Malembelo ga Akunnungu, ‘Chimwatindiŵalile Ambuje Akunnungu ŵenu ni kwapopelela ŵawowo pewo.’”
28040b005b	Nipele Shetani, ŵannesile Che Yesu, ni ŵaiche achikatumetume ŵa kwinani ni kwatumichila.
28040c0067	Che Yesu paŵapilikene kuti che Yohana ataŵikwe mu nyuumba jakutaŵilwa ŵandu, ŵajawile ku Galilaya.
28040d0087	Ŵatyosile ku Nasaleti ni kwaula kutama ku Kapelenaumu musi wauli mbwani ja litanda lya Galilaya, mu chilambo cha Sabuloni ni Nafutali.
28040e006f	Yeleyo ni ilyatite pakuŵa isyene liloŵe lilyaŵechetekwe kwa litala lya che Isaya jwakulondola jwa Akunnungu,
28040f00a7	“Chilambo cha ku Sabuloni ni chilambo cha ku Nafutali, litala lyalikwaula ku bahali, peesi lusulo lwa Yolodani, ku Galilaya, chilambo cha ŵandu ŵangaŵa Ŵayahudi!
28041000a5	Ŵandu ŵakutama mu chipi chaliwone lilanguka lyalikulungwa. Nombe ŵandu ŵakutamanga pa chilambo cha chipi ni pa mmwilili wa chiwa, lilanguka chilyalanguchisye!”
280411007e	Kutandilila kele katema Che Yesu ŵatandite kulalichila achitiji, “Nneche sambi, pakuŵa Umwenye wa kwinani uŵandichile!”
28041200ef	Che Yesu paŵajimajimaga mungulugulu litanda lya Galilaya, ŵaweni ŵanakajumo ŵaŵili ŵakukoka, che Simoni jwakuŵilanjikwa che Petulo ni che Andulea mpwakwe. Ŵaliji mu litanda aninkukoka somba kwa lwau pakuŵa ŵaliji ŵakukoka somba.
2804130063	Che Yesu ŵaasalile, “Munguye, none chinantende ŵanyamwe mme ŵakwaikanawo ŵandu kwa Ambuje.”
2804140026	Papopo ŵalesile nyau syao ni kwakuya.
28041500e7	Paŵajawile mmbujo kanandi ŵaweni ŵanakajumo ŵane ŵaŵili che Yakobo ni che Yohana ŵanache ŵa che Sebedayo. Ŵanyawo ŵaliji mu ngalaŵa pampepe ni che Sebedayo atati ŵao aninkusaula nyau syao. Nipele Che Yesu ŵaaŵilasile.
2804160040	Papopo ŵajilesile ngalaŵa jila pamo ni atati ŵao, ni kwakuya.
28041700d2	Che Yesu ŵajaulaga papalipose pala mu chilambo cha ku Galilaya, achijiganyaga mmajumba ga kupopelela ni kulalichila Ngani Jambone ja Umwenye wa Akunnungu. Ŵalamisye ŵandu ilwele yakupisyangana iŵaliji nayo.
28041800f3	Ngani syakwe syajenele mbande syose sya ku Silia. Ŵakulwala wose ŵaŵaliji ni ilwele yakupisyangana ni aŵala ŵakulaga, ŵaŵakamwilwe ni masoka ni ŵaali ni njilinjili ni ŵandu ŵakulemala ŵajawisye kweleko nombewo ŵalamisye ŵana wose.
2804190098	Mipingo ja ŵandu achajinji kutyochela ku Galilaya ni ku Dekapoli yaani misi likumi ni ku Yelusalemu ni ku Yudea ni peesi lusulo lwa Yolodani ŵankuiye.
2805010066	Che Yesu paŵauweni mpingo wa ŵandu ŵakwesile pa chitumbi ni kutama. Ŵakulijiganya ŵao ŵajaulile,
280502001e	nombewo ŵatandite kwajiganya.
2805030055	“Akwete upile ŵele ŵakwakulupilila Akunnungu, pakuŵa umwenye wa kwinani uli wao.
280504003d	Akwete upile ŵele ŵakulilasika muntima, pakuŵa chatulaswe.
280505004e	Akwete upile ŵele ŵakulitimalika, pakuŵa chapochele chilanga cha Akunnungu.
280506007e	Akwete upile ŵele ŵajakwete sala ni njota ja kupanganya yaili yambone paujo pa Akunnungu, pakuŵa Akunnungu chachajikutisya.
2805070048	Akwete upile ŵaali ni chanasa kwa ŵane, pakuŵa chachikolelwa chanasa.
2805080043	Akwete upile ŵaali ni ntima wambone, pakuŵa chachawona Akunnungu.
280509005e	Akwete upile ŵakwalumbanya ŵandu, pakuŵa ŵanyawo chachiŵilanjikwa ŵanache ŵa Akunnungu.
28050a007d	Akwete upile ŵele ŵakusaukanga ligongo lya kupanganya yaili yambone paujo pa Akunnungu, pakuŵa Umwenye wa kwinani uli wao.
28050b0070	“Nsangalale ŵanyamwe ŵandu pachachintukananga ni kunnagasya ni kummechetela yangalumbana kwa ligongo lyangu.
28050c00a4	Nsangalale ni kuchina pakuŵa mbote jenu jili jekulungwa kwinani. Pakuŵa iyoyo peyo ni iŵapanganyichisye ŵakulondola ŵa Akunnungu ŵaŵapali nkanaŵe ŵanyamwe.
28050d00c2	“Ŵanyamwe ndi njete ja pachilambo! Nambo njete jasoyesyaga kulasa kwakwe chintaje chichi kuti unonye wakwe uujile sooni? Ngajikufai kulikose, nambo jikwasikwa paasa ni kuliŵatikwa ni ŵandu.
28050e0067	“Ŵanyamwe ndi lilanguka lya pachilambo! Musi wautaŵikwe pachanya chitumbi ngaukukomboleka kusisika.
28050f008e	Ŵandu ngakupamba lumuli ni kuluunichila ni lulo, nambo akuluŵika pachanya chindu chakuŵichila lumuli pakuti lwalanguchisye ŵaali nkati mo.
280510008f	Iyoyo peyo lilanguka lyenu likusachilwa lilanguchisye paujo pa ŵandu, kuti aiwone isambo yenu yambone, ni ŵakusye Atati ŵenu ŵaali kwinani.
280511008a	“Nkaganisya kuti naiche kukugatyosya Malajisyo ni majiganyo ga ŵakulondola ŵa Akunnungu. Nganiika kukugatyosya nambo kukugamalichisya.
28051200ab	Ngunsalila isyene kuti, mpaka pelepo kwinani ni chilambo pachiimale kupita, ngapagwa namose nukuta pane chindu chamwana mu malajisyo chachichityochekwe mpaka imalile yose.
2805130107	Nipele, mundu jwalijose jwangajitichisya namose likanyo limo mmalamulo ga mwana ga ni kwajiganya ŵane, jwelejo chaŵe jwannandi nnope mu Umwenye wa kwinani. Nambo jwelejo juchalikamulichisye ni kwajiganya ŵane, jwelejo chaŵe jwankulungwa mu Umwenye wa kwinani.
28051400a9	Nipele ngunsalila kuti, iŵaga umbone wenu ngaupunda aula wa ŵakwiganya Malajisyo ga Akunnungu gaŵapele che Musa ni Mafalisayo nganjinjila ng'oo mu Umwenye wa kwinani.
2805150069	“Mpilikene kuti ŵandu ŵa chiikala ŵasalilwe kuti, ‘Nkaulaga! Juchaulaje akusachilwa alamulikwe.’
28051600fd	Nambo une ngunsalila kuti, mundu jwalijose jwakuntumbilila mpwakwe, chiimbajile kulamulikwa. Jwakwachembulusya apwao chachajausya pa nkungulu. Ni jwakummilanga mpwao ‘Jwakuloŵela,’ chaŵajilwe kwinjila ku mooto wangasimika moŵa gose pangali mbesi.
2805170066	Nipele mwapelekaga mbopesi jenu pa chilisa ni papopo mwakumbuchilaga kuti apwenu ŵana umenyani nomwe,
2805180073	njileche mbopesi jenu mmbujo mwa chilisa, njaule kaje nkajilane ni mpwenu jo ni mmujeje ni kujityosya mbopesi jenu.
28051900ee	“Njilane chitema ni jwammagongo ndi mwitala nkanaŵe kwika ku nkungulu. Yapundaga pelepo jwammagongo jwenu chantaje mmakono mwa jwakulamula, nombe jwakulamula jo chantaje mmakono mwa jwangondo, nombejo champonye mu nyuumba jakutaŵilwa.
28051a0054	Ngunsalila isyene kuti, ngantyoka mwelemo mpaka pachimmalisye kulipa mbiya ja mbesi.
28051b003f	“Mpilikene kuti, ŵandu ŵasalilwe, ‘Nkatenda chikululu!’
28051c0078	Nambo une ngunsalila, kila mundu juchannolechesye jwankongwe kwa kunsaka, amasile kutenda chikululu nawo muntima mwakwe.
28051d00e8	Nipele, iŵaga liso lyenu lya kundyo likunneŵasya nlityosye ni kulijasila kwakutalika. Mmbaya nnope kupotesya chiŵalo chenu chimo cha pachiilu, kupunda chiilu chenu chose chiponyekwe pa mooto wangasimika, moŵa gose pangali mbesi.
28051e00cb	Ni iŵaga nkono wenu wa kundyo ukunneŵasya, nkate nkaujase kwakutalika. Mmbaya kukwenu kupotesya chiŵalo chimo cha chiilu kupunda chiilu chose chiponyekwe pa mooto wangasimika moŵa gose pangali mbesi.
28051f004d	“Iŵechetekwe kuti, ‘Jwakunleka ŵankwakwe, akusachilwa ŵaape talaka.’
28052000c1	Nambo une ngunsalila kuti, kila mundu jwakunleka ŵankwakwe, pangaŵa kwa ligongo lya chikululu, akwatenda atende chikululu, nombe jwannume alombelaga jwankongwe jwalesilwe, akutenda chikululu.
2805210091	“Sooni mpilikene kuti ŵandu ŵa kalakala ŵasalilwe kuti, ‘Nkalumbila kwa unami, nambo mpanganye mpela imwalumbile kupanganya kwa Ambuje.’
280522006d	Nambo une ngunsalila, nkalumbila ng'o, atamuno kwa kwinani, pakuŵa chili chitengu cha umwenye cha Akunnungu,
28052300a4	atamuno kulumbila kwa chilambo, pakuŵa chili chitengu chao cha kuŵichila makongolo, atamuno kulumbila kwa musi wa Yelusalemu, pakuŵa uli musi wa Mwenye jwankulu.
280524006f	Atamuno nkalumbila kwa ntwe wenu, pakuŵa ngankukombola kupanganya luumbo lumo kuŵa lweswela atamuno lwepiliu.
2805250099	Mwatiji, ‘Elo’, jiŵe ‘Elo’, ni mwatiji, ‘Ngwamba’, jiŵe ‘Ngwamba’. Chachili chose cha kupunda yeleyo chikutyoka kwa jwangalumbana jula.
2805260044	“Mpilikene kuti isasilwe, ‘Liso kwa liso, ni Liino kwa liino.’
280527008e	Nambo une ngunsalila kuti, nkaliuchisya kwa jwangalumbana. Mundu jwalijose juchampute lijanda pa lijeje lya kundyo, mwagalauchisye ni lijakwe.
280528006e	Mundu anjausyaga ku nkungulu kukummechetela magambo melepe ansumule lishati lyenu, munnechele ni likoti lyenu.
280529006c	Mundu jwalijose ankanganichisyaga njigale nsigo wao njaule nawo kilomita jimo, njende nawo kilomita siŵili.
28052a003c	Jwakummenda mumpe, nombe jwakusaka kunkongola, ngasimwajima.
28052b0051	“Mpilikene kuti isasilwe, ‘Munnonyele njenu ni munchime jwammagongo jwenu.’
28052c0057	Nambo une ngunsalila, mwanonyele ŵammagongo ŵenu ni mwapopelele aŵala ŵakunlagasya,
28052d00bf	kuti mme ŵanache ŵa Atati ŵenu ŵaali kwinani. Pakuŵa akwalanguchisya lyuŵa lyakwe ŵandu ŵangalumbana ni ŵambone ni kwanyelela ula ŵandu ŵambone paujo pa Akunnungu ni ŵangalumbana.
28052e007d	Ana chimpate mbote chi mwanonyelaga pe ŵakunnonyela ŵanyamwe? Ngwamba! Pakuŵa ŵakukumbikanya nsongo nombe akutenda iyoyo?
28052f0086	Iŵaga nkwakomasyaga achapwenu pe, ana ntesile chapi chakupunda kwapunda ŵane? Ana ngati ŵangakwamanyilila Akunnungu akutenda iyoyo.
2805300063	Nipele mme ŵautindimisyo mu ntima kwati mpela Atati ŵenu ŵa kwinani yatite kuŵa jwautindimisyo.
280601008e	“Nlilolechesye, nkatenda yambone pa ŵandu kuti mmoneche. Pakuŵa mwatendaga yeleyo ngampegwa ntuuka kutyochela kwa Atati ŵenu ŵa kwinani.
28060200d0	“Nipele pankunkamuchisya jwakulaga, nkagomba lipenga. Nkatenda mpela yakuti pakutenda ŵaulamba mmajumba ga kupopelela ni mmatala kuti ŵandu anlape. Ngunsalila isyene, ŵelewo ŵamale kupochela ntuuka wao.
2806030063	Nambo mmwe pankunkamuchisya jwakulaga, ntende yeleyo mwakusisa namose ambusanga ŵenu akamanyilila,
2806040060	nipele mwakamuchisye ŵakulaga mwakusisika ni Atati ŵenu ŵakulola yakusisika, chachimpa mbote.
28060500d4	“Sooni pankupopela, nkaŵa mpela ŵaulamba. Pakuŵa ŵelewo ikwanonyela kupopela achijimaga mmajumba ga kupopelela ni pamalekano melepe aoneche ni ŵandu. Ngunsalila isyene, ŵelewo ŵamale kupochela mbote jao.
28060600ae	Nambo mmweji pankupopela, njinjile nkati mwenu, mmugale nnango ni mwapopele Atati ŵenu ŵangakuwonekana. Nombe Atati ŵenu ŵakulola inkuipanganya kwakusisika, champe mbote.
28060700ba	“Pankupopela, nkaŵecheta maloŵe ga wamba mpela ŵandu ŵangakwamanyilila Akunnungu. Pakuŵa ŵanyawo akuganisya kuti Akunnungu chachapilikanila kwa ligongo lya maloŵe gao gamajinji.
280608005e	Nipele nkalandana ni ŵanyawo, pakuŵa Atati ŵenu akumanyilila chinkusaka nkanaŵe kwaŵenda.
2806090066	Nipele ŵanyamwe mpopeleje yeleyi, ‘Atati ŵetu ŵandi kwinani, Liina lyenu lichimbichikwe kwannope.
28060a004d	Umwenye wenu uiche. Chinkusaka cho chitendekwe pachilambo pano mpela kwinani.
28060b002a	Ntupe chakulya chetu cha lyuŵa ni lyuŵa.
28060c0051	Ntulechelesye ileŵo yetu, mpela uweji itukuti kwalechelesya wose ŵakutuleŵela.
28060d0089	Nkatujinjisya nkulinjikwa, nambo ntukulupusye ni jwangalumbana.’ Pakuŵa umwenye uli wenu ni machili ni ukulu moŵa gose pangali mbesi.
28060e0069	“Pakuŵa mwalechelesyaga ŵandu ileŵo yao, Atati ŵenu ŵa kwinani channechelesye ni ŵanyamwe ŵakwe.
28060f0069	Nambo iŵaga ngamwalechelesya ŵandu, nombe Atati ŵenu ŵa kwinani ngasannechelesya ni ŵanyamwe ŵakwe.
28061000be	“Pankutaŵa, ngasimma mpela ŵaulamba. Ŵanyawo akutaŵa sinya ku meeso kwao melepe awoneche ni ŵandu kuti akutaŵa. Nambo une ngunsalila isyene kuti ŵelewo ŵamale kupochela ntuuka wao.
2806110042	Nambo mwe pankutaŵa, nsukusule ku meeso ni kupakala mauta muntwe,
2806120097	kuti ŵandu anamanyilile kuti nkutaŵa, nambo mmanyiche ni Atati ŵenu ŵangakuwoneka. Nombe Atati ŵenu pe ŵakulola yakusisika, chachimpa mbote jenu.
280613006a	“Nkaligosela mbiko pa chilambo pano pajikonasika ni idudu ni imbulukutu, ni ŵawiyi akwinjila ni kwiŵa.
2806140080	Nambo nligosele mbiko kwinani kwangajonasika chindu ni idudu namose imbulukutu, atamuno ŵawiyi ngakukombola kwinjila ni kwiŵa.
2806150037	Pakuŵa pajili mbiko jenu pele ntima wenu ni pachiuŵe.
