2800000008	Matáayo
28011800a1	Yooséefu ˆakiinʉke fuma tulwii, akabweeyya ja viintʉ murimʉ mʉʉja wa Ijʉva ˆʉjáa ʉmʉwyɨ́ɨrɨɨre. Aho, akamʉsʉmʉla Maríia akava muki waachwe.
2801190097	Maa kaa, Yooséefu sɨ amʉseeserera Maríia tʉkʉ, fʉʉrʉ akiichʉngʉla mwaana wa kɨɨntʉ kɨlʉme. Yooséefu akamʉkemera irina raachwe Yéesu.
28020100c6	Yéesu ˆakavyaalwe múujii wa Betelehéemu ˆʉrɨ ɨsɨ ya Yudéea, mpɨɨndɨ ijo Heróode Mʉkʉ́ʉ́lʉ noo ajáa mʉtemi. Haaha vamanyi va nyényeeri fuma itʉʉmba vakʉʉja na Yerusaléemu.
28020200b1	Vuuryáa voosea, “Hai arɨ ʉra ˆavyɨ́ɨrwe arɨ kʉva Mʉtemi wa Vayahúudi? Suusu twɨɨyona nyényeeri yaachwe yatʉla fuma itʉʉmba, naasu tuújire noo mwiinamɨra.”
2802030068	Mʉtemi Heróode ˆakateere ayo masáare, yakaanda muturikirya, hamwɨ na vaantʉ voosi va Yerusaléemu.
2802040083	Akavaanɨrɨra vakʉ́ʉ́lʉ va veeneɨsɨ va Ijʉva na vakiindya va Miiro, maa akavuurya, “Masía nɨ hai ˆarɨ vyaarɨrwa?”
2802050091	Voovo vakamʉsea, “Vyaarɨrwa arɨ múujii wa Betelehéemu ˆʉrɨ ɨsɨ ya Yudéea. Jeyyo noo ˆvyeene mʉláali na mʉtwe wa Ijʉva aandɨka,
28020600de	‘Ee Betelehéemu ˆʉrɨ ɨsɨ ya Yʉ́ʉda, weewe sɨ ʉrɨ mudúúdi tʉkʉ, kati ya míiji ˆɨmányirwe ya Yudéea. Sa kufuma kwaako fʉmɨra arɨ mʉlongooli, ʉhʉ valongoola arɨ vaantʉ vaanɨ Viisiraéeli.’”
2802070088	Aho, Heróode akavaanɨrɨra vara vamanyi va nyényeeri na kijiraawii, ʉko akavuurya mpɨɨndɨ mpɨɨndɨ ˆvɨɨyona ɨra nyényeeri.
28020800ba	Hara, akavatʉma vadome na Betelehéemu kʉnʉ yoovasea, “Tamanyi mukuurikirirye neeja masáare ya ʉwo mwaana, na ˆmʉrɨ moona, ndeteri mʉlomo chaangʉ sa naanɨ nkamwiinamɨre.”
28020900fc	Vara vamanyi va nyényeeri ˆvakahʉmʉle mʉteerera mʉtemi Heróode, maa vakiinʉka. Na laanga, vakɨɨyona kei nyényeeri ɨʼɨra ˆvoona yootʉla itʉʉmba, ɨkava yoovalongorera novo vakiituuba fʉʉrʉ ɨkɨɨma mweeri ya haantʉ ˆajáa mwaana.
28020a0039	ˆVakɨɨyone ɨra nyényeeri, vakavyeenda maatʉkʉ vii.
28020b00e5	Vakɨɨngɨra na nyuumbii, vakamoona mwaana arɨ na Maríia íyo waavo, vakachwaama, maa vakamwiinamɨra. Hara, vakachʉngʉla máari jaavo ja kɨkomi ja mberii, vakamʉheera vilʉngʉlʉngʉ vya saháabu, ʉbáani na manemáane.
28020c0093	Mʉlʉʉngʉ akavakaanʼya tulwii, karɨ vahɨndʉke na kwa Heróode tʉkʉ. Jeyyo, vakahɨndʉka na meevo, na vajáa vatweera na njɨra yɨɨngɨ.
28020d0116	Vamanyi va nyényeeri ˆvakiinʉke na meevo, murimʉ mʉʉja wa Ijʉva ʉkamʉfʉmɨra Yooséefu tulwii, maa ʉkamʉsea, “Inʉka, mʉsʉmʉle mwaana na íyo waavo, ʉtɨɨje novo na Mísiri. Ikali ʉko fʉʉrʉ nɨvawyɨɨre, sa Heróode yoomʉsaakɨra mwaana sa amʉʉlae.”
28020e0067	Jeyyo, nuuchikʉ Yooséefu akiinʉka, akamʉsʉmʉla mwaana na íyo waavo, akakwaata njɨra na Mísiri.
28020f00b3	Akiikala Mísiri fʉʉrʉ mʉtemi Heróode akawulala. Jeyyo, isáare ra Ijʉva ko tweera mʉláali na mʉtwe waachwe rɨkakiimana, “Namwaanɨrɨra mwaana waanɨ fuma Mísiri.”
2802100188	Heróode ˆakataange akóovɨɨrwe nɨ vara vamanyi va nyényeeri, maa akakalala maatʉkʉ vii. Aho, akavatʉma vaantʉ vavʉʉlae vasinga voosi vʉʉ va kɨɨntʉ kɨlʉme ˆvarɨ na myaaka ɨvɨrɨ kʉhɨndʉka na nyuma aho múujii wa Betelehéemu, na maturii yoosi ˆyarɨɨngɨrɨra ʉwo múuji. Abweeyya jeyyo, ja ˆvyeene ajáa awyɨɨrwa jira mpɨɨndɨ nɨ vara vamanyi va nyényeeri.
280211004a	Jeyyo, isáare ˆralʉʉswa nɨ Yeremía mʉláali na mʉtwe rɨkakiimana,
28021200b5	“Sawúti yatéerekire fuma Ráama, Kɨrɨro na kʉrɨra no myaa kʉkʉʉlʉ, Rahéeli yoovarɨrɨra vaana vaachwe, baa sɨ yoosaaka tuuriwa mʉtɨma tʉkʉ, sa voosi vakwíire.”
280213005e	Heróode ˆakawulale, murimʉ mʉʉja wa Ijʉva ʉkamʉfʉmɨra Yooséefu tulwii ʉko Mísiri,
280214008e	Ʉkamʉsea, “Inʉka, mʉsʉmʉle mwaana na íyo waavo, ʉhɨndʉke na ɨsɨ ya Isiraéeli, sa vara ˆvasaakáa nkaasʉ ya mwaana vaakwya.”
2802150063	Yooséefu akiinʉka, akamʉsʉmʉla mwaana na íyo waavo, maa vakahɨndʉka na ɨsɨ ya Isiraéeli.
28021600df	Maa kaa, Yooséefu ˆakateere Arikeláo mwaana wa Heróode noo avɨ́ɨre mʉtemi wa Yudéea haantʉ ha taáta waavo, Yooséefu akoofa doma na ʉko. Ne ˆakakaaniwe kei tulwii, akiinʉka, maa akadoma na ɨsɨ ya Galiláaya.
280217009d	Kʉra, akɨɨta kiikala múujii ˆʉséwaa Nasaréeti. Jeyyo isáare ˆralʉʉswa nɨ valáali na mʉtwe rɨkakiimana, “Kaanɨrɨrwa arɨ Mʉnasaréeti.”
2803010078	Sikʉ ˆjiri foo ˆjikalooke, Yooháani Mʉbatisáaji afʉmɨra ɨsɨ ya ibaláángwii ra Yudéea, yoovariyʉla, yoosea,
2803020045	“Valanduki fuma uvii waanyu, Ʉtemi wa Kurumwii waséngerɨɨre.”
28030300d0	Ʉhʉ Yooháani noo ˆalʉʉswa nɨ Isáaya mʉláali na mʉtwe, yoosea, “Mʉʉntʉ yookaanɨrɨra vikʉlʉkʉʉlʉ ɨsɨ ya ibaláángwii, ‘Imyi neeja njɨra sa Ijʉva, wololi njɨra ˆarɨ tweera.’”
2803040099	Yooháani iivɨkɨráa ɨngo ˆyachumwa kwa mabaáhɨra ya ngamɨ́a na iimʉtɨɨráa lʉkova. Kɨɨntʉ ˆarijáa nɨ nkʉʉmbɨ na hʉʉkɨ wa isekii.
2803050097	Vaantʉ fuma múujii wa Yerusaléemu, ɨsɨ yoosi ya Yudéea na ɨsɨ joosi ˆjiri mbarɨmbarɨ ya lʉʉjɨ lwa Yorodáani, vʉʉjáa na kwa Yooháani.
280306004b	Yeeye avabatisáa aho luujii lwa Yorodáani, kʉnʉ voolʉʉsa ʉvɨ waavo.
28030700d1	ˆAkoone Mafarisáayo na Masadukáayo ˆvarɨ foo vookʉʉja na kwaachwe noo batisiwa, ajáa avasea, “Nyuunyu mbyaala ya nyororooda! Nɨ ani ˆavalúmire kutu mʉtɨɨje nkalari ya Mʉlʉʉngʉ ˆyookʉʉja?
2803080055	Haaha vyaali ndɨɨwa njija ˆjiri koonekya kɨkomi mwaválandukire fuma uvii waanyu.
28030900a5	Reki kwiiririkana mitimii yaanyu, ‘Aburaháamu nɨ taáta wiitʉ!’ Nɨ kʉvawyɨɨra niise, Mʉlʉʉngʉ ifaanaa avalandʉle mawye aya yave vaana va Aburaháamu!
28030a00a5	Mʉlʉʉngʉ ahʉ́mwɨɨre vɨɨka chaarya chaachwe neeja miririi ya mɨtɨ. Koonɨ mʉtɨ sɨ wootʉʉnga ndɨɨwa ˆjabooha, temwa ʉrɨ, ʉfweitɨrwe na iviivii.
28030b013c	Nɨɨnɨ noovabatisa na maaji, koonekya mwaválandukire fuma uvii waanyu. Maa kaa, amwaarɨ yookʉʉja nyuma yaanɨ ˆarɨ na ngururu kʉlookya nɨɨnɨ, nɨɨnɨ nsiina wʉʉja baa wo tʉmama mʉrɨmo wa mʉtʉ́mwa wo reherya nkova ja mirunkumo yaachwe tʉkʉ. Yeeye vabatisa arɨ na Mʉtɨma Mʉʉja na kwa mooto.
28030c00d3	Yeeye akwáatɨrɨɨre saama yaachwe yo keerera mɨkonwii yaachwe. Fyaahɨra arɨ neeja lʉʉha lwaachwe. Jiinga arɨ ngáano ɨɨvɨke kyoomii, maa kaa, mukúúnku kʉʉchɨmɨka arɨ na mooto sɨ ˆurímaa.”
28030d0063	Aho, Yéesu akatamanya fuma Galiláaya fʉʉrʉ luujii lwa Yorodáani sa akabatisiwe nɨ Yooháani.
28030e0093	Maa kaa, Yooháani ayeráa mʉkɨtɨra yoosea, “Nɨɨnɨ noo wo kʉʉja mbatisiwe nɨ weewe. Haaha weewe joolɨ wookʉʉja na kʉrɨ nɨɨnɨ?”
28030f0090	Maa kaa, Yéesu akamʉsea, “Aaɨ, ruma haaha vive jei, sa jei noo ˆvyeene vyasaakwa tukiimikirirye ʉwoloki woosi.” Aho, Yooháani akaruma.
28031000a9	Yéesu ˆakahʉmʉle batisiwa vii, akafuma luujii. Koonka kurumu kʉkaatʉka dwee, aho, akamoona Mʉtɨma Mʉʉja yookiima mweeri yaachwe ja nkúnde na akamʉtʉʉrɨra.
280311007d	Aho, maa sawúti fuma kurumwii ɨkasea, “Ʉhʉ nɨ Mwaana waanɨ ˆnamweenda, neeriwa mʉtɨma nɨ yeeye mʉnʉmʉʉnʉ.”
280401007b	Aho, Mʉtɨma Mʉʉja ʉkamʉlongoola Yéesu fʉʉrʉ ɨsɨ ya ibaláángwii sa ayerwe nɨ Ikʉ́ʉ́lʉ ra Mirimʉ Mɨvɨ.
280402004f	Yéesu ˆakiirekye kurya chɨrɨrɨ chobu kwa sikʉ makumi yanɨ, akoona njala.
2804030087	Aho, Irimʉ rɨkʉʉja na kʉrɨ Yéesu, maa rɨkamʉsea, “Koonɨ ʉrɨ Mwaana wa Mʉlʉʉngʉ, lairirya aya mawye yave mʉkáate.”
28040400c7	Yéesu akʉʉsea murimʉ mʉvɨ, “Masáare ˆYarɨ Mpeho yalʉʉsa jei, ‘Mʉʉntʉ sɨ arɨ kʉva nkaasʉ kwa vyóorya vii tʉkʉ, maa kaa, ko tuuba kɨra isáare rifúmaa kwa Mʉlʉʉngʉ.’”
28040500b6	Aho, Ikʉ́ʉ́lʉ ra Mirimʉ Mɨvɨ rɨkamʉsʉmʉla Yéesu fʉʉrʉ múujii mʉʉja wa Yerusaléemu. Rɨkamʉvɨɨka Yéesu ncholwiinchoolwii ya mʉnáara wa Kaaya Njija ya Ijʉva,
2804060108	maa rɨkamʉsea, “Koonɨ ʉrɨ Mwaana wa Mʉlʉʉngʉ, ifweitɨre na ɨsɨ. Sa vyaandɨkwa jei, ‘Mʉlʉʉngʉ tʉma arɨ mirimʉ yaachwe miija ɨkʉlamurirye, yooyo kʉkwaatɨrɨra ɨrɨ mɨkonwii yaavo, sa karɨ ijeo raako jɨ riikunguvale iwyii tʉkʉ.’”
2804070062	Yéesu akarɨsea, “Kei vyaandɨkwa, ‘Karɨ ʉmʉyéraa Ijʉva Mʉlʉʉngʉ waako tʉkʉ.’”
28040800a8	Aho, Ikʉ́ʉ́lʉ ra Mirimʉ Mɨvɨ rɨkamʉsʉmʉla Yéesu fʉʉrʉ ncholwii ya lʉʉlʉ lʉlɨɨhɨlɨɨhɨ. Rɨkamoonekya ɨsɨ joosi ja weerʉ na nkongojima jaavo.
2804090067	Rɨkamʉsea, “Koonɨ ʉchwáamire mbere yaanɨ na wuunyinamɨɨre, kʉkʉheera ndɨrɨ ivi vyoosi.”
28040a00a2	Aho, Yéesu akarɨsea, “Isunke kʉrɨ nɨɨnɨ Irimʉ! Sa vyaandɨkwa jei, ‘Mwiinamɨre Ijʉva Mʉlʉʉngʉ waako vii, na ʉmʉtʉmamɨre yeemweene vii.’”
28040b0064	Aho, Ikʉ́ʉ́lʉ ra Mirimʉ Mɨvɨ rɨkamʉreka Yéesu, mirimʉ miija ɨkʉʉja noo mʉtʉmamɨra.
28040c0075	Haaha Yéesu ˆakateere Yooháani Mʉbatisáaji ayéekɨɨrwe mʉnyololwii, akiinʉka aho, maa akadoma na Galiláaya.
28040d00c2	Mpɨɨndɨ ˆajáa Galiláaya, akiinʉka fuma múuji wa Nasaréeti akɨɨta kiikala múujii wa Kaperenáumu ˆʉrɨ mbarɨmbarɨ ya iriva ra Galiláaya, kʉrɨ ɨsɨ ya Sabulóoni na Nafutáali.
28040e0057	Jeyyo, noo ˆvyeene akiimikirirya isáare ˆralʉʉswa nɨ Isáaya mʉláali na mʉtwe,
28040f00af	“Ɨsɨ ya Sabulóoni na ɨsɨ ya Nafutáali, ˆɨrɨ njirii ˆyadoma na mayiyii, fɨrɨro ya lʉʉjɨ lwa Yorodáani, Galiláaya ya vaantʉ sɨ ˆvamʉmányire Mʉlʉʉngʉ,
28041000ae	vaantʉ vara ˆviíkalaa kilwiiryii, vɨɨ́ne kɨweerʉ kɨkʉʉlʉ. Na vaantʉ vara ˆviíkalaa ɨsɨ ya kilwiirya na murimírimii wa inkwya, itʉʉmba radáhire kwaavo.”
2804110085	Kwaandɨra mpɨɨndɨ ijo, Yéesu ajáa aanda variyʉla yoosea, “Valanduki fuma uvii waanyu, Ʉtemi wa Kurumwii waséngerɨɨre!”
28041200df	Mpɨɨndɨ Yéesu ˆayeendáa mbarɨmbarɨ ya iriva ra Galiláaya, ajáa avoona vavúuvi vavɨrɨ. Ʉmwɨ noo Simóoni ˆaséwaa Peéteri, na wɨɨngɨ noo mwaanaavo ˆasewáa Anderéa. Voovo vawʉmɨráa njwaavu na irivii.
2804130053	Aho, Yéesu akavasea, “Ntuubi, na vabweeyya ndɨrɨ mʉve vavúuvi va vaantʉ.”
280414002c	Hahara, vakareka njwaavu jaavo, vakamutuuba.
28041500f6	ˆAkadome na mbere kiduudi, akoona vaantʉ vɨɨngɨ vavɨrɨ vala Yaakúupu na Yooháani mwaanaavo, vaana va mʉʉntʉ ʉmwɨ ˆaséwaa Sebedáayo. Voovo vajáa hamwɨ na taáta waavo mashúwii voolʉkanʼya njwaavu jaavo. Yéesu akavaanɨrɨra,
280416004c	hahara, vakɨɨreka ɨra mashʉ́wa na taáta waavo, maa vakamutuuba Yéesu.
28041700bb	Yéesu arɨɨngɨrɨráa ɨsɨ yoosi ya Galiláaya, kʉnʉ yookiindya no variyʉla Masáare Maaja ya Ʉtemi masinagóogii yaavo. Kei, avahoryáa vaantʉ ndwáala jaavo ˆjiísimiresimire.
2804180130	Masáare yaachwe yakeenera ɨsɨ yoosi ya Síria. Vaantʉ vandoomʉretera valwɨ́ɨrɨ voosi ˆviísimiresimire. Kʉrɨ avo vajáa vamwaarɨ ˆvarɨ na makuundi ˆyahʉʉmba, vara ˆvajáa na mirimʉ mɨvɨ, vara ˆvajáa na kiinkwiisha na vara ˆvajáa vaakwya iyandiyandi. Yéesu akavahorya avo voosi.
280419009f	Mayɨɨmbɨ ya mpuka nkʉʉlʉ ja vaantʉ vamutuubáa fuma ɨsɨ ya Galiláaya, Dekapóoli, Yerusaléemu, Yudéea na fuma nyambʉko ya lʉʉjɨ lwa Yorodáani.
280501006c	Yéesu ˆakoone jira mpuka ja vaantʉ, akaambʉka na kiduundii, maa akiikala. Vapooji vaachwe vakamʉdomera,
280502001c	ne akaanda vakiindya yoosea:
280503004c	“Vatalariwa vara ˆvarɨ vakɨva mitimii, sa Ʉtemi wa Kurumwii nɨ waavo.
280504004b	Vatalariwa vara ˆvarɨ na makɨva, sa Mʉlʉʉngʉ vatuurya arɨ mɨtɨma.
2805050042	Vatalariwa vara mɨtɨma yaavo ˆyahola, voovo heewa varɨ weerʉ.
2805060063	Vatalariwa vara ˆvakalʉkwa na ˆvarɨ na njala ya ʉwoloki, avo kiikutiwa varɨ nɨ Mʉlʉʉngʉ.
280507005a	Vatalariwa vara ˆvaláangaa na riiso ra wʉʉja, voovo laangwa varɨ na riiso ra wʉʉja.
2805080040	Vatalariwa vara ˆveerya mɨtɨma, avo moona varɨ Mʉlʉʉngʉ.
280509006e	Vatalariwa vara ˆvalʉ́manʼyaa vavɨ viikalanʼye na wʉʉja, avo kaanɨrɨrwa varɨ vaana va Mʉlʉʉngʉ.
28050a0064	Vatalariwa vara ˆvatúrikiriwaa sa viíkalaa mwiikalo wa ʉwoloki, sa Ʉtemi wa Kurumwii nɨ waavo.
28050b006e	Mwatalariwa nyuunyu koonɨ mootʉkɨrwa, mooturikiriwa na mookoovereriwa mavɨ ˆyiísimiresimire sa nɨɨnɨ.
28050c0093	Eryi mɨtɨma na vai siriri, sa kʉnáálo yaanyu nɨ nkʉ́ʉ́lʉ kurumwii. Nɨ kwa njɨra yɨɨyo vavaturikirya valáali na mʉtwe va aho mbere.
28050d00ed	Nyuunyu mʉrɨ sangása ya weerʉ. Maa kaa, sangása koonɨ yasúukire, nɨ che ɨrɨ vɨkɨrwa sa mwerere ʉhɨndʉkɨre kei? Ɨyo sɨ yabooha kwa kɨɨntʉ chochoosi tʉkʉ, ɨyo nɨ yo fweita vii na weerwii ɨlwaatiririwe nɨ vaantʉ.
28050e0052	Nyuunyu nɨ kɨweerʉ cha weerʉ. Múuji ˆwajeengwa luulwii sɨ wiívisaa tʉkʉ.
28050f00c1	Baa kei, vaantʉ sɨ vakórereryaa kɨmʉrɨ, maa vakakɨkʉnɨkɨrɨra na nyiingʉ ya kweenga tʉkʉ, kɨrɨ vyoova jeyyo, vakɨ́vɨɨkaa kyaángwii, sa kɨmʉrɨkɨre voosi ˆvarɨ nyuumbii.
28051000a5	Viivyo baa nyuunyu, kɨweerʉ chaanyu choosaakwa kɨmʉrɨke, vaantʉ voone nteendo jaanyu njija, aho, vamʉbweeyyirye nkongojima Taáta waanyu. Yeeye arɨ kurumwii.
2805110094	Karɨ mwiisee nʉʉja joo seyya Miiro au ʉvariyuli wa valáali na mʉtwe tʉkʉ. Sɨ nʉʉja joo seyya tʉkʉ, maa kaa, nʉʉja joo vikiimikirirya.
28051200b3	Kɨmaarɨ noovawyɨɨra, mpaka kurumu na weerʉ jilooke, kusiina baa lʉtalo lʉmwɨ luduudi au katóonti ka lʉtalo lwa Miiro lʉrɨ seyyiwa tʉkʉ, fʉʉrʉ aya yoosi yakiimane.
2805130131	Jeyyo, mʉʉntʉ yoyoosi ˆarɨ wuna ʉmwɨ wa ʉlairiri muduudi wa ndairiri iji, na avakiindye vaantʉ vɨɨngɨ vabweeyye jeyyo, ʉwo kaanɨrɨrwa arɨ mudúúdi Ʉtemii wa Kurumwii. Maa kaa, yoyoosi ˆatʉ́mamaa na ˆakíindyaa ndairiri iji, ʉwo kaanɨrɨrwa arɨ mʉkʉ́ʉ́lʉ Ʉtemii wa Kurumwii.
28051400b9	Sa jeyyo, nɨ kʉvawyɨɨra niise, ʉwoloki waanyu koonɨ sɨ walóokeriirye wa Mafarisáayo na wa vakiindya va Miiro, kɨkomi sɨ mʉrɨ kɨɨngɨra Ʉtemii wa Kurumwii vii kaa tʉkʉ.
2805150085	Mwateera vambere vasewa jei, ‘Karɨ wʉʉ́laa tʉkʉ,’ na kei mwateera, ‘mʉʉntʉ yoyoosi ˆarɨ kʉʉlaa heewa arɨ irya.’
2805160154	Maa kaa, nɨɨnɨ nɨ kʉvawyɨɨra niise, mʉʉntʉ yoyoosi ˆarɨ mʉkalarɨra mwaanaavo heewa arɨ irya. Na mʉʉntʉ yoyoosi ˆarɨ mʉtʉkɨra mwaanaavo kituki, ʉwo kɨɨma arɨ mbere ya Balása Nkʉʉlʉ ya Vayahúudi. Na mʉʉntʉ yoyoosi ˆarɨ mʉtʉkɨra mwaanaavo amʉsee ‘Mʉkoókoyo,’ tamanya arɨ na mootwii wa Jehénamu.
2805170065	Haaha koonɨ woodoma noo toola mpóryo yaako masabáahwii, maa ʉkʉmbʉkɨre wiitoola na mwaanaanyu,
2805180076	reka ɨyo mpóryo yaako haaho masabáahwii, hɨndʉka ukiiteerwe na mwaanaanyu, maa de jɨ ʉtoole ɨyo mpóryo yaako.
2805190114	Koonɨ mʉʉntʉ yookʉtwaala na balásii, mʉloombe iivae na mpʉʉlo chaangʉ mpɨɨndɨ ˆmʉkaarɨ njirii. Koonɨ sɨ jeyyo, ʉra ˆakusítakiirye kʉkʉtwaala arɨ na kwa mʉlamuli, na mʉlamuli ne kʉkwaatya arɨ kwa mʉlʉkalʉka akwiingirye na mʉnyololwii na ngururu.
28051a0066	Kɨmaarɨ nookuwyɨɨra, sɨ ʉrɨ fuma aho mʉnyololwii tʉkʉ, mpaka ʉrɨhe mpoocho yo marikirirya.
28051b0044	Mwateera yasewa, ‘Karɨ ʉyéendaa na muki wa mʉʉntʉ tʉkʉ.’
28051c00a6	Maa kaa, nɨɨnɨ nɨ kʉvawyɨɨra niise, mʉʉntʉ ˆarɨ mʉlaanga mʉʉntʉ muki, maa amʉmererye matɨ, ʉwo kʉva arɨ ahʉ́mwɨɨre yeenda ne mutimii waachwe.
28051d00ed	Koonɨ riiso raako ra kʉlʉme rakʉháandire ʉtʉmame ʉvɨ, rɨnonkole, ʉrɨfweite na kʉlɨ. Nɨ pwee kwaako kʉsova kɨɨntʉ kɨmwɨ cha mʉvɨrɨ waako, kʉlookya mʉvɨrɨ waako woosi vʉʉ kʉfweitɨrwa na mootwii wa Jehénamu.
28051e00e6	Kei koonɨ iyaanja raako ra kʉlʉme rakʉháandire ʉndoobweeyya ʉvɨ, rɨkere ʉrɨfweite na kʉlɨ. Nɨ pwee kʉsova kɨɨntʉ kɨmwɨ cha mʉvɨrɨ waako, kʉlookya mʉvɨrɨ waako woosi kʉfweitɨrwa na mootwii wa Jehénamu.
28051f0057	Mwateera yasewa, ‘Mʉʉntʉ yoyoosi ˆamusíitire muki waachwe, amʉheere taláka.’
2805200148	Maa kaa, nɨɨnɨ nɨ kʉvawyɨɨra niise, mʉʉntʉ yoyoosi ˆarɨ musiita muki waachwe koonɨ sɨ sa kʉyeenda na mʉlʉme wa mʉʉntʉ, kʉva arɨ yoomʉbweeyya muki waachwe ave ja ayéendaa na mʉlʉme wa mʉʉntʉ. Na mʉʉntʉ ˆarɨ mʉloola ʉwo muki ˆasíitirwe nɨ mʉlʉme, kʉva arɨ yooyeenda na muki wa mʉʉntʉ.
280521008a	Kei mwateera viintʉ vambere vawyɨɨrwa, ‘Karɨ uwúnaa kʉlaha kwaako tʉkʉ, maa kaa, kiimikirirya kʉlaha kwaako mbere ya Ijʉva.’
280522008c	Nɨɨnɨ nɨ kʉvawyɨɨra niise, kɨkomi karɨ mwiiláhaa tʉkʉ, baa kwa kurumu tʉkʉ, sa kurumu noo ichuumbi ra kɨtemi ra Mʉlʉʉngʉ.
