010000000a	Буття
01070c0049	І лило на землю сорок день і сорок ночей.
01070d00c0	Того дня ввійшов Нояг, Сем, Хам і Яфет, сини Ноягові, і жінка Ноягова і троє жінок синів його з ним у ковчег;
01070e0109	Вони і усяка животина по свойму роду, і всяка скотина по кодлу, і усяке лазюче поповза, що човгає по землї по кодлу свойму, і всяке птаство пернате.
01070f0084	Поввіходили до Нояга у ковчег по парі усякого тїла, що в йому є живий дух.
01071000c7	І входячі були самець і самиця од усякого тїла, як заповідав йому Бог. І зачинив Господь Бог ковчег ізнадвору.
010711009d	І затоплювало землю сорок день, і прибувало води, і підіймало ковчег у гору над землею.
010712008b	І впотужнювалась вода, і прибувала велико на землї, і носився ковчег по водї.
010713009a	І впотужнювалась вода на землї несказанно, і поняла всї високі гори, по під небесами.
010714007f	Прибула понад ними вода на пятнайцять локот, і поняла всї високі гори.
01071500f7	І повиздихало всяке тїло, що двигалось по землї, і з птаства і з скотини, і з зьвіра, і з усякого лазючого поповза по землї і всяка людина.
010716006b	Усе, в чого було диханнє і все, що було на сусї, повиздихало.
0107170155	І погинуло все живе, що було на земному лицї, погинуло, і людина і скотина і лазюче поповза, і птаство небесне, і вигублено все те на землї, і зоставсь Нояг один да те, що було з ним у ковчезї.
010718005f	І впотужнювалась вода на землї сто і пятдесять день.
01080100cb	І спогадав Бог Нояга і все живе і всяку скотину з ним у ковчезї, і навів Бог вітра на землю, і перестало дощувати.
0108020084	І позамикались жерела в безоднї і хляби небесні, і зупинився дощ із неба.
01080300a9	І вертались води з землї без перестанї, і як уплило сто і пятдесять день, стала вода посякати.
0108040099	І зупинився ковчег у сьомому місяцї, на сїмнайцятий день місяця, на горі Арарацькій.
01080500db	І вбувало води більше та більше до десятого місяця, а в десятому місяцї на первий день місяця стало видко верхи по горах.
0108060084	І сталось по сорока днях, що відчинив Нояг вікно в ковчезї, що був зробив.
0108070080	І випустив крука, і лїтав той сюди й сюди, закіль посякла вода на землї.
0108080091	Опісля випустив голубицю від себе, щоб довідатись, чи вода спала з земного виду.
010809011c	Та не знайшла голубиця відпочинку нозї своїй, та й вернулась до його в ковчег: бо вода поняла вид усїєї землї. І простїг він руку тай узяв її до себе в ковчег.
01080a0073	І пождав ще других сїм день, та ізнов послав голубицю з ковчега.
01080b00ee	І прилетїла голубка надвечір до його, колиж се — оливний листок у неї в дзьобочку. І дознавсь Нояг, що вода уступила з виду земного.
01080c009e	І зождав іще других сїм день, та й послав знов голубицю, і не вернулась уже до його тодї.
01080d012b	І сталось у шістьсот первому роцї на первий день первого місяця, що посякла вода на землї. І зняв тодї Нояг кришу в ковчезї, і споглянув, аж се — вид земний уже сухий,
01080e0079	А в другому місяцї на двайцять сьомий день місяця земля стужавіла.
01080f0045	І рече Господь Бог Ноягові, глаголючи:
010810007f	Вийди з ковчега сам і жона твоя і сини твої, і жени синів твоїх з тобою.
0108110122	І всяку животину, що з тобою і всяке тїло від птаства і від скотини і з усякого лазючого поповза по землї повиводь із собою; і плодїтесь і намножуйтесь на землї.
0108120073	І вийшов Нояг і сини його, і жінка його, і синів його жінки з ним.
0108130088	Усяка животина, всяке лазюче поповза по кодлах своїх повиходило з ковчега.
01081400f0	І спорудив Нояг жертівника Господеві, і взяв з усякої чистої животини і з усякої чистої птицї та й принїс у всепаленнє на жертівник.
010815015c	І понюхав Господь любих пахощів, і рече: Не проклинати му вже більше землї за чоловіка; бо надих людського серця злющий з молодощів його; і не вигублювати му вже більш усього живого, як учинив.
01081600a9	Покіль земля землею, сїйба й жнива, холоднеча й спека, лїто й весна, день і ніч не перестануть.
01090100b1	І благословив Бог Нояга і сини його, і рече їм: Бувайте плодющі і намножуйтесь і залюднюйте землю.
010902012c	І страх і ляк перед вами нехай находить на всяку животину земну, і на всяке птаство небесне, і на все лазюче по землї, і на всяку рибу морську. На поталу вам подав я їх.
010903008a	Усяке двигуще, що живе на землї, буде ваша їда; як зело травяне подаю вам усе.
0109040051	Тілько мясива з його кровю, душею, щоб не їли.
0109050107	Крові бо вашої, душ ваших, вимагатиму, на всякій животинї мститимусь за неї і допевнятимусь душі людської від руки чоловіка, від руки братя його.
01090600b5	Хто проллє кров людську, того кров теж проливати ме чоловік: бо в образ Божий сотворив Бог чоловіка.
010907007d	Ви ж росплоджуйтесь і намножуйтесь, буяйте по землї і множтесь по її.
0109080059	І рече Бог Ноягові та синам його з ним, глаголючи:
0109090071	Ось я поставляю заповіт мій з вами і з вашим потомством по вас.
01090a00e6	І з усякою душею живою, що з вами, з птаством і скотиною, і з усїм живим на землї, що з вами буде, з усїма, що повиходили з ковчега.
01090b00f0	І постановлю заповіт мій з вами: що нїяке тїло не вимре вже од потопньої води, і не буде вже потопу водного, щоб спустошити всю землю.
01090c00ef	І рече Господь Бог Ноягові: Ось вам знаменнє заповіту, що я дав між мною і вами і між усякою живою душею, яка єсть з вами в роди вічні:
01090d0093	Райдугу́ мою покладаю в хмарі, щоб вона була знаменом заповіту між мною і землею.
01090e0089	І станеться, як наведу хмари понад землею, що зъявиться веселка моя в хмарі.
01090f0107	І спогадаю заповіт мій, що постав між мною і вами, і між усякою живою душею в усякому тїлї: що не буде вже води потопньої на погибель усякому тїлу.
0109100117	А буде райдуга моя в хмарі, і дивитись му на її, щоб спогадати заповіт вічний між Богом і землею, і між усякою живою душею і всяким тїлом, яке єсть на землї.
01091100b4	І рече Бог Ноягові: Се знаменнє вмови, що постановив я проміж мною і усяким тїлом, яке єсть на землї.
010912009e	Сини ж Ноягові, що повиходили з ковчега, були: Сем, Хам і Яфет. Хам же був отець Канаанів.
0109130077	Троє сих сини Ноягові, і від них порозсївались люде по всїй землї.
0109140060	І почав Нояг бути ратаєм на землї і насадив виноград.
010915006c	І пив вино, та й упився і лежав обнаживши ся у наметї свойму.
01091600ac	І побачив Хам, отець Канаанів, наготу батька свого, і вийшовши геть оповідав обом братам своїм.
0109170136	І взявши Сем та Яфет гуню, накинули її на плечі собі та й ійшли дивлячись назад, і прикрили наготу батька свого, а лиця їх дивились назад, і наготи батькової не бачили вони.
010918009b	Отверезився ж Нояг од хмелю свого, та й довідався, що вчинив йому підстарший син його,
010919008f	І рече: Ой щоб же ти долї не мав, Канаане! Рабом що найнисшим служити меш браттї.
01091a0077	Хвала Господеві! Се Бог мого Сема. А ти, Канаане, рабом у них будеш.
01091b00ac	Розшируй Яфета і дай йому, Боже, седїти у Сема, у брата в наметї, а ти, Канаане, рабом у них будеш.
01091c0053	І пожив Нояг по потопі триста і пятдесять год;
01091d006f	І було всїх днїв Ноягових років деватьсот пятьдесять, і вмер.
010a01009a	Се ж постань синів Ноягових, Сема, Хама та Яфета, і понароджувались їм сини по потопі.
010a020086	Сини Яфетові: Гомер та Магог, та Мадай, та Яван да Тубал, та Месех, да Тирас.
010a030051	А сини Гомерові: Аскеназ та Рифат та Тогарма.
010a04005c	А сини Яванові: Елиса, да Тарсис, Киттим та Доданим.
010a0500cd	Від сих розселились люде в країнах невірних, по землях своїх, по мовах своїх, по родинах своїх, по племенах своїх.
010a060055	А сини Хамові: Куш та Мизраїм, да Фут, да Канаан.
010a0700a2	А сини Кушові: Себа та Гавила, да Сабта, да Рахма, да Сабтека; а сини Рахмові: Шеба та Дедан.
010a080063	І появив Куш Нимрода. Сей почав бути велетнем на землї.
010a0900b0	Сей був велетень ловець перед Господом; тим і мовляли: як Нимрод, велетень ловець перед Господом.
010a0a0096	Царюваннє ж його роспростерлось на Бабилон, і Ерех, і Аккад, і Калне у Синеяр землї.
010a0b007e	Із тієї землї вийшов Ассур, та й збудовав Ниневу і Регобод-Ір, і Калаг,
