010000000c	ԾՆՆԴՈՑ
010119011c	Աստուած ստեղծեց երկրի գազաններն իրենց տեսակներով, անասուններն իրենց տեսակներով եւ երկրի բոլոր սողուններն իրենց տեսակներով: Աստուած տեսաւ, որ դրանք լաւ են:
01011a013b	Աստուած ասաց. «Մարդ ստեղծենք մեր կերպարանքով ու նմանութեամբ, նա թող իշխի ծովի ձկների, երկնքի թռչունների, ողջ երկրի անասունների եւ երկրի վրայ սողացող բոլոր սողունների վրայ»:
01011b00ad	Եւ Աստուած մարդուն ստեղծեց իր պատկերով, Աստծու պատկերով ստեղծեց նրան, արու եւ էգ ստեղծեց նրանց:
01011c0164	Աստուած օրհնեց նրանց ու ասաց. «Աճեցէ՛ք, բազմացէ՛ք, լցրէ՛ք երկիրը, տիրեցէ՛ք դրան, իշխեցէ՛ք ծովի ձկների, երկնքի թռչունների, ողջ երկրի բոլոր անասունների ու երկրի վրայ սողացող բոլոր սողունների վրայ»:
01011d014a	Աստուած ասաց. «Ահա ձեզ տուեցի ողջ երկրի վրայ տարածուած սերմանելի բոլոր բոյսերի սերմերը եւ իրենց մէջ պտուղ սերմանելու սերմ պարունակող բոլոր ծառերը: Դրանք թող ձեզ համար սնունդ լինեն,
01011e012f	իսկ բոլոր կանաչ խոտերը երկրի բոլոր գազանների, երկնքի բոլոր թռչունների եւ երկրի վրայ սողացող բոլոր սողունների՝ բոլոր կենդանիների համար թող լինեն կեր»: Եւ եղաւ այդպէս:
01011f00b0	Աստուած տեսաւ, որ այն ամէնը, ինչ ստեղծել էր, շատ լաւ է: Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր վեցերորդ:
0102010075	Այսպիսով Աստուած ստեղծեց երկինքն ու երկիրը եւ կարգաւորեց դրանք:
01020200cb	Աստուած վեցերորդ օրն աւարտեց արարչագործութիւնը եւ իր կատարած բոլոր գործերից յետոյ՝ եօթներորդ օրը, հանգստացաւ:
01020300e4	Աստուած օրհնեց եօթներորդ օրը եւ սրբագործեց այն, որովհետեւ այդ օրը Աստուած հանգստացաւ իր այն բոլոր գործերից, որ սկսել էր անել:
01020400ab	Այս է երկնքի ու երկրի արարչութեան պատմութիւնը: Այն օրը, երբ Աստուած ստեղծեց երկինքն ու երկիրը,
0102050117	երկրի վրայ դեռ ոչ մի տունկ չէր բուսել, դեռ ոչ մի դաշտային բոյս չէր աճել, որովհետեւ Տէր Աստուած անձրեւ չէր տեղացրել երկրի վրայ, եւ մարդ չկար, որ մշակէր հողը,
010206005b	բայց աղբիւր էր բխում երկրից եւ ոռոգում ողջ երկիրը:
01020700bc	Տէր Աստուած մարդուն ստեղծեց երկրի հողից, նրա դէմքին կենդանութեան շունչ փչեց, եւ մարդն եղաւ կենդանի էակ:
0102080093	Աստուած դրախտ տնկեց Եդեմում՝ արեւելեան կողմը, եւ այնտեղ դրեց իր ստեղծած մարդուն:
010209011c	Տէր Աստուած երկրից բուսցրեց նաեւ ամէն տեսակի գեղեցկատեսիլ ու համեղ մրգեր տուող ծառեր, իսկ կենաց ծառը՝ բարու եւ չարի գիտութեան ծառը, տնկեց դրախտի մէջտեղում:
01020a0095	Գետ էր բխում Եդեմից, որպէսզի ոռոգէր դրախտը, եւ այնտեղից բաժանւում էր չորս ճիւղերի:
01020b0092	Մէկի անունը Փիսոն էր: Նա է, որ պատում է ամբողջ Եւիլատ երկիրը, այնտեղ, ուր ոսկի կայ:
01020c007b	Այդ երկրի ոսկին ազնիւ է: Այնտեղ կայ նաեւ սուտակ եւ դահանակ ակնաքարը:
01020d006b	Երկրորդ գետի անունը Գեհոն է: Նա պատում է Եթովպացւոց երկիրը:
01020e0083	Երրորդ գետը Տիգրիսն է: Սա հոսում է դէպի Ասորեստան: Չորրորդ գետը Եփրատն է:
01020f00af	Տէր Աստուած իր ստեղծած մարդուն տեղաւորեց բերկրութեան դրախտում, որպէսզի սա մշակի ու պահպանի այն:
010210009a	Տէր Աստուած պատուիրեց Ադամին ու ասաց. «Դրախտում ամէն ծառի պտուղներից կարող ես ուտել,
01021100be	բայց բարու եւ չարի գիտութեան ծառից մի՛ կերէք, որովհետեւ այն օրը, երբ ուտէք դրանից, մահկանացու կը դառնաք»:
01021200af	Տէր Աստուած ասաց. «Լաւ չէ, որ մարդը միայնակ լինի: Նրա նմանութեամբ մի օգնական ստեղծենք նրա համար»:
010213017d	Տէր Աստուած ստեղծեց նաեւ դաշտային բոլոր գազաններին, երկնքի բոլոր թռչուններին եւ բերեց Ադամի մօտ, որ տեսնի, թէ Ադամը ինչ անուն կը տայ դրանց: Եւ Ադամն ինչ անուն որ տար ամէն մի կենդանուն, այն էլ կը լինէր դրա անունը:
0102140110	Ադամը բոլոր անասուններին, երկնքի բոլոր թռչուններին եւ դաշտային բոլոր գազաններին տուեց անուններ, բայց Ադամը չգտաւ իր նմանութիւնն ունեցող մի օգնական:
01021500cd	Տէր Աստուած թմրութիւն բերեց Ադամի վրայ, եւ սա քնեց: Աստուած հանեց նրա կողոսկրերից մէկը եւ այդ տեղը մաշկով ծածկեց:
0102160084	Տէր Աստուած Ադամից վերցրած կողոսկրից կին արարեց եւ նրան բերեց Ադամի մօտ:
01021700d7	Ադամն ասաց. «Այժմ սա ոսկոր է իմ ոսկորներից եւ մարմին՝ իմ մարմնից: Թող սա կոչուի կին, որովհետեւ իր ամուսնուց ստեղծուեց»:
01021800c6	Այդ իսկ պատճառով տղամարդը թողնելով իր հօրն ու մօրը՝ պէտք է միանայ իր կնոջը, եւ երկուսը պէտք է լինեն մի մարմին:
0102190067	Եւ երկուսն էլ՝ Ադամն ու իր կինը, մերկ էին ու չէին ամաչում:
010301012e	Օձը երկրի վրայ Աստծու ստեղծած բոլոր գազաններից աւելի խորամանկ էր: Օձն ասաց կնոջը. «Ինչո՞ւ Աստուած ասաց, թէ դրախտում գտնուող բոլոր ծառերի պտուղներից չէք կարող ուտել»:
010302006a	Կինն ասաց օձին. «Դրախտի ծառերի պտուղներից կարող ենք ուտել:
01030300b2	Սակայն դրախտի մէջտեղի ծառի պտղի համար Աստուած ասաց. «Դրանից չուտէք եւ չմօտենաք, որպէսզի չմեռնէք»:
0103040034	Օձն ասաց կնոջը. «Չէք մահանայ,
01030500f7	որովհետեւ Աստուած գիտէր, որ այն օրը, երբ դրանից ուտէք, կը բացուեն ձեր աչքերը, եւ դուք կը լինէք աստուածների նման՝ կ՚իմանաք բարին ու չարը»:
0103060124	Կինը տեսաւ, որ ծառի պտուղը լաւ է ուտելու համար, ակնահաճոյ է եւ գրաւիչ՝ ըմբռնելու համար: Նա առաւ նրա պտղից, կերաւ եւ տուեց իր մօտ կանգնած ամուսնուն, եւ նրանք կերան:
01030700e5	Երկուսի աչքերն էլ բացուեցին, եւ նրանք հասկացան, որ մերկ են: Նրանք թզենու տերեւներն իրար կարեցին եւ իրենց համար գոգնոց շինեցին:
01030800ec	Երեկոյեան նրանք լսեցին Տէր Աստծու՝ դրախտում շրջագայելու ոտնաձայնը, եւ Ադամն ու իր կինը Տէր Աստծուց թաքնուեցին դրախտի ծառերի մէջ:
010309005a	Տէր Աստուած կանչեց Ադամին ու ասաց նրան. «Ո՞ւր ես»:
01030a00ab	Ադամը պատասխանեց. «Լսեցի քո ձայնն այստեղ՝ դրախտում, ամաչեցի, որովհետեւ մերկ էի, եւ թաքնուեցի»:
01030b00c2	Աստուած ասաց նրան. «Ո՞վ յայտնեց քեզ, թէ մերկ ես: Արդեօք կերա՞ր այն ծառի պտղից, որից պատուիրել էի, որ չուտես»:
01030c0089	Ադամն ասաց. «Այս կինը, որ տուեցիր ինձ, նա՛ տուեց ինձ ծառի պտղից, եւ ես կերայ»:
01030d0094	Տէր Աստուած ասաց կնոջը. «Այդ ի՞նչ ես արել»: Կինն ասաց. «Օձը խաբեց ինձ, եւ ես կերայ»:
01030e0125	Տէր Աստուած ասաց օձին. «Քանի որ այդ բանն արեցիր, անիծեալ լինես երկրի բոլոր անասունների ու գազանների մէջ: Քո լանջի ու որովայնի վրայ սողաս, ողջ կեանքումդ հող ուտես:
01030f00f6	Թշնամութիւն պիտի դնեմ քո եւ այդ կնոջ միջեւ, քո սերնդի ու նրա սերնդի միջեւ: Նա պիտի ջախջախի քո գլուխը, իսկ դու պիտի խայթես նրա գարշապարը»:
0103100113	Իսկ կնոջն ասաց. «Պիտի անչափ բազմացնեմ քո ցաւերն ու քո հառաչանքները: Ցաւերով երեխաներ պիտի ծնես, քո ամուսնուն պիտի ենթարկուես, եւ նա պիտի իշխի քեզ վրայ»:
01031101a0	Աստուած Ադամին ասաց. «Քանի որ անսացիր քո կնոջ ձայնին եւ կերար այն ծառի պտղից, որի՛ց միայն քեզ պատուիրեցի չուտել, բայց կերար դրանից, թող անիծեալ լինի երկիրը քո արածի պատճառով: Տանջանքով հայթայթես քո սնունդը քո կեանքի բոլոր օրերին:
010312008a	Փուշ ու տատասկ թող աճեցնի քեզ համար երկիրը, եւ դու դաշտային բոյսերով սնուես:
01031300c0	Քո երեսի քրտինքով ուտես հացդ մինչեւ հող դառնալդ, որից ստեղծուեցիր, որովհետեւ հող էիր եւ հող էլ կը դառնաս»:
010314008a	Եւ Ադամն իր կնոջ անունը դրեց Կեանք, որովհետեւ նա է բոլոր մարդկանց նախամայրը:
0103150093	Տէր Աստուած Ադամի ու նրա կնոջ համար կաշուից զգեստներ պատրաստեց եւ հագցրեց նրանց:
01031600fa	Տէր Աստուած ասաց. «Ահա Ադամը դարձաւ մեզ նման մէկը, նա գիտի բարին եւ չարը: Արդ, գուցէ նա ձեռքը մեկնի, քաղի կենաց ծառից, ուտի եւ անմահ դառնայ»:
01031700ad	Եւ Տէր Աստուած արտաքսեց նրան բերկրութեան դրախտից, որպէսզի նա մշակի այն հողը, որից ստեղծուել էր:
0103180122	Աստուած դուրս հանեց Ադամին, բնակեցրեց բերկրութեան դրախտի դիմաց եւ հրամայեց քերովբէներին ու բոցեղէն սրին շուրջանակի հսկել դէպի կենաց ծառը տանող ճանապարհները:
01040100ad	Ադամը պառկեց իր կին Եւայի հետ, սա յղիացաւ, ծնեց Կայէնին ու ասաց. «Մարդ ծնեցի Աստծու զօրութեամբ»:
01040200ae	Դրանից յետոյ նա ծնեց նրա եղբայր Աբէլին: Աբէլը դարձաւ ոչխարների հովիւ, իսկ Կայէնը հող էր մշակում:
0104030071	Որոշ ժամանակ անց Կայէնը երկրի բարիքներից ընծայ բերեց Աստծուն,
01040400bd	իսկ Աբէլը բերեց իր ոչխարների առաջնեկներից ու գէրերից: Աստուած բարի աչքով նայեց Աբէլին ու նրա ընծաներին,
01040500ac	իսկ Կայէնի ու նրա ընծաների վրայ ուշադրութիւն չդարձրեց: Կայէնը շատ տրտմեց, նրա դէմքը մռայլուեց:
010406007b	Տէր Աստուած Կայէնին ասաց. «Ինչո՞ւ տրտմեցիր, ինչո՞ւ մռայլուեց դէմքդ:
0104070119	Չէ՞ որ եթէ արդար ես զոհաբերում, բայց արդար չես բաժանում, մեղանչած ես լինում: Հանգի՛ստ եղիր, դու կարող ես մեղքից ազատուել, դու ի վիճակի ես այն յաղթահարելու»:
01040800e0	Կայէնն ասաց իր եղբայր Աբէլին. «Արի գնանք դաշտ»: Երբ նրանք դաշտ հասան, Կայէնը յարձակուեց իր եղբայր Աբէլի վրայ եւ սպանեց նրան:
01040900c2	Տէր Աստուած հարցրեց Կայէնին. «Ո՞ւր է քո եղբայր Աբէլը»: Սա պատասխանեց. «Չգիտեմ, մի՞թէ ես իմ եղբօր պահակն եմ»:
01040a0087	Աստուած ասաց. «Այդ ի՞նչ արեցիր, քո եղբօր արեան կանչը երկրից բողոքում է ինձ:
01040b00b4	Արդ, անիծեալ լինես երկրի վրայ, որը բացեց իր բերանը եղբօրդ՝ քո ձեռքով թափած արիւնն ընդունելու համար:
01040c00d0	Դու պիտի մշակես հողը, բայց նա պիտի չկարողանայ քեզ տալ իր արդիւնքը: Ահ ու դողի եւ երերման մէջ պիտի լինես երկրի վրայ»:
01040d0084	Կայէնն ասաց Աստծուն. «Գործած մեղքս մեծ է թողութեան արժանի լինելու համար:
01040e00e1	Եթէ այսօր ինձ հանես երկրից, ես կը թաքնուեմ քեզնից, ահ ու դողի եւ երերման մէջ կը լինեմ երկրի վրայ, եւ ով հանդիպի, կը սպանի ինձ»:
01040f012c	Տէր Աստուած ասաց նրան. «Այդպէս չէ: Նա, ով կը սպանի Կայէնին, եօթնապատիկ վրէժի կ՚արժանանայ»: Եւ Տէր Աստուած նշան դրեց Կայէնի վրայ, որպէսզի ոչ ոք, ով հանդիպի նրան, չսպանի:
010410007c	Կայէնը հեռացաւ Աստծու մօտից եւ բնակուեց Նայիդ երկրում՝ Եդեմի դիմաց:
01041100d2	Կայէնը պառկեց իր կնոջ հետ, սա յղիացաւ ու ծնեց Ենոքին: Կայէնը քաղաք կառուցեց եւ քաղաքը կոչեց իր որդու՝ Ենոքի անուամբ:
01041200d5	Ենոքը Գայերիդադ անուամբ որդի ունեցաւ: Գայերիդադը ծնեց Մայիէլին, Մայիէլը ծնեց Մաթուսաղային, Մաթուսաղան ծնեց Ղամէքին:
0104130080	Ղամէքն առաւ երկու կին. մէկի անունը Ադդա էր, իսկ երկրորդի անունը՝ Սէլլա:
0104140086	Ադդան ծնեց Յոբէլին: Սա խաշնարածների վրաններում բնակուողների նախահայրն է:
010415005e	Նրա եղբօր անունը Յոբաղ է: Նա է յօրինել երգն ու քնարը:
0104160094	Սէլլան ծնեց Թոբէլին, որը պղնձի ու երկաթի հմուտ դարբին էր: Թոբէլի քոյրը Նոյեման էր:
010417013b	Ղամէքն ասաց իր կանանց՝ Ադդային ու Սէլլային. «Լսեցէ՛ք իմ խօսքը, Ղամէքի կանայք, ակա՛նջ դրէք իմ ասածին: Ես մի երիտասարդ մարդ սպանեցի, որովհետեւ նա ինձ վիրաւորել եւ հարուածել էր:
01041800ae	Եթէ սպանութեան համար Կայէնից եօթն անգամ վրէժ է պահանջւում, ապա Ղամէքից՝ եօթանասունեօթն անգամ»:
0104190107	Ադամը պառկեց իր կին Եւայի հետ, սա յղիացաւ, ծնեց որդի, նրա անունը դրեց Սէթ եւ ասաց. «Կայէնի սպանած Աբէլի փոխարէն Աստուած ինձ ուրիշ զաւակ պարգեւեց»:
01041a0098	Սէթն ունեցաւ որդի եւ նրա անունը դրեց Ենոս: Նա յուսալով կանչում էր Տէր Աստծու անունը:
01050100cc	Սա մարդկանց ազգաբանութեան այն օրերի պատմութիւնն է, երբ Աստուած ստեղծեց Ադամին: Ըստ Աստծու պատկերի ստեղծեց նրան,
01050200b0	արու եւ էգ ստեղծեց նրանց, օրհնեց եւ ադամ, այսինքն՝ մարդ անուանեց նրանց այն օրը, երբ ստեղծեց նրանց:
01050300a8	Ադամը երկու հարիւր երեսուն տարեկանին իր նման ու իր կերպարանքով որդի ծնեց եւ անունը դրեց Սէթ:
0105040094	Սէթին ծնելուց յետոյ Ադամն ապրեց եւս եօթը հարիւր տարի եւ ծնեց ուստրեր ու դուստրեր:
0105050053	Ադամը մեռաւ՝ ապրելով ինը հարիւր երեսուն տարի:
0105060053	Սէթը երկու հարիւր հինգ տարեկանին ծնեց Ենոսին:
010507009d	Ենոսին ծնելուց յետոյ Սէթն ապրեց եւս եօթը հարիւր եօթը տարի եւ ծնեց ուստրեր ու դուստրեր:
0105080055	Սէթը մեռաւ՝ ապրելով ինը հարիւր տասներկու տարի:
0105090054	Ենոսը հարիւր իննսուն տարեկանին ծնեց Կայնանին:
01050a00ab	Կայնանին ծնելուց յետոյ Ենոսն ապրեց եւս եօթը հարիւր տասնհինգ տարի եւ ծնեց ուստրեր ու դուստրեր:
01050b004d	Ենոսը մեռաւ՝ ապրելով ինը հարիւր հինգ տարի:
01050c0064	Կայնանը հարիւր եօթանասուն տարեկանին ծնեց Մաղաղայէլին:
01050d00b5	Մաղաղայէլին ծնելուց յետոյ Կայնանն ապրեց եւս եօթը հարիւր քառասուն տարի եւ ծնեց ուստրեր ու դուստրեր:
01050e0051	Կայնանը մեռաւ՝ ապրելով ինը հարիւր տասը տարի:
01050f0064	Մաղաղայէլը հարիւր վաթսունհինգ տարեկանին ծնեց Յարէդին:
01051000b1	Յարէդին ծնելուց յետոյ Մաղաղայէլն ապրեց եւս եօթը հարիւր երեսուն տարի եւ ծնեց ուստրեր ու դուստրեր:
0105110065	Մաղաղայէլը մեռաւ՝ ապրելով ութ հարիւր իննսունհինգ տարի:
010512005c	Յարէդը հարիւր վաթսուներկու տարեկանին ծնեց Ենոքին:
0105130096	Ենոքին ծնելուց յետոյ Յարէդն ապրեց եւս ութ հարիւր տարի եւ ծնեց ուստրեր ու դուստրեր:
010514005f	Յարէդը մեռաւ՝ ապրելով ինը հարիւր վաթսուներկու տարի:
0105150064	Ենոքը հարիւր վաթսունհինգ տարեկանին ծնեց Մաթուսաղային:
01051600b7	Ենոքը Մաթուսաղային ծնելուց յետոյ սիրելի եղաւ Աստծուն երկու հարիւր տարի եւ ծնեց ուստրեր ու դուստրեր:
010517004c	Ենոքը ապրեց երեք հարիւր վաթսունհինգ տարի:
010518008e	Ենոքը սիրելի եղաւ Աստծուն: Նա անյայտացաւ, որովհետեւ Աստուած նրան տարաւ իր մօտ:
0105190064	Մաթուսաղան հարիւր ութսունեօթը տարեկանին ծնեց Ղամէքին:
01051a00ab	Ղամէքին ծնելուց յետոյ Մաթուսաղան ապրեց եւս ութ հարիւր երկու տարի եւ ծնեց ուստրեր ու դուստրեր:
01051b0063	Մաթուսաղան մեռաւ՝ ապրելով ինը հարիւր վաթսունինը տարի:
01051c0054	Ղամէքը հարիւր ութսունութ տարեկանին ծնեց որդի:
01051d00eb	Նա նրա անունը դրեց Նոյ: Ղամէքն ասաց. «Սա մեզ կը հանգստացնի մեր գործերից, մեր ձեռքերի ցաւերից եւ այն երկրից, որ անիծեց Տէր Աստուած»:
01051e00ad	Նոյին ծնելուց յետոյ Ղամէքն ապրեց եւս հինգ հարիւր վաթսունհինգ տարի եւ ծնեց ուստրեր ու դուստրեր:
01051f005d	Ղամէքը մեռաւ՝ ապրելով եօթը հարիւր յիսուներեք տարի:
0105200079	Նոյը հինգ հարիւր տարեկանին ծնեց երեք որդի. Սէմին, Քամին եւ Յաբէթին:
010601006d	Երբ սկսեցին մարդիկ բազմանալ երկրի վրայ եւ դուստրեր ունեցան,
01060200a2	Աստծու որդիները, տեսնելով որ մարդկանց դուստրերը գեղեցիկ են, կին առան նրանց, ում ընտրեցին:
0106030102	Տէր Աստուած ասաց. «Իմ ոգին յաւիտեան թող չմնայ այդ մարդկանց մէջ, որովհետեւ նրանք մարմնաւոր են: Նրանց կեանքի սահմանը թող լինի հարիւր քսան տարի»:
010604014f	Այդ օրերին հսկաներ էին ապրում երկրի վրայ: Երբ Աստծու որդիները մարդկանց դուստրերի հետ պառկեցին, իրենց համար որդիներ ծնեցին: Նրանք այն հսկաներն էին, որոնք հնուց ի վեր անուանի մարդիկ էին:
0106050108	Երբ Տէր Աստուած տեսաւ, որ մարդկանց չարագործութիւնները բազմանում են երկրի վրայ, եւ ամէն ոք իր մտքում ամէն օր խնամքով չարագործութիւններ է նիւթում,
0106060081	զղջաց Աստուած, որ մարդ է ստեղծել երկրի վրայ, եւ տրտմեց իր հոգու խորքում:
0106070144	Տէր Աստուած ասաց. «Երկրի երեսից վերացնելու եմ իմ ստեղծած ամէն մի էակ՝ մարդուց մինչեւ անասուն եւ սողուններից մինչեւ երկնքի թռչունները, որովհետեւ զղջացել եմ, որ ստեղծել եմ նրանց»:
0106080051	Նոյը, սակայն, արժանացել էր Տէր Աստծու սիրուն:
01060900a7	Այս է Նոյի պատմութիւնը: Նոյը կատարեալ եւ արդար մարդ էր իր ազգի մէջ: Նոյը սիրելի եղաւ Աստծուն:
01060a004c	Նոյը ծնեց երեք որդի. Սէմին, Քամին, Յաբէթին:
01060b0072	Ապականուեց երկիրն Աստծու առաջ, աշխարհը լցուեց անարդարութեամբ:
01060c00b2	Տէր Աստուած տեսաւ, որ երկիրն ապականուած է, որովհետեւ երկրի վրայ ամէն էակ ապականել էր իր ճանապարհը:
01060d00fb	Տէր Աստուած ասաց Նոյին. «Բոլոր մարդկանց վերջը հասել է, որովհետեւ երկիրը լցուել է նրանց անիրաւութիւններով: Ես կ՚ոչնչացնեմ նրանց ու երկիրը:
01060e00e2	Արդ, դու քեզ համար քառակուսի փայտից տապան կը շինես: Տապանը բաժանմունքներով կը պատրաստես եւ ներսից ու դրսից կուպրով կը ծեփես:
01060f00fb	Տապանն այսպէս կը շինես. թող երեք հարիւր կանգուն լինի տապանի երկարութիւնը, յիսուն կանգուն՝ լայնութիւնը, եւ երեսուն կանգուն՝ բարձրութիւնը:
0106100124	Տապանն աստիճանաբար նեղացնելով կը շինես, այնպէս, որ նրա ծածկը մի կանգուն լինի: Տապանի դուռը կողքից կ՚անես. ներքնայարկ, միջնայարկ ու վերնայարկ թող ունենայ տապանը:
01061100fb	Իսկ ես, ահա, ջրով կը հեղեղեմ երկիրը՝ ոչնչացնելու համար երկնքի տակ գտնուող ամէն մի շնչաւոր էակ. եւ այն ամէնը, ինչ կայ երկրի վրայ, կ՚ոչնչանայ:
01061200c8	Ես իմ ուխտը կը հաստատեմ քեզ հետ, եւ տապան կը մտնես դու, քեզ հետ նաեւ՝ քո որդիները, քո կինը եւ քո որդիների կանայք:
01061300fe	Բոլոր կենդանիներից, բոլոր գազաններից ու բոլոր էակներից երկու-երկու կը մտցնես տապան, որ նրանք կերակրուեն քեզ հետ: Թող դրանք արու եւ էգ լինեն:
0106140115	Ամէն տեսակ թռչուններից, ամէն տեսակ կենդանիներից, երկրի ամէն տեսակ սողուններից՝ բոլորից երկու-երկու, արու եւ էգ, թող մտնեն քեզ հետ, որ կերակրուեն քեզ հետ:
01061500f1	Եւ դու կը վերցնես բոլոր այն ուտելիքներից, որոնցով պիտի սնուէք: Դրանք կը կուտակես քեզ մօտ, որպէսզի քեզ ու նրանց համար կերակուր լինեն»:
0106160084	Եւ Նոյն արեց այն ամէնը, ինչ պատուիրեց նրան Տէր Աստուած: Նա այդպէս էլ արեց:
01070100dd	Տէր Աստուած ասաց Նոյին. «Դու եւ քո ողջ ընտանիքը մտէ՛ք տապան, որովհետեւ մարդկային ցեղի մէջ միայն քե՛զ գտայ արդար իմ հանդէպ:
01070200d9	Անպիղծ բոլոր կենդանիներից եօթը-եօթը՝ արու եւ էգ, կը մտցնես քեզ հետ, իսկ պիղծ բոլոր կենդանիներից երկու-երկու՝ արու եւ էգ,
01070300f7	նաեւ երկնքի անպիղծ թռչուններից եօթը-եօթը՝ արու եւ էգ, իսկ պիղծ թռչուններից երկու-երկու՝ արու եւ էգ, որ սերունդ պահպանուի ողջ երկրի վրայ:
01070400e6	Եօթը օր յետոյ ես քառասուն օր ու քառասուն գիշեր անձրեւ պիտի թափեմ երկրի վրայ եւ երկրի երեսից պիտի ջնջեմ իմ ստեղծած ամէն մի էակ»:
0107050055	Նոյն արեց այն ամէնը, ինչ պատուիրեց Տէր Աստուած:
0107060065	Նոյը վեց հարիւր տարեկան էր, երբ ջրհեղեղ եղաւ երկրի վրայ:
0107070099	Ջրհեղեղի պատճառով Նոյի հետ տապան մտան նրա որդիները, նրա կինն ու նրա որդիների կանայք:
010708008e	Անպիղծ թռչուններից ու պիղծ թռչուններից, երկրի վրայ սողացող բոլոր սողուններից
0107090095	երկու-երկու՝ արու եւ էգ, Նոյի հետ մտան տապան, ինչպէս պատուիրել էր նրան Տէր Աստուած:
01070a0045	Եօթը օր յետոյ երկրի վրայ ջրհեղեղ եղաւ:
