2800000007	Matteus
28030b00d8	Minä kastan vedellä kaikki, jotka katuvat syntejään. Minun jälkeeni tulee toinen, joka on minua paljon suurempi – en kelpaa kantamaan edes hänen kenkiään! Hän kastaa teidät Pyhällä Hengellä ja tulella.
28030c005e	Hän erottelee jyvistä akanat ja polttaa ne ikuisessa tulessa, mutta kokoaa jyvät talteen.»
28030d0051	Jeesus lähti kotoaan Galileasta. Hän tuli Jordanille Johanneksen kastettavaksi,
28030e0076	mutta Johannes ei halunnut tehdä sitä. »Ei missään tapauksessa», hän sanoi. »Sinunhan pitäisi kastaa minut.»
28030f0083	Mutta Jeesus vastasi: »Kasta sinä kuitenkin minut, sillä minun on tehtävä niin kuin Jumala tahtoo.» Lopulta Johannes suostui.
280310007e	Kun Jeesus nousi kasteen jälkeen vedestä, hän näki taivaan avautuvan ja Jumalan Hengen laskeutuvan sieltä kuin kyyhkynen.
280311006c	Ylhäältä kuului ääni: »Tämä on minun rakas Poikani, suuri iloni, jonka olen valinnut Pelastajaksi.»
280401004e	Tämän jälkeen Pyhä Henki vei Jeesuksen autiomaahan saatanan kiusattavaksi.
280402005a	Jeesus ei syönyt neljäänkymmeneen vuorokauteen mitään, ja hänelle tuli kova nälkä.
2804030081	Silloin saatana yritti saada häntä muuttamaan kiviä leiviksi. »Voit sillä osoittaa olevasi Jumalan Poika», hän houkutteli.
2804040084	Jeesus kieltäytyi: »Raamattu sanoo, ettei leivällä voi ravita ihmisen sielua – sen ravitsee vain Jumalan sanan totteleminen.»
280405003b	Sitten saatana vei Jeesuksen Jerusalemin temppelin katolle.
28040600f1	»Hyppää alas», hän kehotti. »Sitten näemme, oletko Jumalan Poika. Raamatussahan sanotaan:’Jumala lähettää enkelinsä varjelemaan häntä, niin ettei hän satuta itseään.’ Enkelit eivät anna Jumalan Pojan murskautua kiviin.»
2804070075	Mutta Jeesuskin vetosi Raamattuun: »Siellä myös kielletään panemasta Jumalaa näin järjettömään kokeeseen!»
2804080082	Seuraavaksi saatana vei hänet hyvin korkean vuoren huipulle ja esitteli hänelle kaikki maailman valtakunnat ja niiden rikkaudet.
2804090052	»Annan ne kaikki sinulle, jos polvistut eteeni ja palvot minua», saatana lupasi.
28040a0064	»Mene tiehesi», Jeesus sanoi. »Raamatussa käsketään palvelemaan ja tottelemaan vain Jumalaa.»
28040b0041	Silloin saatana lähti. Enkelit tulivat huolehtimaan Jeesuksesta.
28040c00c5	Kun Jeesus kuuli, että Johannes oli vangittu, hän palasi Juudeasta kotiinsa Galilean Nasaretiin. Sieltä hän muutti pian Kapernaumiin Genesaretin järven rannalle Sebulonin ja Naftalin alueelle.
28040e0020	Näin toteutui Jesajan ennustus:
28040f0087	»Sebulonin ja Naftalin alueella, järven rannalla, Jordanin toisella puolella ja Pohjois-Galileassa, missä asuu paljon ulkomaalaisia,
280410007b	loisti pimeässä eläville ihmisille kirkas valo. He olivat eläneet kuoleman varjossa, mutta nyt he pääsivät valoon.»
280411008b	Tästä lähtien Jeesus alkoi julistaa: »Kääntykää pois synnistä ja palatkaa Jumalan luo, sillä hänen valtakuntansa on lähellä.»
28041200cd	Eräänä päivänä Jeesus käveli Genesaretin järven rannalla. Hän tapasi kaksi veljestä: Simonin, jota sanotaan Pietariksi, ja Andreaan. Miehet olivat kalastajia ja heittivät juuri verkkoa järveen.
280413005c	Jeesus huusi: »Lähtekää minun mukaani! Näytän teille miten voitte kalastaa ihmisiä!»
2804140056	Pietari ja Andreas jättivät heti verkkonsa ja lähtivät kulkemaan Jeesuksen kanssa.
28041500bf	Kun he kävelivät pitkin rantaa, Jeesus näki siellä myös Sebedeuksen pojat, Jaakobin ja Johanneksen. He istuivat isänsä kanssa veneessä paikkaamassa verkkoja. Jeesus kutsui heidätkin.
280416005a	He lopettivat heti työnsä, jättivät isänsä veneeseen ja lähtivät Jeesuksen mukaan.
28041700b1	Jeesus kierteli ympäri Galileaa, opetti juutalaisten synagogissa ja kertoi kaikille ihmisille iloisen uutisen taivaan valtakunnasta. Hän paransi myös kaikenlaisia sairauksia.
28041800fe	Tieto hänen tekemistään ihmeistä levisi Galilean ulkopuolellekin. Jopa Syyriasta asti tuli ihmisiä hänen parannettavakseen. Jeesus paransi heidät kaikki – olivatpa he sitten demonien vallassa, kaatumatautisia, halvaantuneita tai muuten sairaita.
2804190093	Galileasta, Kymmenen kaupungin alueelta, Jerusalemista, koko Juudeasta ja Jordanin toiselta puolelta lähti valtava ihmisjoukko seuraamaan häntä.
2805010083	Eräänä päivänä väkeä alkoi taas kokoontua. Jeesus lähti oppilaidensa kanssa vuorenrinteelle ja istuutui opettamaan heitä.
280503006c	»Onnellisia ovat ne ihmiset, jotka tarvitsevat Jumalaa: heille annetaan taivaan valtakunta», Jeesus sanoi.
280504003d	»Onnellisia ovat murheelliset, sillä he saavat lohdutuksen.
2805050035	Onnellisia ovat nöyrät, sillä koko maa on heidän.
2805060059	Onnellisia ovat ne, jotka toivovat Jumalan tahdon tapahtuvan: heidän toiveensa toteutuu.
280507005b	Onnellisia ovat hyväsydämiset ja ystävälliset ihmiset: heidät itsensäkin armahdetaan.
2805080042	Onnellisia ovat mieleltään puhtaat, sillä he näkevät Jumalan.
2805090047	Onnellisia ovat rauhantekijät, sillä Jumala kutsuu heitä lapsikseen.
28050a005d	Onnellisia ovat nekin, joita vainotaan uskonsa tähden, sillä taivaan valtakunta on heidän.
28050b00dd	Olkaa vain iloisia, kun teitä pilkataan ja syrjitään ja teistä puhutaan valetta siksi, että seuraatte minua! Saatte taivaassa suunnattoman arvokkaan palkinnon. Muistakaa, että entisaikojen profeettojakin vainottiin.
28050d0085	Te olette maailman suola. Jos suola menettää makunsa, siitä ei ole enää kenellekään mitään hyötyä, ja se heitetään pois.
28050e004f	Te olette maailman valo, vuorella oleva kaupunki, joka näkyy kauas pimeässä.
28050f008e	Älkää estäkö valoanne näkymästä! Antakaa sen loistaa kaikille: tehkää hyvää, niin kaikki ylistävät Isäänne, joka on taivaassa.
2805110086	Alkää luulko, että olen tullut kumoamaan Mooseksen lain ja profeettojen varoitukset. Olen tullut täyttämään ja toteuttamaan ne.
280512008d	Niin kauan kuin taivas ja maa ovat olemassa, pysyy lakikin pienintä yksityiskohtaa myöten voimassa – aina siihen asti kunnes loppu tulee.
28051300f1	Jos joku rikkoo pienimmänkin käskyn ja opettaa muitakin tekemään samalla tavalla, hän on taivaan valtakunnassa kaikkein vähäpätöisin. Ne, jotka opettavat noudattamaan Jumalan lakeja ja itsekin tottelevat niitä, ovat siellä suuria.
280514009d	Pitäkää varanne! Jos teillä ei ole syvempää yhteyttä Jumalaan kuin fariseuksilla ja muilla juutalaisten johtajilla, ette pääse taivaan valtakuntaan.
280515003c	Mooseksen lain mukaan murhaajalle kuuluu kuolemanrangaistus.
28051600df	Mutta minä sanon teille, että jos suututte veljeenne, olette jo ansainneet rangaistuksen. Jos sanotte häntä typeräksi, teidät pitäisi tuomita oikeudessa, ja jos sanotte häntä hulluksi, ansaitsisitte helvetin tulen.
280517008c	Kun seisot temppelissä alttarin edessä tuomassa lahjaa Jumalalle, voit äkkiä muistaa, etteivät ystäväsi ja sinun välit ole kunnossa.
2805180071	Jätä silloin lahjasi alttarin luo ja mene selvittämään asiat ystäväsi kanssa. Tule vasta sitten uhraamaan.
28051900bc	Tee pian sovinto, jos olet jonkun kanssa riidoissa. Hän voi muuten haastaa sinut oikeuteen. Joudut velkavankeuteen etkä pääse vapaaksi, ennen kuin olet maksanut viimeisenkin killingin.
28051b0031	Mooseksen laki kieltää tekemästä aviorikosta,
28051c0084	mutta minä sanon teille, että jokainen, joka katsookin naista himoiten, on jo sisimmässään tehnyt hänen kanssaan aviorikoksen.
28051d008e	Jos siis silmäsi saa sinut himoitsemaan, revi se irti ja heitä menemään! On parempi, että menetät silmäsi kuin että joudut helvettiin.
28051e0095	Samoin jos oikea kätesi saa sinut tekemään väärin, leikkaa se irti ja heitä menemään. On parempi elää käsipuolena kuin joutua kadotukseen.
28051f0069	Mooseksen laki sanoo:’Jos joku haluaa erota vaimostaan, hänen on vain annettava tälle erotodistus.’
28052000bd	Vakuutan teille, että jos ero johtuu muusta kuin uskottomuudesta, eroamalla mies pakottaa vaimonsa aviorikokseen. Myös se, joka menee eronneen naisen kanssa naimisiin, tekee aviorikoksen.
280521006c	Mooseksen laki sanoo myös:’Älä riko valaa, jonka olet antanut Jumalalle, vaan täytä kaikki valasi.’
280522007d	Mutta minäpä sanon teille: Älkää koskaan vannoko! Älkää vannoko taivaan kautta, sillä taivas on Jumalan valtaistuin.
2805230098	Älkää vannoko maan nimessä, sillä maa on Jumalan astinlauta. Älkää vannoko myöskään Jerusalemin kautta. Se on suuren kuninkaan pääkaupunki.
2805240055	Älä vanno pääsi kautta, sillä et voi muuttaa hiuksiasi mustiksi tai valkoisiksi.
280525008d	Sano vain yksinkertaisesti’kyllä’ tai’ei’! Sanasi riittää. Asiat eivät ole oikein, jos sinun on vahvistettava lupauksesi valalla.
280526006b	Mooseksen lain mukaan pahoinpitely on kostettava samalla mitalla:’Silmä silmästä, hammas hampaasta.’
2805270081	Mutta minä sanon: Älkää ruvetko taistelemaan väkivaltaa vastaan. Jos joku lyö sinua poskelle, käännä hänelle toinenkin.
280528005d	Jos joku tahtoo käydä kanssasi oikeutta ja viedä sinulta paidan, anna hänelle takkisikin.
2805290051	Jos Rooman sotilaat vaativat sinua kantamaan tavaroitaan kilometrin, kanna kaksi.
28052a0077	Jos joku pyytää sinulta jotakin, anna se hänelle, äläkä käännä selkääsi sille, joka tahtoisi sinulta lainaa.
28052b0048	Meitä on käsketty rakastamaan ystäviämme ja vihaamaan vihollisiamme.
28052c0066	Minä käsken teidän rakastaa myös vihollisianne. Rukoilkaa niiden puolesta, jotka vainoavat teitä.
28052d00a4	Silloin osoittaudutte Taivaan Isän lapsiksi. Hänen aurinkonsa paistaa sekä pahoille että hyville, ja hän antaa sataa sekä rehellisille että epärehellisille.
28052e0061	Kyllä pahat ihmisetkin rakastavat niitä, jotka rakastavat heitä. Mitä ihmeellistä siinä on?
28052f0057	Jos osoitatte ystävyyttä vain omille ystävillenne, ette mitenkään eroa pakanoista.
2805300048	Teidän on oltava yhtä täydellisiä kuin Isänne, joka on taivaassa.»
2806010069	»Älkää tehkö hyvää siksi, että muut kehuisivat teitä. Silloin ette saa palkkaa Taivaan Isältä.
28060200b8	Kun autat jotakuta, älä kerro siitä muille. Teeskentelijät antavat soittaa torvea kadulla ja synagogassa, kun he vievät lahjoitustaan! He ovat totisesti jo saaneet koko palkkansa.
2806030067	Kun teet hyvää jollekin, tee se niin huomaamattomasti, ettei vasen kätesi tiedä, mitä oikea tekee.
2806040034	Isäsi tuntee kaikki salaisuudet ja palkitsee sinut.
28060500ae	Puhun teille nyt rukoilemisesta. Älkää rukoilko kadunkulmissa ja synagogissa ihmisten nähden niin kuin teeskentelijät. He eivät saa muuta palkkaa kuin ihmisten huomion.
280606009a	Mene sinä sen sijaan jonnekin yksinäisyyteen. Sulje ovi perässäsi ja rukoile hiljaa Isääsi. Hän tietää salaisetkin ajatuksesi ja palkitsee sinut.
280607009a	Älkää rukoillessanne hokeko tyhjää niin kuin pakanat. He luulevat, että mitä monisanaisempia he ovat, sitä varmemmin heidän rukouksensa kuullaan.
2806080082	Teidän Isänne nimittäin tietää täsmälleen, mitä tarvitsette, ennen kuin olette ehtineet pyytääkään häneltä mitään!
2806090059	Rukoilkaa vaikka näin:’Isämme, joka olet taivaassa! Me kunnioitamme pyhää nimeäsi.
28060a005d	Anna valtakuntasi tulla pian. Tapahtukoon sinun tahtosi sekä maan päällä että taivaassa.
28060b0030	Anna meille tänäänkin jokapäiväinen leipä.
28060c0071	Anna anteeksi meidän syntimme, niin kuin mekin olemme antaneet anteeksi niille, jotka ovat tehneet meille pahaa.
28060d0049	Älä johdata meitä kiusaukseen, vaan vapauta meidät pahasta. Aamen.’
28060e0069	Taivaan Isä antaa teille anteeksi, jos annatte itse anteeksi niille, jotka tekevät teille vääryyttä.
28060f004c	Jos te kieltäydytte antamasta anteeksi, ei Isäkään anna teille anteeksi.
2806100163	Ihmisten ei tarvitse tietää myöskään teidän paastostanne. Teeskentelijät ovat paastotessaan surkean näköisiä, että muut säälisivät heitä. Sääli onkin ainoa palkka, jonka he saavat. Olkaa reippaan näköisiä, ettei kukaan aavistakaan teidän paastoavan. Vain Isänne, joka tietää kaiken, on selvillä asiasta, ja hän palkitsee teidät.
280613005f	Älkää kootko aarteita tähän maailmaan, jossa ne menettävät arvonsa tai voidaan varastaa.
2806140060	Kerätkää niitä taivaaseen. Siellä ne säilyttävät arvonsa ja pysyvät hyvässä tallessa.
2806150037	Jos aarteenne ovat taivaassa, sydämennekin on siellä.
2806160040	Jos hengellinen näkökykysi on kunnossa, valo loistaa sieluusi.
280617006a	Jos taas pahat ajatukset ovat vioittaneet sinua, olet hengellisessä pimeydessä. Miten synkkä se onkaan!
280618005c	Et voi palvella kahta isäntää, Jumalaa ja omaisuutta. Jos rakastat toista, vihaat toista.
28061900ae	Siksi annan teille neuvon: älkää murehtiko ruuasta, juomasta ja vaatteista. Olette saaneet elämän, ja se on ihmiselle paljon tärkeämpi kuin syöminen tai pukeutuminen.
28061a00ad	Katsokaa lintuja! Ne eivät murehdi ravinnostaan, eivät kylvä eivätkä korjaa satoa, sillä Taivaan Isä ruokkii ne. Te olette Isällenne paljon arvokkaampia kuin linnut.
28061b0053	Ette voi pidentää elämäänne hetkeäkään, vaikka kuinka kovasti murehtisitte.
28061c00bc	Miksi olette huolissanne vaatteista? Katsokaa niityllä kasvavia kukkia. Ne eivät huolehdi itsestään, mutta ei edes kuningas Salomo ollut loisteliaimmassa asussaan yhtä kaunis kuin ne.
28061e00d4	Jos kerran Jumala pitää niin hyvää huolta kukista, jotka hehkuvat tänään ja ovat jo huomenna kuihtuneet, niin totta kai hän huolehtii teistä vielä paremmin, vaikka teillä on niin vähän uskoa häneen.
28061f0057	Älkää siis edeltäpäin murehtiko sitä, onko teillä tarpeeksi ruokaa ja vaatteita.
28062000db	Miksi eläisitte kuin pakanat, joille se kaikki on suunnattoman tärkeää? Taivaan Isä tietää kyllä, mitä tarvitsette. Hän antaa teille kaiken ilomielin, kun te annatte hänelle ensimmäisen sijan elämässänne.
2806220058	Älkää huolehtiko huomisesta. Se on Jumalan käsissä. Eläkää päivä kerrallaan.»
2807010038	»Älkää tuomitko muita, niin teitäkään ei tuomita.
2807020038	Muut kohtelevat teitä samoin kuin te kohtelette heitä.
2807030069	Miten voit nähdä niin hyvin veljesi silmässä olevan roskan, kun sinulla on hirsi omassa silmässäsi?
2807040088	Kuinka voit ehdottaa:’Hyvä ystävä, saanhan ottaa roskan silmästäsi?’ vaikka et näe mitään, kun omassa silmässäsi on hirsi.
2807050041	Olet tekopyhä! Ota hirsi pois, niin voit auttaa ystävääsikin.
280706005d	Älkää antako helmiä sioille! Ne sotkevat helmet jalkoihinsa ja hyökkäävät kimppuunne.
2807070063	Pyytäkää, niin saatte mitä pyydätte. Etsikää, niin löydätte. Koputtakaa, niin ovi avataan.
2807080057	Jokainen saa, kun vain pyytää, ja löytää, kun etsii. Jos vain koputat, ovi aukeaa.
2807090054	Kun lapsi pyytää isältään leipäpalaa, antaako isä hänelle sen sijasta kiven?
28070a0041	Jos lapsi pyytää kalaa, antaako isä hänelle myrkkykäärmeen?
28070b0097	Kovasydämiset, pahat ihmisetkin antavat lapsilleen hyviä lahjoja. Tottahan Taivaan Isä antaa parasta mahdollista niille, jotka pyytävät häneltä.
28070c0090	Olkaa muille sellaisia kuin toivotte heidän olevan itsellenne. Tämä on Mooseksen lain ja profeettojen opetuksen sisältö pähkinänkuoressa.
28070d008c	Taivaaseen päästään vain kapeasta portista. Kadotuksen valtatie on leveä. Sen porteista on suurtenkin joukkojen helppo mennä sisään.
28070e0063	Elämän tie ja sille johtava portti sen sijaan ovat niin kapeat, että vain harvat löytävät ne.
28070f006d	Varokaa vääriä opettajia, jotka näyttävät lauhkeilta lampailta, mutta ovat itse asiassa vihaisia susia.
28071000a9	Heidän toimintansa paljastaa kyllä heidät. Puukin tunnetaan hedelmistään. Et voi erehtyä luulemaan piikkipensaita viiniköynnökseksi tai ohdakkeita viikunapuuksi.
2807110028	Hedelmät paljastavat, millainen puu on.
2807120053	Herkullisia ja syötäväksi kelpaamattomia hedelmiä ei voi kasvaa samassa puussa.
2807130036	Huonoja hedelmiä tuottava puu kaadetaan ja poltetaan.
280714001b	Hedelmät siis ratkaisevat.
28071500ec	Eivät kaikki hurskaita sanakäänteitä viljelevät ihmiset ole Jumalan lapsia. Ihmiset voivat puhua’Herrasta’, mutta se ei merkitse, että he ovat taivaan tiellä. Ratkaisevaa on, tottelevatko he minun Isääni, joka on taivaassa.
28071600aa	Monet sanovat minulle tuomiopäivänä:’Herra, me kerroimme sinusta muille, ajoimme sinun nimesi avulla pahoja henkiä ihmisistä ja teimme muitakin suuria ihmeitä.’
2807170074	Mutta minä vastaan:’Ette te ole koskaan olleet minun omiani. Menkää pois, sillä ette ole totelleet Jumalaa.’
280718008c	Viisas on se, joka kuuntelee minun ohjeitani ja noudattaa niitä. Jos teette niin, olette kuin mies, joka rakentaa talonsa kallioperustalle.
2807190076	Kun rankkasade yllättää ja tulva ja myrskytuuli uhkaavat kaataa talon, se ei sorru, koska sen perusta on kestävä.
28071a0078	Ne, jotka kuulevat neuvoni, mutta eivät välitä niistä, ovat yhtä tyhmiä kuin mies, joka rakentaa talonsa hiekalle.
28071b0058	Sateet tulevat, nousee tulva ja myrsky, ja silloin hänen talonsa sortuu maan tasalle.»
28071c003a	Jeesus lopetti puheensa. Kansanjoukot olivat ihmeissään,
28071d006d	sillä Jeesus oli aivan erilainen kuin heidän omat lainopettajansa. Hän puhui niin kuin se, jolla on valta.
2808010048	Suuri ihmisjoukko seurasi Jeesusta, kun hän tuli vuoren rinnettä alas.
280802009e	Samassa muuan lepraa sairastava mies tuli hänen luokseen ja polvistui kunnioittavasti hänen eteensä. »Herra, voit parantaa minut jos tahdot», mies sanoi.
2808030059	Jeesus kosketti sairasta. »Minä tahdon: parane!» Samassa sairauden merkit hävisivät.
28080400d7	»Älä kerro tästä kenellekään», Jeesus pyysi. »Mene suoraan papin luo, että hän voi todeta sinut terveeksi, uhraa sitten Mooseksen lain säätämä lahja, niin todistat julkisesti, että olet parantunut.»
28080500c9	Jeesus tuli Kapernaumiin. Häntä vastassa oli eräs Rooman armeijan upseeri, joka pyysi hartaasti, että Jeesus parantaisi hänen palveluspoikansa. Tämä makasi halvaantuneena ja kärsi kovia tuskia.
2808070031	»Minä tulen parantamaan hänet», Jeesus sanoi.
2808080088	»En ansaitse sitä, että tulisit kotiini», upseeri vastasi. »Eikä sinun tarvitsekaan. Sinähän voit parantaa pelkällä sanallasi.
2808090123	Olen itse ylemmän upseerin alainen ja komennan puolestani sotilaita. Jos käsken jotakuta menemään, hän menee. Kun pyydän toista tulemaan, hän tulee. Sanon orjalleni:’Tee tämä tai tuo’, ja hän tekee. Niin sinäkin voit käskeä sairautta lähtemään pojasta, ja hän paranee.»
28080a009c	Jeesus seisoi siinä hämmästyneenä. Sitten hän kääntyi ja sanoi kansanjoukolle: »En ole nähnyt tällaista uskoa edes kenelläkään israelilaisella!
28080b0088	Sanonpa teille, että monet pakanat kaikkialta maailmasta saavat taivaan valtakunnassa paikan Aabrahamin, Iisakin ja Jaakobin viereltä.
