0100000006	1 Mose
0104060097	Da sprach der HERR zu Kain: Warum bist du so zornig und lässest den Kopf hängen? Ist's nicht also: Wenn du gut bist, so darfst du dein Haupt erheben?
0104070080	Bist du aber nicht gut, so lauert die Sünde vor der Tür, und ihre Begierde ist auf dich gerichtet; du aber herrsche über sie!
0104080097	Da redete Kain mit seinem Bruder Abel. Es begab sich aber, als sie auf dem Felde waren, da erhob sich Kain wider seinen Bruder Abel und schlug ihn tot.
0104090078	Da sprach der HERR zu Kain: Wo ist dein Bruder Abel? Er sprach: Ich weiß es nicht! Soll ich meines Bruders Hüter sein?
01040a0064	Er aber sprach: Was hast du getan? Die Stimme des Blutes deines Bruders schreit zu mir von der Erde!
01040b0081	Und nun sollst du verbannt sein aus dem Land, das seinen Mund aufgetan hat, das Blut deines Bruders zu empfangen von deiner Hand!
01040c007d	Wenn du das Land bebaust, soll es dir fortan sein Vermögen nicht mehr geben; unstät und flüchtig sollst du sein auf Erden!
01040d003c	Kain sprach zum HERRN: Meine Schuld ist zu groß zum Tragen!
01040e00c5	Siehe, du treibst mich heute aus dem Lande, und ich muß mich vor deinem Angesicht verbergen und unstät und flüchtig sein auf Erden. Und es wird geschehen, daß mich totschlägt, wer mich findet.
01040f00a8	Da sprach der HERR: Fürwahr, wer Kain totschlägt, zieht sich siebenfache Rache zu! Und der Herr gab dem Kain ein Zeichen, daß ihn niemand erschlüge, der ihn fände.
0104100059	Und Kain ging aus von dem Angesicht des HERRN und wohnte im Lande Nod, östlich von Eden.
0104110091	Und Kain erkannte sein Weib; die empfing und gebar den Hanoch. Und da er eben eine Stadt baute, so nannte er sie nach seines Sohnes Namen Hanoch.
010412006e	Dem Hanoch aber ward Irad geboren, und Irad zeugte Mehujael; Mehujael zeugte Metusael, Metusael zeugte Lamech.
0104130048	Lamech aber nahm sich zwei Weiber: die eine hieß Ada, die andere Zilla.
0104140052	Und Ada gebar Jabal; derselbe wurde der Vater der Zeltbewohner und Herdenbesitzer.
0104150056	Und sein Bruder hieß Jubal; derselbe wurde der Vater aller Harfen und Flötenspieler.
010416007d	Und Zilla, auch sie gebar den Tubal-Kain, den Meister in allerlei Erz und Eisenwerk. Und die Schwester Tubal-Kains war Naama.
01041700d4	Und Lamech sprach zu seinen Weibern: «Ada und Zilla, hört meine Stimme, ihr Weiber Lamechs, vernehmt meinen Spruch! Einen Mann erschlug ich, weil er mich verwundet, einen Jüngling, weil er mich geschlagen hat;
010418004e	denn Kain soll siebenfach gerächt werden, Lamech aber siebenundsiebzigfach!»
01041900a4	Und Adam erkannte sein Weib abermal; die gebar einen Sohn und nannte ihn Seth; denn Gott hat mir für Abel einen andern Samen gesetzt, weil Kain ihn umgebracht hat.
01041a0070	Und auch dem Seth ward ein Sohn geboren, den hieß er Enosch. Damals fing man an, den Namen des HERRN anzurufen.
0105010069	Dies ist das Buch von Adams Geschlecht: Am Tage, da Gott den Menschen schuf, machte er ihn Gott ähnlich;
010502006a	männlich und weiblich schuf er sie und segnete sie und nannte ihren Namen Adam, am Tage, da er sie schuf.
0105030070	Und Adam war 130 Jahre alt, als er einen Sohn zeugte, ihm selbst gleich, nach seinem Bilde, und nannte ihn Seth.
010504005a	Und nachdem er den Seth gezeugt, lebte Adam noch 800 Jahre und zeugte Söhne und Töchter;
010505003c	also daß Adams ganzes Alter 930 Jahre betrug, als er starb.
0105060031	Seth war 105 Jahre alt, als er den Enosch zeugte;
0105070058	und Seth, nachdem er den Enosch gezeugt, lebte 807 Jahre und zeugte Söhne und Töchter;
010508003c	also daß Seths ganzes Alter 912 Jahre betrug, als er starb.
0105090031	Enosch war 90 Jahre alt, als er den Kenan zeugte;
01050a0059	und Enosch, nachdem er den Kenan gezeugt, lebte 815 Jahre und zeugte Söhne und Töchter;
01050b003e	also daß Enoschs ganzes Alter 905 Jahre betrug, als er starb.
01050c0035	Kenan war 70 Jahre alt, als er den Mahalaleel zeugte;
01050d005d	und Kenan, nachdem er den Mahalaleel gezeugt, lebte 840 Jahre und zeugte Söhne und Töchter;
01050e003c	also daß Kenans ganzes Alter 910 Jahre betrug, da er starb.
01050f0035	Mahalaleel war 65 Jahre alt, als er den Jared zeugte;
0105100062	und Mahalaleel, nachdem er den Jared gezeugt, lebte 830 Jahre und hat Söhne und Töchter gezeugt;
0105110042	also daß Mahalaleels ganzes Alter 895 Jahre betrug, als er starb.
0105120032	Jared war 162 Jahre alt, als er den Henoch zeugte;
0105130059	und Jared, nachdem er den Henoch gezeugt, lebte 800 Jahre und zeugte Söhne und Töchter;
010514003c	also daß Jareds ganzes Alter 962 Jahre betrug, da er starb.
0105150036	Henoch war 65 Jahre alt, als er den Methusalah zeugte;
0105160072	und Henoch, nachdem er den Methusalah gezeugt, wandelte er mit Gott 300 Jahre lang und zeugte Söhne und Töchter;
0105170030	also daß Henochs ganzes Alter 365 Jahre betrug.
0105180056	Und Henoch wandelte mit Gott und war nicht mehr, weil Gott ihn zu sich genommen hatte.
0105190037	Methusalah war 187 Jahre alt, als er den Lamech zeugte;
01051a005e	und Methusalah, nachdem er den Lamech gezeugt, lebte 782 Jahre und zeugte Söhne und Töchter;
01051b0041	also daß Methusalahs ganzes Alter 969 Jahre betrug, da er starb.
01051c0033	Lamech war 182 Jahre alt, als er einen Sohn zeugte;
01051d009a	den nannte er Noah, indem er sprach: Der wird uns trösten ob unserer Hände Arbeit und Mühe, die herrührt von dem Erdboden, den der HERR verflucht hat!
01051e005d	Und Lamech, nachdem er den Noah gezeugt, lebte 590 Jahre lang und zeugte Söhne und Töchter;
01051f003d	also daß Lamechs ganzes Alter 772 Jahre betrug, da er starb.
0105200041	Und Noah war 500 Jahre alt, da er den Sem, Ham und Japhet zeugte.
010601005a	Als sich aber die Menschen zu mehren begannen auf Erden und ihnen Töchter geboren wurden,
010602008c	sahen die Söhne Gottes, daß die Töchter der Menschen schön waren und nahmen sich von allen diejenigen zu Weibern, welche ihnen gefielen.
01060300a0	Da sprach der HERR: Mein Geist soll den Menschen nicht ewig darum strafen, daß auch er Fleisch ist, sondern seine Tage sollen hundertundzwanzig Jahre betragen!
01060400d1	Die Riesen waren auf Erden in jenen Tagen, und zwar daraufhin, daß die Söhne Gottes zu den Töchtern der Menschen kamen und diese ihnen gebaren. Das sind die Helden, die von alters her berühmt gewesen sind.
010605008b	Als aber der HERR sah, daß des Menschen Bosheit sehr groß war auf Erden und alles Gebilde der Gedanken seines Herzens nur böse allezeit,
010606006d	da reute es den HERRN, daß er den Menschen gemacht hatte auf Erden, und es bekümmerte ihn in seinem Herzen.
01060700e7	Und der HERR sprach: Ich will den Menschen, den ich erschaffen habe, vom Erdboden vertilgen, vom Menschen an bis auf das Vieh und bis auf das Gewürm und bis auf die Vögel des Himmels; denn es reut mich, daß ich sie gemacht habe!
0106080023	Noah aber fand Gnade vor dem HERRN.
0106090079	Dies ist die Geschichte Noahs: Noah, ein gerechter Mann, war untadelig unter seinen Zeitgenossen; mit Gott wandelte Noah.
01060a0038	Und Noah hatte drei Söhne gezeugt: Sem, Ham und Japhet.
01060b003c	Aber die Erde war verderbt vor Gott und mit Frevel erfüllt.
01060c006b	Und Gott sah die Erde, und siehe, sie war verderbt; denn alles Fleisch hatte seinen Weg auf Erden verderbt.
01060d00a5	Da sprach Gott zu Noah: Alles Fleisches Ende ist vor mich gekommen; denn die Erde ist durch sie mit Frevel erfüllt, und siehe, ich will sie samt der Erde vertilgen.
01060e0076	Mache dir eine Arche von Tannenholz; in Räume sollst du die Arche teilen und sie innen und außen mit Pech verpichen.
01060f0061	Und du sollst sie also machen: Dreihundert Ellen lang, fünfzig Ellen breit, dreißig Ellen hoch.
01061000dd	Ein Fenster sollst du der Arche machen; bis zu einer Elle unterhalb des Daches darf es reichen; aber die Tür der Arche sollst du an ihre Seite setzen. Du sollst ihr ein unterstes, mittleres und oberstes Stockwerk machen.
01061100c0	Denn siehe, ich will eine Wasserflut über die Erde bringen, um alles Fleisch, das lebendigen Odem in sich hat, unter dem ganzen Himmel zu vertilgen; alles, was auf Erden ist, soll untergehen.
0106120093	Aber mit dir will ich meinen Bund aufrichten, und du sollst in die Arche gehen, du und deine Söhne und dein Weib und deiner Söhne Weiber mit dir.
01061300b1	Und von allem, was da lebt, von allem Fleisch, sollst du je zwei in die Arche führen, daß sie mit dir am Leben bleiben, und zwar sollen es ein Männchen und ein Weibchen sein;
0106140091	aller Art Vögel und aller Art Vieh und von allem, was auf Erden kriecht, sollen je zwei von jeder Art zu dir kommen, damit sie am Leben bleiben.
0106150083	Du aber nimm dir von allerlei Speise, die man zu essen pflegt, und sammle sie bei dir an, daß sie dir und ihnen zur Nahrung diene!
010616003f	Und Noah tat es; er machte alles genau so, wie ihm Gott befahl.
0107010083	Und der HERR sprach zu Noah: Geh in die Arche, du und dein ganzes Haus! Denn dich habe ich gerecht ersehen unter diesem Geschlecht.
01070200a1	Nimm von allem reinen Vieh zu dir je sieben und sieben, das Männchen und sein Weibchen; von dem unreinen Vieh aber je ein Paar, das Männchen und sein Weibchen;
0107030085	auch von den Vögeln des Himmels je sieben und sieben, Männchen und Weibchen, um auf dem ganzen Erdboden Samen am Leben zu erhalten.
0107040089	Denn es sind nur noch sieben Tage, so will ich auf Erden regnen lassen vierzig Tage lang und alles Bestehende von dem Erdboden vertilgen.
010705002e	Und Noah machte alles, wie ihm der HERR gebot.
0107060054	Und Noah war sechshundert Jahre alt, da die Wasser der Sündflut auf die Erde kamen.
0107070075	Er ging aber samt seinen Söhnen, seinem Weib und seiner Söhne Weibern in die Arche vor dem Gewässer der Sündflut.
0107080076	Von dem reinen Vieh und von dem Vieh, das nicht rein war, und von den Vögeln und von allem, was auf der Erde kriecht,
0107090057	gingen paarweise in die Arche, Männchen und Weibchen, wie Gott dem Noah geboten hatte.
01070a005a	Und es begab sich nach den sieben Tagen, daß die Wasser der Sündflut auf die Erde kamen.
01070b00b2	Im sechshundertsten Lebensjahre Noahs, am siebzehnten Tage des zweiten Monats, an dem Tage brachen alle Quellen der großen Tiefe auf, und die Fenster des Himmels öffneten sich.
01070c0042	Und es regnete auf die Erde vierzig Tage und vierzig Nächte lang.
01070d0092	An ebendemselben Tage war Noah in die Arche gegangen mit Sem, Ham und Japhet, seinen Söhnen, und seinem Weibe und den drei Weibern seiner Söhne;
01070e009e	sie und alle Arten der Tiere und des Viehs und allerlei Kriechendes, was auf Erden kriecht, von jeglicher Art, auch aller Art Geflügel, Vögel und Federvieh;
01070f0067	die kamen zu Noah in die Arche, je zwei und zwei, von allem Fleisch, das lebendigen Odem in sich hatte.
010710008d	Und die hineingingen, Männchen und Weibchen von allem Fleisch, kamen herbei, wie Gott ihm geboten hatte; und der HERR schloß hinter ihm zu.
0107110086	Da sich aber die Sündflut vierzig Tage auf die Erde ergoß, wuchsen die Wasser und hoben die Arche, daß sie über der Erde schwebte.
0107120065	Und die Wasser wurden so groß und nahmen so sehr zu, daß die Arche auf dem Wasserspiegel dahinfuhr.
0107130067	Ja, das Gewässer nahm so sehr überhand, daß alle hohen Berge unter dem ganzen Himmel bedeckt wurden;
0107140051	fünfzehn Ellen höher stieg das Wasser, nachdem die Berge schon zugedeckt waren.
0107150092	Da ging alles Fleisch zugrunde, das auf Erden sich bewegte, Vögel, Vieh und wilde Tiere und alles, was sich auf Erden regte, samt allen Menschen;
0107160058	und es starb alles, was auf dem trockenen Lande einen lebendigen Odem in der Nase hatte.
01071700e9	Er vertilgte alles Bestehende auf dem Erdboden, vom Menschen an bis auf das Vieh, bis auf das Kriechende und bis auf die Vögel des Himmels; es ward alles von der Erde vertilgt; nur Noah blieb übrig und was mit ihm in der Arche war.
0107180047	Und das Wasser blieb hoch über der Erde, hundertundfünfzig Tage lang.
01080100a3	Da gedachte Gott an Noah und an alle Tiere und an alles Vieh, das bei ihm in der Arche war; und Gott ließ einen Wind über die Erde wehen, daß die Wasser fielen.
0108020070	Und die Brunnen der Tiefe wurden verstopft samt den Fenstern des Himmels, und dem Regen vom Himmel ward gewehrt.
0108030078	Und die Wasser über der Erde nahmen mehr und mehr ab, so daß sie nach hundertundfünfzig Tagen sich vermindert hatten.
0108040060	Und die Arche ließ sich am siebzehnten Tage des siebenten Monats auf dem Gebirge Ararat nieder.
0108050084	Und das Gewässer nahm immerfort ab bis zum zehnten Monat; am ersten Tage des zehnten Monats konnte man die Spitzen der Berge sehen.
0108060072	Und es geschah nach Verfluß von vierzig Tagen, daß Noah das Fenster öffnete an der Arche, das er gemacht hatte.
010807005c	Und er sandte den Raben aus; der flog hin und her, bis das Wasser auf Erden vertrocknet war.
0108080060	Darnach sandte er die Taube aus, daß er sähe, ob des Wassers auf Erden weniger geworden wäre.
01080900f0	Aber die Taube fand keinen Ort, da ihr Fuß ruhen konnte. Da kehrte sie zu ihm zur Arche zurück; denn es war noch Wasser auf der ganzen Erdoberfläche. Da streckte er seine Hand aus und ergriff sie und nahm sie wieder zu sich in die Arche.
01080a005b	Und er wartete noch weitere sieben Tage; dann sandte er die Taube wieder von der Arche aus.
01080b00ac	Und die Taube kam zur Abendzeit wieder zu ihm und siehe, sie hatte ein frisches Ölblatt in ihrem Schnabel! Da merkte Noah, daß des Wassers auf Erden weniger geworden war.
01080c007d	Und nachdem er noch weitere sieben Tage gewartet hatte, sandte er die Taube wieder aus; da kam sie nicht mehr zu ihm zurück.
01080d00c5	Im sechshundertundersten Jahre, am ersten Tage des ersten Monats, waren die Wasser auf Erden vertrocknet. Und Noah entfernte das Dach von der Arche und schaute, und siehe, der Erdboden war trocken!
01080e005a	Und im zweiten Monat, am siebenundzwanzigsten Tage des Monats, war die Erde ausgetrocknet.
01080f0022	Da redete Gott zu Noah und sprach:
0108100056	Geh aus der Arche, du und dein Weib und deine Söhne und deiner Söhne Weiber mit dir!
01081100d3	Alle Tiere, die bei dir sind, von allem Fleisch: Vögel, Vieh und alles Kriechende, was auf Erden kriecht, sollen mit dir hinausgehen und sich regen auf Erden und sollen fruchtbar sein und sich mehren auf Erden!
0108120054	Also ging Noah hinaus samt seinen Söhnen und seinem Weib und seiner Söhne Weibern.
0108130079	Alle Tiere, alles, was kriecht und fliegt, alles, was sich auf Erden regt, nach seinen Gattungen, das verließ die Arche.
010814008f	Noah aber baute dem HERRN einen Altar und nahm von allerlei reinem Vieh und von allerlei reinem Geflügel und opferte Brandopfer auf dem Altar.
0108150134	Und der HERR roch den befriedigenden Geruch, und der HERR sprach zu seinem Herzen: Ich will fortan die Erde nicht mehr verfluchen um des Menschen willen, wiewohl das Dichten des menschlichen Herzens böse ist von seiner Jugend an; auch will ich fortan nicht mehr alles Lebendige schlagen, wie ich getan habe.
010816006f	Solange die Erde steht, soll nicht aufhören Saat und Ernte, Frost und Hitze, Sommer und Winter, Tag und Nacht!
0109010072	Und Gott segnete Noah und seine Söhne und sprach zu ihnen: Seid fruchtbar und mehret euch und erfüllet die Erde!
01090200cb	Furcht und Schrecken vor euch soll kommen über alle Tiere der Erde und über alle Vögel des Himmels, über alles, was auf Erden kriecht, und über alle Fische im Meer; in eure Hände seien sie gegeben!
0109030071	Alles, was sich regt und lebt, soll euch zur Nahrung dienen; wie das grüne Kraut habe ich es euch alles gegeben.
010904004e	Nur esset das Fleisch nicht, während seine Seele, sein Blut, noch in ihm ist!
01090500cb	Für euer Blut aber, für eure Seelen, will ich Rechenschaft fordern, von der Hand aller Tiere will ich sie fordern und von des Menschen Hand, von seines Bruders Hand will ich des Menschen Seele fordern.
0109060084	Wer Menschenblut vergießt, des Blut soll auch durch Menschen vergossen werden; denn Gott hat den Menschen nach seinem Bild gemacht.
0109070060	Ihr aber seid fruchtbar und mehret euch und reget euch auf Erden, daß euer viele werden darauf!
0109080036	Und Gott sprach zu Noah und zu seinen Söhnen mit ihm:
0109090044	Siehe, ich richte meinen Bund auf mit euch und mit euren Nachkommen,
01090a00ae	auch mit allen lebendigen Wesen bei euch, mit Vögeln, Vieh und allen Tieren der Erde bei euch, mit allen, die aus der Arche gegangen sind, was für Tiere es seien auf Erden;
01090b00d8	und zwar will ich meinen Bund mit euch dafür aufrichten, daß forthin nie mehr alles Fleisch von dem Wasser der Sündflut ausgerottet werden, und daß auch keine Sündflut mehr kommen soll, um die Erde zu verderben.
