0100000008	Genesisi
010405006b	asi Kaini nechipiriso chake haana kumugamuchira. Saka Kaini akatsamwa zvikuru, uye chiso chake chikaunyana.
0104060050	Ipapo Jehovha akati kuna Kaini, “Wakatsamweiko? Seiko chiso chako chakaunyana?
01040700a2	Kana ukaita zvakanaka, haungagamuchirwi here? Asi kana usingaiti zvakanaka, chivi chakakuvandira pamukova wako; chinoda kukubata, asi iwe unofanira kuchikunda.”
0104080091	Zvino Kaini akati kumununʼuna wake, “Ngatimbobuda tiende kumunda.” Uye vakati vari mumunda Kaini akarwisa mununʼuna wake Abheri akamuuraya.
010409008f	Ipapo Jehovha akati kuna Kaini, “Aripiko mununʼuna wako Abheri?” Iye akati, “Handizivi. Ko, ndini muchengeti womununʼuna wangu here?”
01040a0063	Jehovha akati, “Waiteiko? Inzwa! Ropa romununʼuna wako riri kudanidzira kwandiri richibva muvhu.
01040b0070	Zvino watukwa uye wadzingwa panyika yazarura muromo wayo kuti imedze ropa romununʼuna wako kubva paruoko rwako.
01040c0068	Paunorima ivhu, harichazombokuberekeri zvibereko zvaro. Uchava mudzungairi asingatongozorori panyika.”
01040d0051	Kaini akati kuna Jehovha, “Kurangwa kwangu kunopfuura zvandinokwanisa kutakura.
01040e009b	Nhasi muri kundidzinga kubva panyika, uye ndichavanzwa pamberi penyu; ndichava mudzungairi asina zororo panyika, uye ani naani achandiwana achandiuraya.”
01040f00d2	Asi Jehovha akati kwaari, “Kwete hazvingadaro; kana munhu upi zvake akauraya Kaini, achatsiviwa kanomwe.” Ipapo Jehovha akaisa rupau pana Kaini kuitira kuti kurege kuva nomunhu anenge amuwana angazomuuraya.
0104100056	Saka Kaini akabva pamberi paJehovha akandogara munyika yeNodhi, kumabvazuva kweEdheni.
0104110092	Kaini akarara nomukadzi wake, akava nemimba akamuberekera Enoki. Ipapo Kaini akanga achivaka guta, uye akaritumidza zita romwanakomana wake Enoki.
0104120097	Enoki akaberekerwa Iradhi, uye Iradhi akanga ari baba vaMehujaeri, uye Mehujaeri akanga ari baba vaMetushaeri, uye Metushaeri akanga ari baba vaRameki.
0104130045	Rameki akawana vakadzi vaviri, mumwe ainzi Adha uye mumwe ainzi Zira.
010414005d	Adha akabereka Jabhari, ndiye akanga ari baba vavaya vanogara mumatende vaichengeta zvipfuwo.
0104150059	Zita romununʼuna wake rainzi Jubhari; akanga ari baba wavose vanoridza rudimbwa nenyere.
010416008b	Zira akanga ane mwanakomana, Tubhari-Kaini, aigadzira nhumbi dzemhando dzose dzendarira nedzesimbi. Hanzvadzi yaTubhari-Kaini yainzi Naama.
01041700a2	Rameki akati kuvakadzi vake, “Adha naZira, nditeererei; imi vakadzi vaRameki, inzwai mashoko angu. Ndauraya munhu nokuti andikuvadza, nejaya nokuti randipwanya.
0104180052	Kana Kaini achitsiviwa kanomwe, naizvozvo Rameki kana makumi manomwe namanomwe.”
01041900a9	Adhamu akararazve nomukadzi wake, akabereka mwanakomana akamutumidza zita rokuti Seti, achiti, “Mwari andipa mumwe mwana panzvimbo yaAbheri, sezvo Kaini akamuuraya.”
01041a0071	Setiwo akava nomwanakomana, akamutumidza zita rokuti Enoshi. Panguva iyo vanhu vakatanga kudana kuzita raJehovha.
0105010068	Iyi ndiyo rondedzero yakanyorwa yorudzi rwaAdhamu. Mwari paakasika munhu akamuita nomufananidzo waMwari.
0105020061	Akavasika murume nomukadzi uye akavaropafadza. Uye vakati vasikwa, akavatumidza kuti “munhu.”
0105030087	Adhamu akati agara makore zana namakumi matatu, akabereka mwanakomana akafanana naye, akanga akamutodza; akamutumidza zita rokuti Seti.
0105040074	Shure kwokuberekwa kwaSeti, Adhamu akararama kwamakore mazana masere uye akaberekazve vamwe vanakomana navanasikana.
010505005c	Pamwe chete, Adhamu akararama kwamakore mazana mapfumbamwe namakumi matatu, uye ipapo akafa.
0105060039	Seti akati agara makore zana namashanu, akabereka Enoshi.
0105070082	Uye shure kwokubereka kwake Enoshi, Seti akararama kwamakore mazana masere namanomwe uye akavazve navamwe vanakomana navanasikana.
010508005a	Pamwe chete, Seti akararama kwamakore mazana mapfumbamwe negumi namaviri, uye ipapo akafa.
0105090044	Enoshi akati ararama kwamakore makumi mapfumbamwe, akabereka Kenani.
01050a008d	Uye shure kwokubereka kwake Kenani, Enoshi akararama kwamakore mazana masere ane gumi namashanu uye akavazve navamwe vanakomana navanasikana.
01050b0056	Pamwe chete, Enoshi akararama kwamakore mazana mapfumbamwe namashanu, uye ipapo akafa.
01050c0044	Kenani akati ararama kwamakore makumi manomwe, akabereka Maharareri.
01050d008b	Uye mushure mokubereka kwake Maharareri, Kenani akagara kwamakore mazana masere namakumi mana uye akavazve navamwe vanakomana navanasikana.
01050e0053	Pamwe chete, Kenani akararama kwamakore mazana mapfumbamwe negumi, uye ipapo akafa.
01050f004f	Maharareri akati agara kwamakore makumi matanhatu namashanu, akabereka Jaredhi.
0105100090	Uye mushure mokubereka kwake Jaredhi, Maharareri akararama kwamakore mazana masere namakumi matatu uye akavazve navamwe vanakomana navanasikana.
010511006a	Pamwe chete, Maharareri akararama kwamakore mazana masere namakumi mapfumbamwe namashanu, uye ipapo akafa.
0105120052	Jaredhi akati ararama kwamakore zana namakumi matanhatu namaviri, akabereka Enoki.
0105130077	Uye mushure mokubereka kwake Enoki, Jaredhi akararama kwamakore mazana masere akavazve navamwe vanakomana navanasikana.
0105140069	Pamwe chete, Jaredhi akararama kwamakore mazana mapfumbamwe namakumi matanhatu namaviri, uye ipapo akafa.
010515004d	Enoki akati ararama kwamakore makumi matanhatu namashanu, akabereka Metusera.
0105160083	Uye mushure mokubereka kwake Metusera, Enoki akafamba naMwari kwamakore mazana matatu uye akavazve navamwe vanakomana navanasikana.
0105170052	Pamwe chete, Enoki akararama kwamakore mazana matatu namakumi matanhatu namashanu.
0105180042	Enoki akafamba naMwari; ipapo akasazovapo, nokuti Mwari akamutora.
0105190052	Metusera akati ararama kwamakore zana namakumi masere namanomwe, akabereka Rameki.
01051a0097	Uye mushure mokubereka kwake Rameki, Metusera akararama kwamakore mazana manomwe namakumi masere namaviri uye akavazve navamwe vanakomana navanasikana.
01051b006f	Pamwe chete, Metusera akararama kwamakore mazana mapfumbamwe namakumi matanhatu namapfumbamwe, uye ipapo akafa.
01051c0054	Rameki akati ararama kwamakore zana namakumi masere namaviri, akabereka mwanakomana.
01051d0091	Akamutumidza zita rokuti Noa uye akati, “Achativaraidza pabasa uye napakurwadziwa kwokubata kwamaoko edu zvinobva pavhu rakatukwa naJehovha.”
01051e0092	Mushure mokuberekwa kwaNoa, Rameki akararama kwamakore mazana mashanu namakumi mapfumbamwe namashanu uye akavazve navamwe vanakomana navanasikana.
01051f0063	Pamwe chete, Rameki akararama kwamakore mazana manomwe namakumi manomwe namanomwe, uye ipapo akafa.
010520005b	Mushure mokunge Noa ava namakore okuberekwa mazana mashanu, akabereka Shemu, Hamu naJafeti.
0106010048	Vanhu vakati vatanga kuwanda panyika uye vanasikana vakaberekwa kwavari,
010602006f	vanakomana vaMwari vakaona kuti vanasikana vavanhu vakanga vakanaka, uye vakazviwanira upi zvake wavakasarudza.
0106030090	Ipapo Jehovha akati, “Mweya wangu haungarambi uchigara mumunhu nokusingaperi, nokuti inyama; mazuva ake achava makore zana namakumi maviri.”
01060400c2	VaNefirimu vakanga vari panyika mumazuva iwayo, uyewo mushure maizvozvo, vanakomana vaMwari vakapinda kuvasikana vavanhu vakaita vana navo. Vakanga vari mhare dzakare, vanhu vaiva nomukurumbira.
010605008b	Jehovha akaona kuti kuipa kwomunhu panyika kwakanga kuri kukuru sei, uye kuti ndangariro dzomwoyo wake dzakanga dzakaipa bedzi nguva dzose.
0106060059	Jehovha akazvidemba kuti akanga aita munhu panyika, uye mwoyo wake wakazara nokurwadziwa.
01060700c3	Saka Jehovha akati, “Ndichabvisa vanhu pamusoro penyika ivo vanhu vandakaisa, vanhu nemhuka, nezvisikwa zvinokambaira pamusoro pevhu, neshiri dzedenga, nokuti ndinozvidemba kuti ndakazviita.”
0106080029	Asi Noa akawana nyasha pamberi paJehovha.
0106090085	Iyi ndiyo rondedzero yezvaNoa. Noa akanga ari munhu akarurama, asina chaanopomerwa pakati pavanhu venguva yake, uye akafamba naMwari.
01060a003d	Noa akanga ana vanakomana vatatu vaiti: Shemu, Hamu naJafeti.
01060b0049	Zvino nyika yakanga yaora pamberi paMwari uye yakanga yazara nokurwisana.
01060c0060	Mwari akaona kuti nyika yakanga yaora sei, nokuti vanhu vose panyika vakanga vaodza nzira dzavo.
01060d00a8	Saka Mwari akati kuna Noa, “Ndava kuzoisa magumo kuvanhu vose, nokuti nyika yazara nokurwisana nokuda kwavo. Zvirokwazvo ndiri kuzovaparadza vose pamwe chete nenyika.
01060e0068	Saka iwe zviitire areka yomuti womusipuresi; uite makamuri mukati mayo uye uiname nenamo mukati nokunze.
01060f00af	Uku ndiko kuvaka kwaunofanira kuiita: Areka inofanira kureba makubhiti mazana matatu, upamhi hwayo huve makubhiti makumi mashanu uye makubhiti makumi matatu pakukwirira kwayo.
0106100097	Uite windo uchipoteredza areka ugosiya kubhiti rimwe chete kumusoro. Uise mukova parutivi rweareka uye uite muturikidzwa wapasi, wapakati nowapamusoro.
01061100a7	Ndichauyisa mvura yamafashamu pamusoro penyika kuti iparadze zvipenyu zvose pasi pedenga, zvisikwa zvose zvino upenyu mazviri. Zvinhu zvose zviri panyika zvichaparara.
0106120091	Asi ndichasimbisa sungano yangu newe, uye uchapinda muareka, iwe navanakomana vako uye nomukadzi wako uye navakadzi vavanakomana vako vari pauri.
0106130077	Unofanira kuisa muareka zviviri zviviri pazvisikwa zvipenyu zvose, chikono nechikadzi, kuti zvirarame pamwe chete newe.
01061400ab	Zviviri zviviri kubva kumhando dzose dzeshiri, nokubva kumhando dzose dzemhuka nokuzvisikwa zvose zvinokambaira panyika, zvichauya kwauri kuti zvichengetwe zviri zvipenyu.
0106150074	Unofanira kutora zvokudya zvamarudzi ose zvinofanira kudyiwa ugozvichengeta kuti zvigova zvokudya zvako nezvazvo.”
010616002e	Noa akaita zvose sezvaakanga arayirwa naMwari.
0107010077	Ipapo Jehovha akati kuna Noa, “Pindai muareka iwe nemhuri yako yose nokuti ndakuona iwe kuti wakarurama murudzi urwu.
0107020093	Utore mhando dzemhuka dzose dzakanaka nomwe nomwe, mukono nehadzi yayo uye mbiri mbiri pamhando dzose dzemhuka dzisina kunaka, mukono nehadzi yayo,
0107030075	uyewo nomwe nomwe pamhando dzose dzeshiri, mukono nehadzi, kuti uraramise marudzi azvo akasiyana-siyana munyika yose.
01070400a9	Mazuva manomwe kubva zvino ndichanayisa mvura panyika kwamazuva makumi mana nousiku makumi mana, uye ndichabvisa pamusoro penyika zvisikwa zvipenyu zvose zvandakaita.”
010705002d	Uye Noa akaita zvose zvaakarayirwa naJehovha.
010706005f	Noa akanga ava namakore mazana matanhatu okuberekwa panguva yakanaya mvura yamafashamu panyika.
010707007a	Uye Noa navanakomana vake nomukadzi wake navakadzi vavanakomana vake vakapinda muareka kuti vapunyuke pamvura yamafashamu.
0107080078	Zviviri zviviri zvemhuka dzakanaka nedzisina kunaka, zviviri zviviri zveshiri nezvezvisikwa zvose zvinokambaira panyika,
010709005d	mukono nehadzi, zvakauya kuna Noa ndokupinda muareka, sezvakanga zvarayirwa naMwari kuna Noa.
01070a0040	Uye shure kwamazuva manomwe mvura yamafashamu yakasvika panyika.
01070b00b3	Mugore ramazana matanhatu roupenyu hwaNoa, pazuva regumi namanomwe romwedzi wechipiri, pazuva iro zvitubu zvose zvapakadzika zvakatubuka, uye masuo amafashamu okudenga akazarurwa.
01070c0045	Uye mvura yakanaya panyika kwamazuva makumi mana nousiku makumi mana.
01070d0092	Pazuva racho iroro, Noa navanakomana vake, Shemu, Hamu naJafeti, pamwe chete nomukadzi wake navakadzi vavanakomana vake vatatu, vakapinda muareka.
01070e0087	Vakanga vane mhuka dzose dzesango namarudzi adzo, nezvipfuwo zvose namarudzi azvo neshiri dzose namarudzi adzo, nezvose zvina mapapiro.
01070f005b	Zviviri zviviri pazvisikwa zvose zvino upenyu mazviri zvakauya kuna Noa zvikapinda muareka.
010710007d	Mhuka dzaipinda dzaiva mukono nehadzi pazvipenyu zvose, sezvakanga zvarayirwa Noa naMwari. Ipapo Jehovha akamupfigira mukati.
0107110088	Mafashamu akaramba achingouya panyika kwamazuva makumi mana, uye mvura sezvayakaramba ichiwanda yakasimudza areka pamusoro-soro penyika.
010712005e	Mvura zhinji yakasimuka uye ikawanda zvikuru panyika, uye areka ikayangarara pamusoro pemvura.
0107130056	Yakakwira kwazvo pamusoro penyika, uye makomo ose marefu ari pasi pedenga akafukidzwa.
010714006b	Mvura zhinji yakasimuka ikafukidza makomo kusvikira pamakubhiti gumi namashanu kudzika kubva pamusoro pawo.
0107150097	Zvipenyu zvose zvinokambaira panyika zvakaparara, shiri, zvipfuwo, mhuka dzesango, zvisikwa zvose zvakafararira pamusoro penyika, namarudzi ose avanhu.
010716004c	Zvinhu zvose zvakanga zvino kufema kwoupenyu mumhino dzazvo panyika zvakafa.
01071700cf	Zvinhu zvose zvipenyu zvaiva pamusoro penyika zvakaparadzwa, vanhu nemhuka, nezvisikwa zvinokambaira panyika neshiri dzedenga zvakaparadzwa kubva panyika. Noa bedzi ndiye akasiyiwa navaya vaiva naye muareka.
0107180038	Mvura zhinji yakafukidza nyika kwamazuva makumi mashanu.
0108010096	Asi Mwari akarangarira Noa nemhuka dzose dzesango nezvipfuwo zvakanga zvinaye muareka, uye akatuma mhepo pamusoro penyika, uye mvura zhinji ikaserera.
010802007c	Zvino zvitubu zvepakadzika uye masuo amafashamu okudenga zvakanga zvazarirwa, uye mvura yakanga yaguma kunaya kubva kudenga.
0108030073	Mvura yakaserera zvishoma nezvishoma kubva panyika. Pakupera kwamazuva zana namakumi mashanu mvura yakanga yadzika,
0108040052	uye pazuva regumi namanomwe romwedzi wechinomwe, areka yakagara pamakomo eArarati.
010805007e	Mvura yakaramba ichiserera kusvikira pamwedzi wegumi, uye pazuva rokutanga romwedzi wegumi misoro yamakomo yakatanga kuonekwa.
0108060047	Shure kwamazuva makumi mana, Noa akazarura windo raakanga aita muareka,
010807005b	uye akatuma gunguo, uye rakaramba richibhururuka kuno nokoko kusvikira mvura yapwa panyika.
0108080051	Ipapo akatuma njiva kuti aone kana mvura yakanga yaserera kubva pamusoro penyika.
01080900aa	Asi njiva haina kuwana nzvimbo yokumhara nokuti mvura yakanga iri pose pose; saka yakadzokera kuna Noa muareka. Akatambanudza ruoko rwake akadzorera njiva muareka maaiva.
01080a0045	Akarindira kwamamwezve mazuva manomwe uye akabudisazve njiva muareka.
01080b00ac	Njiva yakati yadzokera kwaari panguva yamanheru, onei heyo mumuromo mayo yakaruma shizha nyoro rakatanhwa pamuorivhi! Ipapo Noa akaziva kuti mvura yakanga yaserera panyika.
01080c0064	Akamirirazve kwamamwe mazuva manomwe uye akabudisazve njiva, asi panguva iyi haina kuzodzoka kwaari.
01080d00bd	Pazuva rokutanga romwedzi wokutanga wegore ramazana matanhatu nerimwe aNoa, mvura yakanga yapwa panyika. Ipapo Noa akabvisa chifukidziro cheareka akaona kuti pamusoro penyika pakanga paoma.
