2800000007	Matewos
2804030060	Fattanoni bar tai'sere: «Ne Ha'oni naa sinfaatane han shu'aasikito tusha sinanak ajajebbo» yi.
2804040083	Sinuntano Yesus wolgire: «‹Asu Ha'oosi noonosin kesfa kaama zuuttambaase asiktano muu muuk aane feefe› yistera tichchewa» yi.
2804050053	Esseen orfo Daabulos Yesusnin Yerusalem ephphe taamme betemeqdesiisi tukta yeetaat:
28040600d2	Eeka yi: «‹Wochonees shu'aasta tuusa'onoymato neen oodanak Ha'oos wosibaason ajajonawa. Kushubesiisik dey neen kabugsonewa› yistera tichchewa; ese ne Ha'oni Naa sinfaatane yeet golo teetneeson ha'uwa» yi.
2804070054	Yesus dey wolgire: «‹Daama Ha'oneeson fattanotaata› yistera dey tichchewa» yi.
2804080068	Hepsa dey Daabulos Yesusnin akama dicha aamta kisire yeetaat han daasi taatoni ulfinanon zuutire besaat:
2804090044	«Ne taak gandera sagadefaatane han baron zuutira neek imanawa» yi.
28040a0074	Es kabaasik Yesus: «Hantan kes! Ne Sexana; ‹Daama Ha'oneesik kaa'no. Bar baron shiipho› yistera tichchewa» yi.
28040b0052	Es kabaasik Daabulos barin beyi; Ha'oosi wosiya dey tai'sera barin argasit faaser.
28040c003d	Yesus Yohannis taatoni keer girubaason odenayse Galiila hami.
28040d007b	Naaziretnon beyfaat Zabiloonnewa Niftalemne asi awurajja Galiilani baarisi ha'ta fa Kifirnahom yistefa katamaassi hamme di.
28040e0043	Es bar dey sinnay raajju Isayyas ekka yit makena kaamaas sinanakwa.
28040f0063	«Zabulonni daas, Niftalemni daas, Yordanosni yesalo baarisi ha'ta fa; Aazabni meenir sina Galiila;
2804100069	Talmaassi fe daraas; akama chaarefa bi; kituni yirara faana daasta diise baassok; chaarefa kessa beste.»
2804110055	Es wonaastaneen kabire Yesus: «Ha'oosi taato tai'sewa; Harmutiwa» iyaafe mako ephi.
28041200bd	Yesus Galiilaki baarisi tesha aatfet hep ayni meya Phexiros yistefe Simoonninnawa ayba Indiriyasninna kurxummi eshak yugudobesiison akaassi ha'sefeen bi. Baasso wostoos dey kurxummini esha.
2804130066	Yesus dey baassok: «Taneen ane yaafaat asuni meyanon Ha'oosi taatosi wolgutik nittotin zagunawa» yi.
280414003e	Baasso dey geregere yugudobesiison beyfaat barneen ane hamete.
28041500a9	Estan aatte oom hep ayna ayna Zebdewosni naanggot sina Yaqobnawa Yohannisna asin bi. Ababesi Zebdewosneen ane goonuusta diisefaat yugudobesiison mai'sifeen biyaat teege.
280416004d	Baasso dey geregere goonuusewa ababesiisna asin beyfaat Yesusneen ane hamete.
28041700bf	Yesus baasso Ayhudni shiiphoni keyaasikitosi assit Ha'oosi taatoni misirachchuni kaamaason maket daraasasi fa showo tesa meroson zuutire fatit Galiilani daa zuuttambaase asiissi biratet feer.
2804180131	Yesus zagina chowaasi wolla Soriyani daa zuuttambaase asiissi odte. Showo tesa merok mette asuni meyanonnawa rakkokna oottere fe asuni meyanon, dey kiina ayyana ephna baassotin, akataki merobesi faana baassotinnawa laafani meyanonna zuuttire ephphe Yesusniki teshshesete. Bar dey zuuttambesiise asin fati.
2804190073	Galiilani daastaki, asir katamaassin, Yerusalemun, Yuudan, dey Yordanosni yeesalon showo dara Yesusneen ane hamete.
2805010059	Yesus showo dara barki yeefeen biyaat aamaasta kesse di. Nawobaasakito dey barki yeeseten
2805020013	Ekka yit assu ephi:
2805030071	«Ha'oosi taato baassor sinna boor'a; amantobesiison Ha'oosta zagsefaat; teetbesiison daa ephefe baasso suustowa.
2805040046	Ha'o baassok chima imnir sinna boor'a; suumet feesefe baasso suustowa.
280505004d	Teetbesiison daa ephefe baasso; han daason warasosoner sinna boor'a suustowa.
2805060053	Ooko sina wostooson; maktere iktet feesefe baasso; gawusoner sinna boor'a suustowa.
2805070045	Feeshun yisefe baasso; baassok feeshun ustonir sinna boor'a suustowa.
2805080042	Nibbesi kayim sina baasso; Ha'ooson biyoner sinna boor'a suustowa.
2805090059	Asunin gansit feesefe baasso; Ha'oni naanggot yistere; teegtosoner sinna boor'a suustowa.
28050a0059	Ooko sina wuzaasi boor'a kabugtesefe baasso; Ha'oosi taato baassor sinna boor'a suustowa.
28050b0082	«Ta boor'a asuni meya nittotin me'efe kabaasiknawa kabugsefe kabaasikna dey eshak sunnitiison mangsisefe kabaasik nitto suustowa.
28050c0091	Waagnitiis den samak akama sinna boor'a girotiwa. Dey akamanon giroti. Nittoostan zeemme fe raajjuni meyaasta esiisimatotu shana katisetewa» yi.
28050d00a4	Dey Yesus: «Nitto han daasi kawowa. Sinuntano kawoos kaar'ba tishifaanane aakkagira kaar'nirinso? Ek gero hai'tera asuni wochosi yetonaastano ke'ana wuzaba aafawa.
28050e0056	Nitto han daasik chaarefawa. Aamaasta keetera di katamaas aachonak aafawa chimanawuza.
28050f0067	Asu tona tonire waashshi duusifewoso? Tega dimtatanoso duusaan keyaassi fe asusik zuutira chaarefanari?
2805100089	Esiisimato asuni meya nitto ma'a wostooson biyere samaki abantiisin ulfinsusonek chaarefnitiis asu zuuttambaase asi sina chaarongwa» yi.
2805110085	Dey Yesus: «Ta Museni tumaasonnawa raajjuni meeni kaamaasonna shaarok yaanarne faar sinna nittok bestonaatawa. Ta yaanaas zagunakwa.
2805120076	Ta futok nittok makefawungwa; samaasewa daase aatananneen tumaassin millu duktonu wostota feeshnoy aafawa aatana wuza.
28051300f3	Ese han ajajiissin ater sina isaason shaarefe barnawa esiisimato dey asunik assife barna samaki taatoossik zuuttambaase asiistan daakalotu sinana. Sinuntano zagife bar wedey assife bar oonu sinfaanane samaki taatoossi arkir yisteretu teegtona.
28051400a9	Nittok makefawungwa; nitto ooko sinaas Museni tumaasi assinynyaasatannawa Ferisawini meyaastanna denalo sina shakaanane samaki Ha'oosi taatosi isanne aafawa giruti wuza.
2805150055	«Zeemoti baassok ‹Kaa worutiita› wori basaasta mangsu kater yistenamato odetiwa.
28051600ea	Sinuntano ta nittok makefawungwa; aybaasata gi'tefe basaasta mangsu katerwa. Dey aybaasin: ‹Ne ke'nor› yire me'a basaasta mangsu katerwa. Oonu dey: ‹Ne odo oyo› yife bar zuuttambaase geeni tir'maassi giruni mangsutu katonirwa.
2805170076	Es bari boor'a Ha'oosik imata imneeson shoo'aasta teshshefata kabaasik ayneesin tugita chowa foobaason yaadatefaatane;
2805180077	Es Ha'oosik imata imneeson shoo'aasi tesha kunsaat zeemma hamma ayneesneen ane ganowa. Estan wolla yaara imneeson imma.
28051900d6	Gumanees neen malaten mangsuni kar'ni keer hamfata kabaasik zeemma uguntak taptera ganowa. Ekka zagu shakaatane gumanees neen aatire gaanynyanik imin gaanynyaas dey aatire meya taar'osik imin taatoni keer girutawa.
28051a0065	Futo neek makefawungwa; koi'ni duudeeson kaasutanneen isanne taatoni keyaassin aafa kesata wuza» yi.
28051b0037	Dey Yesus: «‹Gerkesatiita!› yistenasimato odetiwa.
28051c007f	Sinuntano ta nittok makefawungwa; mashkasuki biire ane kunanak shole bar zuuttere es kabaasik barneen ane nibbaassik gerkesiwa.
28051d0089	Hoi'ta aafnees neen tuusa'sifaanane woi'ira kisuwa; atune zuuttera geeni tir'maassi ha'tobaasneen atuneessin isaron turkifaatane wayyawa.
28051e008b	Hoi'ta kushunees neen tuusa'sifaanane kar'a ha'uwa; atunees zuuttera geeni tir'maassi ha'tobaasneen atuneessin isaron turkifaatane wayyawa.
28051f0055	«Asubaason gafkife bar zuuttambaase gafkuni tichaason imowa» yistena baron odetiwa.
28052000b1	Sinuntano ta nittok makefawungwa: «Asubaas gerkesfeen dannoy baak gafkife bar zuuttambaase hamma gerkesanaktu zagifewa. Esiisimato dey gafukte baron ephpha bar dey gerkesiwa.»
2805210054	«Esha tewutiita; sinuntano teyiti baron Daamiisik zagutiwa» yistena baron odetiwa.
2805220079	Sinuntano ta nittok makefawungwa; isanne tewutiita; Den samaas Ha'oosi zigimu sinna boor'a samaasiknu sinfanak tewutiita.
2805230092	Han daas dey Ha'oni wocho yer'na dima sinna boor'a han daasik tewutiita. Yerusalem dey arkitto taatoosa katama sinna boor'a Yerusalemuk tewutiita.
2805240065	Somneesi fashaassin isaron foro wedey kara zaguk aafa chimata wuza sinna boor'a teetneesik tewutaata.
2805250085	Sinuntano nitto wollaas «Aa» sinfaanane «Aa» sinun wedey «Indaane» sinfaanane «Indaane» uti. Es baristan oomaas manguskingwa.
2805260039	«‹Aafaasik aafa; ay'aasik ay'a› yistenamato odetiwa.
2805270099	Ta nittok makefawungwa; mangu wuza nittoosta zagife asusin guma kaastotiita. Sinuntano hoi'ta gachneeson bocha barik alda gachneeson dey shelgira besuwa.
2805280060	Sikaloki gaag mayoneeson ephphetoonak neen malatefe barik tukaastaki gaag mayooson daysira imma.
2805290063	Isa asu; isa kiilo meetiri hamatak neen giddisifaanane hep kiilo meetiri daysira barneen ane hamma.
28052a0046	Neekin shiiphefe barik imma; neekin liqonak sholefe barik kalataatawa.
28052b003d	«‹Asunin shungwa; gumaneesin oomto› yiste baron odetiwa.
28052c005b	Sinuntano ta nittok makefawungwa; gumantiisin shunti; nittotin kabugsefe baassok shiiphoti.
28052d00b7	Es baron zagaatine samak fe abantiisik naanggota sinati. Ha'oos manguni meyaastanawa ma'a asuni meyaastana awa ichanak zagir. Ookoni meyaastanawa boor'ni meyaastana iro ichanak zagir.
28052e006d	Nittotin shunfe baasso baassotin shunfaatine awu ke'atirinso? Girbo zuutife baassonu esiisontanoso zagseferi?
28052f006e	Ayniti aynitiisakitonik naga ooshshesefaatine aro gaddo wuza zagitiso? Aazabni meyanu esiisontanoso zagseferi?
280530004c	Es bari boor'a samak fe abantiis kayim sinnamato nitto dey kayim sinti» yi.
2806010097	«Asuni meya biyotowa iyaat ma'a wostontiison asuni sina zagustan teetnitiison oodtiwa. Es baron zagaatine samak fe abantiiskin danati waagniti aafawa.
28060200e5	Es bari boor'a tukamni meyak imfeti kabaasik sinnoy sinne bestesefe baasso asuni meya ulfinsusonek Ayhudni shiiphoni keyaassinawa ugnaastana zagsefeesimato biistok zagutiitawa. Ta futok makefawungwa; waagbesiison ephpheteesetewa.
2806030063	Sinuntano ne tukamni meyak imfata kabaasik hoi'ta kushunees zagifana baron alda kushunees arunaata.
2806040058	Tukamni meyak imfata imnees aachok sinun. Aachok zagte baron biife abanees neek kaasuna.
28060500ee	«Ha'o shiiphefeti kabaasik sinnoy sinne bestesefe baassosimato sinatiita. Baasso asu taan biyo iyaat Ayhudni shiiphoni keyaassinawa ugnaasi ha'tana yerefaat Ha'oni shiipho shuneter. Futo nittok makefawungwa; waagbesiison ephpheteesetewa.
2806060088	Sinuntano ne Ha'o shiiphefata kabaasik keeneeson kulfaat biistonoy abaneeski shiiphowa. Aachok zagte baron biife abanees neek kaasunawa.
28060700a7	Aazabni meya wolumbesiisi aatamak odtoninne faar sinnatu baassok bestefa. Sinuntano nitto shiiphefeti kabaasik baassosimato shimaasik heppa heppa wolgaat shiiphotiita.
2806080061	Ese nitto baassosimato sinatiitawa. Abantiis nitto shiiphonoy faani nittok sholsu wuzason arirwa.
2806090057	Ese nitto ekka yira shiiphsoti: «‹Den samak fe abaniiso; Korto sunnees tegifawungwa;
28060a0053	Taatonees yoonwa; ne shunfata bar; den samak sinfanaasimato; han daastak dey sinun.
28060b0020	Hawungti muuniison; hawung imma.
28060c004c	Innotin miir'efe baassotin; feeshun yifeniisimato; mangsuniison feeshun uwa.
28060d0073	Manguussin oodtano; fatanasi innotin gedataata. [Taatoos, hugnaasewa ulfinaase; koi'ba foontonon neerwa; aamin.›]
28060e0068	«Asuni meya nittoosta katisete miir'aason feeshun iyaatine den samak fe abantiis nittooson feeshun una.
28060f0078	Sinuntano asuni meya nittoosta katisete miir'aason feeshun uu shakaatine abantiis nitto boor'aason aafa feeshun unawuza.
28061000c8	«Soomera shiiphefeti kabaasik sinnoy sinne bestesefe baassosimato suumotiita. Baasso soomere shiiphobesiison asu arunak sinbesiison aliqsisefe. Futo nittok makefawungwa; waagbesiison ephpheteesetewa.
2806110043	Sinuntano ne soomera shiiphefata kabaasik aafneessi masera fochowa.
2806120076	Ekka zagaatane aachok fe abaneesteno soomere shiiphoneeson oom asu aafa aruna wuza. Aachok biife abanees neek kaasuna.
2806130063	«Konymar muunaasta shiira dey mangunaasta wiis dey yiishshe wiisona han daasta waaga zuututiitawa.
2806140078	Sinuntano konymar muunoynar dey shiira mangunoynar wiisi dey yiishshe wiisonoyna dimta den samak waagnitiison zuututiwa.
280615002c	Waagnees faanaasta nibnees dey esta foonawa.
2806160062	Atuni tonaas aafawa; es bari boor'a ne aafaas fayya sinfaanane atunees zuuttera chaarefatu sinana.
280617009e	Sinuntano aafnees mettana sinfaanane atunees zuuttera talmatu sinana. Ese neyista fa chaarefaas talma sinnanneen talmaas dey awune faaron arkira talmonirinso?
28061800db	«Isa asu hep daamnik wostinynya sinanak aafa chimanawuza. Isaasin oomtefaat hepsaasin shunar sinana wedey isaasin ulfinsaat hepsaasin kashshuna. Esiisimato isa asu Ha'oknawa waagakna wostinynya sinanak aafa chima wuza.
28061900a0	Es bari boor'a nittok makefawungwa; foontiisik awu muunittaaso? Awu ushanittaaso? Awu mayanittaaso? yira rakkatotiitawa. Kaa muustan atu mayaastan denalotanoso?
28061a00a2	Samaasta fulifa kasaasikitonon biitiwa; aane bukfa, aane kar'fa; gombissi dey aane gaagfa. Samaki fe abantiistu maasifer. Nitto barikitoniistan akamanon denalowa.
28061b003d	Nittoossin duudere woggabaasta isa wona daysuk chimnir oonso?
28061c0087	Eekin mayni boor'a awuniron rakkatefetiso? Bakkeesta diise fur'aasikito aakkak dichfanamato gasasira biitiwa. Aane hopsefa; aane sukfa.
28061d0071	Sinuntano nittok makefawungwa; Solomonnu fa ulfinba zuuttambaase asik fur'aasikitosin isaasne faaron aane mayewa.
28061e00a8	Amantonti yo'ina nitto! Ese Ha'oos hash hawung biistefaat wono geyaassi ha'toni bakkeestaki fur'aason ekka maysir sinnanneen nittotin aakkak arkissira maysu beynirinso?
28061f004c	Ese awu muunittaaso? Awu ushanittaaso? Awu mayanittaaso? Uuk rakkatotiitawa.
280620006c	Es baron zuuttire Aazabni meyanu sholseterwa. Es bar zuuttera nittok sholsifanamato samaki abantiis arifewa.
2806210075	Sinuntano nitto zeemma Ha'oosi taatononnawa ooko sina baronna sholoti. Es wuzaasikito zuuttera nittok daytera imtona.
280622007b	Es bari boor'a wonotiison safarok rakkatotiita. Wonotiisik wonoti wonaas barik rakkaton. Wonaasik mangubaas hooronawa» yi.
280701003e	«Nittoosta mangsu katonoynamato ooniistanu mangsu kar'atiita.
2807020099	Nitto oom asusata mangsu kar'fetiisne fa mangsuni kar'a nittoosta dey katona. Esiisimato dey nitto oomiisik safarefeti safareesik wolla nittok safartona.
280703004d	Ne aafaassi kuni tuchaason biinoy ayneesa aafsi kuni diimaason aakkak biitso?
2807040063	Wedey ne aaffaassi kuni tucha feen ayneesin ‹Aafneessi kuni diimaason kisunawa› aakkak yifasso?
2807050085	Sinnoy sinne bestefe ne; zeemma ne aafaassi kuni tuchaason kisaat esseen orfo ayneesa aafsi kuni diimaason kisutak gasasira biyatawa.
2807060095	Korto sina wuzason kanaasik imatiita. Inquntiison mukoosi sina ha'utiita. Mukoosikito wochobaasiktu yer'ana. Kanaasikito dey wolla nittotin saar'ana.
280707004d	«Shiiphoti nittok imtona; Sholoti danati; Gamalaason ki'ti nittok gachchona.
2807080057	Shiiphe bar zuuttere ephphetoona; Sholefe bar danana; Gamalaason ki'fe barik gachchona.
2807090036	Nittoossin naabaas daabbo mamsin shu'a imni aba oonso?
28070a0027	Kurxummi mamsifaanane zawa imnir oonso?
28070b009a	Ese nitto mangu asu sinfaat naanggotnitiisik ma'a wuza ima aritinneen eekin den samak fe abantiis shiiphefe baassok futoosik aakka daysire ima beynirinso?
28070c0090	Ese asuni meya nittok zagsonek sholefeti baron zuutira nitto dey oomiisik esiisimato zaguti. Tumaasewa raajjuni meeni kaamaase esiisontu makefa.
28070d0073	«Tugo finynyiissi kamo giruti; Tishuni finynyiis ugunbaas akama taga; es finynyiissi kamo girife baasso dey showo.
28070e0068	Kaani keer taamfa ugnaasi finynya tugowa. Ugunbaas dey tiir'owa. Es baron danni asuni meya dey kiiskuwa.
28070f008d	«Sikalobesiissi bo'inynya iririkane feer sinefaat fantuni koma mayye nitto ganeyaassi yoosonek fe esh raajjuni meyakin teetnitiison oodtiwa.
280710006c	Baassotin dey arsotiis gaanbesiistakwa; seer'akin wayinini gaana wedey asewaaskin belesini gaana kephteroso?
2807110059	Esiisimato ma'a i'oos zuuttera ma'a gaanatu gaanfa. Mangu i'oos dey mangu gaanatu gaanfa.
2807120057	Ma'a i'oos mangu gaana gaananak wedey mangu i'oos ma'a gaana gaananak aafa chimanawuza.
280713003f	Ma'a gaana gaannoy i'oosikito zuuttera katera geyaassi ha'tona.
280714003a	Es bari boor'a esh raajjuni meyanon gaanbesiistaktu aruti.
2807150085	«Den samak fe abataasa fiqadinon zagife barteno taan: ‹Daamiiso! Daamiiso!› yife bar zuuttere Ha'oni taatoossi aafa giruna wuza.
28071600d2	Mangsuni kar'ni wono showobesiis: ‹Daamiiso! Daamiiso! Ne sunaasik raaji aane makoweninoso? Ne sunaasik kiina ayyanaason aane kisuweninoso? Ne sunaasik showo biistera artonoy wuza aane zaguweninoso?› usone.
2807170050	Es kabaasik: ‹Ta nittotin aane arifat; nitto mangu meya tayistan wokti› una.
2807180078	«Ese han kaamnaason odere wostota feeshife bar zuuttambaase keebaason kaa'oni kaputta keer'a nibbare yere asune feerwa.
280719008c	Iroos ichi, omaraas dey wori. Sirus dey sirira es keyaason tugi. Sinuntano es keyaas kaa'ota kaputta keetera diir sinna boor'a aane gandowa.
28071a0060	Han kaamnaason odere wostota feeshunoy bar zuuttere keebaason fuututa keer'a gowwa asune feerwa.
28071b0073	Iroos ichi; omaraas dey ya. Sirus dey sirira es keyaason tugin geregere gande. Gandobaas dey akama mangu sini» yi.
28071c005b	Yesus es wuzasikitonon makere koi'sinanneen orfo darani meya bar makena assusik diinqesete.
28071d0086	Es darani meya diinqesetees Museni tumaasi assinynyanimato sinnoynamato isa ha'suni hugnaba feena asunimato assit feer sinna boor'awa.
2808010040	Yesus aamaastan kerefena kabaasik showo dara barneen ane hamete.
2808020060	Isa awataatoni mettan barki tai'sere: «Daamiiso! Taan shunfaatane fatuk chimatawa» yit sagade.
280803005c	Yesus kushubaason shongere ta'ifaat: «Shunfawungwa kayimma» yin geregere merobaassin fari.
28080400a1	Estan Yesus: «Faruneeson ooknu makotaatawa. Sinuntano hamma teetneeson maagnik besuwa. Baassok zaala sinanak faruneeson besifa Muse ajajena maa'aason imma» yi.
2808050072	Yesus Kifirnahomni katamaassi kar'fena kabaasik isa tii meya taar'oni meeni gaanynya barki yeere ekka yit shiiphe.
280806004b	«Daamiiso! Wostinynyataas laafa sinne akamanon mettere keer kunferwa» yi.
2808070035	Yesus dey: «Ta yaara wostinynyaneesin fatunawa» yi.
