2a00000006	Lukasi
2a020d005d	Bingkosako malaꞌeka laꞌa meronga orao malaꞌeka mesueno umundeꞌiRo Ue Ala, karompotae,
2a020e005b	“Maramba Ue Ala henu ai wawo langi! Kaa roodo ndi mia tolino henu mokomangaꞌuo i Ue!”
2a020f00a6	Towono malaꞌeka mpekule ai suruga, ropotae pompakambi laꞌa aso mia kaa aso mia, “Maito kato kiteo mbio henu gagi ai Beteleme menggena pinauRo i Ue ndi ikito.”
2a0210007f	Pompari-pari umboro meleko karo mehaweꞌo i Maria kaa i Yusupu saru rewu-rewu laꞌa henu tekonai pinolero ai laro dula bimba.
2a0211006b	Towono pompakambi mesueꞌo rewu-rewu laꞌa, romempauꞌo mbio pauno malaꞌeka mongkono rewu-rewu laꞌa.
2a02120041	Kaa lowono mia mengkohali-hali rumongoio pauro pompakambi laꞌa.
2a0213003b	Kanggo ai Maria numaaꞌo ai laro aroano kano penonohoꞌo.
2a021400c9	Pompakambi laꞌira mpekule ai konde kaa ai laro koleko-lekoaro, romeꞌunde-undeꞌiRo Ue Ala rompotae, “Maramba Ue Ala” akono lowono henu romerongoio kaa kinitoro, gagi menggena pauro malaꞌeka.
2a02150085	Towono sangka oalu olo tinuwuno, rewu-rewu laꞌa tinindi ka pinowea nee i Yesu, nee pinauro malaꞌeka ambono nomomeniꞌakeo ineno.
2a021600bb	Hawe tempono i Yusupu ka ai Maria mowowau hada powohoki koroi umarino meꞌana montonda songkaro i Musa. Gagi romewaweo mboꞌu rewu-rewu laꞌa meleko ai Yerusale meweangakeo ndi Ue Ala.
2a02170067	Ako nio teꞌuki ai songkaRo i Ue, “Lowono ana ntama henu amba-ambano olo pineweangako ndi Ue Ala.”
2a02180079	Ka umboro mboꞌu mowawo pesomba ooto aso ntimba kou-kou ba oruo anano marapati, menggena henu teꞌuki ai songkaRo i Ue.
2a021900b3	Tempo laꞌa ai Yerusale nio aso mia neeno i Simeo, umono mentee tuwuno ka metenunu ndi Ue Ala, ka meteꞌema tempono Ue Ala kumaduduio Isaraeli. Umono nororonganio Penao Mempori.
2a021a0076	Ka oto nopauꞌakeo Penao Mempori ndi umono lanolei maate bano taipo nosueꞌo Datu Pongkadudui henu ginantiRo Ue Ala.
2a021b00bc	Penao Mempori waweo ai Simeo mendamo ai Raha Mempori. Tempo laꞌa i Yusupu kaa i Maria mewaweo i Yesu mendamo ai Raha Mempori minggi meweangakeo anaro ndi Ue Ala montonda Songkaro i Musa.
2a021c004f	Kano aleo i Simeo rewu-rewu laꞌa nopapasio kaa moꞌunde ndi Ue Ala, nopotae,
2a021d0054	“Hilinie Ue, aroanoto ataMiu nie maate momoiko, akono oto pokosangkaꞌo gantiMiu.
2a021e003e	Akono kusueꞌoto ako matanggu Mpupongkadudui umbu ndi Ikomiu,
2a021f002d	henuto Ikomiu palenaꞌo tiano lowono tongku.
2a022000a9	Mpupongkadudui laꞌa menggena wanta henu wantahio sala tiano tongku henu mesue mehawe ndi aroMiu, wanta laꞌa minggi mokogagiꞌo to Isaraeli bawaa Miu pinelangkai.”
2a0221005e	Umano ka ineno rewu-rewu laꞌa kohali-hali rumongoio mbio henu pinauno i Simeo kumonoo anaro.
2a022200d5	I Simeo barakatiꞌiro ka motae ndi Maria ineNo, “Rewu-rewu nie ooto bininikiRo Ue Ala, minggi modontai ka mowueꞌako orao mia to Isaraeli. Umono gagi petondongino umbu ndi Ue Ala henu laro tarimaꞌo mia orao.
2a0223007e	Ako helinie minggi sinue mbio henu nio ai laro aroaro. Kaa iiko Maria, minggi masusa ngako aroamu menggena kono sale ponai.”
2a0224008b	Nio mboꞌu aso nabi irowai henuto mosuꞌo neeno i Hana, anano Panueli, inuleno i Asere. Butukaa opitu ntaꞌu nopebawaaꞌakeo somborino,
2a022500d0	akono somborino oto maate. Kaa umono andono mesombori mboꞌu ka hilinie tinuwuno ooto halopulu ka opaa ntaꞌu. Sombo meene ka sombo wongi umono nio ai Raha Mempori, mekakai saru mepuasa, mesomba ndi Ue Ala.
2a022600c8	Tempono i Yusupu ka i Maria tekonai lehea, ai Hana lumeko umbedahiiro kano undeꞌiRo Ue Ala ka nopauꞌo mongkono rewu-rewu laꞌa ndi lowono mia henu umeꞌemango tempono Ue Ala mokolipaho Yerusale.
2a0227009f	Umarino i Yusupu ka i Maria wowauo hada powohoki koroi kaa meweangakeo anaro ndi Ue montonda songkaRo i Ue, iro mpekule ai Nasare inie poꞌiangaro ai Galilea.
2a02280058	Rewu-rewu laꞌa kolangka-langkai ka moroso, umono pande takau ka Nopehohawaꞌo Ue Ala.
2a02290097	Sombo-sombo ntaꞌu mia mosuꞌono i Yesu lumeko ai Yerusale montonda perame-rameꞌa Pasa mewowoloꞌo tepokolipaharo to Isaraeli umbu ai wute Masiri.
2a022a005d	Tempono tinuwuno i Yesu hopulo ka oruo ntaꞌu, umboro meleko mperame-rame menggena mondeeno.
2a022b007f	Umari mperame-rameꞌa iro mpekule, kanggo i Yesu, Ana-ana laꞌa da moꞌia ai Yerusale, kanggo lano toꞌorio mia mosuꞌoNo.
2a022c008b	Rokoaraꞌaraa tumondaꞌiro mia orao mperonga-rongaro. Towono aso olo mengkoleko-leko amba romewusuꞌO ai olono petia kaa tepotoꞌoriro.
2a022d004c	Kanggo laro haweꞌO, gagi umboro mepokule euno ai Yerusale wusuꞌo i Yesu.
2a022e008e	Towono koꞌotoluno olo rompetewusu amba rohaweꞌO ai Raha Mempori, i Yesu tekonai mentoro rumongoio pauro Guru Agama ka mesikeno ndi umboro.
2a022f005d	Lowono mia lehea mengkohali-hali rumongoio pandeNo i Yesu sumangkiꞌo pesikenoro Guru Agama.
2a0230009b	Mia mosuꞌoNo mboꞌu kohali-hali kumiteo. Nopotae ineno, “Ana, mbiokee kau powowau menggena unie ndi ikami? UmaMu ka iaku masusa aroa mami mewusuKo.”
2a02310066	Sumangki i Yesu, “Mombiokee ikomiu wusu Aku? Lai toꞌoriokee Iaku matantu nio ai rahaRo UmaNggu?”
2a0232002f	Kanggo laro toꞌorio mbio henu nineeno i Yesu.
2a0233009f	Umari laꞌa i Yesu kaa mia mosuꞌoNo mpekule ai Nasare, kaa Umono mpihe mororongoi ndi mia mosuꞌoNo. Lowono henu tegagi nie nonaaꞌo ineNo ai laro aroano.
2a0234005a	I Yesu kolangka-langkai ka pande saru nopehohawaꞌiRo Ue Ala ka romemangaꞌuꞌakeo mia.
2a03010119	Ai taꞌu hopulo ka olimo tendamo pomparentano i Datu Langkai Tiberiu, tempono i Gubenuru Pontiu Pilatu gagi kapala daera ai Yudea, i Datu Herode momparenta ai wute Galilea. I Pilipu petiano i Datu Herode momparenta ai wute Iturea ka Tarakoniti, ka i Lisania momparenta ai Abilene.
2a03020084	Henu gagi Petewawo Pesomba Langkai ooto i Hanasi ka i Kayapa. Ai taꞌu laꞌa Ue Ala mepau ndi Yohane anano i Sakaria ai konde one.
2a030300dc	Lumeko i Yohane tumondaꞌo wute wiwi korono Yarade ka pauꞌo oliwiRo Ue Ala. I Yohane kokora-kora, “Mentesisito umbu ai winowaumiu henu mosaꞌa ka peweangakeoto koroimiu dinolo, ka Ue Ala minggi umoninio halamiu.”
2a030400a8	Mbio henu winowauno i Yohane menggena henu teꞌuki ai surano nabi Yesaya, “Nio mia kokora-kora ai konde one, Palenaꞌoto sala tiaRo i Ue, pokomomoliꞌo sala tiaRo.
2a03050092	Lowono bangkano minggi hinowui, lowono tamungku ka mungku pinoko melembo. Sala henu monggedo-nggedo pinokomomoli, ka sala henu mebingkoso hinowui.
2a0306004e	Lowono mia aso wawontolino minggi sumueꞌo Mpupongkadudui umbu ndi Ue Ala!”
2a030700b9	Orao mia hawe moꞌema karo dinolo. I Yohane mepauꞌakero, “Ikomiu mia henu mosaꞌa gaumiu menggena ule meꞌeto! Ainei motae ikomiu telipahako umbu podosaRo Ue Ala henu amba ramai?
2a030800f4	Pokoꞌenaho ai laro tinuwumiu bano ikomiuto tesisi umbu winowaumiu henu mosaꞌa. Indo koaraꞌaraa, ikomiu lano dinosa akono ikomiu inuleno i Burahima. Pewowoloꞌo, umbu ai wasu-wasu nie Ue Ala poli mowowau mia gagi inuleno tiano i Burahima.
2a03090095	PodosaRo Ue Ala menggena ndamu henuto tepalena minggi pontuehi kau hawe ai haka-hakano. Lowono kau henu lano moiko wueno minggi tinuehi ka sinunu.”
2a030a003d	Mia orao mpesikeno ndi Yohane, “Gagi mbiokee kimpowowau?”
2a030b00a3	Sumangki i Yohane, “Mia mompeꞌue oruo kalambino, weeꞌakeo aso mia henu tainio kalambi, ka mia henu orao kaangano tia-tiaꞌo ndi mia henu tainio kaangano.”
2a030c005d	Toposima mboꞌu hawe ndi Yohane moꞌema dinolo, rompesikeno “Guru, mbiokee kimpowowau?”
2a030d0041	Sumangki i Yohane, “Indo poꞌema torea umbu henu pinatantu.”
2a030e00c1	Nio mboꞌu sorodadu mesikeno, “Helinde menggena ikami? Mbio henu kiwowauo?” Sumangki i Yohane, “Indo rukuhio baineitokaa, indo porukuhi ako pau lano mentee. Sangka oto umbu ai gadimu!”
2a030f006f	Tempo laꞌa orao mia momperorohi kaa kosike-sikeno menteekee i Yohane Datu Pongkadudui henu romeꞌeꞌemango.
2a031000f1	Oto kano potae i Yohane ndi umboro, “Iaku dumolo komiu ako uwoi, kanggo minggi hawe mia henu takau langkai pabawaNo kaseko iaku. Sekonopo mowowo onggono sipatuNo mboꞌu iaku lano koono. Umono minggi dumolo komiu ako Penao Mempori ka apui.
2a03110099	Ai kaeNo nio duku minggi dumukuꞌo pae hawe moroa. Pae henuto moroa minggi nonaaꞌo ai tuꞌora, kanggo ota olo sinunu ai apui henu lano huru maate!”
2a0312004f	I Yohane mompowea orao oliwi mesueno, kaa paleleꞌo Kareba Moiko ndi mia orao.
2a03130082	I Yohane tumeguruꞌo i Datu Herode akono norampasio i Herodia somborino petiano ka mboꞌu akono mowowau gau mosaꞌa henu mesue.
2a03140055	Kanggo i Datu Herode notambaio mboꞌu halano, nopondamoho i Yohane ai laro tarungku.
2a0315006d	Masano lowono mia siire umari medinolo, i Yesu mboꞌu hawe kano dinolo. Ka tekonaiNo mekakai langi tewungge,
2a031600aa	ka Penao Mempori metii ai wawoNo menggena manu-manu marapati. Ka terongoi pauRo Ue Ala motae, “Ikoto AnaNggu henu Kupehohawaꞌo. Ikoto henu mokomangaꞌuo aroaNggu.”
2a03170085	Tempono i Yesu pamulaꞌo anggaꞌano, baraꞌura tolupulu ntaꞌuno. Motonda pohawero mia, Umono anano i Yusupu. Yusupu anano i Eli,
2a0318004c	anano i Matati, anano i Lewi, anano i Malaki, anano i Yanai, anano i Yusupu,
2a0319004d	anano i Matika, anano i Amosi, anano i Nahumi, anano i Heseli, anano i Nagai,
2a031a004b	anano i Maati, anano i Matika, anano i Simei, anano i Yoseki, anano i Yoda,
2a031b004f	anano i Yohana, anano i Resa, anano i Serubabe, anano i Sealitie, anano i Neri,
2a031c004a	anano i Malaki, anano i Adi, anano i Kosami, anano i Elimada, anano i Ere,
2a031d004c	anano i Yesua, anano i Eliese, anano i Yorimi, anano i Matati, anano i Lewi,
2a031e004e	anano i Simeo, anano i Yahuda, anano i Yusupu, anano i Yonami, anano i Eliaki,
2a031f0049	anano i Melea, anano i Mina, anano i Matata, anano i Nata, anano i Daudi,
2a03200049	anano i Isai, anano i Obe, anano i Boasi, anano i Salamo, anano i Nahaso,
2a03210062	anano i Abinada, anano i Adimini, anano i Arini, anano i Heseroni, anano i Peresi, anano i Yahuda,
2a0322004c	anano i Yako, anano i Isaki, anano i Burahima, anano i Tera, anano i Nahori,
2a0323004c	anano i Serugi, anano i Rehu, anano i Pelegi, anano i Ebere, anano i Salamo,
2a0324004c	anano i Kenani, anano i Arapasa, anano i Semu, anano i Noha, anano i Lameki,
2a03250051	anano i Metusala, anano i Heno, anano i Yaredi, anano i Mahaleli, anano i Kenani,
2a03260039	anano i Enosi, anano i Seti, anano i Adama, anaRo Ue Ala.
2a04010069	I Yesu buke ako Penao Mempori pekuleNo umbu ai korono Yarade. Penao Mempori waweꞌiRo leko ai konde one.
2a040200a3	Patopulu olo epieno Nopoꞌia ai konde one, lehea i Yesu noꞌaraꞌarahakeo Ueno onisu. Aso tempo laꞌa i Yesu lano huru monggaa mbio-mbio, ooto kaNo mokoninggo.
2a0403005c	Kano potae Ueno onisu ndi Yesu, “Iiko anaRo Ue Ala, tenaꞌoto wasu nie kano gagi roti.”
2a0404004f	Nopotae i Yesu, “Nio ai laro Sura Tutulu, mia tuwu lano butu umbu ai roti.”
2a0405008a	Umari laꞌa Ueno onisu waweo i Yesu ai poꞌianga henu medongke, butu aso pebiroꞌakaa nopokokiteoꞌakeo pomparentaꞌa ai wawontolino.
2a040600af	Nopotae Ueno Onisu ndi Yesu, “Lowono pabawa kaa sugiꞌa minggi kuweeꞌakoMu, akono lowono nie akuto wineaꞌako kaa iaku minggi meweangakeo ndi baineitokaa henu inehenggu.
2a04070041	Bau penggolutu mesomba ndi iaku, lowono sie minggi gagi tiaMu.”
2a04080061	Nopotae i Yesu, “Nio ai laro Sura Tutulu, pesombaio Ue Alamu ka butu ndi Umboro au petenunu.”
2a04090086	Umari laꞌa Ueno onisu waweo i Yesu ai mumunge Raha Mempori ai Yerusale, kano potae, “Iiko anaRo Ue Ala, pedontaihakoto umbu endea,
2a040a004f	akono nio ai laro Sura Tutulu, Ue Ala minggi tumenaꞌo malaꞌekaRo gumagaiKo.
2a040b003a	Kaa malaꞌeka minggi sumakaKo, kau tai telano ai wasu.”
2a040c004c	Nopotae i Yesu, “Nio ai laro Sura Tutulu, indo araꞌarahakeo Ue Alamu!”
2a040d007d	Towono Ueno onisu umari moꞌaraꞌarahakeo i Yesu ako manggerupa sie Ueno onisu bintango i Yesu kaa mowusu tempo henu moiko.
2a040e0088	Kanoꞌamba i Yesu buke ako pabawaRo Penao Mempori tekonaiNo mekule ai Galilea kaa teleleto kareba mongkono winowauNo ai poꞌianga sie.
2a040f0048	I Yesu mompaguru ai lowono Raha Pesombaꞌa kaa lowono mia umundeꞌiRo.
2a041000ad	I Yesu hawe ai Nasare, ai inie Nopinokolangkai. Ai olo penao-naoꞌa to Yahudi, menggena mondeeno i Yesu leko ai Raha Pesombaꞌa. I Yesu menggoti minggi mobata Sura Tutulu.
2a0411009b	Kaa mia henu moꞌangga ai Raha Pesombaꞌa moweeꞌakeO sura henu inukino ai Yesaya. Nowunggeho paluluno sura laꞌa, Nohaweꞌo laino nie kaa Nobataꞌo,
2a041200e0	“PenaoRo i Ue nio ndi Iaku, Ue Ala rumosongaNggu mowawo Kareba Moiko tiaro mia karampini, Iaku tinena mompalele motae Ue Ala minggi mokolipahiro mia tinarungku, mokomosueꞌiro mia memorawu kaa mokolipahiro mia binobarasa,
2a04130036	kaa Iaku paleleꞌo haweRo i Ue kumaduduio bawaaRo.”
