2800000006	Matayo
280408005e	Sunga umulugu akamuhola akamutwala migulya akamulagiila utemi wihi nugole akwe nuaunkumbigulu.
2804090030	Akamuila, Kupa aya ihi agunihuele nukunkulya.”
28040a007b	Sunga u Yesu akamuila hega apaite uwe mulugu, kunsoko yandikilwe, mkulye Itunda wako, hange umitumile imilimo ung'wenso du.
28040b003e	Sunga umulugu akamuleka, iamalaika akaza akituma imilimo akwe.
28040c004d	Matungo u Yesu naiwija kina u Yohana waambwa, akahega akalongola ku Galilaya.
28040d0084	Akahega ku Nazareti akenda akatula kikie Kaperanaumu, nikole mpelompelo aluzila Galilaya, mumimbe ni hii ang'wa Zabuloni nu Naftali.
28040e0047	Iye aigeelekile kukondanilya iko naikiligiligwe nu munyakidagu u Isaya.
28040f0069	Kululo ihi ang'wa Zabuloni nihi ang'wa Naftali kulonga kuluzi, itumbi la Yorodani, Galilaya aanyakilungu!
2804100069	Antu nikie mukiti auona uwelu nukulu, nao naikie mumululewa ushi, migulya ao alikilwa nung'waung'welu.”
2804110075	Pumeela matungo yayo u Yesu akandya kutanantya ulukani akazelunga leki imilandu kunsoko utemi wa kigulu wahugeela.”
280412009f	Naugenda mumpelompelo a luzi la Galilaya, akaaona anyandugu abiili, Simoni naiwitangwa Petro, nu Andrea muluna wakwe, ikazetega muluzi kunsoko aiavui a samaki.
2804130038	U Yesu akaaila, nzii ntyati, kumupa uhumi mukivua iantu.
2804140020	Sunga ikaleka inyavu ikamutyata.
28041500d0	U Yesu naikile ulongolekile numuhinzo akaaona anyandugu abiili hangi, Yakobo ng'wana wang'wa Zebedayo, nu Yohana muluna wakwe. Aaze akoli mibina palung'wi nu Zebedayo utata wao akaze tumainyavu yao akaitanga,
2804160038	Shanga ekisinsela ikalileka ibine nu tata ao ikamutyata.
280417008b	U Yesu akagendeela i Galilaya ihi, akaze amanyisa mumapolyo ao, akazetanantya ulukani la utemi wa kigulu, hangi niantu akaza komya indwala.
28041800a3	Inkani yakwe ikenela Isiria ihi, niantu ikaaleta ihi iantu awa niilwala indwala ni makendi, niatile iamintunga, niagwa nkolo nawa niatite igandi. U Yesu akaakomya.
2804190079	Iumbi ikulu la antu likamtyata kupumiila ku Galilaya nuku Dekapoli, Yerusalemu nuku Uyahudi nukupuma kitumbi la Yorodani.
2805010067	U Yesu naewaliona iumbi, akahega akalongola Mulugulu, naewikie pihi, iamanyisigwa akwe akaza kitalakwe.
2805020022	Akaligitya nukuamanyisa, akalunga,
2805030039	“Bahu awa nia kia amunkolo kunsoko utemi wa kigulu wao.
2805040029	Bahu niakite ikinyauwai, azizapumbuligwa.
280505002a	Bahu awa niapolo, kunsoko azizamisala ihi.
2805060041	Bahu awa niakite inzala ni nyota atai kunsoko azizalisigwa ikute.
2805070034	Bahu awania hegelya imilanda nienso aziza hegeligwa.
2805080026	Bahu awa niankolo nza azemuona Itunda.
2805090042	Bahu awa niakaminkanya, nsoko nianso azezitangwa ana ang'wi Tunda.
28050a0042	Bahu awa neitumigwa usese kunsoko atai, nsoko utemi wa kigulu wao.
28050b0053	Bahu unye niantu akumutukila nukumitumya ubi, nukumligitya ubi nuteele kunsoko ane.
28050c006e	Lowi nukulumbiilya kunsoko ikipegwa kanyu kikulu kigulu. Kunsoko inge uu aiaitumilya ubi ianyakidagu nia kali.
28050d00ac	Unye mi munyu wa unkumbigulu umunyu iga ulimilye umulyo wake, ukutula ne munyu hange? Singa ukutula uza kukintu nikingiza inge ukugung'wa kunzi nukupambatwa nimigulu aantu.
28050e0042	Unye miwelu wa unkumbigulu. Ihi nizengilwe mulugulu nishalipihile.
28050f0065	Iantu singa akakilya ulumule nukuluika pihi a nkapu, akumiika migulya, ikualika ihi niakoli munyumba.
2805100070	Leka uwelu wanyu welye kuntongeela aantu kunsoko aione intendo yanyu ninza hangi amukulye utata wanyu nuakigulu.
280511005c	Leki kusigiili kina ainzile gazanja uzipiili nia anyakidagu. Singa zegazanja zilekondanilya.
2805120068	Kutai kumuila unkumbigulu nihi ihi ukile hangi kutile uzipiilya hata nung'wi, mpaka nuzetula wakondigwa.
28051300c0	Kululo wihi nuibananga ilagiilyo ninino nilamalagiilyo aya nukuamanyisa kituma niangiza uu ukitangwa munino muutemi wa kigulu. Inge gwa wihi nuiambile nukuimanyisa ukitangwa muutemi wa kigulu.
2805140063	Kunsoko numuie itai anyu igehite kumikelinkela itai a mafarisayo, shanga mukingile mtemi wa kigulu.
280515005a	Amigulu ikali ailambuwe kina leka, “kubulaga” numubulagi wihi ukole mubii wa ulamulya.
28051600e7	Hangi kumuila wihi ni shumuloilwe muluna akwe ukutula ukole mubii wa ulamulwa. Hangi muntu wihi nukumuila umunyandugu wakwe kina shufaile! ukutula mubii wianza. Nuyu wihi nuilunga uwe wimupungu, ukutula mubii wa moto wamu jehanamu.
280517005e	Ang'wi ukupumya isongeelyo kuntongeela ikumbikilo, kunu aza mileile numunyandugu shamiungamie,
2805180080	Lileke isongeelyo pa ntongeela pi kumbikilo, uambi nzila ende miungamile hanza numunyandugu wako, usuke uzupumye gwa isongeelyo.
280519009b	Kayi igombi numilei wako munzila nimukili mulongoe kianza, hakamuhite kigombya umilei wako uhumile akuleke mumikono angwa mlamuli hangi ugung'we kukitungo.
28051a003a	Tai numuie shangaukulekelwa mpaka mulipe impia nimudaigwe.
28051b002c	Migule iligitigwe kina leka, “Kugoolya.”
28051c0046	Numuie kina wihi nukumugoza umusungu nukumulowa wagoolya munkolo akwe.
28051d00a6	Ang'wi iliho lako nila mukono wako nua kigoha lenda kutwala muibe, liheje uligume kule nuewe, ikatula bahu muili unino ugung'we unukulu uguneke kugung'wa ku jehanamu.
28051e0070	Ang'we umukono wa kigoha inda nsoko akukumpa uteme ugume kuli, sunga umuili nungiza uleke kugung'wa ku jehanamu.
28051f0053	Itambuwe kina wihi nukumuzunsa umusungu wakwe ampe ikilingisilyo kutai na ulamulwa.
280520009c	Une numuie wihi nukumleka umusungu wakwe nsoko a ugoolya, ukutula wituma usambo. Hangi wihi nukumuhugela anga wapegwa ulamulwa wa tai ukutula wituma usambo.
2805210061	Hangi migule aitambuue kuantu ao niakali, leki kutambuli uteele, kululo twali itai anyu kumukulu.
2805220056	Une numuie, leki kutambula hata niniino, ang'wi kigulu, nsoko kung'wanso kung'witunda.
280523007c	Ang'wi mihi, nsoko wieka ituntu lakupambatilya impambatilyo yakwe ang'wi Yerusalemu, nsoko ingi kisali ni kamutemi numukulu.
2805240058	Leka kulapa nitwe lako, kunsoko shukulipeula isingi ling'we litule lyelu ang'wi ilwaalu.
2805250059	Ingi gwa inkani yanyu, tai, tai, singau, singa u, kunsoko ayo nakangeelya ipuma kumulugu.
2805260035	Migule iligitigwe kina, liho na liho ni lino na lino.
2805270066	Une numuie leki inkungumi nu muntu nu mubii, anga wakukua ikunda nilamkono wa kigoha mupiuele nilulya.
280528005d	Ang'wi wihi nuloilwe kulongola nuewe kianza anga wakuhegelya inkanzu ako, muleke ni joho lao.
2805290053	Nuyu wihi nukuonyeelya kulongola muhinzo ung'we, longola nung'wenso mihinzo ibiili.
28052a0040	Wihi nukulompa mpe, hangi uleke kumuhita uyu nutakile umukopise.
28052b0044	Migule iligitigwe mlowe umunyakisali wako, na umuhukilwe umubi wako.
28052c0038	Kululo numuie, alowi iabi anyu, alompeeli awa nimutasha.
28052d0079	Ingi gwa mutule miano wang'wa tata wanyu nuakigulu, kunsoko wialikila ilyoa iabi niaza. Hangi wikuisa imbula kuabi niaza.
28052e0054	Anga mualowe ao nizamualoilwe nye, mipata kintu kii? Aiahoela mpia shaituma ne itii?
28052f0054	Anga mulamushe ianyandugu anyu du mipata ntuni kua uya? Ianyakilungu shaituma ne uu?
2805300049	Kululo ihumikile mutule mia tai, anga utata wanyu nuakigulu nukoli mutai.
2806010087	Tula miho uleke kituma intendo niyatai kuntongeela aantu nukielya kitalao, nsoko shukupata ukembetwa kupuma kung'wa tata nukole kigulu.
2806020092	Kululo nukupumya leka kukua impembe nukikulya anga ao niielya niakoli mumatekeelo numuisali, nsoko iantu aakulye, tai numuie asingiilya uziza wao.
2806030059	Uwe nukupuma, umukono wako nuakikema uleke kulinga iko nikekitung'wa numukono nua kigoha.
2806040068	Ingi gwa ikintu kako kipumigwe kwa kinkunku. Pang'wanso utata ako nuiona unkunku ako ukuupa imaintu ako.
28060500ab	Hangi nukulompa, uleke kutula anga ao niielya, kunsoko ilowa kimika nukulompa mumatekeelo numumpelo ya isali, nsoko agozwe niantu. Tai numuie akondilye kupegwa ipegwa yao.
28060600a1	Kululo gwa, angawahia kulompa ingile munyumba lugaila umulango ulompe kung'wa Tata ako nukole kunkunku. Pang'wanso utata ako nuiona unkunku ukuupa ikipegwa kako.
2806070086	Nukulompa leka kusukila sukiila inkani ningila insoko anga anyakilungu niituma, isiga kina akigigwa kunsoko amakani du niakumaligitya.
2806080070	Kululo, uleke kutula anga nianso, kunsoko utata ao aiwalinga kina atakile ntuni nianso akazi akili kanu kulompa.
280609003d	Ingi lompa iti: Tata witu nukoli kilunde lina lako likuligwe.
28060a003c	Utemi wako uze, ulowa wako witume mihi anga nuituma kilunde.
28060b001c	Ukupe indya yitu nia leliye.
28060c003a	Ukulekele imilandu anga usese nikialekela awa naiakukosee.
28060d0032	Uleke kuutwala muma geng'wa, ukupugamule numulugu.
28060e005f	Anga itule mukualekela iantu imilandu ao, nunyenye utata anyu nuakigulu nung'wenso ukumulekela.
28060f004e	Ang'wi shamukualekela imilandu ao ka nu tata anyu shukumulekela imilandu anyu.
2806100089	Matungo ihi nakiima leka kigeeleke anga ao niilya, akunye imakelu ao anwe kina iimile kuntongeela aantu. Tai kuila asingiilya ipegwa yao.
2806110042	Kululo uewe niwiimile, paka imakuta itwe lako, hangi woje usu ako.
2806120089	Ingi shaikigeeleka kuntongeela aantu kina wiimile, ikutula kung'wa Tata ako nuakinkunku. Nu tata ako nuiona unkunku ukuupa ikipegwa kako.
280613004c	Leka kiekilya ikiuto kako munu mihi akoli agazanji, nii ii niibunanga nukia.
2806140063	Iekelya ikiuto kako kigulu, kung'wanso kulile anga agazanji, hangi tile anga ii niakubunanga nukia.
280615003e	Kunsoko kuna kiuto kako kikoli, kuko ni nkolo ako izize ikoli.
2806160054	I liho lumuli la muili. Kululo ang'wi iliho lako ipanga, muili wihi ukizuligwa welu.
2806170093	Anga itule iliho lako ibe, umuili wako wihi ukizula kiti nikibe. Anga itule uwelu nuukole mitalako wa ki ti nangulu, ikiti kikutula kikulu nangulu.
28061800c1	Kutile ata nung'wi nuhumila kuitumila akulu abili, kunsoko ukumuhukilwa ung'wi nukumlowa numungiza, hangi ukipumya kumukulya ung'wi, nukuhita kumukulya umuya. Sha mukumtumi kila Itunda ni nsao.
28061900a5	Kululo kuila, heja uoa wako, kina ukulya ntuni, ang'wi ukung'wa ntuni, ang'wi umuili ako, ukutugala ntuni. Aya hii singa akilingie indya, nu muili ukilinkie utugali?
28061a0098	Goza inyunyi nikoli migulya. Shaitemela, shaikungula hangi shayilingila nukuika misalanga, utata anyu nua kigulu wilesa, unye sha miazane kukila nianso?
28061b0047	Nyenyu nuhumile kiongeela ala uluhiku nulung'wi munu mihi upanga wakwe?
28061c007b	Niki nimukula nuwoa nuakutugala? Si sigiila maua nitula mumagunda nitulakula, shituma anga milimo, hangi shanga akitugalya.
28061d0047	Nkili kumuila kina ata Sulemani mugole wakwe wihi shautugawi ana nanso.
28061e008b	Ng'wi Itunda wiimatugalya imatutu na mumigunda nikie luhiku lung'wi numudau agung'we mumoto, aunye mkulaigaligwa uu, nimutite uhuili unino?
28061f0056	Kululo leki kutula nuwoa, kina kuulya ntuni? Angwe kutendwa ule? angwe kutugala ntuni?
2806200052	Kunsoko ianya kilungu akuduma yayo, nu Tata nyu nuakigulu uineu kina mtakile yayo.
280621004b	Ingi gwa hanza upenzi utemi wakwe ni tai akwe nayi hii mukupegwa kitalakwe.
280622006b	Kululo leka kutula ninkiki nsoko amudau, aya namudau akizipiilya imenso. Kila uluhiku lutete ninkani yakwe.
280701003b	Leka kuakenkya ulamulwa, nuewe uzuleke kukenkigwa ulamulwa.
2807020057	Ulamulwa nuapeza, nue uziza lamuilwa. Ningele nuiapimila nuewe uziza pimilwa yiyo yiyo.
2807030073	Kuniki nukugoza ikipande kamuti nikikoli muliho la mnyandugu ako, kunu shuine ikipande kigogo nikikoli muliho lako?
2807040078	Uhumile ule kulunga kumunyandugu ako, kilaja nukuhegelye igogo nikikoli muliho lako, kunu uewe igogo likoli muliho lako?
2807050091	Wimieli uewe; hangi heja igogo nilikoli muliho lako, hangi pang'wanso ukuhuma kuona iza nukuheja igogo la miti nilikoli muliho la munyandugu ako.
28070600b3	Leka kuipa mbwa iko nikigila imilandu, hangi leka kuigumila ingulima insailo kuutongeela ao. Uhumile kuigazanja nukuipambata namigulu, hangi akupilukila nukutamulanga inino inino.
2807070045	Lompa, nuewe ukupegwa, duma nuewe ukulija, pindula nuewe ukuluguilwa.
2807080059	Wihi nuilompa wisingiilya, nuyu wihi nuiduma wilija, nu muntu wihi nuipindula wiluguilwa.
2807090042	Ang'wi ukoli muntu kitalanyu, ung'wana agalompe indya ukumpa igwe?
28070a0030	Angwe ukumulompa nsamaki, nungwenso amupe nzoka?
28070b0081	Ang'wi unye nimiabe mumanyile kuapa iana anyu ipegwa niza, au Tata nukuli kigulu singaukuapa nangulu imaintu nimaza ao nimulompa?
28070c0067	Kululo gwa, ayo nuilowa kitumilwa niako, nuewe uitumile iako uu. Kunsoko nuanso uzipilya numunyakidagu.
28070d0084	Ingili kukiila ikihepeelo nikipinyi. Kunsoko ikihepeelo nikigali ni nzila ningali ihongile kuubi hangi antu idu ikiila inzila nanso.
28070e0066	Ikihepeelo nikipinyi, ikihepeelo nikipinyi ingi nzila nilongoe kuupanga hangi akehu niahumile kumiona.
28070f0056	Ihambe nianyakidagu niautelee, azile aze atugae ndili ya nkolo, nianso mbugi ni ntaki.
280710005a	Kuntendo yao mukualinga. Iantu ahumile na kukungula indya mumija, ang'wi itini mumibaruti.
2807110049	Kululo umuti nuuza wituga indya ninziza, nu muti nuubi wituga ndya nimbi.
2807120054	Umuti nuuza shanga uhumile kutuga indya nimbi. Nu muti nuubi shaukutuga indya ninza.
2807130041	Muti wihi nishaukutuga indya ninza ukuteng'wa nukugung'wa mumoto.
2807140024	Kululo ukualinga kukiila ntendo yao.
2807150071	Singa ihi nimbila, mukulu mukulu, akingila mutemi wa kilunde, aoiti du niituma ulowa wang'wa Tata nana nuakigulu.
2807160096	Antu idu azimbila uluhiku nulanso, mukumukulu kua lina lako, shaikuhegelye iamintunga kua lina lako, hangi kukiila lina lako shaikitumile ne nimakulu?
280717005b	Pang'wanso ziza aila kimazali, shanumulingile unyenye! Hegi kitalane, unye nimituma nimabi!
280718006b	Kululo wihi niwija inkani yane nukuityata ukimpyana numuntu numuhugu nauzengile inyumba akwe migulya nigwe.
2807190065	Mbula ikakua, imazi akizula, nung'wega ukiza ukamikua inyumba pihi, kunsoko aizengilwe migulya migwe.
28071a0068	Uyu niwija ulukani lane, ahite kulukela, ikimpyanigwa numuntu numupungu nuzengele inyumba mihanga hanga.
28071b0054	Mbula ikaza, mazi akaza, nung'wega ukaza ukamikua ikagwa, nungwi wake ukatula ukulu.
28071c005f	Ikapika matungo u Yesu naiwakondya kuligitya inkani nianso, umilundo ukakuilwa numanyisi wakwe.
28071d0049	Kululo aiwiamanyisa anga muntu nukite uhumi, hangi singa anga aandiki ao.
2808010048	Matungo u Yesu naukusima pihi kupuma mulugulu, milundo ukulu ukamutyata.
280802006e	Goza, umunyambili akaza kuntongeela akwe, akalunga “Mukulu, ang'wi wihambile, uhumile kunzipya ntule nimuza.
280803007a	U Yesu akagoola umkono akwe nukumuamba, akalunga, “Nihambile utule wing'welu.” Matungo yayo akazipigwa imbili ikahila.
28080400ad	U Yesu akamuila, “Goza uleke kumuila muntu wihi. Ambi nzila ako, hangi ulongole uewe ende umulagile umdimi, upumye nisongeelyo numusa au iagiiye, kunsoko awikengi wako.”
2808050050	Matungo u Yesu akapika Kapernaumu, munyangulu ung'wi akaza kitalakwe akamuuliza,
2808060067	akalunga, “Mukulu, umitumi ane ulae munyumba ukete ulwae wigandi hangi umuili utete uwai wakogopa.”
2808070026	U Yesu akamuila, nzile nukumukamya.”
2808080090	Umunyangulu akasukiilya hangi akamuila, “Mukulu unene niantuni ni mpaka nize ningile munyumba ako. Tambula ulukani du numitumi ane ukukomigwa.
28080900bd	Kunsoko une nimuntu ninkite uhumi ntete anino ane anyangulu, akanunge kung'wa uyu “Longola” wilongola nukumuya, nzuu nung'wenso wiiza, nukumitumi wane. Itume iti, nung'wenso ukituma uu.
28080a008a	Matungo u Yesu naiwija aya, akakuilwa, akaila ao naiamutyatile, tai namuita nkili kuona umuntu nukite uhuili anga uyu mihi iyi na Israeli.
28080b0063	Idu azile akupuma kilya ning'weli, akikie palung'wi nu Abrahamu, Isaka nu Yakobo muutemi wa kigulu.
28080c005d	Ingigwa iana autemi akugung'wa mukiti nikakunzi, pang'wanso izitula kililo kakasia namino.”
28080d0072	U Yesu akamuila umunyangulu, “Longola! Anga nauhuie, na itule anga uu kitalako, nu mitumi akagunika itungo lilo.
28080e0074	Matungo nu Yesu aupikile munyumba ang'wa Petro, akamuona umukwingwa ang'wa Petro nuakisungu ulae akazimulwae ndwala.
28080f004e	U Yesu akamuamba umukono wake, nindyala ikahega, sunga akauka akatula muailya.
2808100076	Naipikile impindi antu idu ikamuletela u Yesu antu idu naikaiwe niamintunga. Akaazunsa iamintunawa naialwae akaakomya.
