0100000006	Genesi
01011a00dd	E Dio disse: «Facciamo l'uomo a nostra immagine, a nostra somiglianza, e domini sui pesci del mare e sugli uccelli del cielo, sul bestiame, su tutte le bestie selvatiche e su tutti i rettili che strisciano sulla terra».
01011b0058	Dio creò l'uomo a sua immagine; a immagine di Dio lo creò; maschio e femmina li creò.
01011c00ce	Dio li benedisse e disse loro: «Siate fecondi e moltiplicatevi, riempite la terra; soggiogatela e dominate sui pesci del mare e sugli uccelli del cielo e su ogni essere vivente, che striscia sulla terra».
01011d00a2	Poi Dio disse: «Ecco, io vi do ogni erba che produce seme e che è su tutta la terra e ogni albero in cui è il frutto, che produce seme: saranno il vostro cibo.
01011e00bb	A tutte le bestie selvatiche, a tutti gli uccelli del cielo e a tutti gli esseri che strisciano sulla terra e nei quali è alito di vita, io do in cibo ogni erba verde». E così avvenne.
01011f0061	Dio vide quanto aveva fatto, ed ecco, era cosa molto buona. E fu sera e fu mattina: sesto giorno.
010201004e	Così furono portati a compimento il cielo e la terra e tutte le loro schiere.
0102020079	Allora Dio, nel settimo giorno portò a termine il lavoro che aveva fatto e cessò nel settimo giorno da ogni suo lavoro.
010203007a	Dio benedisse il settimo giorno e lo consacrò, perché in esso aveva cessato da ogni lavoro che egli creando aveva fatto.
0102040071	Queste le origini del cielo e della terra, quando vennero creati. Quando il Signore Dio fece la terra e il cielo,
01020500a8	nessun cespuglio campestre era sulla terra, nessuna erba campestre era spuntata - perché il Signore Dio non aveva fatto piovere sulla terra e nessuno lavorava il suolo
010206004d	e faceva salire dalla terra l'acqua dei canali per irrigare tutto il suolo -;
010207008a	allora il Signore Dio plasmò l'uomo con polvere del suolo e soffiò nelle sue narici un alito di vita e l'uomo divenne un essere vivente.
0102080063	Poi il Signore Dio piantò un giardino in Eden, a oriente, e vi collocò l'uomo che aveva plasmato.
01020900c8	Il Signore Dio fece germogliare dal suolo ogni sorta di alberi graditi alla vista e buoni da mangiare, tra cui l'albero della vita in mezzo al giardino e l'albero della conoscenza del bene e del male.
01020a0061	Un fiume usciva da Eden per irrigare il giardino, poi di lì si divideva e formava quattro corsi.
01020b005f	Il primo fiume si chiama Pison: esso scorre intorno a tutto il paese di Avìla, dove c'è l'oro
01020c0057	e l'oro di quella terra è fine; qui c'è anche la resina odorosa e la pietra d'ònice.
01020d0052	Il secondo fiume si chiama Ghicon: esso scorre intorno a tutto il paese d'Etiopia.
01020e005e	Il terzo fiume si chiama Tigri: esso scorre ad oriente di Assur. Il quarto fiume è l'Eufrate.
01020f0062	Il Signore Dio prese l'uomo e lo pose nel giardino di Eden, perché lo coltivasse e lo custodisse.
0102100064	Il Signore Dio diede questo comando all'uomo: «Tu potrai mangiare di tutti gli alberi del giardino,
010211007f	ma dell'albero della conoscenza del bene e del male non devi mangiare, perché, quando tu ne mangiassi, certamente moriresti».
010212006b	Poi il Signore Dio disse: «Non è bene che l'uomo sia solo: gli voglio fare un aiuto che gli sia simile».
010213010a	Allora il Signore Dio plasmò dal suolo ogni sorta di bestie selvatiche e tutti gli uccelli del cielo e li condusse all'uomo, per vedere come li avrebbe chiamati: in qualunque modo l'uomo avesse chiamato ognuno degli esseri viventi, quello doveva essere il suo nome.
010214009f	Così l'uomo impose nomi a tutto il bestiame, a tutti gli uccelli del cielo e a tutte le bestie selvatiche, ma l'uomo non trovò un aiuto che gli fosse simile.
010215008c	Allora il Signore Dio fece scendere un torpore sull'uomo, che si addormentò; gli tolse una delle costole e rinchiuse la carne al suo posto.
0102160062	Il Signore Dio plasmò con la costola, che aveva tolta all'uomo, una donna e la condusse all'uomo.
0102170092	«Questa volta essa è carne dalla mia carne e osso dalle mie ossa. La si chiamerà donna perché dall'uomo è stata tolta». Allora l'uomo disse:
010218006d	Per questo l'uomo abbandonerà suo padre e sua madre e si unirà a sua moglie e i due saranno una sola carne.
010219004e	Ora tutti e due erano nudi, l'uomo e sua moglie, ma non ne provavano vergogna.
01030100bc	Il serpente era la più astuta di tutte le bestie selvatiche fatte dal Signore Dio. Egli disse alla donna: «E' vero che Dio ha detto: Non dovete mangiare di nessun albero del giardino?».
010302005b	Rispose la donna al serpente: «Dei frutti degli alberi del giardino noi possiamo mangiare,
010303008b	ma del frutto dell'albero che sta in mezzo al giardino Dio ha detto: Non ne dovete mangiare e non lo dovete toccare, altrimenti morirete».
0103040038	Ma il serpente disse alla donna: «Non morirete affatto!
0103050080	Anzi, Dio sa che quando voi ne mangiaste, si aprirebbero i vostri occhi e diventereste come Dio, conoscendo il bene e il male».
01030600dd	Allora la donna vide che l'albero era buono da mangiare, gradito agli occhi e desiderabile per acquistare saggezza; prese del suo frutto e ne mangiò, poi ne diede anche al marito, che era con lei, e anch'egli ne mangiò.
010307007f	Allora si aprirono gli occhi di tutti e due e si accorsero di essere nudi; intrecciarono foglie di fico e se ne fecero cinture.
01030800a7	Poi udirono il Signore Dio che passeggiava nel giardino alla brezza del giorno e l'uomo con sua moglie si nascosero dal Signore Dio, in mezzo agli alberi del giardino.
010309003c	Ma il Signore Dio chiamò l'uomo e gli disse: «Dove sei?».
01030a0067	Rispose: «Ho udito il tuo passo nel giardino: ho avuto paura, perché sono nudo, e mi sono nascosto».
01030b007c	Riprese: «Chi ti ha fatto sapere che eri nudo? Hai forse mangiato dell'albero di cui ti avevo comandato di non mangiare?».
01030c0064	Rispose l'uomo: «La donna che tu mi hai posta accanto mi ha dato dell'albero e io ne ho mangiato».
01030d0078	Il Signore Dio disse alla donna: «Che hai fatto?». Rispose la donna: «Il serpente mi ha ingannata e io ho mangiato».
01030e00e8	«Poiché tu hai fatto questo, sii tu maledetto più di tutto il bestiame e più di tutte le bestie selvatiche; sul tuo ventre camminerai e polvere mangerai per tutti i giorni della tua vita. Allora il Signore Dio disse al serpente:
01030f008b	Io porrò inimicizia tra te e la donna, tra la tua stripe e la sua stirpe: questa ti schiaccerà la testa e tu le insidierai il calcagno».
01031000a1	«Moltiplicherò i tuoi dolori e le tue gravidanze, con dolore partorirai figli. Verso tuo marito sarà il tuo istinto, ma egli ti dominerà». Alla donna disse:
01031100f1	All'uomo disse: «Poiché hai ascoltato la voce di tua moglie e hai mangiato dell'albero, di cui ti avevo comandato: Non ne devi mangiare, maledetto sia il suolo per causa tua! Con dolore ne trarrai il cibo per tutti i giorni della tua vita.
010312003b	Spine e cardi produrrà per te e mangerai l'erba campestre.
0103130095	Con il sudore del tuo volto mangerai il pane; finchè tornerai alla terra, perchè da essa sei stato tratto: polvere tu sei e in polvere tornerai!».
010314004a	L'uomo chiamò la moglie Eva, perché essa fu la madre di tutti i viventi.
0103150047	Il Signore Dio fece all'uomo e alla donna tuniche di pelli e le vestì.
01031600d7	Il Signore Dio disse allora: «Ecco l'uomo è diventato come uno di noi, per la conoscenza del bene e del male. Ora, egli non stenda più la mano e non prenda anche dell'albero della vita, ne mangi e viva sempre!».
0103170065	Il Signore Dio lo scacciò dal giardino di Eden, perché lavorasse il suolo da dove era stato tratto.
0103180092	Scacciò l'uomo e pose ad oriente del giardino di Eden i cherubini e la fiamma della spada folgorante, per custodire la via all'albero della vita.
0104010072	Adamo si unì a Eva sua moglie, la quale concepì e partorì Caino e disse: «Ho acquistato un uomo dal Signore».
0104020065	Poi partorì ancora suo fratello Abele. Ora Abele era pastore di greggi e Caino lavoratore del suolo.
010403004c	Dopo un certo tempo, Caino offrì frutti del suolo in sacrificio al Signore;
0104040069	anche Abele offrì primogeniti del suo gregge e il loro grasso. Il Signore gradì Abele e la sua offerta,
010405005e	ma non gradì Caino e la sua offerta. Caino ne fu molto irritato e il suo volto era abbattuto.
010406005c	Il Signore disse allora a Caino: «Perché sei irritato e perché è abbattuto il tuo volto?
01040700a2	Se agisci bene, non dovrai forse tenerlo alto? Ma se non agisci bene, il peccato è accovacciato alla tua porta; verso di te è il suo istinto, ma tu dòminalo».
010408008c	Caino disse al fratello Abele: «Andiamo in campagna!». Mentre erano in campagna, Caino alzò la mano contro il fratello Abele e lo uccise.
0104090088	Allora il Signore disse a Caino: «Dov'è Abele, tuo fratello?». Egli rispose: «Non lo so. Sono forse il guardiano di mio fratello?».
01040a0052	Riprese: «Che hai fatto? La voce del sangue di tuo fratello grida a me dal suolo!
01040b0067	Ora sii maledetto lungi da quel suolo che per opera della tua mano ha bevuto il sangue di tuo fratello.
01040c006b	Quando lavorerai il suolo, esso non ti darà più i suoi prodotti: ramingo e fuggiasco sarai sulla terra».
01040d004d	Disse Caino al Signore: «Troppo grande è la mia colpa per ottenere perdono?
01040e00a9	Ecco, tu mi scacci oggi da questo suolo e io mi dovrò nascondere lontano da te; io sarò ramingo e fuggiasco sulla terra e chiunque mi incontrerà mi potrà uccidere».
01040f00b7	Ma il Signore gli disse: «Però chiunque ucciderà Caino subirà la vendetta sette volte!». Il Signore impose a Caino un segno, perché non lo colpisse chiunque l'avesse incontrato.
010410004e	Caino si allontanò dal Signore e abitò nel paese di Nod, ad oriente di Eden.
010411008b	Ora Caino si unì alla moglie che concepì e partorì Enoch; poi divenne costruttore di una città, che chiamò Enoch, dal nome del figlio.
0104120065	A Enoch nacque Irad; Irad generò Mecuiaèl e Mecuiaèl generò Metusaèl e Metusaèl generò Lamech.
0104130045	Lamech si prese due mogli: una chiamata Ada e l'altra chiamata Zilla.
0104140059	Ada partorì Iabal: egli fu il padre di quanti abitano sotto le tende presso il bestiame.
0104150064	Il fratello di questi si chiamava Iubal: egli fu il padre di tutti i suonatori di cetra e di flauto.
0104160081	Zilla a sua volta partorì Tubalkàin, il fabbro, padre di quanti lavorano il rame e il ferro. La sorella di Tubalkàin fu Naama.
01041700b7	Ada e Zilla, ascoltate la mia voce; mogli di Lamech, porgete l'orecchio al mio dire: Ho ucciso un uomo per una mia scalfittura e un ragazzo per un mio livido. Lamech disse alle mogli:
010418003c	Sette volte sarà vendicato Caino ma Lamech settantasette».
01041900b8	Adamo si unì di nuovo alla moglie, che partorì un figlio e lo chiamò Set. «Perché - disse - Dio mi ha concesso un'altra discendenza al posto di Abele, poiché Caino l'ha ucciso».
01041a0069	Anche a Set nacque un figlio, che egli chiamò Enos. Allora si cominciò ad invocare il nome del Signore.
0105010064	Questo è il libro della genealogia di Adamo. Quando Dio creò l'uomo, lo fece a somiglianza di Dio;
0105020052	maschio e femmina li creò, li benedisse e li chiamò uomini quando furono creati.
010503006a	Adamo aveva centotrenta anni quando generò a sua immagine, a sua somiglianza, un figlio e lo chiamò Set.
0105040053	Dopo aver generato Set, Adamo visse ancora ottocento anni e generò figli e figlie.
010505003d	L'intera vita di Adamo fu di novecentotrenta anni; poi morì.
010506002f	Set aveva centocinque anni quando generò Enos;
0105070057	dopo aver generato Enos, Set visse ancora ottocentosette anni e generò figli e figlie.
010508003b	L'intera vita di Set fu di novecentododici anni; poi morì.
010509002d	Enos aveva novanta anni quando generò Kenan;
01050a005d	Enos, dopo aver generato Kenan, visse ancora ottocentoquindici anni e generò figli e figlie.
01050b003c	L'intera vita di Enos fu di novecentocinque anni; poi morì.
01050c0034	Kenan aveva settanta anni quando generò Maalaleèl;
01050d0061	Kenan dopo aver generato Maalaleèl visse ancora ottocentoquaranta anni e generò figli e figlie.
01050e003c	L'intera vita di Kenan fu di novecentodieci anni; poi morì.
01050f003a	Maalaleèl aveva sessantacinque anni quando generò Iared;
010510005e	Maalaleèl dopo aver generato Iared, visse ancora ottocentrenta anni e generò figli e figlie.
0105110049	L'intera vita di Maalaleèl fu di ottocentonovantacinque anni; poi morì.
0105120037	Iared aveva centosessantadue anni quando generò Enoch;
0105130056	Iared, dopo aver generato Enoch, visse ancora ottocento anni e generò figli e figlie.
0105140042	L'intera vita di Iared fu di novecentosessantadue anni; poi morì.
010515003b	Enoch aveva sessantacinque anni quando generò Matusalemme.
0105160070	Enoch camminò con Dio; dopo aver generato Matusalemme, visse ancora per trecento anni e generò figli e figlie.
0105170038	L'intera vita di Enoch fu di trecentosessantacique anni.
0105180042	Poi Enoch cammino con Dio e non fu più perché Dio l'aveva preso.
010519003e	Matusalemme aveva centottantasette anni quando generò Lamech;
01051a0067	Matusalemme, dopo aver generato Lamech, visse ancora settecentottantadue anni e generò figli e figlie.
01051b0049	L'intera vita di Matusalemme fu di novecentosessantanove anni; poi morì.
01051c0039	Lamech aveva centottantadue anni quando generò un figlio
01051d0097	e lo chiamò Noè, dicendo: «Costui ci consolerà del nostro lavoro e della fatica delle nostre mani, a causa del suolo che il Signore ha maledetto».
01051e0065	Lamech, dopo aver generato Noè, visse ancora cinquecentonovantacinque anni e generò figli e figlie.
01051f0046	L'intera vita di Lamech fu di settecentosettantasette anni; poi morì.
010520003c	Noè aveva cinquecento anni quando generò Sem, Cam e Iafet.
0106010052	Quando gli uomini cominciarono a moltiplicarsi sulla terra e nacquero loro figlie,
0106020066	i figli di Dio videro che le figlie degli uomini erano belle e ne presero per mogli quante ne vollero.
0106030088	Allora il Signore disse: «Il mio spirito non resterà sempre nell'uomo, perché egli è carne e la sua vita sarà di centoventi anni».
01060400cf	C'erano sulla terra i giganti a quei tempi - e anche dopo - quando i figli di Dio si univano alle figlie degli uomini e queste partorivano loro dei figli: sono questi gli eroi dell'antichità, uomini famosi.
0106050089	Il Signore vide che la malvagità degli uomini era grande sulla terra e che ogni disegno concepito dal loro cuore non era altro che male.
0106060056	E il Signore si pentì di aver fatto l'uomo sulla terra e se ne addolorò in cuor suo.
01060700aa	Il Singore disse: «Sterminerò dalla terra l'uomo che ho creato: con l'uomo anche il bestiame e i rettili e gli uccelli del cielo, perché sono pentito d'averli fatti».
010608002d	Ma Noè trovò grazia agli occhi del Signore.
0106090069	Questa è la storia di Noè. Noè era uomo giusto e integro tra i suoi contemporanei e camminava con Dio.
01060a002a	Noè generò tre figli: Sem, Cam, e Iafet.
01060b003b	Ma la terra era corrotta davanti a Dio e piena di violenza.
01060c006f	Dio guardò la terra ed ecco essa era corrotta, perché ogni uomo aveva pervertito la sua condotta sulla terra.
01060d00a8	Allora Dio disse a Noè: «E' venuta per me la fine di ogni uomo, perché la terra, per causa loro, è piena di violenza; ecco, io li distruggerò insieme con la terra.
01060e006f	Fatti un'arca di legno di cipresso; dividerai l'arca in scompartimenti e la spalmerai di bitume dentro e fuori.
01060f006c	Ecco come devi farla: l'arca avrà trecento cubiti di lunghezza, cinquanta di larghezza e trenta di altezza.
0106100098	Farai nell'arca un tetto e a un cubito più sopra la terminerai; da un lato metterai la porta dell'arca. La farai a piani: inferiore, medio e superiore.
010611009c	Ecco io manderò il diluvio, cioè le acque, sulla terra, per distruggere sotto il cielo ogni carne, in cui è alito di vita; quanto è sulla terra perirà.
010612007b	Ma con te io stabilisco la mia alleanza. Entrerai nell'arca tu e con te i tuoi figli, tua moglie e le mogli dei tuoi figli.
0106130081	Di quanto vive, di ogni carne, introdurrai nell'arca due di ogni specie, per conservarli in vita con te: siano maschio e femmina.
01061400c2	Degli uccelli secondo la loro specie, del bestiame secondo la propria specie e di tutti i rettili della terra secondo la loro specie, due d'ognuna verranno con te, per essere conservati in vita.
0106150078	Quanto a te, prenditi ogni sorta di cibo da mangiare e raccoglilo presso di te: sarà di nutrimento per te e per loro».
0106160042	Noè eseguì tutto; come Dio gli aveva comandato, così egli fece.
0107010087	Il Signore disse a Noè: «Entra nell'arca tu con tutta la tua famiglia, perché ti ho visto giusto dinanzi a me in questa generazione.
0107020094	D'ogni animale mondo prendine con te sette paia, il maschio e la sua femmina; degli animali che non sono mondi un paio, il maschio e la sua femmina.
0107030077	Anche degli uccelli mondi del cielo, sette paia, maschio e femmina, per conservarne in vita la razza su tutta la terra.
010704008c	Perché tra sette giorni farò piovere sulla terra per quaranta giorni e quaranta notti; sterminerò dalla terra ogni essere che ho fatto».
0107050030	Noè fece quanto il Signore gli aveva comandato.
010706004e	Noè aveva seicento anni, quando venne il diluvio, cioè le acque sulla terra.
0107070079	Noè entrò nell'arca e con lui i suoi figli, sua moglie e le mogli dei suoi figli, per sottrarsi alle acque del diluvio.
0107080065	Degli animali mondi e di quelli immondi, degli uccelli e di tutti gli esseri che strisciano sul suolo
010709005d	entrarono a due a due con Noè nell'arca, maschio e femmina, come Dio aveva comandato a Noè.
01070a003e	Dopo sette giorni, le acque del diluvio furono sopra la terra;
01070b00c9	nell'anno seicentesimo della vita di Noè, nel secondo mese, il diciassette del mese, proprio in quello stesso giorno, eruppero tutte le sorgenti del grande abisso e le cateratte del cielo si aprirono.
01070c0042	Cadde la pioggia sulla terra per quaranta giorni e quaranta notti.
01070d007f	In quello stesso giorno entrò nell'arca Noè con i figli Sem, Cam e Iafet, la moglie di Noè, le tre mogli dei suoi tre figli:
01070e00f0	essi e tutti i viventi secondo la loro specie e tutto il bestiame secondo la sua specie e tutti i rettili che strisciano sulla terra secondo la loro specie, tutti i volatili secondo la loro specie, tutti gli uccelli, tutti gli esseri alati.
01070f0058	Vennero dunque a Noè nell'arca, a due a due, di ogni carne in cui è il soffio di vita.
0107100086	Quelli che venivano, maschio e femmina d'ogni carne, entrarono come gli aveva comandato Dio: il Signore chiuse la porta dietro di lui.
0107110071	Il diluvio durò sulla terra quaranta giorni: le acque crebbero e sollevarono l'arca che si innalzò sulla terra.
010712005d	Le acque divennero poderose e crebbero molto sopra la terra e l'arca galleggiava sulle acque.
0107130075	Le acque si innalzarono sempre più sopra la terra e coprirono tutti i monti più alti che sono sotto tutto il cielo.
0107140050	Le acque superarono in altezza di quindici cubiti i monti che avevano ricoperto.
010715008e	Perì ogni essere vivente che si muove sulla terra, uccelli, bestiame e fiere e tutti gli esseri che brulicano sulla terra e tutti gli uomini.
010716005e	Ogni essere che ha un alito di vita nelle narici, cioè quanto era sulla terra asciutta morì.
01071700d3	Così fu sterminato ogni essere che era sulla terra: con gli uomini, gli animali domestici, i rettili e gli uccelli del cielo; essi furono sterminati dalla terra e rimase solo Noè e chi stava con lui nell'arca.
010718003d	Le acque restarono alte sopra la terra centocinquanta giorni.
01080100a9	Dio si ricordò di Noè, di tutte le fiere e di tutti gli animali domestici che erano con lui nell'arca. Dio fece passare un vento sulla terra e le acque si abbassarono.
0108020061	Le fonti dell'abisso e le cateratte del cielo furono chiuse e fu trattenuta la pioggia dal cielo;
0108030058	le acque andarono via via ritirandosi dalla terra e calarono dopo centocinquanta giorni.
0108040050	Nel settimo mese, il diciasette del mese, l'arca si posò sui monti dell'Ararat.
0108050081	Le acque andarono via via diminuendo fino al decimo mese. Nel decimo mese, il primo giorno del mese, apparvero le cime dei monti.
010806008e	Trascorsi quaranta giorni, Noè aprì la finestra che aveva fatta nell'arca e fece uscire un corvo per vedere se le acque si fossero ritirate.
010807004c	Esso uscì andando e tornando finché si prosciugarono le acque sulla terra.
0108080057	Noè poi fece uscire una colomba, per vedere se le acque si fossero ritirate dal suolo;
01080900ce	ma la colomba, non trovando dove posare la pianta del piede, tornò a lui nell'arca, perché c'era ancora l'acqua su tutta la terra. Egli stese la mano, la prese e la fece rientrare presso di sé nell'arca.
01080a0045	Attese altri sette giorni e di nuovo fece uscire la colomba dall'arca
01080b009a	e la colomba tornò a lui sul far della sera; ecco, essa aveva nel becco un ramoscello di ulivo. Noè comprese che le acque si erano ritirate dalla terra.
01080c0058	Aspettò altri sette giorni, poi lasciò andare la colomba; essa non tornò più da lui.
01080d00ca	L'anno seicentouno della vita di Noè, il primo mese, il primo giorno del mese, le acque si erano prosciugate sulla terra; Noè tolse la copertura dell'arca ed ecco la superficie del suolo era asciutta.
01080e0045	Nel secondo mese, il ventisette del mese, tutta la terra fu asciutta.
01080f0013	Dio ordinò a Noè:
0108100050	«Esci dall'arca tu e tua moglie, i tuoi figli e le mogli dei tuoi figli con te.
01081100dc	Tutti gli animali d'ogni specie che hai con te, uccelli, bestiame e tutti i rettili che strisciano sulla terra, falli uscire con te, perché possano diffondersi sulla terra, siano fecondi e si moltiplichino su di essa».
0108120037	Noè uscì con i figli, la moglie e le mogli dei figli.
0108130091	Tutti i viventi e tutto il bestiame e tutti gli uccelli e tutti i rettili che strisciano sulla terra, secondo la loro specie, uscirono dall'arca.
010814007f	Allora Noè edificò un altare al Signore; prese ogni sorta di animali mondi e di uccelli mondi e offrì olocausti sull'altare.
01081500e3	Il Signore ne odorò la soave fragranza e pensò: «Non maledirò più il suolo a causa dell'uomo, perché l'istinto del cuore umano è incline al male fin dalla adolescenza; né colpirò più ogni essere vivente come ho fatto.
010816006a	Finché durerà la terra, seme e messe, freddo e caldo, estate e inverno, giorno e notte non cesseranno».
0109010065	Dio benedisse Noè e i suoi figli e disse loro: «Siate fecondi e moltiplicatevi e riempite la terra.
01090200c8	Il timore e il terrore di voi sia in tutte le bestie selvatiche e in tutto il bestiame e in tutti gli uccelli del cielo. Quanto striscia sul suolo e tutti i pesci del mare sono messi in vostro potere.
010903005a	Quanto si muove e ha vita vi servirà di cibo: vi do tutto questo, come gia le verdi erbe.
0109040045	Soltanto non mangerete la carne con la sua vita, cioè il suo sangue.
01090500bc	Del sangue vostro anzi, ossia della vostra vita, io domanderò conto; ne domanderò conto ad ogni essere vivente e domanderò conto della vita dell'uomo all'uomo, a ognuno di suo fratello.
0109060075	Chi sparge il sangue dell'uomo dall'uomo il suo sangue sarà sparso, perché ad immagine di Dio Egli ha fatto l'uomo.
0109070051	E voi, siate fecondi e moltiplicatevi, siate numerosi sulla terra e dominatela».
0109080028	Dio disse a Noè e ai sui figli con lui:
0109090056	«Quanto a me, ecco io stabilisco la mia alleanza coni vostri discendenti dopo di voi;
01090a007f	con ogni essere vivente che è con voi, uccelli, bestiame e bestie selvatiche, con tutti gli animali che sono usciti dall'arca.
01090b0092	Io stabilisco la mia alleanza con voi: non sarà più distrutto nessun vivente dalle acque del diluvio, né più il diluvio devasterà la terra».
01090c008c	«Questo è il segno dell'alleanza, che io pongo tra me e voi e tra ogni essere vivente che è con voi per le generazioni eterne. Dio disse:
01090d0054	Il mio arco pongo sulle nubi ed esso sarà il segno dell'alleanza tra me e la terra.
01090e0042	Quando radunerò le nubi sulla terra e apparirà l'arco sulle nubi
01090f00a2	ricorderò la mia alleanza che è tra me e voi e tra ogni essere che vive in ogni carne e noi ci saranno più le acque per il diluvio, per distruggere ogni carne.
010910008c	L'arco sarà sulle nubi e io lo guarderò per ricordare l'alleanza eterna tra Dio e ogni essere che vive in ogni carne che è sulla terra».
0109110072	Disse Dio a Noè: «Questo è il segno dell'alleanza che io ho stabilito tra me e ogni carne che è sulla terra».
010912005a	I figli di Noè che uscirono dall'arca furono Sem, Cam e Iafet; Cam è il padre di Canaan.
0109130047	Questi tre sono i figli di Noè e da questi fu popolata tutta la terra.
0109140042	Ora Noè, coltivatore della terra, cominciò a piantare una vigna.
0109150052	Avendo bevuto il vino, si ubriacò e giacque scoperto all'interno della sua tenda.
0109160063	Cam, padre di Canaan, vide il padre scoperto e raccontò la cosa ai due fratelli che stavano fuori.
01091700c4	Allora Sem e Iafet presero il mantello, se lo misero tutti e due sulle spalle e, camminando a ritroso, coprirono il padre scoperto; avendo rivolto la faccia indietro, non videro il padre scoperto.
010918005b	Quando Noè si fu risvegliato dall'ebbrezza, seppe quanto gli aveva fatto il figlio minore;
0109190059	«Sia maledetto Canaan! Schiavo degli schiavi sarà per i suoi fratelli!». allora disse:
01091a0046	Disse poi: «Benedetto il Signore, Dio di Sem, Canaan sia suo schiavo!
01091b004f	Dio dilati Iafet e questi dimori nelle tende di Sem, Canaan sia suo schiavo!».
01091c0034	Noè visse, dopo il diluvio, trecentocinquanta anni.
01091d003f	L'intera vita di Noè fu di novecentocinquanta anni, poi morì.
010a010066	Questa è la discendenza dei figli di Noè: Sem, Cam e Iafet, ai quali nacquero figli dopo il diluvio.
010a020044	I figli di Iafet: Gomer, Magog, Madai, Iavan, Tubal, Mesech e Tiras.
010a03002b	I figli di Gomer: Askenaz, Rifat e Togarma.
010a040042	I figli di Iavan: Elisa, Tarsis, quelli di Cipro e quelli di Rodi.
010a05009d	Da costoro derivarono le nazioni disperse per le isole nei loro territori, ciascuno secondo la propria lingua e secondo le loro famiglie, nelle loro nazioni.
010a06002e	I figli di Cam: Etiopia, Egitto, Put e Canaan.
010a07005a	I figli di Etiopia: Seba, Avìla, Sabta, Raama e Sàbteca. I figli di Raama: Saba e Dedan.
010a08004a	Ora Etiopia generò Nimrod: costui cominciò a essere potente sulla terra.
010a09007a	Egli era valente nella caccia davanti al Signore, perciò si dice: «Come Nimrod, valente cacciatore davanti al Signore».
010a0a004d	L'inizio del suo regno fu Babele, Uruch, Accad e Calne, nel paese di Sennaar.
010a0b004a	Da quella terra si portò ad Assur e costruì Ninive, Recobot-Ir e Càlach
010a0c0039	e Resen tra Ninive e Càlach; quella è la grande città.
010a0d0032	Egitto generò quelli di Lud, Anam, Laab, Naftuch,
010a0e0036	Patros, Casluch e Caftor, da dove uscirono i Filistei.
010a0f002e	Canaan generò Sidone, suo primogenito, e Chet
010a100025	e il Gebuseo, l'Amorreo, il Gergeseo,
010a11001d	l'Eveo, l'Archita e il Sineo,
010a120056	l'Arvadita, il Semarita e l'Amatita. In seguito si dispersero le famiglie dei Cananei.
010a13008c	Il confine dei Cananei andava da Sidone in direzione di Gerar fino a Gaza, poi in direzione di Sòdoma, Gomorra, Adma e Zeboim, fino a Lesa.
