2800000008	Maatoosa
2801120093	Yesuus Kiristtoosa yelintta taarike hyannippa kaallizanno. E intta Mayrama Yoosefas oocintti yezite Yoosefa ekkikaayzin Geeshi Ayyaanappa wodaxida.
280113006c	Yoosefa xillo as maaqqide gisho izo as gidda kessodes koykaaya. Yinnii gisho aachchii izo ashshodes qoppida.
28011400b0	E yinna qofite yezin Xoozze kiitanchcho abukkora qonccii, «Dawute na7ay, Yoosefa, ne oocide Mayrama wodaxide Geeshi Ayyaanappa maaqqide gisho izo ekkodes zhashtippe» yagayda.
280115006a	Iza dhiiratsi na7a yeloda, E fa worzhito un nagarttippa ashshize gisho E suntsito ne Yesuusa ga7i xeegoda.
280116001d	Laatstse nabe Isayaasa doona.
28011700c8	«Yikke wudurtta wodaxoda; dhiiratsi na7an yeloda; E suntsita Ammanu7eela ga7inttoda» ga7inttidanna folinttode fana hyanna ubbanna hyanida. Ammanu7eela gaazannis bilitsita «Xoozii nuura yene» ga7e.
280118005c	Yoosefa genttoppa barkki Laatstse kiitanchchuntsi kiittidanni fana Mayramo fa kara kanggida.
280119005e	Yezin fa anggis na7aya yelode wontsis izo girmmikaaya; Yelinttide na7aya Yesuusa ga7i xeegida.
2802010085	Kaat Heroodosa wode Yesuusa Yihuda sa7a Beetaleme katama yelinttidannippa suuba xoolintto bi7i asuntsi awa kessappa Yerusalaame yi7i,
280202007c	«Yelinttide Ayhude kaatize aba yene? Nuunii awa kessi zalara kezii E xoolinttiza bi7i eesi goynodes yi7ida» Yaga7i oocida.
2802030054	Kaati Heroodosa yinno si7ide wode tannida. Yerusalaame yeze asuntsi ubbanna tannida.
280204007f	Heroodosa kahinunts hyalaquntsanan higge asttamaaruntsana faago xeegii, «Kiristtoosa aba yelinttessa?» yaga7i unttana oocida.
2802050021	Unttin, Yihuda Beeteleme; nabize,
2802060097	«‹Yihuda yeze Beetaleme, Yihuda yeze damma Katamuntsappa, neenii akkon eroos. Ta worzhito Isra7eele ahoday, neeppa kezoda› ga7i xaafida» yagayda.
280207007b	Yinnippa suuba, Heroodosa awa kessappa yi7ide asuntsana aachchii xeegii, xoolinttiza un bi7ide wode unttappa loytsii erida.
28020800a8	E unttana Beetaleme dakkitera, «Hyanggi yelinttide na7aya mintsii koyote; eza yin denggide wode taanin hyanggi eesi goynode gaar maaqqii yi7itera taas ohote» yagayda.
2802090090	Unttin Kaat Heroodosa gaydanno si7i hyanggida. Un awa kessi zalara hyanggi xoolinttize unttana kaalitsitera na7ay yeze besito yellodes kanggida.
28020a0034	Un ye xoolinttiza bi7ide wode damma ufays ufayttida.
28020b008c	Keetstsa gelii na7ay fa inttii Mayramira yezaya bi7ida. Eesi bunqqunttii goynida. Fa saaxintto bugii worqqan, ixaanen karbbe eesi shiishida.
28020c005d	Un Heroodosago suub maaqqaame fana Xoozii abukkora unttis ohin, melle ogera fa gade maaqqida.
28020d010a	Awa kessi zalara yi7ide asuntsi qitidannippa suuba, Laatstse kiitanchchize Yoosefas abukkora qonccii, «Heroodosa na7aya wodhodes koyze gisho denddii; ellisii na7ayan na7ay intton ekkii Gibxxe gade qito. Ne maaqqade wode ta nees ohode wontsis yeyga gam77o» yagayda.
28020e0054	Yinnii gisho, Yoosefa yinna qammite denddii, na7ayan na7a intto ekkii Gibxxe qitida.
28020f0090	Nabe doontte Xoozii, «Taanii, ta na7aya, Gibxxe gadeppa xeegida»ga7inttide qaaltta folinttode gaar Heroodosa hyayqqode wontsis E yeyga yezida.
2802100111	Yinnippa suuba, awa Kessi zalara yi7ide asuntsi eza cimmidanno eride wode gaama zhilidhdhida. E tiino unttappa si7idanni fana Beetelemen yinna gutute yeze lam77i bere kumiduntsanan lam77i bereppa yeekkara yeze dhiiratsi na7untsana ubba fa wottaddaruntsana dakkii wodhizida.
28021100af	Nabe Ermmiyasa doontte, «Yeefon yeefo dentse, Raama katama sinttida. Raahela fa na7untsis yeekkane; un hyayqqide gisho minggodes dandda7ikaaya» ga7i ohinttidanna folinttida.
2802130055	Heroodosa hyayqqidanippa suuba Gibxxe Laatstse kiitanchcho Yoosefas abukkora qonccii,
2802140072	«Na7aya wodhodes koyze asuntsi hyayqqide gisho denddii na7ayan na7ay intto ekkii Isra7eele gade maaqqo» yagayda.
2802150042	Yoosefa denddii na7ayan na7ay intto ekkii Isra7eele gade maaqqida.
2802160098	Yezin Arkkeliyoosa Yihuda fa ade Heroodisa besite ka7itidanno si7ide wode yeyga hyanggodes zhashtida. Xoozii abukkora eesi qonccizin Galila gade qitida.
2802170078	Nabunts doontte, «Naazirete asi ga7inttoda» yaga7i ohinttidanna folinttode fana Naazirete katama hyanggi yeyga yezida.
2803010089	Ye wode Xammaqize Wahannisa, «Xoozze ka7itumo ukkide gisho yin nagarappa maaqqote» yaga7i sabbakitera Yihuda akko baayze ganasa qitida.
28030300b9	Nabe Isayaasa Wahannisa baz ohidanni fana, «Akko baayze ganasa, fetay fa qaaltto dhoqi yiizi, ‹Laatstse ogito giigizote. E worogito luulizote› gayda» yaga7inttidanna eesi yagayda.
280304007f	Wahannisa gimale isintseppa oochinttide afula ma77ane. Fa qazintten dafe saqqe danccane. E mu7ize katsitan boolen dekera shida.
2803050062	Asuntsi ye wode Yerusalaame katamappa, Yihuda sa7a ubbappa Yorddaanosa borkka kaleppa eego ye7ine.
2803060043	Fa nagartto buuxi Yorddaanosa borkka Wahannisa kushe xammaqinttida.
28030700b5	Wahannisa, gaama Farisaawuntsin saduqaawuntsi xammaqinttodes faago yi7izuntsana bi7i, unttago, «Hyantsi iita shooshuntso, yo7ode Xoozze kachchappa attode fana yinttana oode zoride?
280308003f	Yikke, Yin, yin nagarttippa maaqqidanno beezze oocha oochchote.
2803090091	Yin, yin wozintte, ‹Abrahama, nu aday yene› yaga7i qoppipete. Loytsii si7ote! Xoozii hyanna shuchchitippa Abrahamas na7a kessodes dandda7ane.
28030a005b	Gandde minxiti xaphite giigii yene; lo77o aafe aafoosse minxa ubba gachchii tama olinttoda.
28030b00e3	«Yin, yin nagarttippa maaqqidanno ersodes ta yinttana hyaatsa xammaqane. Yezin taappa suubara ye7ize yinttana Geeshi ayyaanaran tamara xammaqoda. E taappa gaama wolqqara yene; ta melle atto yezin E caammito tukkodesin beezoos.
28030c008f	Katstsa geeshize fitsita E kushite yene. Katsito loytsii geeshane; zargito fa fachite gussoda, yezin fugito dhaboosse tama michchoda» yagayda.
28030d0056	Ye wode Yesuusa Wahannisa kushe xammaqinttodes Galilappa Yorddaanosa borkka hyanggida.
28030e0062	Yezin Wahannisa eza kayodes koyi «Taanii neera xammaqinttodes beezzin ne taago ye7ine?» yagayda.
28030f0087	Yezin Yesuusa mahi, «Xoozii nuuppa koyze baz ubba nu folodes beezze gisho hyatte taas ero ga7o» yagayda. Wahannisa ees yee7e yagayda.
280310008b	Yesuusa xammaqinttide fana hyaatsitippa kezida. Iira salo bugunttin Xoozze Ayyaana wolle fana ye7oderan mahi faalla afa wodhdhodera bi7ida.
280311005e	Ye wode «Hyaychche ta kadhize, E tana ufaysize ta na7ay hyaya» yagaaze qaala saloppa yi7ida.
2804010061	Yinnippa suuba, Xalahe Yesuusa fattanode gaar Geeshi Ayyaana Yesuusa akko baayze ganasa kanggida.
280402003a	Oyttam qamman oyttam awara xoomidannippa suuba naydhdhida.
2804030069	Xalahe Yesuusago yi7i «Ne Xooz na7a maaqqiko, ane hyay shuchchiza soollo maaqqade fana kiitto» yagayda.
2804040092	Yesuusa mahi, «‹Asi Xoozze doonappa kezze qaala ubbanne yessadep attin soollo xalaalara yezoos› ga7intti Xoozze qaaltte xaafinttida»yagayda.
280405004b	Mahin, Xalahe Yesuusa geeshi katama kanggi, Xoozze keetsitis ommite kessii,
28040600e9	«Ne Xooz na7a maaqqiko, ane sulle sa7a gol7o. Akkos gayko, «‹Ne tohita shuchchalla dhubunttaame fana, fa kushtira nena dentsode fana, Xoozii fa kiitanchchuntsana ne gisho kiittoda› ga7intti Xoozze qaaltte xaafinttida» yagayda.
280407006d	Yesuusa eego, «mahi, ‹Xoozze qaaltte ne Laatstsa, ne Xoozza fatanippe› yaga7i xaafinttida» ga7i mahida.
2804080067	Wurssutsite Xalahe Yesuusa fettii damma dere omma kessii alame ka7itumo un bonchchtira fettilla beezii,
280409003e	«Ne taas gol7i goyniko ta nees hyanno ubba inggoda» yagayda.
28040a0097	Yesuusa mahi, «Hyay Xalahizayo, taappa hyaakko! ‹Ne Laatstsa, ne Xoozza goyno, E xalaalas kiitintto› gayntti Xoozze qaaltte xaafinttida» yagayda.
28040b0049	Yinnippa suuba, Xalahe ashshii qitida; kiitanchchuntsi yi7i eza maaddida.
28040c003f	Yesuusa, Wahannisa acinttidanno si7ide wode Galila gade qitida.
28040d006e	Naazirete katama ashshii Zaabiloonen Niftaaleme guta, abba kale yeze Qifirnahoome katama hyanggi yeyga yezida.
28040e0027	Yinna hyanidanna nabe Isayaasa doontte,
28040f007b	«Zaabiloone gaden, Niftaaleme gade, Yorddaanosa borkkappa seko fintsa abba oge, Ayhude maaqqoosse worzhuntsis yeze Galila,
280410007c	dhuma yeze worzha, damma foo7o bi7ida. Hyayqo dasho gade, yezuntsis foo7o kezida» yaga7i ohinttide qaaltta folinttode fana.
280411006b	Ye wodeppa dentsii Yesuusa, «Xooz ka7itumo ukkide gisho yin nagarttippa maaqqote» yaga7i qaala sabbakida.
28041200ad	Yesuusa Galila Abba kalera aadhitera lam77i ishuntsana, Phexiroosa ga7inttize Simoonan E isha Inddirase bi7ida. Un molo aykkizuntsana maaqqide gisho fa gitito abballa olida.
2804130075	Yesuusa unttana, «Hyankka yo7ote; tana kaallote! Molo aykkizanno ashshii, ta yinttana as ayfo tamaarssoda» yagayda.
2804140034	Un, ellisii fa gitito olii ashshii Yesuusa kaallida.
28041500c2	Yesuusa yeygappa hyaga gode tiino aadhitera melle lam77i ishuntsana, Zabdiyoosa na7untsana, Yayqooban Wahannisan bi7ida. Fa aday Zabdiyoosara wolla gongge gidda fa gitito loytsizuntsana xeegida.
280416003c	Un, ellisii fa gonggiton fa adayan ashshii Yesuusa kaallida.
2804170094	Yesuusa Ayhude woosa keetstsa tamaarssitera, salo ka7itumo Wonggele ohitera dumma dumma hyarggeppa asuntsana fatstsitera Galila sa7a ubbanne wutida.
28041800d9	Yinnippa denddii E suntsita Sooriya gade ubba erinttida. Dumma dumma hyarggera aykinttiduntsanan waayinttizuntsana, tuna ayyaanara aykinttiduntsana, biicora yezuntsana, wobbuntsana eego ki7ida; ezin unttana fatstsida.
2804190093	Asuntsi Galilappa, taphphi katamuntsappa, Yerusalaameppa, Yihudappan Yorddaanosa borkka seko fintsa yeze gadeppa yi7ide gaama asuntsi eza kaallida.
280501005c	Gaama worzha shiiqidanno Yesuusa bi7i derella afa kezii bettida. E tamaaruntsi eego shiiqin,
2805020020	Hyannii gaar yaga7i tamaarssida:
2805030049	«Fa ayyaantte daha maaqqiduntsi anjjinttiduntsana, salo ka7itumo unttis.
2805040035	Yeekizuntsi anjjinttiduntsana, un mintsitse denggoda.
2805050034	Wozina aaduntsi anjjinttiduntsana, un sa7a laattoda.
2805060055	Xillotitsi oochchodes naydhdhizuntsin bardhdhizuntsi anjjinttiduntsana, un mishshada.
2805070036	Maarizuntsi anjjinttiduntsana, un maarotitsi denggoda.
2805080038	Wozina geeshshuntsi anjjinttiduntsana, un Xoozii be7ada.
2805090041	Giigizuntsi anjjinttiduntsana, un Xooz na7a ga7intti xeeginttoda.
28050a0059	Xillotitsi oochchize gisho ga7i, bay7inttizuntsi anjjinttiduntsana, salo ka7itumo unttis.
28050b0082	«Asuntsi yinttana ta gisho ga7i cazhize wode bay7ize woden yinttalla afa iita baz ubba worddora ohize wode yin anjjinttiduntsana.
28050c007a	Yin anjjita salo damma maaqqide gisho ufayttote, loytsii ufayttote. Yinttappa tiino yezide nabuntsana yinnii gaar bay7ida.
28050d007f	«Yin sa7as sooge; sooge fa mal77itumtto ashshiko, wayzi mahi denggode? Bale dhogiko asara yedhinttanep attin akkosin maaddoos.
28050e0045	«Yin sa7as foo7o; derella afa yeze katamita aachinttodes dandda7oos.
28050f0072	Xomppe aytsii keetstsa yeze asuntsi ubbuntsis foo7ode gaar dhoqqa bessa gaddanep attin gabate gidda gaddize baaya.
280510006b	Yinnii gaar asuntsi yin lo77o oochito bi7i, salo yeze yin adaya bonchchode gaar yin foo7ita as tiino foo7o.
280511009b	«Taanii Muse higgiton nabunts qaala shaarodes yi7ida yinttis aazippe. Taanii, un ohidanna turo maaqqidanno qonccissades yi7idap attin shaarodes yi7ikaaya.
280512007a	Ta yinttis turo ohine; salon sa7a aadhode wontsis higge ubba folinttodep attin higgitifa fettii qaala woy fidaale aadhoos.
280513010c	Yinnii gisho, hyanna kiititippa eerize fettii kiitan mentsize ooden mahi melluntsana yinnii gaar oochchode gaar tamaarssize ooden salo ka7itumo ubbuntsappa eeratsi maaqqada. Yezin hyanna kiitto folizen melluntsanan folode gaar tamaarssize salo ka7itumo damma maaqqada.
2805140082	Ta yinttis ohine; yin xillotitsita Farisaawunts xillotitsappan higge asttamaarunts xillotitsappa aadhanxiko, salo ka7itumo geloos.
280515005b	«Yin mayzuntsis, ‹Wodhippete; shemppo wodhide ooden firdinttoda› ga7inttidanno si7ida.
28051600b8	Yezin ta yinttis ohine; fa ishaya cazhize ooden firdinttoda. Fa ishaya cazhize ooden daynna tiino firddas shiiqoda. Fa ishego, ‹Eeyay› gaaze ooden mahi gaanname tamite firdinttoda.
2805170052	«Yinnii gisho, ne ne zharsho zharshize wode ne ishaya qohide baz nees tiirnttiko,
2805180079	Ne zharshito iza besite ashshii ashshii qito; tiino hyanggi ne ishayra giigo; yeyzi maaqqii, ne zharshito Xoozis zharsho.
28051900a8	«Nena mootizera firdda keetstsa hyanggitera ogella eera giigo. Yinna atto gayko E nena daynna tiino kanggoda. Daynnize nena accizes aatsii inggoda; E nena woyne oloda.
28051a0080	Ta turo ohine; neella afa firddinttide acito fettii santtime attikaayzin ciggii hyaasode wontsis achi keetstsappa mulon kezaama.
28051b0040	«Hyannippa zaga, ‹Olale hyanttippete› ga7inttidanno si7ida.
28051c004e	Yezin ta yinttis ohine, maacho bi7i, amudhdhide ubba fa wozintte iira olalida.
28051d0097	Ne mizaqi aafize nees nagaras mikinaate maaqqiko, kessii olo. Ne galtta kumutsita gaanname tama wodhdhodannippa ne gallitippa fetay dhabiko nees lo77o.
28051e009f	Ne mizaqi kushize nees nagaras mikinaate maaqqiko, eza gachchii olo. Ne galtta kumutsita gaanname tama wodhdhodannippa ne gallitippa fetay dhabiko, nees lo77o.
28051f0042	«‹Fa machchito dakkize ooden dafo warqqate inggo› ga7inttida.
2805200094	Yezin ta yinttis ohine; fa machchito olalikaayzin billize ooden iza olalode gaar oochchane. Yinnii gaaran, dakinttide machchito ekkize ubba olalida.
2805210066	«Yin mayzuntsago, ‹Worddo caaqqippete; yin Xoozze tiino caaqqidanno folote› ga7inttidanno si7ida.
2805220061	Yezin ta yinttis ohine; mulon caaqqippete. Xoozii bettize oyda maaqqide gisho salora caaqqippete.
2805230078	E tohita yedhdhize bessi maaqqide gisho sa7ara caaqqippete. Damma kaat katama maaqqide gisho Yerusaalaameran caaqippete.
280524005d	Yin ommitippa fetaya bootsi woy kartsi mahodes dandda7oosse gisho yin yin ommite caaqqippete.
2805250061	Yinnii gisho, yin qaaltta, ‹Yee› woy ‹Ade› maaqqo. Yinnippa bale kezize xalaheppa ye7ine.
2805260042	«‹Aafe gisho aafe; achchi gisho achchi› ga7inttidanno si7ida.
2805270088	Yezin ta yinttis ohine; yinttalla afa iita baz oochchize atstsa ixxippete. Ooden ne mizaqi dhookiza baqqiko ne workkita dhookizan beezo.
280528004f	Fettii asi ne shaamiza wolqqara ekkodes nena mootiko, ne kootizan gujjii inggo.
280529007c	Fettii asi nena wolqqara fa baz toossii fettii saate oge faara hyanggode gaar nena un7itsiko, eera lam77i saate oge hyanggo.
28052a003d	Woossize oodesin inggo; neeppa tal77odes koyko oonan kayippe.
28052b0044	«‹Nena kadhiza kadho; nena ixxizaya ixxo› ga7inttidanno si7ida.
28052c0050	Yezin ta yinttis ohine; yin morkkuntsana kadhote; yinttana qohizuntsis woossote.
28052d00a0	Yinnii gaar yin oochchiko, salo yeze yin adays yin na7untsana maaqqada. E iituntsisin lo77untsis awa kassane; xilluntsisin nagaranchchuntsisin fa ira bukkizane.
28052e0086	Yinttana kadhize asuntsana xalaala yin kadhiko, yinttis akko tirfe yeze? Melle atto yezin, gabe qaraxe gachchizuntsin yinno oochchane.
28052f008a	Yin, yin ishuntsana xalaala saritsiko, melluntsappa akko aadhizebaz oochchidote? Melle atto yezin, Xooz ammanoose asuntsi yinno oochchane.
2805300046	Yikke, salo yeze yin aday folo maaqqidanni fana yinttin folo maaqqote.
2806010082	«Asi bo7o ga7i yin lo77o oochito as tiino oochaame fana naaginttote. Yinnii gaar yi7anxiko salo yeze yin adayppa anjjo denggaama.
28060200c4	«Yin dahuntsis inggize wode as tiino bonchchinttodes ga7i cubbuntsi oge gaxan Ayhude woosa keetstsan oochchizanni fana asi bo7o ga7i oochippete. Ta yinttis turo ohine un fa kumutsi anjjito ekkida
2806030059	Yezin yin dahuntsis inggize wode yin mizaqi kushe oochchizanno yin workkita kushe erippe;
2806040061	yin imotta geema maaqqe. Geema bessa oochchizanno be7ize yin aday yinttis anjjito qoncce inggoda.
28060500b5	«Woosa woossittera cubbuntsi gaar yiippete. Un, fana asi bo7o ga7i Ayhude woosa keetstsa oge doontte eqqii woossizanno kadhane. Ta yinttis turo ohine; un fa kumutsi anjjito ekkida.
280606008a	Yezin ne woossize wode ne qol7a gelo, furtsito gorddii geema yeze ne adaya woosso; geema oochinttidanno be7ize ne aday nees anjjo inggoda.
2806070081	Yin woossize wode ammanoosse asunts gaara cer qaala gaantsi woossippete. Un qaalito mahi mahi woossin Xoozii si7ine ga7i qoppane.
2806080073	Yinnii gisho, unttinni gaar yiippete. Akkos gayko, yin aday yinttis akko koshshizako yin woossodanippa tiino erane.
2806090051	«Yikke, yin yaga7i woossote: «Salo yeze nu adayo, ne geeshi suntsita anjjintto.
28060a003f	Ne ka7itumtta yo7o, ne qoftta salo hyanidanni fana sa7an hyano.
28060b0019	Hyayno qumtto nuus inggo.
28060c0044	Nu nuna qohiduntsis, atto gaazanni fana, nuusin nu qohito atto ga7o.
28060d0063	Nuna iitappa ashshop attin faatana geltsippe. [Ka7itumon, wolqqan bonchchon medhina nees. Amin77e.]
28060e0052	«Yin yinttana qohizuntsana atto gayko, salo yeze yin Aday yin qohito atto gawuda.
28060f004b	Yezin yin melle as nagara atto ga7anxiko yin Aday yin nagartto atto ga7oos.
2806100094	«Yin xoomize wode cubbuntsi fana yiippete. Akkos gayko, un xoomizanno asi erode fana fa sintto bootstsane. Ta turo ohine; un fa shilimaatto ekkida.
280611003a	«Yezin ne xoomize wode ne sintto meecco, ne ommito tizho.
28061200a5	Yinnii gaar ne yiiziko ne xoomize xoomtta asappa genggida, yezin geema yeze ne Aday erize xooma maaqqada. Geema oochinttidanno be7ize ne Aday nees shilmaate inggoda.
280613006b	«Bila mu7ize bessa, meqo birize sa7a, kayzo bookkii ekkize sa7a, hyanna sa7ite, yinttis qolo shiishippete.
2806140069	Yezin bila mo7oosse bessa, meqo biroosse bessa, kayzo bookkii ekkoosse bessa salo yinttis qolo shiishote.
280615002a	Ne qoltta yeze besite ne wozintta yessada.
2806160064	«Aafe asatitsis xomppe. Yinnii gisho, ne aafita faxa maaqqiko ne kumutsi asatitsita foo7o maaqqane.
280617009a	Ne aafita hyargginttiza maaqqiko ne kumutsi asatitsita dhuma maaqqane. Yikke, ne gidda yeze foo7ize dhuma maaqqiko, dhuma akko gaar aadhii dhuma maaqqade!
28061800a6	«Fettii asi lam77i Laatstsis aqodes dandda7oos. Fetaya kadhiko hyankkaya ixxane; woy fetaya bonchchiko hyankkaya leqqane. Xoozisin miishesin wolal aqodes dandda7oos.
2806190095	«Yikke, si7ote! yin de7o yessades, ‹Akko ma7ade? Akko ushshade? Akko ma77ode?› ga7i un7inttippete; shemppo katstsappa woy galla ma7oppa aadhoso?
28061a007c	Afa landduntsana bo7ote; un budoos, maxoos, facha geltsoos, yezin yin salo aday unttana muuzane. Yin unttappa gaama aadhoso?
28061b0055	Yin giddappa gaama un7intti fa laytsitilla afa fettii qamma gujjodes dandda7ize yene?
28061c005d	«Mahi yin ma7ize bazis akkos un7intte? Ane fudhuntsana bo7ote, oochchii labboos woy suqqoos.
28061d0064	Si7ote! Melle atto yezin, kaat Solomone fa bonchcho ubbanne hyanna fudhitippa fetay gaar ma77ikaaya.
28061e0095	Yin, ammano faccezuntso, Xoozii hyayno benttii wontta tama wodhdhodes yeze maata yeyzi ma7isizebaz maaqqiko, yinttana unttappa aatsii wayzi ma7isoso?
28061f0050	Yinnii gisho, ‹Akko mo7ode? Akko ushshade? Akko ma7ade?› ga7i un7inttippete.
280620007a	Yinno ubbanno Xooz ammanoose asuntsi gaantsi denggodes un7inttane. Yin salo aday yinna ubbanna yinttis koshshizanno erane.
280621005f	Yezin ubbappa tiino Xoozze ka7itumtton E xillotitsito koyote; yinna ubbanna yinttis gujunttoda.
2806220077	Yinnii gisho, wonttas qoppittera un7inttippete. Wonttana wonttas aqo; fettii fettii qammize faas maaqqade madhara yene.
2807010040	«Yinttalla afa firddinttaame fana melluntsalla afa firddippete.
2807020085	Akkos gayko, melluntsalla afa yin firddizanni fana yinttalla afa firddinttoda; yin melluntsis makkide bazite yinttis mahi makinttoda.
2807030053	Ne aafte yeze tuus fana yezaya bi7ikaayzara ne ishay aafte yeze buuriza akkos be7e?
2807040052	Ne aafte tuusi yessadera ne ishay aafte yeze buuriza kesso gawudes wayzi dandda7e?
2807050085	Naate cubbuzayo, tiinii ne aafte yeze tuusi fana yezaya kesso. Yinnippa suuba, ne ishay aafte yeze buuriza kessodes ne geeshi be7ada.
2807060090	«Suuba maaqqii yinttana dha7aame fana geeshi baz kanuntsis olippete. Fa tohite yedhdhii iissaame fana yin al77o baz gudayluntsi tiino olippete.
280707005a	«Woossote yinttis ingginttoda, koyote yin denggoda, furtsito qunkkote yinttis buginttoda.
2807080056	Woossize oodesin ingginttoda, koyze oodesin benttoda, furtsito qunkkizesin buginttoda.
280709003a	«Yin giddappa na7ay boora woossiko shuchchi inggize oode?
28070a0027	Woy molo woossiko shooshi inggize yene?
28070b0082	Yeezin yin iita maaqqitera yin na7untsis lo77o baz ingge eriko, yin salo aday fana woossizuntsis lo77o baz wayzi gaantsi inggaamo?
28070c008d	Melluntsi yinttis oochchode fana yin koyze baz ubba yinttin melluntsis oochchote. Akkos gayko, Muse higgiten nabuntsi tamaarssizannan hyanno.
28070d0072	«Xuuntsi furtsara gelote; akkos gayko, dhabses kanggize ogize damma, furtsitan dalgga. Iira gelize asuntsi gaama.
28070e004e	Yezin de7ogo kanggize ogitan furtsitan xuuntsi; yeyga gelize asuntsin eeratsi.
28070f0060	«Afara duro aazii fa gaatsite suudhume maaqqii yin gidda gelize worddo nabuntsappa naaginttote.
280710005a	Yin unttana, un aafitippa eroda; anggatsappa woyne aafe, kenchikeloppa hyalimo maxinttoos.
280711004c	Yinnii fana lo77o minxa ubba lo77o aafe aafane; iita minxa iita aafe aafane.
280712004c	Lo77o minxa iita aafe aafoos, mahi iita minxa lo77o aafe aafodes dandda7oos.
280713003a	Lo77o aafe aafoosse minxa ubba gachchintti tama olinttoda.
280714002a	Yinnii gisho, yin unttana, un aafte eroda.
2807150089	«Salo yeze ta aday qoftto oochchize asi salo ka7itumo geloddepp attin cer tana ‹Laatstso, Laatstso› gaaze ubba salo ka7itumo geloos.
280716009a	Firdda qamma gaamuntsi, ‹Laatstso, Laatstso, ne suntsite tinbbite ohika? Ne suntsite tuna ayyaana kessika? Ne suntsite kille baz oochchika?› yaga7oda.
280717005e	Ye wode taanii, ‹Ta yinttana mulon eroos, yin iita oochchizuntso taappa hyaakkote› gawuda.
2807180069	«Yikke, hyanna ta qaaltto si7i oochchize ooden fa keetsito lallalla afa keexxide wozinara yeze asi fana.
2807190071	Ira bukkida, hyaro goggida, baqo baqii ye keetsiza urqqida. Yezin keetsita lallalla keexinttide gisho gol7ikaaya.
28071a005e	Hyanna ta qaaltto si7i oochchoose ooden fa keetsito shafella afa keexxide booza atstsa aazane.
28071b006c	Ira bukkida, hyaro goggida, baqo baqii, ye keetsiza urqqin, ye keetsize gol7ida; E gol7itan damma» yagayda.
28071c0092	Yesuusa fa ohito hyaaside wode E timirttita higge asttamaarunts fana maaqqaanxi adetits wolqqar maaqqide gisho asuntsi E timirttite gaama qoppida.
280801003a	Yesuusa derizeppa wodhize wode gaama asuntsi eza kaallida.
2808020091	Yikke fettii qursuma hyargginttize eego shiiqii, E tiintte bunqqunttii, «Laatstso, ne qofa maaqqiko tana geeshi fatstsodes dandda7ane» yagayda.
2808030062	Yesuusa fa kushito dakkii eza bochchii, «Yee, ta qofa, faxo» yagayda. Atstse iira geezhi attida.
28080400b2	Yesuusa eego, «Ne faxito oodesin ohippe. Yezin hyanggi ne geezhi faxidanno kahinunts beezo. Ne faxidannis markka maaqqade fana hyanggi Muse kiittide zharshito zharsho» yagayda.
280805004c	Yesuusa Qifirnahoome katama yellide wode fettii mato hyalaqize eego shiiqii,
280806004f	«Laatstso, ta arize wobbii gaama waayintti, kara woy7i yene» yaga7i woossida.
2808070037	Yesuusa mahi, «Taanii hyanggi eza fatstsoda» yagayda.
2808080088	Yezin mato hyalaqize mahi, «Laatstso, ne ta kara gelodes ta beezze as baaya, yezin ne hyayga bettii qaala xalaala oho, ta arize faxoda.
