2800000005	Mateo
2801160061	Zvino zvese izvozvi zvakaitwa kuti zvizadziswe zvakarehwa naIshe kubudikidza nemuporofita achiti:
2801170087	Tarira, mhandara ichava nemimba, igobereka Mwanakomana, uye vachatumidza zita rake Emanueri, ndokuti kana zvichishandurwa, Mwari anesu.
280118005f	Zvino Josefa amuka pahope akaita sezvakaraira mutumwa waIshe kwaari, akazvitorera mukadzi wake;
2801190059	uye haana kumuziva kusvikira azvara Mwanakomana wake wedangwe; akatumidza zita rake JESU.
280201008b	Zvino Jesu wakati aberekwa muBhetirehemu reJudhiya, pamazuva aHerodhe mambo, tarira, kwakauya vachenjeri vachibva kumabvazuva kuJerusarema,
280202006a	vachiti: Uripi iye wakazvarwa Mambo weVaJudha? Nokuti taona nyeredzi yake kumabvazuva, tauya kuzomunamata.
2802030048	Zvino Herodhe mambo wakati anzwa, akashushikana, neJerusarema rese naye.
2802040070	Zvino wakati aunganidza vapristi vakuru vese nevanyori vevanhu, akabvunza kwavari kuti Kristu uchazvarirwa kupi.
2802050062	Zvino vakati kwaari: MuBhetirehemu reJudhiya; nokuti zvakanyorwa saizvozvi nemuporofita zvichinzi:
2802060087	Newe Bhetirehemu nyika yaJudha, hausi mudikisa kuvatongi vaJudha; nokuti kwauri kuchabuda mutungamiriri, achafudza vanhu vangu Israeri.
2802070063	Zvino Herodhe, wakati adana vachenjeri muchivande, akabvunzisisa kwavari nguva yakaonekwa nyeredzi.
2802080079	Akavatuma kuBhetirehemu, akati: Endai munobvunzisisa zvemucheche; kana mamuwana mundisume, kuti ini ndiuyewo ndimunamate.
2802090099	Vakati vanzwa mambo, vakabva; zvino tarira, nyeredzi yavakaona kumabvazuva yakavatungamirira, kusvikira yasvika ikamira pamusoro pepakange pane mucheche.
28020a0036	Vakati vaona nyeredzi vakafara nemufaro mukuru kwazvo.
28020b00be	Vakati vapinda mumba, vakaona mucheche naMaria mai vake, vakawira pasi vakamunamata; zvino vakati vazarura fuma yavo, vakamupemberera nezvipo, goridhe, nezvipfungaidzo zvinonhuhwira, nemura.
28020c0074	Vakati vanyeverwa naMwari muchiroto, kuti varege kudzokera kuna Herodhe, vakabva vakaenda kunyika yavo neimwe nzira.
28020d00d3	Vakati vaenda, tarira, mutumwa waIshe anoonekwa kuna Josefa muchiroto, achiti: Muka utore mucheche namai vake, utizire kuEgipita, uveko kusvikira ndichikuudza; nokuti Herodhe achatsvaka mucheche kuti amuparadze.
28020e0049	Zvino amuka wakatora mucheche namai vake usiku, akabva akaenda kuEgipita,
28020f008f	uye wakavako kusvikira pakufa kwaHerodhe; kuti zvizadziswe zvakarehwa naIshe nemuporofita, achiti: Ndakadana mwanakomana wangu abude muEgipita.
28021000ef	Zvino Herodhe, wakati aona kuti anyengerwa nevachenjeri, akatsamwa zvikuru, akatuma, akauraya vana vese vaiva muBhetirehemu nemumigumo yaro yese, kubvira pamakore maviri neari pasi, zvichienderana nenguva yaakange abvunzisisa kuvachenjeri.
280211003c	Zvino zvakazadziswa zvakarehwa naJeremiya muporofita achiti:
2802120080	MuRama rakanzwika inzwi, kuungudza nekuchema nekurira kukuru, Rakeri achichema vana vake asingadi kunyaradzwa, nokuti havachipo.
280213005a	Asi Herodhe wakati afa, tarira, mutumwa waIshe wakaonekwa muchiroto kuna Josefa muEgipita,
280214006f	achiti: Muka, utore mucheche namai vake, uende kunyika yaIsraeri; nokuti vakafa avo vaitsvaka mweya wemucheche.
2802150043	Akasimuka ndokutora mucheche namai vake akasvika kunyika yaIsraeri.
28021600af	Asi wakati achinzwa kuti Arikerawo anotonga muJudhiya panzvimbo yababa vake Herodhe, akatya kuendako; asi wakati anyeverwa naMwari muchiroto, akabva akaenda kumativi eGarirea.
280217006d	Akasvika akagara muguta rinonzi Nazareta; kuti zvizadziswe zvakarehwa nevaporofita, kuti: Achanzi muNazareta.
280301004d	Pamazuva iwayo kwakauya Johwani Mubhabhatidzi, achiparidza murenje reJudhiya,
2803020039	uye achiti: Tendeukai; nokuti ushe hwematenga hwaswedera.
280303008f	Nokuti uyu ndiye wakarehwa nezvake naIsaya muporofita, achiti: Inzwi reanodanidzira murenje: Gadzirirai mugwagwa waIshe, ruramisai nzira dzake.
2803040096	Uyuwo Johwani waiva nechipfeko chake chemakushe ekamera nebhanhire rechikumba rakapoteredza chiuno chake; nekudya kwake kwaiva mhashu neuchi hwedondo.
2803050058	Zvino kwakabudira kwaari Jerusarema neJudhiya rese nedunhu rese rakapoteredza Joridhani;
280306003f	ndokubhabhatidzwa naye muna Joridhani vachireurura zvivi zvavo.
28030700a8	Asi wakati achiona vazhinji veVaFarisi neVaSadhusi vachiuya kurubhabhatidzo rwake akati kwavari: Zvizvarwa zvenyoka, ndiani wakakuratidzirai kuti mutize hasha dzinouya?
2803080033	Naizvozvo berekai zvibereko zvakafanira kutendeuka.
280309009d	Uye musafunga kutaura mukati menyu muchiti: Tina Abhurahama anova baba; nokuti ndinoti kwamuri: Mwari anokwanisa kubva pamabwe aya kumutsira Abhurahama vana.
28030a0083	Uye ikozvinowo sanhu ratoiswa pamudzi wemiti, naizvozvo muti umwe neumwe usingaiti chibereko chakanaka unotemwa ugokandirwa mumoto.
28030b00cf	Ini zvirokwazvo ndinokubhabhatidzai nemvura mupinde mukutendeuka; asi uyo anouya shure kwangu ane simba kupfuura ini, wandisina kufanira kutakura shangu dzake; iye achakubhabhatidzai neMweya Mutsvene nemoto.
28030c0092	Ane rusero rwuri muruoko rwake, uye achachenesa buriro rake kwazvo, ndokuunganidzira zviyo zvake mudura, asi hundi achaipisa nemoto usingadzimiki.
28030d0056	Ipapo Jesu wakabva Garirea akasvika paJoridhani kuna Johwani, kuti abhabhatidzwe naye.
28030e0067	Asi Johwani wakamurambidza achiti: Ini kunodikanwa kuti ndibhabhatidzwe nemwi, asi imwi mouya kwandiri?
28030f0085	Asi Jesu achipindura wakati kwaari: Tenda ikozvino, nokuti saizvozvo zvakatifanira kuti tizadzise kururama kwese. Ipapo akamutendera.
28031000a9	Asi Jesu, wakati abhabhatidzwa, akakwira pakarepo achibva mumvura; zvino tarira, matenga akamuzarukira, ndokuona Mweya waMwari achiburuka senjiva, achiuya pamusoro pake.
2803110071	Zvino tarira, inzwi richibva kumatenga richiti: Uyu ndiye Mwanakomana wangu anodikanwa, wandinofara maari kwazvo.
2804010048	Zvino Jesu wakatungamirirwa neMweya kurenje kuti anoidzwa nadhiabhorosi.
280402004d	Zvino wakati atsanya mazuva makumi mana neusiku makumi mana, akazonzwa nzara.
2804030068	Zvino muidzi wakati auya kwaari, akati: Kana uri Mwanakomana waMwari, raira kuti mabwe awa aite zvingwa.
2804040089	Asi iye wakapindura akati: Kwakanyorwa kuchinzi: Munhu haangararami nechingwa chega, asi neshoko rimwe nerimwe rinobuda mumuromo maMwari.
2804050054	Zvino dhiabhorosi wakamutora akamuisa muguta dzvene, akamumisa pachiruvu chetembere,
28040600c3	ndokuti kwaari: Kana uri Mwanakomana waMwari, zvikandire pasi; nokuti kwakanyorwa kuti: Iye acharaira vatumwa vake pamusoro pako, uye pamaoko vachakugamha, zvimwe ungagumbusa rutsoka rwako pabwe.
2804070040	Jesu akati kwaari: Kwakanyorwa zvekare: Usaidza Ishe Mwari wako.
280408005a	Dhiabhorosi akamuisazve pagomo refusa, akamuratidza ushe hwese hwenyika nekubwinya kwahwo.
280409004f	Akati kwaari: Zvese zvinhu izvi ndichapa kwauri kana ukawira pasi ukandinamata.
28040a0074	Ipapo Jesu akati kwaari: Ibva, Satani, nokuti kwakanyorwa kuchinzi: Uchanamata Ishe Mwari wako, uchashumira iye oga.
28040b004a	Ipapo dhiabhorosi akamusiya; zvino tarira, vatumwa vakauya vakamushandira.
28040c0054	Zvino Jesu wakati anzwa kuti Johwani wakumikidzwa mutirongo, akabva akaenda Garirea.
28040d0065	Zvino wakabva Nazareta, akauya akagara muKapenaume riri pagungwa, mumiganhu yeZebhuruni neNafitarimi;
28040e0037	kuti zvizadziswe zvakarehwa naIsaya muporofita, achiti:
28040f0062	Nyika yeZebhuruni nenyika yeNefitarimi, panzira yegungwa, mhiri kwaJoridhani, Garirea revahedheni;
2804100082	vanhu vakange vagere murima vakaona chiedza chikuru; nevakange vagere panharaunda nemumumvuri werufu, chiedza chakabudira kwavari.
2804110064	Kubvira panguva iyo Jesu wakatanga kuparidza nokuti: Tendeukai, nokuti ushe hwekumatenga hwaswedera.
28041200d1	Zvino Jesu wakati achifamba-famba parutivi rwegungwa reGarirea akaona vanakomana vemunhu umwe vaviri, Simoni anonzi Petro, naAndiriya munin'ina wake, vachikandira mumbure mugungwa; nokuti vakange vari varedzi.
2804130037	Akati kwavari: Nditeverei, ndigokuitai varedzi vevanhu.
2804140027	Pakarepo vakasiya mimbure vakamutevera.
28041500c7	Zvino wakati apfuurira kubva ipapo akaona vamwe vaviri vanakomana vemunhu umwe, Jakobho waZebhedhi naJohwani munin'ina wake muchikepe pamwe naZebhedhi baba vavo, vachigadzira mimbure yavo, akavadana.
2804160033	Pakarepo vakasiya chikepe nababa vavo vakamutevera.
2804170091	Jesu akapota neGarirea rese achidzidzisa mumasinagoge avo, nekuparidza evhangeri yeushe, achiporesa denda rega-rega neurwere hwega-hwega pavanhu.
28041800c8	Shoko rake rikabudira kuSiriya yese; vakauisa kwaari varwere vese, vakabatwa nehosha dzakasiyana-siyana, nemarwadzo, nevakange vane madhimoni, nevaiva nezvipusha, nevakange vakafa mitezo; akavaporesa.
2804190070	Zvino zvaunga zvikuru zvakamutevera, vaibva Garirea, neDhekapori, neJerusarema, neJudhiya, nemhiri kwaJoridhani.
2805010063	Zvino wakati achiona zvaunga akakwira mugomo, zvino wakati agara pasi vadzidzi vake vakauya kwaari;
280502002d	akashamisa muromo wake, akavadzidzisa achiti:
2805030042	Vakaropafadzwa varombo pamweya; nokuti ushe hwekumatenga ndehwavo.
2805040034	Vakaropafadzwa vanochema; nokuti ivo vachanyaradzwa.
280505003b	Vakaropafadzwa vanyoro; nokuti ivo vachagara nhaka yenyika.
2805060046	Vakaropafadzwa vane nzara nenyota yekururama; nokuti ivo vachagutiswa.
280507003a	Vakaropafadzwa vane tsitsi; nokuti ivo vachaitirwa tsitsi.
280508003b	Vakaropafadzwa vakachena pamoyo; nokuti ivo vachaona Mwari.
280509003e	Vakaropafadzwa vanoyananisa; nokuti ivo vachanzi vana vaMwari.
28050a0051	Vakaropafadzwa vanoshushwa nekuda kwekururama; nokuti ushe hwekumatenga ndehwavo.
28050b0075	Makaropafadzwa imwi, kana vachikutukai, vachikushushai, vachikutaurirai zvakaipa zvese vachireva nhema nekuda kwangu.
28050c0075	Farai mupembere kwazvo, nokuti mubairo wenyu mukuru mumatenga; nokuti vakashusha saizvozvo vaporofita vakakutangirai.
28050d0089	Imwi muri munyu wenyika; asi kana munyu warasa kuvava, ucharungwa nei? Hauchabatsiri chinhu, asi kurasirwa kunze, utsikwe-tsikwe nevanhu.
28050e004a	Imwi muri chiedza chenyika; guta rakamiswa pamusoro pegomo haringavanziki;
28050f0067	uye mwenje havautungidzi vakauisa pasi pedengu, asi pachigadziko chemwenje, uvhenekere vese vari mumba.
280510007e	Saizvozvo chiedza chenyu ngachivhenekere pamberi pevanhu, kuti vaone mabasa enyu akanaka, vagokudza Baba venyu vari kumatenga.
2805110066	Musafunga kuti ndauya kuzoparadza murairo kana vaporofita; handina kuuya kuzoparadza, asi kuzozadzisa.
28051200ad	Nokuti zvirokwazvo ndinoti kwamuri: Kusvikira denga nenyika zvichipfuura, vara diki rimwe kana chidodzi chimwe kubva pamurairo hazvingatongopfuuri, kusvikira zvese zvaitika.
28051300c5	Naizvozvo ani nani anotyora umwe wemirairo midikisa iyi, akadzidzisa vanhu saizvozvo, achanzi mudikisa muushe hwekumatenga; asi ani nani anoita akaidzidzisa, iye achanzi mukuru muushe hwekumatenga.
2805140081	Nokuti ndinoti kwamuri: Kunze kwekuti kururama kwenyu kukapfuura kwevanyori nekweVaFarisi, hamungatongopindi muushe hwekumatenga.
280515005e	Makanzwa kuti zvakanzi kune vekare: Usauraya; uye ani nani anouraya achava nemhosva yemutongo;
28051600dd	asi ini ndinoti kwamuri: Ani nani anotsamwira umwe wake pasina chikonzero, achava nemhosva yemutongo; neanoti kune umwe wake: Dununu! achava nemhosva yedare remakurukota; uye anoti: Benzi! achava nemhosva yegehena remoto.
2805170068	Naizvozvo kana uchiuisa chipo chako kuaritari, ipapo ukarangarira kuti umwe wako ane chekupikisana newe,
280518006c	siya ipapo chipo chako pamberi pearitari, uende umbonotanga wayanana neumwe wako, ugouya wopira chipo chako.
28051900a2	Tenderana nemudzivisi wako nekukurumidza, uchiri munzira naye, zvimwe mudzivisi angakukumikidza kumutongi, mutongi akukumikidze kumupurisa, ukakandirwa mutirongo.
28051a0055	Zvirokwazvo ndinoti kwauri: Haungatongobudimo, kusvikira waripa kamari kekupedzisira.
28051b0033	Makanzwa kuti zvakanzi kune vekare: Usaita upombwe;
28051c0060	asi ini ndinoti kwamuri: Wese anotarisa mukadzi kuti amuchive, watoita upombwe naye mumoyo make.
28051d00b1	Uye kana ziso rako rerudyi richikugumbusa, uridzure urase kubva kwauri; nokuti zviri nani kwauri kuti umwe wemitezo yako uparare, kwete kuti muviri wako wese ukandirwe mugehena.
28051e00b4	Zvino kana ruoko rwako rwerudyi ruchikugumbusa, urugure urasire kure newe; nokuti zviri nani kwauri kuti umwe wemitezo yako uparare, kwete kuti muviri wako wese ukandirwe mugehena.
28051f004a	Zvakanziwo: Ani nani anoramba mukadzi wake, ngaamupe rugwaro rwekurambana;
2805200097	asi ini ndinoti kwamuri: Ani nani anoramba mukadzi wake, kunze kwemhosva yeupombwe, anomuitisa upombwe; uye ani nani anowana wakarambwa anoita upombwe.
2805210058	Zvekare makanzwa kuti zvakanzi kune vekare: Usapika nhema, asi uripire Ishe mhiko dzako;
2805220056	asi ini ndinoti kwamuri: Musatongopika; kana nedenga, nokuti chigaro chaMwari cheushe;
280523005d	kana nenyika, nokuti chitsiko chetsoka dzake; kana neJerusarema, nokuti iguta raMambo mukuru;
2805240053	uye usapika nemusoro wako, nokuti haugoni kuita ruvhudzi rumwe ruchena kana rutema.
280525005c	Asi shoko renyu ngarive: Hongu, hongu; kwete, kwete; chinopfuura izvi chinobva kune wakaipa.
2805260035	Makanzwa kuti zvakanzi: Ziso neziso, uye zino nezino;
280527006f	asi ini ndinoti kwamuri: Musapikisa wakaipa; asi ani nani anokurova padama rako rerudyi, umutendeusire rimwewo.
2805280042	Neanoda kukusungisa, nekutora shati yako, umutendere nguvo yakowo.
280529003b	Ani nani anokumanikidza kuenda maira imwe uende naye mbiri.
28052a003a	Ipa anokumbira kwauri, usafuratira anoda kukwereta kwauri.
28052b003b	Makanzwa kuti zvakanzi: Ude umwe wako, uvenge muvengi wako.
28052c0096	Asi ini ndinoti kwamuri: Idai vavengi venyu, ropafadzai vanokutukai, batai zvakanaka vanokuvengai, munyengeterere vanokubatai zvakaipa vachikushushai.
28052d0092	Kuti muve vana vaBaba venyu vari kumatenga, nokuti vanobudisira zuva ravo kune vakaipa nevakanaka, nemvura vanoinaisira vakarurama nevasakarurama.
28052e0055	Nokuti kana muchida vanokudai, mune mubairo wei? Ko, vateresiwo havaiti izvozvo here?
28052f0073	Uye kana muchikwazisa vamwe venyu chete, munoita zvikuru kupfuura vamwe nei? Ko, vateresiwo havaiti saizvozvo here?
2805300045	Naizvozvo imwi muve vakakwana, saBaba venyu vari kumatenga vakakwana.
280601008e	Chenjerai kuti basa renyu rerudo musariita pamberi pevanhu kuti muonekwe navo; kana zvisakadaro hamuna mubairo kuna Baba venyu vari kumatenga.
28060200cf	Naizvozvo kana uchiita basa rerudo, rega kuridza hwamanda pamberi pako sezvinoita vanyepedzeri mumasinagoge nemunzira dzemumaguta kuti vakudzwe nevanhu. Zvirokwazvo ndinoti kwamuri: Vagamuchira mubairo wavo.
2806030057	Asi iwe kana uchiita basa rerudo, ruboshwe rwako ngarurege kuziva zvinoita rudyi rwako.
2806040068	Kuti kuita kwako basa rerudo kuve pakavanda; uye Baba vako vanoona pakavanda, ivo vachakuripira pachena.
28060500d1	Zvino kana uchinyengetera, usava sevanyepedzeri; nokuti vanoda kunyengetera vamire mumasinagoge nepamharadzano dzenzira dzemumaguta kuti vaonekwe nevanhu. Zvirokwazvo ndinoti kwamuri: Vagamuchira mubairo wavo.
28060600b2	Asi iwe kana uchinyengetera, pinda muimba yako yemukati, ugovhara mukova wako, unyengetere kuna Baba vako vari pakavanda; zvino Baba vako vanoona pakavanda vachakuripira pachena.
280607008c	Asi kana muchinyengetera, musapamhidzira-pamhidzira zvisina maturo sevahedheni; nokuti vanofunga kuti vachanzwikwa nekutaura kwavo kuzhinji.
2806080057	Naizvozvo musafanana navo; nokuti Baba venyu vanoziva chamunoshaiwa musati mavakumbira.
2806090059	Naizvozvo imwi nyengeterai seizvi: Baba vedu vari kumatenga, zita renyu ngariitwe dzvene;
28060a004f	ushe hwenyu ngahuuye; chido chenyu ngachiitwe panyikawo sezvachinoitwa kudenga;
28060b0027	mutipei nhasi kudya kwedu kwemisi yese;
28060c004a	uye mutikanganwire mangava edu, isu sezvatinokanganwirawo vane ngava nesu;
28060d007e	uye musatipinza pakuedzwa, asi mutisunungure pakuipa. Nokuti ushe ndehwenyu nesimba nekubwinya kusvikira rinhi narinhi. Ameni.
28060e005f	Nokuti kana muchikanganwira vanhu kudarika kwavo, Baba venyu vari kudenga vachakukanganwiraiwo.
28060f0060	Asi kana musingakanganwiri vanhu kudarika kwavo, Baba venyu havangakanganwiriwo kudarika kwenyu.
28061000c4	Uyezve kana muchitsanya, musava nezviso zvinopunyaira sevanyepedzeri; nokuti vanounyanisa zviso zvavo, kuti vaonekwe nevanhu kuti vanotsanya. Zvirokwazvo ndinoti kwamuri: Vagamuchira mubairo wavo.
280611003e	Asi iwe kana uchitsanya, zodza musoro wako, ugeze chiso chako,
2806120087	kuti urege kuonekwa kuvanhu kuti unotsanya, asi kuna Baba vako vari pakavanda; zvino Baba vako vanoona pakavanda vachakuripira pachena.
2806130066	Regai kuzviunganidzira fuma panyika, pane chifusi nengura zvinoodza, nepane mbavha dzinopaza dzichiba;
2806140072	asi muzviunganidzire fuma kudenga, uko kusina chifusi kana ngura zvinoodza, naapo mbavha padzisingapazi kana kuba.
2806150035	Nokuti pane fuma yenyu, ndipo pachavawo nemoyo yenyu.
2806160060	Mwenje wemuviri iziso; naizvozvo kana ziso rako riri benyu, muviri wako wese uchazara nechiedza.
2806170080	Asi kana ziso rako rakaipa, muviri wako wese uchazara nerima. Naizvozvo kana chiedza chiri mauri chiri rima, rima iro iguru sei!
280618008c	Hapana angashumira vatenzi vaviri; nokuti achavenga umwe, akada umwe; kana achanamatira umwe, akazvidza umwe. Hamungashumiri Mwari naMamona.
28061900bd	Naizvozvo ndinoti kwamuri: Musafunganya pamusoro peupenyu hwenyu, zvamuchadya kana zvamuchanwa, kana pamusoro pemuviri wenyu, zvamuchapfeka. Upenyu hahupfuuri kudya here, nemuviri chipfeko?
28061a009b	Tarirai shiri dzedenga, nokuti hadzidzvari kana kukohwa kana kuunganidza mumatura, asi Baba venyu vekudenga vanodzirurira. Imwi hamudzipfuuri zvikuru here?
28061b0042	Ndiani kwamuri nekufunganya angawedzera mbimbi imwe paurefu hwake?
28061c006f	Nepamusoro pezvipfeko munofunganyirei? Nyatsorangarirai midovatova yenyika, inokura sei; haishingairi, hairuki;
28061d005d	asi ndinoti kwamuri: Kunyange Soromoni pakubwinya kwake kwese haana kupfekedzwa seimwe yeiyi.
28061e009d	Zvino kana Mwari achifukidza saizvozvo uswa hwenyika, huripo nhasi, hunokandirwa muchoto mangwana, haangakufukidziyi nekupfuurisa here imwi verutendo rudiki?
28061f004e	Naizvozvo musafunganya, muchiti: Tichadyei? Kana: Tichanwei? Kana: Tichafukei?
2806200071	Nokuti izvozvi zvese vahedheni vanozvitsvaka, nokuti Baba venyu vekudenga vanoziva kuti munoshaiwa izvozvi zvese.
2806210060	Asi tangai kutsvaka ushe hwaMwari, nekururama kwake, zvino izvozvi zvese zvichawedzerwa kwamuri.
2806220076	Naizvozvo musafunganyira mangwana, nokuti mangwana achazvifunganyira zvinhu zvawo. Zuva rakakwanirwa nezvakaipa zvaro.
2807010020	Musatonga, kuti murege kutongwa,
2807020063	nokuti muchatongwa nekutonga kwamunotonga nako; uye muchayerwa zvekare nechiyero chamunoyera nacho.
280703005a	Unotarisirei rubanzu rwuri muziso reumwe wako, asi usingananzereri danda riri muziso rako?
2807040072	Kana ungataura sei kune umwe wako uchiti: Rega ndivhomore rubanzu muziso rako, asi tarira, danda riri muziso rako?
2807050064	Munyepedzeri, tanga kuvhomora danda muziso rako, ugoona kwazvo kuvhomora rubanzu muziso reumwe wako.
280706008d	Musapa chitsvene kuimbwa, kana kukandira maparera enyu pamberi penguruve, zvimwe dzingaatsika netsoka dzadzo, dzikatendeuka dzikakubvamburai.
280707004e	Kumbirai, uye muchapiwa; tsvakai, uye muchawana; gogodzai, uye muchazarurirwa.
280708005b	Nokuti umwe neumwe anokumbira anogamuchira, neanotsvaka anowana, neanogogodza anozarurirwa.
2807090057	Kana ndeupi munhu kwamuri, iye kana mwanakomana wake akakumbira chingwa, achamupa ibwe?
28070a002a	Kana kuti akakumbira hove, achamupa nyoka?
28070b0097	Zvino kana imwi makaipa muchiziva kupa vana venyu zvipo zvakanaka, Baba venyu vari kumatenga vachapfuurisa sei kupa zvinhu zvakanaka ivo vanovakumbira?
28070c007a	Naizvozvo zvinhu zvese zvamunoda kuti vanhu vakuitirei, imwi muvaitirewo saizvozvo; nokuti uyu ndiwo murairo nevaporofita.
28070d007f	Pindai nesuwo rakamanikana; nokuti suwo rakafara nenzira yakapamhamha inoenda kukuparadzwa, uye vazhinji varipo vanopinda naro.
28070e004f	Nokuti suwo rakamanikana nenzira nhete inoenda kuupenyu, uye vashoma vanoiwana.
28070f0066	Asi chenjerai vaporofita venhema, vanouya kwamuri nezvipfeko zvemakwai, asi mukati mapumhi anoparadza.
2807100065	Muchavaziva nezvibereko zvavo; vanhu vanotanha mazambiringa paminzwa here, kana maonde parubayambeva?
2807110071	Saizvozvo muti umwe neumwe wakanaka unobereka zvibereko zvakanaka, asi muti wakaipa unobereka zvibereko zvakaipa.
2807120060	Muti wakanaka haugoni kubereka zvibereko zvakaipa, nemuti wakaipa haubereki zvibereko zvakanaka.
280713004a	Muti umwe neumwe usingaiti chibereko chakanaka unotemwa wokandirwa mumoto.
280714002e	Naizvozvo kubva pazvibereko zvavo muchavaziva.
2807150073	Haasi wese anoti kwandiri: Ishe, Ishe, achapinda muushe hwekumatenga; asi anoita kuda kwaBaba vangu vari kumatenga.
28071600a6	Vazhinji vachati kwandiri pazuva iro: Ishe, Ishe, hatina kuporofita muzita renyu here, tikabudisa madhimoni muzita renyu, tikaita mabasa esimba mazhinji muzita renyu?
2807170075	Zvino ipapo ndichareva kwavari pachena ndichiti: Handina kukuzivai chero nguva; ibvai kwandiri imwi vaiti vezvakaipa.
2807180081	Naizvozvo umwe neumwe anonzwa mashoko angu awa uye akaaita, ndichamufananidza nemurume wakachenjera, wakavaka imba yake paruware.
280719007d	Zvino mvura ikaturuka, mafashame akauya, mitutu ikavhuvhuta, ikarova paimba iyo, ikasawa; nokuti yakange yakateyiwa paruware.
28071a0071	Zvino umwe neumwe anonzwa mashoko angu awa, akasaaita, uchafananidzwa nemurume benzi, wakavaka imba yake pajecha;
28071b007d	zvino mvura ikaturuka, mafashame ndokuuya, mitutu ndokuvhuvhuta, ndokurova paimba iyo, ndokuwa; uye kuwa kwayo kukava kukuru.
28071c0057	Zvino zvakaitika kuti Jesu apedza mashoko iwawa, zvaunga zvakashamiswa nedzidziso yake.
28071d0033	Nokuti wakavadzidzisa seune simba, kwete sevanyori.
2808010035	Wakati aburuka mugomo, zvaunga zvikuru zvakamutevera.
2808020065	Zvino tarira, kwakauya ane maperembudzi, akamunamata achiti: Ishe, kana muchida, munogona kundinatsa.
2808030062	Jesu akatandavadza ruoko, akamubata, achiti: Ndinoda, natswa. Pakarepo maperembudzi ake akanatswa.
280804008c	Zvino Jesu akati kwaari: Ona kuti usaudza munhu, asi enda unozviratidza kumupristi, ubaire chipo Mozisi chaakaraira, chive uchapupu kwavari.
2808050055	Zvino Jesu wakati apinda muKapenaume, kwakauya kwaari mukuru wezana, achimukumbirisa,
280806004c	achiti: Ishe, muranda wangu arere kumba wakafa mitezo, anotambudzika kwazvo.
2808070033	Zvino Jesu akati kwaari: Ini ndichauya ndimuporese.
2808080096	Mukuru wezana akapindura akati: Ishe, handina kufanira kuti mupinde pasi pedenga rangu remba; asi taurai shoko chete, zvino muranda wangu achaporeswa.
