2a00000006	Lukasi
2a011a007e	Menseno i Elisabe mentia oono betuꞌe, Ue Ala tumenaꞌo malaꞌeka Gabrieli lumeko i wute Nasare laꞌaso waawute i Galilea.
2a011b00a6	Gabrieli tinena lumeko laꞌaso ana erowai henu ambono petao mengeengako i Maria. Iwono raaꞌa mesamboraoto saru aso tama henu mengeengako Iusu inuleno mokole Daudi.
2a011c0086	Tempono malaꞌeka raaꞌa mewunso i dohano i Maria, malaꞌeka raaꞌa mongee, “Taabe, ikomiu henu pineꞌaroa, Ue kumongkomiko.”
2a011d0078	Maria takau tekokoni humoringo pauno malaꞌeka raaꞌa, ranta mesisikeno i laro aroano, pio pengkonoano petabe raaꞌa.
2a011e0061	Malaꞌeka raaꞌa mongee ndi iwono, “Hooto doito Maria, akono iiko pineꞌaroa i arono Ue Ala.
2a011f005a	Iiko nggale mentia ka nggale meꞌanaꞌakeo aso ana tama ka iiko nggale ngumengakeo Iesu.
2a01200095	Iwono nggale gagi marambaa ka ngineengako Anaro Ue Ala henu i wawono takau. Ka Ue Ala nggale mokogagio puꞌu poparenta heleo mia mosuꞌono i Daudi.
2a01210080	Iwono nggale gagi mokole la lowono inuleno Iako iwonoto Isaraeli henu tai hina tampulaano ka poparentaNo tai hina pinggoaano.”
2a01220064	Mongeeꞌoto i Maria la malaꞌeka raaꞌa, “Ehende nggale bisa gagi, akono iaku da ana erowai?”
2a012300cd	Sumangki malaꞌeka raaꞌa, “Penao Mempori nggale hawe ndi iiko ka pobawaro Ue Ala nggale kumongkomiko, hoꞌioto puꞌuno ana henu nggale pineꞌanaꞌakomu raaꞌa nggale nginee mempori, Anaro Ue Ala.
2a0124007a	Pewowoloꞌo Maria, i Elisabe petiamu raaꞌa, tekonai mentia oono betuꞌe mapono mosuꞌooto ka mia mpongee, iwono bita.
2a01250032	Kanggo akono la Ue Ala kano hina henu tai gagi.”
2a01260092	Mongeeꞌoto i Maria, “Iaku neea ataro i Ue, gagito la ngkoroinggu heleo henu pinaumiu.” Umari raaꞌa, lumekooto malaꞌeka mobintao i Maria.
2a0127005c	Kano epie teꞌembu rahea, lumekooto i Maria laꞌaso inie i waawute Iudea henu makuntoruku.
2a0128004c	Menseno hawe ndepano iwono mewunso i dohano i Sakaria ka metabe ndi Elisabe.
2a0129007d	Tempono i Elisabe humoringo petabeno i Maria, ana-ana henu nopentiaꞌakeo raaꞌa melelu ka i Elisabe bukeako Penao Mempori.
2a012a00a1	Kanoamba i Elisabe mepau mompetea ndi Maria lenie, “Ue Ala barakatiko torea teꞌembu la lowono erowai mesue ka ana henu upentiaꞌakeo Ro barakatiꞌo Ue Ala.
2a012b004d	Tembio kano gagi lenie ndi iaku ranta ineno Uenggu hawe mai tepohaweꞌakune?
2a012c004e	Kiteo, tempono kuhoringo petabemu, ana henu i laro komponggu melelu moꞌunde.
2a012d006f	Meꞌurakoto akono iiko mompeꞌalo-alo taꞌalu pio henu pinauro Ue Ala ndi iiko mentee suꞌu nggale gagi.”
2a012e0035	I Maria mepau, “Penaonggu umunde-undeꞌiro Ue Ala,
2a012f0030	ka aroanggu sanaa, akono Ue Ala kumaduduiꞌaku,
2a01300097	akono Ue Ala kumiteoto tinuwunggu, ataRo henu mokokoꞌundu. Menteeꞌano mompamula oleo neea, lowono mia nggale mpongee iaku neea binarakatiro Ue Ala,
2a01310049	akono Ue Ala henu pobawa mowowau henu langkai ndi iaku ka ngeeRo Mempori.
2a01320043	Ue Ala mehohawaꞌiro mia henu metotoako ndi Iworo hawe la inulero.
2a01330060	Iwono mowowau henu kombaaꞌakoa saru pobawaNo ka Iwono sumaariiro mia henu mompelangka-langkai.
2a0134005e	Mokole Nopotiingiro teꞌembu la petundaꞌaro ka mia henu mokokoꞌundu No pokolangkaiꞌiro.
2a01350079	Mia henu momoli No pokomowotoꞌo saru kaanga henu meꞌambo, kanggo mia henu sugi Ro tenaꞌiro lumeko saru kae molimbo.
2a01360044	AtaRo to Isaraeli Ro tulungiiro akono Ro pewowoloꞌo pompehohawaRo,
2a01370051	henu dinandiRo la mia mosuꞌondo i Burahima ka inuleno, hawe la pokotompaano.”
2a0138006d	Umari raaꞌa otolupo betuꞌe epieno no poꞌia i Maria ndi Elisabe, umari raaꞌa kanoamba mekule i inieno.
2a01390051	Haweoto betuꞌeno i Elisabe nggale meꞌana. Iwono meꞌanaꞌakeo aso ana tama.
2a013a0092	Tempono petengi-tengi dohano ka petiano humoringo taꞌalu Ue Ala mopokiteo pompehohawaRo ndi iwono, iworo lowo mensanaa meronga-ronga saru iwono.
2a013b00ad	Kohoalu oleono, mehaweiroto i dohano i Sakaria mentondaꞌo gau petindiꞌano ana-ana raaꞌa, ka iworo minggi ngumengaakeo ana-ana raaꞌa i Sakaria, montonda ngeeno umano.
2a013c0055	Kanggo ineno ana-ana raaꞌa mongee, “Hooto, iwono asolekono ngineengako Iohane.”
2a013d0075	Humoringo raaꞌa, iworo mpongeeꞌakeo, “Kano hina teꞌaso mia i olono petiamu henu mengeengako ngee liraꞌa.”
2a013e0070	Gagi iworo mpesikeno la umano ana-ana raaꞌa butukoa ro kawe-kaweꞌo, nggale ngineengako isia ana-ana raaꞌa.
2a013f0056	I Sakaria momoni wasu poꞌukia ka no ukiꞌo, “Ngeeno Iohane.” Iworo lowo kombaa.
2a01400051	Tempo koa raaꞌa mboꞌu, i Sakaria mokopepauꞌoto ka umunde-undeꞌiro Ue Ala.
2a01410093	Kumiteo lowono raaꞌa, lowono petengi-tengi doharo doito ka lowono henu gagi raaꞌa iworo mempopauꞌo la lowono inie henu hina i torukuno Iudea.
2a01420098	Lowono mia henu humoringo raaꞌa numaꞌo i laro aroaro ka mepau, “Nggale gagi pioke ana-ana neea?” Akono ro mengkiteo pobawaro Ue Ala kumongkomio.
2a0143006c	Ka i Sakaria, umano ana-ana raaꞌa bukeako Penao Mempori ka iwono mompokotehawe pau henu nggale gagi lenie,
2a01440058	“Inundeꞌiroto Ue Alaro to Isaraeli akono Iworo tepotowoakero bawaaRo ka motolahiiro.
2a0145004f	Ropoweikito aso mia pongkadudui henu moroso teꞌembu la inuleno i Daudi ataRo,
2a01460054	heleo henu dinandiRo teꞌembu asompihe teliu la wiwiro nabi-nabiRo henu tinimakiRo.
2a0147006b	Iwono medandi motolakito teꞌembu la uwelindo, ka teꞌembu la ngkaero lowono mia henu umoꞌalieꞌakito,
2a01480075	karo popokiteo pompehohawaRo la mia mosuꞌondo asompihe, ka pedandiRo henu mempori raaꞌa nggale Ropokomengkaaꞌo.
2a01490051	Iwonoto pedandiꞌa henu Ro pauꞌo teliu la sumpa la mia mosuꞌondo i Burahima,
2a014a0062	kato tepotola teꞌembu la ngkaero uwelindo, ka ikito bisa mesombaiꞌiro henu kano hina doitondo.
2a014b008b	Iworo medandi liraꞌa, kano i laro tinuwundo i wawontolino neea, ikito bisa mesombaiꞌiro montonda tuwu mempori ka mokonsanaaꞌo aroaRo.
2a014c009f	Ka iiko ananggu, iiko ungga nggale ngineengako nabiro Ue Ala henu i wawono takau, akono iiko ungga nggale meleꞌeruiꞌiro Ue Ala mompasadiaꞌakeRo ansalaRo.
2a014d007a	Iiko ungga nggale mompalele la bawaaRo mongee iworo nggale inampuni, taꞌalu Ue Ala umampuniꞌiroto teꞌembu la halaro.
2a014e0077	Akono peꞌaroaro Ue Alando henu bukeako pompehohawa tepotowoꞌakito heleo mataꞌoleo wantahikito teꞌembu i suruga,
2a014f006f	kano wantahio mia henu tuwu la rokomaano ka henu doito la matea, kano wawokito i laro tuwuꞌa henu sintuwu.”
2a015000ca	Anano i Sakaria raaꞌa kolangka-langkaino ka komoro-morosono petondano ndi iworo Ue Ala, ka iwono moꞌia la pada one ranta hawe tempono no pamulaꞌo anggaꞌano mompalele pauro Ue Ala la to Isaraeli.
2a02010090	Kano epie umarino Iohane pineꞌanaꞌako, Mokole Langkai Roma moluarako parenta metena la lowono henu la pomparentaꞌa i Roma mepeꞌuki ngee.
2a02020055	Iwonoto neea peꞌukia ngee henu koꞌaso winowau tempono Kireniu gagi akele i Siria.
2a02030046	Gagi lowono mia tempo raaꞌa mpekule mpeꞌuki ngee i inie mpuꞌuro.
2a020400b5	Liraꞌa koamboꞌu Iusu lumeko teꞌembu i Nasare i waawute Galilea, lumeko i waawute Iudea i inieno Daudi henu ngineengako Beteleme, akono iwono mboꞌu teꞌembu inuleno i Daudi.
2a02050047	Iusu lumeko mepeꞌuki ngee saru samborano i Maria henu tekonai mentia.
2a02060040	Kontongaaro i Beteleme, haweoto tempono i Maria nggale meꞌana.
2a020700a0	No peꞌanaꞌakeo aso ana tama, anano henu koꞌaso. Anano raaꞌa tinongohako tarango hawu, kanoamba pinolero la dula, akono iworo tai mohawe doha peratoꞌa.
2a0208005f	I wute raaꞌa, hina to pompakambi henu mpoꞌia la mpada mpogagai pinotuwuro, notekonai wongi.
2a0209006c	Bingkosako mentadaoto malaꞌekaro i Ue orambiakero ka marambaaro i Ue wantahiiro, ranta karo tedoa medoito.
2a020a009d	Kanggo malaꞌeka raaꞌa mongee, “Hooto doito. Pehoringakeo, iaku hawe mowawo kareba meꞌambo ndi ikomiu, iwonoto kareba henu tedoa mawongkoa lowono mia.
2a020b004d	Oleo neea i inieno Daudi, hinaoto Mokole Pongkaduduimiu, Iwonoto Kirisitu Ue.
2a020c006c	Neea tondonino, ikomiu nggale mehaweꞌo aso dolo-dolo tinongohako saru tarango hawu ka pinolero la dula.”
2a020d006d	Bingkosako malaꞌeka raaꞌa romperongao adio malaꞌeka mesue, henu mpoꞌunde-unde ndi Ue Ala. Ro mpongee,
2a020e006f	“Marambaa tiaro Ue Ala henu i suruga, ka sintuwu karodoa i wawontolino, la mia henu mokonsanaaꞌo aroaNo.”
2a020f00d3	Menseno malaꞌeka-malaꞌeka mobintairo ka mpekule i suruga, to pompakambi raaꞌa mpepau-pau pada iworo, “Maito to meleko i Beteleme, mengkiteo arapio henu gagi ndepano, heleo henu pinauro i Ue ndi ikito.”
2a0210007e	Umarino raaꞌa pompari-pariiroto meleko, ro mehaweꞌoto i Maria ka Iusu, ka dolo-dolo raaꞌa henu tekonai pinolero la dula.
2a0211007b	Temporo to pompakambi mengkiteo dolo-dolo raaꞌa, ro mempauꞌoto opio henu pinauno malaꞌeka mongkono dolo-dolo raaꞌa.
2a02120061	Ka lowono mia henu mehoringo opio henu pinauro to pompakambi raaꞌa, gagi mengkombaa lowo iworo.
2a02130046	Kanggo i Maria numaaꞌo lowono raaꞌa i laro aroano ka mewowoloꞌo.
2a021400cc	Umari raaꞌa mpekuleiroto to pompakambi raaꞌa ka mpoꞌunde-unde ka mompelangkai Ue Ala, akono lowoakoano henu ro mehoringo ka ro mengkiteo, lowono menggena heleo opio henu ngineeno malaꞌeka raaꞌa.
2a02150098	Menseno sombo hoalu oleo tinuwuno Ana raaꞌa, Iwono tinindi ka ngineengako Iesu, heleo ngee henu pinauno malaꞌeka tempono ambono pentiaꞌakeo ineNo.
2a021600ec	Menseno sombo patompulo oleo Maria meꞌana, haweoto tempono tiano Iusu ka i Maria lumeko i Ierusale nggale wowauꞌo pokomemporia koroi umarino meꞌana montonda atora Taura Musa. Iworo mewaweo mboꞌu Iesu kano pinewengako ndi Ue Ala.
2a0217008c	Gau raaꞌa ro wowauꞌo, akono hina teꞌuki la atora Taura lenie, “Lowono ana tama henu koꞌaso, asolekono pinewengako tiaro Ue Ala.”
2a0218009e	Iworo mboꞌu nggale mompesombaꞌako pesomba, iwonoto aso pasa sui-sui wurongkonggou ara oruo anano sui-sui marapati, heleo henu pinatantuoto la atora Taura.
2a021900e8	Tempo raaꞌa i Ierusale, hina aso mia mengeengako i Simeo. Iwono aso mia henu mentee ka metenunu ndi Ue. Iwono epieꞌoto monsisikori Mokole Pongkadudui Henu Dinandiro Ue Ala hawe mongkadudui to Isaraeli. Penao Mempori kumongkomio,
2a021a0085	ka Penao Mempori umarioto mepau ndi iwono, mongee iwono ambonolo mate taꞌalu ambono kiteo Mokole Pongkadudui Henu Dinandiro Ue Ala.
2a021b00a4	I Simeo hawe i Doharo Ue Ala akono pontaateno Penao Mempori. Tempo raaꞌa mboꞌu Iusu ka i Maria waweo Iesu nggale pinewengako ndi Ue Ala tumondaꞌo atora Taura,
2a021c0053	no aleo Ana raaꞌa ka sumoseneo kanoamba umunde-undeꞌiro Ue Ala no pongee lenie,
2a021d0055	“Lenie Ue, poꞌinengoto ataMiu neea lumeko i laro sintuwu karodoa montonda pauMiu.
2a021e003d	Akono matanggu kumiteo pongkadudui henu teꞌembu ndi Ikomiu,
2a021f003e	Pongkadudui raaꞌa henu Ipatindaꞌoto i aroro lowono tongku.
2a0220007b	Ana neea heleo wanta henu nggale wantahio lowono tongku mesue, ka Iwono nggale mowawo marambaa la tongkuMiu to Isaraeli.”
2a02210052	Humoringo henu pinauno i Simeo mongkono Iesu raaꞌa, tedoa kombaa umaNo ka ineNo.
2a02220123	Kanoamba i Simeo barakatiꞌiro ka mongee ndi i Maria, ineNo Ana raaꞌa, “Kiteo, heleo henu pinatantu Ue Ala, mongee teꞌembu la Ana neea adio mia Isaraeli nggale mensinolangi ka adio koamboꞌu henu kinadudui. Iwono nggale gagi tondoni teꞌembu la Ue Ala ka adio mia tai mentarimaꞌo.
2a02230081	Ka akono Iwono, mengkaaꞌoto opio henu pinewowoloro adio mia. Maria, mahaki aroamu teꞌingga heleo aroamu inuhuꞌako ponai.”
2a022400b4	Raheaꞌo mboꞌu hina aso nabi erowai, henu mengeengako i Hana anano i Panueli teꞌembu la tongkuno Asere. Iwono raaꞌa mosuꞌooto suꞌu. Opisu ntaꞌu no pebawaa saru tamano,
2a022500ae	ka lenie iwono tuwu erowai, ka tinuwuno halumpuloto ka ompa taꞌu. Iwono raaꞌa makari lumeko la Doharo Ue Ala, mowanda ka wongi mesomba ndi Ue Ala saru mepuasa ka mekakai.
2a022600c6	Tempono i Simeo mepau, i Hana mboꞌu hawe rahea. Iwono hawe umunde-unde Ue Ala ka no pauꞌo mongkono Ana raaꞌa la lowono to Isaraeli henu hina rahea henu mensikorio tolaa teꞌembu la mapariaro.
2a02270075	Umari Iusu ka i Maria wowauꞌo lowono parenta atora Taura, mpekuleiroto la mpoꞌiangaro i waawute Nasare i Galilea.
2a02280068	Ana raaꞌa kolangka-langkaiNo ka komoro-morosoNo ka Iwono gagi mokosongka ka Ue Ala takau mehohawaꞌo.
2a02290055	Sombo ntaꞌu mia mosuꞌono Iesu lumeko i Ierusale la oleo langkai Paskaa to Iahudi.
2a022a0083	Menseno hopuloto ka oruo ntaꞌu tinuwuno Iesu, melekoiroto i Ierusale heleo henu biasano ro mewowauꞌo to Iahudi la oleo langkai.
2a022b007c	Menseno umarioto oleo langkai raaꞌa, mekuleiroto mia mosuꞌoNo. Iworo tai tumoꞌorio mongee Iesu meꞌiaꞌako Ierusale.
2a022c0098	Iworo mongee No tondaꞌo lowono mia henu mperongaro. Aso oleoto ro melolako kanoamba ro wusuꞌo Iesu i olono petiaro ka mia mesue henu tepotoꞌoriro.
2a022d005a	Akono iworo tai tepohaweꞌakeo, hoꞌioto karo pekule mboꞌu i Ierusale lumeko wusuꞌo.
2a022e009b	Koꞌotolunoto oleo ro wusuꞌo, ro haweoto Iesu i Doharo Ue Ala, tekonai metunda meronga saru mia mpande atora Taura, mehoringakero ka mesikeno ndi iworo.
2a022f007b	Lowono mia henu mehoringo opio henu pinauNo, takau mengkombaa akono takau adio henu No toꞌorio, ka sangkiNo takau mentee.
2a023000a2	Tempono mia mosuꞌoNo kumiteo Iesu, iworo tekokoni ka ineNo mongee ndi Iwono lenie, “Ana, tembio Kau powowau lenie ndi ikami? Iaku ka umaMu salalaro wusuKo.”
2a0231007d	Iesu sumangki, “Uma, ine, tembio kai wusu Aku? Ikomiu kai toꞌorio mongee Iaku neea asolekono moꞌia i Doharo UmaNggu.”
2a02320028	Kanggo karo hawe laroꞌo opio ngineeNo.
2a02330085	Kanoamba Iesu mekule merongairo i Nasare, ka pia metenunu la mia mosuꞌoNo. Ka ineNo numaaꞌo lowo henu gagi raaꞌa i laro aroano.
2a02340040	Iesu kolangka-langkai ka pande ka Ro pehohawaꞌo Ue Ala ka mia.
2a03010113	La ntaꞌu hopulo ka olimo teꞌembu la poparentano Mokole Langkai Tiberiu, tempono i Pontiu Pilatu gagi akele i waawute Iehuda, ka i Herode gagi mokole i waawute Galilea, i Pilipu petiano gagi mokole i waawute Iturea ka i Tarakoniti, i Lisania gagi mokole i waawute Abilene,
2a0302007e	I Hanasi ka i Kaiapa gagi Petewawo Pesomba Langkai. Tempo raaꞌa haweoto pauno Ue Ala ndi Iohane anano i Sakaria la pada one.
2a030300c4	Menseno Ue Ala mepau liraꞌa, lumekooto Iohane la lowono waawute i lembono korono Iarade ka iwono mepau mokora, “Imemoseato ka impewengakeo koroimiu binaho kano Ue Ala umampunio lowono halamiu.
2a030400d5	Henu no wowauꞌo Iohane raaꞌa menggena heleo henu teꞌuki la Wunta nabi Iesaia. Lenie no pongee, Hina mia henu mepau mokora la pada one, ‘Patindaꞌo ansalaro i Ue, pomoliꞌo ansala henu nggale teliuꞌaNo.
2a03050097	Lowono lembono nggale hinowui, toruku ka tamungku nggale pinelembo. Ansala henu molengku nggale pinomoli, ka ansala henu makuntoruku nggale pinokorata.
2a0306004e	Ka lowono mia i wawontolino neea, nggale kumiteo Ue Ala mongkadudui mia.’”
2a030700dd	Adio mia mehawe ndi Iohane momoni kano binaho. Iohane mongee ndi iworo, “Ikomiu inuleno ule meꞌipo! Hooto impompewowolo mongee, taꞌalu binaho komiuto, ikomiu bisa molao teꞌembu la tekudaro Ue Ala henu nggale hawe.
2a0308010b	Gagi taꞌalu tinuwumu moseaꞌoto, popokiteoto gaumu henu meꞌambo. Hooto impompewowolo i laro aroamiu, ‘Ikami neea inuleno i Burahima gagi ikami tai nggale kono pohukuro Ue Ala.’ Kupauꞌakomiu, Ue Ala bisa baliꞌo wasu-wasu raaꞌa gagi ana-anano i Burahima.
2a0309008e	Pohukuro Ue Ala heleo uase henu tetindaoto la mpuꞌuno kau ka lowono kau henu tai mewue meꞌambo, nggale tinuehi kanoamba tinadi la apui.”
2a030a0052	Mia adio mesikeno ndi iwono, “Taꞌalu lesie, pio henu asolekono ki mpowowau?”
2a030b00bc	Sumangkioto Iohane, “Isia henu hina oruo lembano, asolekono no weiꞌakeo aso lembano la henu tai hina lembano, ka isia hina kangaano asolekono no poweiꞌo la henu tai hina kangaano.”
2a030c0087	Tempo raaꞌa mehawe mboꞌu to ponsinga sima henu minggi pebaho ka mpesikeno ndi iwono, “Guru, opio henu asolekono kimewowauꞌo?”
2a030d0049	No sangkiiro, “Hooto imponsinga torea, henu pinatantuoto ndi ikomiu.”
2a030e010e	Popioꞌiro sorodadu mboꞌu hawe mpesikeno ndi iwono, “Ikami, opio henu kinggale mpowowau?” Iohane sumangkiiro, “Hooto alongkoraꞌo doiro mia ka hooto petuluriako la mia saru tuluri henu tai mentee kano iiko bisa umaleo doino. Pesombooto tinuwumu saru gagimu.”
2a030f0064	Lowono mia rahea mpesikori ka monsikori manasa Iohane neea Mokole Pongkadudui Henu Dinandiro Ue Ala.
2a031000ea	Hoꞌioto kano Iohane mongee ndi iworo lowo, “Iaku bahoꞌakomiu saru uwoi. Kanggo, Iwono henu lalua pobawa sekono iaku nggale hawe. Wowoho onggono sapatuNo tokoa, tai tepototo. Iwono nggale bahoꞌakomiu saru Penao Mempori ka apui.
2a03110109	Iwono nggale monsiaꞌo mia henu meꞌambo ka mia mosaꞌa, heleo duku henu tetindaoto la ngkaeNo nggale mokomorinaꞌo pae ranta kano morina, ka mokosiꞌo pae henu morina i laro siꞌeNo. Kanggo pae henu moꞌapa, nggale No soruo la apui henu tai pinokopepate.”
2a0312005b	Da adio patudu mesue henu pinaleleno Iohane tempono mompalele Kareba Meꞌambo la mia adio.
2a03130085	Aso tempo Iohane kumuahakeo mokole Herode akono umaleo i Herodia walino petiano gagi walino, ka akono lowono winowauno henu mosaꞌa.
2a03140053	Kanggo mokole Herode tumambaiꞌo mosaꞌano saru mondamoho Iohane i laro tarungku.
2a03150064	Menseno adio mia mebinaho, ka tempono Iesu mboꞌu binaho ka tekonai mekakai, teꞌungkahioto langi,
2a031600b4	ka metiiꞌoto Penao Mempori heleo sui-sui marapati i wawoNo. Ka tehori suara teꞌembu i langi, no pongee, “Ikoto AnaNggu henu Kupehohawaꞌo, henu mokomawongkoꞌo aroaNggu.”
2a0317009c	Tempono Iesu pamulaꞌo anggaꞌaNo, tinasere tinuwuno Iesu tolu mpuloto ntaꞌu. Montonda pohaweno mia, Iwono raaꞌa anano Iusu. Iusu raaꞌa anano i Eli.
2a0318006b	I Eli anano i Matati, i Matati anano i Lewi, i Lewi anano i Maleki, i Maleki anano Ianai, Ianai anano Iusu,
2a03190073	Iusu anano i Matika, i Matika anano i Amosi, i Amosi anano i Naimi, i Naimi anano i Heseli, i Heseli anano i Nagai,
2a031a006f	i Nagai anano i Maati, i Maati anano i Matika, i Matika anano i Simei, i Simei anano Ioseki, Ioseki anano Ioda,
2a031b007c	Ioda anano Iohanani, Iohanani anano i Resa, i Resa anano i Serubabeli, i Serubabeli anano i Salatie, i Salatie anano i Neri,
2a031c0073	i Neri anano i Maleki, i Maleki anano i Adi, i Adi anano i Kosami, i Kosami anano i Elimoda, i Elimoda anano i Eri,
2a031d006d	i Eri anano Iesua, Iesua anano i Eliese, i Eliese anano Iorimi, Iorimi anano i Matati, i Matati anano i Lewi,
2a031e0068	i Lewi anano i Simeo, i Simeo anano Iehuda, Iehuda anano Iusu, Iusu anano Ionami, Ionami anano i Eliaki,
2a031f0071	i Eliaki anano i Melea, i Melea anano i Mina, i Mina anano i Matata, i Matata anano i Nata, i Nata anano i Daudi,
2a0320006b	i Daudi anano Isai, Isai anano i Obe, i Obe anano i Boasi, i Boasi anano i Salamo, i Salamo anano i Nahaso,
2a03210099	i Nahoso anano i Aminada, i Aminada anano i Adimini, i Adimini anano i Arani, i Arani anano i Heseroni, i Heseroni anano i Peresi, i Peresi anano Iehuda,
2a0322006c	Iehuda anano Iako, Iako anano Isaki, Isaki anano i Burahima, i Burahima anano i Tera, i Tera anano i Nahori,
2a03230076	i Nahori anano i Serugi, i Serugi anano i Rehu, i Rehu anano i Pelegi, i Pelegi anano i Eberi, i Eberi anano i Salamo,
2a03240074	i Salamo anano i Kenani, i Kenani anano i Arapasa, i Arapasa anano i Semi, i Semi anano i Noho, i Noho anano i Lame,
2a03250078	i Lame anano i Metusala, i Metusala anano i Eno, i Eno anano Iaresi, Iaresi anano i Mahaleli, i Mahaleli anano i Kenani,
2a03260057	i Kenani anano i Enosi, i Enosi anano i Seti, i Seti anano i Adama, Adama anano Ue Ala.
2a0401006f	Tempono Iesu mobintao korono Iarade, Iwono bukeako Penao Mempori. Penao Mempori waweo Iesu lumeko la mpada one.
2a040200a1	Rahea Mokole Onisu umara-arahakeo Iesu patompulo oleo epieno. Tempono patompulo oleo epieno raaꞌa kano hori monggaa arapio, hoꞌioto puꞌuno Iesu mokoninggo.
2a04030064	Mongeeꞌoto Mokole Onisu ndi Iesu, “Iiko anano Ue Ala. Gagi tenaꞌo wasu neea kano gagi roti.”
