0100000008	Genesisy
01011800ca	Le hoe t’i Andrianañahare: Hampanaranàheñe an-tane atoy ze raha veloñe iaby ty amy karaza’ey: o hareo, naho o raha milalio naho ze hene bibi’ ty tane toy, ty amo karaza’eo. Vaho iizay ty ie.
01011900b3	Le namboaren’ Añahare o bibi’ ty tane toio amo karaza’eo, naho ze karazan’ añombe iaby vaho ze hene karaza-biby misitsitse an-tane atoy. Le nivazohon’ Añahare te soa.
01011a00e8	Le hoe t’i Andrianañahare: Antao hamboatse ondaty hambam-­bintañ’ aman-tikañe, hifañoronkoroñe aman-tika, hifehe o fian-driakeo naho o voron-tiokeo naho o bibio naho ty tane toy iaby vaho ze biby misitsi­tse an-tane atoy.
01011b00a3	Aa le namboaren’ Añahare mirai-bintañe ama’e t’indaty, hambam-bintañe aman’ Añahare ty nam­boare’e aze, lahilahy naho ampela ty ni­tsene’e iareo.
01011c00db	Nitataen’ Añahare iereo, le hoe t’i Andrianañahare ama’e: Manara­nàha le mangetseke­tseha naho atsefo ty tane toy vaho feleho; le feheo o fian-driakeo naho o voron-tiokeo vaho ze biby misitsitse an-tane atoy.
01011d00b5	Le hoe t’i Andrianañahare, Heheke te natoloko anahareo ze hene ahetse mamoa ambone’ ty tane toy, naho ze fonga hatae mamoa rekets’ àta’e ty am-po’e ao, ho fikama’areo.
01011e00ba	Aa ty amo hene bibi’ ty tane toio naho ze fonga voron-tioke vaho ze raha misitsi­tse an-tane atoy, ze kila raha veloñe, le nimeako ze hene ahets’antsetra ho haneñe. Le izay ty ie.
01011f0076	Nivazohon’ Añahare o raha namboare’e iabio le hehe te soa. I haleñey vaho i antoandroy—ty andro fah’ eneñe.
010201004b	Aa le nifonitse ty tane toy naho o likerañeo naho ty fitozantoza’ iareo.
0102020087	Nifoniren’ Añahare ami’ty andro faha-fito i fitoloña’ey, le nitroatse ami’ty andro faha-fito amo hene tolon-draha nanoe’eo;
0102030091	Le nitahien’ Añahare ty andro faha-fito vaho nimasiñe’e, amy te ama’e ro nitroara’e amy ze nitsenèn’ Añahare iaby, hamokara’e ka.
010204009a	Inay ty fanoñonañe o like­rañeo naho ty tane toy amy fañamboarañe iareoy. Tamy sa namboare’ Iehovà Andria­ñahare ty tane toy naho o likerañeoy
01020500c8	naho mbe tsy tan-tane ao ze hataen-kivoke naho taolo’ ty nitiria’ ze ahetse am-patrañe ao, vaho mboe tsy nampahavie’ Iehovà Andria­ñahare orañe ty tane, fa tsy teo ty ondaty hahava i taney;
010206004b	fe niboahan-jono ty tane ze nahatondra-drano ty ambone’ ty tane toy iaby;
01020700a8	le namboare’ Iehovà Andrianañahare ami’ty lembon-tane t’indaty naho nikofo­ha’e tion-kaveloñe o lalam-pian­tsona’eo vaho ninjare fañova veloñe indatiy.
0102080077	Le nañalahala goloboñe maniñanañe e Edene ao t’Iehovà Andrianañahare, vaho navotra’e ao indaty namboare’ey.
01020900df	Le nampitirie’ Iehovà Andrianañahare boak’ an-tane ao ze karazan-katae soa am-pivazohoañe naho mafiry am-pikamañe, le añivo’ i goloboñey ao ty hataen-kaveloñe naho ty hataem-paharendrehañe ty soa naho ty raty.
01020a005b	Nikavavàke boak’ Edene ao ty oñe handeñe i goloboñey, ie boak’ ao le nivaky efatse.
01020b005b	Pisone ty añara’ ty valoha’e, mañariari’ i hene tane’ Kavilày, ie amam-bolamena;
01020c0045	soa ty volamena’ i taney; añe ty bedo­lake naho ty vato antsetra.
01020d0044	Gihone ty añara’ i oñe faharoe mitsikarioke era’ i tane Kosiy.
01020e0066	Hidiklà ty añara’ i fahateloy ze miary atiñana’ i Asore; vaho i Perate t’y oñe fah’efatse.
01020f0066	Navotra’ Iehovà Andrianañahare an-Golobo’ i Edene ao indatiy hañalahala naho hañambeñ’ aze.
010210006b	Le hoe ty linili’ Iehovà Andrianañahare am’indatiy, Azo’o ikamañe ze hene hatae amy goloboñey ao;
0102110074	fe ko ikamà’o ty hataem-paharendrehañe ty soa naho ty raty, fa toe hivetrake irehe ami’ty andro ikama’o aze.
0102120064	Le hoe t’Iehovà Andrianañahare, Tsy mahasoa indatiy te ho tokañe, hamboarako mpañimba mañeva.
0102130100	Aa le boak’ amo taneo ty namboare’ Iehovà Andrianañahare ze kila bibin-kivoke, naho ze hene voron-tioke vaho nen­dese’e am’ indatiy hivazoho ze sindre ho tokava’ indatiy aze; aa le ze nitokava’ indatiy ty raha veloñe, le izay ty añara’e.
0102140097	Nimea’ indatiy añarañe ze hene hare naho voron-tioke, vaho ze biby am-patrañe añe iaby; fa naho indatiy, tsy nioniñe ty mpañolotse mañeva aze.
01021500a6	Aa le nampifetsaha’ Iehovà Andria­nañahare am’indatiy ty rotse miheotse, naho ie nirotse le nafaha’e ty pa’e raike vaho nakite’e amy toe’ey ty nofotse.
010216006d	Nitsene ampela t’Iehovà Andrianañahare amy rinambe’e añ’ila’ indatiy vaho nasese’e am’indatiy.
0102170087	Le hoe indatiy, Itoy henaneo ty taola’ o taolakoo naho ty nofo’ o nofokoo; le hatao Rakemba re amy te lahilahy ro nañakarañe aze.
010218006c	Aa le mienga ty rae’e naho i rene’e t’indaty le mipitek’ ami’ty vali’e vaho nofotse raike iereo.
0102190047	Ie amy zay, songa nitanjaka indatiy naho i vali’ey fe tsy nimeñatse.
01030100dd	Nahay fañahy mandikoatse ze kila karaza-biby namboare’ Iehovà Andria­nañahare an-kivok’ ao ty mereñe. Hoe re amy rakembay: Toe nanao ty hoe hao t’i Andrianañahare: Tsy ikama’ areo ze hatae amy goloboñey ao?
0103020057	Hoe ty natoi’ i rakembay amy mereñey: Azo’ay haneñe o voan-katae amy goloboñeio.
0103030093	Fe hoe ty nitsaraen’ Añahare i hatae raik’ anteñateña’ i goloboñey: Tsy ihihinana’ areo vaho tsy ho tsapae’ areo, tsy mone hivetrake.
0103040043	Le hoe ty asa’ i mereñey amy rakembay, Toe tsy hihomake nahareo,
010305009a	fa arofoanan’ Añahare te hibolanake ty fiha­ino’ areo amy andro ikama’ areo aze le ho hambañ’ aman’ Añahare mahafohiñe ty soa naho ty raty.
01030600f5	Aa naho nioni’ i rakembay te soa kama­eñe i hatae zay, naho naha­sinda am-pihaino naho hatae ­sala­laeñe kanao mampahilala, le ­nampi­pototse ty voa’e naho ­nikama le nanjo­tsoa’e ka t’i vali’e nindre ama’e, vaho nikama re.
01030700a1	Nibeak’ amy zao ty fihaino’ iareo roroe naho naharen­dreke te sambe niboridañe le navitra’ iareo an-­jaitse ty raven-tsakoa vaho nanoa’ iareo kitambe.
01030800f8	Jinanji’ iareo ty fiara­ñanaña’ Iehovà Andria­nañahare, ie nidraidraitse an-goloboñ’ ao naho nitio­tio-drikoñe i àndroy, le nipalitse amo hatae an-goloboñeo indatiy naho i tañanjomba’ey tsy hiatreke am’Iehovà Andrianañahare.
0103090047	Le kinanji’ Iehovà Andrianañahare indatiy amy ty hoe: Aia v’iheo?
01030a005c	Tinoi’e ty hoe: Tsinanoko amy goloboñey irehe, le nihemban-draho fa nibongy vaho nietake.
01030b0066	Le hoe Re: Nivolaña’ ia te ihe ni­halo? Nihinana’o hao i hatae nandra­rako azo tsy ihinanañey?
01030c0065	I rakemba natolo’o ho mpiamakoy, hoe indatiy, ie ty nanjotso amako boak’amy hataey vaho nihaneko.
01030d0084	Aa le hoe t’Iehovà Andrianañahare amy rakembay: Inoñ’ o nanoe’oo? Kinalita’ i mereñey, hoe i rakembay, le nihinan-draho.
01030e00da	Hoe t’Iehovà Andrianañahare amy mereñey: Amy te ihe nanao zao, le fàtse irehe amy ze kila hare naho ze hene bibin-kivoke. Hilalilaly an-tro’o irehe, le deboke ty ho filintse’o amy ze fonga andro hiveloma’o.
01030f0084	Le hampirafelahieko amy rakembay, naho o tarira’oo amy tarira’ey. Ho demohe’e ty loha’o vaho ho vonotrobohe’o i tomi’ey.
01031000a6	Hoe Re amy rakembay: Ho silofeko ty fioremeña’o, le hanivontivoñe ty fitsongoa’o, t’ie misamak’ anake. Ho fañiriña’o ty vali’o, vaho ie ty hifehe azo.
01031100e6	Le hoe ka Re tamy Dame: Amy te nihaoñe’o i vali’oy vaho nikama’o i hatae nandraràko azoy ami’ty hoe: Ko ikama’o; le ho hotohotoeko ty ama’o o taneo. Le an-kamokorañe ty hikama’o ama’e ze hene andro hiveloma’o.
010312004e	Hitiria’e fatike naho hisatse, le hikamae’o ze tirin-traka am-patrañe ao.
01031300b6	Ami’ty liñe’ o lahara’oo ro hikama’o mahakama ampara’ t’ie himpoly an-debok’ ao; fa tama’e ty nandrambesañ’ azo, lemboke irehe; le mb’an-deboke ty himpolia’o.
0103140057	Natao’ indatiy Haova ty añara’ i vali’ey, amy t’ie ro rene’ ze hene veloñe.
0103150066	Namboara’ Iehovà Andria­nañahare saron-kolitse indatiy naho i vali’ey le naombe’e am’iareo.
01031600e1	Le hoe t’Iehovà Andrianañahare, Ingo te ninjare hoe raik’ aman-tika indatiy, maharendreke ty soa naho ty raty. Aa tsy mone hahiti’e ty taña’e hampipototse amy hataen-kaveloñey ka, hikama’e ho veloñe nainai’e;
0103170067	le nampiavote’ Iehovà Andriañahare amy goloboñe Edeney re handrokake i tane nandrambesañ’ azey.
01031800af	Aa le sinoi’e añe indatiy vaho nampijadoñe’e ke­robe reke-pibara nibela niviombioñe ami’ty atiñana’ i goloboñe Edeney higari­tse ty lala’ i hataen-kaveloñey.
0104010082	Nandrèndreke i Haova, vali’e t’i Dame, le nivesatse naho nisamake i Kàine vaho nanao ty hoe: Nahazoako lahilahy t’Iehovà.
010402006b	Nisamake indraike re, le i Hèbele zai’e. Nimpihare añondry t’i Hèbele le nimpiava tane t’i Kàine.
0104030051	Ie te indraike, nibanabana ty lengom-boñe’ i taney am’ Iehovà t’i Kàine,
010404008a	le ninday ty valohan’ ana’ o hare’eo naho ty sabora’e t’i Hèbele. Aa le nitoliha’ Iehovà t’i Hèbele naho i banabana’ey,
010405007a	fe tsy hinao’e t’i Kàine naho i enga’ey. Niforoforo ami’ty habose’e amy zao t’i Kàine vaho nilonjom-bintañe
0104060051	Inoñe ty iviñera’o hoe t’Iehovà amy Kàine vaho ino ty mahalonjets’ azo?
01040700a9	Tsy hiampokòfañe hao irehe naho toloñe’o ty hiti’e? Aa naho tsy soa ty anoe’o le mangonònoke anjili-dalañe ao ty hakeo milelalela te hahazo azo, f’ie feheo.
0104080092	Nifanaontsy amy Hèbele rahalahi’e t’i Kàine, aa ie nimb’an-teteke mb’ eo, niambotraha’ i Kàine t’i Hèbele naho nañohofa’e loza.
010409007d	Aa le hoe t’Iehovà amy Kàine, Aia t’i Hèbele rahalahi’o? Tsy fantako, hoe re, mpiambeñ’ an-drahalahiko hao iraho?
01040a005c	Hoe re: Ino o nanoe’oo? Inao! mitoreo amako boak’ an-tane ao ty feon-dion-drahalahi’o;
01040b0065	le fa nafà’ i taney irehe henane zao, ie nanoka-bava handrambe an-taña’o i lion-drahalahi’oy.
01040c007b	Aa ie miava tane henane zao le tsy hafoe’e ama’o ty haozara’e; ie ho mpirererere naho mpitralantralañe an-tane atoy.
01040d0046	Hoe t’i Kàine am’ Iehovà, Tsy leoko babeñe o fandilovañe ahio;
01040e00ca	anindroany irehe nanao soik’ ahy amo tarehe’ ty tane toio, naho hampietaheñe amy lahara’oy iraho, le ho mpiriorio naho mpirererere an-tane atoy, vaho songa hañoho-doza amako ze mifanojeha amako.
01040f009c	Le hoe t’Iehovà ama’e, Aiy! ho valeñe im-pito ze mamono i Kàine; vaho namiloñe i Kàine t’i Andrianañahare tsy ho vonoe’ ze hifanalaka ama’e.
0104100068	Aa le nienga boak’ añatrefa’ Iehovà t’i Kàine, noly an-tane Rererere, atiñana’ i Edene añe.
0104110089	Nifohi’ i Kàine ty vali’e, le niareñe, nisamake i Kanòke; ie nañoren-drova vaho nitokave’e ami’ty añara’ i Kanoke ana’e.
0104120094	Nisamake Irade t’i Kanoke; le nisamak’ i Mehojaèle t’Irade le nisamak’ i Metosaele t’i Mehojaèle vaho nisamake i Lemeke t’i Metosaele.
0104130050	Nampirafe roe t’i Lemeke; le natao ty hoe Adae ty raike naho i Zilae ty raike.
010414004b	Nisamake Iabale t’i Adae; ie ty raem-pimoneñe an-kibohotse naho mpihare.
010415004c	Natao Iobale ty rahalahi’e, ie ty rae’ o mpititike kararàke naho solio.
0104160081	Nisamake i Tobale-kaine t’i Zilae, ie ty nitsene ze hene haraotse torisìke naho viñe. I Naamae ty rahavave’ i Tobale-kaine.
01041700b7	Hoe t’i Lemek’ amo vali’eo: Tsanoño ty feoko ry Adae naho Zilae; Ry vali’ i Lemekeo: mitsendreña o entakoo: Vinonoko t’indaty nandratse ahy, naho ty ajalahy nandafa ahiko.
0104180053	Aa naho i Kàine ro valeañe im-pito, Le toe impitompolo fito amby ka t’i Lemeke.
01041900c9	Nifohi’ i Dame indraike i vali’ey, le nisamak’ ana-dahy vaho natao’e Sete ty añara’e, fa hoe i rakembay: Fa nanendre anake ho ahy t’i Andrianañahare handimbe i Hèbele vinono’ i Kàine.
01041a009f	Nahatoly anake ka t’i Sete, le natao’e Enose ty añara’e. Nifototse amy zay te nikanjy ty tahina’ Iehovà ondatio. izay ty takelam-piantoño’ i Dame.
0105010067	Amy andro namboaren’ ­Añahare ondatioy le nihambam-bintañe aman’ Añahare ty namboare’e iareo.
0105020078	Lahi­lahy naho ampela ty namboare’e iareo naho nitahie’e vaho natao’e ty hoe Ondaty amy andro namboareñe iareoy.
0105030071	Ie zato-tsi-telopolo tao t’i Dame, le nahatoly anake hambam-bintañe ama’e vaho natao’e Sete ty añara’e.
0105040067	Aa ie nisamake i Sete le mbe niveloñe valon-jato taoñe t’i Dame naho nahatoly lahilahy naho ampela.
0105050048	Aa le sivan-jato tsy telopolo taoñe o hene andro’ i Dame te nivilasy.
0105060044	Ie niveloñe zato taoñe lim’ amby t’i Sete le nisamake i Enose.
010507006a	Mbe niveloñe valon-jato taoñe fito amby t’i Sete mifototse amy Enose le nisamake lahilahy naho ampela.
010508004e	Aa le sivan-jato tsy folo-ro’amby taoñe o hene andro’ i Sete te nivilasy.
0105090039	Ie niveloñe 90 taoñe t’i Enose le nisamake i Kanàne.
01050a0071	Mifototse amy nisamahe’e i Kanàney le mbe niveloñe 815 taoñe t’i Enose vaho nisamake lahilahy naho ampela.
01050b0035	Aa le 905 taoñe o hene andro’ i Enose te nivilasy.
01050c003e	Ie niveloñe 70 taoñe t’i Kanàne le nisamake i Mahalalila.
01050d0076	Mifototse amy nisamahe’e i Mahalalilay le mbe niveloñe 840 taoñe t’i Kanàne vaho nisamake lahilahy naho ampela.
01050e0037	Aa le 910 taoñe o hene andro’ i Kanàne te nivilasy.
01050f003b	Ie niveloñe 65 taoñe t’i Mahalalila le nisamake Ierede.
0105100071	Mifototse amy nisamahe’e Ieredey le mbe niveloñe 830 taoñe t’i Mahalalila le nisamake lahilahy naho ampela.
010511003d	Aa le 895 taoñe o hene andro’ i Mahalalila, vaho nivilasy.
0105120038	Ie niveloñe 162 taoñe t’Ierede le nisamake i Kanoke.
010513006f	Mifototse amy nisamahe’e i Kanokey le mbe niveloñe 800 taoñe t’Ierede vaho nisamake lahilahy naho ampela.
0105140036	Aa le 962 taoñe o hene andro’ i Ierede te nivilasy.
010515003d	Ie niveloñe 65 taoñe t’i Kanoke le nisamake i Metoselake.
010516008d	Mifototse amy nisamahe’e i Metoselakey le mbe nindre fañavelo aman’ Añahare 300 taoñe t’i Kanoke vaho nisamake lahilahy naho ampela.
010517002a	Aa le 365 taoñe o hene andro’ i Kanoke.
0105180067	Nindre fañavelo aman’ Andrianañahare t’i Kanoke, le lia’e tsy teo, amy te rinamben’ Añahare.
010519003e	Ie niveloñe 187 taoñe t’i Metoselake le nisamake i Lemeke.
01051a0075	Mifototse amy nisamahe’e i Lemekey le mbe niveloñe 782 taoñe t’i Metoselake vaho nisamake lahilahy naho ampela.
01051b003c	Aa le 969 taoñe o hene andro’ i Metoselake vaho nivilasy.
01051c003a	Ie niveloñe 182 taoñe t’i Lemeke le nisamake lahilahy.
01051d00a9	Natao’e Nòake ty añara’e le nanao ty hoe: Hañohò antika re ami’ty fifanehafantika naho ami’ty fitromaham-pitàn-tika boak’ an-tane’ nafà’ Iehovà toy.
01051e0070	Mifototse amy nisamaha’ i Nòakey le mbe niveloñe 595 taoñe t’i Lemeke vaho nisamake lahilahy naho ampela.
01051f0036	Aa le 777 taoñe o hene andro’ i Lemeke te nivilasy.
010520005b	Lim’anjato taoñe t’i Nòake, le nisamake i Seme naho i Kame vaho Ièfete t’i Nòake.
0106010043	Nangetseketseke ty ia’ ondaty an-tane atoy vaho nisamak’ ampela
0106020067	le nioni’ o anan’ Añahareo te montramontra o anak’ ampela’ ondatio naho nañenga ze nitea’e.
010603008a	Aa le hoe t’Iehovà, Tsy hifanjomotse am’ ondatio nainai’e ty Troko, amy t’ie nofotse, le ho zato-tsi-roapolo taoñe ty andro’e.
01060400c0	Ambone’ tane atoy tañ’andro iizay o Nefalèo naho mbe tafara ka, le vinonje’ o anan’ Añahareo o anak’ ampela’ ondatio vaho nanaranake. Toe nifanalolahy haehae iereo, nilahitsiay.
010605007c	Nivazoho’ Iehovà ty halosoran-katse­reha’ ty tane toy naho te nitolon-kara­tiañe avao ty fivetsevetsen-tro’ iareo.
010606005b	Le naneñena’ Iehovà te namboatse ondaty an-tane atoy vaho nanahelo añ’ arofo’e ao.
01060700b1	Aa le hoe t’Iehovà, Ho faopaoheko ami’ty tane toy ondaty nitsenèkoo, fonga ondaty naho biby naho o raha misitsi­tseo vaho o voron-tiokeo fa aneñenako t’ie namboareñe.
010608003b	Fe nahaoni-pañisohañe am-pihaino’ Iehovà t’i Nòake.
010609008a	izay ty fanoñona’ i Nòake. Vantañe t’i Nòake, tsy nanan-tahiñe amo foko’eo, vaho nindre fañavelo aman’ Añahare t’i Noake.
01060a0038	Nisamake telo t’i Nòake: i Seme, i Kame vaho Ièfete.
01060b0060	Ie amy zay nilo-tserek’ añatrefan’ Añahare naho nilifotse ty hapia­rote­ñe ty tane toy.
01060c006a	Nivazoho i Andrianañahare ty tane toy le naheo’e te lò-tsereke naho songa nimontamontan-tsata ondatio.
01060d00c3	Aa le hoe t’i Andria­nañahare amy Nòake, Fa miatrek’ ahy ty figadoña’ ze atao nofotse, amy te lifo-kapiaroteñe ty tane toy ty am’ iereo, Inao, t’ie hatraoko ro­tsake an-tane atoy.
01060e009d	Aa le mandranjia lakam-poloay ami’ty mendoraveñe, le mandranjia efetsefetse amy lakañey vaho hosoro harahake naho solike ty alafe’e vaho ty añate’e.
01060f008e	Zao ty hamboare’o aze. Ho kiho telon-jato ty an-dava’ i lakam-poloaiy naho kiho limampolo ty am-pohe’e vaho kiho telo-polo ty haabo’e.
01061000aa	Andranjio tafo i lakam-poloaiy vaho ampijebaño kiho raike ty ambone’e; le ano lalambey añ’ila’ i lakam-poloaiy; le andranjio vatsa ambane naho añivo vaho ambone.
01061100a3	Toe Izaho le izaho ty hinday fisorotombahan-drano an-tane atoy han­dro­tsake ze nofotse mikofò-beloñe ambane’ i likerañey; kila ho mongotse ze an-tane atoy.
0106120087	Fe ihe ty hañorizako fañina, le himoaha’o i lakam-poloaiy rekets’ o ana-dahi’oo naho i vali’oy vaho o valin’ ana-dahi’oo.
01061300a3	Hendese’o mb’an-dakam-poloay ao ty kiroe kiroe amy ze hene raha veloñe, amy ze kila nofotse; le ho velome’o mindre ama’areo, ty lahi’e naho ty vave’e.
01061400be	Amo voroñeo ty amo karaza’eo, naho o hareo ty amo karaza’eo, naho ze fonga biby misitsitsy an-tane atoy ty amo karaza’eo, songa roe ama’e ty hiheo mb’ama’o mb’eo hameloma’o.
010615005f	Fonga añandeso ze karaza-mahakama le atontono ho azo, ho kamae’ areo vaho ho hàne’ iareo.
0106160039	Nanoe’ i Nòake. I nandilian’ Añaharey ty nanoe’e.
0107010095	Hoe t’Iehovà amy Nòake, Miziliha an-dakam-polo’ay ao, ihe naho o keleia’o iabio, amy te ihe avao ty nitreako vantañe ami’ty tariratse toy.
010702008e	Ampin­drezo ama’o ki-fito-fito amy ze hene karazam-biby malio, ty lahy naho vave, le roe amy ze karazam-biby faly, ty lahy naho i vave’ey
0107030073	naho sindre fito kiroe-roe amy ze karazam-boron-dikerañe, lahy naho vave, hameloma’e tiry ambone’ ty tane toy.
01070400ca	Ie mongotse ty fito andro garagadìñe le hampiaviako orañe efa-polo andro naho efa-polo haleñe ty an-tane-bey atoy; vaho ho faopaoheko ami’ty tarehe’ ty tane toy ze fonga raha veloñe namboareko.
0107050031	Nihenefe’ i Nòake ze hene nandilia’ Iehovà.
0107060051	Nienen-jato taoñe t’i Nòake te nisorotombak’ ambone’ ty tane toy o ranoo;
0107070097	le nizilik’ am-po’ i lakam-polo-aiy t’i Nòake rekets’ o ana-dahi’eo naho i vali’e vaho o valin’ ana’iareoo ty amy fiempoempoan-dranoy.
0107080063	Le amo biby malioo naho amo biby fàlio naho amo voroñeo vaho amo raha mi­sitsitse an-tane atoio,
0107090073	kiroekiroe, lahy naho vave, songa nizilik’ an-dakam-poloay mindre amy Nòake, amy nandilian’Añahare i Nòakey.
01070a0040	Ie modo ty fito andro le fa an-tane atoy o rano fiempoempoañeo.
01070b00e0	Amy taom-pah’ enen-jato niveloma’ i Nòake, am-bola’e faharoe, amy andro faha folo-fito-ambi’ i volañeiy, amy an­dro zay le hene nitorotositse ze fihanañan-dranon-tsikeokeoke vaho nisokake o lalan-dikerañe iabio.
01070c003c	An-tane atoy efa-polo andro naho efa-polo haleñe i orañey.
01070d00b2	Amy andro zay ty nimoaha’ i Nòake naho i Seme, i Kàme naho Ièfete, ana-dahi’ i Nòake rey, naho i vali’ i Nòake vaho ty vali’ i ana’e telo rey amy lakam-poloaiy ao;
01070e00d2	ie naho ze hene bibi-ly amy karaza’ey, naho ze fonga hare amy karaza’ey, naho ze mpisi­tsitse misitsitse an-tane atoy iaby amy karaza’ey, vaho ze hene voroñe amy karaza’ey, toe ze kila aman’ elatse.
01070f006b	Nizilike mb’amy Nòak’ amy lakam-poloaiy ao, kiroekiroe boak’ amy ze nofotse aman-kofò-beloñe iaby;
010710007f	le nizilike, lahy naho vave amy ze hene nofotse ty nimoak’ ao, ami’ty nandilian’Añahare aze vaho narindri’ Iehovà ao.
01071100a8	Efapolo andro tambone’ ty tane toy i fisorotombahañey; nihamaro o ranoo le nonjone’e i lakam-poloaiy vaho nitoabotse an-tiotio’ ty tane toy eñe i lakam-poloaiy.
0107120071	Nitolom-pionjoñe naho nienène ambone’ ty tane toy i ranoy vaho nihafoñ’ ambone’ rano ey i lakam-poloaiy.
010713006e	Akore ty fionjona’ o rano ambone’ ty tane toio kanao nahalipotse ze atao vohitse abo ambanen-dikerañe ey;
010714003a	toe nilikoare’ i ranoy kiho folo-lim’ amby o vohitseo.
01071500a3	Le fonga niopo ze nofotse nisitsitse an-tane atoy ndra voroñe ndra hare ndra biby ly, naho ze fifamorohotam-biby mifamorohotse an-tane atoy, vaho ze fonga ondaty;
010716005f	le kila nimongotse ze tambone’ i tane nimaikey, ze aman-kofòn-kaveloñe am-piantsona’e ao.
01071700ea	Fonga finaopao’e ze raha namboareñe ambone’ ty tane toy, naho ondaty, naho hare, naho ze raha misitsitse, vaho o voron-tiokeo; toe finao’e an-tane atoy. I Nòak’ avao ty nihonka’e miharo amo nindre ama’e an-dakam-poloaio.
0107180040	Tambatse ambone’ ty tane toy zato-tsi-limampolo andro o ranoo.
01080100cd	Nitiahin’Andrianañahare t’i Nòake naho ze raha veloñe iaby naho ze hene biby nindre ama’e an-dakam‑polo-ay ao. Le nampitiofen’ Añahare ambone’ ty tane toy ty tioke vaho nipendreñe i ranoy;
0108020087	najihetse iaby ze nitorotositse boak’ an-tsikeokeok’ ao naho o lalan-dikerañeo, naho nisebañeñe ty rano boak’an-dindiñe eñe;
010803006b	vaho nitolom-pike­trak’ an-tane atoy i ranoy. Ie modo ty zato tsy limampolo andro le fa nizetse i ranoy;
010804008e	le ami’ty volam-paha-fito, ami’ty andro faha folo-fito’ ambi’ i volañey le nisampe ambone’ ty vohits’ Ararate eo i lakam-poloaiy.
010805007b	Nitolom-pizetse avao i ranoy am-para’ ty volam-paha-folo; ie am-baloha’ i volam-pahafoloy le niboake o lengom-bohitseo.
0108060061	Ie nimodo ka ty efa-polo andro le sinoka’ i Nòake i lalan-kede namboare’e amy lakam-poloaiiy
010807005b	vaho nañirake koàke; nihelahela avao re ampara’ te nimaike ty rano ambone’ tane atoy.
