280000000f	मत्ती
28020400f1	तिने लोका रे सब बड़े पुरोईत और शास्त्री कट्ठे कित्ते और पूछेया, “मसीह रा जन्म केई ऊणा चाईयो?”
2802050146	तिने सबी हेरोदेस राजे खे बोलेया, “यहूदिया प्रदेशो रे बैतलहम नगरो रे; कऊँकि परमेशरे मीका भविष्यबक्ते रे जरिए एई अया बोलेया रा
28020601c2	“‘ओ बैतलहम, जो यहूदा रे प्रदेशो रे, तूँ किंयाँ बी यहूदा रे अधिकारिया रे सबी ते छोटा निया; कऊँकि तां बीचा ते एक राज करने वाल़ा निकल़ना जो मेरी प्रजा इस्राएलो रा रखवाल़ा ऊणा।’”
28020700e0	तेबे हेरोदेसे ज्योतषी चोरिए जे बुलाए और तिना ते पूछेया कि तारा ठीक केस बखते दिशेया था?
28020801b1	तिने ये बोली की सेयो बैतलहमो खे पेजे, “जाओ, और जाई की तेस बच्चे रे बारे रे ठीक-ठीक पता करो। जेबे से मिली जाओगा, तो आईकि मांगे बताओ, ताकि आऊँ बी आईकि तेसगे माथा टेकी सकूँ।”
280209016a	सेयो राजे री गल्ल सुणी की चली गे और देखो, जो तारा तिने पूर्वो रे देखेया था, से तिना ते आगे-आगे चलणे लगेया और जेती बच्चा था, तेती जाई की रुकी गा।
28020a005c	तेस तारे खे देखी की सेयो बऊत खुश ऊए।
28020b01ef	तेबे सेयो तेस कअरो रे पऊँछे और तिने बच्चा तेसरी माए मरियमा साथे देखेया, तेबे तिने मुंओ रे पारे लेटी की यीशुए गे माथा टेकेया और आपणा-आपणा चोल़ा खोलेया और सुईना, लोबान और गन्धरसो री पेंट चढ़ाई।
28020c0127	तेबे सुपने रे तिना खे ये आज्ञा मिली कि हेरोदेस राजे गे फेर नि जाणा, तेबे सेयो दुजिया बाटा रिये आपणे देशो खे चली गे।
28020d02bd	तिना ज्योतषिया रे चली जाणे ते बाद परमेशरो रे एक स्वर्गदूते यूसुफो खे सुपने रे दिशणे ते बाद बोलेया, “उठ, और एस बच्चे और एसरी माया खे लयी की मिस्र देशो खे नठी जा और जदुओ तक आऊँ ताखे नि बोलूँ, तदुओ तक तेथी रणा, कऊँकि हेरोदेस राजा एस बच्चे खे काणा चाओआ और से एसखे टोल़ने लगी रा।”
28020e00c9	तेबे से रातो-रात उठेया और बच्चे और बच्चे री माया खे लई की मिस्र देशो खे चली गा।
28020f0180	जदुओ तक हेरोदेस नि मरेया, तदुओ तक से तेथी रया, ताकि जो वचन प्रभुए होशे भविष्यबक्ता ते बुलाई राखे, सेयो पूरे ओ कि, “मैं आपणा पाऊ मिस्र देशो ते बुलाया।”
2802100243	जेबे हेरोदेसो खे पता चलेया कि ज्योतषिये आऊँ ठगी ता, तेबे तेसखे बड़ा पारी रोष आया। तेबे तिने ज्योतषिया रे जरिए सई बखत पूछे रे मुताबिक आपणे मांणू बैतलहम और नेड़े-तेड़े पेजे और जो दो साला रे पाऊ थे और तिना ते छोटे थे, कुल़ाई ते।
280211008f	तेबे जो वचन यिर्मयाह भविष्यबक्ते बोलेया था, से पूरा ऊआ;
2802120173	“रामाह नगरो रे बड़िया-पारी राड़िया सुणिया, रोणा और शोग; राहेल आपणे बच्चेया खे रोणे लगी री थी और चुप नि ऊणा चाओ थी, कऊँकि तिना रे बच्चे काईते थे।”
28021300e2	हेरोदेसो रे मरने ते बाद, परमेशरो रे स्वर्गदूते मिस्र देशो रे यूसुफो खे सुपने रे बोलेया
2802140110	“उठ और बच्चे और तेसरी आम्मा खे लई की इस्राएल देशो खे चली जा, कऊँकि जो बच्चे खे काणा चाओ थे, सेयो तो मरी गे।”
28021500b0	से उठेया और बच्चे और तेसरी आम्मा खे साथे लई की इस्राएल देशो खे आईगा।
28021601f2	पर जेबे तिने सुणेया कि हेरोदेसो री जगा पाँदे एबे तेसरा पाऊ अरखिलाऊस यहूदिया प्रदेशो रे राज्य लगी रा चलाणे, तो से तेती जाणे ते डरीगा। तेबे सुपने रे तेसखे चेतावणी मिली और से गलील देशो खे चली गा।
2802170126	तेबे से नासरत नाओं रे नगरो रे बसी गा, ताकि भविष्यबक्ते रे जरिए बोलेया रा वचन पूरा ओ कि, “तेसखे नासरी बोलेया जाणा।”
28030100f6	तिना दिना रे यूहन्ना बपतिस्मा देणे वाल़ा यहूदिया रे सुणसाण जगा रे आयी की ये प्रचार करने लगेया,
280302007e	“मन फेरो; कऊँकि स्वर्गो रा राज्य नेड़े आईगा रा।”
28030301a3	ये सेई मांणू ए, जेसरी गल्ल यशायाह भविष्यबक्ते कित्ती थी कि, “सुणसाण जगा रे एक आक्का पाणे वाल़े री आवाज ओई, ‘प्रभुए री बाट त्यार करो, और तिना री सड़का सीदिया करो।’”
2803040154	तिने यूहन्ने ऊँटो रे बाल़ो रे टाले पईनी राखे थे और आपणे लको रे चामड़े रा पट्टू बानेया रा था और तेसरी रोटी टिड्डिया और बणो रा सईत था।
28030500e9	तेबे यरूशलेमो रे, सारे यहूदिया प्रदेशो रे और सारे यरदन देशो रे ओरले-पोरले मांणू तेसगे आए।
28030600b5	तेबे तिने आपणे-आपणे पापो खे मानी की यरदन नदिया रे तेसते बपतिस्मा लया।
28030701d2	जेबे तिने देखेया कि बऊत सारे फरीसी और सदूकी मांगे बपतिस्मा लणे लगी रे आऊणे, तेबे तिना खे बोलेया, “ओ सापो जेड़े जईरीले लोको! तुसा खे किने जताई ता कि आऊणे वाल़े परमेशरो रे रोषो ते नठो?
2803080062	इजी री खातर मन फिराओ और अच्छे काम करो।
280309016a	और आपणे-आपणे मनो रे एड़ा नि सोचो, ‘आसा रा बाओ अब्राहम ए।’ कऊँकि आऊँ तुसा खे बोलूँआ कि परमेशर इना पात्थरा ते अब्राहमो खे ल्वाद पैदा करी सकोआ।
28030a0109	एबे परमेशर तुसा खे सजा देणे वाल़ा ए, तेबेई तो जो-जो डाल़ खरा फल नि ल्याऊँदे, से बाडे और आगी रे सेटे जाओए।
28030b01eb	“आऊँ तो पाणिए की तुसा खे मन फेरने रा बपतिस्मा देऊँआ, पर जो मांते बाद आऊणे वाल़ा ए से मांते बी जादा महान् ए, आऊँ तेसरे जोड़े चकणे जोगा पनिए। तेस तुसा खे पवित्र आत्मा और आगी साथे बपतिस्मा देणा।
28030c018e	तेसरा सूप तेसरे आथो रे ए और तेस आपणा खल्याण ठीक टंगो ते साफ करना और कणक तो आपणे पण्डारो रे राखी देणी, पर जो पूऊ ऊणा, से एड़िया आगी रे सेटणा, जो कदी नि बिजणी।”
28030d00c8	तेस बखते यीशु मसीह गलीलो ते यरदन नदिया रे कनारे यूहन्ने ते बपतिस्मा लणे आये।
28030e011a	पर यूहन्ना तेसखे ये बोली की रोकणे लगेया, “माखे तो तुसा रे आथो ते बपतिस्मा लणे री जरूरत ए और तुसे मांगे आयी रे”
28030f015b	यीशुए तेसखे ये जवाब दित्तेया, “एबे तो एड़ा ई ऊणे दे; कऊँकि आसा खे ईंयां ई सारी धार्मिकता पूरी करनी ठीक ए।” तेबे तिने यीशुए री गल्ल मानी
28031001f1	और यीशु मसीहे फटाफट बपतिस्मा लया और पाणिए ते पाँदे आए, और देखो, तिना खे सर्ग खुली गा; तेबे तिने परमेशरो री पवित्र आत्मा खे जिंयाँ कबूतर उड़दा ऊआ थाले आओआ तिंयाँ ई तिने आपू पाँदे आऊँदे ऊए देखेया
28031100c4	और देखो, स्वर्गो ते ये आवाज आयी, “ये मेरा प्यारा पुत्र ए, आऊँ एसते बऊत खुश ए।”
28040100d0	तेबे पवित्र आत्मा यीशुए खे सुणसाण जगा रे लईगा, ताकि शैतानो ते तिना री परीक्षा ओ।
28040200a0	सेयो चाल़ी दिन और चाल़ी राती पूखे रये और तेबे तिना खे पूख लगी।
2804030104	तेबे शैताने यीशुए गे आई की बोलेया, “जे तूँ परमेशरो रा पुत्र ए, तो इना पात्थरा खे बोल कि रोटी बणी जाओ।”
28040401ac	यीशुए जवाब दित्तेया, “पवित्र शास्त्रो रे लिखी राखेया, “‘मांणू रोटिया साथे ई जिऊँदा नि रणा, पर हर एक वचन, जो परमेशरो रे मुंओ ते निकल़ी रे तिना खे मानी की जिऊँदा रओआ।’”
28040500f2	तेबे शैतान यीशुए खे पवित्र नगर यरूशलेमो खे लईगा और सेयो मन्दरो री चूँडिया पाँदे खड़े करी ते।
28040602a9	तेबे तिना खे बोलणे लगेया, “जे तूँ परमेशरो रा पुत्र ए, तो आपू खे एथा ते थाले रुड़ाई दे; कऊँकि पवित्र शास्त्रो रे लिखी राखेया कि परमेशरो तेरिया तंईं आपणे स्वर्गदूता खे आज्ञा देणी, “‘और तिना तूँ आपणे आथो-आथ चकी लणा, केथी एड़ा नि ओ कि तेरे पैरो रे पात्थरो साथे बूड़ो।’”
28040700f7	यीशुए तेसखे बोलेया, “पवित्र शास्त्रो रे एड़ा बीए लिखे रा, ‘तूँ प्रभु, आपणे परमेशरो खे नि परख।’”
280408010b	तेबे शैतान तिना खे एक ऊच्चे पाह्ड़ो पाँदे लईगा और सारी दुनिया रे सारे राज्य और तिजी रे एशो-आराम दखाई की
28040900bc	तिना खे बोलेया, “जे तां मांगे माथा टेकणा, तो मां ताखे ये सब कुछ देई देणा।”
28040a01b4	तेबे यीशुए तेसखे बोलेया, “हईओ शैतान; मेरी नजरा ते दूर ऊई जा, कऊँकि पवित्र शास्त्रो रे एड़ा लिखी राखेया, ‘तूँ प्रभु आपणे परमेशरो गे ई माथा टेक और बस तिना री ई आराधना कर।’”
28040b00a9	तेबे शैतान यीशुए गे ते चली गा और स्वर्गदूत तिना री सेवा करने लगे।
28040c012c	जेबे यीशुए सुणेया कि यूहन्ना पकड़वाईता, तेबे सेयो यहूदिया प्रदेशो खे छाडी की गलील प्रदेशो रे नासरत नगरो खे चली गे।
28040d0119	और फेर सेयो नासरत नगरो खे छाडी की कफरनहूम नगरो रे रणे लगे, जो जबूलून और नप्ताली इलाके रे समुद्रो रे कनारे था।
28040e007c	ताकि जो यशायाह भविष्यबक्ते बोलेया था, से पूरा ओ,
28040f00ed	“जबूलून और नप्तालिया रे इलाके, समुद्रो री बाटा रिये यरदन नदिया रे पार, दूजी जातिया रा गलील।
2804100162	जो मांणू परमेशरो खे नि जाणदे और न्हेरे रे जिऊणे लगी रे थे, तिने बड़ी जोति देखी; और जो मौता ते डरी की जिऊणे लगी रे थे, तिना पाँदे जोति चमकी।”
2804110116	तेस बखतो ते यीशुए ये प्रचार करना और ये बोलणा शुरू करी ता कि, “मन फेरो कऊँकि स्वर्गो रा राज्य नेड़े आईगा रा।”
28041201c7	तेबे तिने गलीलो रे समुद्रो रे कनारे कूमदे ऊए दो पाई, मतलब-शमौन, जेसखे पतरस बी बोलोए और तेसरा पाई अन्द्रियास समुद्रो रे जाल़ पाँदे ऊए देखेया, कऊँकि सेयो मछलिया पकड़ने वाल़े थे।
280413016a	तेबे यीशुए तिना खे बोलेया, “मां पीछे आओ और जिंयाँ तुसे मच्छली पकड़ना जाणोए तिंयाँ ई मां तुसा खे परमेशरो गे मांणू पकड़ी की ल्याऊणे सिखाणे।”
2804140074	सेयो तेबुई जाल़ छाडी की यीशुए पीछे चली पड़े।
2804150191	तेथा ते आगे जाई की यीशुए और दो पाई मतलब जब्दिए रे पाऊ याकूब और तेसरा पाई यूहन्ना आपणे पिते साथे किस्तिया पाँदे जाल़ ठीक करदे ऊए देखे और तिने सेयो बी बुलाए।
28041600b6	सेयो तेबुई आपणी किस्ती और आपणे पिते खे छाडी की यीशुए रे पीछे चली पड़े।
28041701ae	यीशु गलील प्रदेशो रे बऊत सारी जगा रे कूमदे रए और तिना री प्रार्थना रे कअरो रे उपदेश और राज्य रा सुसमाचार प्रचार करदे रए और लोका री बमारिया और कमजोरिया खे दूर करदे रए।
2804180237	तेबे सारे सीरिया प्रदेशो रे सेयो मशुर ऊईगे और लोक सारे बमारा खे, जो कई प्रकारा रिया बमारिया ते और दु: खो रे जकड़ी रे थे, जिना रे दुष्टात्मा थिया, मिर्गी वाल़े और अदरंगो रे रोगिया खे यीशुए गे ल्याए और तिने सेयो ठीक कित्ते।
280419013b	तेबे गलील प्रदेश, दिकापुलिस इलाका, यरूशलेम नगर, यहूदिया प्रदेश और यरदनो री नदिया ते पारो ते पीड़ा री पीड़ तिना पीछे आईगी।
2805010110	यीशु तेसा पीड़ा खे देखी की पाह्ड़ो पाँदे चढ़ी गे, जेबे सेयो उपदेश देणे बैठे, तेबे तिना रे चेले तिना गे आए।
2805020048	तेबे यीशु ये उपदेश देणे लगे:
28050300a9	“धन्य ए सेयो, जो मनो रे सल़ीन ए, कऊँकि स्वर्गो रा राज्य तिना रा ईए।
280504009a	धन्य ए सेयो, जो शोग करोए, कऊँकि परमेशरो तिना खे शान्ति देणी।
2805050091	धन्य ए सेयो, जो नम्र ए, कऊँकि सेयो तरतिया रे अक्कदार ऊणे।
28050600dc	धन्य ए सेयो, जो धार्मिकता री जिन्दगी जिऊणे खे पूखे ए और त्याय ए, कऊँकि सेयो रजाए जाणे।
2805070097	धन्य ए सेयो, जो दयालु ए, कऊँकि परमेशरो तिना पाँदे दया करनी।
280508008b	धन्य ए सेयो, जिना रे मन साफ ए, कऊँकि तिना परमेशर देखणा।
28050900bc	धन्य ए सेयो, जो मेल-जोल कराओए, कऊँकि तिना खे परमेशरो रे बच्चे बोलेया जाणा,
28050a00f8	धन्य ए सेयो, जो धार्मिकता री जिन्दगी जिऊणे री तंईं सताए जाओए, कऊँकि स्वर्गो रा राज्य तिना रा ईए।
28050b013f	“धन्य ए तुसे, जेबे लोक मेरी बजअ ते तुसा री निन्दा करोए, तुसा खे सताओए और चूठ बोली-बोली की तुसा रे खलाफ बुरी-बुरी गल्ला बोलोए।
28050c0161	तेबे खुश और मगन ऊणा, कऊँकि तुसा खे स्वर्गो रे बऊत बड़ा ईनाम मिलणा, कऊँकि तिने, जो तुसा ते बऊत पईले भविष्यबक्ता थे, सेयो बी ईंयां ई सताए थे।
28050d023c	“तुसे तरतिया रे रणे वाल़े लोका खे लूणो जेड़े ए। पर जे लूणो रा स्वाद बिगड़ी जाओ, तेबे कुण जी एड़ी चीज ए जेते की लूणका ऊई जाओ। तेबे से किजी कामो रा नि रंदा सिवाए एतेरे कि तेसखे बारे सेटी देयो और लोक तिजी खे पैरा निठे केसदे रओ।
28050e00ac	तुसे दुनिया री जोति ए, जो नगर पाह्ड़ो पाँदे बसी रा, से लूकी नि सकदा।
28050f011f	लोक दिऊआ बाल़ी की टोकरूए निठे नि राखदे, पर फटिया पाँदे राखोए, तेबे तिजी साथे कअरो रे सारे मांणूआ खे प्रयासा ओआ।
280510014b	तिंयाँ ई तुसा रा प्रयासा बी लोका सामणे चमको, ताकि तुसा रे खरे काम देखी की सेयो तुसा रे पिते री, जो स्वर्गो रे ए, तिना री तारीफ करो।
2805110118	“एड़ा नि समजो कि आऊँ मूसे रा बिधान या भविष्यबक्ता री कताबा खे रचाणे आयी रा, आँऊ रचाणे नि, पर पूरा करने आयी रा।
2805120168	कऊँकि आऊँ तुसा खे सच लगी रा बोलणे कि जदुओ तक सर्ग और तरती नि टल़ी जाओगी, तदुओ तक बिधानो ते एक बी मात्रा या एक बी बिन्दु बिना पूरा ऊए नि टल़ना।
2805130241	तेबेई तो जो कोई इना छोटिया ते छोटी आज्ञा बीचा ते केसी एकी खे पनि मानोगा और तेड़ा ई लोका खे सिखाओगा, से स्वर्गो रे राज्य रे सबी ते छोटा ऊणा, पर जो कोई तिना आज्ञा खे मानोगा और तिना खे बी सिखाओगा, सेई स्वर्गो रे राज्य रे बड़ा ऊणा।
2805140186	कऊँकि आऊँ तुसा खे बोलूँआ कि जे तुसे परमेशरो री आज्ञा खे शास्त्री और फरीसिया री आज्ञा ते बड़ी की नि मानो, तो तुसे कदी बी स्वर्गो रे राज्य रे नि जाई सकदे।
280515014d	“तुसे सुणी चुकी रे कि पुराणे बखतो रे मांणूआ खे बोलेया था कि ‘अत्या नि करनी’, और जो कोई बी अत्या करोगा तेसखे कचैरिया रे सजा मिलणी।
280516023c	पर आऊँ तुसा खे ये बोलूँआ कि जो बी आपणे पाईए पाँदे रोष करोगा, तेसखे कचैरिया रे सजा मिल़णी और जो कोई आपणे पाईए खे नकम्मा बोलोगा, तेसखे बडिया सभा रे सजा मिलणी और जो कोई दूजे खे ‘अरे मूर्ख’ बोलोगा से नरको री आगी री सजा जोगा ऊणा।
280517011b	इजी री खातर जेबे तूँ आपणी पेंट बेदिया पाँदे ल्याओ और तेती तूँ याद करे कि तेरे पाईए रे मनो रे तेरिया तंईं खोट ए,
280518011b	तो आपणी पेंट तेथी बेदिया रे सामणे छाडी दे और पईले जाई की आपणे पाईए साथे मेल-जोल कर, तेबे आयी की आपणी पेंट चढ़ा।
28051901f2	जदुओ तक तूँ आपणे दुश्मणो साथे बाटा रेईए, तेस साथे फटाफट मेल-जोल करी लो, केथी एड़ा नि ओ कि तेरा दुश्मण ताखे हाकिमो रे आथो रे देई देओ और हाकिम ताखे सिपाईया रे आथो रे देई देओ और ताखे जेला रे पाई देओ।
28051a00cd	आऊँ ताखे सच बोलूँआ कि जदुओ तक तूँ पाई-पाई नि देई देओगा, तदुओ तक तेथा ते छुटणा नि।
28051b008b	“तुसे सुणी चुकी रे कि बोलेया था, ‘व्याभिचार नि करना।’
28051c0135	पर आऊँ तुसा खे ये बोलूँआ कि जो कोई बी केसी जवाणसा खे बुरी नजरा ते देखोआ, तो तिने आपणे मनो रेई तेसा साथे व्याभिचार करी ला।
28051d01a2	जे तेरी दाँणी आख ताखे ठोकरा री बजअ बणो ई, तो तूँ तेसा खे काडी की सेटी दे; कऊँकि ताखे येई ठीक ए कि तेरे अंगा बीचा ते एक नाश बी ऊई जाओ, तो सारा शरीर नरको रे नि सेटेया जाओ
28051e03b0	जे तेरा दाँणा आथ ताखे ठोकरा री बजअ बणोआ, तो तेस बाडी की सेटी दे, कऊँकि ताखे येई ठीक ए कि तेरे अंगा बीचा ते एक नाश बी ऊई जाओ तो सारा शरीर नरको रे नि पड़ना। (एतेरा मतलब ये नियाँ कि आसा आपणी आख काडी की सेटी देणी या आपणा आथ बाडी देणा पर ये कि जो काम तुसा खे परमेशरो रे राज्य रे आगे बड़ने ते रोको ए या जो मांणू तुसा खे गल़त करने खे उकसाओ ए तो तुसा से मांणू या चीज छाडी देणी चाईयो।)
28051f00e6	“ये बी बोलेया रा था, ‘जो कोई आपणी लाड़िया खे तलाक देणा चाओ, तो से तेसा खे त्यागपत्र देयो।’
28052001f7	पर आऊँ तुसा खे ये बोलूँआ कि जो कोई आपणी लाड़िया खे व्याभिचारो ते अलावा किजी ओरी बजअ ते छाडोगा, तो से तेसा ते व्याभिचार करवाओआ और जो कोई तेसा छाडी रिया जवाणसा साथे ब्या करोआ, से बी व्याभिचार करोआ।
2805210135	“फेर तुसे सुणी चुकी रे कि पुराणे जमाने रे लोका खे बोलेया रा था, ‘चूठी कसम नि खाणी, पर प्रभुए री खातर आपणी कसम पूरी करनी।’
28052200ec	पर आऊँ तुसा खे ये बोलूँआ, कि कदी कसम नि खाणी, ना तो स्वर्गो री, कऊँकि से परमेशरो रा सिंहासन ए।
28052300df	ना तरतिया री, कऊँकि से तिना रे पैरो री चौकी ए, ना यरूशलेमो री, कऊँकि से महाराजे रा नगर ए।
28052400cf	आपणे सिरो री कसम पनि खाणा, कऊँकि तूँ एक बी बाल़ो खे न तो सफेद करी सकदा, ना ई काल़ा।
2805250105	पर तुसा री गल्ल ‘आ री आ’ और ‘ना री ना’ ऊणी चाईयो; कऊँकि जो गल्ल इजी ते जादा ओई, से शैतानो री तरफा तेई ओई।
28052600da	“तुसे सुणी चुकी रे कि बिधानो रे बोलेया रा था, ‘आखी रे बदले आख, और दाँदो रे बदले दाँद।’
2805270184	पर आऊँ तुसा खे ये बोलूँआ कि जो कोई तां साथे बुरा करो तेतेरा बदला नि लणा, पर जो कोई तुसा री दाँणी खाखा रे थप्पड़ बाओआ, तो तेस कनारो खे दूजी खाख बी करी देओ।
28052800cf	जे कोई तां पाँदे दोष लगाई की तांते तेरा कुरता लणा चाओआ, तो तेसखे तोती बी लणे देओ।
280529009f	जे कोई जबरदस्ती ताखे एक मील लई चलोआ, तो तूँ दो मील तेस साथे चल।
28052a00d7	जो कोई तांते माँगो, तेसखे दे और जो कोई तांते त्वार लणा चाओआ, तो तूँ तेसते मूँ नि फेर।
28052b010a	“तुसे सुणी चुकी रे कि बिधानो रे बोलेया रा था, ‘आपणे पड़ोसिये साथे प्यार राखो और आपणे बैरिया साथे बैर।’
28052c010e	पर आऊँ तुसा खे बोलूँआ कि आपणे दुश्मणा साथे प्यार राखो और जो तुसा खे सताओआ, तो तेसखे प्रार्थना करेया करो।
28052d019c	ताकि तुसे आपणे स्वर्गो रे पिते रे बच्चे ठईरो, कऊँकि से खरे लोका और बुरे लोका दूँईं पाँदे आपणा सूरज निकयाल़ोआ और तर्मी लोका और पापी लोका दूँईं पाँदे बरखा करोआ।
28052e0143	कऊँकि जे तुसे आपू साथे प्यार राखणे वाल़ेया साथे ई प्यार राखोगे, तो तुसा खे क्या फाईदा ऊणा? क्या कर लणे वाल़े बी एड़ा ई नि करदे?
28052f00fc	“जे तुसे आपणे पाईए खेई नमस्कार करोए, तो कुण जा बड़ा काम करोए? क्या दूजी जातिया रे बी एड़ा ई नि करदे?
28053000a6	इजी री तंईं तुसे सिद्ध बणो, जेड़ा तुसा रा स्वर्गिय पिता सिद्ध ए।
2806010118	“सावधान रओ! तुसे लोका खे दखाणे रिया तंईं तर्मो रे काम नि करो, नई तो आपणे स्वर्गिय पिते ते कुछ बी फल नि मिल़णा।
28060201bc	तेबेई तो जेबे तूँ दान करे, तो सबी गे राग नि लगा, जेड़ा कपटी, प्रार्थना रे कअरो रे और गल़िया रे करोए, ताकि लोक तिना री तारीफ करो। आऊँ तुसा खे सच बोलूँआ कि सेयो आपणा फल पाई चुके।
28060300d2	पर जेबे तूँ दान करे, तो जो तेरा दाँणा आथ करोआ, से तेरे खूँजे आथो खे पता नि ऊणा चाईए।
28060400c8	ताकि तेरा दान गुप्त रओ और तेबे तेरा पिता जो गुप्तो रे देखोआ, तेस ताखे फल देणा।
280605023d	“जेबे तूँ प्रार्थना करे, तो कपटिया जेड़ी नि ऊणी चाईयो, कऊँकि लोका खे दखाणे रिया तंईं प्रार्थना रे कअरो रे और सड़का रे मोड़ो रे खड़े ऊई की प्रार्थना करना तिना खे अच्छा लगोआ, पर आऊँ तुसा खे सच बोलूँआ कि सेयो आपणा फल पाई चुके।
28060601a1	पर जेबे तूँ प्रार्थना करे, तो आपणे कमरे रे जा और दरवाजा बन्द करी की आपणे पिते ते, जो गुप्तो रे ए, प्रार्थना कर। तेबे तेरा पिता, जो गुप्तो रे देखोआ, तेस ताखे फल देणा।
