2800000006	MATAYO
2805110061	“Sambimgelegeze kamba niza kugatengula Malagizo ga Musa na mafundo ga wahokozi, ila kugavikiza.
2805120098	Nowalongela ikweli, mbaka ulanga na isi vondavisegele, haduhu hata helufi imwe ndodo kulawa Mmalagizo ga Musa yondaisegezigwe mbaka mbuli zose zivikile.
28051300ff	Avo, munhu yoyose yoleka kutenda ndagizi imwe ili ndodo, na kuwafundiza wanhu sambiwaitende, munhu iyo kokemigwa mdodo muna Undewa wa Kuulanga. Ila munhu yoyose yondayazitende ndagizi zino na kuzifundiza, munhu iyo kokemigwa mkulu muna Undewa wa Kuulanga.
28051400a2	Kwavija nowalongela, mbuli zenu zilibule uzenzeleganye zihaleka kuzibanza zija za Mafalisayo na wafundiza Malagizo ga Musa, hamdaha kwingila Muundewa wa Kuulanga.
280515006b	“Muhulika kamba wanhu wa umwaka viwalongeligwe, ‘Sambiukome, na yoyose yondayatende avo kotagusigwa.’
2805160109	Ila nie nowalongela, munhu yoyose yomonela lusango ndugu yake kotagusigwa, na munhu yoyose yomuliga ndugu yake kolondigwa yagaligwe Kukitala Kikulu cha Isi ya Wayahudi, na munhu yoyose yolonga, ‘Gweye kwa m'bozi’ ka mdihekaheka da kwingila hana umoto wa kuzimu.
2805170077	Avo, kamba uhalonda kulava nhunza yako hana ikilingo cha kulavila nhosa, na kukumbukila kamba kuna mbuli na ndugu yako,
2805180088	ileke nhunza yako haulongozi wa ikilingo cha kulavila nhosa, tanhu genda mkailumbe na ndugu yako, abaho, leka ubwele uilave nhunza yako.
28051900b8	“Ilumbe hima na munhu yokutagusa, kipigiti mng'hali mnzila mchola kukitala, giladi sambiyakugale ha mulamula, na mulamula yakugele mmakono ga wemilizi, na wemilizi wakugele mkifungo.
28051a003b	Nokulongela ikweli, hulawa himo mbaka ulihe deni jako jose.
28051b0033	“Muhulika kamba ilongwa, ‘Sambiutende ugoni.’
28051c0065	Ila nie nowalongela, munhu yoyose yomulola mtwanzi mkumsulukila, kesha kutenda nayo ugoni mmoyo wake.
28051d00b5	Avo kamba siso jako da ukulume dokutenda utende vilozo, ding'ole ujase kutali nagwe! Vinoga kumwako kwagiza kipindi kimwe cha lukuli lwako kubanza lukuli lwako lose lwasigwe kuzimu.
28051e00b2	Na kamba mkono wako wa ukulume wokutenda utende vilozo, ukanhe uwase kutali nagwe! Vinoga kumwako kwagiza kipindi kimwe cha lukuli lwako kubanza lukuli lwako lose luchole kuzimu.
28051f006a	“Vivija ilongigwa, ‘Munhu yoyose yomwasa mtwanzi wake, kolondigwa yamwandikile lupwilili lwa nyasa.’
28052000b5	Ila nie nowalongela kamba, munhu yoyose yomwasa mtwanzi wake, ila tu sama ya kilamso cha ugoni, komtenda mtwanzi hiyo yawe mgoni, na munhu yoyose yomsola mtwanzi hiyo kotenda ugoni.
2805210080	“Vivija muhulika kamba wanhu wa umwaka viwalongeligwe, ‘Sambiuiduile uvwizi ila ugoge kiduilo chako chuuiduile ha Mndewa.’
280522006f	Ila nie nowalongela, sambimuiduile kabisa. Sambimuiduilile ulanga, kwavija kicho kigoda cha undewa cha Mulungu,
2805230090	ama sambimuiduilile isi, kwavija kicho kigoda chake cha kwikila magulu gake, ama sambimuiduilile Yelusalemu, kwavija dijo wambo da Mndewa Mkulu.
2805240067	Vivija sambiuiduilile pala jako, kwavija hudaha kutenda hata luvili lwako lumwe kuwa luzelu ama lutitu.
280525008d	Mbuli zenu ziwe ‘Ona’ kamba ihawa ‘Ona’ ama ‘Sio’ kamba ihawa ‘Sio.’ Chochose chondakibanze mbuli zino cholawa ha Mwenembago.
2805260043	“Muhulika ilongigwa kamba, ‘Siso kwa siso, na zino kwa zino.’
280527006f	Ila nie nowalongela, sambium'bwelezele mtenda gehile. Munhu yahakutoa kanza da ukulume, muhindusile na diyagwe.
2805280054	Na munhu yahakugala kukitala na kukusolela shati jako, vivija mulekele na koti jako.
2805290058	Kamba munhu yahakushulutiza umpapile bahasha yake kilometa imwe, mpapile kilometa mbili.
28052a005a	Munhu yondayakupule, mgwelele, na munhu yoyose yolonda umkalizi, sambiumuhindukile kisogo.
28052b005b	“Muhulika kamba ilongigwa, ‘Mnogele munhu wa habehi nagwe, na umwihile mdumuka wako.’
28052c0050	Ila nie nowalongela, wanogele wadumuka zako na muwatambikile waja wose wowagaza,
28052d00a4	giladi muwe wana wa Tata wenu wa kuulanga. Heyo yowamwemwesela zua jake wanhu wehile na wanogile, na yowatoela mvula wazenzeleganye na wanhu walibule uzenzeleganye.
28052e006d	Ihawa mowanogela wanhu wose waja wowonogela mweye, mopata nhunza yaki? Kwavija hata wawila kodi wotenda vivo!
28052f006e	Na kamba mowalamsa ndugu zenu weiyeka, kinhu chaki kikulu kimtenda kubanza wayagwe? Hata Wamhazi wotenda vivo!
2805300051	Avo, sambimuhungule hanhu kamba Tata wenu wa kuulanga viyalekile kuhungula hanhu!
28060100a4	“Iteganyeni, sambimtende mbuli zenu zinogile haulongozi wa wanhu giladi mwoneke na hewo, kwavija muhatenda hivo ham'bokela nhunza kulawa ha Tata wenu wa kuulanga.
28060200de	“Uhamwing'ha mkumbulu, sambiumulongele munhu yoyose mkutoa mhalati, kamba viwotenda videlenya muna zing'anda za nhambiko na mzinzila, giladi watogoligwe na wanhu. Nowalongela ikweli, wanhu hiwo wesha kubokela nhunza yao.
2806030067	Ila uhamwing'ha mkumbulu, hata mkono wako wa ukumoso sambiuvitange kitendigwa na mkono wako wa ukulume,
2806040060	avo nhunza yako yowa mkifiso. Abaho, Tataako, yolola kija kitendeke mkifiso, kokugwelela nhunza.
28060500d1	“Muhatambika, sambimuwe kamba videlenya! Kwavija hewo wonogelwa kutambika kuno wemile wima muna zing'anda za nhambiko na mzinzilamhanda, giladi woneke na wanhu. Nowalongela ikweli, wesha kubokela nhunza yao.
2806060099	Ila uhatambika, ingila mdigati jako, hinda ulwivi, na tambika ha Tataako yali mkifiso. Abaho, Tataako, yolola kija kitendeke mkifiso, kokugwelela nhunza.
28060700a1	“Muhatambika, sambimulonge mbuli bwando zilibule nhegulo ha Mulungu, kamba viwotenda Wamhazi, kwavija wogelegeza kamba wohulikwa sama ya mbuli zao kuwa bwando.
2806080054	Sambimuilinge nao, kwavija Tata wenu kovitanga chumulonda hata mng'hali hamunampula.
280609004a	Avo tambikeni kamba vino, ‘Tata wetu wa kuulanga, twaga jako diyenzigwe,
28060a0041	Undewa wako wize, chuulonda kitendeke muisi kamba viili kuulanga.
28060b0023	Utugwelele mandia getu ga kila zua.
28060c005c	Vigele kumgongo vilozo vetu, kamba tweye vituwagela kumgongo wanhu watutendile mbuli zihile.
28060d0085	Sambiutugele mkugezigwa, ila utukombole kulawa ha Mwenembago. Kwavija Undewa, na mhiko, na yenzi vako gweye gunge na gunge. Amina.’
28060e0083	“Kwavija kamba muhawagela kumgongo wanhu wawatendile mbuli zihile, vivija na Tata wenu wa kuulanga kovigela kumgongo vilozo venu.
28060f007c	Ila kamba hamuwagela kumgongo wanhu wawatendile mbuli zihile, vivija na Tata wenu wa kuulanga havigela kumgongo vilozo venu.
28061000a3	“Muhafunga, sambimnyunguale kamba viwotenda videlenya, kwavija wosinalika giladi watogolwe na wanhu kamba wafunga. Nowalongela ikweli, wesha kubokela nhunza yao.
280611003d	Uhafunga, suluza kihanga chako abaho bakaza mavuta pala jako,
280612008f	giladi wanhu sambiwavitange kamba kufunga. Ila Tataako yoleka koneka, kovitanga. Na Tataako, yolola kija kitendeke mkifiso, kokugwelela nhunza.
2806130074	“Sambimwiikile ngama muisi, aho hana ivimhungu na ng'hangaga hondawabanange, na wabavi wobena wokwingila na kwiba.
2806140072	Ila ikeni ngama kuulanga, kulibule vimhungu na ng'hangaga wondawabanange, na wabavi hawabena na kwingila na kwiba.
2806150044	Kwavija hanhu haili ngama yako, vivija na moyo wako baho hondaukale.
280616005a	“Siso dijo kiwenge cha lukuli. Ihawa siso jako gima, lukuli lwako lose lomema mulangaza.
2806170081	Ila siso jako dihabanangika, lukuli lwako lose lomema ziza. Na kamba mulangaza uli mgati yako wowa ziza, avo ziza hijo dowa kulu!
28061800c7	“Haduhu munhu yodaha kuwasang'hanikila wandewa wabili, kwavija komwihila imwe na kumnogela iyagwe, ama komnanahila imwe na kum'beza iyagwe. Hudaha kumsang'hanikila Mulungu kuno usang'hanikila mali.
28061900bc	“Avo nowalongela, sambimuigazile ugima wenu, kamba mje choni ama mung'we choni, ama ng'huli zenu, kamba m'vale choni. Ugima hauzamile kubanza mandia? Na lukuli haluzamile kubanza vivalo?
28061a009e	Waloleni ndege wa kuulanga, hawahanda, hawahuna, na hawakunzanya mmakano, na Tata wenu wa kuulanga kowagwelela mandia. Avo, mweye mzama ng'hani kubanza ndege.
28061b0049	Yalihi mmwanza wenu mkuigaza yodaha kuiyongezela saa dimwe da ugima wake?
28061c0063	“Habali muigazila vivalo? Loleni malua ga kumgunda vigokula, hagasang'hana ama kuitendela vivalo.
28061d0060	Nowalongela kamba hata Selemani na yenzi yake yose havazigwe vinogile kamba dimwe da malua gano.
28061e00a6	Ihawa kamba Mulungu kodivaza jani da kumgunda, dija lelo dabaho na mayo dokwasigwa muna umoto, vino heyo haleka kuwavaza vinogile mweye wanhu muli na nhamanila ndodo?
28061f0060	“Avo sambimuigaze mkulonga, ‘Toja choni?’ ama ‘Tong'wa choni?’ ama ‘Tovala choni?’
280620006f	Kwavija Wamhazi wovizahila vinhu vino vose, na Tata wenu wa kuulanga kovitanga kamba movilonda vinhu vino vose.
2806210057	Ila uzahileni tanhu Undewa wa Mulungu na ndagizi zake, na vinhu vino vose mogweleligwa.
280622006f	Avo sambimuigazile mayo, kwavija mayo yowa na migayo yake yenyego. Mgayo wa zua dimwe wotosha kwa zua dimwe.”
2807010038	“Sambimuwataguse wayagwe, na Mulungu hawatagusa mweye,
2807020090	kwavija kamba vimuwatagusa wayagwe, vivo na Mulungu vondayawataguse mweye, na mhima iija yondamuwapimile wayagwe, iyo mhima yondampimilwe mweye.
2807030057	Habali ukilola kikupi msiso da ndugu yako, na huchona kibanzi kili msiso jako mwenyego?
2807040074	Kodaha vilihi kumulongela ndugu yako, ‘Beta nikulave kikupi mdisiso jako,’ kuno gweye kuna kibanzi mdisiso jako?
2807050088	Gweye kidelenya! Songa tanhu kulava kibanzi msiso jako mwenyego, giladi udahe kulola goya, abaho, leka ulave kikupi msiso da ndugu yako.
28070600a0	“Sambimuwagwelele umbwa vinhu ving'alile, kamba muhatenda avo, wowahindukila na kuwadega, na sambimuwasile mitumbi lulu zenu, kamba muhatenda avo, wozibojaga.
2807070046	“Puleni, mogweleligwa. Zahileni, movumbula. Toeni hodi, movugulilwa.
2807080063	Kwavija yoyose yopula kogweleligwa, na yoyose yozahila kovumbula, na yoyose yotoa hodi kovugulilwa.
2807090049	Ama yalihi mmwanza wenu, kamba mwanage yahampula mkate, komgwelela dibwe?
28070a0026	Ama yahampula somba, komgwelela nyoka?
28070b00a6	Ihawa mweye mtenda mbuli zihile, movitanga kuwagwelela wanenu vinhu vinogile, avo, Tata wenu wa kuulanga kabanza ng'hani kuwagwelela vinhu vinogile waja wose wompula!
28070c0087	“Avo, chochose chumulonda mtendeligwe na wanhu, na mweye muwatendele vivo, kwavija gano gago mafundo ga Malagizo ga Musa na wahokozi.
28070d008d	“Ingileni mkubitila lwivi lusisili, kwavija lwivi lugazi na zila gazi dilongoza kuubananzi, na wondawengile kubitila zila hijo wowa bwando.
28070e005b	Ila lwivi lusisili na inzila yakibabani ilongoza kuugima, na wanhu wondawayone wowa wadodo.
28070f006e	“Iteganyeni na wahokozi wa uvwizi, womwizileni kunze walingile kamba ng'hondolo, ila mgati mbwizi wodumbiza.
2807100065	Mowatambula kubitila sang'hano zao. Vino wanhu wobawa zabibu muna imizomola, ama tini muna imingemba?
280711004e	Avo, m'biki unogile wolela mujo unogile, ila m'biki wihile wolela mujo wihile.
2807120058	M'biki unogile haudaha kulela mujo wihile, na m'biki wihile haudaha kulela mujo unogile.
280713004d	Na m'biki wowose uleka kulela mujo unogile wokanhigwa na kwasigwa muna umoto.
2807140028	Avo, mowatambula kubitila sang'hano zao.
280715008f	“Sio kila munhu yonikema, ‘Mndewa, Mndewa’ yondayengile muna Uundewa wa Kuulanga, ila heyo yogatenda gaja goyolonda Tataangu wa kuulanga.
280716009b	Mdizua da nhaguso wanhu bwando wonilongela, ‘Mndewa, Mndewa! Hatuhokole mditwaga jako, na mditwaga jako tuwinga vinyamkela, na kutenda mizonza bwando?’
2807170055	Abaho, nowalongela, ‘Siwatangile mweye. Segeleni hamwangu, mweye watenda gehile!’
2807180080	“Avo munhu yoyose yohulika mbuli zangu na kuzisang'hana kolinga na munhu yali na nzewele yozenga ng'anda yake uchana ya dibwe.
2807190078	Mvula itoa, nyanda zitula, na beho dibuma na kuitoa ng'anda hiyo, ila haitulike, kwavija msingi wake uzengigwa mdidibwe.
