2800000007	mathi.h
2802160129	kintu yihuudiiyade"se arkhilaayanaama raajakumaaro nijapitu rheroda. h pada. m praapya raajatva. m karotiiti ni"samya tat sthaana. m yaatu. m "sa"nkitavaan, pa"scaat svapna ii"svaraat prabodha. m praapya gaaliilde"sasya prade"saika. m prasthaaya naasarannaama nagara. m gatvaa tatra nyu. sitavaan,
280217006e	tena ta. m naasaratiiya. m kathayi. syanti, yadetadvaakya. m bhavi. syadvaadibhiruktta. m tat saphalamabhavat|
2803010064	tadaano. m yohnnaamaa majjayitaa yihuudiiyade"sasya praantaram upasthaaya pracaarayan kathayaamaasa,
2803020041	manaa. msi paraavarttayata, svargiiyaraajatva. m samiipamaagatam|
28030300a1	parame"sasya panthaana. m pari. skuruta sarvvata. h| tasya raajapathaa. m"scaiva samiikuruta sarvvathaa| ityetat praantare vaakya. m vadata. h kasyacid rava. h||
28030400bd	etadvacana. m yi"sayiyabhavi. syadvaadinaa yohanamuddi"sya bhaa. sitam| yohano vasana. m mahaa"ngaromaja. m tasya ka. tau carmmaka. tibandhana. m; sa ca "suukakii. taan madhu ca bhuktavaan|
280305008e	tadaanii. m yiruu"saalamnagaranivaasina. h sarvve yihuudide"siiyaa yarddanta. tinyaa ubhayata. tasthaa"sca maanavaa bahiraagatya tasya samiipe
2803060057	sviiya. m sviiya. m duritam a"ngiik. rtya tasyaa. m yarddani tena majjitaa babhuuvu. h|
28030700c6	apara. m bahuun phiruu"sina. h siduukina"sca manujaan ma. mktu. m svasamiipam aagacchto vilokya sa taan abhidadhau, re re bhujagava. m"saa aagaamiina. h kopaat palaayitu. m yu. smaan ka"scetitavaan?
2803080035	mana. hparaavarttanasya samucita. m phala. m phalata|
28030900cb	kintvasmaaka. m taata ibraahiim astiiti sve. su mana. hsu ciintayanto maa vyaaharata| yato yu. smaan aha. m vadaami, ii"svara etebhya. h paa. saa. nebhya ibraahiima. h santaanaan utpaadayitu. m "saknoti|
28030a00a1	apara. m paadapaanaa. m muule ku. thaara idaaniimapi lagan aaste, tasmaad yasmin paadape uttama. m phala. m na bhavati, sa k. rtto madhye. agni. m nik. sepsyate|
28030b00fc	aparam aha. m mana. hparaavarttanasuucakena majjanena yu. smaan majjayaamiiti satya. m, kintu mama pa"scaad ya aagacchati, sa mattopi mahaan, aha. m tadiiyopaanahau vo. dhumapi nahi yogyosmi, sa yu. smaan vahniruupe pavitra aatmani sa. mmajjayi. syati|
28030c00cd	tasya kaare suurpa aaste, sa sviiya"sasyaani samyak praspho. tya nijaan sakalagodhuumaan sa. mg. rhya bhaa. n.daagaare sthaapayi. syati, ki. mntu sarvvaa. ni vu. saa. nyanirvvaa. navahninaa daahayi. syati|
28030d0063	anantara. m yii"su ryohanaa majjito bhavitu. m gaaliilprade"saad yarddani tasya samiipam aajagaama|
28030e0080	kintu yohan ta. m ni. sidhya babhaa. se, tva. m ki. m mama samiipam aagacchasi? vara. m tvayaa majjana. m mama prayojanam aaste|
28030f0090	tadaanii. m yii"su. h pratyavocat; iidaaniim anumanyasva, yata ittha. m sarvvadharmmasaadhanam asmaaka. m karttavya. m, tata. h so. anvamanyata|
28031000cd	anantara. m yii"surammasi majjitu. h san tatk. sa. naat toyamadhyaad utthaaya jagaama, tadaa jiimuutadvaare mukte jaate, sa ii"svarasyaatmaana. m kapotavad avaruhya svoparyyaagacchanta. m viik. saa ncakre|
2803110065	aparam e. sa mama priya. h putra etasminneva mama mahaasanto. sa etaad. r"sii vyomajaa vaag babhuuva|
2804010062	tata. h para. m yii"su. h prataarake. na pariik. sito bhavitum aatmanaa praantaram aak. r.s. ta. h
2804020048	san catvaari. m"sadahoraatraan anaahaarasti. s.than k. sudhito babhuuva|
280403008f	tadaanii. m pariik. sitaa tatsamiipam aagatya vyaah. rtavaan, yadi tvamii"svaraatmajo bhavestarhyaaj nayaa paa. saa. naanetaan puupaan vidhehi|
28040400b0	tata. h sa pratyabraviit, ittha. m likhitamaaste, "manuja. h kevalapuupena na jiivi. syati, kintvii"svarasya vadanaad yaani yaani vacaa. msi ni. hsaranti taireva jiivi. syati|"
280405005b	tadaa prataarakasta. m pu. nyanagara. m niitvaa mandirasya cuu. dopari nidhaaya gaditavaan,
2804060109	tva. m yadi"svarasya tanayo bhavestarhiito. adha. h pata, yata ittha. m likhitamaaste, aadek. syati nijaan duutaan rak. situ. m tvaa. m parame"svara. h| yathaa sarvve. su maarge. su tvadiiyacara. nadvaye| na laget prastaraaghaatastvaa. m ghari. syanti te karai. h||
2804070076	tadaanii. m yii"sustasmai kathitavaan etadapi likhitamaaste, "tva. m nijaprabhu. m parame"svara. m maa pariik. sasva|"
280408009f	anantara. m prataaraka. h punarapi tam atyu ncadharaadharopari niitvaa jagata. h sakalaraajyaani tadai"svaryyaa. ni ca dar"sayaa"scakaara kathayaa ncakaara ca,
2804090058	yadi tva. m da. n.davad bhavan maa. m pra. namestarhyaham etaani tubhya. m pradaasyaami|
28040a009a	tadaanii. m yii"sustamavocat, duuriibhava prataaraka, likhitamidam aaste, "tvayaa nija. h prabhu. h parame"svara. h pra. namya. h kevala. h sa sevya"sca|"
28040b0052	tata. h prataarake. na sa paryyatyaaji, tadaa svargiiyaduutairaagatya sa si. seve|
28040c0064	tadanantara. m yohan kaaraayaa. m babandhe, tadvaarttaa. m ni"samya yii"sunaa gaaliil praasthiiyata|
28040d00b0	tata. h para. m sa naasarannagara. m vihaaya jalaghesta. te sibuuluunnaptaalii etayoruvabhayo. h prade"sayo. h siimnormadhyavarttii ya: kapharnaahuum tannagaram itvaa nyavasat|
28040e006f	tasmaat, anyaade"siiyagaaliili yarddanpaare. abdhirodhasi| naptaalisibuuluunde"sau yatra sthaane sthitau puraa|
28040f00ce	tatratyaa manujaa ye ye paryyabhraamyan tamisrake| tairjanairb. rhadaaloka. h paridar"si. syate tadaa| avasan ye janaa de"se m. rtyucchaayaasvaruupake| te. saamupari lokaanaamaaloka. h sa. mprakaa"sita. h||
2804100053	yadetadvacana. m yi"sayiyabhavi. syadvaadinaa prokta. m, tat tadaa saphalam abhuut|
2804110099	anantara. m yii"su. h susa. mvaada. m pracaarayan etaa. m kathaa. m kathayitum aarebhe, manaa. msi paraavarttayata, svargiiyaraajatva. m savidhamabhavat|
28041200d6	tata. h para. m yii"su rgaaliilo jaladhesta. tena gacchan gacchan aandriyastasya bhraataa "simon arthato ya. m pitara. m vadanti etaavubhau jalaghau jaala. m k. sipantau dadar"sa, yatastau miinadhaari. naavaastaam|
2804130074	tadaa sa taavaahuuya vyaajahaara, yuvaa. m mama pa"scaad aagacchata. m, yuvaamaha. m manujadhaari. nau kari. syaami|
2804140039	tenaiva tau jaala. m vihaaya tasya pa"scaat aagacchataam|
28041500c1	anantara. m tasmaat sthaanaat vrajan vrajan sivadiyasya sutau yaakuub yohannaamaanau dvau sahajau taatena saarddha. m naukopari jaalasya jiir. noddhaara. m kurvvantau viik. sya taavaahuutavaan|
2804160056	tatk. sa. naat tau naava. m svataata nca vihaaya tasya pa"scaadgaaminau babhuuvatu. h|
28041700d2	anantara. m bhajanabhavane samupadi"san raajyasya susa. mvaada. m pracaarayan manujaanaa. m sarvvaprakaaraan rogaan sarvvaprakaarapii. daa"sca "samayan yii"su. h k. rtsna. m gaaliilde"sa. m bhramitum aarabhata|
280418010b	tena k. rtsnasuriyaade"sasya madhya. m tasya ya"so vyaapnot, apara. m bhuutagrastaa apasmaarargii. na. h pak. saadhaatiprabh. rtaya"sca yaavanto manujaa naanaavidhavyaadhibhi. h kli. s.taa aasan, te. su sarvve. su tasya samiipam aaniite. su sa taan svasthaan cakaara|
2804190078	etena gaaliil-dikaapani-yiruu"saalam-yihuudiiyade"sebhyo yarddana. h paaraa nca bahavo manujaastasya pa"scaad aagacchan|
280501004f	anantara. m sa jananivaha. m niriik. sya bhuudharopari vrajitvaa samupavive"sa|
280502005b	tadaanii. m "si. sye. su tasya samiipamaagate. su tena tebhya e. saa kathaa kathyaa ncakre|
280503004c	abhimaanahiinaa janaa dhanyaa. h, yataste svargiiyaraajyam adhikari. syanti|
2805040045	khidyamaanaa manujaa dhanyaa. h, yasmaat te saantvanaa. m praapsanti|
2805050045	namraa maanavaa"sca dhanyaa. h, yasmaat te mediniim adhikari. syanti|
280506005c	dharmmaaya bubhuk. sitaa. h t. r.saarttaa"sca manujaa dhanyaa. h, yasmaat te paritarpsyanti|
2805070043	k. rpaalavo maanavaa dhanyaa. h, yasmaat te k. rpaa. m praapsyanti|
280508004e	nirmmalah. rdayaa manujaa"sca dhanyaa. h, yasmaat ta ii"scara. m drak. syanti|
2805090054	melayitaaro maanavaa dhanyaa. h, yasmaat ta ii"scarasya santaanatvena vikhyaasyanti|
28050a0060	dharmmakaara. naat taa. ditaa manujaa dhanyaa, yasmaat svargiiyaraajye te. saamadhikaro vidyate|
28050b0081	yadaa manujaa mama naamak. rte yu. smaan nindanti taa. dayanti m. r.saa naanaadurvvaakyaani vadanti ca, tadaa yuya. m dhanyaa. h|
28050c00af	tadaa aanandata, tathaa bh. r"sa. m hlaadadhva nca, yata. h svarge bhuuyaa. msi phalaani lapsyadhve; te yu. smaaka. m puraatanaan bhavi. syadvaadino. api taad. rg ataa. dayan|
28050d0109	yuya. m medinyaa. m lava. naruupaa. h, kintu yadi lava. nasya lava. natvam apayaati, tarhi tat kena prakaare. na svaaduyukta. m bhavi. syati? tat kasyaapi kaaryyasyaayogyatvaat kevala. m bahi. h prak. septu. m naraa. naa. m padatalena dalayitu nca yogya. m bhavati|
28050e0068	yuuya. m jagati diiptiruupaa. h, bhuudharopari sthita. m nagara. m gupta. m bhavitu. m nahi "sak. syati|
28050f00a4	apara. m manujaa. h pradiipaan prajvaalya dro. naadho na sthaapayanti, kintu diipaadhaaroparyyeva sthaapayanti, tena te diipaa gehasthitaan sakalaan prakaa"sayanti|
28051000b0	yena maanavaa yu. smaaka. m satkarmmaa. ni vilokya yu. smaaka. m svargastha. m pitara. m dhanya. m vadanti, te. saa. m samak. sa. m yu. smaaka. m diiptistaad. rk prakaa"sataam|
2805110092	aha. m vyavasthaa. m bhavi. syadvaakya nca loptum aagatavaan, ittha. m maanubhavata, te dve loptu. m naagatavaan, kintu saphale karttum aagatosmi|
28051200b6	apara. m yu. smaan aha. m tathya. m vadaami yaavat vyomamedinyo rdhva. mso na bhavi. syati, taavat sarvvasmin saphale na jaate vyavasthaayaa ekaa maatraa bindurekopi vaa na lopsyate|
2805130119	tasmaat yo jana etaasaam aaj naanaam atik. sudraam ekaaj naamapii la. mghate manujaa. m nca tathaiva "sik. sayati, sa svargiiyaraajye sarvvebhya. h k. sudratvena vikhyaasyate, kintu yo janastaa. m paalayati, tathaiva "sik. sayati ca, sa svargiiyaraajye pradhaanatvena vikhyaasyate|
28051400c8	apara. m yu. smaan aha. m vadaami, adhyaapakaphiruu"simaanavaanaa. m dharmmaanu. s.thaanaat yu. smaaka. m dharmmaanu. s.thaane nottame jaate yuuyam ii"svariiyaraajya. m prave. s.tu. m na "sak. syatha|
28051500b5	apara nca tva. m nara. m maa vadhii. h, yasmaat yo nara. m hanti, sa vicaarasabhaayaa. m da. n.daarho bhavi. syati, puurvvakaaliinajanebhya iti kathitamaasiit, yu. smaabhira"sraavi|
280516016a	kintvaha. m yu. smaan vadaami, ya. h ka"scit kaara. na. m vinaa nijabhraatre kupyati, sa vicaarasabhaayaa. m da. n.daarho bhavi. syati; ya. h ka"scicca sviiyasahaja. m nirbbodha. m vadati, sa mahaasabhaayaa. m da. n.daarho bhavi. syati; puna"sca tva. m muu. dha iti vaakya. m yadi ka"scit sviiyabhraatara. m vakti, tarhi narakaagnau sa da. n.daarho bhavi. syati|
28051700ac	ato vedyaa. h samiipa. m nijanaivedye samaaniite. api nijabhraatara. m prati kasmaaccit kaara. naat tva. m yadi do. sii vidyase, tadaanii. m tava tasya sm. rti rjaayate ca,
2805180094	tarhi tasyaa vedyaa. h samiipe nijanaivaidya. m nidhaaya tadaiva gatvaa puurvva. m tena saarddha. m mila, pa"scaat aagatya nijanaivedya. m nivedaya|
28051900fd	anya nca yaavat vivaadinaa saarddha. m vartmani ti. s.thasi, taavat tena saarddha. m melana. m kuru; no cet vivaadii vicaarayitu. h samiipe tvaa. m samarpayati vicaarayitaa ca rak. si. na. h sannidhau samarpayati tadaa tva. m kaaraayaa. m badhyethaa. h|
28051a0086	tarhi tvaamaha. m taththa. m braviimi, "se. sakapardake. api na pari"sodhite tasmaat sthaanaat kadaapi bahiraagantu. m na "sak. syasi|
28051b0079	apara. m tva. m maa vyabhicara, yadetad vacana. m puurvvakaaliinalokebhya. h kathitamaasiit, tad yuuya. m "srutavanta. h;
28051c0081	kintvaha. m yu. smaan vadaami, yadi ka"scit kaamata. h kaa ncana yo. sita. m pa"syati, tarhi sa manasaa tadaiva vyabhicaritavaan|
28051d00b6	tasmaat tava dak. si. na. m netra. m yadi tvaa. m baadhate, tarhi tannetram utpaa. tya duure nik. sipa, yasmaat tava sarvvavapu. so narake nik. sepaat tavaikaa"ngasya naa"so vara. m|
28051e00aa	yadvaa tava dak. si. na. h karo yadi tvaa. m baadhate, tarhi ta. m kara. m chittvaa duure nik. sipa, yata. h sarvvavapu. so narake nik. sepaat ekaa"ngasya naa"so vara. m|
28051f0064	uktamaaste, yadi ka"scin nijajaayaa. m parityakttum icchati, tarhi sa tasyai tyaagapatra. m dadaatu|
28052000c6	kintvaha. m yu. smaan vyaaharaami, vyabhicaarado. se na jaate yadi ka"scin nijajaayaa. m parityajati, tarhi sa taa. m vyabhicaarayati; ya"sca taa. m tyaktaa. m striya. m vivahati, sopi vyabhicarati|
28052100a5	puna"sca tva. m m. r.saa "sapatham na kurvvan ii"scaraaya nija"sapatha. m paalaya, puurvvakaaliinalokebhyo yai. saa kathaa kathitaa, taamapi yuuya. m "srutavanta. h|
2805220086	kintvaha. m yu. smaan vadaami, kamapi "sapatha. m maa kaar. s.ta, arthata. h svarganaamnaa na, yata. h sa ii"svarasya si. mhaasana. m;
280523007a	p. rthivyaa naamnaapi na, yata. h saa tasya paadapii. tha. m; yiruu"saalamo naamnaapi na, yata. h saa mahaaraajasya purii;
2805240064	nija"sironaamnaapi na, yasmaat tasyaika. m kacamapi sitam asita. m vaa karttu. m tvayaa na "sakyate|
2805250080	apara. m yuuya. m sa. mlaapasamaye kevala. m bhavatiiti na bhavatiiti ca vadata yata ito. adhika. m yat tat paapaatmano jaayate|
2805260079	apara. m locanasya vinimayena locana. m dantasya vinimayena danta. h puurvvaktamida. m vacana nca yu. smaabhira"sruuyata|
28052700ba	kintvaha. m yu. smaan vadaami yuuya. m hi. msaka. m nara. m maa vyaaghaatayata| kintu kenacit tava dak. si. nakapole cape. taaghaate k. rte ta. m prati vaama. m kapola nca vyaagho. taya|
2805280079	apara. m kenacit tvayaa saardhda. m vivaada. m k. rtvaa tava paridheyavasane jigh. rtite tasmaayuttariiyavasanamapi dehi|
2805290071	yadi ka"scit tvaa. m kro"sameka. m nayanaartha. m anyaayato dharati, tadaa tena saardhda. m kro"sadvaya. m yaahi|
28052a0085	ya"sca maanavastvaa. m yaacate, tasmai dehi, yadi ka"scit tubhya. m dhaarayitum icchati, tarhi ta. m prati paraa. mmukho maa bhuu. h|
28052b0082	nijasamiipavasini prema kuru, kintu "satru. m prati dve. sa. m kuru, yadetat purokta. m vacana. m etadapi yuuya. m "srutavanta. h|
28052c0100	kintvaha. m yu. smaan vadaami, yuuya. m ripuvvapi prema kuruta, ye ca yu. smaan "sapante, taana, aa"si. sa. m vadata, ye ca yu. smaan. rtiiyante, te. saa. m ma"ngala. m kuruta, ye ca yu. smaan nindanti, taa. dayanti ca, te. saa. m k. rte praarthayadhva. m|
28052d00d8	tatra ya. h sataamasataa ncopari prabhaakaram udaayayati, tathaa dhaarmmikaanaamadhaarmmikaanaa ncopari niira. m var. sayati taad. r"so yo yu. smaaka. m svargastha. h pitaa, yuuya. m tasyaiva santaanaa bhavi. syatha|
28052e00b1	ye yu. smaasu prema kurvvanti, yuuya. m yadi kevala. m tevveva prema kurutha, tarhi yu. smaaka. m ki. m phala. m bhavi. syati? ca. n.daalaa api taad. r"sa. m ki. m na kurvvanti?
28052f0092	apara. m yuuya. m yadi kevala. m sviiyabhraat. rtvena namata, tarhi ki. m mahat karmma kurutha? ca. n.daalaa api taad. r"sa. m ki. m na kurvvanti?
2805300061	tasmaat yu. smaaka. m svargastha. h pitaa yathaa puur. no bhavati, yuuyamapi taad. r"saa bhavata|
28060100b3	saavadhaanaa bhavata, manujaan dar"sayitu. m te. saa. m gocare dharmmakarmma maa kuruta, tathaa k. rte yu. smaaka. m svargasthapitu. h sakaa"saat ki ncana phala. m na praapsyatha|
28060200ec	tva. m yadaa dadaasi tadaa kapa. tino janaa yathaa manujebhya. h pra"sa. msaa. m praaptu. m bhajanabhavane raajamaarge ca tuurii. m vaadayanti, tathaa maa kuri, aha. m tubhya. m yathaartha. m kathayaami, te svakaaya. m phalam alabhanta|
2806030061	kintu tva. m yadaa dadaasi, tadaa nijadak. si. nakaro yat karoti, tad vaamakara. m maa j naapaya|
2806040072	tena tava daana. m gupta. m bhavi. syati yastu tava pitaa guptadar"sii, sa prakaa"sya tubhya. m phala. m daasyati|
28060500ec	apara. m yadaa praarthayase, tadaa kapa. tinaiva maa kuru, yasmaat te bhajanabhavane raajamaargasya ko. ne ti. s.thanto lokaan dar"sayanta. h praarthayitu. m priiyante; aha. m yu. smaan tathya. m vadaami, te svakiiyaphala. m praapnuvan|
28060600c8	tasmaat praarthanaakaale antaraagaara. m pravi"sya dvaara. m rudvvaa gupta. m pa"syatastava pitu. h samiipe praarthayasva; tena tava ya. h pitaa guptadar"sii, sa prakaa"sya tubhya. m phala. m daasyati
28060700ab	apara. m praarthanaakaale devapuujakaaiva mudhaa punarukti. m maa kuru, yasmaat te bodhante, bahuvaara. m kathaayaa. m kathitaayaa. m te. saa. m praarthanaa graahi. syate|
2806080084	yuuya. m te. saamiva maa kuruta, yasmaat yu. smaaka. m yad yat prayojana. m yaacanaata. h praageva yu. smaaka. m pitaa tat jaanaati|
2806090068	ataeva yuuyama iid. rk praarthayadhva. m, he asmaaka. m svargasthapita. h, tava naama puujya. m bhavatu|
28060a0059	tava raajatva. m bhavatu; tavecchaa svarge yathaa tathaiva medinyaamapi saphalaa bhavatu|
28060b002c	asmaaka. m prayojaniiyam aahaaram adya dehi|
28060c0058	vaya. m yathaa nijaaparaadhina. h k. samaamahe, tathaivaasmaakam aparaadhaan k. samasva|
28060d0084	asmaan pariik. saa. m maanaya, kintu paapaatmano rak. sa; raajatva. m gaurava. m paraakrama. h ete sarvve sarvvadaa tava; tathaastu|
28060e006e	yadi yuuyam anye. saam aparaadhaan k. samadhve tarhi yu. smaaka. m svargasthapitaapi yu. smaan k. sami. syate;
28060f0080	kintu yadi yuuyam anye. saam aparaadhaan na k. samadhve, tarhi yu. smaaka. m janakopi yu. smaakam aparaadhaan na k. sami. syate|
28061000e5	aparam upavaasakaale kapa. tino janaa maanu. saan upavaasa. m j naapayitu. m sve. saa. m vadanaani mlaanaani kurvvanti, yuuya. m taiva vi. sa. navadanaa maa bhavata; aha. m yu. smaan tathya. m vadaami te svakiiyaphalam alabhanta|
28061100c0	yadaa tvam upavasasi, tadaa yathaa lokaistva. m upavaasiiva na d. r"syase, kintu tava yo. agocara. h pitaa tenaiva d. r"syase, tatk. rte nija"sirasi taila. m marddaya vadana nca prak. saalaya;
280612004d	tena tava ya. h pitaa guptadar"sii sa prakaa"sya tubhya. m phala. m daasyati|
28061300c1	apara. m yatra sthaane kii. taa. h kala"nkaa"sca k. saya. m nayanti, cauraa"sca sandhi. m karttayitvaa corayitu. m "saknuvanti, taad. r"syaa. m medinyaa. m svaartha. m dhana. m maa sa. mcinuta|
28061400a9	kintu yatra sthaane kii. taa. h kala"nkaa"sca k. saya. m na nayanti, cauraa"sca sandhi. m karttayitvaa corayitu. m na "saknuvanti, taad. r"se svarge dhana. m sa ncinuta|
2806150056	yasmaat yatra sthaane yu. smaa. mka dhana. m tatraiva khaane yu. smaaka. m manaa. msi|
