0100000016	ሜꬌቴꬃ ማጻፋ
01011900f6	ጾሲ ዶኣታ ኢስታ ቆሞን ቆሞን፥ ሜሄታካ ኢስታ ቆሞን ቆሞኒኔ ቢታራ ጎሼቲዛ ሜꬌቴꬃታካ ኡባ ኢስታ ቆሞን ቆሞን ሜꬊዴስ፤ ሄሲካ ሎኦ ጊዲዳይሳ ጾሲ ቤኢዴስ።
01011a00f0	ሄሳፌ ሲሚን ጾሲ፥ «ኣኔ ኣስ ኑ ሌሚሶን ኑና ሚሳቲሲዲ ሜꬎስ፤ ኢስቲ ኣባ ሞሌታ፥ ሳሎ ካፎታ፥ ሜሄታ፥ ቢታ ቦላ ዎጺ ቃጺዛ ሜꬌቴꬃታ ኡባ ሃሬቶ» ጊዴስ።
01011b0088	ሄሳꬆ ጾሲ ኣስ ባ ሌሚሶን ባና ሚሳቲሲዲ ሜꬊዴስ፤ ኢዚ ኢስታ ኣዴኔ ማጫ ኦꬂ ሜꬊዴስ።
01011c00f8	ጾሲ ኢስታስ፥ «ዬሌቲቴ፤ ጮራቲቴ፤ ሃይሳ ቢታ ኩሚቴኔ ሃሪቴ፤ ኣባ ሞሌ፥ ሳሎ ካፎታኔ ቢታ ቦላ ዎጺ ቃጺዛ፥ ሼምፖራ ዲዛ ሜꬌቴꬃታ ኡባ ሃሪቴ» ጊ ኣንጂዴስ።
01011d00fd	ሄሳፌ ሲሚን ጾሲ፥ «ቤኢቴ! ታኒ ሃ ቢታ ኡባ ቦላን ዜሬꬃ ኣይፌራ ዲዛ ሚꬂኔ ዜሬꬃ ኣይፌራ ዲዛ ቴሪዛ ሚꬅ ኡባ ኢንቴስ ኢማዲስ፤ ኢስቲካ ኢንቴስ ሚዛ ቁማ ጊዴቶ።
01011e0137	ቃሴካ ሃ ቢታ ቦላ ዲዛ ሜሄኔ ዶኣ ኡባስ፥ ሳሎ ካፎታስ ኡባስ፥ ቢታራ ጎሼቲዛ ሜꬌቴꬃታ ኡባሲኔ ሼምፖራ ፓጻ ዲዛ ሜꬌቴꬃታ ኡባስ ሚዛ ሚሽ ጊዳና ማላ፥ ጪሊላ ሚꬂኔ ማታ ኩሜꬅ ኢማዲስ» ጊን ሃኒዴስ።
01011f00b0	ጾሲ ባ ሜꬊዳይሳ ኡባካ ጼሊዲ ዳሮ ሎኦ ጊዲዳይሳ ቤኢዴስ። ጋዴይ ቃሚዴሲኔ ዎንቲዴስ፤ ሄሲካ ኡሱፑንꬃ ጋላሳ።
0102010059	ሳሎ ቦላኔ ሳኣ ቦላ ዲዛይ ዉሪ ሃይሳꬆ ኦሴቲ ፖሌቲዴስ።
0102020088	ጾሲ ባ ኦꬂዳ ኦሶ ኡሱፑንꬃ ጋላስ ፖሊዲ ባ ኦꬂዳ ኦሶ ኡባፌ ላፑንꬃ ጋላስ ሼምፒዴስ።
01020300b6	ቃሴ ጾሲ ላፑንꬃ ጋላሳ ኣንጂዴሲኔ ዱማ ጋላስ ኦꬂዴስ፤ ኣይስ ጊኮ ጾሲ ባ ኦꬂዛ ኦሶ ዉርሲዲ ሼምፒዳይ ሄ ጋላሳና።
0102040069	ሳሎይኔ ሳኣይ ሜꬌቲዳይ ሄሳ ማላና። ጎዳይ ሳኣኔ ሳሎ ሜꬊዳ ዎዴ፥
01020500b2	ሳኣ ቦላን ማታይ፥ ሚꬂ፥ ኣይ ሚሺካ ሞኪቤና፤ ኣይስ ጊኮ ጎዳይ ኢራ ቡኪሲቤና፤ ቃሴ ቢታ ኦꬂዛ ኣሲካ ሜꬌቲቤና።
0102060059	ጊዲኮካ ሃꬂ ቢታፌ ፑዴ ማጮቲ ኬዚዲ ቢታ ኡባ ኢርጺሴስ።
0102070099	ሄሳፌ ጉዬ ጎዳይ ቢታፌ ኢሲ ኣስ ሜꬊዲ ኢዛ ሲꬌን ዴኦ ሼምፖ ፑኒን ኣዴዚ ሼምፖራ ዲዛዴ ጊዲዴስ።
0102080094	ካሴ ጎዳይ ኣርሼይ ሞኪዛ ባጋራ ኤዴኔ ጌቴቲዛሶን ሎኦሶ ጊግሲዲ ባ ሜꬊዳ ኣዴዛ ሄን ዎꬂዴስ።
01020900ee	ጎዳይ ጼላናስ ሎኢዛ፥ ማናስካ ማልኢዛ ዱማ ዱማ ቆሞ ሚꬅ ቢታፌ ሞኪሲዴስ፤ ኤዴኔ ጊዶን ዴኦ ኢሚዛ ሚꬂ ዴስ፤ ሄሳꬆካ ሎኦኔ ኢታ ኤሪሲዛ ሚꬅ ዎꬂዴስ።
01020a0087	ጋናቴ ኡሺዛ ሻፋ ሃꬂ ኤዴኔፔ ጎጌስ። ኤዴኔፔ ኬዚዳፔ ጉዬ፥ ኦይዱ ሻፋ ጊዲ ሻኬቴስ።
01020b0084	ኮይሮ ሻፋ ሱንꬂ ፒሶኔ፤ ፒሶኔይ ዎርቃይ ዲዛ ሃዊላ ጌቴቲዛ ቢታ ዩሾ ኡባን ጎጌስ።
01020c0072	ሄ ቢታ ዎርቃይ ጌሻ ዎርቃ፤ ቃሴ ኣልኦ ሺቶይኔ ኬሂ ሎኢዛ ሹቺ ሄን ዴስ።
01020d0069	ናምኣንꬆ ሻፋ ሱንꬂ ጊዮኔ፤ ጊዮኔይ ቶጵያ ቢታ ዩሾ ኡባን ጎጌስ።
01020e00b9	ሄꬓንꬆ ሻፋ ሱንꬂ ጼግሮሴ፤ ጼግሮሴይ ኣሶሬፔ ኣርሼይ ሞኪዛ ባጋራ ጎጌስ፤ ቃሴ ኦይዳንꬆ ሻፋይ ኤፊራጺሴ ጌቴቴስ።
01020f006a	ኣዴዚ ኤዴኔን ኦꬃና ማላኔ ናጋና ማላ ጎዳ ጾሳይ ኢዛ ኤፊ ዎꬂዴስ።
010210006a	ሂስቲዲ ጎዳ ጾሳይ ኣዴዛ፥ «ኤዴኔ ሚꬃ ቴራ ኡባፌ ኔኒ ማና ጊኮ ማ፤
01021100ac	ጊዶ ኣቲን ሎኦኔ ኢታ ኤሪሲዛ ሚꬃይ ቴራፔ ሞፓ፤ ኣይስ ጊኮ ኔኒ ኢዚፔ ሚዳ ጋላስ ቱሙ ሃይቃና» ጊ ኣዛዚዴስ።
01021200a0	ሄሳፌ ጉዬ ጎዳ ጾሳይ፥ «ኣዴዚ ባርካ ዲዛይሲ ሎኦ ዴና፤ ታኒ ኢዛስ ኢንጄቲዛ ማዶ ኣስ ሜꬋና» ጊዴስ።
0102130134	ጎዳ ጾሳይ ካሴ ሜሄታ ዶኣታ ሳሎ ካፎታ ኡባ ቢታፌ ሜꬊዴስ፤ ቃሴ ኣዴዚ ኢስታ ኣይ ጊዲ ሱንꬃናኮ ሲያናስ ኢዛኮ ኤሂን ኣዴዚ ሼምፖራ ዲዛ ሜꬌቴꬃታ ኡባ ሱንꬂዳ ሱንꬃይ ኢስታስ ሱንꬅ ጊዲ ኣቲዴስ።
01021400a7	ሄሳꬆ ኣዴዚ ሜሄታ፥ ሳሎ ካፎታኔ፥ ዶኣታ ኡባ ሱንꬂዴስ፤ ጊዶ ኣቲን ኣዳሜስ ኢንጄቲዛ ማዶ ኣሲ ቤቲቤና።
01021500c0	ሄሳ ጊሻስ ጎዳ ጾሳይ ኣዴዛ ꬊስኮ ꬊስኪሲዲ፥ ኢዚ ꬊስኮን ዲሺን ኢዛ ሚሌ ሜቄꬃታፔ ኢሳ ኤኪዲ ሄ ሶሆዛን ኣሾ ኩንꬂዴስ።
0102160069	ጎዳ ጾሳይ ኣዴዛፔ ኤኪዳ ሜቄꬃ ማጫስ ሜꬊዲ ኢዞ ኣዴዛኮ ኤሂዴስ።
01021700ce	ኤሂን ኣዴዚ፥ «ሄኮ! ሃ ሜቄꬃያ ታ ሜቄꬃፌ፥ ሃ ኣሾያካ ታ ኣሾፔ ኤኬቲዳሮ፤ ኢዛካ ኣቱማሳፔ ኤኬቲዳ ጊሻስ፥ ማጫስ ጌቴቱ» ጊዴስ።
010218008a	ሄሳ ጊሻስ ኣሲ ባ ኣዋኔ ባ ኣዮ ኣጌስ፤ ባ ማቼይራ ኢሲፌ ዴስ፤ ኢስቲ ናምኣይ ኢሲ ኣሾ።
0102190087	ኣዴዚኔ ኢዛ ማቼያ ናምኣይካ ፓጻ ካሎ ዴቴስ፤ ጊዶ ኣቲን ኢሳይ ኢሳስ ዬላቲ ኤሬቴና።
0103010101	ሾሻይ ጎዳ ጾሳይ ሜꬊዳ ዶኣ ኡባፌ ኣꬊዳ ጌናንቻ፤ ኢሲ ጋላስ ሾሻይ ሄ ማጫሳዮ፥ «ጾሲ ቱሙ ኢንቴና፥ ‹ኤዴኔን ዲዛ ሚꬃ ኣይፌ ኡባፌካ ሞፒቴ› ጊዴ?» ጊ ኦይቺዴስ።
0103020155	ማጫሳያ ሾሻስ ዛራዳ፥ «ጊዴና! ጾሲ ሄሳꬆ ጊቤና፤ ኑኒ ኤዴኔን ዲዛ ሚꬃታ ኣይፌ ማናስ ዳንዳዮስ፤ ጊዶ ኣቲን ጾሲ ኑና፥ ‹ኤዴኔ ጊዶን ዲዛ ሚꬃ ኣይፌ ሞፒቴ፤ ቦቾፍቴ፤ ሂስቶንታ ኣጊኮ ኢንቴ ሃይቃና› ጊዴስ» ጋዱስ።
010304004a	ሾሻይ ማጫሳዮ፥ «ጊዴና! ኢንቴ ቱማ ሃይቄኬታ፤
01030500d1	ጾሲ ሄሳ ጊዳይ ሄ ሚꬃይ ኣይፌ ኢንቴ ሚኮ ኢንቴ ኣይፌይ ዶዬቲን፥ ጾሳ ማላ ኢንቴ ሎኦኔ ኢታ ሻኪ ኤራናይሳ ኢዚ ኤሪዛ ጊሻሳ» ጊዴስ።
0103060143	ማጫሳያ ሄ ሚꬃ ኣይፌይ ማናስ ማልኢዛይሳ፥ ጼላናስ ሎኢዛይሳ፥ ቃሴ ኣሲ ኣꬎ ኤራቴꬅ ዴማናስ ኣሞሲዛዝ ጊዲዳይሳ ቤያዳ ሄ ሚꬃ ኣይፌፔ ኤካዳ ማዱስ፤ ቃሴ ባናራ ዲዛ ባ ኣዚናስካ ሄሳፌ ኢሚን ኢዚካ ሚዴስ።
01030700ba	ሚዳ ዎዴ ኢስታ ናምኣ ኣይፌይካ ዶዬቲን ኢስቲ ፓጻ ካሎ ዲዛይሳ ኤሪዲ ባላሴ ጌቴቲዛ ሚꬃ ሃይꬅ ሲኪዲ ባ ጼሳን ጊጺዳ።
01030800c9	ኦማርሳ ዎዴ፥ ኤዴኔ ጊዶን ጎዳ ጾሳይ ሄሜቲሺን፥ ኢዛ ጬንጉርሳ ኣዴዚኔ ኢዛ ማቼያ ሲዪዲ ጎዳ ጾሳፌ ኤዴኔ ሚꬃ ጊዶን ቆቴቲዳ።
0103090068	ጊዶ ኣቲን ጎዳ ጾሳይ ኣዴዛ ጼይጊዲ፥ «ኣዳሜ ኣዋን ዳይ?» ጊዴስ።
01030a008b	ኣዴዚካ፥ «ኤዴኔ ጊዶን ኔ ጬንጉርሳ ሲያዳ ታኒ ካሎ ዲዛ ጊሻስ ባባዳ ቆቴታዲስ» ጊዴስ።
01030b00bb	ጎዳ ጾሳይ ኢዛ፥ «ኔኒ ካሎ ዳሳ ጊዲ ኔስ ዮቲዳይ ኦኔ? ታኒ ኔና፥ ‹ሞፓ› ጋዳ ኣዛዚዳ ሚꬃ ኣይፌፔ ማዲ?» ጊ ኦይቺዴስ።
01030c0083	ኢዚካ፥ «ታናራ ዳና ማላ ኔ ኢሚዳ ማጫሳያ ሄ ሚꬃ ኣይፌፔ ታስ ኢሚን ማዲስ» ጊዴስ።
01030d00bb	ጎዳ ጾሳይ ሄሳፌ ጉዬ ማጫሳዮ፥ «ኔኒ ሄሳ ኣይስ ኦꬃዲ?» ጊ ኦይቺዴስ። ማጫሳያካ፥ «ታና ሾሻይ ባሌꬂን ማዲስ» ጋዱስ።
01030e010f	ጎዳ ጾሳይ ሄሳፌ ጉዬ ሾሻ፥ «ኔኒ ሃይሳ ኦꬂዳ ጊሻስ፥ ሜሄ ኡባኔ ዶኣ ኡባ ጋርሳን ኔ ጻላይ ቃንጌቲዳዛ! ኔኒ ኔ ኡሎን ቢታራ ጎሼታና፤ ኔ ዴኦ ላይꬅ ኡባንካ ቢታ ጉዱላ ላጫ።
01030f00c5	ታኒ ኔሲኔ ማጫሳይስ፥ ኔ ዜሬꬃሲኔ ኢዚ ዜሬꬃስ ጊዶን ሞርኬቴꬅ ሜꬋና፤ ኢዚ ኔ ሁኤ ቆጻና፤ ኔኒካ ኢዛ ቂርጴ ዱካና» ጊዴስ።
0103100106	ማጫሳዮካ ጎዳ ጾሳይ፥ «ኔ ሻሪዛ ኣጊናን ኔኒ ዳሮ ቱጋታና፤ ቃሴ ኔኒ ዎልቃማ ሚጻን ናይታ ዬላና። ጊዲኮካ ኔኒ ኔ ኣዚናራ ኣቃናስ ኣሞታና፤ ኢዚካ ኔና ሃራና» ጊዴስ።
0103110152	ኣዳሜካ ጎዳ ጾሳይ፥ «ኔኒ ኔ ማቼይ ቃላ ሲዪዳ ጊሻስ ታኒ ኔና፥ ‹ሄ ሚꬃ ኣይፌ ሞፓ› ጋዳ ኣዛዚዳ ሚꬃ ኣይፌፔ ኔኒ ሚዳ ጊሻስ፥ «ኔ ጌዶን ቢታይ ቃንጌቲዳዝ ጊዶ! ኔኒ ኔ ዴኦ ላይꬅ ኡባን ጊታ ዳቡራን ቢታ ኦꬃዳ ማና።
0103120068	ቢታይ ኔስ ኣጉንꬂኔ ኪንዲቾ ሞኪሳና፤ ኔኒ ቢታፌ ሞኪዳይሳ ማና።
01031300ab	ኔኒ ቢታን ሲማና ጋካናስ ዳቡራን ኔ ጫዋ ጉሳ ኦꬃዳ ማና፤ ኔኒ ቢታፌ ሜꬌቲዳ ጊሻስ ቢታን ሲማንዳሳ» ጊዴስ።
010314006e	ኣዳሜይ ባ ማቺዮ ሄዋኖ ጊ ሱንꬂዴስ፤ ኣይስ ጊኮ ኢዛ ኣሳ ኡባስ ኣዮ።
0103150065	ጎዳ ጾሳይ ኣዳሜሲኔ ኢዛ ማቼይስ ኢቴ ጊግሲዲ ኢስታ ማይዚዴስ።
010316012d	ሄሳፌ ጉዬ ጎዳ ጾሳይ፥ «ሂስቲን ኣሲ ኑፔ ኢሳዴ ማላ ሎኦኔ ኢታ ኤሪዛዴ ጊዲዴስ፤ ኢዚ ባ ኩሼ ዬዲዲ ዴኦ ኢሚዛ ሚꬃፌ ኤኪዲ ቃሴ ሞንታ ማላኔ ሜርናስ ፓጻ ዴኦንታ ማላ ቴቄታናስ ኮሼስ» ጊዴስ።
0103170078	ሄሳ ጊሻስ ኢዚ ባ ሜꬌቲዳ ቢታ ኦꬃና ማላ፥ ጎዳ ጾሳይ ኤዴኔፔ ኢዛ ኬሲዴስ።
0103180103	ኢዛ ኬሲዲ፥ ዴኦ ሚꬃኮ ኤፊዛ ኦጌ ናጋና ማላ፥ ኪሩቤ ጌቴቲዛ ኪታንቻታኔ ፖፖልኡ ጊ ኣꬊ ኣꬊ ዎꬊዛ ታማ ላጮ ሚሳቲዛ ጊꬃ ማሻ ኤዴኔፔ ኣርሼይ ሞኪዛ ባጋራ ዎꬂዴስ።
01040100c6	ኣዳሜይ ባ ማቾ ሄዋኒራ ኣቂን ኢዛ ሻራዳ ኣቱማ ና ዬላዱስ፤ «ጎዳይ ታና ማዲን ኣቱማ ና ዴማዲስ» ጋሼ ኢዛ ቃዬሌ ጋ ሱንꬃዱስ።
010402007c	ቃሴ ኢዛ ኢሻ ኣቤሌካ ዬላዱስ። ኣቤሊ ዶርሳ ሄንꬃንቻ፤ ቃዬሌይ ቢታ ጎሻንቻ።
0104030070	ኡንዴና ዎዴፔ ጉዬ ቃዬሌይ ባ ጋዴን ሞኪዳ ካꬃፌ ጎዳስ ያርሾ ሺሺዴስ።
01040400d9	ጊዶ ኣቲን ኣቤሊ ባ ዶርሳታ ጊዶን ኮይሮ ዬሌቲዳ ላቃታፔ ኢሳ ኤኪ ሹኪዲ ኣሾዛፔ ሃንዳዛ ያርሺዴስ፤ ጎዳይ ኣቤሌኔ ኢዛ ያርሾዛ ኤኪዴስ።
0104050089	ቃዬሌኔ ኢዛ ያርሾ ኤኪቤና፤ ሄሳ ጊሻስ ቃዬሌይ ኬሂ ዪሎቲዴስ፤ ባ ኣይፌሶካ ኢሲዴስ።
0104060066	ሂስቲን ጎዳይ ቃዬሌ፥ «ኣይስ ዪሎታይ? ኔ ኣይፌሶይ ኣይስ ꬉሚዴ?
01040700f7	ኔ ሎኦ ኦꬂዳ ጊዲዳኮ ጾሲ ኔ ያርሾ ኤኬኔሺን? ኔኒ ሎኦ ኦꬆንታ ኢጺኮ ናጋራይ ኔ ካሬን ኔና ናጌስ፤ ናጋራይ ኔና ሃራና ኮዬስ፤ ኔኒ ኢዛ ጾናና ቤሴስ» ጊዴስ።
01040800d6	ሄሳፌ ጉዬ ቃዬሌይ ባ ኢሻ ኣቤሌ፥ «ኣኔ ጌዴ ዴምባሶ ቦስ» ጊዴስ። ቢዲ ኢስቲ ዴምባን ዲሺን ቃዬሌይ ባ ኢሻ ኣቤሌ ቦላ ዴንዲዲ ዎꬊዴስ።
01040900ba	ጎዳይ ቃዬሌ፥ «ኔ ኢሻይ ኣቤሊ ኣዋን ዲዜ?» ጊ ኦይቺዴስ። ቃዬሌይ ዛሪዲ፥ «ታ ኤሪኬ፤ ታ ኢሻ ናጊዛይ ታኔዬ?» ጊዴስ።
01040a0075	ጎዳይ ቃዬሌ፥ «ሄሳ ኣይስ ኦꬃዲ? ቤያ፤ ኔ ኢሻ ሱꬂ ቢታፌ ፑዴ ታኮ ዋሴስ።
01040b0079	ኔ ኩሼፔ ኔ ኢሻ ሱꬃ ኤኪዲ ሚታናስ ዶና ዶይዳ ቢታ ቦላ ሃኢ ኔኒ ቃንጌታዳሳ።
01040c0084	ኔኒ ኦꬂንካ ቢታይ ኔስ ካꬅ ኢሜና፤ ቤቴ ኣሳ ማላ ኔኒ ቢታ ቦላን ቶይላታና» ጊዴስ።
01040d005e	ቃዬሌይ ጎዳ፥ «ኔ ታና ቃጻዪዛ ቂጻቴ ታኒ ሙሌካ ዳንዳይኬ።
01040e00d5	ሄኮ ኔኒ ታና ሃች ሃ ቢታፌ ዬዴꬃሳ፤ ታኒ ኔ ሲንꬃፌ ቆቴታና፤ ቤቴ ኣሳ ማላ ታኒ ቢታ ቦላ ቶይላታና፤ ታና ዴሚዳይ ኦኒካ ዎꬋና» ጊዴስ።
01040f00ee	ጎዳይ ኢዛ፥ «ኔና ኦኒካ ዎꬌና፤ ዎꬊኮ ኔ ሃሎ ታኒ ላፑን ኩሼ ኬሳና» ጊዴስ፤ ሄሳ ጊሻስ ዴሚዳይ ኦኒካ ኢዛ ዎꬎንታ ማላ ጎዳይ ኢዛ ቦላ ማላታ ዎꬂዴስ።
0104100094	ቃዬሌይ ጎዳ ሲንꬃፌ ኬዚዲ ኤዴኔ ባጋፌ ኣርሼይ ሞኪዛ ባጋራ ዲዛ ኖዴ ጌቴቲዛ ቢታን ዴኢዴስ።
01041100cf	ቃዬሌይ ባ ማቼይራ ኣቂን ኢዛ ሻራዳ ሄኖኬ ዬላዱስ፤ ሄ ዎዴ ቃዬሌይ ካታማ ጊግሲዲ ሄ ካታማ ባ ናዛ ሱንꬃን፥ «ሄኖኬ» ጊ ሱንꬂዴስ።
01041200b3	ሄኖኬይ ኢራዴ ዬሊዴስ፤ ኢራዴይ ማሁያኤሌ ዬሊዴስ፤ ማሁያኤሌይ ማቱሳኤሌ ዬሊዴስ፤ ማቱሳኤሌይ ላሜኬ ዬሊዴስ።
0104130058	ላሜኬይ ኣዶኔ ጺሎ ጌቴቲዛ ናምኡ ማቼታ ዳዉꬅ ኤኪዴስ።
010414007a	ኣዳይ ያባሌ ዬላዱስ፤ ያባሌይ ሜሄ ሃሪሼ ዩዪ ዩዪ ዱንካኔን ዲዛ ኣሳታ ኣዋ።
0104150081	ኢዛ ኢሻ ሱንꬂ ዩባሌ፤ ዩባሌይ ቃሴ ዲꬅ ዲጺዛኔ ሱሱልኤ ፑኒዛ ኣሳታ ኡባታ ኣዋ፤
01041600df	ጺላይ ቃሴ ቱባሊቃይኔ ጌቴቲዛ ና ዬላዱስ፤ ቱባሊቃይኔይ ጻርቂማላፔኔ ቢራታፔ ዱማ ዱማ ሚሻታ ቆጺዛዴ። ቱባሊቃይኔ ሚቼያ ናኢሞ ጌቴታዉስ።
0104170125	ኢሲ ጋላስ ላሜኬይ ባ ማቼታ፥ «ታ ማቼቶ ኣዴ፥ ጺሌ ሲዪቴ! ኣኔ ታኒ ዮቲዛይሳ ኤዝጊቴ። ኢሲ ኣሲ ታና ዋꬊ ማዱንꬂዳ ጊሻስ ታኒ ኢዛ ዎꬋዲስ፤ ኤ፥ ታኒ ሄ ታና ማዱንጺሲዳ ዎዳላዛ ዎꬋዲስ።
0104180094	ቃዬሌ ሃሎ ኬሳናስ ላፑን ኩሼ ኮሺኮ ላሜኬ ሃሎ ኬሳናስ ላፑን ታማኔ ላፑን ኩሼ ኮሼስ» ጊዴስ።
01041900d3	ኣዳሜይ ባ ማቼይራ ኣቂን ሃራ ና ዬላዱስ። ዬላዳ፥ «ቃዬሌይ ዎꬊዳ ኣቤሌ ጊሻስ ጾሲ ታስ ሃራ ና ኢሚዴስ» ጋሼ ኢዛ ሴቴ ጋዳ ሱንꬃዱስ።
01041a00a3	ሴቴይካ ኣቱማ ና ዬሊዲ ኢዛ፥ «ሄኖሴ» ጊ ሱንꬂዴስ። ኣሳይ ሄ ዎዴ ጎዳ ሱንꬅ ጼይጊዲ ጎይኖ ኦይኪዴስ።
0105010086	ኣዳሜ ዜሬꬂ ሃይሳፌ ካሊዲ ጻፌቲዴስ፤ ጾሲ ኣስ ሜꬊዳ ጋላስ ባና ሚሳቲሲዲ ሜꬊዴስ።
0105020073	ኣዴኔ ማጫስ ኦꬂ ሜꬊዲ ኢስታ ኣንጂዴስ። ኢስታ ሜꬊዲ ኣስ ጊ ሱንꬂዴስ።
010503007c	ኣዳሜይ 130 ላይꬅ ዴኢዲ ባና ሚሳቲዛ ኣቱማ ና ዬሊዲ ኢዛ፥ «ሴቴ» ጊ ሱንꬂዴስ።
0105040084	ኣዳሜይ ሴቴ ዬሊዳፔ ጉዬ 800 ላይꬅ ዴኢዴስ፤ ሃራ ኣቱማ ናይታኔ ማጫ ናይታ ዬሊዴስ።
