0100000018	ഉല്പത്തി
01011001de	പകലിന്റെ അധിപതിയായി വലുപ്പം കൂടിയ പ്രകാശവും രാത്രിയുടെ അധിപതിയായി വലുപ്പം കുറഞ്ഞ പ്രകാശവും—ഇങ്ങനെ രണ്ടു വലിയ പ്രകാശത്തെ ദൈവം ഉണ്ടാക്കി. അവിടന്നു നക്ഷത്രങ്ങളെയും സൃഷ്ടിച്ചു.
0101110219	ദൈവം ആകാശവിതാനത്തിൽ ഈ പ്രകാശങ്ങളെ സ്ഥാപിച്ചത് ഭൂമിയെ പ്രകാശിപ്പിക്കാനും പകലിന്റെയും രാത്രിയുടെയും അധിപതികളായിരിക്കാനും പ്രകാശവും ഇരുളുംതമ്മിൽ വേർതിരിക്കാനുമായിരുന്നു. നല്ലത് എന്നു ദൈവം കണ്ടു.
0101130069	സന്ധ്യകഴിഞ്ഞു, ഉഷസ്സുമായി—നാലാംദിവസം.
010114013b	“ജലത്തിൽ ജീവജന്തുക്കൾ പെരുകട്ടെ എന്നും ഭൂമിക്കുമീതേ ആകാശവിതാനത്തിൽ പക്ഷികൾ പറക്കട്ടെ,” എന്നും ദൈവം അരുളിച്ചെയ്തു.
010115020e	അങ്ങനെ ദൈവം വലിയ സമുദ്രജീവികളെയും വെള്ളത്തിൽ കൂട്ടമായി ജീവിക്കുകയും സഞ്ചരിക്കുകയും ചെയ്യുന്ന അതതുതരം ജന്തുക്കളെയും സൃഷ്ടിച്ചു, കൂടാതെ അതതുതരം പക്ഷികളെയും സൃഷ്ടിച്ചു; നല്ലത് എന്നു ദൈവം കണ്ടു.
0101160169	ദൈവം അവയെ അനുഗ്രഹിച്ചുകൊണ്ട്, “നിങ്ങൾ വർധിച്ചു പെരുകി സമുദ്രജലത്തിൽ നിറയട്ടെ; ഭൂമിയിൽ പക്ഷികളും വർധിച്ചുവരട്ടെ,” എന്നും കൽപ്പിച്ചു.
010117006c	സന്ധ്യകഴിഞ്ഞു, ഉഷസ്സുമായി—അഞ്ചാംദിവസം.
01011801be	“ഭൂമിയിൽ അതതുതരം ജീവജന്തുക്കൾ ഉണ്ടാകട്ടെ: കന്നുകാലികൾ, ഇഴജന്തുക്കൾ, വന്യമൃഗങ്ങൾ എന്നിവ അതതിന്റെ വർഗമനുസരിച്ച് ഉണ്ടാകട്ടെ,” ദൈവം കൽപ്പിച്ചു; അങ്ങനെതന്നെ സംഭവിച്ചു.
010119017b	ഇപ്രകാരം ദൈവം അതതുതരം വന്യമൃഗങ്ങളെയും അതതുതരം കന്നുകാലികളെയും ഭൂമിയിൽ ഇഴയുന്ന അതതുതരം ഇഴജന്തുക്കളെയും ഉണ്ടാക്കി; നല്ലത് എന്നു ദൈവം കണ്ടു.
01011a02c8	അതിനുശേഷം, “നമുക്ക് നമ്മുടെ സ്വരൂപത്തിലും നമ്മുടെ സാദൃശ്യത്തിലും മനുഷ്യനെ നിർമിക്കാം എന്നു ദൈവം കൽപ്പിച്ചു. അവർ സമുദ്രത്തിലെ മത്സ്യങ്ങൾക്കും ആകാശത്തിലെ പക്ഷികൾക്കും കന്നുകാലികൾക്കും സകലവന്യജീവികൾക്കും ഭൂമിയിൽ ഇഴയുന്ന സകല ഇഴജന്തുക്കൾക്കും അധിപതികളാകട്ടെ.”
01011b0167	ഇങ്ങനെ, ദൈവം തന്റെ സ്വരൂപത്തിൽ മനുഷ്യനെ സൃഷ്ടിച്ചു; അവിടന്നു ദൈവസ്വരൂപത്തിൽ അവരെ സൃഷ്ടിച്ചു; പുരുഷനും സ്ത്രീയുമായി അവരെ സൃഷ്ടിച്ചു.
01011c028a	ദൈവം അവരെ അനുഗ്രഹിച്ചു; “നിങ്ങൾ സന്താനസമൃദ്ധിയുള്ളവരായി പെരുകി ഭൂമിയിൽ നിറഞ്ഞ് അതിനെ അധീനമാക്കുക; സമുദ്രത്തിലെ മത്സ്യങ്ങളുടെമേലും ആകാശത്തിലെ പക്ഷികളുടെമേലും ഭൂമിയിൽ ചരിക്കുന്ന സകലജീവികളുടെമേലും അധിപതികളാകുക” എന്ന് അവരോടു കൽപ്പിച്ചു.
01011d0185	“ഭൂമിയിലെങ്ങും വിത്തുള്ള സകലസസ്യങ്ങളും വിത്തോടുകൂടിയ ഫലം കായ്ക്കുന്ന സകലവൃക്ഷങ്ങളും ഞാൻ നിങ്ങൾക്കു നൽകുന്നു; അവ നിങ്ങൾക്ക് ആഹാരമായിരിക്കും.
01011e0246	ഭൂമിയിലെ സകലജീവികൾക്കും ആകാശത്തിലെ എല്ലാ പക്ഷികൾക്കും കരയിൽ സഞ്ചരിക്കുന്ന സകലജന്തുക്കൾക്കും—ജീവശ്വാസമുള്ള എല്ലാറ്റിനും—ഞാൻ പച്ചസസ്യങ്ങളെല്ലാം ആഹാരമായി നൽകുന്നു” എന്നു ദൈവം അരുളിച്ചെയ്തു; അപ്രകാരം സംഭവിച്ചു.
01011f0158	അവിടന്നു നിർമിച്ചതൊക്കെയും ദൈവം നിരീക്ഷിച്ചു; അവയെല്ലാം വളരെ നല്ലതെന്ന് അവിടന്നു കണ്ടു. സന്ധ്യകഴിഞ്ഞു, ഉഷസ്സുമായി—ആറാംദിവസം.
01020100bc	ഇങ്ങനെ, ആകാശവും ഭൂമിയും അവയിലുള്ള സകലത്തിന്റെയും സൃഷ്ടി പൂർത്തിയായി.
0102020198	ദൈവം ചെയ്തുകൊണ്ടിരുന്ന സകലപ്രവൃത്തിയും ഏഴാംദിവസമായപ്പോഴേക്കും പൂർത്തീകരിച്ചു; അതിനുശേഷം തന്റെ സകലപ്രവൃത്തിയിൽനിന്നും ഏഴാംദിവസം ദൈവം വിശ്രമിച്ചു.
0102030150	സൃഷ്ടിസംബന്ധമായി അവിടന്നു ചെയ്ത സകലപ്രവൃത്തികളിൽനിന്നും സ്വസ്ഥനായതിനാൽ ഏഴാംദിവസത്തെ ദൈവം അനുഗ്രഹിച്ചു വിശുദ്ധീകരിച്ചു.
01020402c5	ആകാശത്തിന്റെയും ഭൂമിയുടെയും ഉൽപ്പത്തിവിവരം ഇപ്രകാരമാണ്: യഹോവയായ ദൈവം ആകാശവും ഭൂമിയും സൃഷ്ടിച്ച അവസരത്തിൽ വയലിലെ ചെടികളും സസ്യങ്ങളും അന്നുവരെ ഭൂമിയിൽ മുളച്ചിരുന്നില്ല; യഹോവയായ ദൈവം ഭൂമിയിൽ മഴ അയച്ചിരുന്നില്ല, മണ്ണിൽ അധ്വാനിക്കാൻ മനുഷ്യനും ഉണ്ടായിരുന്നില്ല.
01020600ae	ഭൂമിയിൽനിന്ന് ഉറവ പൊങ്ങിയായിരുന്നു ഭൂതലം മുഴുവൻ നനഞ്ഞിരുന്നത്.
0102070144	യഹോവയായ ദൈവം നിലത്തെ പൊടികൊണ്ടു മനുഷ്യനെ മെനഞ്ഞു, അവന്റെ മൂക്കിൽ ജീവശ്വാസം ഊതി; അങ്ങനെ മനുഷ്യൻ ജീവനുള്ളവനായിത്തീർന്നു.
0102080106	യഹോവയായ ദൈവം കിഴക്ക് ഏദെനിൽ ഒരു തോട്ടം നട്ടുണ്ടാക്കി, അവിടന്ന് മെനഞ്ഞെടുത്ത മനുഷ്യനെ അതിൽ ആക്കി.
01020901ff	മനോഹരവും ഭക്ഷ്യയോഗ്യവുമായ എല്ലാത്തരം വൃക്ഷങ്ങളും യഹോവയായ ദൈവം നിലത്തുനിന്നു മുളപ്പിച്ചു. തോട്ടത്തിന്റെ നടുവിൽ ജീവവൃക്ഷവും നന്മതിന്മകളെക്കുറിച്ചുള്ള അറിവിന്റെ വൃക്ഷവും ഉണ്ടായിരുന്നു.
01020a00eb	ഏദെനിൽനിന്ന് ഒഴുകിയ ഒരു നദി തോട്ടം നനച്ചു. ആ നദി അവിടെനിന്ന് നാലു ശാഖയായി പിരിഞ്ഞൊഴുകി.
01020b00e2	ഒന്നാമത്തേതിനു പീശോൻ എന്നു പേര്; അതു ഹവീലാദേശം മുഴുവൻ ചുറ്റുന്നു, അവിടെ തങ്കം ഉണ്ട്.
01020c00c2	ആ ദേശത്തെ തങ്കം അതിവിശിഷ്ടമാണ്; ഗുല്ഗുലുവും ഗോമേദകരത്നവും അവിടെയുണ്ട്.
01020d00c0	രണ്ടാമത്തെ നദിയുടെ പേര് ഗീഹോൻ; അതു കൂശ് ദേശംമുഴുവനും ചുറ്റിയൊഴുകുന്നു.
01020e011b	മൂന്നാമത്തെ നദിയുടെ പേര് ടൈഗ്രീസ്; അത് അശ്ശൂരിൽനിന്നു കിഴക്കോട്ട് ഒഴുകുന്നു. നാലാമത്തെ നദി യൂഫ്രട്ടീസ്.
01020f0133	യഹോവയായ ദൈവം ഏദെൻതോട്ടത്തിൽ അധ്വാനിക്കുന്നതിനും അതിനെ സംരക്ഷിക്കുന്നതിനുമായി മനുഷ്യനെ അവിടെ തോട്ടത്തിൽ ആക്കി.
0102100129	യഹോവയായ ദൈവം മനുഷ്യനോട് അരുളിച്ചെയ്തത്: “നിനക്കു തോട്ടത്തിലെ ഏതു വൃക്ഷത്തിന്റെയും ഫലം ഇഷ്ടംപോലെ ഭക്ഷിക്കാം;
010211014b	എന്നാൽ നന്മതിന്മകളെക്കുറിച്ചുള്ള അറിവുനൽകുന്ന വൃക്ഷത്തിന്റെ ഫലം ഭക്ഷിക്കരുത്, ഭക്ഷിക്കുന്ന നാളിൽ നീ മരിക്കും, നിശ്ചയം!”
0102120155	അതിനുശേഷം യഹോവയായ ദൈവം: “മനുഷ്യൻ ഏകനായിരിക്കുന്നതു നല്ലതല്ല, അവന് അനുയോജ്യമായ ഒരു തുണയെ ഞാൻ നിർമിക്കും,” എന്ന് അരുളിച്ചെയ്തു.
0102130236	യഹോവയായ ദൈവം നിലത്തുനിന്നു നിർമിച്ച എല്ലാ വന്യമൃഗങ്ങളെയും ആകാശത്തിലെ സകലപക്ഷികളെയും മനുഷ്യന്റെ മുമ്പിൽ അവൻ അവയ്ക്ക് എന്തു പേരിടുമെന്നു കാണാൻ വരുത്തി. ഓരോ ജീവിയെയും മനുഷ്യൻ വിളിച്ചത് അതിന് പേരായിത്തീർന്നു.
010214019e	അങ്ങനെ മനുഷ്യൻ എല്ലാ കന്നുകാലികൾക്കും ആകാശത്തിലെ പക്ഷികൾക്കും സകലവന്യമൃഗങ്ങൾക്കും പേരിട്ടു. എന്നാൽ ആദാമിന് അനുയോജ്യമായ ഒരു പങ്കാളിയെ കണ്ടെത്തിയില്ല.
010215019c	അതുകൊണ്ട് യഹോവയായ ദൈവം മനുഷ്യനെ ഒരു ഗാഢനിദ്രയിലാക്കി; അവൻ ഉറങ്ങിയപ്പോൾ അവിടന്ന് അവന്റെ വാരിയെല്ലുകളിൽ ഒന്നെടുത്തശേഷം എടുത്തയിടം മാംസംകൊണ്ടു നികത്തി.
0102160150	പിന്നെ യഹോവയായ ദൈവം, മനുഷ്യനിൽ നിന്നെടുത്ത വാരിയെല്ലുകൊണ്ട് ഒരു സ്ത്രീയെ ഉണ്ടാക്കി, അവളെ മനുഷ്യന്റെ അടുക്കലേക്ക് ആനയിച്ചു.
01021701dc	അപ്പോൾ മനുഷ്യൻ ഇപ്രകാരം പറഞ്ഞു: “ഇത് എന്റെ അസ്ഥിയിൽനിന്നുള്ള അസ്ഥിയും എന്റെ മാംസത്തിൽനിന്നുള്ള മാംസവും ആകുന്നു; നരനിൽനിന്ന് എടുത്തിരിക്കുകയാൽ ഇവൾക്കു ‘നാരി’ എന്നു പേരാകും.”
0102180131	ഈ കാരണത്താൽ ഒരു പുരുഷൻ തന്റെ മാതാപിതാക്കളെ വിട്ടുപിരിഞ്ഞ് തന്റെ ഭാര്യയോടു സംയോജിക്കും; അവർ ഒരു ശരീരമായിത്തീരും.
01021900d9	അവരിരുവരും—ആദാമും ഭാര്യയും—നഗ്നരായിരുന്നു; എങ്കിലും അവർക്കു ലജ്ജ തോന്നിയില്ല.
010301024d	യഹോവയായ ദൈവം സൃഷ്ടിച്ച സകലവന്യജീവികളിലുംവെച്ച് പാമ്പ് സൂത്രശാലിയായിരുന്നു. “തോട്ടത്തിലെ ഏതെങ്കിലും വൃക്ഷത്തിന്റെ ഫലം നിങ്ങൾ കഴിക്കരുത് എന്നു ദൈവം വാസ്തവമായി കൽപ്പിച്ചിട്ടുണ്ടോ?” എന്നു പാമ്പു സ്ത്രീയോടു ചോദിച്ചു.
010302008f	“തോട്ടത്തിലെ വൃക്ഷങ്ങളുടെ ഫലം ഞങ്ങൾക്കു ഭക്ഷിക്കാം.
01030301e9	എന്നാൽ ‘തോട്ടത്തിന്റെ മധ്യത്തിലുള്ള വൃക്ഷത്തിന്റെ ഫലം നിങ്ങൾ കഴിക്കരുത്, അതു തൊടുകപോലുമരുത്; അങ്ങനെചെയ്താൽ നിങ്ങൾ മരിക്കും’ എന്നു ദൈവം കൽപ്പിച്ചിട്ടുണ്ട്,” സ്ത്രീ ഉത്തരം പറഞ്ഞു.
0103040055	“നിങ്ങൾ മരിക്കുകയില്ല, നിശ്ചയം!
0103050199	അതു കഴിക്കുന്ന നാളിൽ നിങ്ങളുടെ കണ്ണുകൾ തുറന്ന് നിങ്ങൾ നന്മതിന്മകൾ അറിയുന്നവരായി, ദൈവത്തെപ്പോലെയാകും, എന്നു ദൈവം അറിയുന്നു,” പാമ്പ് സ്ത്രീയോട് പറഞ്ഞു.
0103060214	ആ വൃക്ഷത്തിന്റെ ഫലം ഭക്ഷിക്കാൻ നല്ലതും കാഴ്ചയ്ക്കു മനോഹരവും ജ്ഞാനംനേടാൻ അഭികാമ്യവുമെന്നു കണ്ട് സ്ത്രീ അതു പറിച്ചു ഭക്ഷിച്ചു, തന്നോടൊപ്പം ഉണ്ടായിരുന്ന ഭർത്താവിനും കൊടുത്തു, അദ്ദേഹവും ഭക്ഷിച്ചു.
0103070150	ഉടൻതന്നെ ഇരുവരുടെയും കണ്ണുകൾ തുറന്നു. തങ്ങൾ നഗ്നരെന്ന് അവർ അറിഞ്ഞു; അതുകൊണ്ട് അവർ അത്തിയില കൂട്ടിത്തുന്നി ഉടയാടയുണ്ടാക്കി.
010308020e	ഒരു ദിവസം ഇളങ്കാറ്റു വീശിക്കൊണ്ടിരുന്നപ്പോൾ, യഹോവയായ ദൈവം തോട്ടത്തിൽ നടക്കുന്ന ശബ്ദം ആദാമും അദ്ദേഹത്തിന്റെ ഭാര്യയും കേട്ടു; യഹോവയായ ദൈവം കാണാതിരിക്കാൻ അവർ തോട്ടത്തിലെ മരങ്ങൾക്കിടയിൽ ഒളിച്ചു.
0103090086	അപ്പോൾ യഹോവയായ ദൈവം മനുഷ്യനെ വിളിച്ചു, “നീ എവിടെ?”
01030a0125	അതിന് ആദാം, “തോട്ടത്തിൽ അവിടത്തെ ശബ്ദം ഞാൻ കേട്ടു; ഞാൻ നഗ്നനാകുകയാൽ ഭയപ്പെട്ടു, ഒളിച്ചു” എന്ന് ഉത്തരം പറഞ്ഞു.
01030b0166	അപ്പോൾ ദൈവം, “നീ നഗ്നനെന്നു നിന്നോട് ആർ പറഞ്ഞു? തിന്നരുതെന്നു ഞാൻ നിന്നോടു കൽപ്പിച്ച വൃക്ഷത്തിൽനിന്നു നീ ഭക്ഷിച്ചോ?” എന്നു ചോദിച്ചു.
01030c014c	ഉത്തരമായി ആദാം, “എന്നോടുകൂടെ ഇരിക്കേണ്ടതിന് അങ്ങു നൽകിയ സ്ത്രീ വൃക്ഷഫലം തന്നു; ഞാൻ തിന്നുകയും ചെയ്തു” എന്ന് ഉത്തരം പറഞ്ഞു.
01030d015e	അതിനു യഹോവയായ ദൈവം സ്ത്രീയോട്, “നീ ഈ ചെയ്തത് എന്ത്?” എന്നു ചോദിച്ചു. “പാമ്പ് എന്നെ വഞ്ചിച്ചു, ഞാൻ തിന്നുകയും ചെയ്തു,” സ്ത്രീ പറഞ്ഞു.
01030e0248	അപ്പോൾ യഹോവയായ ദൈവം പാമ്പിനോട്: “ഇതു ചെയ്തതുകൊണ്ടു, “സകലകന്നുകാലികളെക്കാളും വന്യമൃഗങ്ങളെക്കാളും നീ ശപിക്കപ്പെട്ടിരിക്കുന്നു. നീ ഉരസ്സുകൊണ്ടു ഗമിക്കുകയും നിന്റെ ആയുഷ്കാലമൊക്കെയും പൊടിതിന്നുകയും ചെയ്യും” എന്നും
01030f01d3	“ഞാൻ നിനക്കും സ്ത്രീക്കും തമ്മിലും നിന്റെ സന്തതിക്കും അവളുടെ സന്തതിക്കും തമ്മിലും ശത്രുത ഉണ്ടാക്കും; അവൻ നിന്റെ തല തകർക്കും; നീ അവന്റെ കുതികാൽ തകർക്കും” എന്നും കൽപ്പിച്ചു.
01031001c3	ദൈവം സ്ത്രീയോട് അരുളിച്ചെയ്തത്: “ഞാൻ നിന്റെ ഗർഭകാലം വേദനയുള്ളതാക്കും; അതിവേദനയോടെ നീ മക്കളെ പ്രസവിക്കും. നിന്റെ അഭിലാഷം നിന്റെ ഭർത്താവിനോടാകും, അവൻ നിന്നെ ഭരിക്കും.”
01031102ba	യഹോവ ആദാമിനോട് അരുളിച്ചെയ്തത്: “നീ നിന്റെ ഭാര്യയുടെ വാക്കു കേൾക്കുകയും ‘തിന്നരുത്’ എന്നു ഞാൻ കൽപ്പിച്ച വൃക്ഷത്തിന്റെ ഫലം തിന്നുകയും ചെയ്തതുകൊണ്ട്, “നീ നിമിത്തം ഭൂമി ശപിക്കപ്പെട്ടിരിക്കുന്നു; നിന്റെ ആയുഷ്കാലം മുഴുവൻ കഷ്ടതയോടെ അതിൽനിന്ന് ഉപജീവനംകഴിക്കും.
01031200d9	ഭൂമി നിനക്കായി മുള്ളും ഞെരിഞ്ഞിലും മുളപ്പിക്കും, നീ വയലിലെ സസ്യങ്ങൾ ഭക്ഷിക്കും.
01031301a2	മണ്ണിൽനിന്ന് നിന്നെ എടുത്തു; മണ്ണിലേക്കു മടങ്ങുംവരെ നിന്റെ നെറ്റിയിലെ വിയർപ്പുകൊണ്ട് നീ ആഹാരം കഴിക്കും; നീ പൊടിയാകുന്നു, പൊടിയിലേക്കു നീ തിരികെച്ചേരും.”
01031400ef	ആദാം തന്റെ ഭാര്യയ്ക്കു ഹവ്വാ എന്നു പേരിട്ടു; കാരണം അവൾ ജീവനുള്ളവർക്കെല്ലാം മാതാവാണല്ലോ.
01031500f3	യഹോവയായ ദൈവം ആദാമിനും അവന്റെ ഭാര്യയ്ക്കും തുകൽകൊണ്ടു വസ്ത്രമുണ്ടാക്കി അവരെ ധരിപ്പിച്ചു.
010316024d	അതിനുശേഷം യഹോവയായ ദൈവം അരുളിച്ചെയ്തു: “ഇതാ മനുഷ്യൻ നന്മതിന്മകൾ അറിയുന്നവനായി, നമ്മിൽ ഒരുവനെപ്പോലെ ആയിത്തീർന്നിരിക്കുന്നു. അവൻ കൈനീട്ടി ജീവവൃക്ഷത്തിന്റെ ഫലംകൂടി പറിച്ചുതിന്ന് എന്നേക്കും ജീവിക്കാൻ അനുവദിച്ചുകൂടാ.”
0103170117	മനുഷ്യനെ എടുത്തിരുന്ന മണ്ണിൽ അധ്വാനിക്കേണ്ടതിന് യഹോവയായ ദൈവം അവനെ ഏദെൻതോട്ടത്തിൽനിന്നു പുറത്താക്കി.
010318023d	മനുഷ്യനെ പുറത്താക്കിയശേഷം ദൈവം, ജീവവൃക്ഷത്തിലേക്കുള്ള വഴി കാക്കുന്നതിന് ഏദെൻതോട്ടത്തിനു കിഴക്ക് കെരൂബുകളെ കാവൽ നിർത്തുകയും എല്ലാ വശത്തേക്കും തിരിയുന്നതും തീ ജ്വലിക്കുന്നതുമായ ഒരു വാൾ സ്ഥാപിക്കുകയും ചെയ്തു.
010401018f	ഇതിനുശേഷം ആദാം തന്റെ ഭാര്യയായ ഹവ്വായെ അറിഞ്ഞു. അവൾ ഗർഭംധരിച്ച് കയീന് ജന്മംനൽകി. “യഹോവ സഹായിച്ചതിനാൽ എനിക്കൊരു പുരുഷപ്രജ ലഭിച്ചു,” എന്ന് അവൾ പറഞ്ഞു.
010402015e	ഹവ്വാ വീണ്ടും ഗർഭംധരിച്ച് കയീന്റെ സഹോദരനായ ഹാബേലിനെ പ്രസവിച്ചു. ഹാബേൽ ആട്ടിടയനും കയീൻ നിലത്ത് പണിയെടുക്കുന്നവനും ആയിത്തീർന്നു.
01040300fc	വിളവെടുപ്പിന്റെ സമയമായപ്പോൾ കയീൻ വയലിലെ വിളവിൽനിന്ന് ഒരംശം യഹോവയ്ക്കു യാഗമായി കൊണ്ടുവന്നു.
0104040177	ഹാബേലോ, തന്റെ ആട്ടിൻപറ്റത്തിലെ കടിഞ്ഞൂലുകളിൽനിന്ന് മേൽത്തരം ആടുകളെ യാഗത്തിനു കൊണ്ടുവന്നു. യഹോവ ഹാബേലിലും അവന്റെ യാഗത്തിലും സംപ്രീതനായി;
010405011d	എന്നാൽ, കയീനിലും അവന്റെ യാഗാർപ്പണത്തിലും പ്രസാദിച്ചില്ല. കയീൻ ഇതിൽ വളരെ കുപിതനായി; അവന്റെ മുഖം മ്ലാനമായി.
01040600f7	യഹോവ കയീനോട്: “നീ കോപിക്കുന്നതെന്തിന്? നിന്റെ മുഖം മ്ലാനമാകുന്നതും എന്തിന്? എന്നു ചോദിച്ചു.
0104070257	നന്മയായതു പ്രവർത്തിക്കുന്നെങ്കിൽ നീ അംഗീകരിക്കപ്പെടുകയില്ലയോ? എന്നാൽ നന്മയായതു പ്രവർത്തിക്കാതിരുന്നാൽ പാപം നിന്റെ വാതിൽക്കൽ കിടക്കുന്നു, അതു നിന്നെ അധീനനാക്കാൻ ആഗ്രഹിക്കുന്നു, നീയോ അതിനെ കീഴടക്കണം” എന്നു കൽപ്പിച്ചു.
01040801a7	ഒരു ദിവസം കയീൻ തന്റെ സഹോദരനായ ഹാബേലിനോട്, “നമുക്കു വയലിലേക്കു പോകാം” എന്നു പറഞ്ഞു. അവർ വയലിൽ ആയിരുന്നപ്പോൾ കയീൻ സഹോദരനായ ഹാബേലിനെ ആക്രമിച്ചു കൊലപ്പെടുത്തി.
0104090174	അപ്പോൾ യഹോവ കയീനോട്, “നിന്റെ സഹോദരൻ ഹാബേൽ എവിടെ?” എന്നു ചോദിച്ചു. “എനിക്കറിഞ്ഞുകൂടാ, ഞാൻ എന്റെ സഹോദരന്റെ കാവൽക്കാരനോ?” എന്നു പ്രതിവചിച്ചു.
01040a0140	അപ്പോൾ യഹോവ അരുളിച്ചെയ്തത്: “നീ ഈ ചെയ്തത് എന്ത്? നോക്കൂ! നിന്റെ സഹോദരന്റെ രക്തം ഭൂമിയിൽനിന്ന് എന്നോടു നിലവിളിക്കുന്നു.
01040b015f	ഇപ്പോൾ നീ ശാപഗ്രസ്തനായി; നിന്റെ കൈയിൽനിന്ന് നിന്റെ സഹോദരന്റെ രക്തം ഏറ്റുവാങ്ങാൻ വായ് തുറന്ന ദേശത്തുനിന്നു നീ പുറത്താക്കപ്പെടും.
01040c0192	നീ നിലത്തു കൃഷി ചെയ്താൽ ഇനിയൊരിക്കലും അതു നിനക്കു പുഷ്ടിയോടെ വിളവുനൽകുകയില്ല. നീ ഭൂമുഖത്തു ലക്ഷ്യമില്ലാതെ അലഞ്ഞുതിരിയുന്ന അഭയാർഥിയുമായിരിക്കും.”
01040d00bd	അതിന് കയീൻ യഹോവയോട്: “എന്റെ ശിക്ഷ എനിക്കു വഹിക്കാവുന്നതിലും അധികമാണ്!
01040e026d	ഇന്ന് ഈ ദേശത്തുനിന്ന് അങ്ങ് എന്നെ ആട്ടിപ്പായിക്കുന്നു; അങ്ങയുടെ സന്നിധിയിൽനിന്ന് ഇനി ഞാൻ ഒളിച്ചുകഴിയേണ്ടതായി വരും; ഞാൻ ഭൂമുഖത്ത് അലഞ്ഞുതിരിയുന്ന അഭയാർഥിയാകും. എന്നെ ആരെങ്കിലും കണ്ടെത്തിയാൽ അവൻ എന്നെ കൊന്നുകളയും” എന്നു പറഞ്ഞു.
