0100000007	Genèse
0108020067	Les sources de l'abîme et les fenêtres du ciel s'arrêtèrent aussi, et la pluie du ciel fut retenue.
010803006e	Les eaux se retirèrent continuellement de la terre. Au bout de cent cinquante jours, les eaux se retirèrent.
0108040061	Le navire se reposa au septième mois, le dix-septième jour du mois, sur les montagnes d'Ararat.
0108050095	Les eaux se retirèrent continuellement jusqu'au dixième mois. Au dixième mois, le premier jour du mois, les sommets des montagnes furent visibles.
0108060053	Au bout de quarante jours, Noé ouvrit la fenêtre du navire qu'il avait construit,
010807006f	et il envoya un corbeau. Il allait et venait, jusqu'à ce que les eaux aient séché de la surface de la terre.
010808005c	Il envoya lui-même une colombe pour voir si les eaux avaient diminué à la surface du sol,
01080900df	mais la colombe ne trouva aucun endroit où poser sa patte, et elle revint vers lui dans le navire, car les eaux étaient à la surface de toute la terre. Il étendit la main, la prit, et la fit venir à lui dans la barque.
01080a0051	Il attendit encore sept jours, et il envoya de nouveau la colombe hors du navire.
01080b00b3	La colombe revint vers lui le soir, et voici qu'elle avait dans sa bouche une feuille d'olivier fraîchement cueillie. Noé sut donc que les eaux s'étaient retirées de la terre.
01080c0051	Il attendit encore sept jours et envoya la colombe; elle ne revint plus vers lui.
01080d00c6	La six cent unième année, le premier mois, le premier jour du mois, les eaux se tarirent de la terre. Noé enleva l'enveloppe du navire et regarda. Il vit que la surface de la terre était sèche.
01080e004b	Le deuxième mois, le vingt-septième jour du mois, la terre était sèche.
01080f001b	Dieu parla à Noé, et dit:
010810004e	«Sors du navire, toi, ta femme, tes fils, et les femmes de tes fils avec toi.
0108110118	Fais sortir avec toi tous les êtres vivants qui sont avec toi, de toute chair, y compris les oiseaux, le bétail, et tous les reptiles qui rampent sur la terre, afin qu'ils se reproduisent en abondance sur la terre, qu'ils soient féconds et qu'ils se multiplient sur la terre.»
0108120049	Noé sortit, avec ses fils, sa femme, et les femmes de ses fils avec lui.
0108130085	Tous les animaux, tous les reptiles et tous les oiseaux, tout ce qui se meut sur la terre, selon leurs familles, sortirent du navire.
010814008b	Noé bâtit un autel à l'Éternel; il prit de tous les animaux purs et de tous les oiseaux purs, et il offrit des holocaustes sur l'autel.
01081500f4	Yahvé sentit l'arôme agréable. Yahvé dit en son cœur: «Je ne maudirai plus le sol à cause de l'homme, car l'imagination du cœur de l'homme est mauvaise dès sa jeunesse. Je ne frapperai plus jamais tout être vivant, comme je l'ai fait.
0108160098	Tant que la terre subsistera, le temps des semences et des récoltes, le froid et la chaleur, l'été et l'hiver, le jour et la nuit ne cesseront pas.»
010901005e	Dieu bénit Noé et ses fils, et leur dit: Soyez féconds, multipliez, et remplissez la terre.
01090200ce	La crainte de vous et la peur de vous seront sur tous les animaux de la terre et sur tous les oiseaux du ciel. Tout ce qui se meut sur la terre, et tous les poissons de la mer, sont livrés entre tes mains.
0109030075	Tout ce qui se déplace et qui vit te servira de nourriture. Comme je t'ai donné l'herbe verte, je t'ai tout donné.
010904004a	Mais la chair avec sa vie, c'est-à-dire son sang, vous n'en mangerez pas.
01090500b2	Je demanderai compte du sang de votre vie. Je l'exigerai de la part de tout animal. De la main de l'homme, même de la main du frère de l'homme, je demanderai la vie de l'homme.
0109060070	Si quelqu'un verse le sang de l'homme, son sang sera versé par l'homme, car Dieu a créé l'homme à son image.
010907005b	Soyez féconds et multipliez. Augmentez en abondance sur la terre, et multipliez en elle.»
0109080033	Dieu parla à Noé et à ses fils avec lui, et dit:
010909005e	«Quant à moi, voici que j'établis mon alliance avec toi, et avec ta descendance après toi,
01090a00b7	et avec tous les êtres vivants qui sont avec toi: les oiseaux, le bétail, et tous les animaux de la terre avec toi, de tous ceux qui sortent du navire, tous les animaux de la terre.
01090b00a0	J'établirai mon alliance avec vous: Toute chair ne sera plus exterminée par les eaux du déluge. Il n'y aura plus jamais de déluge pour détruire la terre.»
01090c009f	Dieu dit: «Voici le signe de l'alliance que j'établis entre moi et vous, et tous les êtres vivants qui sont avec vous, pour des générations perpétuelles:
01090d0061	Je place mon arc-en-ciel dans la nuée, et il sera le signe d'une alliance entre moi et la terre.
01090e0059	Quand je ferai venir une nuée sur la terre, pour qu'on voie l'arc-en-ciel dans la nuée,
01090f00a9	je me souviendrai de mon alliance, qui est entre moi et vous, et tout être vivant de toute chair, et les eaux ne deviendront plus un déluge pour détruire toute chair.
01091000ae	L'arc-en-ciel sera dans la nuée. Je le regarderai, afin de me souvenir de l'alliance éternelle entre Dieu et tous les êtres vivants de toute chair qui sont sur la terre.»
0109110072	Dieu dit à Noé: «Voici le gage de l'alliance que j'ai établie entre moi et toute chair qui est sur la terre.»
0109120061	Les fils de Noé qui sortirent du navire furent Sem, Cham et Japhet. Cham est le père de Canaan.
0109130066	Ces trois-là étaient les fils de Noé, et c'est à partir d'eux que toute la terre a été peuplée.
0109140035	Noé se mit à cultiver la terre et planta une vigne.
010915003a	Il but du vin et s'enivra. Il se découvrit dans sa tente.
010916005f	Cham, le père de Canaan, vit la nudité de son père, et le dit à ses deux frères au dehors.
0109170129	Sem et Japhet prirent un vêtement, le posèrent sur leurs deux épaules, entrèrent à reculons et couvrirent la nudité de leur père. Ils entrèrent à reculons et couvrirent la nudité de leur père. Ils avaient le visage tourné vers l'arrière, et ils ne virent pas la nudité de leur père.
0109180052	Noé se réveilla de son vin, et il sut ce que son plus jeune fils lui avait fait.
0109190053	Il dit, «Canaan est maudite. Il sera le serviteur des serviteurs de ses frères.»
01091a004d	Il a dit, «Béni soit Yahvé, le Dieu de Sem. Que Canaan soit son serviteur.
01091b0061	Que Dieu agrandisse Japhet. Qu'il habite dans les tentes de Sem. Que Canaan soit son serviteur.»
01091c0037	Noé vécut trois cent cinquante ans après le déluge.
01091d0049	Tous les jours de Noé furent de neuf cent cinquante ans, puis il mourut.
