0100000007	Genèse
0103120054	Et elle te produira des épines, et des chardons; et tu mangeras l'herbe des champs.
01031300a9	Tu mangeras le pain à la sueur de ton visage, jusqu'à ce que tu retournes en la terre, car tu en as été pris; parce que tu es poudre, tu retourneras aussi en poudre.
0103140050	Et Adam appela sa femme Eve; parce qu'elle a été la mère de tous les vivants.
0103150054	Et l'Eternel Dieu fit à Adam et à sa femme des robes de peaux, et les en revêtit.
01031600f8	Et l'Eternel Dieu dit: Voici, l'homme est devenu comme l'un de nous, sachant le bien et le mal; mais maintenant [il faut prendre garde] qu'il n'avance sa main, et aussi qu'il ne prenne de l'arbre de vie, et qu'il n'en mange, et ne vive à toujours.
010317006a	Et l'Eternel Dieu le mit hors du jardin d'Héden, pour labourer la terre, de laquelle il avait été pris.
01031800ad	Ainsi il chassa l'homme, et mit des Chérubins vers l'Orient du jardin d'Héden, avec une lame d'épée qui se tournait çà et là, pour garder le chemin de l'arbre de vie.
0104010074	Or Adam connut Eve sa femme, laquelle conçut, et enfanta Caïn; et elle dit: J'ai acquis un homme de par l'Eternel.
010402004c	Elle enfanta encore Abel son frère; et Abel fut berger, et Caïn laboureur.
010403006a	Or il arriva, au bout de quelque temps, que Caïn offrit à l'Eternel une oblation des fruits de la terre;
0104040083	Et qu'Abel aussi offrit des premiers-nés de son troupeau, et de leur graisse; et l'Eternel eut égard à Abel, et à son oblation.
010405006f	Mais il n'eut point d'égard à Caïn, ni à son oblation; et Caïn fut fort irrité, et son visage fut abattu.
0104060058	Et l'Eternel dit à Caïn: Pourquoi es-tu irrité? et pourquoi ton visage est-il abattu?
01040700a5	Si tu fais bien, ne sera-t-il pas reçu? mais si tu ne fais pas bien, le péché est à la porte; or ses désirs se [rapportent] à toi, et tu as Seigneurie sur lui.
0104080078	Or Caïn parla avec Abel son frère, et comme ils étaient aux champs, Caïn s'éleva contre Abel son frère, et le tua.
010409007b	Et l'Eternel dit à Caïn: Où est Abel ton frère? Et il lui répondit: Je ne sais, suis-je le gardien de mon frère, moi?
01040a0052	Et Dieu dit: Qu'as-tu fait? La voix du sang de ton frère crie de la terre à moi.
01040b0089	Maintenant donc tu [seras] maudit, [même] de la part de la terre, qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère.
01040c006d	Quand tu laboureras la terre, elle ne te rendra plus son fruit, et tu seras vagabond et fugitif sur la terre.
01040d004a	Et Caïn dit à l'Eternel: Ma peine est plus grande que je ne puis porter.
01040e00ba	Voici, tu m'as chassé aujourd'hui de cette terre-ci, et je serai caché de devant ta face, et serai vagabond et fugitif sur la terre, et il arrivera que quiconque me trouvera, me tuera.
01040f00b8	Et l'Eternel lui dit: C'est pourquoi quiconque tuera Caïn sera puni sept fois davantage. Ainsi l'Eternel mit une marque sur Caïn, afin que quiconque le trouverait, ne le tuât point.
0104100064	Alors Caïn sortit de devant la face de l'Eternel, et habita au pays de Nod, vers l'Orient d'Héden.
0104110081	Puis Caïn connut sa femme, qui conçut et enfanta Hénoc; et il bâtit une ville, et appela la ville Hénoc, du nom de son fils.
010412007e	Puis Hirad naquit à Hénoc, et Hirad engendra Méhujaël, et Méhujaël engendra Méthusaël, et Méthusaël engendra Lémec.
0104130056	Et Lémec prit deux femmes; le nom de l'une était Hada, et le nom de l'autre, Tsilla.
010414005c	Et Hada enfanta Jabal, qui fut père de ceux qui demeurent dans les tentes, et des pasteurs.
0104150063	Et le nom de son frère fut Jubal, qui fut père de tous ceux qui touchent le violon et les orgues.
010416008c	Et Tsilla aussi enfanta Tubal-Caïn, qui fut forgeur de toute sorte d'instruments d'airain et de fer; et la sœur de Tubal-Caïn fut Nahama.
01041700b8	Et Lémec dit à Hada et à Tsilla ses femmes: Femmes de Lémec, entendez ma voix, écoutez ma parole; je tuerai un homme, moi étant blessé, même un jeune homme, moi étant meurtri.
0104180055	Car [si] Caïn est vengé sept fois davantage, Lémec le sera soixante-dix sept fois.
010419009e	Et Adam connut encore sa femme, qui enfanta un fils, et il appela son nom Seth, car Dieu m'a, [dit-il], donné un autre fils au lieu d'Abel, que Caïn a tué.
01041a0067	Il naquit aussi un fils à Seth, et il l'appela Enos. Alors on commença d'appeler du nom de l'Eternel.
010501007f	C'est ici le dénombrement de la postérité d'Adam, depuis le jour que Dieu créa l'homme, [lequel] il fit à sa ressemblance.
010502006d	Il les créa mâle et femelle, et les bénit, et il leur donna le nom d'homme, le jour qu'ils furent créés.
010503006c	Et Adam vécut cent trente ans, et engendra [un fils] à sa ressemblance, selon son image, et le nomma Seth.
0105040073	Et les jours d'Adam, après qu'il eut engendré Seth, furent huit cents ans, et il engendra des fils et des filles.
010505004c	Tout le temps donc qu'Adam vécut, fut neuf cent trente ans; puis il mourut.
0105060032	Seth aussi vécut cent cinq ans, et engendra Enos.
010507006b	Et Seth, après qu'il eut engendré Enos, vécut huit cent sept ans; et il engendra des fils et des filles.
010508004c	Tout le temps donc que Seth vécut, fut neuf cent douze ans; puis il mourut.
010509003b	Et Enos, ayant vécu quatre-vingt-dix ans, engendra Kénan.
01050a006f	Et Enos, après qu'il eut engendré Kénan, vécut huit cent quinze ans, et il engendra des fils et des filles.
01050b004a	Tout le temps donc qu'Enos vécut, fut neuf cent cinq ans; puis il mourut.
01050c003d	Et Kénan ayant vécu soixante-dix ans, engendra Mahalaléel.
01050d0078	Et Kénan, après qu'il eut engendré Mahalaléel, vécut huit cent quarante ans; et il engendra des fils et des filles.
01050e004c	Tout le temps donc que Kénan vécut, fut neuf cent dix ans; puis il mourut.
01050f003f	Et Mahalaléel vécut soixante-cinq ans; et il engendra Jéred.
0105100076	Et Mahalaléel, après qu'il eut engendré Jéred, vécut huit cent trente ans, et il engendra des fils et des filles.
0105110061	Tout le temps donc que Mahalaléel vécut, fut huit cent quatre-vingt quinze ans; puis il mourut.
010512003e	Et Jéred ayant vécu cent soixante-deux ans, engendra Hénoc.
0105130067	Et Jéred, après avoir engendré Hénoc, vécut huit cents ans, et il engendra des fils et des filles.
0105140056	Tout le temps donc que Jéred vécut, fut neuf cent soixante-deux ans; puis il mourut.
010515003c	Et Hénoc vécut soixante-cinq ans, et engendra Méthuséla.
010516007b	Et Hénoc, après qu'il eut engendré Méthuséla, marcha avec Dieu trois cents ans; et il engendra des fils et des filles.
0105170046	Tout le temps donc qu'Hénoc vécut, fut trois cent soixante-cinq ans.
0105180049	Hénoc marcha avec Dieu; mais il ne [parut] plus, parce que Dieu le prit.
0105190047	Et Méthuséla ayant vécu cent quatre-vingt sept ans, engendra Lémec.
01051a0081	Et Méthuséla, après qu'il eut engendré Lémec, vécut sept cent quatre-vingt-deux ans; et il engendra des fils et des filles.
01051b005b	Tout le temps donc que Méthuséla vécut, fut neuf cent soixante-neuf ans; puis il mourut.
01051c0047	Lémec aussi vécut cent quatre-vingt deux ans, et il engendra un fils.
01051d008a	Et il le nomma Noé, en disant: Celui-ci nous soulagera de notre œuvre, et du travail de nos mains, sur la terre que l'Eternel a maudite.
01051e007c	Et Lémec, après qu'il eut engendré Noé, vécut cinq cent quatre-vingt quinze ans; et il engendra des fils et des filles.
01051f005a	Tout le temps donc que Lémec vécut, fut sept cent soixante dix-sept ans; puis il mourut.
0105200040	Et Noé, âgé de cinq cents ans, engendra Sem, Cam, et Japheth.
0106010078	Or il arriva que quand les hommes eurent commencé à se multiplier sur la terre, et qu'ils eurent engendré des filles,
0106020080	Les fils de Dieu voyant que les filles des hommes étaient belles, prirent pour leurs femmes de toutes celles qu'ils choisirent.
0106030094	Et l'Eternel dit: Mon Esprit ne plaidera point à toujours avec les hommes, car aussi ils ne sont que chair; mais leurs jours seront six vingts ans.
01060400fa	Il y avait en ce temps-là des géants sur la terre, lors, dis-je, que les fils de Dieu se furent joints avec les filles des hommes, et qu'elles leur eurent fait des enfants. Ce sont ces puissants hommes qui de tout temps ont été des gens de renom.
01060500a4	Et l'Eternel voyant que la malice des hommes était très-grande sur la terre, et que toute l'imagination des pensées de leur cœur n'était que mal en tout temps;
0106060056	Se repentit d'avoir fait l'homme sur la terre, et en eut du déplaisir dans son cœur.
01060700d3	Et l'Eternel dit: J'exterminerai de dessus la terre les hommes que j'ai créés, depuis les hommes jusqu'au bétail, jusqu'aux reptiles, et même jusqu'aux oiseaux des cieux; car je me repens de les avoir faits.
0106080029	Mais Noé trouva grâce devant l'Eternel.
010609006e	Ce sont ici les générations de Noé. Noé fut un homme juste [et] intègre en son temps, marchant avec Dieu.
01060a0032	Et Noé engendra trois fils, Sem, Cam, et Japheth.
01060b0041	Et la terre était corrompue devant Dieu, et remplie d'extorsion.
01060c0070	Dieu donc regarda la terre, et voici elle était corrompue; car toute chair avait corrompu sa voie sur la terre.
01060d0094	Et Dieu dit à Noé: La fin de toute chair est venue devant moi; car ils ont rempli la terre d'extorsion, et voici, je les détruirai avec la terre.
01060e0078	Fais-toi une arche de bois de gopher; tu feras l'arche par loges, et la calfeutreras de bitume par dedans et par dehors.
01060f009a	Et tu la feras en cette manière; la longueur de l'arche sera de trois cents coudées; sa largeur de cinquante coudées, et sa hauteur de trente coudées.
01061000bf	Tu donneras du jour à l'arche, et feras son comble d'une coudée [de hauteur], et tu mettras la porte de l'arche à son coté, et tu la feras avec un bas, un second, et un troisième étage.
01061100ad	Et voici, je ferai venir un déluge d'eau sur la terre, pour détruire toute chair en laquelle il y a esprit de vie sous les cieux; et tout ce qui est sur la terre expirera.
0106120086	Mais j'établirai mon alliance avec toi; et tu entreras dans l'arche toi et tes fils, et ta femme, et les femmes de tes fils avec toi.
01061300a8	Et de tout ce qui a vie d'entre toute chair tu en feras entrer deux [de chaque espèce] dans l'arche, pour les conserver en vie avec toi, savoir le mâle et la femelle;
01061400c6	Des oiseaux, selon leur espèce des bêtes à quatre pieds, selon leur espèce, [et] de tous reptiles, selon leur espèce. Il y entrera de tous par paires avec toi, afin que tu les conserves en vie.
0106150088	Prends aussi avec toi de toute chose qu'on mange, et la retire à toi, afin qu'elle serve pour ta nourriture, et pour celle des animaux.
0106160048	Et Noé fit selon tout ce que Dieu lui avait commandé; il le fit ainsi.
0107010076	Et l'Eternel dit à Noé: Entre, toi et toute ta maison, dans l'arche; car je t'ai vu juste devant moi en ce temps-ci.
01070200a4	Tu prendras de toutes les bêtes nettes sept de chaque espèce, le mâle et sa femelle; mais des bêtes qui ne sont point nettes, un couple, le mâle et la femelle;
0107030089	[Tu prendras] aussi des oiseaux des cieux sept de chaque espèce, le mâle et sa femelle; afin d'en conserver la race sur toute la terre.
01070400b0	Car dans sept jours je ferai pleuvoir sur la terre pendant quarante jours et quarante nuits; et j'exterminerai de dessus la terre toute chose qui subsiste, laquelle j'ai faite.
010705003c	Et Noé fit selon tout ce que l'Eternel lui avait commandé.
0107060052	Or Noé était âgé de six cents ans quand le déluge des eaux vint sur la terre.
0107070077	Noé donc entra, et avec lui ses fils, sa femme, et les femmes de ses fils, dans l'arche, à cause des eaux du déluge.
0107080072	Des bêtes nettes, et des bêtes qui ne sont point nettes, et des oiseaux, et de tout ce qui se meut sur la terre.
0107090071	Elles entrèrent deux à deux vers Noé dans l'arche, le mâle et la femelle, comme Dieu avait commandé à Noé.
01070a004a	Et il arriva qu'au septième jour les eaux du déluge furent sur la terre.
01070b00be	En l'an six cent de la vie de Noé au second mois, le dix-septième jour du mois, en ce jour-là toutes les fontaines du grand abîme furent rompues, et les bondes des cieux furent ouvertes.
01070c0048	Et la pluie tomba sur la terre pendant quarante jours et quarante nuits.
01070d0097	En ce même jour Noé, et Sem, Cam, et Japheth, fils de Noé, entrèrent dans l'arche, avec la femme de Noé, et les trois femmes de ses fils avec eux.
01070e0105	Eux, et toutes les bêtes selon leur espèce, et tout bétail selon son espèce, et tous les reptiles qui se meuvent sur la terre, selon leur espèce, et tous les oiseaux, selon leur espèce; [et] tout petit oiseau ayant des ailes, de quelque sorte que ce soit.
01070f005a	Il vint donc de toute chair qui a en soi esprit de vie, par couples à Noé, dans l'arche.
010710007f	Le mâle, dis-je, et la femelle de toute chair y vinrent, comme Dieu lui avait commandé; puis l'Eternel ferma l'arche sur lui.
0107110090	Et le déluge vint pendant quarante jours sur la terre; et les eaux crurent, et élevèrent l'arche, et elle fut élevée au-dessus de la terre.
0107120067	Et les eaux se renforcèrent, et s'accrurent fort sur la terre, et l'arche flottait au-dessus des eaux.
0107130096	Les eaux donc se renforcèrent extraordinairement sur la terre, et toutes les plus hautes montagnes qui sont sous tous les cieux, en furent couvertes.
010714005e	Les eaux se renforcèrent de quinze coudées par-dessus, et les montagnes en furent couvertes.
01071500ba	Et toute chair qui se mouvait sur la terre expira, tant des oiseaux que du bétail, des bêtes à quatre pieds, et de tous les reptiles qui se traînent sur la terre, et tous les hommes.
0107160060	Toutes les choses qui étaient sur le sec, ayant respiration de vie en leurs narines, moururent.
010717011e	Tout ce donc qui subsistait sur la terre fut donc exterminé, depuis les hommes jusques aux bêtes, jusques aux reptiles, et jusques aux oiseaux des cieux; ils furent, dis-je, exterminés de dessus la terre; mais seulement Noé, et ce qui était avec lui dans l'arche, demeura de reste.
0107180044	Et les eaux se maintinrent sur la terre durant cent cinquante jours.
01080100b1	Or Dieu se souvint de Noé, et de toutes les bêtes, et de tout le bétail qui était avec lui dans l'arche; et Dieu fit passer un vent sur la terre, et les eaux s'arrêtèrent.
0108020079	Car les sources de l'abîme, et les bondes des cieux avaient été refermées, et la pluie des cieux avait été retenue.
0108030071	Et au bout de cent cinquante jours les eaux se retirèrent sans interruption de dessus la terre, et diminuèrent.
0108040058	Et le dix-septième jour du septième mois l'arche s'arrêta sur les montagnes d'Ararat.
0108050098	Et les eaux allèrent en diminuant de plus en plus jusqu'au dixième mois; et au premier jour du dixième mois les sommets des montagnes se montrèrent.
010806005f	Et il arriva qu'au bout de quarante jours Noé ouvrit la fenêtre de l'arche qu'il avait faite.
0108070076	Et il lâcha le corbeau, qui sortit allant et revenant, jusqu'à ce que les eaux se fussent desséchées sur la terre.
010808005d	Il lâcha aussi d'avec soi un pigeon, pour voir si les eaux étaient allégées sur la terre.
01080900d5	Mais le pigeon ne trouvant pas sur quoi poser la plante de son pied, retourna à lui dans l'arche; car les eaux étaient sur toute la terre; [et Noé] avançant sa main le reprit, et le retira à soi dans l'arche.
01080a005d	Et quand il eut attendu encore sept autres jours, il lâcha encore le pigeon hors de l'arche.
01080b00b7	Et sur le soir le pigeon revint à lui; et voici il avait dans son bec une feuille d'olivier qu'il avait arrachée; et Noé connut que les eaux étaient diminuées de dessus la terre.
01080c005f	Et il attendit encore sept autres jours, puis il lâcha le pigeon, qui ne retourna plus à lui.
01080d00ef	Et il arriva qu'en l'an six cent et un [de l'âge de Noé], au premier jour du premier mois les eaux se furent desséchées de dessus la terre; et Noé ôtant la couverture de l'arche, regarda, et voici, la surface de la terre se séchait.
01080e003e	Et au vingt-septième jour du second mois la terre fut sèche.
01080f0023	Puis Dieu parla à Noé, en disant:
010810004f	Sors de l'arche, toi et ta femme, tes fils, et les femmes de tes fils avec toi.
0108110102	Fais sortir avec toi toutes les bêtes qui sont avec toi, de toute chair, tant des oiseaux que des bêtes à quatre pieds, et tous les reptiles qui rampent sur la terre; qu'ils peuplent en abondance la terre, et qu'ils foisonnent et multiplient sur la terre.
010812004e	Noé donc sortit, [et] avec lui ses fils, sa femme, et les femmes de ses fils.
0108130095	Toutes les bêtes à quatre pieds, tous les reptiles, tous les oiseaux, tout ce qui se meut sur la terre, selon leurs espèces, sortirent de l'arche.
0108140087	Et Noé bâtit un autel à l'Eternel, et prit de toute bête nette, et de tout oiseau net, et il en offrit des holocaustes sur l'autel.
0108150101	Et l'Eternel flaira une odeur d'apaisement, et dit en son cœur; je ne maudirai plus la terre à l'occasion des hommes, quoique l'imagination du cœur des hommes soit mauvaise dès leur jeunesse; et je ne frapperai plus toute chose vivante, comme j'ai fait.
010816008e	[Mais] tant que la terre sera, les semailles et les moissons, le froid et le chaud, l'été et l'hiver, le jour et la nuit ne cesseront point.
0109010060	Et Dieu bénit Noé, et ses fils, et leur dit: Foisonnez, et multipliez, et remplissez la terre.
01090200c7	Et que toutes les bêtes de la terre, tous les oiseaux des cieux, avec tout ce qui se meut sur la terre, et tous les poissons de la mer vous craignent et vous redoutent; ils sont mis entre vos mains.
0109030071	Tout ce qui se meut et qui a vie, vous sera pour viande; je vous ai donné toutes ces choses comme l'herbe verte.
0109040053	Toutefois vous ne mangerez point de chair avec son âme, [c'est-à-dire], son sang.
01090500d8	Et certes je redemanderai votre sang, [le sang] de vos âmes, je le redemanderai de la main de toutes les bêtes, et de la main de l'homme, même de la main de chacun de ses frères je redemanderai l'âme de l'homme.
0109060076	Celui qui aura répandu le sang de l'homme dans l'homme, son sang sera répandu; car Dieu a fait l'homme à son image.
0109070065	Vous donc, foisonnez, multipliez, croissez [en toute abondance] sur la terre, et multipliez sur elle.
0109080049	Dieu parla aussi à Noé et à ses fils qui étaient avec lui, en disant:
010909005a	Et quant à moi, voici, j'établis mon alliance avec vous, et avec votre race après vous.
01090a00dd	Et avec tout animal vivant qui est avec vous, tant des oiseaux, que du bétail, et de toutes les bêtes de la terre qui sont avec vous, de toutes celles qui sont sorties de l'arche, jusqu'à toutes les bêtes de la terre.
01090b00a0	J'établis donc mon alliance avec vous, et nulle chair ne sera plus exterminée par les eaux du déluge, et il n'y aura plus de déluge pour détruire la terre.
01090c009b	Puis Dieu dit: C'est ici le signe que je donne de l'alliance entre moi et vous, et entre toute créature vivante qui est avec vous, pour durer à toujours;
01090d005a	Je mettrai mon arc en la nuée, et il sera pour signe de l'alliance entre moi et la terre.
01090e005b	Et quand il arrivera que j'aurai couvert la terre de nuées, l'arc paraîtra dans la nuée.
01090f00b9	Et je me souviendrai de mon alliance qui est entre moi et vous, entre tout animal qui vit en quelque chair que ce soit; et les eaux ne feront plus de déluge pour détruire toute chair.
