2a00000004	Luka
2a01500084	Seyo se muhusa angasa ye Yohañ, shülyifi shülyi seyo ĝulo ge gokülyefi gokülye seyo Israyel ge kakujo ñeto kuw i bye ge ĝyo.
2a0201007c	Se ñeto ge ñubyu Kesar Agastas ichivye gow shotuko-kunu kihua, vyow Druguw-Drulyiw gow ĝadzü-ĝaĝi nañiñ ĝimyoweñe.
2a0202005c	He uvromashü iñiñ ĝimyow ye ñubyu Keriniyas í Siriya gow dümbraw dadaw ñetow ge daw.
2a02030047	Vyew na nañiñ í ĝimyojoñe nudzo-nudzo ñetrü ge katsüküĝatsü.
2a02040088	Sünda: Joseb je Dawud i ñeŝü go üŝü umu, sündada i Galili go Nazrat ñetrü yo kañe Yahudiya ge Dawud i ñetrü Betlehem ge ka.
2a0205003c	I iñiñ ĝimyow, í goidaw Mariyam dju so mafoma idra jisa.
2a0206003c	Na Betlehem ñetrü ge dulu ge, i agü sajo ümdrü kuadabi.
2a0207007c	Sünda i agü üsaw samkyo a saa sündañe í gyeka ge ĝüshüñe káko ge zua ve, hado chemeje nabo süge ñe ĝyojo mapa.
2a0208005d	Seyo se ñetrü a küña fugulu ĝyokrüw duma, se na ñegi ge vi ge ĝyoñe ná hokrü ĝow.
2a02090083	Seyo Tawgyew i sorgomukow a namgkow ge gudzukülye, sünda Tawgyew i ĝagra namgkow ye dubrokülyeg, sündawñe na ŝupo ĝeatsüg.
2a020a0086	Sündawñe sorgomukow i na che, “Dju ĝejo dawe; Hado cheholye chemeje, howe, no tuĝu-tumo vyow nabo ŝüpo lüshüw ñu a trujome.
2a020b0055	Yow ñubyu Dawud i ñetrü ge djobo muchoaijo a sadame, sünda se i Prabhu Masime.”
2a020c005b	Sünda se ye ba chi shewme, sei ye ba agü a ye gye ĝüshüñe seyo káko ge zuw hohujome.
2a020d005d	Sündawñe sorgomuko a üdra ye soĝgomuko upua a Tawgyew i iñiñ la troñe ana chew hohuda,
2a020e0075	“Ñedzü ge Tawgyew í ĝüdzüw sünda no ge se tuĝu-tumo na ĝüdzüw djüwe djú ñedzü Tawgyew i uw veima.”
2a020f00a3	Sorgomuko i natrü go soĝgo ge katralyewñe, fugulu ĝaksüw na ĝütchü cheĝi, “Tchow, ñi Betlehem jiñe he ñu chedaw i, seyo Tawgyew i trudaw í, hobo.”
2a0210005d	Sünda na mekutcho djeñe Mariyam ñe seyo Joseb naksü ütrü ge anga i káko ge vedaw hohu.
2a0211004b	I holyeñe na se anga ufo gow na ha trudama se ñu chedaw na truzeĝiatsü.
2a0212004d	Seyo vyew dzühutsüdaw na fugulu ĝaksüvow na ñu trudaw yo mavenghuatsüg.
2a0213003b	Seŝo Mariyam i he ñu na üdrü-ulu ge veñe vemchepüñe.
2a02140077	Sünda fugulu ĝaksüw na ná küna trudama, sünambo vyew dzühuñe hohuñe Tawgyew i trolyeñe lüshüñe katsütcho.
2a021500a2	Ñegi ŝügzü kufiahuñe, seyo i Jisu i mükraksüw fyumdrü kuadabi, sünda iñiñ Jisu ñe ñi, he iñiñ ye sorgomuko i uluhudrü ge mañilugomdo djülyedabi.
2a0216009a	Sünda Musa í shotuko dalyedaw yo Mariyam i güdraw ĝyow ye ĝomdzoahuwñe sünda Joseb ñe Mariyam naksü í Tawgyew uvro ge shew Yarusalem lañe jike.
2a02170053	Tawgyew i shotuko ge ĝimbo: “Vyew saw samkyo na Tawgyew ibó güdraw vyejome.”
2a02180070	Sünda Tawgyew i shotuko dalyedaw go chemeje, “Aŝüm osa ksü, momeje paĝusa üsasa ksü lañe küĝüwe.”
2a021900b3	Se ñeto ge Yarusalem ge Simon iñiñ yo nüna a duw, sünda i güdraw nüna seyo Tawgyew i küĝüw nüna, sünda Israyel ge ĝüdzüjo i ĝyokrü, seyo ĝulo güdraw üdra dusa.
2a021a0055	Sünda ĝulo güdraw yo truhua, ba Tawgyew i saw Masi í mahohulu, ba madzüvzüjome.
2a021b0097	Sünda í Ĝulo Güdraw i ñegru nopsü ge jidügye; sünda iyaw ñe üyañ naksü se agüsa Jisu íbo, ahugo shotuko na dajoñe veñe lajikedaw sesse,
2a021c003f	sünda Simon i angasa í lolalyeñe, Tawgyew í troñe ana che:
2a021d0050	“He Tawgyewwa, ba ñu chew kudabi, bá kulo í ba ĝüdzüw yo kadügyejodabe;
2a021e0036	Hado chemeje noñi yo ba muchoadügyedaw ye hohudamme.
2a021f0048	Djú ba vyew druguw-drulyiw gow nüna na hovow sa a dadrü kikülyadama.
2a0220006f	I utro sama nabo umsow truhoahuw müsaw da kakülyajome, sünda Israyel go djo nüna nabo lüshü-lübajome.”
2a0221004c	Sünda üyaw ñe üyañ naksü ubo gow ñu chedaw yo mavenghuatcheseñgudru.
2a022200bf	Sündawñe Simon i í gaĝüzü djüñe, üyañ Mariyam í che, “Howe, i Israyel go na gaañe seyo pülyidügyejo go, seyo ana a chi shedügyejoñe ĝyokrüdügyeda, seifo go ñu zeĝijome.
2a02230068	Sünda ba ĝülo je vetsü yo vudüga-vudüga dajome. He yo ŝüpo na drü-lu ge vedaw na truhuajome.”
2a02240098	Sünda Asher ĝübye go Fanual üsam a duw iñiñ Hanna, i ñihow trum: I ŝüpo mukrombi, I ülshi dzüwñe üdra gzü daw yo odje mro kuw shüfisawba.
2a0225008c	I odje ŝügzüĝütrü psüĝi gow müjem: sünda ñegru keje matrahuw ñegiw-ñetow drüpsü-ñilyi mañiw seyo küĝüñe ĝyonggudruwba.
2a02260099	Sünda i sehu ñeto süge jikuñe Tawgyew i drü-lu yo uw che, sünda vyew ná, dju Yarusalem i yo muchoajoñe ĝyokrüvodaw na, ifo go ñu trumyokülye.
2a02270070	Sünda na Tawgyew davyedaw shotuko üĝü ye vyew damdzoahuwñe sese Galili ge nudzoĝ ñetrü Nazrat ge katcho.
2a02280075	Sünda angasa ye nugow lya, sünda bolu dukülyebi, seyo patsü-sholu tukoaha, sünda Tawgyew i nülvo üdra sa dusa.
2a0229004b	Üyaw ñe üyañ naksü oje drü-drü Yarusalem ge Fasa rhano ge jinggudru.
2a022a0049	I oje ĝüyo ksü kuwñe, na rhano ge ĝidaw ñom í daw Jerusalem ge ji.
2a022b007b	Sünda na vyew ñegi ĝyomdzolye sese katcho, se angasa Jisu Yarusalem ge ĝyotralye; sei üyow ñe üyañ naksü madanghu.
2a022c0075	Na ana veñ, i upu jiw nadra dusamada, ñegi a kapseajebi: sünda na í nadraw seyo na ñeŝü nangko ge tchüpüñe.
2a022d0038	Sé matchülawñe na tchü-tchüñe Yarusalem ge katcho.
2a022e007f	Seyo ñegi dzü sefum ye na í ñegru nopsü ge dadrüw nangko ge ĝyosañe, ná ñu dzüñe seyo naje i chi dzü ĝyodaw hohu.
2a022f0065	Seyo küña na i ñu truw dzü ĝyodama, se na vyew í danghuw yo seyo i ñu hutrow yo mavenghuatsü.
2a0230009e	Sündawñe na í holyeñe mavenghualyeñe seyo üyañ i í che, “No sawwa, ba ñidra ana hado daña? Howe, baw ñiksü ba taĝaw na veduw tchü ñegiaha.”
2a0231005c	I í che, “Ba no hado tchüña? Hadoma madanghuma, no nó awu i ñe ge dujobabi cheñe?”
2a0232002e	Seŝo i í ha ñu chedama, i se i madzüsüla.
2a02330077	Sündawñe i üdra kasa, sünda Nazrat ge kaku, sünda na chew dzü ĝyosa; sünda üyañ i he ñu ye üdrü-ulu ge ve.
2a02340061	Seyo Jisu i patsü-sholu seyo udru ge lyifilyi sünda Tawgyew ñe nüna naksü ubo yo go shülyi.
2a03010112	Nugo Tibiriyus Kesar ñetrü nugo dañe oje ĝütrüpom kuw sese, seyo Pontus Pilatus i Yahudiya go ñetrü nugo da shüi sese, seyo Galili ge Herodes, sünda üñu Filip Ituriya seyo Trakonitis go nugo da shüw sese, sündalye Abilene ge ye Lisaniyas go nugo da shüw sese.
2a03020086	Seyo sese Anasñe Kefas naksü müga gow, seta-seĝa Tawgyew ichi shi-ñu ye, ge bye ge Jakariya ichi üsaw Yohañ ütrü ge dzühuku.
2a03030087	Sündalye i Yordan hu itrüĝañ go vyew ñetrü-ñetrü ge jiñe, lalo muchojoñe drü-lu ye vyegudoweñe baptisma ifo ye truzekülye.
2a030400a4	Yasaya i ñihow trulyedaw shi-ñu kako ge ĝidaw ye: “Bye ge shogzükülyedaw nüna i ĝuksüwme he i: ‘Tawgyew i ĝabo dashütrüvowe, i ĝabo í gudow davowe.
2a0305008e	Kaguĝuahuw küñama kazeĝiyijome, Seyo púsa je lüñew daajo; Seyo üküngüw ná gudojo, lüvzüw lüñew ĝabo Sena ĝabo rhugro lyijome.
2a03060040	Seyo uso duw chebiw ye vyew Tawgyew i muchoaihuw hohujome.’”
2a0307009d	Dju upu dyam na ichi ge baptisma lajoñe jihuañe jikutsüdaw na, se na i che, “He byu üsa nawa, djó dju truda, he kalai lusuvyuw yo ĝe jehuatsüwe che?
2a030800d4	Drü-lu vyegudofilaw kuw sheje lakuwe: seyo nudzoĝ-nudzoĝ drü-lu ge ana djuvyelajo dawe, se ñi aki-awu ye Abrahameñe; hado cheme no dju chengkoime, Tawgyew i he kunu yo je Abraham íbo mulo lakülyefijobame.
2a0309007f	Seyo ya bo puĝje ye shoñ ükrütrü ge vyedabi, sündada ha shoñ ye sheje uw yo majema, se na poskealye mi ge foahuebabi.”
2a030a0032	Seyo nüna na í dzü, “Sename ñi ha dajowa?”
2a030b007c	I ná tru, “Djuchi ge polu ksü duma, se djuchi ge ñima se i djüwe seyo djuchi ge tsajo duma, se naje süna datsüwe.”
2a030c0059	Seyo patso-law na je baptisma law jiku, seyo í dzü, “He dadrüwwa, ñi ha dajobya?”
2a030d0053	I ná trutcho, “Dju djóbo ĝyokrüima, se í fojelübzüw patso djulajo dawe.”
2a030e00b8	Seyo rhünakew na je í ana dzü, “Ñi ha dajobya?” I ná chetcho, “Djudru ge je külü djujowe, seyo mülaw-mütraw djufojo dawe, seyo nudzoĝ chiĝa dadaw ge lüshüjo dawe.”
2a030f008a	Sünda nüna na se í vyeksüñe ĝyomkoi sese, seyo vyew na nadrü-nalu ge Yohañ ifo go vyemkoi, haña he ashá he i Masi moŝomachañe.
2a031000ef	Sündawñe Yohañ i vyew ná che, “Nobó djo hu yo baptisma djüwbame, séŝoye i kalaime, dju nó cheje saw-lyiw bolufowme; no ivro ge ichi shita udro tashaijoje ugõ ñiw sünabame, se i djó ĝulo güdraw seyo mi yo baptisma djüjome.
2a031100be	Ichi chiaĝi ye ichi ügzü a me; seyo i í ñetchü ye uw yo dagüdrajosome; seyo pulgü tcholadaw na üŝaka lakeĝijome, séŝo üĝütchü na ye mi ge foajo se mi ye keje madzoñoajo.”
2a03120040	Sündalye i nüna na dadrüñ-dadrülye shi-ñu uw je trusejome.
2a0313008f	Seŝoye i psüĝimko yo ñetrü a go nugo Herodes í iñuw Filipus ufum Hirodiyas ifo go, vyew lalo datruw nafo se na sei í dadaw na fokülye.
2a0314005f	Sündada Hirodes i vyew naĝi yo je i fow lalo je datru, Yohañ í pache ñe ge shü vyewe che.
2a03150065	Vyew na baptisma latsüwñe, seyo Jisu je baptisma lalyeñe küĝü ĝyo, sündawñe ñedzü müsaag.
2a03160096	Seyo ĝulo güdraw paĝusa veduw ye uso dañe idru ge ĝudrokülya, sünda ñedzüdru go ñu zekülye “Ba nó sawme, ba yo no ŝüpo lüshüdame.”
2a0317006c	Jisu i shi-ñu trukülyewñe, sese i oje dzüĝü kuw. I Joseb üsaw (nüna na ana vedabi), seyo i Eli ichi,
2a03180060	Seyo i Mattat üsaw, seyo i Lewi ichi, seyo i Malki ichi, seyo i Jannai ichi, seyo i Yusuf ichi,
2a03190061	Seyo i Mantiyah ichi, seyo i Amos ichi, seyo i Nahum ichi, seyo i Asaliya ichi, seyo Naggai ichi,
2a031a005c	Seyo i Mat ichi, seyo i Matiyah ichi, seyo i Simi ichi, seyo i Yosek ichi, Seyo i Yoda ichi,
2a031b0061	Seyo i Yohañ ichi, seyo Resa ichi, seyo i Jarubbabel ichi, seyo i Shaltiyel ichi seyo Nari ichi,
2a031c005a	Seyo i Malki ichi, seyo Adi íchi, seyo i Kosam ichi, seyo i Almadam ichi, seyo i Er ichi,
2a031d0060	Seyo i Jisu ichi, seyo i Aliyejer ichi, seyo i Yorim ichi, seyo i Mantat ichi, seyo i Lewi ichi,
2a031e0062	Seyo i Simon ichi, seyo i Yahuda ichi, Seyo i Yusuf ichi, seyo i Yonan ichi, seyo i Eliyakim ichi,
2a031f0062	Seyo i Maleyah ichi, seyo i Minnah ichi, seyo i Mantat ichi, seyo i Natan ichi, seyo i Dawud ichi,
2a0320005b	Seyo i Yise ichi, seyo i Obed ichi, seyo i Boj ichi, seyo i Salmon ichi, seyo i Nason ichi,
2a03210068	Seyo i Amminadab üsaw, seyo i Arni üsaw, seyo i Henson üsaw, seyo i Peres üsaw, seyo i Yahuda üsaw,
2a03220061	Seyo i Yakub ichi, seyo i Isahak ichi, seyo i Abraham ichi, seyo i Terah ichi, seyo i Nahor ichi,
2a0323005e	Seyo i Sarug ichi, seyo i Rawu ichi, seyo i Peleg ichi, seyo i Eber ichhi, seyo i Shilah ichi,
2a0324005a	Seyo i Kenan ichi, seyo i Arafzed ichi, seyo i Shom ichi, seyo Nuha ichi, seyo Lemek ichi,
2a03250066	Seyo i Matushilah ichi, seyo i Hanok ichi, seyo i Yirid ichi, seyo i Mahallel ichi, seyo i Kenan ichi,
2a03260051	Seyo i Enosh ichi, seyo i Shet ichi, seyo i Adam ichi, seyo Tawgyew ichi üsawwa.
2a0401006e	Sünda Jisu i ĝulo güdraw yo tukoañe, Yordan hu go kakutcho; seyo ĝülo yo bye ge laĝüshi laĝüshi vye;
2a04020087	Seyo ñegi piĝü kuw mütü na dakütso-kikütso ho. Se ñeto ge i haje-haje matsa-matuw seyo se ñeto kamdzohuñe, sese i luhuŝüku.
2a04030065	Sündañe mütü ye í che, “Sünameje ba Tawgyew üsawŝommeje, he kunu ye cheha odje lyaweñe.”
2a04040041	Jisu i í trutcho “Ĝidame, nüna na odje yo aka mashüjome.”
2a04050075	Sündatchowñe mütü ye í la djeketcho sündalye lüĝañe pu udru gow vyew druguw-drulyiw go ñetrü ná shemdzoa.
2a040600b0	Sündalye mütü chetcho, “No he na he i vyew bá übraw daweñe djüjome, sünda no ĝagra djüjome, hado cheholye he na braw nobabi, seyo no dju djüĝoñdama djüfijobame.
2a04070037	Sündada ba nó küĝümeje, he na vyew bachi lyajo.”
2a0408006a	Jisu i í chetcho, “Ana ĝidame: ‘Ba bá nudzoĝ Tawgyew í gaga dawe; seyo í küĝüjo dabawe.’”
2a040900b3	Sündatchowñe i í lalye Yarusalem go küĝüw ñegru ñelütsü udru ge lalyi vye, sündalye í che, “Süname ba Tawgyew üsaŝommeje, babraw bá nudzoĝ he ayo üla ge gaawe.
2a040a004f	Hado cheme ĝidabi, ‘I bábo í sorgomuko ná babo ĝaksüweñe dügyejome’
2a040b0065	Seyo ‘I bábo ügzü yo lolajobame, hado chemeje bá gaañe kunu ge bashi í mapadügyejoñe.’”
2a040c005d	Jisu i í chetcho, “Ana je chedame; ‘Ba nudzoĝ Tawgyew í dafimsoima djuhojo dawe.’”
2a040d0064	Mütü ye í dafiyima madafima da hopüñemdzoahuñe, sündawñe memja kuw ütrü yo kahatrükralye.
2a040e0096	Sündatchowñe Jisu i Ĝulo Güdraw yo tukoañe, Galili ge katcho, sünda ífo go ñu ye üñisa üñisa yo küña ñetrü duma vyew dzühuzeĝiatsü.
2a040f0072	Seyo i süge Tawgyew í küĝüw melye ñe ge truw ñe ge shi-ñu truñgudru, sünda vyew na í trotsüküĝatsü.
2a041000b1	Sündalye i Nazrat ñetrü ge jiku; hayo sa a í dalañe shükyedama sese; seyo í nudzoĝ daw üĝü dajo ge ĝyogow ñeto kuwñe küĝüw ñegru ge jiñe kako ngüjoñe gudzu.
2a04110066	Ñihow Yasaya í ĝilyedaw kako ye í djü, sünda i kako ye tahalye, hayo sa a ĝidama se i lakülye:
2a041200ef	“Tawgyew í ĝulo güdraw nodra dume, Sündada i sapse na shi-ñu truweñe nó lakülyedame, Seyo nó ana daweñe kiadame, külyidaw ná shaaweñe, Seyo üñi ĝew ná hofidügyeweñe shi-ñu na truñe, Seyo dügrülyadaw na lahuaiweñe,
2a04130039	Seyo Tawgyew ichi lüshü ĝyojo oje í shi-ñu trujo.”
2a04140083	Sündalye i se kako ye pyelyealye í shürhaw ügzü ge djü, sündalye ĝyoag: seyo se küĝüw ñegru yo nüna na í homdzoatsü.
2a04150042	Sündawñe i ná che, “Yow he ĝidaw ye djovro a damdzojemme.”
2a041600a7	Seyo vyew na í umsolyeñe vyeatsü, seyo ha shi-ñu ye i umdzu yo zehuahima, se na i djühulye vyengatsü; sünda ná ubo chetsü, “Haña he i Joseb üsaw mowma?”
